hnit	ຊົ່ວ
htok	ຂໍ້ຂັດແຍ່ງ
htop	curse
prit	ໂປຣໄຟລimprecate
hces	ສິ້ນຫວັງ
klup	ສະໂມສອນ
hnos	ນ້ໍາ
dwin	indifference
prin	ຂອບເຂດ
mrit	ໂປຣໄຟລສົມມຸດຕິຖານ
tcoc	steep
hcom	ປະສົມກົມກຽວ
grit	thunder
tlot	ເດັກນ້ອຍ
hgik	ເຈັບທີ່ຫົວເຂົ່າ
hwes	ເສຍສະຕິ
hzac	ເຊິ່ງກັນແລະກັນ
hsec	ຊອບແວ
tson	ສະຖາບັນ
ryit	ຮັບ
dlin	ລະບຽບວິໄນ
slip	ຄວາມຜິດພາດພຽງ
klon	ການປະຕິວັດ
hfim	ຊາວກະສິກອນ
hpom	ເວທີ
cyen	ນັກສຶກສາ
hgec	ຖ້ໍາ
hroc	ປະເພນີ
srac	ສົ່ງ
ryat	tragedy
kcen	ເວີຈິນໄອແລນ
hbap	ອໍາລາ
krik	ສໍາຄັນ
krap	ຝ້າຍ
fwat	ໂຮງຫມໍ
kcet	ໃຫ້ເຊົ່າ
hgas	ອາຍແກັສ
pfin	inevitable
dlit	ໃບ
ryan	ການແປພາສາ
sran	ກູນີ້ລະຊົ່ວ
mrin	flour
hram	romantic
dlan	ເງິນໂດລາ
hzas	jest
hsos	sixteen
klen	ອານານິຄົມ
gyin	ປີກ
hsif	ຊ້າງ
cluc	cunning
prip	ການກະກຽມ
hzut	mist
dwat	ຢາປົວພະຍາດ
krit	ພິສູດອັກສອນ
sras	ຮັງ
hses	ສິບສີ່
brat	ຈຸດປະສົງ
flat	ອາຊິດ
hjic	ຄື
slic	ອາວຸດ
hbuc	ຜູ້ໃຊ້
tron	ສີສົ້ມ
byan	ຫ້ອງນ້ໍາ
hrif	primitive
tlip	ສ້າງ
blan	ຕູ້ເອກະສານ
kris	ເລຂາທິການ
hyon	ເວລານີ້
tren	ໃນມື້ນີ້
dlat	hodiernalຄໍາ
hzic	ເບື່ອ
tfic	rifle
tlen	ພອນສະຫວັນ
hlim	ສະພາບອາກາດ
dyat	ການຫາຄູ່
kcon	ການເປີດເຜີຍ
dlac	ລ້າງ
krak	ການສາລະພາບ
hbas	nonsense
hkec	ຖ່ານຫີນ
hrek	ການຟື້ນຟູ
hkos	canoe
hwif	ຮອງ
tric	ຊົ່ວຄາວ
hdep	ລັກສະນະການກໍານົດເຂດ
mwak	pile
ksot	ກະດູກ
hnoc	ວັນຈັນ
nlas	ວັນອັງຄານ
brac	ວັນພຸດ
frap	ລັດຖະບານກາງ
pfit	ຜູ້ຕາງຫນ້າ
pcoc	pole
lyen	linen
swak	ການຫລົ້ມຈົມ
pcen	ປະທານປະເທດ
brit	ເລືອດ
hwec	siege
hwet	ກະເພາະອາຫານ
hlos	upstairs
hbon	ທີ່ແຕກຕ່າງກັນ
pcon	ທອງເຫລືອງ
hsem	ປະຊຸມສຸດຍອດ
lwac	ລາຄາຖືກ
tsos	ການແຂ່ງຂັນ
kwen	ບຸກຄົນສະເພາະ
trun	ທີ່ດິນ
trut	ສະຖານະພາບ
hrap	ປືນໃຫຍ່
hgap	ຈັບ
trot	ອຸນຫະພູມ
grin	ຍ່ານ
hjak	ຮັບຜົນປະໂຫຍດ
hpek	ຊອງ
hlus	ກວາງ
hwos	ຫ້ອງນອນ
tsuc	ພຸ່ມໄມ້
pcuc	ການລົງຂາວ
cris	heir
clun	oak
hpes	unpleasant
nlet	ບໍ່ສົມບູນ
hrom	ໂຄງການ
pyon	piano
swet	ຊັກຊວນ
dric	ທີ່ເບິ່ງບໍ່ເຫັນ
tyen	ເປັນທີ່ຮູ້ຈັກດີ
hruk	cruelty
frat	ການມອບຫມາຍ
hyoc	ການທົດລອງ
hlep	ລັກສະນະtelic
nrot	ສາກົນ
nret	ຮຸນແຮງ
hfif	ນັກປັດຊະຍາ
pfic	ການເປັນຕົວແທນ
hmek	ທີ່ລະອຽດອ່ອນ
hfec	ສະຫວັດດີການ
myik	ການຫາປາ
truc	ລັກ
tcop	ປາກ
rwic	ນານ
htom	ເສດຖະກິດ
glan	ວາງສະແດງຮູບ
pren	ຂະຫນານ
hlek	ລັກສະນະAtele
nrak	ທະວີບ
truk	ລົບ
hjim	ໂປຣໄຟລຫ້າມ
rwat	ວັດ
hcep	ມືຖື
dyan	ໄຂ່
jrat	ປອມ
nren	ແຮງບັນດານໃຈ
ksic	ວິກິດການ
tsoc	ການຄົ້ນຫາ
lwan	ອາຫານທ່ຽງ
hpos	ແປກ
hcuf	ການຊຸກຍູ້
tcus	sue
pset	ການຂະຫຍາຍ
hkep	ທອງແດງ
swis	sailor
prim	imperial
trip	whip
cras	ເສື້ອ
swap	ກວາດ
syet	sketch
htof	thief
clen	ຊ່ອງ
kwit	ບຸກຄົນ
klok	ເກີນ
hrok	ການປະຕິຮູບ
hguc	thirst
kcim	ໄພຂົ່ມຂູ່ຕໍ່
hpem	ປາມ
psik	ລໍາໂພງ
frit	ໃກ້ຈະເຂົ້າສູ່
cret	ຕາມຮອຍ
mrak	spear
syen	ກອງປະຊຸມ
tcup	ປຽກ
hyek	ການເດີນທາງ
trim	ກົ່ວ
plak	ຄໍາຮ້ອງທຸກ
hyok	ມຸມ
hgam	ງົວ
hmok	ໂຮງງານ
jrac	ແຜນທີ່
kloc	ຄໍ
gyit	ໂດຍເຈດຕະນາ
hbip	ເບຍ
mlet	velvet
lyap	ການລ່ວງລະເມີດ
cwen	flock
bwan	niece
tses	thirteen
jrit	ເຫດຜົນ
nlak	ຫນັງສືໃບລານ
sron	warrior
cruc	ວັນສຸກ
broc	ແປງ
dlot	ດາວໂຫລດ
krim	ສີຄີມ
pric	pitch
prut	jury
hgon	frozen
sram	ການຮູ້ຫນັງສື
pfot	ຫມໍ້
hlot	ການວາງແຜນ
djin	ບ້ານ
hlok	ກ້າວກະໂດດ
hpep	ຈາກຫນາກແອບເປີ
hwot	ບິດ
dlak	ປຶກສາຫາລື
brik	ຈອງ
nlis	ສໍາເນົາ
hbet	bet
pris	ເຊື້ອໄວຣັສ
hjik	ການຕ້ອນຮັບ
blit	childish
hjap	robe
tfik	ສະທ້ອນໃຫ້ເຫັນ
hdaf	ບັນລຸ
hpop	opera
kcaf	hiding
kcoc	ສອກ
hrum	ການສ້ອມແປງ
cyim	ສົງໃສ
dyic	ການສຶກສາ
hgoc	ຂຸມ
drak	ບໍ່ເປັນລະບຽບ
plas	ຕົບມືໃຫ້
byin	ຄູ່
hzap	ວັດ
nlot	ຄວາມສັດຊື່ຕໍ່
mrik	ກົນຈັກ
hsop	ສົບຜົນສໍາເລັດ
crap	ຈັ່ນຈັບ
kyek	cake
nrut	ບັນເທີງ
syes	ເວົ້າ
hjet	seventeen
hjen	feminine
hmom	້ໍາເຜີ້ງ
hdec	ແຕ່ຫນ້າເສຍດາຍ
lwen	ຄວາມຫມາຍ
slot	stove
frac	rebel
gwan	ການໄຄ່ບວມ
mruk	ການປັບປຸງ
swot	swamp
zlan	ມີລາຍໄດ້
hnem	ສັດ
hdes	dressing
prak	ປະກາດ
frin	ທິວທັດ
hfet	ຕໍ່ຕ້ານ
cros	chorus
ryon	ສົມເຫດສົມຜົນ
tcos	ການປູກພືດ
tsen	ການປຸງແຕ່ງ
hwek	wolf
nlik	ການປະຕິເສດ
klap	carpet
dras	ປະຫມາດ
prop	ອຸດົມສົມບູນ
slim	whistle
hgis	ເນີຍແຂງ
krut	ກິນ
srot	escort
bjan	wander
nwen	ຂອບ
myas	ຫນ້າກາກ
kwaf	ການພັດທະນາ
twis	ລົດ​ແທັກ​ຊີ້
pcip	pencil
srap	ຜັກ
sren	ການວາງສະແດງ
tlun	trousers
hrup	ສໍ້ລາດບັງຫຼວງ
nrip	ຕູ້
srup	ແກງ
jran	surgeon
bjat	ເງິນອຸດຫນູນ
gyat	spy
hlem	ແບບຊະຊາຍ
srak	ບໍ່ມີຕົວຕົນ
kson	ການອອກສຽງສູງ
cwis	ວັນພະຫັດ
sret	ດ້ວຍຄວາມນັບຖື
hraf	ການຈະລາຈອນ
hres	ຖາປັດຕະຍະ
hsuf	ການທໍາລາຍ
rwak	crack
twon	ພືດປະດັບ
hfus	ການຟື້ນຟູ
hkom	ລະຫັດ
djat	ລ່າ
nlut	ຈົດຫມາຍຂ່າວ
hsef	ງູ
mris	ຊາທິປະໄຕ
bric	ແບດເຕີລີ່
mlam	ຂີ້ເຜີ້ງ
zran	ການແລກປ່ຽນ
cron	thrill
hzen	ລອຍນ້ໍາ
traf	ອອກ
cwaf	ຊອງຈົດຫມາຍ
srip	ຢາສູບ
mrot	motor
swon	ອາສາສະຫມັກ
ryak	ຕິກິຣິຍາ
pfun	ບາງສ່ວນ
blac	baggage
mret	ການປະຕິບັດ
hjon	ທາງເພດ
kcok	ຕັດທອນລາຍຈ່າຍ
dram	ເພັດ
kren	ຈັບສະຫຼັບ
tcek	echo
hdif	ຕົວ
tfas	ສະຫມັກ
hfot	ປະກອບດ້ວຍ
lwas	lazy
hmep	ລັກສະນະmomentane
kfin	ການເຂົ້າລະຫັດ
mwin	ຈິນຕະນາການ
hrem	ray
pram	ຮູ້ສຶກເມື່ອຍ
byac	cellar
mren	memorable
swen	ວຽງຈັນຝົນ
kras	coffin
hgun	ກືນ
nlok	indulge
ryic	ກະສິກໍາ
gwin	swing
srut	ທົ່ງຫຍ້າ
hkes	ສະລັບສັບຊ້ອນ
hfis	ການລາອອກ
frak	repeatedly
hnom	ເລກ
hcop	ຜັບ
hlec	pepper
mlot	melody
zrat	ຜູ້ສະຫມັກ
proc	ຜູ້ອຸປະຖໍາ
flik	fox
cyet	undefined
hgim	ບລັອກເກີ
slet	hedge
tcok	ຄວາມຖືກຕ້ອງ
bjit	ອະດີດຜູ້ຕາຍ
brot	ດອກໄມ້ບານ
bwat	ຜ້າຫົ່ມ
hdus	ຫມູ
gwat	ງາຊ້າງ
kret	ສານສະກັດຈາກ
nwet	ຜູ້​ສັງ​ເກດ
jwan	ຖະຫນົນ
nwis	ຕະປູ
mwic	ເຜິ້ງ
bzat	ລະຄອນຜູ້ຊາຍ
gyan	ເຫື່ອ
zyit	ການບໍລິຫານ
blic	ພາບລວງຕາ
pcet	ຄວາມບໍ່ແນ່ນອນ
tsot	ເທົ່າ
bwit	ເຂດແດນ
tres	ຄວາມກົດດັນ
hkof	ການບໍລິໂພກ
nyen	ຄ່ໍາຄວນ
hles	ຄື
cyek	sack
hjis	ເຂັມ
gjan	ປະກົດການ
prec	ປະຕິບັດຕົວ
drot	ການຄວບຄຸມ
kcek	curve
twic	ໄກ່
brak	ຖັງ
zwat	ນິໄສ
clap	ລັກສະນະນິໄສ
tsec	ຜູ້ຊ່ຽວຊານ
bwin	ປະທັບໃຈ
cwet	bounded
hbek	baker
zlin	olive
mron	van
drin	ອຸທິດ
psap	ສະແດງ
gjin	ວັນເດືອນປີເກີດ
clut	hammer
cwun	ມີກິ່ນຫອມ
twaf	trivial
pcot	ສັດລ້ຽງ
krok	skull
dlik	ນິຕິບັນຍັດ
cwic	ໂຊກດີ
srun	frown
crec	ທໍາລາຍ
jlan	ຂອບ
kcip	ອ່ານ
blin	ຕື້
ryik	ສານເຄມີ
mlas	ກໍາມະຈອນ
flit	ການທົດລອງ
hzet	knot
cwik	majestic
twet	skirt
mwik	ປະຈໍາອາທິດ
tfis	ດ້ານວິຊາການ
tlon	ຍານພາຫະນະ
cram	undefined
grac	ສ້າງຄວາມເຂັ້ມແຂງ
kraf	crow
trup	ຄຸນລັກສະນະ
hduk	ສຽງ
cruk	tiger
nrap	ອະນາໄມ
crot	ທາງດ່ວນ
mlip	militia
hfoc	ການຖ່າຍຮູບ
nres	ການເຊື່ອມໂຍງ
plos	ບວກ
tfam	ໂປ່ງໃສ
nlic	ເກົ້າ
hwok	ມີຄຸນສົມບັດ
nlen	essay
fyic	ປະສິດທິພາບ
hwuk	ເປັນເອກະລັກ
hgok	ອົງການຈັດຕັ້ງ
flic	ສາດສະຫນາສາດ
flot	float
hboc	ມີພັນທະ
hwoc	witch
syot	studio
cwip	champagne
hbes	ປ້າຍໂຄສະນາ
lwic	ການຢ່າຮ້າງ
blot	ໄລປະຕູ
cwot	ການເປັນຊະເລີຍ
cwam	ເສັ້ນເລືອດ
prik	ຕົວຕັ້ງຕົວຕີ
hfum	ໂຟມ
grik	gravel
zrin	ບ່ອນຈອດຍົນ
gren	ດາວ
hfuc	ຟື້ນຄືນຊີວິດ
claf	shelf
flas	ພັດລົມ
hjot	ເຂດຮ້ອນ
hbim	ທີ່ຕົນເອງມັກ
krek	mercury
hbec	undefined
tsaf	suicide
pwas	pluck
plot	ບົດລາຍງານ
kfak	ຈັບຈ່າຍໃຊ້ສອຍ
blak	ລະບຽງ
hdos	stain
kwis	ຄລາສສິກ
kcos	ກ່າວຫາ
psen	ບໍານານ
kres	ພາສາ
hzon	monkey
srim	ລາຍເຊັນ
glin	ບໍ່ເຕັມໃຈ
mlut	notorious
myot	ການນໍາເຂົ້າ
fwac	ຜູ້ກໍ່ຕັ້ງ
troc	ໄຟ
hgaf	ໄວຍະກອນ
hyop	yacht
ksip	ສູນພັນ
sres	ການທັດສະນະ
hnup	ພາຍ
hzun	stubborn
mric	ກ້າມເນື້ອ
gjat	ຂະຫນາດ
hros	rub
zrac	cowardly
tros	toast
myus	ຫນູ
dwac	ປຶກສາຫາລື
byak	ແບ້
htef	tailor
hfek	ຈະເລີນຮຸ່ງເຮືອງ
dzan	ບັງຄັບໃຊ້
nyon	ບໍລິຈາກເງິນ
zrit	ລົງທະບຽນຢ່າງເປັນທາງການ
pcos	ກິລາ
hjec	melt
dlas	ລົບ
mras	umbrella
mram	ແຮ່ທາດ
cwut	truce
hbok	ເປັດ
swun	ສະບູ
dwak	doll
plif	villa
slon	ຫຍິບ
tfut	ສະແດງຄວາມຍິນ
djac	ຄືນດີ
hjas	ສະກັດກັ້ນ
kric	rabbit
kwot	conductor
gzan	ການຄໍ້າປະກັນ
clot	ຜູ້ນ
ksek	ແມງໄມ້
psam	posture
mwut	owl
htem	ຢ່າງຖາວອນ
clon	violin
dzin	ຢູ່
rwim	ຕາມລໍາດັບ
hyof	ທີ່ເປັນປະໂຫຍດ
dron	ມັງກອນ
dwit	ຫຼັກຖານຫູ
sroc	ການສົ່ງອອກ
hzot	ຍົກເລີກ
djik	linger
kfik	lid
ryun	ລະບຽບການ
hmes	mayor
rwac	ຮາດແວ
sruk	circus
sros	ຊົນເຜົ່າສ່ວນນ້ອຍ
bzan	riot
kset	ວົງດົນຕີ
bjon	bacon
hjut	ບໍ່ຈໍາກັດ
tfen	ການປ້ອງກັນ
zwac	ຄົນດ້ອຍໂອກາດ
dyin	ໂດຍເຈດຕະນາ
myis	ນັກດົນຕີ
mlis	ຈິດໃຈ
pret	ບໍ່ພຽງພໍ
tsek	ສະຖາປະນິກ
hlom	ນາວ
ksos	ອາການໄອ
crok	ອາການປວດຫົວ
flin	ອຸດົມສົມບູນ
mrun	ຊ່າງໄມ້
swec	ສຸ່ມ
syuk	ບ່ວງ
blun	ປູມເປົ້າ
tcep	ຊອກ
fric	ສົດຊື່ນ
rwik	ຕັ້ງ
rwen	ການປ້ອງກັນ
flet	ຫຼັກຖານinferential
pfac	ການຈັດພິມ
srek	ສົ້ມ
tfun	tunnel
pwet	ປິດ
gyik	ຄະນິດສາດ
fwot	ມະລາຍຫາຍໄປ
lwin	ຄວາມສົມດຸນ
jwin	ຕັບ
bwik	ກໍລະນີsublative
hdup	ອາບນ້ໍ
hnop	ການຜູກຂາດ
bwic	submarine
ryen	ໂດຍບໍ່ຄໍານຶງ
hcem	ແຜ່ນດິນໄຫວ
hbos	ຫ້ອງທົດລອງ
nrek	ພະນັກງານ
ryim	rhythm
nyic	ຕີຄວາມຫມາຍ
dwas	ສະຖານທູດ
rwok	ກະຕຸ້ນ
kram	ບໍ່ສາມາດ
ksim	ໂປຣໄຟລທີ່ເປີດເຜີຍ
clok	ຊັອກໂກແລດ
pcec	ສິດທິພິເສດ
nyis	hermit
tyoc	ເລື່ອງບັງເອີນ
grak	scratch
zlat	ຖົງມື
hjuk	ຄຸເຂົ່າລົງ
trif	ພູມສາດ
djit	ລະບົບ
pson	undefined
mwis	ການລົງທຶນ
cwec	ພາດ
hdek	ສ່ວນບົດເລື່ອງທົ່ວ
blik	hawk
sloc	ຈິດໃຈ
brap	scrap
jlat	pirate
dros	ປະລິມານ
slam	salmon
pwun	pudding
gwik	ສະນະແມ່ເຫຼັກ
pcop	pump
myen	ເຊັ່ນດຽວກັນ
ksen	ອົກຊີເຈນທີ່
mrap	foreman
tfot	ໃບຢັ້ງຢືນການ
ksus	ກຸ່ມ
trok	rhetoric
tloc	rung
zyan	ພາຍເຮືອ
nlun	ເຂົ້າ​ສູ່​ລະ​ບົບ
hlop	telescope
jlin	ການສະກົດຄໍາ
lyut	ຄຸ້ນ
hsof	surf
fyik	ເຫຼົ້າຂາວ
klet	ທີ່ຂ້ອນຂ້າງ
hwof	willow
hlum	camel
myet	ນັກສມັກເລ່ນ
klis	ໂດດດ່ຽວ
hbaf	biography
gwac	donkey
hwum	ຂ່າວລືກ່ຽວກັບ
pwik	ທັດສະນະ
pron	ສົ່ງເສີມ
myes	ປະຈໍາເດືອນ
mwen	undefined
kfic	ພັກ
klek	ຄລິກ
cwon	ຮູບໄຂ່
lyak	elastic
kwon	dictionary
hjam	ham
rwon	rainbow
crip	ຂໍ
zwan	ທີ່ເກີດຂຶ້ນ
srok	ບັນນາທິການ
craf	ບໍລິສັດ
tlok	tank
brip	butterfly
tfap	ຕາຕະລາງ
jwat	ຄູ່ແຝດ
pros	ປະຕິບັດການ
psun	omen
clet	undefined
hbus	ໄມ້ໄຜ່
dyas	ຕົວແທນຈໍາຫ​​ນ່າຍ
klun	ການສະສົມ
jlit	ເປັນເອກສັນ
hdom	nightmare
kron	ຄາບອນ
hzam	jam
cyot	ຟັງ
hmem	ພິພິທະພັນ
lwam	ຫນັງສື
fras	ກະແຈກກະຈາຍ
psoc	ດີໃຈຫລາຍ
hgum	gum
brek	ຫ້າມລໍ້
glit	ສະຖຽນລະພາບ
frun	ການເນົ່າເປື່ອຍ
gris	ຮຸກຮານ
mroc	friction
bzit	spider
plut	ມັນຕົ້ນ,
glac	greed
gzac	ວີຜົນປະໂຫຍດ
prun	spin
jlet	ປະຕິທິນ
nyim	ນາມ
tlos	ພັນຕື້
slut	ສະຫຼັດ
fwit	ໂປຣໄຟລການຍື່ນຍັນ
pyen	ຄໍາຮ້ອງສະຫມັກ
nlon	ຕາມທີ່ລະບຸ
dren	ສະແດງໃຫ້ເຫັນ
drun	ຄວາມບໍ່ພໍໃຈ
cyok	ຍັກ
hfop	ກິລາບານເຕະ
ryac	ການຮ່ວມມື
gzin	ຜູ້ບຸກເບີກ
hgip	ກະລໍ່າປີ
tyet	ນັກກິລາ
hdof	ideophone
hwup	ລ້ໍາຄ່າ
lwek	lever
syec	ວຽງຈັນຝົນ
jyak	ຮອງຮັບ
mlim	ມົດ
fwic	ປະສິດທິຜົນ
gzit	ຖືພາ
blas	ການເອື່ອຍອີງ
jrin	ທຸກໆ​ມື້
gwak	ຂໍ້ຕີນ
drik	oddly
prif	ການປ່ຽນແປງ
jwit	ຄວາມຫຼາກຫຼາຍ
krip	ການຈໍາແນກ
ryot	undefined
nwut	sidewalk
kcif	ຢ່າງຈິງຈັງ
jrak	ກົບ
twek	ກໍລະນີexessive
psot	ການຊົດໃຊ້
pfon	sponge
sluk	ກະຮອກ
nlim	ໂປຣໄຟລirrealis
ksaf	ການຂາດແຄນ
glak	ພູເຂົາໄຟ
plen	equilibrium
kfaf	ຜ້າພັນຄໍ,
kyon	ການຂຸດຄົ້ນ
jlik	ທໍລະນີສາດ
psop	ຫນັງສືຜ່ານແດນ
kfis	vacancy
fyon	ການຮັບຮອງ
nram	ທີ່ຂາດສິນທໍາ
hbuk	biscuit
gras	trance
hyos	ດ້ວຍຄວາມຢ້ານ
flim	ຮູບເງົາ
plet	ເມັດ
rwam	ປະລໍາມະນູ
blis	vanilla
zlit	ຊ່ວຍ
fyut	ຈູ້ຈີ້ຈຸກຈິກ
crim	pyramid
hjif	ຜິດກົດຫມາຍ
crif	shyness
lwap	lute
tyon	ດາລາສາດ
mrim	maze
drut	ອະທິບາຍ
nrim	ທຶນການສຶກສາ
kruc	ເຕົ່າ
kwam	ທີ່ປຶກສາ
jrik	cricket
dlut	ສະແດງວ່າ
pyot	ກາງແກ
dyon	ການຮັບຮອງເອົາ
prap	ປະຕິບັດການ
bzin	badge
tyek	ສາມຫຼ່ຽມ
trec	ນາຍຄັງ
nron	hydrogen
pyet	ເຄື່ອງພິມ
tsok	choke
zyin	ຊໍາເຮື້ອ
slek	ລົດຖີບ
jyin	ວິສະວະກໍາ
ryas	ລະບົບສາຍສົ່ງ
zrak	ໂຫຼດຫນ້າຈໍຄືນ
nyas	dancer
gric	ການເຄື່ອນຍ້າຍ
zlak	ລະເມີດ
tces	tennis
hjun	windy
twen	weave
kyet	ເກັບ
gwit	ກະດູກສັນຫຼັງ
kyot	chord
fwin	ຄວາມຖີ່ຂອງການ
tfuc	ກີ່
dlet	ລະບົບ
pfik	thinker
bjet	ງົບປະມານ
trek	ແຜນຍຸດທະສາດ
kros	quartz
gjit	ມີດຕັດ
gwic	ສະຫຼັບ
frik	ທິດສະດີ
tluc	ຖື
pruc	ການລາດຕະເວນ
glic	glacier
krun	ຄວາມສໍາເລັດ
bjin	ການຄາດຄະເນ
tlaf	ມີສ່ວນຮ່ວມ
tfet	ຜູ້ຜະລິດ
bras	ຂ້າງຕົວຂອງໂຕ
dwik	ເລີຍ
clec	ສະຫາຍ
cres	chess
tcef	cherry
tcom	ສະດຸດ
nyot	ການແປພາສາ
tyok	ລົດ
cyip	ເຫນືອກວ່າ
grot	mustard
bris	ໄຮ້ສາຍ
nlam	ການປະມູນ
slif	sieve
hgos	rust
swoc	unsteady
jyat	ລົ້ມລະລາຍ
slum	islam
hjes	ສໍາມະໂນຄົວ
dzat	tiptoe
slun	ລະງັບ
nwot	ຢ່າງຕໍ່ເນື່ອງ
gyic	guitar
pfas	ອະຄະຕິ
zyik	ສັງກະສີ
blen	ເຫຼື້ອມ
hyem	elm
hnep	scramble
nyut	ຖັກ
ryam	ເຄື່ອງຫມາຍຄໍາສັບພະນາມ
clim	ເຄື່ອງເທດ
jret	ຄວາມຄົມຊັດ
tfon	tease
jwac	java
hrep	ສູດ
dyac	franchise
myip	ແມັດ
rwis	ເຊື້ອຊາດ
hkem	comet
nwon	ຄວາມຄິດສ້າງສັນ
zwin	ການເກືອດຫ້າມ
dyis	medieval
mrec	ນົກກະຈອກ
fyot	footnote
mlon	ການວັດແທກ
pfis	ສັດຕະຍາບັນ
rwot	ວົງໂຄຈອນ
hfok	frugal
glof	ກອຟ
zron	ສູນ
hzip	ໄປສະນີ
hwom	ນອນຕາມຖະຫນົນ
bjic	chewing
pcim	ປະຕິບັດ
hjip	chip
bwac	yawn
mlos	mole
mrip	ເຄື່ອງປັ້ນດິນເຜົາ
bron	embryo
ksoc	ການຫັກ
cyum	ເຊື້ອລາ
jyan	ຄໍາສັບສະເພາະ
plim	plum
mwet	ສຸສານ
ryet	ຈົບ​ການ​ສຶກ​ສາ
glik	ຊົນລະປະທານ
plap	capitalist
tsif	elasticity
gyak	ປາ
djon	ໃນຕອນຕົ້ນ
nwun	punctual
cles	realism
dris	ເພີ່ມຂຶ້ນ
hkef	ຄາເຟ
blus	ຂົນສົ່ງຄົນເຈັບ
blap	wallet
bjak	undefined
klim	grimace
gyac	ວິທະຍາສາດ
jyit	equanimity
dzit	ຈິງ
bwak	ກາງແຈ້ງ
dyot	ວິທະຍຸ
bwon	ຫມາກຖົ່ວ
fris	ຂໍ້ມູນຂ່າວສານ
klut	ຄາດ
tfek	steak
nrok	ໄນໂຕຣເຈນ
zyat	razor
bram	mutter
ryis	ແນະນໍາ
nlip	ວິເຄາະ
nros	ກົງກັນຂ້າມ
hcof	undress
tfif	ແຮງຈູງໃຈ
kroc	furrow
hdum	Judaism
pses	ຜູ້ຮັບ
plok	ສົມບູນ
lyet	ທັດສະນະທີ່
pwek	ກໍລະນີpegative
kfas	ມະເຮັງ
pwen	pawn
nrun	ເຕືອນ
clek	ການຮົ່ວໄຫລ
pcif	ການພິສູດ
glas	ຄວາມສັບສົນ
zwit	ສົນທະນາ
kces	ຢ່າງພຽງພໍ
crem	ຂາຍ​ຍ່ອຍ
grap	grab
kwip	ແຊກແຊງ
dyut	ສ່ວນລົດ
crus	ລໍາດັບຊັ້ນ
gyet	jade
gram	ເຫົ່າ
kyip	ແລນ,ເຮ້ຍ,
nyet	pad
crop	ນ້ໍາຕົກ
glon	ກາລອນ
mrok	ຍຸງ
fluc	fluent
dwic	deviation
slec	explorer
srec	undefined
blut	ມວຍປ້ໍາ
myok	mosaic
tlek	ສຽບ
nruk	ການຕິດເຊື້ອ
nwoc	undefined
bjut	squat
hges	ການຖືພາ
twoc	ຂາຍເຄື່ອງແຫ້ງ
kyos	ການ
mrek	amaze
clip	ການສໍານຶກຜິດ
pwok	ກໍລະນີການດໍາເນີນຄະ
dwot	dictator
zyac	preoccupation
jlic	ດາວທຽມ
slop	ເກີບແຕະ
ryip	ອັດຕາສ່ວນ
psim	ໂດຍປະມານ
byet	ການຫວ່າງງານ
cyop	ວຽກອະດິເລກ
rwun	criterion
blop	bulb
syok	ສະຫນັບສະຫນູນ
klos	chlorine
lwot	chloride
byic	ເຊື້ອແບັກທີເຣັຍ
lyik	ຫນຽວ
blok	ດ້ານຊີວະສາດ
jlac	feign
bret	byte
krif	ຂີ້
blet	ບໍາ
nruc	ປັດສະວະ
tsus	ຜັກທຽມ
dyak	ຫ້ອງຮຽນປານກາງ
tcem	tongs
cyoc	ທ້າ​ທາຍ
trep	strawberry
dlun	ມົນລະພິດ
hlup	ອັລບັມ
hbep	baseball
praf	ເມີດລິຂະສິດ
pwis	ຄໍາ
grek	garage
kruk	crutch
hfof	phosphorus
rwut	ໂຄງສ້າງ
myam	gymnasium
krec	crane
jras	ຜູ້ຮັບເຫມົາ
zrik	ແຈ້ງ
blam	ballroom
klip	ຊ່າງຝີມື
hwef	ບໍ່ທັນໄດ້ຈ່າຍ
zlac	ກ້ວຍ
gret	ໂດຍທົ່ວໄປ
lwuk	rib
nyek	nickel
blos	ລົດເມ
sles	ການກວດສອບ
tlif	ກະເບື້ອງ
kses	sausage
mwot	ເລັ່ນ
lyot	ອັດຕະໂນມັດ
tsom	potassium
brut	virtual
djap	ພຶດຊະຄະນິດ
hjok	generic
kfen	ແນວຄວາມຄິດ
pcok	optical
bzut	ເຄື່ອນທີ່
syek	ການຫວ່າງງານ
mruc	caterpillar
bwas	ຕົວທ່ອງເວັບ
klif	ດ້ວຍທາດການຊຽມ
rwet	ຫ່າງໄກສອກຫຼີກອະດີດ
srif	ປະຫວັດສາດຄໍາ
hwem	spectrum
syom	sodium
tyos	ມໍລະດົກ
jyic	hostage
hguk	gourd
dwun	wrinkle
swip	ແບບຮວງຕັ້ງແ​​ຈບ
tlec	ຫມາຍຕິກ
blaf	ການຂົ່ມຂືນ
tsem	atheism
mloc	ຕິດຕາມກວດກາ
gyot	ເງື່ອນໄຂ
trop	probe
rwap	ໄຕມາດ
hjep	ບົດບາດຍິງຊາຍ
pyim	platinum
dlon	ຈໍານວນສອງ
pcep	ປອດ
twuk	scouring
tyec	ໂຄດຄໍາສັ່ງ
syup	super
trom	trolley
nyip	ຢູ່ໃນທ້ອງຖິ່ນ
glis	ນ້ໍາມັນ
gjik	ຫມາກໄຂ່ຫຼັງ
hjos	unattended
hjuc	loot
swek	undefined
psek	ສານຫນູ
twok	ສະຖິຕິ
