hnit	부정사
rwun	표준
blop	구근
syok	서포터
klos	염소
lwot	염화물
byic	박테리아
lyik	어려운
blok	생물학적
jlac	가장하다
bret	바이트
krif	분비
blet	발레
nruc	오줌
tsus	마늘
dyak	중간수업
tcem	...집게
cyoc	도전적인
trep	딸기
dlun	타락
hlup	앨범
hbep	야구
praf	해적행위
pwis	분사
grek	차고
kruk	버팀목
hfof	인
rwut	구조상의
myam	연무장
krec	기중기
jras	계약자
zrik	통지
blam	사교댄스
klip	장인
hwef	지불하지않은
zlac	바나나
gret	발전기
lwuk	늑골
nyek	니켈
blos	버스
sles	검열
tlif	타일
kses	소시지
mwot	토마토
lyot	자동
tsom	칼륨
brut	가상의
djap	대수학
hjok	일반적인
kfen	개념
pcok	광
bzut	조금움직이게하다
syek	실업
mruc	무한궤도
bwas	브라우저
klif	칼슘
rwet	먼과거시제
srif	역사적인시제
hwem	스펙트럼
syom	나트륨
tyos	보관위원
jyic	인질
hguk	박
dwun	좋은생각
swip	스파이크
tlec	진드기
blaf	강간
tsem	무신론
mloc	감시장치
gyot	가정어구
trop	조사
rwap	계간지
hjep	성별
pyim	백금
dlon	이중의번호
pcep	폐
twuk	쓰레기
tyec	꼬리표
syup	감독자
trom	트롤리
nyip	장소상에서
glis	가솔린
gjik	신장
hjos	무인
hjuc	전리품
swek	과로
psek	비소
twok	통계적인
tsep	메뚜기
slos	사회주의자
nwim	감각의증거의기분
tlop	식탁보
trus	논쟁의
pwot	속박
djot	침전물
nloc	들창코
mwon	만다린오렌지
hjek	기수
crom	협력
myon	폐렴
twec	...을놓다
ryek	로켓
dlic	피제수
kwet	홍어
bwen	강박관념
plon	할당
syon	헐떡거림
djis	디지털
byut	암캐
hyep	눈꺼풀
dwon	대각선
byis	잠재의식
brec	눈썹
cyec	재채기
hwop	와트
clus	들썩들썩
kfun	점유
nwum	힌두교
fyim	난민
cwos	우주선
tfoc	고통
pwon	단백질
sraf	자기만족
hbom	토하다
gyen	유전자
drim	신입생
trem	군장
tsup	파편
slok	사회학
kwoc	스쿼시
bwam	유권자
mlok	유동성
kyen	지역적인
hmop	운동고개위로
rwek	회고의
kfup	큐브
grok	당근
drap	빠뜨리다
lwis	분자의
ksuc	회계원
tsop	악취
kyok	오이
nroc	진탕마시고떠드는술잔치
jlot	용제
psof	인산염
hgif	호리다
kfim	알칼리성의
psos	체조
pfen	확인
kcom	경제학자
krom	콤마
tluk	몸부림
hyom	요오드
nwuc	운동수월한
gjac	유산
pcom	현물상환지불
dzic	디자이너
grun	허풍
dzot	기증자
hzek	망간
kfot	건반
jlas	신뢰할수없는
lyim	엘리트
jyen	엔
pcaf	괄호
rwip	럭비
blip	성경
kyoc	원인
lyon	궤양
flis	굴곡
nrif	한입깨물기
kfam	양자
swes	스웨터
lwon	진화적인
drec	해부
gjap	온천
lyec	선의
tyom	안티몬
pwuk	superessive케이스
flaf	알파
myim	면역
pcek	유괴
bjac	양조장
bzac	요약하다
bzak	양말
twes	텔레비전
dwut	기록한것
ksom	코스모스
lyis	임학
lwim	알류미늄
ksok	점성
sruc	신속하게
dlif	돌고래
byik	살인자
tfec	문방구
hjaf	포유동물
ryok	실험계획안
dwis	이산화물
jlon	콜론
brus	관료
gjak	은하
lyip	객관적인
ryem	라듐
href	희박
prok	냉장고
slep	호색가
dret	되풀이
kluk	고고학의
dlis	특질
kfip	받아들일수없는
mlec	마사지
pfif	사양
nrec	감각의
pfet	전단
hzoc	기초
dlam	이상적으로
nlec	인류학
kluc	맛좋은
dyet	의자가마
tyif	이적
krus	움츠리다
nluc	해바라기
lyun	이온
zrot	인도
ksif	위조하다
psif	방사
crup	중복
fret	파인더
grut	거꾸로하다
ksec	동급생
jric	일정
mrop	마이크로파
srus	몰아내다
gyas	미용사
floc	민속학
plek	모세관
nwop	엉덩이
nrom	제어장치
twos	테러
lwok	슬로건
dwet	시간외에
slem	승화물
grip	그릴
gwas	와우
kwok	코발트
gwon	귀리
hdop	운동상류
glam	항문
bwot	소과의
bren	내부
byot	비디오
bjik	보이콧
kwim	놀리다
cwek	하키
grif	게릴라
hgem	마그네슘
hyes	인식
fram	조제
nwos	야심
ryap	정렬
cwim	신뢰할수있음
klep	켈프
psec	상환
djic	전세계적인
kfut	만종
crep	햄버거
frim	정리
gjas	점화
hdef	직불
ryum	우라늄
pluk	평가
krop	동등어구
nraf	납세자
tyes	통합된
plip	의견을말했다
hgom	감마
hgus	계수
cwuc	히터
zret	덜다
nles	분석자
trof	자동의
hmof	쇼핑센터
hzim	창연
dzac	식당
psok	엽서
blon	수렴
djet	빗나가다
ksum	주주
mrup	미생물
clif	나선
cloc	형태학의
tfes	요리조달자
gjis	청바지
jren	조정
tlep	데이터베이스
kcup	쿠폰
glot	전압
glut	계산자
srep	사이버공간
nwes	투자자
ksef	엑스레이
bzis	비자
frut	하부구조
nyuk	개똥벌레
dyik	탐지기
plec	접착
brom	브롬
plop	보장
zlik	규소
flut	볼트
ksop	화장품
gjun	정리
kfok	딸꾹질
hpof	팝콘
hzuk	동물원
nyoc	내포
jwak	요가
brim	바륨
kles	목을베다
mwam	네
fwik	불꽃
djas	재즈
dyim	오디오
tsum	텅스텐
drip	드리블
lyaf	별거수당
prom	프로그램제작자
nrup	입력
hfes	재귀의
rwaf	국화
dlen	선적서류비치
byas	백신
fron	헤로인
dluk	분리
dyun	진단
flap	폴더
kfet	음극
dlim	관념론
prek	주차
syoc	스냅사진
slus	접근성
nlos	용두사미
mlen	셀렌
pres	피질
hlof	황
nlek	흐름관련성채점자
gwot	공항
mwip	사기꾼
klop	바퀴벌레
kwom	크롬
hl6t	리터
nwec	그럼에도불구하고
glip	고리
nrop	급여
crum	호르몬
dlep	개발자
frot	점선구멍을내다
bwoc	사보타주
fwis	여권주장자
djok	결합한
draf	현대화
trum	극단론자
graf	연산
lwes	원자램프
mlem	밀리미터
flen	굽​​힘
zlot	양극
swok	껴안다
klec	피곤개
pwim	부품시각
htuf	참치
fyis	정련소
lwet	감광도
mrem	메인프레임
jwic	도로젊어짐
droc	시위운동자
clem	헬륨
dzik	이중언어
psem	혈장
hjom	염색체
rwuc	서수
tyus	정수
klom	킬로미터
hfos	팩스
nwek	유전학
jrap	드라이버
zwas	간식
bwok	브로콜리
dwap	어댑터
syem	스팸
blek	벡터
tlus	술책
pyif	지정
cwoc	다좋아
mrep	암페어
hbem	비타민
hxan	현관안내인
hxut	보조금
hk6m	카드뮴
hxin	동시임
txin	티탄
kxin	킬로
klum	흐르다
xlis	모래시계
hqak	통사론의
hxat	창의성
hxik	전자책
hxas	직장
bxon	붕소
dxin	인덕턴스
hxit	헬리콥터
tlum	텔루르
txit	마감시간
kxat	산화
hvik	정렬
nluk	비슷한물건
nyem	센티미터
hm6t	몰리브덴
hl6m	리튬
ht6t	멀티미디어
xlit	칼로리
ryop	기계인간
pxas	제약사
hxak	숙제
lwif	위치격
grim	로그
hqat	사마귀
qlit	생태학
xlik	닳고닳은사람
mlep	주형
hqit	방사능
kxim	킬로그램
hxen	임차인
hxot	너무많이먹다
kyif	복사기
fwet	프리웨어
txet	집합
hs6n	잇달아일어나는
hxet	엿듣다
xrat	이발
hqan	우리안에가두다
hr6t	이리듐
bxat	대역폭
dxet	바탕화면
hxis	지수의
hxok	본사
hxek	잘못두다
srem	세륨
hp6t	부분사
pxik	부분사케이스
kxet	카세트
pruk	슈퍼마켓
hvit	의지력
xlin	오프라인
frip	암호화
hvep	...에초과지불하다
hxon	동기화
kxit	극대화
hqin	세미나
tr6n	스테레오
ht6n	잠그는물건
hvat	곧
sl6s	섭씨
hn6n	네온
ts6t	레알시각
hvin	유선
pxat	신문판매대
myoc	기준치수
ps6s	파스타
bwek	서류가방
dlok	호화로운
fraf	방화벽
hr6k	인공물
txat	점심시간
hqon	오레가노
pxun	플루토늄
ks6n	워크스테이션
slef	에스컬레이터
xrit	근위대
hvut	사람을너무많이들이다
xrim	이트륨
hx6t	뜻을확대하는
hqum	사용자이름
hl6n	영업사원
gron	아르곤
pxan	프로모션
hvac	식기세척기
xlan	세계화
txon	파장
xrik	재활용
hxap	배낭
hxac	재시작
xyat	간염
cwep	월급
hxos	큰쇠시리
txif	서체
qlat	부동산업자
txot	중반가을
hxam	밀리그램
pxis	픽셀
pwif	시사
txam	탄탈
myek	열역학의
hbop	단절...에서
hqot	용질
xlic	바퀴달린의자
gxit	대량학살
hvan	소방
glim	갈륨
pfop	팝쪽으로
hzum	지르코늄
xlon	핫라인
qlin	비선형
kxam	스칸듐
blim	베릴륨
kxik	구성
nr6n	신경세포
hpef	술사
hruf	라우터
kxan	계승
hxic	지침
xlip	배구
dyek	디버그
hxop	손목시계
qrot	중성자
nwip	니오브
hs6t	화장실
grem	게르마늄
tles	금속비슷한
hp6k	prolative케이스
qyin	생물다양성
txak	항생물질
mlun	고정
txan	앗티늄
xran	우주비행사
dres	압축해제
tr6t	외계
hk6t	팔중주
hxus	열다출처
xlat	이상한사람
mraf	마라톤
ts6n	중반봄
ht6s	자폐성
nlif	이온화하다
txut	저명
hm6n	발광
kxis	클립미술
xrin	진행
xren	리디렉션
bxak	서표
pfos	찬성구
hvis	대변
hd6n	분모
brum	회의실
hqis	광신적애국주의자쇼비니스트
hk6n	엮다
xyit	시프트키
xyin	하나둘째
hxun	대해존재
hvas	역할
glok	블로그
hvak	사행
pxit	IP를주소
hvet	다음것에
xram	잇
hc6n	분명함
qran	코란
zyen	크세논가스원소
hqas	맹세하다...에서
bzas	인생등에지친
hj6n	비사람의
hnof	애매한
txas	업체
hbum	불교
ts6s	다툼
pxin	재료
hr6n	정액
hxim	중반여름
dxit	중반겨울
hxaf	파다
nlus	집식물
txap	지위바
vrit	유령작가
kxak	바보약
bxin	사람의신체
hqik	비옷
hxes	헤르츠
hxif	최면요법
xras	시간별
pl6k	보조원
dxat	무모함
hxip	항독소
vrat	반바지
hqek	재편
qrit	극성
pxot	게시하다사무실
hxom	정크우편
hqic	검토
lwun	푸른진피륙
hp6n	성숙
dxan	부착
xrak	배우역할
dxak	사고
hven	용기
mwap	만화조각
qlan	색블라인드
xros	옷을벗고
srom	쇼룸
hc6t	채팅
qrat	위하위
hn6t	금지
hqet	편물대지
fres	모금
froc	단조
xlak	하이퍼링크
vlat	유창
dvan	하차
gxin	정복하는
ryes	접수
kxot	커넥터
xyan	한계
vlan	신문
ryom	토륨원자
hluf	늙은나이
hquk	주입
lyum	툴륨원자
tyem	테르븀원자
hp6m	프라세오디뮴
txic	집페이지
mros	자동차여행자
dyam	로듐원자
pc6n	시도번호
nyos	받은편지함
pyek	영사기
kxon	크립톤
hxuc	구출
qrik	중심의케이스
xwin	무경험
kxic	끄는사람
hvot	순서도
dxot	요거트
hqut	기록아웃
pxen	성의
drok	골방아쇠
flon	변하기쉬운전화
txos	중간목소리
hqok	비스듬한케이스
xwik	환자케이스
hx6n	사전오늘날의
txik	색인손가락
hqen	보내는사람
mlap	악성코드
hvun	권고
hvon	입고있다아웃
vran	우편담체
pfes	교수
pwip	시인
hqam	작업아웃
gxat	적법
ks6t	사역동사
vrin	모집
kxip	클립판
sr6n	비승인
vlit	평가하는
tyup	근교
mrom	형태소
xron	헤드폰
gxak	값비싼
hrof	트로이사람말
xlas	마비시키는
dzet	개장
txac	항복
xrot	사용하지않은
txis	점매트릭스
syif	시단위
xrac	놀랍게도
brif	진값
dlos	모달케이스
txun	속성
dvat	나쁜강화
psom	먼저손
gjek	그밖에만약
nlem	단위의질량
qret	소매저장
txip	삼루타포인트
dlek	개별적으로
lwut	흐름흐름
dxis	극적으로
hs6m	세슘
vlak	철도차량
hn6m	Nerium서양
kxap	판지
bxan	벗어남
myem	5월의달
gxik	예의바른진상
hxoc	공기힘
xrok	동료
kr6t	스크린샷
txok	자동적으로
hxep	스케이트보드
srop	스마트폰
pxak	모자자물쇠
hk6k	사람들음악
hl6k	오일러의번호
pyom	폴로늄원자
xyam	탈륨원자
hvic	침입
lyok	위치격케이스
xlot	아파트
txen	재작성
kxac	역습
qrak	동맹파업파괴행위자
hbup	수영풀
txuk	짧은회로
tsef	테이퍼
bxit	편물주인
ksem	독서만
byim	루비듐원자
hvam	바나듐원자
lw6n	란탄
frum	플루오르원자
nyom	네오디뮴
mlom	multal번호
kxas	개인화
xret	테라바이트
hs6k	수색엔진
frus	부식
gxan	은하성별
vlas	발성
glet	가스페달
hvim	실행시간
bxip	비트맵
qrin	별성별
bvak	abessive케이스
pxon	없는
dvik	adessive케이스
dvek	agentive케이스
hlef	에이전트방아쇠
kwek	에케이스
kxen	공유지성별
ht6m	소환형태
tsuf	트랜스숫자
hf6n	미세화
tc6t	곧장목적
gvik	능동격케이스
gxon	분열
ksep	수용체
vyin	영화극장
pyos	수동태목소리
hnef	한정된동사
xwit	행성목적
hqim	금언의기분
jlak	일반화
vrik	결정적인입자
qyan	상상의단위
kxaf	속도의빛
xyic	피싱
qyit	결정적인포인트
hvek	evitative케이스
bvik	subessive케이스
hzes	소유케이스
prus	컴퓨터바이러스
ples	프로세서
pxif	경찰장교
dvak	lative케이스
brun	여행
tsi_k	antessive케이스
tyum	루테늄원자
vyak	부사의케이스
pxim	초기장관
syum	스트론튬원자
sy6n	수상
hy6n	생명있는성별
pxac	공감즐거움
vlin	차량성별
qwin	광물성별
hr6s	추천
tf6n	토너
xris	사용자인터페이스
hw6n	서약
xlen	언쟁명사
pyec	스프레드시트
vlim	가상의기억
bres	워드프로세서
hqip	구름컴퓨팅
vlic	가상의기계
pfam	스패머
dyap	둘째언어
txek	n번째뿌리
dxen	데이터채광
byip	사업사람
hs6c	본인자신
txim	참조
hb6t	변화의행사
hdem	도메인이름
dxon	다른행사
lwaf	플래시드라이브
sl6t	crastinal시제
xyik	기운없는디스크
fyif	재귀의목소리
bvin	우주성별
hm6p	마더보드
tfip	이적동사
jlen	소재지성별
xrap	스트라이프
tc6n	연구성별
sl6n	예술적인성별
xrek	환자방아쇠
xwan	추상성별
dxif	화상회의
dyip	간접적인연설
zrek	외심케이스
hvuk	불러일으키는
xwat	과거완료상
hr6m	레늄
txaf	트리거
hmef	비개인적인동사
tx6t	본문편집자
txes	집단적인명사
bvat	학대
bvuk	absolutive케이스
ry6t	방사부
vlis	가상의현실
qren	지구의성별
gvak	문법의케이스
bxok	노골적인
mrum	컴퓨터프로그램
ps6t	운영체계
hfom	음소
tlem	독서만기억
pwam	스파이웨어
kfif	핵심benefactive
qwit	합리성
nlaf	설치
nwok	연관케이스
dzas	불만을느끼게하다
swuk	최고의케이스
syos	요약
kr6n	전기같은흐름
dvin	생명이없는성별
pxom	propositive기분
vris	역수목소리
rwos	에어러졸
dr6t	distractor
ht6k	전기통신
slaf	사회적인네트워킹
lyuk	연속하는절
qras	상사
ty6n	단말기
gwet	곧미래시제
hp6s	실용적목소리
tsof	antipassive목소리
ht6p	continuative양상
hn6f	necessitative기분
pfip	수동태분사
glap	도구모음
sy6k	실존절
qyat	총명한강렬
hy6t	문법의목적
vyan	발음
sluf	singulative번호
dvit	과도한지속
qyak	단일동작동사
bzik	물리학
xlet	최고의정도
hqap	선물분사
qwat	양의물질
qyik	연결어입자
sr6t	초임계유동체
hfem	epenthetic형태소
tl6t	먼미래시제
mrif	마이크로폰
pcuk	postpositional케이스
tfim	닥치는대로의접속하다기억
fwim	에티디움
ly6t	훈시협정
hvap	스크롤바
hfep	반복표시의양상
bvan	분배의대명사
fyun	떠있는포인트번호
xyas	소거
hvif	동사부착
xyis	과거수동태분사
tl6n	본부처리단위
tfok	위치격방향의케이스
qwan	자주질문질문
