hnit	bấtđịnhcách
zrit	chínhthứcghidanh
pcos	cácmônthểthao
hjec	làmtan
dlas	xóabỏ
mras	ô
mram	khoángchất
cwut	cuộchưuchiến
hbok	convịt
swun	xàbông
dwak	búpbê
plif	Biệtthự
slon	May
tfut	khenngợi
djac	hòagiải
hjas	đànáp,kìmnén
kric	conthỏ
kwot	Nhạctrưởng
gzan	Bảohành
clot	ngườichơi
ksek	côntrùng
psam	tưthế
mwut	chimcú
htem	vĩnhviễn
clon	đànviôlông
dzin	cưdân
rwim	tươngứng
hyof	cólợi
dron	conrồng
dwit	thínhgiácchứngcớ
sroc	xuấtkhẩu
hzot	chấmdứt
djik	kéodài
kfik	Nắp
ryun	Quyđịnh
hmes	thịtrưởng
rwac	phầncứng
sruk	xiếc
sros	thiểusố
bzan	bạoloạn
kset	dànnhạc
bjon	Thịtbarọi
hjut	vôhạn
tfen	bảovệ
zwac	bấtlợi
dyin	thậntrọng
myis	nhạcsĩ
mlis	tinhthần
pret	khôngđủ
tsek	kiếntrúcsư
hlom	chanh
ksos	ho
crok	đauđầu
flin	khảnăngsinhsản
mrun	thợmộc
swec	ngẫunhiên
syuk	cáimuỗng
blun	khícầu
tcep	phấnviếtbảng
fric	giảikhát
rwik	theochiềudọc
rwen	ngănngừa
flet	suyluậnchứngcớ
pfac	nhàpháthành
srek	giấm
tfun	đườnghầm
pwet	câuđố
gyik	toán
fwot	phai
lwin	cânbằng
jwin	Gan
bwik	Sublativetrườnghợp
hdup	nhúng
hnop	độcquyền
bwic	tàungầm
ryen	bấtkể
hcem	độngđất
hbos	phòngthínghiệm
nrek	ngườilàmviệc
ryim	nhịp
nyic	giảithích
dwas	đạisứquán
rwok	chọcgiận
kram	khôngcókhảnăng
ksim	khaibáotâmtrạng
clok	sôcôla
pcec	đặcquyền
nyis	ẩnsĩ
tyoc	trùng
grak	vếttrầy
zlat	găngtay
hjuk	quìgối
trif	mônĐịalí
djit	cóhệthống
pson	bấtkhảchiếnbại
mwis	đầutư
cwec	bằnglờinói
hdek	thếtục
blik	chimưng
sloc	tâmlýhọc
brap	sắtvụn
jlat	cướpbiển
dros	liềuthuốc
slam	cáhồi
pwun	bánhpudding
gwik	cótừtính
pcop	máybơm
myen	tươngtự
ksen	ôxy
mrap	đốccông
tfot	giấychứngnhận
ksus	cụm
trok	thuậthùngbiện
tloc	thanhngang
zyan	chèo
nlun	đăngnhập
hlop	kínhviễnvọng
jlin	chínhtả
lyut	nhiềumây
hsof	lướtsóng
fyik	whisky
klet	tươngđối
hwof	liễu
hlum	conlạcđà
myet	nghiệpdư
klis	côlập
hbaf	tiểusử
gwac	conlừa
hwum	lờiđồn
pwik	quanđiểm
pron	pro
myes	hằngtháng
mwen	sựảotưởng
kfic	kìnghỉ
klek	nhấpchuột
cwon	hìnhtráixoan
lyak	dâycaosu
kwon	tựđiển
hjam	giămbông
rwon	cầuvồng
crip	bằngcáchnày
zwan	xảyra
srok	biêntập
craf	hạsỉ
tlok	xetăng
brip	Conbướm
tfap	biểuđồ
jwat	sinhđôi
pros	điềuhành
psun	điềm
clet	khốn
hbus	câytre
dyas	ngườichiabài
klun	tíchlũy
jlit	nhấttrí
hdom	cơnácmộng
kron	carbon
hzam	mứt
cyot	ngườinghe
hmem	bảotàng
lwam	bảngchữcái
fras	tiêutan
psoc	cúđấm
hgum	kẹocaosu
brek	phanh
glit	ổnđịnh
frun	thúi
gris	hunghăng
mroc	masát
bzit	connhện
plut	khoaitây
glac	thamlam
gzac	nhân
prun	quay
jlet	lịch
nyim	đềcử
tlos	nghìntỷ
slut	rauxàlách
fwit	khẳngđịnhtâmtrạng
pyen	cácứngdụng
nlon	hưdanh
dren	chứngminh
drun	khôngbằnglòng
cyok	nhúnvai
hfop	bóngđá
ryac	côngty
gzin	tiênphong
hgip	cảibắp
tyet	Khỏemạnh
hdof	idiophone
hwup	vôgiá
lwek	đònbẩy
syec	thượngnghịsĩ
jyak	chứa
mlim	conkiến
fwic	hiệuquả
gzit	Cóthai
blas	sựtínnhiệm
jrin	mỗingày
gwak	mắtcá
drik	kỳquặc
prif	biếnsố
jwit	đadạng
krip	phânbiệt
ryot	kinhngạc
nwut	đườngđibộ
kcif	tíchcực
jrak	conếch
twek	quáđángtrườnghợp
psot	sựchuộctội
pfon	bọtbiển
sluk	consóc
nlim	irrealistâmtrạng
ksaf	sựkhanhiếm
glak	núilửa
plen	thếcânbằng
kfaf	khănquàngcổ
kyon	khaithác
jlik	Địachấthọc
psop	hộchiếu
kfis	vịtrítuyểndụng
fyon	thânthuộc
nram	tráivớiđạođức
hbuk	bánhquy
gras	trance
hyos	losợ
flim	phimảnh
plet	máytínhbảng
rwam	nguyêntử
blis	vanilla
zlit	AIDS
fyut	khótánh
crim	hìnhkimtựtháp
hjif	bấthợppháp
crif	nhútnhát
lwap	trámbằngnhựa
tyon	Thiênvănhọc
mrim	mêlộ
drut	môtả
nrim	họcbổng
kruc	rùa
kwam	cốvấn
jrik	condế
dlut	chứngtỏ
pyot	chimbồcâu
dyon	thíchứng
prap	nhàđiềuhành
bzin	huyhiệu
tyek	Tamgiác
trec	thủquỹ
nron	khinhkhí
pyet	máyin
tsok	ngộpthở
zyin	mãntính
slek	Xeđạp
jyin	kỹthuật
ryas	truyềndẫn
zrak	Làmtươi
nyas	vũcông
gric	dicư
zlak	xâmphạm
tces	quầnvợt
hjun	nhiềugió
twen	cáchdệt
kyet	ngườisưutầm
gwit	xươngsống
kyot	dâynhau
fwin	tầnsố
tfuc	khungcửa
dlet	thưmục
pfik	ngườisuynghĩ
bjet	ngânsách
trek	chiếnlược
kros	đáthạchanh
gjit	kéo
gwic	côngtắcđiện
frik	lýthuyết
tluc	khăntắm
pruc	tuầntra
glic	bănghà
krun	đầyđủ
bjin	dựđoán
tlaf	thamdự
tfet	nhàchếtạo
bras	ởbên
dwik	bịcáo
clec	thoátra
cres	cờvua
tcef	quảanhđào
tcom	tìnhcờgặp
nyot	thôngdịchviên
tyok	xetải
cyip	vượtqua
grot	mùtạt
bris	khôngdây
nlam	bánđấugiá
slif	rây
hgos	rỉsét
swoc	khôngvửng
jyat	phásản
slum	đạoHồi
hjes	điềutradânsố
dzat	nhóngótchân
slun	đìnhchỉ
nwot	liêntục
gyic	đànghita
pfas	thànhkiến
zyik	kẽm
blen	sáng
hyem	câydu
hnep	chenlấn,xôđẩy
nyut	dệtkim
ryam	đạidanhtừđánhdấu
clim	đồgiavị
jret	sựsắcbén
tfon	chọctức
jwac	java
hrep	côngthức
dyac	nhượngquyềnthươngmại
myip	mét
rwis	chủngtộc
hkem	saochổi
nwon	sựđổimới
zwin	cấmchỉ
dyis	trungcổ
mrec	chimsesẻ
fyot	chúthích
mlon	sựđolường
pfis	sựphêchuẩn
rwot	quĩđạo
hfok	thanhđạm
glof	golf
zron	sốkhông
hzip	zip
hwom	Vôgiacư
bjic	sựnhai
pcim	thựchiệnđầyđủ
hjip	Chip
bwac	ngáp
mlos	nốtruồi
mrip	đồgốm
bron	phôithai
ksoc	khấutrừ
cyum	men
jyan	biệtngữ
plim	mận
mwet	nghĩađịa
ryet	tốtnghiệp
glik	thủylợi
plap	nhàtưbản
tsif	Độcodãn
gyak	cámập
djon	mặcđịnh
nwun	đúnggiờ
cles	chủnghĩahiệnthực
dris	lên
hkef	quáncàphê
blus	xecấpcứu
blap	ví
bjak	ngâyngất
klim	nhănnhó
gyac	nhàkhoahọc
jyit	bìnhthản
dzit	hiệnthực
bwak	ngoàitrời
dyot	Radio
bwon	hạtđậu
fris	khôngchínhthức
klut	đầucơ
tfek	miếngbòhầm
nrok	nitơ
zyat	daocạo
bram	lầmbầm
ryis	mởđầu
nlip	phântích
nros	tươngphản
hcof	quầnáomặctrongnhà
tfif	khuyếnkhích
kroc	luốngcày
hdum	đạoDothái
pses	ngườinhận
plok	bổthể
lyet	ốngkính
pwek	pegativetrườnghợp
kfas	bệnhungthư
pwen	cầmđồ
nrun	nhắcnhở
clek	ròrỉ
pcif	sựbiệnhộ
glas	phứctạp
zwit	lắmlời
kces	sựđầyđủ
crem	bánlẻ
grap	vồlấy
kwip	canthiệpvào
dyut	chiếtkhấu
crus	hệthống
gyet	ngọcbích
gram	tiếngcằnnhằn
kyip	conthằnlằn
nyet	tậpgiấy
crop	thácnước
glon	gallon
mrok	muỗi
fluc	lưuloát
dwic	độlệch
slec	nhàthámhiểm
srec	hếthạn
blut	vậtlộn
myok	khảm
tlek	phíchcắm
nruk	truyềnnhiễm
nwoc	từràyvềsau
bjut	ngồixổm
hges	mangthai
twoc	tạphóa
kyos	cộngsản
mrek	làmkinhngạc
clip	sựănnăn
pwok	prosecutivetrườnghợp
dwot	nhàđộctài
zyac	sựlolắng
jlic	vệtinh
slop	dép
ryip	cânđối
psim	ướcchừng
byet	ngườithấtnghiệp
cyop	sởthích
rwun	tiêuchuẩn
blop	bóngđèn
syok	ngườiủnghộ
klos	clo
lwot	clorua
byic	vikhuẩn
lyik	dính
blok	sinhhọc
jlac	đặtchuyện
bret	byte
krif	sựtiết
blet	balê
nruc	nướctiểu
tsus	củtỏi
dyak	tầnglớptrunglưu
tcem	kẹp
cyoc	tháchthức
trep	dâu
dlun	sựônhiễm
hlup	album
hbep	bóngchày
praf	viphạmbảnquyền
pwis	phântừ
grek	nhàxe
kruk	cáinạng
hfof	phốtpho
rwut	cấutrúc
myam	phòngthểdục
krec	Máytrục
jras	nhàthầu
zrik	thôngbáo
blam	phòngkhiêuvũ
klip	thủcông
hwef	chưathanhtoán
zlac	chuối
gret	máyphátđiện
lwuk	xươngsườn
nyek	kền
blos	xebuýt
sles	phápquan
tlif	gạch
kses	xúcxích
mwot	càchua
lyot	Tựđộng
tsom	kali
brut	ảo
djap	đạisốhọc
hjok	generic
kfen	cáckháiniệm
pcok	quanghọc
bzut	nhúcnhích
syek	thấtnghiệp
mruc	sâubướm
bwas	trìnhduyệt
klif	canxi
rwet	xaquákhứcăng
srif	lịchsửcăng
hwem	quangphổ
syom	natri
tyos	ủythác
jyic	contin
hguk	câybầu
dwun	nếpnhăn
swip	mũinhọn
tlec	đánhdấu
blaf	hãmhiếp
tsem	thuyếtvôthần
mloc	mànhình
gyot	cóđiềukiện
trop	thămdò
rwap	hàngquý
hjep	tính
pyim	bạchkim
dlon	haiconsố
pcep	phổi
twuk	cọrửa
tyec	tag
syup	siêu
trom	xeđẩyhàng
nyip	tạiđịaphương
glis	xăng
gjik	quảthận
hjos	khônggiámsát
hjuc	cướpbốc
swek	làmviệcquásức
psek	Thạchtín
twok	thốngkê
tsep	Châuchấu
slos	xãhộichủnghĩa
nwim	cảmchứngcớtâmtrạng
tlop	tủđựngquầnáo
trus	gâytranhcãi
pwot	buộcbằngdâyxích
djot	trầmtích
nloc	mũitẹt
mwon	Quanthoại
hjek	nàingựa
crom	hợptác
myon	viêmphổi
twec	đặtvịtrí
ryek	hỏatiển
dlic	cổtức
kwet	giàytrượtbăng
bwen	sựámảnh
plon	sựphânphối
syon	phậpphòng
djis	kỹthuậtsố
byut	chócái
hyep	mímắt
dwon	đườngchéo
byis	tiềmthức
brec	lôngmày
cyec	hắtxì
hwop	watt
clus	vuivẻ
kfun	chiếm
nwum	ấnđộgiáo
fyim	ngườitịnạn
cwos	đưađón
tfoc	làmđaunhức
pwon	chấtđạm
sraf	tựhàilòng
hbom	chấtmửara
gyen	gen
drim	sinhviênnămđầu
trem	đồtrangbị
tsup	làmtiêutan
slok	xãhộihọc
kwoc	bíđao
bwam	cửtri
mlok	diđộng
kyen	khuvực
hmop	vậnđộngkhókhăn
rwek	quákhứ
kfup	hìnhlậpphương
grok	càrốt
drap	lừaphỉnh
lwis	phântử
ksuc	kếtoán
tsop	mùihôi
kyok	quảdưachuột
nroc	orgy
jlot	hòatan
psof	phosphate
hgif	làmmồi
kfim	kiềm
psos	mônthểdục
pfen	xácminh
kcom	kinhtế
krom	dấuphẩy
tluk	sựuốnéo
hyom	iốt
nwuc	vậnđộngxuốngdốc
gjac	sẩythai
pcom	pod
dzic	nhàthiếtkế
grun	nóiphách
dzot	nhàtàitrợ
hzek	mangan
kfot	bànphím
jlas	khôngđángtincậy
lyim	ưutú
jyen	yên
pcaf	ngoặc
rwip	bóngbầudục
blip	kinhthánh
kyoc	sựgâyra
lyon	ungnhọt
flis	biếncách
nrif	gặmcỏ
kfam	lượngtử
swes	áolen
lwon	tiếnhóa
drec	sựmổxẻ
gjap	spa
lyec	tuyếntính
tyom	antimon
pwuk	superessivetrườnghợp
flaf	alpha
myim	miễndịch
pcek	bắtcóctrẻcon
bjac	nhàmáybia
bzac	giãmbớt
bzak	bíttất
twes	tivi
dwut	phimtàiliệu
ksom	vũtrụ
lyis	lâmnghiệp
lwim	nhôm
ksok	lásốtửvi
sruc	giục
dlif	cáheo
byik	kẻgiếtngười
tfec	vănphòngphẩm
hjaf	độngvậtcóvú
ryok	giaothức
dwis	dioxide
jlon	Dấuhaichấm
brus	quanliêu
gjak	Thiênhà
lyip	lâmsàng
ryem	đườngbánkính
href	loãng
prok	tủlạnh
slep	ngườidâmdục
dret	lặpđilặplại
kluk	khảocổhọc
dlis	tậtriêng
kfip	khôngthểchấpnhậnđược
mlec	xoabóp
pfif	đặcđiểmkỹthuật
nrec	cảm
pfet	tờrơi
hzoc	nềntảng
dlam	lýtưởng
nlec	nhânchủnghọc
kluc	ngon
dyet	sedan
tyif	tha
krus	khúmnúm
nluc	hướngdương
lyun	ion
zrot	dẫnđộ
ksif	làmsai
psif	phátthải
crup	chồngchéo
fret	ngườitìmra
grut	đảongược
ksec	bạncùnglớp
jric	hànhtrình
mrop	lòvisóng
srus	trụcxuất
gyas	thợlàmtóc
floc	vănhóadângian
plek	maomạch
nwop	mông
nrom	ngườiđiềukhiển
twos	khủngbố
lwok	khẩuhiệu
dwet	tăngca
slem	làmănda
grip	nướng
gwas	wow
kwok	coban
gwon	vênhváo
hdop	vậnđộngthượngnguồn
glam	hậumôn
bwot	giốngbò
bren	ruột
byot	video
bjik	tẩychay
kwim	đố
cwek	khúccôncầu
grif	dukích
hgem	magiê
hyes	nhậnthức
fram	tiệmthuốc
nwos	khôngcóthamvọng
ryap	sắpxếplại
cwim	sựđángtincậy
klep	tảobẹ
psec	trảlại
djic	khắpthếgiới
kfut	Lệnhgiớinghiêm
crep	bánhhamburger
frim	địnhlý
gjas	khơidậy
hdef	ghinợ
ryum	uranium
pluk	đánhgiá
krop	phốihợp
nraf	ngườitrảthuế
tyes	tíchhợp
plip	phátbiểu
hgom	gamma
hgus	hệsố
cwuc	lòsưởi
zret	trừ
nles	phântích
trof	tựđộngtừ
hmof	trungtâmmuasắm
hzim	thanhdiên
dzac	quánăn
psok	bưuthiếp
blon	hộitụ
djet	lạcđề
ksum	cổđông
mrup	vitrùng
clif	vànhtai
cloc	hìnhtháihọc
tfes	ngườicungcấp
gjis	Quầnjean
jren	liênkết
tlep	cơsởdữliệu
kcup	phiếumuahàng
glot	Vôn
glut	máytính
srep	khônggianmạng
nwes	ngườiđầutư
ksef	tiaX
bzis	thịthực
frut	cơsởhạtầng
nyuk	conđomđóm
dyik	pháthiện
plec	ghépmộng
brom	mộthóachất
plop	sựchechở
zlik	silicon
flut	volt
ksop	mỹphẩm
gjun	chảichuốt
kfok	nấccục
hpof	bắprang
hzuk	vườnbáchthú
nyoc	ýnghĩa
jwak	yoga
brim	bối
kles	chémđầu
mwam	vâng
fwik	phaohoa
djas	nhạcjazz
dyim	âmthanh
tsum	vonfram
drip	chảynướcdãi
lyaf	tiềntrợcấp
prom	lậptrìnhviên
nrup	đầuvào
hfes	phảnxạ
rwaf	câycúc
dlen	tàiliệu
byas	vắc-xin
fron	heroin
dluk	ngắtkếtnối
dyun	chẩnđoán
flap	thưmục
kfet	âmcực
dlim	tưtưởng
prek	bãiđỗxe
syoc	ảnhchụp
slus	khảnăngtiếpcận
nlos	anticlimax
mlen	selen
pres	vỏcây
hlof	lưuhuỳnh
nlek	hiệntạiliênquanđánhdấu
gwot	phitrường
mwip	Kẻlừađảo
klop	congián
kwom	cơrôm
hl6t	lít
nwec	dùsao
glip	tuầnhoàn
nrop	lươngbổng
crum	kíchthíchtố
dlep	nhàpháttriển
frot	khoanlổ
bwoc	sựpháhoại
fwis	nữquyền
djok	liênhợp
draf	hiệnđạihóa
trum	cựcđoan
graf	thuậttoán
lwes	tialaser
mlem	milimet
flen	uốncong
zlot	dươngcực
swok	ômchặtvàolòng
klec	chómệtmỏi
pwim	bánthờigian
htuf	cángừ
fyis	xưởnglọcdầu
lwet	độnhạy
mrem	máytínhlớn
jwic	trẻhóa
droc	ngườiđibiểutình
clem	heli
dzik	nóihaithứtiếng
psem	huyếttương
hjom	nhiễmsắcthể
rwuc	thứtự
tyus	sốnguyên
klom	km
hfos	fax
nwek	ditruyềnhọc
jrap	cáivặnvít
zwas	Mónkhaivị
bwok	bôngcảixanh
dwap	bộchuyểnđổi
syem	thưrác
blek	vector
tlus	chiếnthuật
pyif	khôngxácđịnh
cwoc	ổnthỏa
mrep	ampe
hbem	vitamin
hxan	ngườigácdan
hxut	trợcấp
hk6m	cadmium
hxin	tínhđồngthời
txin	titan
kxin	ký
klum	giaocấu
xlis	đồnghồcát
hqak	thuộcvềcúpháp
hxat	sángtạo
hxik	cuốnsáchđiệntử
hxas	nơilàmviệc
bxon	bằngtố
dxin	cảm
hxit	máybaylênthẳng
tlum	tênchấthóahọc
txit	hạnchót
kxat	oxyhóa
hvik	cănchỉnh
nluk	analog
nyem	centimet
hm6t	molypden
hl6m	lithium
ht6t	đaphươngtiện
xlit	nhiệtlượng
ryop	ngườimáy
pxas	dượcsĩ
hxak	bàitậpvềnhà
lwif	trườngsởcách
grim	đốisố
hqat	conbọngựa
qlit	sinhtháihọc
xlik	pharượu
mlep	bảnmẫu
hqit	sựphóngxạ
kxim	kg
hxen	ngườithuê
hxot	ănnhiềuquá
kyif	máyphotocopy
fwet	phầnmềmmiễnphí
txet	tậphợpcon
hs6n	nốitiếp
hxet	rình
xrat	cắttóc
hqan	nhốt
hr6t	iridium
bxat	băngthông
dxet	máytínhđểbàn
hxis	mũ
hxok	trụsởchính
hxek	đểlộnchổ
srem	kimthuộclàmmămsôngđèn
hp6t	bộphậnngữ
pxik	bộphậnngữtrườnghợp
kxet	băngcassette
pruk	siêuthị
hvit	ýchí
xlin	ẩn
frip	mãhóa
hvep	trảnhiềuquá
hxon	đồngbộhóa
kxit	tốiđahóa
hqin	Hộithảo
tr6n	âmthanhnổi
ht6n	dâybuộc
hvat	sắptới
sl6s	C
hn6n	neon
ts6t	thựcthờigian
hvin	sắpxếp
pxat	quầybáo
myoc	mô-đun
ps6s	mỳống
bwek	cặp
dlok	sangtrọng
fraf	bứctườnglửa
hr6k	tạotác
txat	giờăntrưa
hqon	rauoregano
pxun	plutonium
ks6n	máytrạm
slef	thangcuốn
xrit	ngườibảovệ
hvut	làmđôngdânquá
xrim	hóayttri
hx6t	chửdùngthêmý
hqum	têntruynhập
hl6n	ngườibánhàng
gron	chấtagon
pxan	quảngcáo
hvac	Máyrửachén
xlan	toàncầuhóa
txon	bướcsóng
xrik	táichế
hxap	balô
hxac	khởiđộnglại
xyat	viêmgan
cwep	tiềnlương
hxos	hìnhxuyến
txif	kiểuchữ
qlat	ngườibuônbánnhà
txot	Trungthu
hxam	mộtphầnngàngờram
pxis	điểmảnh
pwif	xemtrước
txam	tantali
myek	nhiệtđộnglựchọc
hbop	cuộcđộtnhập
hqot	tan
xlic	xelăn
gxit	diệtchủng
hvan	chữacháy
glim	hóagali
pfop	poplên
hzum	zirconi
xlon	đườngdâynóng
qlin	phituyến
kxam	tênchấthóahọc
blim	béryl
kxik	cấuhình
nr6n	nơron
hpef	nhậnchắc
hruf	bộđịnhtuyến
kxan	giaithừa
hxic	hướngdẫn
xlip	bóngchuyền
dyek	debug
hxop	đồnghồđeotay
qrot	neutron
nwip	chấtniop
hs6t	phòngvệsinh
grem	hóagécman
tles	ákim
hp6k	prolativetrườnghợp
qyin	đadạngsinhhọc
txak	khángsinh
mlun	cốđịnh
txan	actinchấtphátquangtuyến
xran	phihànhgia
dres	sứcép
tr6t	ngoàitráiđất
hk6t	octet
hxus	mởnguồn
xlat	crackpot
mraf	marathon
ts6n	mùaxuângiữa
ht6s	tựkỷ
nlif	ionhóa
txut	danhnhân
hm6n	phát
kxis	kẹpnghệthuật
xrin	trảiqua
xren	chuyểnhướng
bxak	bookmark
pfos	procụmtừ
hvis	phân
hd6n	mẫusố
brum	phònghọp
hqis	ngườiyêunước
hk6n	biênsoạn
xyit	sựthayđổiChìakhóa
xyin	mộtgiây
hxun	đangtồn
hvas	vaitrò
glok	Blog
hvak	uốnkhúc
pxit	ipđịachỉnhà
hvet	bêncạnh
xram	rum
hc6n	sựhiểnnhiên
qran	kinhKoran
zyen	xenon
hqas	thề-in
bzas	chán
hj6n	khôngNhânloại
hnof	khônghứahẹn
txas	cácnhàsảnxuất
hbum	Phậtgiáo
ts6s	tranhcãi
pxin	Thànhphần
hr6n	khẩuphần
hxim	giữamùahè
dxit	giữamùađông
hxaf	đào
nlus	câynhà
txap	trạngtháiquánba
vrit	ngườiviếtmướn
kxak	đánhlừaxungquanh
bxin	cơthểconngười
hqik	áomưa
hxes	vôtuyếnđiện
hxif	thôimiên
xras	từnggiờ
pl6k	vấnpháplý
dxat	sựliềulỉnh
hxip	khángthể
vrat	quầnshort
hqek	địnhhìnhlại
qrit	tínhphâncực
pxot	Bưuđiện
hxom	thuyềnmànhthư
hqic	phêbình
lwun	Quầnjeanxanh
hp6n	trưởngthành
dxan	gắn
xrak	diễnviênvaitrò
dxak	Tainạn
hven	hộpđựng
mwap	truyệntranh
qlan	mùmàu
xros	cởiquầnáo
srom	showroom
hc6t	tròchuyện
qrat	lộnngược
hn6t	ứcchế
hqet	trangmạng
fres	gâyquỹ
froc	rèn
xlak	siêuliênkết
vlat	ngườicótánhhoạtbát
dvan	lênbờ
gxin	chiếnthắng
ryes	lễtân
kxot	kếtnối
xyan	phânđịnh
vlan	nhàquảngcáo
ryom	chấthóahọcnguyêntử
hluf	tuổigià
hquk	chích
lyum	chấthóahọcnguyêntử
tyem	chấthóahọcnguyêntử
hp6m	praseodymium
txic	nhàtrang
mros	ngườiláixehơi
dyam	chấthóahọcnguyêntử
pc6n	thửnghiệmconsố
nyos	hộpthưđến
pyek	máychiếu
kxon	tênmộtchấtkhí
hxuc	giảicứu
qrik	trungtâmtrườnghợp
xwin	tínhthiếukinhnghiệm
kxic	bìnhchữa
hvot	sơđồ
dxot	sữachua
hqut	đăngnhậpngoài
pxen	phòngban
drok	mụctiêucòsúng
flon	điệnthoạidiđộng
txos	ởgiữagiọngnói
hqok	xiêntrườnghợp
xwik	bệnhnhântrườnghợp
hx6n	thuộcvềngàynaytrước
txik	ngóntrỏ
hqen	ngườigửi
mlap	phầnmềmđộchại
hvun	sựlàmchophục
hvon	mặc-ra
vran	ngươiđưathư
pfes	giáosư
pwip	thisĩ
hqam	tậpthểdục
gxat	tínhhợppháp
ks6t	chỉnguyênnhân
vrin	tuyểndụng
kxip	kẹpbảng
sr6n	khôngchấp
vlit	phỏngchừng
tyup	vùngngoạiô
mrom	hìnhvị
xron	tainghe
gxak	tốnkém
hrof	Trojanconngựa
xlas	têliệt
dzet	trangtrílại
txac	đầuhàng
xrot	khôngdùngđến
txis	chấmmatrận
syif	sicácđơnvị
xrac	thậtngạcnhiên
brif	nhịphâncógiátrị
dlos	phươngthứctrườnghợp
txun	thuộctính
dvat	nóngtính
psom	đầutay
gjek	else-if
nlem	đơnvịcủakhốilượng
qret	bánlẻcửahàng
txip	bađiểm
dlek	cánhân
lwut	dòngchảyhiệntại
dxis	đángkể
hs6m	hóachấtcêci
vlak	Railcar
hn6m	nerium
kxap	cáctông
bxan	khởihành
myem	thángnăm
gxik	quyềncôngdân
hxoc	khôngquân
xrok	đồngnghiệp
kr6t	ảnhchụpmànhình
txok	tựđộng
hxep	vántrượt
srop	điệnthoạithôngminh
pxak	mũKhóa
hk6k	dânca
hl6k	euler's-số
pyom	chấthóahọcnguyêntử
xyam	chấthóahọcnguyêntử
hvic	xâmlược
lyok	trườngsởcáchtrườnghợp
xlot	cănhộ
txen	trìnhbàylại
kxac	phảncông
qrak	strikebreaker
hbup	Hồbơi
txuk	ngắnmạch
tsef	thon
bxit	webchủnhà
ksem	đọcchỉcó
byim	chấthóahọcnguyêntử
hvam	chấthóahọcnguyêntử
lw6n	tênchấthóahọc
frum	chấthóahọcnguyêntử
nyom	neodymium
mlom	multalconsố
kxas	cánhânhoá
xret	terabyte
hs6k	Tìmkiếmđộngcơ
frus	ănmòn
gxan	Thiênhàtính
vlas	cácâmthanh
glet	chânga
hvim	thờigianchạy
bxip	bitmap
qrin	ngôisaotính
bvak	abessivetrườnghợp
pxon	khôngcósẵn
dvik	adessivetrườnghợp
dvek	agentivetrườnghợp
hlef	đạilýcòsúng
kwek	đếntrườnghợp
kxen	chungtính
ht6m	tríchdẫnhìnhthức
tsuf	xuyênsố
hf6n	xửphạt
tc6t	Chỉđườngvật
gvik	ergativetrườnghợp
gxon	phânmảnh
ksep	thụ
vyin	rạpchiếuphim
pyos	thụđộnggiọngnói
hnef	cóhạnđộngtừ
xwit	tiểuhọcvật
hqim	châmngôntâmtrạng
jlak	kháiquát
vrik	cuốicùnghạt
qyan	tưởngtượngđơnvị
kxaf	tốcđộánhsáng
xyic	lừađảo
qyit	trọngđiểm
hvek	evitativetrườnghợp
bvik	subessivetrườnghợp
hzes	chiếmhữutrườnghợp
prus	virusmáytính
ples	vixửlý
pxif	cảnhsátnhânviênvănphòng
dvak	lativetrườnghợp
brun	dulịch
tsi_k	antessivetrườnghợp
tyum	chấthóahọcnguyêntử
vyak	thuộcvềtrạngtừtrườnghợp
pxim	thủtướng
syum	chấthóahọcnguyêntử
sy6n	sựmậpmờ
hy6n	độngtính
pxac	đồngcảmvuisướng
vlin	xecộtính
qwin	khoángchấttính
hr6s	giớithiệu
tf6n	mực
xris	ngườidùnggiaodiện
hw6n	sựtuyênthệ
xlen	bằnglờinóidanhtừ
pyec	bảngtính
vlim	ảokýức
bres	lờivixửlý
hqip	đámmâymáytính
vlic	ảomáymóc
pfam	spammer
dyap	thứhaingônngữ
txek	thứn-root
dxen	dữliệukhaithácmỏ
byip	kinhdoanhmộtngười
hs6c	tựsựtựtin
txim	cập
hb6t	thayđổicủabiếncố
hdem	miềnTên
dxon	khácnhaubiếncố
lwaf	đènflashláixe
sl6t	crastinalcăng
xyik	mềmđĩa
fyif	phảnxạgiọngnói
bvin	vũtrụtính
hm6p	bomạchchủ
tfip	thađộngtừ
jlen	địabàntính
xrap	sọc
tc6n	nghiêncứutính
sl6n	nghệthuậttính
xrek	bệnhnhâncòsúng
xwan	trừutượngtính
dxif	hộinghịtruyềnhình
dyip	giántiếpphátbiểu
zrek	exocentrictrườnghợp
hvuk	gợilên
xwat	quákhứhoànbị
hr6m	rheni
txaf	kíchhoạt
hmef	nhânhóađộngtừ
tx6t	bảnvănbiêntậpviên
txes	tậphợpdanhtừ
bvat	ngượcđãi
bvuk	absolutivetrườnghợp
ry6t	sốradian
vlis	ảothựctế
qren	hànhtinhtính
gvak	ngữpháphợp
bxok	hói
mrum	máyvitínhchươngtrình
ps6t	điềuhànhhệthống
hfom	đơnâm
tlem	đọcchỉcókýức
pwam	phầnmềmgiánđiệp
kfif	cốtlõibenefactive
qwit	tínhhợplý
nlaf	càiđặt
nwok	kếthợptrườnghợp
dzas	bấtmản
swuk	tốithượngtrườnghợp
syos	tổnghợp
kr6n	điệnhiệnhành
dvin	vôhồntính
pxom	propositivetâmtrạng
vris	đốiứnggiọngnói
rwos	aerosol
dr6t	tá
ht6k	viễnthông
