hnit	nauni
kfaf	skafu
kyon	kunyonya
jlik	kijiolojia
psop	pasipoti
kfis	nafasi
fyon	mshikamano
nram	kinyumechamaadili
hbuk	biskuti
gras	maono
hyos	apprehensive
flim	filamu
plet	kibao
rwam	chembe
blis	vanilla
zlit	misaada
fyut	fastidious
crim	piramidi
hjif	kinyumechasheria
crif	shyness
lwap	kinanda
tyon	elimuyanyota
mrim	maze
drut	maelezo
nrim	udhamini
kruc	kobe
kwam	mshauri
jrik	kriketi
dlut	kuashiria
pyot	mbaazi
dyon	kukabiliananahali
prap	operator
bzin	beji
tyek	pembetatu
trec	mwekahazina
nron	hidrojeni
pyet	printer
tsok	hulisonga
zyin	sugu
slek	baiskeli
jyin	uhandisi
ryas	maambukizi
zrak	mahitaji
nyas	dancer
gric	uhamiaji
zlak	kukiuka
tces	tennis
hjun	windy
twen	weave
kyet	ushuru
gwit	mgongo
kyot	chord
fwin	mzunguko
tfuc	kufungwa
dlet	directory
pfik	thinker
bjet	bajeti
trek	mkakati
kros	quartz
gjit	mkasi
gwic	kubadili
frik	kinadharia
tluc	kitambaa
pruc	doria
glic	glacier
krun	ukamilifu
bjin	utabiri
tlaf	kushiriki
tfet	watengenezaji
bras	lateral
dwik	mshtakiwa
clec	kutoleanje
cres	chess
tcef	cherry
tcom	mashaka
nyot	translator
tyok	lori
cyip	inapita
grot	haradali
bris	wireless
nlam	mnada
slif	ungo
hgos	kutu
swoc	unsteady
jyat	bankrupt
slum	islam
hjes	sensa
dzat	njongwanjongwa
slun	kuahirisha
nwot	mwendelezo
gyic	guitar
pfas	upendeleo
zyik	zinc
blen	shiny
hyem	elm
hnep	kinyang'anyiro
nyut	knitted
ryam	pronounmarker
clim	spice
jret	sharpness
tfon	tease
jwac	java
hrep	kichocheo
dyac	franchise
myip	mita
rwis	ubaguziwarangi
hkem	Comet
nwon	innovation
zwin	marufuku
dyis	medieval
mrec	shomoro
fyot	footnote
mlon	kipimo
pfis	kuridhiwa
rwot	obiti
hfok	frugal
glof	gofu
zron	sifuri
hzip	zip
hwom	wasionamakazi
bjic	kubugia
pcim	kutimiza
hjip	chip
bwac	yawn
mlos	mole
mrip	ufinyanzi
bron	kiinitete
ksoc	punguzo
cyum	chachu
jyan	jargon
plim	plum
mwet	graveyard
ryet	Hitimu
glik	kilimochaumwagiliaji
plap	ubepari
tsif	elasticity
gyak	papa
djon	chaguo-msingi
nwun	punctual
cles	uhalisia
dris	inazidi
hkef	cafe
blus	ambulance
blap	mkoba
bjak	ecstatic
klim	grimace
gyac	mwanasayansi
jyit	equanimity
dzit	kweli
bwak	nje
dyot	radio
bwon	maharage
fris	isiyorasmi
klut	kubashiri
tfek	steak
nrok	nitrogen
zyat	wembe
bram	kunong'ona
ryis	utangulizi
nlip	kuchambua
nros	zinazokinzana
hcof	undress
tfif	motisha
kroc	mitaro
hdum	Judaism
pses	mpokeaji
plok	inayosaidia
lyet	Lens
pwek	pegativekesi
kfas	kansa
pwen	pawn
nrun	kukumbusha
clek	leak
pcif	uthibitisho
glas	utata
zwit	talkative
kces	kujitosheleza
crem	Rejareja
grap	kunyakua
kwip	kuingiliakati
dyut	discount
crus	uongozi
gyet	jade
gram	gwafua
kyip	mjusi
nyet	pedi
crop	maporomokoyamaji
glon	gallon
mrok	mbu
fluc	ufasaha
dwic	kupotoka
slec	Explorer
srec	expiring
blut	kushindana
myok	mosaic
tlek	kuziba
nruk	kuambukiza
nwoc	Tangu
bjut	squat
hges	mimba
twoc	vyakulanavinywaji
kyos	kikomunisti
mrek	amaze
clip	toba
pwok	prosecutivekesi
dwot	dikteta
zyac	preoccupation
jlic	satellite
slop	slipper
ryip	sawia
psim	takriban
byet	ajira
cyop	hobby
rwun	kigezo
blop	bulb
syok	msaidizi
klos	chlorine
lwot	chloride
byic	vimelea
lyik	nata
blok	kibaiolojia
jlac	jipa
bret	Byte
krif	secretion
blet	ballet
nruc	mkojo
tsus	vitunguu
dyak	darajalakati
tcem	koleo
cyoc	changamoto
trep	strawberry
dlun	uchafuzi
hlup	albamu
hbep	baseball
praf	uharamia
pwis	Mmoja
grek	karakana
kruk	mkongojo
hfof	phosphorus
rwut	kimuundo
myam	gymnasium
krec	crane
jras	mkandarasi
zrik	kuwaarifu
blam	ballroom
klip	fundi
hwef	hazijalipwa
zlac	banana
gret	jenereta
lwuk	ubavu
nyek	nickel
blos	basi
sles	censor
tlif	tile
kses	sausage
mwot	nyanya
lyot	auto
tsom	potassium
brut	virtual
djap	algebra
hjok	generic
kfen	dhana
pcok	macho
bzut	Budge
syek	ukosefuwaajira
mruc	caterpillar
bwas	kisakuzi
klif	calcium
rwet	kijijinisikuzanyumauliopo
srif	kihistoriauliopo
hwem	wigo
syom	sodiamu
tyos	mdhamini
jyic	mateka
hguk	gourd
dwun	kasoro
swip	Mwiba
tlec	Jibu
blaf	ubakaji
tsem	atheism
mloc	kufuatilia
gyot	masharti
trop	probe
rwap	robomwaka
hjep	jinsia
pyim	platinum
dlon	mbiliidadi
pcep	mapafu
twuk	scouring
tyec	tag
syup	super
trom	kitoroli
nyip	ndaniyanchi
glis	petroli
gjik	figo
hjos	unattended
hjuc	kupora
swek	overworked
psek	arseniki
twok	takwimu
tsep	panzi
slos	ujamaa
nwim	hisiaevidentialmood
tlop	Tablecloth
trus	utata
pwot	leash
djot	mashapo
nloc	ofarlig
mwon	mandarin
hjek	jockey
crom	kushirikiana
myon	pneumonia
twec	situate
ryek	roketi
dlic	mgao
kwet	skate
bwen	obsession
plon	mgawohuo
syon	chupi
djis	digital
byut	Bitch
hyep	Eyelid
dwon	diagonal
byis	subconscious
brec	eyebrow
cyec	kuchafya
hwop	watt
clus	hilarious
kfun	occupancy
nwum	Uhindu
fyim	wakimbizi
cwos	kuhamisha
tfoc	kichomi
pwon	protini
sraf	binafsiameridhika
hbom	matapishi
gyen	jeni
drim	freshman
trem	iliyosheheni
tsup	kuwavunja
slok	sosholojia
kwoc	boga
bwam	wapigakura
mlok	uhamaji
kyen	kikanda
hmop	mwendouphill
rwek	retrospective
kfup	cube
grok	karoti
drap	kumnasa
lwis	Masi
ksuc	mhasibu
tsop	uvundo
kyok	tango
nroc	orgy
jlot	kutengenezea
psof	phosphate
hgif	sihiri
kfim	alkali
psos	gymnastics
pfen	uhakiki
kcom	mchumi
krom	comma
tluk	wriggle
hyom	madini
nwuc	mwendokuteremka
gjac	kuharibikakwamimba
pcom	ganda
dzic	designer
grun	majisifu
dzot	wafadhili
hzek	manganese
kfot	keyboard
jlas	uhakika
lyim	wasomi
jyen	yen
pcaf	mabano
rwip	mchezowaraga
blip	Biblia
kyoc	Sababu
lyon	kidonda
flis	Inflected
nrif	nibble
kfam	quantum
swes	sweta
lwon	evolutionary
drec	dissection
gjap	spa
lyec	linear
tyom	antimoni
pwuk	superessivekesi
flaf	alpha
myim	kinga
pcek	utekajinyara
bjac	kampuniyabia
bzac	abridge
bzak	sock
twes	televisheni
dwut	documentary
ksom	cosmos
lyis	misitu
lwim	alumini
ksok	horoscope
sruc	kuharakisha
dlif	dolphin
byik	muuaji
tfec	vifaavya
hjaf	mamalia
ryok	itifaki
dwis	dioxide
jlon	colon
brus	urasimu
gjak	galaxy
lyip	kliniki
ryem	radium
href	rarefied
prok	jokofu
slep	satyr
dret	iteration
kluk	archaeological
dlis	idiosyncrasy
kfip	haikubaliki
mlec	massage
pfif	vipimo
nrec	hisia
pfet	kipeperushi
hzoc	zinasababisha
dlam	walau
nlec	anthropolojia
kluc	kitamu
dyet	sedan
tyif	elekezi
krus	cower
nluc	alizeti
lyun	ion
zrot	extradition
ksif	kadhibisha
psif	chafu
crup	mwingiliano
fret	finder
grut	Geuza
ksec	classmate
jric	ratiba
mrop	microwave
srus	oust
gyas	hairdresser
floc	ngano
plek	kapilari
nwop	matako
nrom	mtawala
twos	ugaidi
lwok	kaulimbiu
dwet	nyongeza
slem	sublimate
grip	Grill
gwas	wow
kwok	cobalt
gwon	oat
hdop	mwendoupriver
glam	hajakubwa
bwot	bovin
bren	bowel
byot	video
bjik	kususia
kwim	jaribio
cwek	magongo
grif	msituni
hgem	magnesium
hyes	ufahamu
fram	Apoteket
nwos	unambitious
ryap	upya
cwim	kuegemea
klep	kelp
psec	reimburse
djic	dunianikote
kfut	amriyakutotokanje
crep	hamburger
frim	theorem
gjas	kuwasha
hdef	debit
ryum	urani
pluk	kutathmini
krop	kuratibu
nraf	walipakodi
tyes	jumuishi
plip	alitoamaoniyake
hgom	gamma
hgus	mgawo
cwuc	heater
zret	Ondoa
nles	mchambuzi
trof	intransitive
hmof	mall
hzim	bismuth
dzac	Diner
psok	Postcard
blon	muunganiko
djet	digress
ksum	mbia
mrup	kidudu
clif	helix
cloc	maumbile
tfes	caterer
gjis	jeans
jren	alignment
tlep	database
kcup	kuponi
glot	voltage
glut	calculator
srep	mtandao
nwes	mwekezaji
ksef	X-ray
bzis	visa
frut	miundombinu
nyuk	kimulimuli
dyik	detector
plec	ganga
brom	bromini
plop	palladium
zlik	silicon
flut	volt
ksop	mapambo
gjun	gromning
kfok	kwikwi
hpof	popcorn
hzuk	zoo
nyoc	connotation
jwak	yoga
brim	barium
kles	behead
mwam	yeah
fwik	firework
djas	jazz
dyim	redio
tsum	Tungsten
drip	pigachenga
lyaf	alimony
prom	programu
nrup	pembejeo
hfes	reflexive
rwaf	Chrysanthemum
dlen	nyaraka
byas	chanjo
fron	heroin
dluk	kukatwa
dyun	kutambua
flap	folder
kfet	cathode
dlim	itikadi
prek	maegesho
syoc	snapshot
slus	upatikanaji
nlos	anticlimax
mlen	selenium
pres	cortex
hlof	kiberiti
nlek	sasaumuhimumarker
gwot	uwanjawandege
mwip	mzushi
klop	cockroach
kwom	chromium
hl6t	lita
nwec	hatahivyo
glip	cyclic
nrop	mishahara
crum	homoni
dlep	developer
frot	toboa
bwoc	hujuma
fwis	masualayakijinsia
djok	conjugate
draf	kisasa
trum	msimamomkali
graf	algorithm
lwes	laser
mlem	millimeter
flen	flex
zlot	anode
swok	snuggle
klec	mbwauchovu
pwim	sehemuyamuda
htuf	tuna
fyis	kusafishia
lwet	unyeti
mrem	mainframe
jwic	rejuvenation
droc	demonstrator
clem	helium
dzik	bilingual
psem	plasma
hjom	chromosome
rwuc	makutano
tyus	integer
klom	kilometa
hfos	faksi
nwek	genetics
jrap	bisibisi
zwas	appetizer
bwok	broccoli
dwap	ADAPTER
syem	baruataka
blek	vector
tlus	mbinu
pyif	isiyojulikana
cwoc	alright
mrep	ampea
hbem	vitamini
hxan	doorman
hxut	kutoaruzuku
hk6m	cadmium
hxin	iliwezeshamambo
txin	titanium
kxin	kilo
klum	--jamii
xlis	hourglass
hqak	kisintaksia
hxat	ubunifu
hxik	ekitabu
hxas	mahalipakazi
bxon	boroni
dxin	inductance
hxit	helikopta
tlum	tellurium
txit	Tareheyamwisho
kxat	oxidize
hvik	kujipanga
nluk	Analog
nyem	sentimita
hm6t	molybdenum
hl6m	lithiamu
ht6t	multimedia
xlit	calorie
ryop	robot
pxas	mfamasia
hxak	kaziyanyumbani
lwif	locative
grim	logarithm
hqat	vunjajungu
qlit	ikolojia
xlik	sophisticate
mlep	template
hqit	mionzi
kxim	kilo
hxen	renter
hxot	overeat
kyif	mwiga
fwet	freeware
txet	subset
hs6n	utaratibuwakudumu
hxet	eavesdrop
xrat	haircut
hqan	impound
hr6t	Iridium
bxat	Bandwidth
dxet	desktop
hxis	kielelezo
hxok	Makaomakuu
hxek	misplace
srem	cerium
hp6t	partitive
pxik	partitivekesi
kxet	mkanda
pruk	madukamakubwa
hvit	willpower
xlin	offline
frip	encryption
hvep	overpay
hxon	synchronize
kxit	maximo
hqin	semina
tr6n	Stereo
ht6n	kitango
hvat	ujao
sl6s	celsius
hn6n	neon
ts6t	halisiwakati
hvin	kuhuisha
pxat	newsstand
myoc	moduli
ps6s	pasta
bwek	briefcase
dlok	deluxe
fraf	firewall
hr6k	artifact
txat	lunchtime
hqon	oregano
pxun	plutonium
ks6n	workstation
slef	escalator
xrit	lifeguard
hvut	overcrowd
xrim	yttrium
hx6t	augmentative
hqum	username
hl6n	salespeople
gron	argon
pxan	uendelezaji
hvac	Dishwasher
xlan	utandawazi
txon	wavelength
xrik	kusaga
hxap	backpack
hxac	Anzishatena
xyat	hepatitis
cwep	malipo
hxos	torus
txif	typeface
qlat	realtor
txot	katikatiyavuli
hxam	milligram
pxis	pixel
pwif	preview
txam	tantalum
myek	thermodynamic
hbop	vunja
hqot	solute
xlic	wheelchair
gxit	mauajiyakimbari
hvan	kuzimamoto
glim	gallium
pfop	popup
hzum	zirconium
xlon	jourtelefon
qlin	nonlinear
kxam	scandium
blim	berili
kxik	configure
nr6n	neuron
hpef	predicative
hruf	router
kxan	factorial
hxic	mwongozo
xlip	mpirawawavu
dyek	Debug
hxop	saayaMkono
qrot	neutron
nwip	niobamu
hs6t	choo
grem	Gerimani
tles	metalloid
hp6k	prolativekesi
qyin	viumbehai
txak	antibiotic
mlun	immobilization
txan	actinium
xran	astronaut
dres	decompress
tr6t	extraterrestrial
hk6t	octet
hxus	wazichanzo
xlat	crackpot
mraf	marathon
ts6n	katikatispring
ht6s	autism
nlif	ionize
txut	notability
hm6n	kutotoa
kxis	kipandechasanaa
xrin	kufanyiwa
xren	imetuma
bxak	alama
pfos	promaneno
hvis	kinyesi
hd6n	denominator
brum	Boardroom
hqis	chauvinist
hk6n	kukusanya
xyit	mabadilikoufunguo
xyin	mojanambili
hxun	MwanaAdamu
hvas	majukumu
glok	blog
hvak	meandering
pxit	ipanuani
hvet	karibuna
xram	katamu
hc6n	udhahiri
qran	kurani
zyen	xenon
hqas	kumwapisha
bzas	Blasé
hj6n	zisizobinadamu
hnof	noncommittal
txas	watunga
hbum	mabudha
ts6s	ugomvi
pxin	viungo
hr6n	ration
hxim	katikatiyamajira
dxit	katikatibaridi
hxaf	excavate
nlus	nyumbakupanda
txap	hadhibar
vrit	ghostwriter
kxak	kumdanganyakuzunguka
bxin	binadamu-mwili
hqik	raincoat
hxes	hezi
hxif	hypnotize
xras	hourly
pl6k	msaidiziwawanasheria
dxat	papara
hxip	antibody
vrat	kaptula
hqek	reshaping
qrit	polarity
pxot	ofisiyaPosta
hxom	Junkmail
hqic	mkaguzi
lwun	bluu-jean
hp6n	kukomaa
dxan	attaching
xrak	muigizajijukumu
dxak	ajali
hven	vyombo
mwap	Comic-strip
qlan	rangi-kipofu
xros	mvuo
srom	showroom
hc6t	chatting
qrat	Juuchini
hn6t	kolinesterasi
hqet	tovuti
fres	fundraise
froc	forging
xlak	hyperlink
vlat	volubility
dvan	disembarking
gxin	mshindi
ryes	receptionist
kxot	connectors
xyan	uwekaji
vlan	mtangazaji
ryom	thoriumchembe
hluf	Uzee
hquk	kuingiza
lyum	thuliumchembe
tyem	terbiumchembe
hp6m	praseodymium
txic	nyumbaniukurasa
mros	motorist
dyam	rhodiumchembe
pc6n	kesiidadi
nyos	Inbox
pyek	projector
kxon	Kriptoni
hxuc	rescuing
qrik	centrickesi
xwin	ulimbukeni
kxic	Kizima
hvot	flowchart
dxot	mgando
hqut	kuingianje
pxen	idara
drok	lengotrigger
flon	Simuyarununu
txos	katikatisauti
hqok	obliquekesi
xwik	mgonjwakesi
hx6n	kablahodiernal
txik	kidolechakati
hqen	mtumaji
mlap	zisizo
hvun	suasion
hvon	kuvaanje
vran	mail-carrier
pfes	profesa
pwip	mshairi
hqam	Fanyamazoezi
gxat	uhalali
ks6t	causative
vrin	recruiter
kxip	kipandechabodi
sr6n	disapproving
vlit	evaluative
tyup	kitongoji
mrom	morpheme
xron	headphone
gxak	gharamakubwa
hrof	trojanfarasi
xlas	amepooza
dzet	redecorate
txac	kujisalimisha
xrot	outnyttjade
txis	dottumbo
syif	sivitengo
xrac	kushangaza
brif	mapacha-thamani
dlos	modalkesi
txun	sifa
dvat	--tukuta
psom	kwanzamkono
gjek	kingine-kama
nlem	kitengo-ya-habari
qret	rejarejaduka
txip	maratatu-kumweka
dlek	mmojammoja
lwut	mtiririko-sasa
dxis	kasi
hs6m	cesium
vlak	railcar
hn6m	Nerium
kxap	kadi
bxan	wakienda
myem	mweziwamay
gxik	kiraia-haki
hxoc	Jeshilaanga
xrok	coworker
kr6t	screenshot
txok	mojakwamoja
hxep	skateboard
srop	smartphone
pxak	kofiakufuli
hk6k	folk-muziki
hl6k	euler's-idadi
pyom	poloniumchembe
xyam	thalliamuchembe
hvic	kuvamia
lyok	locativekesi
xlot	kujaa
txen	restatement
kxac	counterattack
qrak	strikebreaker
hbup	Bwawalakuogelea
txuk	mzungukomfupi
tsef	tapered
bxit	mtandaojeshi
ksem	kusomatu
byim	rubidiumchembe
hvam	vanadiumchembe
lw6n	lanthanum
frum	florinichembe
nyom	neodymium
mlom	multalidadi
kxas	kubinafsisha
xret	terabyte
hs6k	searchinjini
frus	corroding
gxan	galaxyjinsia
vlas	vocalizations
glet	gesi-kanyagio
hvim	Runtime
bxip	bitmap
qrin	nyotajinsia
bvak	abessivekesi
pxon	hazipatikani
dvik	adessivekesi
dvek	agentivekesi
hlef	wakalatrigger
kwek	kwakesi
kxen	kawaidajinsia
ht6m	citationfomu
tsuf	transnumeral
hf6n	fining
tc6t	mojakwamojakitu
gvik	ergativekesi
gxon	kugawanyika
ksep	receptor
vyin	movie-ukumbi
pyos	watazamajisauti
hnef	finiteverb
xwit	msingikitu
hqim	gnomicmood
jlak	generalization
vrik	mwishochembe
qyan	imaginary-kitengo
kxaf	kasi-ya-mwanga
xyic	hadaa
qyit	muhimuyakiwango
hvek	evitativekesi
bvik	subessivekesi
hzes	mwendawazimukesi
prus	kompyutavirusi
ples	processor
pxif	polisiafisa
dvak	lativekesi
brun	touring
tsi_k	antessivekesi
tyum	rutheniumchembe
vyak	adverbialkesi
pxim	WaziriMkuu
syum	Strontiumchembe
sy6n	suspiciousness
hy6n	animatejinsia
pxac	hurumafuraha
vlin	garijinsia
qwin	madinijinsia
hr6s	rufaa
tf6n	toner
xris	userinterface
hw6n	kuapishwa
xlen	matusinoun
pyec	spreadsheet
vlim	virtualkumbukumbu
bres	nenoprocessor
hqip	wingukompyuta
vlic	virtualmashine
pfam	spammer
dyap	pililugha
txek	nth-mzizi
dxen	datamadini
byip	biasharamtu
hs6c	binafsikujiamini
txim	akimaanisha
hb6t	mabadilikoyatukio
hdem	uwanjajina
dxon	tofautitukio
lwaf	flashgari
sl6t	crastinaluliopo
xyik	floppydisk
fyif	reflexivesauti
bvin	ulimwengujinsia
hm6p	Motherboard
tfip	elekeziverb
jlen	eneojinsia
xrap	striped
tc6n	utafitijinsia
sl6n	kisaniijinsia
xrek	mgonjwatrigger
xwan	abstractjinsia
dxif	videoconference
dyip	mojakwamojahotuba
zrek	exocentrickesi
hvuk	evoking
xwat	sikuzanyumaperfective
hr6m	rhenium
txaf	yalisababisha
hmef	impersonalverb
tx6t	Nakalamhariri
txes	pamojanoun
bvat	kuwatendeavibaya
bvuk	absolutivekesi
ry6t	radian
vlis	virtualukweli
qren	planetaryjinsia
gvak	kisarufikesi
bxok	bald
mrum	kompyutampango
ps6t	uendeshajimfumo
hfom	phoneme
tlem	kusomatukumbukumbu
pwam	spyware
kfif	msingibenefactive
qwit	rationality
nlaf	kufunga
nwok	associativekesi
dzas	dissatisfy
swuk	superlativekesi
syos	muhtasari
kr6n	umemesasa
dvin	inanimatejinsia
pxom	propositivemood
vris	kubadilishanasauti
rwos	erosoli
dr6t	mpurukushaji
ht6k	mawasilianoyasimu
slaf	kijamiimitandao
lyuk	mfululizokifungu
qras	wakubwa
ty6n	terminal
gwet	harakabaadayeuliopo
hp6s	applicativesauti
tsof	antipassivesauti
ht6p	continuativekipengele
hn6f	necessitativemood
pfip	watazamajiMmoja
glap	toolbar
sy6k	existentialkifungu
qyat	luminouskiwango
hy6t	kisarufi-kitu
vyan	kutamka
sluf	singulativeidadi
dvit	kupindukiamuda
qyak	singlehatuaverb
bzik	fizikia
xlet	superlativeshahada
hqap	sasaMmoja
qwat	kiasiyaDutu
qyik	connectivechembe
sr6t	supercritical-maji
hfem	epentheticmorpheme
tl6t	kijijinibaadayeuliopo
mrif	kipazasauti
pcuk	postpositionalkesi
tfim	randomupatikanajikumbukumbu
fwim	ethidium
ly6t	allocutionmakubaliano
hvap	kitabubar
hfep	frequentativekipengele
bvan	distributivepronoun
fyun	floating-kumweka-idadi
xyas	erasing
hvif	kitendo-suffix
xyis	sikuzanyumawatazamajiMmoja
tl6n	katiusindikajikitengo
tfok	locativedirectionalkesi
qwan	marakwamaraaliulizamaswali
