hnit	infinitiivi
myet	amatööri
klis	eristäminen
hbaf	elämäkerta
gwac	aasi
hwum	huhu
pwik	näkökulma
pron	ammattilainen
myes	kuukausittain
mwen	haaveilu
kfic	loma
klek	napsauttaa
cwon	soikea
lyak	joustava
kwon	sanakirja
hjam	kinkku
rwon	sateenkaari
crip	täten
zwan	esiintyviä
srok	pääkirjoitus
craf	ruumiillinen
tlok	säiliö
brip	perhonen
tfap	kartoittaa
jwat	twin
pros	käyttö-
psun	enne
clet	kurjuudessa
hbus	bambu
dyas	kauppias
klun	kertymä
jlit	yksimielinen
hdom	painajainen
kron	hiili
hzam	hillo
cyot	kuuntelija
hmem	museo
lwam	aakkoset
fras	hajottaa
psoc	booli
hgum	purukumi
brek	jarru
glit	vakavuus
frun	laho
gris	aggressiivinen
mroc	kitka
bzit	hämähäkki
plut	peruna
glac	ahneus
gzac	moninkertaistaa
prun	kierre
jlet	kalenteri
nyim	nimitys
tlos	biljoona
slut	salaatti
fwit	myöntävämieliala
pyen	sovellukset
nlon	nimellinen
dren	osoittaa
drun	tyytymättömyys
cyok	olankohautus
hfop	jalkapallo
ryac	kumppanuus
gzin	pioneeri
hgip	kaali
tyet	urheilu-
hdof	idiofoni
hwup	korvaamaton
lwek	vipu
syec	senaattori
jyak	majoittaa
mlim	muurahainen
fwic	tehokkaasti
gzit	raskaana
blas	riippuvuus
jrin	jokapäivä
gwak	nilkka
drik	omituisesti
prif	muuttuja
jwit	monimuotoisuus
krip	syrjintä
ryot	awed
nwut	jalkakäytävä
kcif	aktiivisesti
jrak	sammakko
twek	liiallinentapaus
psot	sovitus
pfon	sieni
sluk	orava
nlim	irrealismieliala
ksaf	niukkuus
glak	tulivuori
plen	tasapaino
kfaf	huivi
kyon	hyödyntää
jlik	geologinen
psop	passi
kfis	avointyöpaikka
fyon	affiniteetti
nram	moraaliton
hbuk	keksi
gras	transsi
hyos	levoton
flim	elokuva
plet	tabletti
rwam	atomi
blis	vanilja
zlit	aids
fyut	nirso
crim	pyramidi
hjif	laiton
crif	ujous
lwap	luuttu
tyon	tähtitiede
mrim	sokkelo
drut	kuvaileva
nrim	apuraha
kruc	kilpikonna
kwam	neuvonantaja
jrik	kriketti
dlut	tarkoittaa
pyot	kyyhkynen
dyon	sovittaminen
prap	operaattori
bzin	kunniamerkki
tyek	kolmio
trec	rahastonhoitaja
nron	vety
pyet	kirjoitin
tsok	tukehtua
zyin	krooninen
slek	polkupyörä
jyin	tekniikka
ryas	lähetys
zrak	virkistää
nyas	tanssija
gric	muutto
zlak	rikkoa
tces	tennis
hjun	tuulinen
twen	kutoa
kyet	keräilijä
gwit	selkä
kyot	sointu
fwin	taajuus
tfuc	kangaspuut
dlet	hakemisto
pfik	ajattelija
bjet	talousarvio
trek	strategia
kros	kvartsi
gjit	sakset
gwic	kytkin
frik	teoreettinen
tluc	pyyhe
pruc	partio
glic	jäätikkö
krun	täydellisyys
bjin	ennustus
tlaf	osallistua
tfet	valmistaja
bras	sivu-
dwik	vastaaja
clec	pakokaasu
cres	shakki
tcef	kirsikka
tcom	kompastella
nyot	Kääntäjä
tyok	kuorma-auto
cyip	verraton
grot	sinappi
bris	langaton
nlam	huutokaupata
slif	seula
hgos	ruoste
swoc	epävakaa
jyat	konkurssiin
slum	islam
hjes	väestönlaskenta
dzat	hiipiävarpaisillaan
slun	keskeyttää
nwot	jatkuvuus
gyic	kitara
pfas	puolueellisuus
zyik	sinkki
blen	kiiltävä
hyem	jalava
hnep	ryntäily
nyut	kudottu
ryam	pronominimerkki
clim	mauste
jret	terävyys
tfon	härnätä
jwac	Jaava
hrep	resepti
dyac	toimilupa
myip	metri
rwis	rodullinen
hkem	komeetta
nwon	innovaatio
zwin	kieltää
dyis	keskiaikainen
mrec	varpunen
fyot	alaviite
mlon	mittaus
pfis	ratifiointi
rwot	kiertorata
hfok	säästäväinen
glof	golf
zron	nolla-
hzip	postinumero
hwom	asunnoton
bjic	pureskelua
pcim	täyttää
hjip	siru
bwac	haukotus
mlos	mooli
mrip	keramiikka
bron	alkio
ksoc	vähennys
cyum	hiiva
jyan	ammattikieli
plim	luumu
mwet	hautausmaa
ryet	valmistua
glik	kastelu
plap	kapitalisti
tsif	jousto
gyak	hai
djon	oletusarvo
nwun	täsmällinen
cles	realismi
dris	yhäuseammin
hkef	kahvila
blus	ambulanssi
blap	lompakko
bjak	hurmioitunut
klim	irvistys
gyac	tiedemies
jyit	mielentyyneys
dzit	realistinen
bwak	ulko-
dyot	radio
bwon	papu
fris	epävirallinen
klut	spekuloida
tfek	pihvi
nrok	typpi
zyat	partakone
bram	mutista
ryis	alustava
nlip	analysoida
nros	erottuva
hcof	riisua
tfif	kannustin
kroc	vako
hdum	juutalaisuus
pses	vastaanottaja
plok	täydentää
lyet	linssi
pwek	pegativetapaus
kfas	syöpä
pwen	sotilas
nrun	muistutus
clek	vuotaa
pcif	puolustus
glas	monimutkaisuus
zwit	puhelias
kces	riittävyys
crem	jälleenmyynti
grap	napata
kwip	puuttua
dyut	alennus
crus	hierarkia
gyet	jade
gram	sotkea
kyip	lisko
nyet	tyyny
crop	vesiputous
glon	gallona
mrok	hyttynen
fluc	sujuva
dwic	poikkeama
slec	tutkimusmatkailija
srec	päättyvän
blut	painia
myok	mosaiikki
tlek	pistoke
nruk	tarttuva
nwoc	tästälähtien
bjut	kyykky
hges	raskaus
twoc	ruokakauppa
kyos	kommunistinen
mrek	hämmästyttää
clip	katumus
pwok	prosecutivetapaus
dwot	diktaattori
zyac	huoli
jlic	satelliitti
slop	tohveli
ryip	verrannollinen
psim	lähentää
byet	työtön
cyop	harraste
rwun	kriteeri
blop	polttimo
syok	tukija
klos	kloori
lwot	kloridi
byic	bakteerit
lyik	tahmea
blok	biologinen
jlac	teeskennellä
bret	tavu
krif	eritys
blet	baletti
nruc	virtsa
tsus	valkosipuli
dyak	keskiluokka
tcem	pihdit
cyoc	haastava
trep	mansikka
dlun	saastuminen
hlup	albumi
hbep	baseball
praf	piratismi
pwis	partisiippi
grek	autotalli
kruk	kainalosauva
hfof	fosfori
rwut	rakenteellinen
myam	kuntosali
krec	nosturi
jras	urakoitsija
zrik	ilmoittaa
blam	tanssisali
klip	käsityöläinen
hwef	palkaton
zlac	banaani
gret	generaattori
lwuk	kylkiluu
nyek	nikkeli
blos	bussi
sles	sensuroida
tlif	laatta
kses	makkara
mwot	tomaatti
lyot	auto
tsom	kalium
brut	virtuaali-
djap	algebra
hjok	yleinen
kfen	käsitteet
pcok	optinen
bzut	perääntyä
syek	työttömyys
mruc	toukka
bwas	selain
klif	kalsium
rwet	kauko-ohijännittynyt
srif	historiallinenjännittynyt
hwem	spektri
syom	natrium
tyos	edunvalvoja
jyic	panttivanki
hguk	kurpitsa
dwun	rypistyä
swip	piikki
tlec	rasti
blaf	raiskata
tsem	ateismi
mloc	monitori
gyot	ehdollinen
trop	koetin
rwap	neljännesvuosittain
hjep	sukupuoli
pyim	platina
dlon	kaksois-määrä
pcep	keuhko
twuk	pesu
tyec	tag
syup	Super
trom	johdinauto
nyip	paikallisesti
glis	bensiini
gjik	munuainen
hjos	yksin
hjuc	ryöstää
swek	ylityöllistetty
psek	arsenikki
twok	tilastollinen
tsep	heinäsirkka
slos	sosialistinen
nwim	aisti-todistusarvomieliala
tlop	pöytäliina
trus	kiistanalainen
pwot	talutushihna
djot	sedimentti
nloc	tölväistä
mwon	mandariini
hjek	kuski
crom	tehdäyhteistyötä
myon	keuhkokuume
twec	sijoittaa
ryek	raketti
dlic	osinko
kwet	luistella
bwen	pakkomielle
plon	siirtolapuutarha
syon	huohottaa
djis	digitaalinen
byut	narttu
hyep	silmäluomi
dwon	diagonaalinen
byis	alitajunta
brec	kulmakarva
cyec	aivastus
hwop	watti
clus	hilpeä
kfun	käyttöaste
nwum	hindulaisuus
fyim	pakolainen
cwos	sukkula
tfoc	vihlaisu
pwon	proteiini
sraf	itsetyytyväinen
hbom	oksentaa
gyen	geeni
drim	fuksi
trem	varusteet
tsup	särkeä
slok	sosiologia
kwoc	squash
bwam	äänestäjä
mlok	liikkuvuus
kyen	alueellinen
hmop	liikeylämäkeä
rwek	takautuva
kfup	kuutio
grok	porkkana
drap	saadaansaan
lwis	molekyyli-
ksuc	kirjanpitäjä
tsop	haista
kyok	kurkku
nroc	vimma
jlot	liuotin
psof	fosfaatti
hgif	hurmata
kfim	emäksinen
psos	voimistelu
pfen	varmistus
kcom	ekonomisti
krom	pilkku
tluk	kiemurrella
hyom	jodi
nwuc	liikealamäkeä
gjac	keskenmeno
pcom	palko
dzic	suunnittelija
grun	bragging
dzot	luovuttaja
hzek	mangaani
kfot	näppäimistö
jlas	epäluotettava
lyim	eliitti
jyen	jeni
pcaf	sulkumerkki
rwip	Rugby
blip	raamattu
kyoc	syy-yhteys
lyon	haava
flis	taivutettu
nrif	napostella
kfam	kvantti
swes	villapaita
lwon	evoluutio-
drec	leikkely
gjap	kylpylä
lyec	lineaarinen
tyom	antimoni
pwuk	superessivetapaus
flaf	alpha
myim	immuuni
pcek	kaappaus
bjac	panimo
bzac	lyhentää
bzak	sukka
twes	televisio
dwut	dokumenttielokuva
ksom	maailmankaikkeus
lyis	metsänhoito
lwim	alumiini
ksok	horoskooppi
sruc	nopeuttaa
dlif	delfiini
byik	tappaja
tfec	paperitavara
hjaf	nisäkäs
ryok	protokolla
dwis	dioksidi
jlon	kaksoispiste
brus	byrokratia
gjak	galaksi
lyip	kliininen
ryem	radium
href	ohut
prok	jääkaappi
slep	satyyri
dret	iteraatio
kluk	arkeologinen
dlis	idiosyncrasy
kfip	mahdotonhyväksyä
mlec	hieronta
pfif	määrittely
nrec	aisti-
pfet	esite
hzoc	taustalla
dlam	ihanteellisesti
nlec	antropologia
kluc	maukas
dyet	sedan
tyif	transitiivinen
krus	kyyristyä
nluc	auringonkukka
lyun	ioni
zrot	luovuttaminen
ksif	väärentää
psif	emissio
crup	päällekkäisyys
fret	löytäjä
grut	inverttisokeri
ksec	luokkatoveri
jric	matkareitti
mrop	mikroaaltouuni
srus	syrjäyttää
gyas	kampaaja
floc	kansanperinne
plek	kapillaari
nwop	takapuoli
nrom	ohjain
twos	terrorismi
lwok	iskulause
dwet	ajanmyötä
slem	sublimoida
grip	grilli
gwas	Vau
kwok	koboltti
gwon	kaura
hdop	liikeyläjuoksulle
glam	peräaukko
bwot	nauta
bren	suoli
byot	video-
bjik	boikotoida
kwim	tietokilpailu
cwek	jääkiekko
grif	sissi
hgem	magnesium
hyes	tietoisuus
fram	apteekki
nwos	vaatimaton
ryap	järjestääuudelleen
cwim	luotettavuus
klep	rakkolevä
psec	korvata
djic	maailmanlaajuinen
kfut	ulkonaliikkumiskielto
crep	hampurilainen
frim	lause
gjas	sytyttää
hdef	veloittaa
ryum	uraani
pluk	arvioida
krop	koordinoida
nraf	veronmaksaja
tyes	integroitu
plip	opined
hgom	gamma
hgus	kerroin
cwuc	lämmitin
zret	vähentää
nles	analyytikko
trof	intransitiivinen
hmof	ostoskeskus
hzim	vismutti
dzac	ruokailija
psok	postikortti
blon	lähentyminen
djet	eksyä
ksum	osakas
mrup	mikrobi
clif	helix
cloc	morfologiset
tfes	muonan
gjis	farkut
jren	suuntaus
tlep	tietokanta
kcup	kuponki
glot	Jännite
glut	laskin
srep	kyberavaruudessa
nwes	sijoittaja
ksef	röntgen
bzis	Visa
frut	infrastruktuuri
nyuk	tulikärpänen
dyik	ilmaisin
plec	liitos
brom	bromi
plop	palladium
zlik	pii
flut	voltti
ksop	kosmeettinen
gjun	hoitotuotteita
kfok	hikka
hpof	popcorn
hzuk	eläintarha
nyoc	konnotaatio
jwak	jooga
brim	barium
kles	mestata
mwam	Joo
fwik	ilotulitusraketti
djas	jazz
dyim	audio-
tsum	volframi
drip	tiputtaa
lyaf	elatusapu
prom	ohjelmoija
nrup	panos
hfes	refleksiivinen
rwaf	krysanteemi
dlen	dokumentointi
byas	rokote
fron	heroiini
dluk	katkaista
dyun	määrittää
flap	kansio
kfet	katodi
dlim	ideologia
prek	pysäköinti
syoc	kuva
slus	saavutettavuus
nlos	antikliimaksi
mlen	seleeni
pres	aivokuori
hlof	rikki
nlek	nykyinenmerkityksellisyysmerkki
gwot	lentokenttä
mwip	huijarin
klop	torakka
kwom	kromi
hl6t	litra
nwec	kuitenkin
glip	syklinen
nrop	palkkahallinnon
crum	hormoni
dlep	kehittäjä
frot	lävistää
bwoc	sabotoida
fwis	feministi
djok	konjugaatti
draf	nykyaikaistaa
trum	äärimmäinen
graf	algoritmi
lwes	laser
mlem	millimetri
flen	flex
zlot	anodi
swok	käpertyä
klec	koiraväsynyt
pwim	osa-aikainen
htuf	tonnikala
fyis	jalostamo
lwet	herkkyys
mrem	keskuskone
jwic	nuorentaminen
droc	mielenosoittaja
clem	helium
dzik	kaksikielinen
psem	plasma
hjom	kromosomi
rwuc	järjestysluku
tyus	kokonaisluku
klom	kilometri
hfos	faksi
nwek	genetiikka
jrap	ruuvimeisseli
zwas	alkuruoat
bwok	parsakaali
dwap	sovitin
syem	spam
blek	vektori
tlus	taktiikka
pyif	määrittelemätön
cwoc	kunnossa
mrep	ampeeri
hbem	vitamiini
hxan	ovenvartija
hxut	tukea
hk6m	kadmium
hxin	samanaikaisuutta
txin	titaani
kxin	kilo
klum	paritella
xlis	tiimalasi
hqak	syntaktinen
hxat	luovuus
hxik	ekirja
hxas	työpaikka
bxon	boori
dxin	induktanssi
hxit	helikopteri
tlum	telluuria
txit	takaraja
kxat	hapettua
hvik	kohdista
nluk	analoginen
nyem	senttimetri
hm6t	molybdeeni
hl6m	litium
ht6t	multimedia
xlit	kalori
ryop	robotti
pxas	farmaseutti
hxak	kotitehtävät
lwif	locative
grim	logaritmi
hqat	rukoilijasirkka
qlit	ekologia
xlik	hienoihminen
mlep	sapluuna
hqit	radioaktiivisuus
kxim	kilogramma
hxen	vuokraaja
hxot	syödäliikaa
kyif	kopiokone
fwet	freeware
txet	alaryhmä
hs6n	peräkkäinen
hxet	kuunnellasalaa
xrat	hiustyyli
hqan	takavarikoida
hr6t	iridium
bxat	kaistanleveys
dxet	pöytä-
hxis	räjähdysmäinen
hxok	pääkonttori
hxek	pannavääräänpaikkaan
srem	cerium
hp6t	partitiivi
pxik	partitiivitapaus
kxet	kasetti
pruk	supermarket
hvit	tahdonvoima
xlin	offline
frip	salaus
hvep	ylihintaa
hxon	synkronoida
kxit	maksimoida
hqin	seminaari
tr6n	stereot
ht6n	kiinnike
hvat	tuleva
sl6s	celsius
hn6n	neon
ts6t	todellinenaika
hvin	tehostaa
pxat	lehtikioski
myoc	moduuli
ps6s	pasta
bwek	salkku
dlok	deluxe
fraf	palomuuri
hr6k	artefakti
txat	lounasaika
hqon	oregano
pxun	plutonium
ks6n	työasema
slef	liukuportaat
xrit	hengenpelastaja
hvut	ahtaaliiantäyteen
xrim	yttrium
hx6t	puhettatukevaa
hqum	käyttäjätunnus
hl6n	myyjät
gron	argon
pxan	myynninedistämis-
hvac	astianpesukone
xlan	globalisaatio
txon	aallonpituus
xrik	kierrättää
hxap	reppu
hxac	uudelleenkäynnistää
xyat	maksatulehdus
cwep	palkka
hxos	torus
txif	kirjasin
qlat	kiinteistönvälittäjä
txot	keskisyksy
hxam	milligramma
pxis	pixel
pwif	esikatselu
txam	tantaali
myek	termodynaaminen
hbop	murtautuasisään
hqot	liuenneenaineen
xlic	pyörätuoli
gxit	kansanmurha
hvan	sammuttaapaloa
glim	gallium
pfop	pop-ylös
hzum	zirkonium
xlon	puhelinpalvelu
qlin	epälineaarinen
kxam	skandium
blim	beryllium
kxik	konfiguroida
nr6n	neuroni
hpef	predikatiivinen
hruf	reititin
kxan	kertoma
hxic	ohje
xlip	lentopallo
dyek	debug
hxop	rannekello
qrot	neutroni
nwip	niobia
hs6t	wC
grem	germanium
tles	metalloidi
hp6k	prolativetapaus
qyin	biodiversiteetti
txak	antibiootti
mlun	liikkumattomuus
txan	aktinium
xran	astronautti
dres	purkaa
tr6t	avaruusolento
hk6t	oktetti
hxus	avatalähde
xlat	hullu
mraf	maraton-
ts6n	midkevät
ht6s	autismi
nlif	ionisoi
txut	merkkihenkilö
hm6n	säteilevät
kxis	klipsitaide
xrin	meneillään
xren	suuntaamalla
bxak	kirjanmerkki
pfos	ammattilainenlauseke
hvis	ulosteet
hd6n	nimittäjä
brum	kokoushuone
hqis	shovinisti
hk6n	koota
xyit	siirtääavain
xyin	yksisekunti
hxun	oikeuteen,
hvas	roolit
glok	blogi
hvak	polveileva
pxit	iposoite
hvet	vieressä
xram	saflori
hc6n	ilmeisyyttä
qran	Koraani
zyen	xenon
hqas	vannon-in
bzas	välinpitämätön
hj6n	eiihmisen
hnof	välttelevä
txas	päättäjät
hbum	buddhalaisuus
ts6s	riitely
pxin	ainekset
hr6n	säännöstellä
hxim	puolivälissäkesällä
dxit	keskitalvella
hxaf	kaivaa
nlus	huonekasvi
txap	statusbaari
vrit	haamukirjoittaja
kxak	pelleillä
bxin	ihmiskehon
hqik	sadetakki
hxes	hertsi
hxif	hypnotisoida
xras	tunti-
pl6k	avustavana
dxat	kiirehtiminen
hxip	vasta-aine
vrat	shortsit
hqek	muokkaavat
qrit	vastakkaisuus
pxot	postitoimisto
hxom	romuposti
hqic	arvostelija
lwun	blue-jean
hp6n	kypsyminen
dxan	liittämällä
xrak	näyttelijärooli
dxak	onnettomuus
hven	kontit
mwap	sarjakuva
qlan	värisokea
xros	riisuutuminen
srom	esittelytila
hc6t	chattailuun
qrat	ylösalaisin
hn6t	esto
hqet	verkkosivusto
fres	fundraise
froc	taonta
xlak	hyperlinkki
vlat	puheliaisuus
dvan	poistuessasiitä
gxin	valloittavat
ryes	vastaanottovirkailija
kxot	liittimet
xyan	rajaaminen
vlan	mainostaja
ryom	toriumatomi
hluf	vanhuus
hquk	pistää
lyum	tuliumatomi
tyem	terbiumatomi
hp6m	praseodyymi
txic	kotiinsivu
mros	autoilija
dyam	rodiumatomi
pc6n	oikeudenkäyntimäärä
nyos	postilaatikkoon
pyek	projektori
kxon	krypton
hxuc	pelastamiseen
qrik	centrictapaus
xwin	kokemattomuus
kxic	sammutin
hvot	vuokaavio
dxot	jogurtti
hqut	lokiulos
pxen	osasto-
drok	tavoitelaukaista
flon	kännykkä
txos	keskimmäinenääni
hqok	vinotapaus
xwik	potilastapaus
hx6n	prehodiernal
txik	etusormi
hqen	lähettäjä
mlap	haittaohjelmat
hvun	mielipiteenmuokkausta
hvon	kulua
vran	postimies
pfes	professori
pwip	runoilija
hqam	treenata
gxat	laillisuus
ks6t	syynäoleva
vrin	rekrytoija
kxip	klipsilauta
sr6n	tuomitseva
vlit	arvioiva
tyup	lähiö
mrom	morfeemi
xron	kuulokkeet
gxak	kallis
hrof	troijalainenhevonen
xlas	halvaantunut
dzet	kunnostaa
txac	siirtävää
xrot	käyttämätön
txis	pistematriisi
syif	siyksiköt
xrac	yllättävän
brif	binary-arvo
dlos	modaalinentapaus
txun	määritteet
dvat	pahantuulinen
psom	ensikäden
gjek	muu-jos
nlem	yksikkö-of-massa
qret	jälleenmyyntikauppa
txip	triple-piste
dlek	erikseen
lwut	flow-virta
dxis	dramaattisesti
hs6m	cesium
vlak	junavaunujen
hn6m	nerium
kxap	pahvi
bxan	lähtevät
myem	toukokuu
gxik	siviili-oikeudet
hxoc	ilmavoimat
xrok	työtoveri
kr6t	kuvakaappaus
txok	automaattisesti
hxep	rullalauta
srop	älypuhelin
pxak	capsLukko
hk6k	kansanmusiikki
hl6k	euler's-numero
pyom	poloniumatomi
xyam	talliumatomi
hvic	hyökkääviä
lyok	locativetapaus
xlot	asuntoja
txen	oikaiseminen
kxac	vastahyökkäys
qrak	rikkuri
hbup	uima-allas
txuk	oikosulku
tsef	suippeneva
bxit	verkkoisäntä
ksem	lukeavain
byim	rubidiumatomi
hvam	vanadiiniaatomi
lw6n	lantaani
frum	fluoriatomi
nyom	neodyymi
mlom	multalmäärä
kxas	personoida
xret	teratavu
hs6k	hakumoottori
frus	ruostumatonta
gxan	galaxysukupuoli
vlas	ääntelyä
glet	kaasupedaali
hvim	runtime
bxip	bittikartta
qrin	tähtisukupuoli
bvak	abessiivitapaus
pxon	poissa
dvik	adessiivitapaus
dvek	agentivetapaus
hlef	agenttilaukaista
kwek	ettätapaus
kxen	yhteinensukupuoli
ht6m	lainausmuoto
tsuf	transnumero
hf6n	sakkojen
tc6t	suoraanesine
gvik	ergativetapaus
gxon	pirstoutuminen
ksep	reseptoriin
vyin	elokuvateatteri
pyos	passiivinenääni
hnef	rajallinenverbi
xwit	ensisijainenesine
hqim	genomisenmieliala
jlak	yleistys
vrik	lopullinenhiukkanen
qyan	kuvitteellinen-yksikkö
kxaf	nopeus-of-light
xyic	phishing
qyit	Kriittinenpiste
hvek	evitativetapaus
bvik	subessivetapaus
hzes	riivattutapaus
prus	tietokone-virus
ples	suoritin
pxif	valvoaupseeri
dvak	dännöntapaus
brun	touring
tsi_k	antessivetapaus
tyum	ruteniumatomi
vyak	adverbiaalitapaus
pxim	pääministeri
syum	strontiumatomi
sy6n	epäileväisyys
hy6n	elävöittääsukupuoli
pxac	empaattinenilo
vlin	ajoneuvosukupuoli
qwin	mineraalisukupuoli
hr6s	lähete
tf6n	kasvovesi
xris	käyttäjäliitäntä
hw6n	kiroilua
xlen	sanallinensubstantiivi
pyec	taulukkolaskentaohjelma
vlim	virtuaali-muisti
bres	sanasuoritin
hqip	pilvitietojenkäsittely
vlic	virtuaali-kone
pfam	roskapostittaja
dyap	toinenkieli
txek	nnen-root
dxen	datakaivos-
byip	liiketoimintahenkilö
hs6c	itseluottamus
txim	viittaavista
hb6t	muuttaaoftapahtuma
hdem	verkkotunnuksennimi
dxon	eritapahtuma
lwaf	salamaajaa
sl6t	crastinaljännittynyt
xyik	velttolevy
fyif	refleksiivinenääni
bvin	maailmankaikkeussukupuoli
hm6p	emolevy
tfip	transitiivinenverbi
jlen	sijaintisukupuoli
xrap	raidallinen
tc6n	tutkimussukupuoli
sl6n	taiteellinensukupuoli
xrek	potilaslaukaista
xwan	abstraktisukupuoli
dxif	videoneuvottelu
dyip	epäsuorapuhe
zrek	exocentrictapaus
hvuk	herättäen
xwat	ohiperfektiivinen
hr6m	renium
txaf	laukeaa
hmef	persoonatonverbi
tx6t	tekstitoimittaja
txes	kollektiivinensubstantiivi
bvat	mistreating
bvuk	absolutivetapaus
ry6t	radiaani
vlis	virtuaali-todellisuus
qren	planeettojensukupuoli
gvak	kieliopin-tapaus
bxok	kalju
mrum	tietokoneohjelmoida
ps6t	käyttö-järjestelmä
hfom	foneemi
tlem	lukeavainmuisti
pwam	spyware
kfif	ydinbenefactive
qwit	järkevyys
nlaf	asentaminen
nwok	assosiatiivinentapaus
dzas	dissatisfy
swuk	superlatiivi-tapaus
syos	yhteenveto
kr6n	sähköinennykyinen
dvin	elotonsukupuoli
pxom	propositivemieliala
vris	vastavuoroinenääni
rwos	aerosoli
dr6t	huomionkerääjää
ht6k	tietoliikenne
slaf	sosiaalinenverkottuminen
lyuk	peräkkäinenlauseke
qras	esimiehet
ty6n	terminaali
gwet	piantulevaisuusjännittynyt
hp6s	applicativeääni
tsof	antipassiveääni
ht6p	continuativenäkökohta
hn6f	necessitativemieliala
pfip	passiivinenpartisiippi
glap	toolbar
sy6k	eksistentiaalinenlauseke
qyat	valoisaintensiteetti
hy6t	kieliopin-esine
vyan	Pronouncing
sluf	singulativemäärä
dvit	liiallinenkesto
qyak	yksittäinentoimintaverbi
bzik	fysiikka
xlet	superlatiivi-aste
hqap	esittääpartisiippi
qwat	määräofaine
qyik	yhdistävähiukkanen
sr6t	ylikriittinen-neste
hfem	epentheticmorfeemi
tl6t	kauko-tulevaisuusjännittynyt
mrif	mikrofoni
pcuk	postpositionaltapaus
tfim	satunnainenpääsymuisti
fwim	eti-
ly6t	allocutionsopimus
hvap	vierittääbaari
hfep	frequentativenäkökohta
bvan	jakelupronomini
fyun	kelluva-point-numero
xyas	pyyhkimisen
hvif	verbi-pääte
xyis	ohipassiivinenpartisiippi
tl6n	keskeinenjalostusyksikkö
tfok	locativesuunta-tapaus
qwan	useinpyysikysymykset
