hnit	főnéviigenév
plet	tabletta
rwam	atom
blis	vanília
zlit	AIDS
fyut	kényes
crim	piramis
hjif	törvénytelen
crif	félénkség
lwap	lant
tyon	csillagászat
mrim	labirintus
drut	leíró
nrim	ösztöndíj
kruc	teknősbéka
kwam	tanácsadó
jrik	krikett
dlut	jelöli
pyot	galamb
dyon	alkalmazkodás
prap	operátor
bzin	jelvény
tyek	háromszög
trec	kincstárnok
nron	hidrogén
pyet	nyomtató
tsok	fojtás
zyin	krónikus
slek	kerékpár
jyin	mérnöki
ryas	átvitel
zrak	Frissítés
nyas	táncos
gric	elvándorlás
zlak	megsért
tces	tenisz
hjun	szeles
twen	szövés
kyet	gyűjtő
gwit	gerinc
kyot	akkord
fwin	frekvencia
tfuc	szövőszék
dlet	Könyvtár
pfik	gondolkodó
bjet	költségvetés
trek	stratégia
kros	kvarc
gjit	olló
gwic	kapcsoló
frik	elméleti
tluc	törülköző
pruc	járőr
glic	gleccser
krun	teljesség
bjin	jóslás
tlaf	résztvenni
tfet	gyártó
bras	oldalsó
dwik	alperes
clec	kipufogó
cres	sakk
tcef	cseresznye
tcom	botlás
nyot	fordító
tyok	kamion
cyip	kimagasló
grot	mustár
bris	drótnélküli
nlam	árverés
slif	Szita
hgos	rozsda
swoc	bizonytalan
jyat	csődbejutott
slum	iszlám
hjes	népszámlálás
dzat	lábujjhegyenmegy
slun	felfüggesztésére
nwot	folytonosság
gyic	gitár
pfas	előítélet
zyik	cink-
blen	fényes
hyem	szilfa
hnep	tülekedés
nyut	kötött
ryam	névmásjelző
clim	fűszer
jret	élesség
tfon	kötekedik
jwac	Jáva
hrep	recept
dyac	választójog
myip	méter
rwis	faji
hkem	üstökös
nwon	innováció
zwin	tilalom
dyis	középkori
mrec	veréb
fyot	lábjegyzet
mlon	mérés
pfis	megerősítés
rwot	pálya
hfok	takarékos
glof	golf
zron	nulla
hzip	postaiirányítószám
hwom	hajléktalan
bjic	rágás
pcim	elegettesz
hjip	csip
bwac	ásít
mlos	anyajegy
mrip	fazekasság
bron	embrió
ksoc	levonás
cyum	élesztő
jyan	szakmainyelv
plim	szilva
mwet	temető
ryet	érettségizni
glik	öntözés
plap	kapitalista
tsif	rugalmasság
gyak	cápa
djon	alapértelmezett
nwun	pontos
cles	realizmus
dris	egyreinkább
hkef	kávézó
blus	mentőautó
blap	pénztárca
bjak	elragadtatott
klim	fintor
gyac	tudós
jyit	egykedvűség
dzit	valószerű
bwak	szabadtéri
dyot	rádió
bwon	bab
fris	informális
klut	spekulál
tfek	steak
nrok	nitrogén
zyat	borotva
bram	motyog
ryis	bevezető
nlip	elemez
nros	kontrasztos
hcof	Levetkőzik
tfif	ösztönző
kroc	barázdál
hdum	judaizmus
pses	befogadó
plok	kiegészítés
lyet	lencse
pwek	pegativeügy
kfas	rák
pwen	zálog
nrun	emlékeztető
clek	szivárog
pcif	fenntartás
glas	bonyolultság
zwit	beszédes
kces	elégséges
crem	kiskereskedelem
grap	Megragad
kwip	beavatkozni
dyut	kedvezmény
crus	hierarchia
gyet	gebe
gram	vicsorog
kyip	gyík
nyet	párna
crop	vízesés
glon	gallon
mrok	szúnyog
fluc	folyékony
dwic	eltérés
slec	felfedező
srec	lejáró
blut	birkózik
myok	mozaik-
tlek	dugó
nruk	fertőző
nwoc	ezentúl
bjut	guggolás
hges	terhesség
twoc	élelmiszerbolt
kyos	kommunista
mrek	meghökkent
clip	bűnbánat
pwok	ügyésziügy
dwot	diktátor
zyac	szórakozottság
jlic	műhold
slop	papucs
ryip	arányos
psim	hozzávetőleges
byet	munkanélküli
cyop	hobby
rwun	kritérium
blop	izzó
syok	támogató
klos	klór
lwot	klorid
byic	baktériumok
lyik	ragadós
blok	biológiai
jlac	kitalál
bret	byte
krif	kiválasztás
blet	balett
nruc	vizelet
tsus	fokhagyma
dyak	középsőosztály
tcem	fogó
cyoc	kihívástjelentő
trep	eper
dlun	környezetszennyezés
hlup	album
hbep	baseball
praf	kalózkodás
pwis	melléknéviigenév
grek	garázs
kruk	mankó
hfof	foszfor
rwut	szerkezeti
myam	tornaterem
krec	daru
jras	szerződőfél
zrik	értesít
blam	bálterem
klip	kézműves
hwef	Kifizetetlen
zlac	banán
gret	generátor
lwuk	borda
nyek	nikkel
blos	busz
sles	cenzor
tlif	csempe
kses	kolbász
mwot	paradicsom
lyot	kocsi
tsom	kálium
brut	tényleges
djap	algebra
hjok	generikus
kfen	fogalmak
pcok	optikai
bzut	mozgat
syek	munkanélküliség
mruc	hernyó
bwas	böngésző
klif	kalcium
rwet	távolimúltfeszült
srif	történelmifeszült
hwem	színkép
syom	nátrium
tyos	megbízott
jyic	túsz
hguk	tök
dwun	ránc
swip	tüske
tlec	ketyegés
blaf	erőszak
tsem	ateizmus
mloc	monitor
gyot	feltételes
trop	szonda
rwap	negyedévenként
hjep	nem
pyim	platina
dlon	duplaszám
pcep	tüdő
twuk	súroló
tyec	címke
syup	szuper
trom	targonca
nyip	helyileg
glis	benzin
gjik	vese
hjos	felügyeletnélkül
hjuc	zsákmány
swek	túldolgozott
psek	arzén
twok	statisztikai
tsep	szöcske
slos	szocialista
nwim	szenzorosbizonyítékonalapulóhangulat
tlop	asztalterítő
trus	vitatott
pwot	póráz
djot	üledék
nloc	pisze
mwon	mandarin
hjek	zsoké
crom	együttműködik
myon	tüdőgyulladás
twec	elhelyez
ryek	rakéta
dlic	osztalék
kwet	korcsolya
bwen	megszállottság
plon	kiosztás
syon	liheg
djis	digitális
byut	kurva
hyep	szemhéj
dwon	átlós
byis	tudatalatti
brec	szemöldök
cyec	tüsszentés
hwop	watt
clus	vicces
kfun	kihasználtság
nwum	hinduizmus
fyim	menekült
cwos	űrsikló
tfoc	szúr
pwon	fehérje
sraf	selfelégedett
hbom	hányás
gyen	gén
drim	újonc
trem	cicoma
tsup	összetör
slok	szociológia
kwoc	Fallabda
bwam	szavazó
mlok	mobilitás
kyen	regionális
hmop	mozgásfárasztó
rwek	visszatekintő
kfup	kocka
grok	sárgarépa
drap	csapdábaejt
lwis	molekuláris
ksuc	Könyvelő
tsop	bűz
kyok	uborka
nroc	orgia
jlot	oldószer
psof	foszfát
hgif	elbűvöl
kfim	lúgos
psos	gimnasztika
pfen	igazolás
kcom	közgazdász
krom	vessző
tluk	tekergőzés
hyom	jód
nwuc	mozgáslesiklás
gjac	vetélés
pcom	hüvely
dzic	tervező
grun	kérkedés
dzot	donor
hzek	mangán
kfot	billentyűzet
jlas	megbízhatatlan
lyim	elit
jyen	jen
pcaf	zárójel
rwip	rögbi
blip	Biblia
kyoc	okozás
lyon	fekély
flis	ragozott
nrif	rágcsál
kfam	kvantum
swes	pulóver
lwon	evolúciós
drec	boncolás
gjap	gyógyfürdő
lyec	lineáris
tyom	antimon
pwuk	superessivusügy
flaf	alfa
myim	immúnis
pcek	emberrablás
bjac	sörfőzde
bzac	rövidít
bzak	zokni
twes	televízió
dwut	dokumentumfilm
ksom	világegyetem
lyis	erdészet
lwim	alumínium
ksok	horoszkóp
sruc	gyors
dlif	delfin
byik	gyilkos
tfec	irodaszer
hjaf	emlős
ryok	jegyzőkönyv
dwis	dioxid
jlon	kettőspont
brus	bürokrácia
gjak	galaktika
lyip	klinikai
ryem	rádium
href	ritkított
prok	hűtőszekrény
slep	szatír
dret	ismétlés
kluk	régészeti
dlis	egyénikifejezésmód
kfip	elfogadhatatlan
mlec	masszázs
pfif	leírás
nrec	szenzoros
pfet	szórólap
hzoc	hátterében
dlam	ideálisan
nlec	embertan
kluc	ízletes
dyet	szedán
tyif	tranzitív
krus	meglapul
nluc	napraforgó
lyun	ion
zrot	kiadatás
ksif	hamisít
psif	kibocsátás
crup	átfedés
fret	kereső
grut	invert
ksec	osztálytárs
jric	útiterv
mrop	mikrohullámúsütő
srus	elűz
gyas	fodrász
floc	folklór
plek	hajszálcsöves
nwop	fenék
nrom	ellenőr
twos	terrorizmus
lwok	szlogen
dwet	túlóra
slem	szublimátum
grip	rostély
gwas	Azta
kwok	kobalt
gwon	zab
hdop	mozgásfolyón
glam	végbélnyílás
bwot	szarvasmarha
bren	bél
byot	videó-
bjik	bojkott
kwim	kvíz
cwek	jégkorong
grif	gerilla
hgem	magnézium
hyes	tudatosság
fram	gyógyszertár
nwos	igénytelen
ryap	átrendezni
cwim	megbízhatóság
klep	hínár
psec	térít
djic	világszerte
kfut	kijárásitilalom
crep	hamburger
frim	elv
gjas	meggyullad
hdef	terhelési
ryum	uránium
pluk	értékeli
krop	koordináta
nraf	adófizető
tyes	integrált
plip	vélekedett
hgom	gamma
hgus	együttható
cwuc	fűtőkészülék
zret	levon
nles	elemző
trof	tárgyatlan
hmof	sétálóutca
hzim	bizmut
dzac	étkező
psok	képeslap
blon	konvergencia
djet	elkalandozik
ksum	részvényes
mrup	mikroba
clif	csigavonal
cloc	morfológiai
tfes	élelmező
gjis	Farmer
jren	összehangolás
tlep	adatbázis
kcup	kupon
glot	feszültség
glut	számológép
srep	kibertér
nwes	beruházó
ksef	xsugár
bzis	Visa
frut	infrastruktúra
nyuk	szentjánosbogár
dyik	detektor
plec	összefonás
brom	bróm
plop	palládium
zlik	szilícium
flut	volt
ksop	kozmetika
gjun	ápolás
kfok	csuklás
hpof	pattogatottkukorica
hzuk	állatkert
nyoc	másodlagosjelentés
jwak	jóga
brim	bárium
kles	lefejez
mwam	igen
fwik	tüzijáték
djas	dzsessz
dyim	hang-
tsum	volfrám
drip	csöpög
lyaf	feleségtartásidíj
prom	programozó
nrup	bemenet
hfes	visszaható
rwaf	krizantém
dlen	dokumentáció
byas	vakcina
fron	heroin
dluk	szétkapcsol
dyun	diagnosztizál
flap	mappa
kfet	katód-
dlim	ideológia
prek	parkolás
syoc	pillanatkép
slus	megközelíthetőség
nlos	antiklimax
mlen	szelén
pres	kéreg
hlof	kén
nlek	jelenlegifontosságjelző
gwot	repülőtér
mwip	csaló
klop	csótány
kwom	króm
hl6t	liter
nwec	ennekellenére
glip	ciklikus
nrop	bérszámfejtés
crum	hormon
dlep	fejlesztő
frot	átfúr
bwoc	szabotázs
fwis	feminista
djok	konjugált
draf	korszerűsítésére
trum	szélsőséges
graf	algoritmus
lwes	lézer
mlem	milliméter
flen	Flex
zlot	anód
swok	odasimul
klec	kutyafáradt
pwim	részidő
htuf	tonhal
fyis	finomító
lwet	érzékenység
mrem	mainframe
jwic	megfiatalodás
droc	tüntető
clem	hélium
dzik	kétnyelvű
psem	vérplazma
hjom	kromoszóma
rwuc	sorrendi
tyus	egészszám
klom	kilométer
hfos	fax
nwek	genetika
jrap	csavarhúzó
zwas	előétel
bwok	brokkoli
dwap	adapter
syem	levélszemét
blek	vektor
tlus	taktika
pyif	meghatározhatatlan
cwoc	rendben
mrep	amper
hbem	vitamin
hxan	portás
hxut	támogat
hk6m	kadmium
hxin	egyidejűség
txin	titán
kxin	kiló
klum	párosodik
xlis	homokóra
hqak	szintaktikai
hxat	kreativitás
hxik	ekönyv
hxas	munkahely
bxon	bór
dxin	induktivitás
hxit	helikopter
tlum	tellúr
txit	határidő
kxat	oxidálódik
hvik	igazítsa
nluk	analóg
nyem	centiméter
hm6t	molibdén
hl6m	lítium
ht6t	multimédia
xlit	kalória
ryop	robot
pxas	gyógyszerész
hxak	házifeladat
lwif	helyhatározóieset
grim	logaritmus
hqat	mantis
qlit	ökológia
xlik	szofistaérveketfejtki
mlep	sablon
hqit	rádióaktivitás
kxim	kilogramm
hxen	bérlő
hxot	sokateszik
kyif	másológép
fwet	ral
txet	részhalmaza
hs6n	egymásutáni
hxet	ereszalja
xrat	hajvágás
hqan	lefoglal
hr6t	irídium
bxat	sávszélesség
dxet	asztali
hxis	exponenciális
hxok	központja
hxek	elhány
srem	cérium
hp6t	részelő
pxik	részelőügy
kxet	kazetta
pruk	szupermarket
hvit	akaraterő
xlin	nemelérhető
frip	titkosítás
hvep	túlfizet
hxon	szinkronizálni
kxit	maximalizálása
hqin	szeminárium
tr6n	sztereó
ht6n	kapocs
hvat	közelgő
sl6s	Celsius
hn6n	neon
ts6t	igaziidő
hvin	áramvonal
pxat	újságos
myoc	modul
ps6s	tészta
bwek	aktatáska
dlok	luxus
fraf	tűzfal
hr6k	műalkotás
txat	ebédidő
hqon	oregano
pxun	plutónium
ks6n	munkaállomás
slef	mozgólépcső
xrit	testőr
hvut	túlzsúfol
xrim	ittrium
hx6t	fokozódó
hqum	felhasználónév
hl6n	értékesítők
gron	argon
pxan	promóciós
hvac	mosogatógép
xlan	globalizáció
txon	hullámhossz
xrik	újrahasznosítása
hxap	hátizsák
hxac	újrakezd
xyat	májgyulladás
cwep	fizetés-ellenőrzés
hxos	oszlopláb
txif	betűtípussal
qlat	ingatlanügynök
txot	őszközepe
hxam	milligramm
pxis	pixel
pwif	előnézet
txam	tantál
myek	termodinamikai
hbop	szünetbanben
hqot	oldottanyag
xlic	kerekesszék
gxit	fajirtás
hvan	tűzoltás
glim	gallium
pfop	popfel
hzum	cirkónium
xlon	forródrót
qlin	nemlineáris
kxam	szkandium
blim	berillium
kxik	Beállítás
nr6n	neuron
hpef	állító
hruf	router
kxan	faktoriális
hxic	irányelv
xlip	röplabda
dyek	hibakeresés
hxop	karóra
qrot	neutron
nwip	nióbium
hs6t	vécé
grem	germánium
tles	félfém-
hp6k	prolativeügy
qyin	abiológiaisokféleség
txak	antibiotikum
mlun	immobilizáció
txan	aktínium
xran	űrhajós
dres	nyomástcsökkent
tr6t	földönkívüli
hk6t	oktett
hxus	nyisdkiforrás
xlat	rögeszmés
mraf	marathon
ts6n	midtavaszi
ht6s	autizmus
nlif	ionizál
txut	előkelőség
hm6n	kibocsátó
kxis	csipeszművészet
xrin	alatt
xren	átirányítás
bxak	könyvjelző
pfos	prokifejezés
hvis	ürülék
hd6n	névadó
brum	tanácsteremben
hqis	soviniszta
hk6n	összeállít
xyit	váltáskulcsfontosságú
xyin	egymásodik
hxun	fennmaradt
hvas	szerepek
glok	blog
hvak	kígyózó
pxit	iplakcim
hvet	következőnaknek
xram	pórsáfrány
hc6n	nyilvánvalóság
qran	Korán
zyen	xenon
hqas	esküszikbanben
bzas	fásult
hj6n	nememberi
hnof	semmitmondó
txas	döntéshozók
hbum	buddhizmus
ts6s	veszekedés
pxin	összetevők
hr6n	adag
hxim	nyárközepéig
dxit	télközepén
hxaf	kiás
nlus	házinövény
txap	állapotbár
vrit	Szellemíró
kxak	bolondkörül
bxin	emberitest
hqik	esőkabát
hxes	hertz
hxif	hipnotizál
xras	óránkénti
pl6k	asszisztens
dxat	meggondolatlanság
hxip	ellenanyag
vrat	rövidnadrág
hqek	átalakítása
qrit	polaritás
pxot	álláshivatal
hxom	hulladéklevél
hqic	bíráló
lwun	kékjean
hp6n	érés
dxan	csatolva
xrak	színészszerep
dxak	baleset
hven	konténerek
mwap	komikusszalag
qlan	színvak
xros	vetkőzés
srom	bemutatóterem
hc6t	beszélgetni
qrat	fejjelle-
hn6t	gátlás
hqet	hálówebhely
fres	fundraise
froc	kovácsolás
xlak	hyperlink
vlat	pergőbeszéd
dvan	akiszállás
gxin	hódító
ryes	recepciós
kxot	csatlakozók
xyan	elhatárolás
vlan	hirdető
ryom	tóriumatom
hluf	régikor
hquk	injekciót
lyum	túliumatom
tyem	terbiumatom
hp6m	prazeodinium
txic	otthonoldal
mros	autós
dyam	ródiumatom
pc6n	próbaszám
nyos	Bejövő
pyek	vetítő
kxon	kripton
hxuc	megmentésére
qrik	centrikusügy
xwin	tapasztalatlanság
kxic	tűzoltókészülék
hvot	folyamatábra
dxot	joghurt
hqut	logki
pxen	megyei
drok	célravasz
flon	mozgótelefon
txos	középsőhang
hqok	ferdeügy
xwik	betegügy
hx6n	premai
txik	indexujj
hqen	feladó
mlap	rosszindulatú
hvun	meggyőzés
hvon	viseletki
vran	levélhordozó
pfes	Egyetemitanár
pwip	költő
hqam	munkaki
gxat	jogszerűség
ks6t	okozó
vrin	toborzó
kxip	csipesztábla
sr6n	rosszalló
vlit	értékelő
tyup	külváros
mrom	morféma
xron	fejhallgató
gxak	drága
hrof	trójailó
xlas	bénult
dzet	újradekorálására
txac	átadó
xrot	felhasználatlan
txis	pontmátrix
syif	siegységek
xrac	meglepően
brif	kétkomponensűérték
dlos	módbeliügy
txun	attribútumok
dvat	rosszedzett
psom	elsőkéz
gjek	másha
nlem	egységnak,-nektömeg
qret	kiskereskedelembolt
txip	hármaspont
dlek	egyénileg
lwut	folyamjelenlegi
dxis	drámaian
hs6m	cézium
vlak	motorkocsi
hn6m	Nerium
kxap	karton
bxan	induló
myem	májushónapja
gxik	civiljogok
hxoc	levegőerő
xrok	munkatárs
kr6t	screenshot
txok	automatikusan
hxep	gördeszka
srop	okostelefon
pxak	sapkákzár
hk6k	népizene
hl6k	Eulerszám
pyom	polóniumatom
xyam	talliumatom
hvic	inváziós
lyok	helyhatározóiesetügy
xlot	lakások
txen	újrafogalmazása
kxac	ellentámadás
qrak	sztrájkokelfojtásával
hbup	úszásmedence
txuk	rövidáramkör
tsef	kúpos
bxit	hálóházigazda
ksem	olvascsak
byim	rubídiumatom
hvam	vanádiumatom
lw6n	lantán
frum	fluoratom
nyom	neodímium
mlom	multalszám
kxas	megszemélyesít
xret	terabyte
hs6k	keresmotor
frus	korrodáló
gxan	galaktikanem
vlas	vocalizations
glet	gázpedál
hvim	futásidejű
bxip	bitmap
qrin	csillagnem
bvak	abessiveügy
pxon	nemérhetőel
dvik	adessiveügy
dvek	agentiveügy
hlef	ügynökravasz
kwek	naknekügy
kxen	közösnem
ht6m	idézetforma
tsuf	transzszámjegy
hf6n	bírságolás
tc6t	közvetlentárgy
gvik	ergatívokügy
gxon	szilánkosodás
ksep	receptor
vyin	filmszínház
pyos	passzívhang
hnef	végesige
xwit	elsődlegestárgy
hqim	gnómikushangulat
jlak	általánosítás
vrik	végsőrészecske
qyan	képzeletbeliegység
kxaf	sebességnak,-nekfény
xyic	adathalászat
qyit	kritikaipont
hvek	evitativeügy
bvik	subessiveügy
hzes	megszállottügy
prus	számítógépvírus
ples	feldolgozó
pxif	rendőrségtiszt
dvak	halmozottügy
brun	túrázó
tsi_k	antessiveügy
tyum	ruténiumatom
vyak	határozóiügy
pxim	elsőminiszter
syum	stronciumatom
sy6n	gyanakvás
hy6n	élőnem
pxac	empatikusöröm
vlin	járműnem
qwin	ásványinem
hr6s	áttétel
tf6n	toner
xris	használófelület
hw6n	káromkodás
xlen	szóbelifőnév
pyec	táblázatkezelő
vlim	ténylegesemlékezet
bres	szófeldolgozó
hqip	felhőszámítástechnika
vlic	ténylegesgép
pfam	spammer
dyap	másodiknyelv
txek	n-edikgyökér
dxen	adatbányászati
byip	üzletiszemély
hs6c	magabizalom
txim	utalva
hb6t	változásnak,-nekesemény
hdem	domainnév
dxon	különbözőesemény
lwaf	vakuhajtás
sl6t	crastinalfeszült
xyik	floppykorong
fyif	visszahatóhang
bvin	világegyetemnem
hm6p	alaplap
tfip	tranzitívige
jlen	helységnem
xrap	csíkos
tc6n	kutatásnem
sl6n	művészetinem
xrek	betegravasz
xwan	absztraktnem
dxif	videókonferencia
dyip	közvetettbeszéd
zrek	exocentricügy
hvuk	felidézve
xwat	múltbefejezett
hr6m	rénium
txaf	kiváltott
hmef	személytelenige
tx6t	szövegszerkesztő
txes	kollektívfőnév
bvat	mistreating
bvuk	absolutiveügy
ry6t	orsócsontiideg
vlis	ténylegesvalóság
qren	földinem
gvak	nyelvtaniügy
bxok	kopasz
mrum	számítógépprogram
ps6t	üzemeltetésirendszer
hfom	fonéma
tlem	olvascsakemlékezet
pwam	spyware
kfif	magbenefactive
qwit	racionalitás
nlaf	telepítés
nwok	asszociációsügy
dzas	nemelégítki
swuk	felsőfokúügy
syos	összegző
kr6n	elektromosjelenlegi
dvin	élettelennem
pxom	propositivehangulat
vris	kölcsönöshang
rwos	aeroszol
dr6t	Testőr
ht6k	távközlés
slaf	társadalmihálózatépítés
lyuk	egymástkikötés
qras	felettesei
ty6n	terminál
gwet	hamarjövőfeszült
hp6s	alkalmazóhang
tsof	antipassivehang
ht6p	továbbképzésvonatkozás
hn6f	necessitativehangulat
pfip	passzívmelléknéviigenév
glap	eszköztár
sy6k	egzisztenciáliskikötés
qyat	világítóintenzitás
hy6t	nyelvtanitárgy
vyan	kinyilatkoztatás
sluf	singulativeszám
dvit	túlzottidőtartama
qyak	egyetlenakcióige
bzik	fizika
xlet	felsőfokúfokozat
hqap	ajándékmelléknéviigenév
qwat	összegnak,-nekanyag
qyik	összekötőrészecske
sr6t	szuperkritikusfolyadék
hfem	beiktatottmorféma
tl6t	távolijövőfeszült
mrif	mikrofon
pcuk	névutósügy
tfim	véletlenhozzáférésemlékezet
fwim	etídium
ly6t	rövidbuzdítóbeszédmegegyezés
hvap	tekercsbár
hfep	gyakorítóvonatkozás
bvan	elosztónévmás
fyun	úszópontszám
xyas	törlés
hvif	igeelhelyezi
xyis	múltpasszívmelléknéviigenév
tl6n	központifeldolgozásegység
tfok	helyhatározóiesetirány-ügy
qwan	gyakrankérdeztekérdések
