hnit	क्रियाकासाधारणरूप
ksip	विलुप्त
sres	सैर
hnup	गुंबद
hzun	हठी
mric	मांसपेशी
gjat	परिमाण
hros	रगड़
zrac	राड़
tros	टोस्ट
myus	माउस
dwac	संवाद
byak	बकरा
htef	दर्जी
hfek	पनपने
dzan	थोपना
nyon	गुमनाम
zrit	औपचारिकरजिस्टर
pcos	खेल
hjec	पिघल
dlas	मिटाना
mras	छाता
mram	खनिज
cwut	संघर्षविराम
hbok	बत्तख
swun	साबुन
dwak	गुड़िया
plif	विला
slon	सिलाई
tfut	बधाईदेना
djac	समाधानकरना
hjas	दबाना
kric	खरगोश
kwot	कंडक्टर
gzan	गारंटी
clot	खिलाड़ी
ksek	कीट
psam	आसन
mwut	उल्लू
htem	स्थायीरूपसे
clon	वायोलिन
dzin	निवासी
rwim	क्रमश:
hyof	फायदेमंद
dron	अजगर
dwit	श्रवणप्रत्यक्ष
sroc	निर्यात
hzot	समाप्ति
djik	ठहराना
kfik	ढक्कन
ryun	विनियमन
hmes	महापौर
rwac	हार्डवेयर
sruk	सर्कस
sros	अल्पसंख्यक
bzan	दंगा
kset	ऑर्केस्ट्रा
bjon	बेकन
hjut	असीमित
tfen	प्रतिवादकरना
zwac	हानि
dyin	विवेचना
myis	संगीतकार
mlis	मानसिकरूपसे
pret	अपर्याप्त
tsek	वास्तुकार
hlom	नींबू
ksos	खांसी
crok	सिरदर्द
flin	उपजाऊपन
mrun	बढ़ई
swec	बिनासोचेसमझे
syuk	चम्मच
blun	गुब्बारा
tcep	चाक
fric	जलपान
rwik	खड़ा
rwen	रोकने
flet	आनुमानिकप्रत्यक्ष
pfac	प्रकाशक
srek	सिरका
tfun	सुरंग
pwet	पहेली
gyik	गणित
fwot	मुरझाना
lwin	संतुलित
jwin	जिगर
bwik	Sublativeमामला
hdup	डुबकी
hnop	एकाधिकार
bwic	पनडुब्बी
ryen	परवाहकिएबिना
hcem	भूकंप
hbos	प्रयोगशाला
nrek	मज़दूर
ryim	ताल
nyic	व्याख्या
dwas	दूतावास
rwok	भड़काना
kram	असमर्थता
ksim	कथात्मकमनोदशा
clok	चॉकलेट
pcec	विशेषाधिकारप्राप्त
nyis	सन्यासी
tyoc	संयोग
grak	खरोंच
zlat	दस्ताना
hjuk	घुटनाटेकना
trif	भूगोल
djit	व्यवस्थित
pson	अजेय
mwis	निवेश
cwec	मौखिक
hdek	धर्मनिरपेक्ष
blik	बाज़
sloc	मनोविज्ञान
brap	स्क्रैप
jlat	समुद्रीडाकू
dros	ख़ुराक
slam	सैल्मन
pwun	पुडिंग
gwik	चुंबकीय
pcop	पंप
myen	उसीप्रकार
ksen	ऑक्सीजन
mrap	पंचोंकासरदार
tfot	प्रमाणपत्र
ksus	समूह
trok	वक्रपटुता
tloc	छड़
zyan	डांड़
nlun	लॉगिन
hlop	दूरबीन
jlin	वर्तनी
lyut	धुंधला
hsof	लहर
fyik	व्हिस्की
klet	अपेक्षाकृत
hwof	विलो
hlum	ऊंट
myet	शौकिया
klis	अलगाव
hbaf	जीवनी
gwac	गधा
hwum	अफवाह
pwik	परिप्रेक्ष्य
pron	समर्थक
myes	मासिक
mwen	मनकीलहर
kfic	छुट्टी
klek	क्लिककरें
cwon	अंडाकार
lyak	लोचदार
kwon	शब्दकोश
hjam	जांघ
rwon	इंद्रधनुष
crip	इसकेद्वारा
zwan	घटनेवाला
srok	संपादकीय
craf	दैहिक
tlok	टैंक
brip	तितली
tfap	चार्ट
jwat	जुड़वां
pros	ऑपरेटिंग
psun	शकुन
clet	wretchedness
hbus	बांस
dyas	विक्रेता
klun	संचय
jlit	एकमत
hdom	बुरासपना
kron	कार्बन
hzam	जाम
cyot	श्रोता
hmem	संग्रहालय
lwam	वर्णमाला
fras	बिखराव
psoc	पंच
hgum	गम
brek	ब्रेक
glit	स्थिरता
frun	सड़ांध
gris	आक्रामक
mroc	टकराव
bzit	मकड़ी
plut	आलू
glac	लालच
gzac	गुणाकरना
prun	स्पिन
jlet	कैलेंडर
nyim	नामांकन
tlos	ट्रिलियन
slut	सलाद
fwit	सकारात्मकमनोदशा
pyen	आवेदन
nlon	नाममात्र
dren	दिखाना
drun	असंतोष
cyok	कंधेउचकानेकीक्रिया
hfop	फ़ुटबॉल
ryac	साझेदारी
gzin	अगुआ
hgip	गोभी
tyet	पुष्ट
hdof	idiophone
hwup	अमूल्य
lwek	उत्तोलक
syec	सीनेटर
jyak	समायोजित
mlim	चींटी
fwic	प्रभावीढंगसे
gzit	गर्भवती
blas	भरोसा
jrin	हरदिन
gwak	टखने
drik	विचित्ररूपसे
prif	परिवर्तनशील
jwit	विविधता
krip	भेदभाव
ryot	awed
nwut	फ़ुटपाथ
kcif	सक्रियरूपसे
jrak	मेढक
twek	अत्यधिकमामला
psot	प्रायश्चितकरना
pfon	स्पंज
sluk	गिलहरी
nlim	irrealisमनोदशा
ksaf	कमी
glak	ज्वालामुखी
plen	संतुलन
kfaf	दुपट्टा
kyon	शोषण
jlik	भूवैज्ञानिक
psop	पासपोर्ट
kfis	रिक्ति
fyon	समानता
nram	अनैतिक
hbuk	बिस्कुट
gras	ट्रान्स
hyos	भयभीत
flim	फ़िल्म
plet	गोली
rwam	परमाणु
blis	वनीला
zlit	एड्स
fyut	दुराराध्य
crim	पिरामिड
hjif	ग़ैरक़ानूनी
crif	शर्म
lwap	वीणा
tyon	खगोल
mrim	भूलभुलैया
drut	वर्णनात्मक
nrim	छात्रवृत्ति
kruc	कछुआ
kwam	सलाहकार
jrik	क्रिकेट
dlut	सूचितकरना
pyot	कबूतर
dyon	अनुकूलन
prap	ऑपरेटर
bzin	बिल्ला
tyek	त्रिकोण
trec	कोषाध्यक्ष
nron	हाइड्रोजन
pyet	मुद्रक
tsok	गलाघोंटना
zyin	जीर्ण
slek	साइकिल
jyin	इंजीनियरिंग
ryas	हस्तांतरण
zrak	ताज़ाकरना
nyas	नर्तकी
gric	प्रवास
zlak	काउल्लंघन
tces	टेनिस
hjun	तूफानी
twen	बुनना
kyet	एकत्रकरनेवाला
gwit	रीढ़कीहड्डी
kyot	ज्या
fwin	आवृत्ति
tfuc	करघा
dlet	निर्देशिका
pfik	विचारक
bjet	बजट
trek	रणनीति
kros	क्वार्ट्ज
gjit	कैंची
gwic	स्विच
frik	सैद्धांतिक
tluc	तौलिया
pruc	पहरा
glic	हिमनद
krun	संपूर्णता
bjin	भविष्यवाणी
tlaf	भागलेना
tfet	उत्पादक
bras	पार्श्व
dwik	प्रतिवादी
clec	निकास
cres	शतरंज
tcef	चेरी
tcom	ठोकर
nyot	अनुवादक
tyok	ट्रक
cyip	श्रेष्ठ
grot	सरसों
bris	ताररहित
nlam	नीलाम
slif	चलनी
hgos	जंग
swoc	अस्थिर
jyat	दिवालिया
slum	इसलाम
hjes	जनगणना
dzat	छिपकरजाना
slun	निलंबित
nwot	निरंतरता
gyic	गिटार
pfas	पक्षपात
zyik	जस्ता
blen	चमकदार
hyem	एल्म
hnep	हाथापाई
nyut	बुनाहुआ
ryam	सर्वनामनिशान
clim	मसाला
jret	तीखेपन
tfon	चिढ़ाना
jwac	जावा
hrep	विधि
dyac	मताधिकार
myip	मीटर
rwis	जातीय
hkem	धूमकेतु
nwon	नवोन्मेष
zwin	प्रतिबंध
dyis	मध्यकालीन
mrec	गौरैया
fyot	फुटनोट
mlon	माप
pfis	अनुममर्थन
rwot	कक्षा
hfok	मितव्ययी
glof	गोल्फ़
zron	शून्य
hzip	ज़िप
hwom	बेघर
bjic	चबाने
pcim	पूरा
hjip	टुकड़ा
bwac	जंभाई
mlos	तिल
mrip	मिट्टीकेबर्तनों
bron	भ्रूण
ksoc	कटौती
cyum	ख़मीर
jyan	शब्दजाल
plim	बेर
mwet	कब्रस्तान
ryet	स्नातक
glik	सिंचाई
plap	पूंजीवादी
tsif	लोच
gyak	शार्क
djon	चूक
nwun	समयनिष्ठ
cles	यथार्थवाद
dris	तेजीसे
hkef	कैफ़े
blus	एम्बुलेंस
blap	बटुआ
bjak	उन्मादपूर्ण
klim	मुंहबनाना
gyac	वैज्ञानिक
jyit	समभाव
dzit	यथार्थवादी
bwak	घरकेबाहर
dyot	रेडियो
bwon	सेम
fris	अनौपचारिक
klut	कल्पनाकरना
tfek	स्टेक
nrok	नाइट्रोजन
zyat	उस्तरा
bram	बुदबुदाना
ryis	परिचयात्मक
nlip	विश्लेषण
nros	विषम
hcof	घरकाकपड़ा
tfif	प्रोत्साहन
kroc	कुंड
hdum	जूदाईस्म
pses	प्राप्तकरनेवाला
plok	पूरकहैं
lyet	लेंस
pwek	pegativeमामला
kfas	कैंसर
pwen	प्यादा
nrun	अनुस्मारक
clek	रिसाव
pcif	प्रमाण
glas	जटिलता
zwit	बातूनी
kces	प्रचुरता
crem	खुदरा
grap	हथियाना
kwip	हस्तक्षेपकरना
dyut	छूट
crus	पदक्रम
gyet	जेड
gram	गिरह
kyip	छिपकली
nyet	पैड
crop	झरना
glon	गैलन
mrok	मच्छर
fluc	धाराप्रवाह
dwic	विचलन
slec	एक्सप्लोरर
srec	अवसानहोरहाहै
blut	कुश्ती
myok	मौज़ेक
tlek	प्लग
nruk	संक्रामक
nwoc	अबसेआगे
bjut	फूहड़
hges	गर्भावस्था
twoc	किराना
kyos	साम्यवादी
mrek	विस्मितकरना
clip	पछतावा
pwok	prosecutiveमामला
dwot	तानाशाह
zyac	अतिव्यस्तता
jlic	उपग्रह
slop	चप्पल
ryip	आनुपातिक
psim	अनुमानित
byet	बेरोज़गार
cyop	शौक
rwun	मापदंड
blop	बल्ब
syok	समर्थक
klos	क्लोरीन
lwot	क्लोराइड
byic	जीवाणु
lyik	चिपचिपा
blok	जैविक
jlac	बहानाकरना
bret	बाइट
krif	स्राव
blet	बैले
nruc	मूत्र
tsus	लहसुन
dyak	मध्यमवर्ग
tcem	चिमटा
cyoc	चुनौतीपूर्ण
trep	स्ट्रॉबेरी
dlun	प्रदूषण
hlup	एल्बम
hbep	बेसबॉल
praf	समुद्रीडकैती
pwis	कृदंत
grek	गेराज
kruk	बैसाखी
hfof	फास्फोरस
rwut	संरचनात्मक
myam	व्यायामशाला
krec	क्रेन
jras	ठेकेदार
zrik	सूचितकरें
blam	बॉलरूम
klip	शिल्पी
hwef	अवैतनिक
zlac	केला
gret	जनक
lwuk	पसली
nyek	निकल
blos	बस
sles	सेंसर
tlif	टाइल
kses	सॉस
mwot	टमाटर
lyot	ऑटो
tsom	पोटैशियम
brut	वास्तविक
djap	बीजगणित
hjok	सामान्य
kfen	अवधारणाओं
pcok	ऑप्टिकल
bzut	हिलना
syek	बेरोजगारी
mruc	कमला
bwas	ब्राउज़र
klif	कैल्शियम
rwet	दूरस्थअतीतकाल
srif	ऐतिहासिककाल
hwem	स्पेक्ट्रम
syom	सोडियम
tyos	ट्रस्टी
jyic	बंधक
hguk	लौकी
dwun	शिकन
swip	कील
tlec	टिकटिक
blaf	बलात्कार
tsem	नास्तिकता
mloc	मॉनिटर
gyot	सशर्त
trop	जांच
rwap	त्रैमासिक
hjep	लिंग
pyim	प्लैटिनम
dlon	दोहरीसंख्या
pcep	फेफड़ा
twuk	दस्त
tyec	टैग
syup	सुपर
trom	ट्राली
nyip	स्थानीयस्तरपर
glis	पेट्रोल
gjik	गुर्दे
hjos	नायाब
hjuc	लूटमार
swek	overworked
psek	संखिया
twok	सांख्यिकीय
tsep	टिड्डी
slos	समाजवादी
nwim	ग्रहणशीलप्रत्यक्षमनोदशा
tlop	मेज़पोश
trus	विवादास्पद
pwot	पट्टा
djot	तलछट
nloc	चपटी
mwon	अकर्मण्य
hjek	जॉकी
crom	सहयोग
myon	निमोनिया
twec	बैठाना
ryek	राकेट
dlic	लाभांश
kwet	स्केट
bwen	जुनून
plon	आवंटन
syon	पंत
djis	डिजिटल
byut	कुतिया
hyep	पपोटा
dwon	विकर्ण
byis	अचेतन
brec	भौं
cyec	छींक
hwop	वाट
clus	उल्लसित
kfun	अधिभोग
nwum	हिन्दूधर्म
fyim	शरणार्थी
cwos	शटल
tfoc	आवेश
pwon	प्रोटीन
sraf	आत्मसंतुष्ट
hbom	वमन
gyen	जीन
drim	नए
trem	accoutrements
tsup	टूट
slok	समाजशास्त्र
kwoc	स्क्वाश
bwam	मतदाता
mlok	गतिशीलता
kyen	क्षेत्रीय
hmop	प्रस्तावऊपरकीओर
rwek	पूर्वप्रभावी
kfup	घनक्षेत्र
grok	गाजर
drap	बहकाना
lwis	आणविक
ksuc	मुनीम
tsop	बदबू
kyok	खीरा
nroc	नंगानाच
jlot	विलायक
psof	फॉस्फेट
hgif	रिझाना
kfim	क्षारीय
psos	कसरत
pfen	सत्यापन
kcom	अर्थशास्री
krom	अल्पविराम
tluk	wriggle
hyom	आयोडीन
nwuc	प्रस्तावउतार
gjac	गर्भपात
pcom	फली
dzic	डिजाइनर
grun	डींगमारनेका
dzot	दाता
hzek	मैंगनीज
kfot	कीबोर्ड
jlas	अविश्वसनीय
lyim	अभिजातवर्ग
jyen	येन
pcaf	कोष्टक
rwip	रग्बी
blip	बाइबिल
kyoc	करणीयसंबंध
lyon	व्रण
flis	विभक्ति
nrif	कुतरना
kfam	मात्रा
swes	स्वेटर
lwon	विकासवादी
drec	विच्छेदन
gjap	स्पा
lyec	रैखिक
tyom	सुरमा
pwuk	superessiveमामला
flaf	अल्फा
myim	प्रतिरक्षा
pcek	अपहरण
bjac	शराबकीभठ्ठी
bzac	संक्षेपकरना
bzak	मौज़ा
twes	टेलीविजन
dwut	दस्तावेज़ी
ksom	कास्मोस\ब्रह्मांड
lyis	वानिकी
lwim	अल्युमीनियम
ksok	कुंडली
sruc	शीघ्र
dlif	डॉल्फिन
byik	हत्यारा
tfec	लेखन-सामग्री
hjaf	स्तनपायी
ryok	मसविदाबनाना
dwis	डाइऑक्साइड
jlon	पेटके
brus	नौकरशाही
gjak	आकाशगंगा
lyip	नैदानिक
ryem	रेडियम
href	rarefied
prok	फ्रिज
slep	ऐयाश
dret	चलना
kluk	पुरातात्विक
dlis	लत
kfip	अस्वीकार्य
mlec	मालिश
pfif	विनिर्देश
nrec	ग्रहणशील
pfet	पत्रक
hzoc	कायमकरना
dlam	आदर्श
nlec	नृविज्ञान
kluc	स्वादिष्ट
dyet	पालकी
tyif	सकर्मक
krus	cower
nluc	सूरजमुखी
lyun	आयन
zrot	प्रत्यर्पण
ksif	मिथ्यासिद्धकरना
psif	उत्सर्जन
crup	ओवरलैप
fret	खोजक
grut	पलटना
ksec	सहपाठी
jric	यात्राकार्यक्रम
mrop	माइक्रोवेव
srus	बाहरनिकालना
gyas	नाई
floc	लोक-साहित्य
plek	केशिका
nwop	नितंबों
nrom	नियंत्रक
twos	आतंक
lwok	नारा
dwet	अधिकसमयतक
slem	उदात्तीकरणकरना
grip	ग्रिल
gwas	वाह
kwok	कोबाल्ट
gwon	जई
hdop	प्रस्तावupriver
glam	गुदा
bwot	मंद
bren	आंतें
byot	वीडियो
bjik	बहिष्कार
kwim	प्रश्नोत्तरी
cwek	हॉकी
grif	गुरिल्ला
hgem	मैग्नीशियम
hyes	जागरूकता
fram	फार्मेसी
nwos	unambitious
ryap	पुनर्व्यवस्थित
cwim	विश्वसनीयता
klep	सिवार
psec	प्रतिपूर्तिकरना
djic	दुनियाभर
kfut	निषेधाज्ञा
crep	हैमबर्गर
frim	प्रमेय
gjas	आगलगना
hdef	नामे
ryum	यूरेनियम
pluk	आकलन
krop	समन्वयस्थापित
nraf	करदाता
tyes	एकीकृत
plip	राय
hgom	गामा
hgus	गुणक
cwuc	हीटर
zret	घटाना
nles	विश्लेषक
trof	अकर्मक
hmof	मॉल
hzim	विस्मुट
dzac	भोजनकरनेवाला
psok	पोस्टकार्ड
blon	अभिसरण
djet	पीछेहटना
ksum	हिस्सेदार
mrup	सूक्ष्मजीव
clif	कुंडलितवक्रता
cloc	रूपात्मक
tfes	भोजनादिकाव्यवस्थापक
gjis	जीन्स
jren	संरेखण
tlep	डेटाबेस
kcup	कूपन
glot	वोल्टेज
glut	कैलकुलेटर
srep	साइबरस्पेस
nwes	निवेशक
ksef	एक्स-रे
bzis	वीसा
frut	बुनियादीढांचे
nyuk	जुगनू
dyik	डिटेक्टर
plec	ब्याह
brom	ब्रोमिन
plop	दुर्ग
zlik	सिलिकॉन
flut	वाल्ट
ksop	अंगराग
gjun	संवारने
kfok	हिचकी
hpof	पॉपकॉर्न
hzuk	चिड़ियाघर
nyoc	अर्थ
jwak	योग
brim	बेरियम
kles	सिरकाटलेना
mwam	हाँ
fwik	आतशबाज़ी
djas	जाज
dyim	ऑडियो
tsum	टंगस्टन
drip	बूँदबूँदकरटपकना
lyaf	गुजाराभत्ता
prom	प्रोग्रामर
nrup	इनपुट
hfes	कर्मकर्त्ता
rwaf	गुलदाउदी
dlen	प्रलेखन
byas	टीका
fron	हेरोइन
dluk	डिस्कनेक्ट
dyun	कानिदान
flap	फ़ोल्डर
kfet	कैथोड
dlim	विचारधारा
prek	पार्किंग
syoc	स्नैपशॉट
slus	सुलभता
nlos	अवनति
mlen	सेलेनियम
pres	कोर्टेक्स
hlof	गंधक
nlek	वर्तमानप्रासंगिकतानिशान
gwot	हवाईअड्डा
mwip	ढोंगी
klop	तिलचट्टा
kwom	क्रोमियम
hl6t	लीटर
nwec	फिरभी
glip	चक्रीय
nrop	पेरोल
crum	हार्मोन
dlep	डेवलपर
frot	छेदना
bwoc	तोड़-फोड़
fwis	नारीवादी
djok	एकत्रित
draf	आधुनिकीकरण
trum	अतिवादी
graf	कलनविधि
lwes	लेज़र
mlem	मिलीमीटर
flen	फ्लेक्स
zlot	एनोड
swok	ठहरना
klec	कुत्तेथक
pwim	पार्टटाईम
htuf	टूना
fyis	रिफाइनरी
lwet	संवेदनशीलता
mrem	मेनफ्रेम
jwic	कायाकल्प
droc	प्रदर्शक
clem	हीलियम
dzik	द्विभाषिक
psem	प्लाज्मा
hjom	क्रोमोसाम
rwuc	क्रमवाचक
tyus	पूर्णांक
klom	किलोमीटर
hfos	फैक्स
nwek	आनुवंशिकी
jrap	पेंचकस
zwas	क्षुधावर्धक
bwok	ब्रोकली
dwap	अनुकूलक
syem	स्पैम
blek	वेक्टर
tlus	युक्ति
pyif	अनिर्दिष्ट
cwoc	ठीकहै
mrep	एम्पेयर
hbem	विटामिन
hxan	दरबान
hxut	घूसदेना
hk6m	कैडमियम
hxin	एकहीसमयमेंहोनेकीस्थिति
txin	टाइटेनियम
kxin	किलो
klum	मैथुनकरना
xlis	hourglass
hqak	वाक्य-रचनाकेनियमोंकेअनुसार
hxat	रचनात्मकता
hxik	ईकिताब
hxas	कार्यस्थल
bxon	बोरान
dxin	अधिष्ठापन
hxit	हेलीकाप्टर
tlum	टेल्यूरियम
txit	समयसीमा
kxat	oxidize
hvik	संरेखित
nluk	अनुरूप
nyem	सेंटीमीटर
hm6t	मोलिब्डेनम
hl6m	लिथियम
ht6t	मल्टीमीडिया
xlit	कैलोरी
ryop	रोबोट
pxas	फार्मासिस्ट
hxak	घरकापाठ
lwif	लोकैटिव
grim	लोगारित्म
hqat	एकप्रकारकाकीड़ा
qlit	परिस्थितिकी
xlik	मिलावटकरना
mlep	टेम्पलेट
hqit	रेडियोधर्मिता
kxim	किलोग्राम
hxen	किरायेपरलेनेवाला
hxot	पेटभरखाजाना
kyif	कापियर
fwet	फ्रीवेयर
txet	सबसेट
hs6n	क्रमबद्ध
hxet	छिपकरबातेंसुनना
xrat	बालकाटना
hqan	ज़ब्तकरना
hr6t	इरीडियम
bxat	बैंडविड्थ
dxet	डेस्कटॉप
hxis	घातीय
hxok	मुख्यालय
hxek	ग़लतजगहरखना
srem	सैरियम
hp6t	ज़ाती
pxik	ज़ातीमामला
kxet	कैसेट
pruk	सुपरमार्केट
hvit	इच्छाशक्ति
xlin	ऑफ़लाइन
frip	एन्क्रिप्शन
hvep	overpay
hxon	सिंक्रनाइज़
kxit	अधिकतम
hqin	सेमिनार
tr6n	स्टीरियो
ht6n	बांधनेवालापदार्थ
hvat	आगामी
sl6s	सेल्सियस
hn6n	नीयन
ts6t	वास्तविकपहर
hvin	सुवीही
pxat	अख़बारबेचनेकाअड्डा
myoc	मॉड्यूल
ps6s	पास्ता
bwek	ब्रीफ़केस
dlok	डीलक्स
fraf	फ़ायरवॉल
hr6k	विरूपणसाक्ष्य
txat	लंचटाइम
hqon	अजवायनकीपत्ती
pxun	प्लूटोनियम
ks6n	वर्कस्टेशन
slef	चलतीसीढ़ी
xrit	जीवनरक्षक
hvut	पल्लाझुकना
xrim	yttrium
hx6t	वृद्धिकरनेवाला
hqum	उपयोगकर्तानाम
hl6n	salespeople
gron	आर्गन
pxan	प्रचार
hvac	बर्तनसाफ़करनेवाला
xlan	भूमंडलीकरण
txon	तरंगदैर्ध्य
xrik	अपनीबातदोहराना
hxap	बैग
hxac	पुनःआरंभकरें
xyat	हैपेटाइटिस
cwep	पेचेक
hxos	टोरस्र्स
txif	टाइपफेस
qlat	रियाल्टार
txot	मध्यशरदऋतु
hxam	मिलीग्राम
pxis	पिक्सेल
pwif	पूर्वावलोकन
txam	टैंटलम
myek	thermodynamic
hbop	तालातोड़करघुसना
hqot	घुलाहुआपदार्थ
xlic	व्हीलचेयर
gxit	नरसंहार
hvan	अग्निशमन
glim	गैलियम
pfop	पॉपऊपर
hzum	zirconium
xlon	हॉटलाइन
qlin	nonlinear
kxam	स्कैंडियम
blim	फीरोज़ा
kxik	कॉन्फ़िगर
nr6n	न्यूरॉन
hpef	विधेय
hruf	रूटर
kxan	कारख़ानेका
hxic	दिशानिर्देश
xlip	वालीबाल
dyek	डिबग
hxop	घड़ी
qrot	न्यूट्रॉन
nwip	नाइओबियम
hs6t	पाख़ाना
grem	जर्मेनियम
tles	धातुकेरूप-रंगकाएकअधातुपदार्थ
hp6k	prolativeमामला
qyin	जैवविविधता
txak	एंटीबायोटिकदवाओं
mlun	स्थिरीकरण
txan	जंगी
xran	अंतरिक्षयात्री
dres	दबावहटाना
tr6t	अलौकिक
hk6t	ओकटेट
hxus	खुलास्रोत
xlat	बेवकूफ
mraf	मैराथन
ts6n	मध्यवसंत
ht6s	आत्मकेंद्रित
nlif	योणबनाना
txut	प्रसिद्धि
hm6n	उत्सर्जक
kxis	क्लिपकला
xrin	केदौरसेगुजर
xren	पुनःनिर्देशित
bxak	बुकमार्क
pfos	समर्थकमुहावरा
hvis	मल
hd6n	भाजक
brum	बोर्डरूम
hqis	अंधराष्ट्रीवादी
hk6n	संकलन
xyit	खिसकजानाकुंजी
xyin	एकक्षण
hxun	संविदा
hvas	भूमिकाओं
glok	ब्लॉग
hvak	चकरा
pxit	आईपीपता
hvet	केपास
xram	कुसुम
hc6n	प्रत्यक्षता
qran	कुरान
zyen	क्सीनन
hqas	शपथलेना
bzas	उबाहुआ
hj6n	गैरमानव
hnof	noncommittal
txas	निर्माताओं
hbum	बुद्धधर्म
ts6s	झगड़ा
pxin	सामग्री
hr6n	राशन
hxim	मध्यगर्मियों
dxit	मध्यसर्दियों
hxaf	खोदना
nlus	घरेलुपौध्ाा
txap	स्थितिबार
vrit	असलीलेखक
kxak	सुस्तीमेंसमयगंवाना
bxin	मानवशरीर
hqik	रेनकोट
hxes	हेटर्स
hxif	सम्मोहित
xras	प्रतिघंटा
pl6k	paralegal
dxat	आतुरता
hxip	एंटीबॉडी
vrat	निकर
hqek	देगी
qrit	polarity
pxot	डाकघर
hxom	कचरामेल
hqic	आलोचक
lwun	ब्लूजीन
hp6n	परिपक्वता
dxan	संलग्न
xrak	अभिनेताभूमिका
dxak	दुर्घटना
hven	कंटेनर
mwap	कॉमिकस्ट्रिप
qlan	रंगअंधा
xros	undressing
srom	शोरूम
hc6t	चैटिंग
qrat	उल्टा
hn6t	निषेध
hqet	वेबसाइट
fres	fundraise
froc	फोर्जिंग
xlak	हाइपरलिंक
vlat	बकवाद
dvan	उतरते
gxin	जीतने
ryes	रिसेप्शनिस्ट
kxot	कनेक्टर्स
xyan	विभाजनकरना
vlan	विज्ञापनदाता
ryom	थोरियमपरमाणु
hluf	बुढ़ापा
hquk	इंजेक्षन
lyum	थ्यूलियमपरमाणु
tyem	टर्बियमपरमाणु
hp6m	प्रेसियोडीमियम
txic	घरपृष्ठ
mros	मोटरयात्री
dyam	रोडियामपरमाणु
pc6n	परीक्षणसंख्या
nyos	इनबॉक्स
pyek	प्रक्षेपक
kxon	क्रीप्टोण
hxuc	बचाव
qrik	केंद्रीयमामला
xwin	अनुभवकाहीनता
kxic	आगबुझानेकीकल
hvot	फ़्लोचार्ट
dxot	दही
hqut	लॉगइनकरेंबाहर
pxen	विभागीय
drok	लक्ष्यट्रिगर
flon	मोबाइलफोन
txos	मध्यआवाज़
hqok	परोक्षमामला
xwik	मरीजमामला
hx6n	पूर्वअव्तन
txik	तर्जनी
hqen	प्रेषक
mlap	मैलवेयर
hvun	उत्तेजना
hvon	थकना
vran	डाकवाहक
pfes	प्रोफ़ेसर
pwip	कवि
hqam	व्यायाम
gxat	वैधता
ks6t	प्रेरणाका
vrin	भर्ती
kxip	क्लिपमंडल
sr6n	अनुमोदन
vlit	मूल्यांकनकरनेवाला
tyup	उपनगर
mrom	शब्दकाभाग
xron	हेडफोन्स
gxak	महंगा
hrof	ट्रोजनघोड़ा
xlas	स्तंभित
dzet	redecorate
txac	आत्मसमर्पण
xrot	अप्रयुक्त
txis	डॉटमैट्रिक्स
syif	siइकाइयों
xrac	हैरतकीबातहै
brif	द्विआधारीमूल्य
dlos	मोडलमामला
txun	गुण
dvat	उतावला
psom	पहलीहाथ
gjek	किसीऔरयदि
nlem	यूनिटकेद्रव्यमान
qret	खुदरादुकान
txip	तीनबिंदु
dlek	व्यक्तिगतरूपसे
lwut	प्रवाहचालू
dxis	नाटकीयरूपसे
hs6m	सीज़ियम
vlak	railcar
hn6m	Nerium
kxap	गत्ता
bxan	प्रस्थान
myem	मईकामहीना
gxik	नागरिकअधिकार
hxoc	वायुसेना
xrok	साथकामकरनेवाला
kr6t	स्क्रीनशॉट
txok	खुदबखुद
hxep	स्केटबोर्ड
srop	स्मार्टफोन
pxak	टोपियांताला
hk6k	लोकसंगीत
hl6k	euler'sसंख्या
pyom	एकविशेषतत्त्वजिसकाप्रभावरेडियोपरपड़ताहैपरमाणु
xyam	थालियमपरमाणु
hvic	हमलावर
lyok	लोकैटिवमामला
xlot	फ्लैटों
txen	पुन:कथन
kxac	जवाबीहमला
qrak	हड़तालतोड़नेवाला
hbup	स्विमिंगपूल
txuk	शार्टसर्किट
tsef	पतला
bxit	वेबमेज़बान
ksem	पढ़नाकेवल
byim	रूबिडीयामपरमाणु
hvam	वैनेडियमपरमाणु
lw6n	लेण्टेनियुम
frum	एकअधातुतत्त्वपरमाणु
nyom	Neodymium
mlom	multalसंख्या
kxas	निजीकृत
xret	टेराबाइट
hs6k	खोजइंजन
frus	घुलना
gxan	आकाशगंगालिंग
vlas	vocalizations
glet	गैसपेडल
hvim	क्रम
bxip	बिटमैप
qrin	तारालिंग
bvak	abessiveमामला
pxon	अनुपलब्ध
dvik	adessiveमामला
dvek	agentiveमामला
hlef	एजेंटट्रिगर
kwek	कोमामला
kxen	सामान्यलिंग
ht6m	उद्धरणप्रपत्र
tsuf	ट्रांसअंक
hf6n	fining
tc6t	प्रत्यक्षवस्तु
gvik	ergativeमामला
gxon	विखंडन
ksep	रिसेप्टर
vyin	सिनेमाघर
pyos	निष्क्रियआवाज़
hnef	सीमितक्रिया
xwit	मुख्यवस्तु
hqim	सूक्तिकामनोदशा
jlak	सामान्यकरण
vrik	अंतिमकण
qyan	काल्पनिकइकाई
kxaf	प्रकाशकिगति
xyic	फिशिंग
qyit	क्रांतिकबिंदु
hvek	evitativeमामला
bvik	subessiveमामला
hzes	अधीनमामला
