hnit	infinitivo
glof	golfe
zron	zero
hzip	fechoeclair
hwom	semcasa
bjic	mastigação
pcim	Preencha
hjip	lasca
bwac	bocejar
mlos	toupeira
mrip	cerâmica
bron	embrião
ksoc	dedução
cyum	fermento
jyan	jargão
plim	ameixa
mwet	cemitério
ryet	graduado
glik	irrigação
plap	capitalista
tsif	elasticidade
gyak	Tubarão
djon	padrão
nwun	pontual
cles	realismo
dris	cadavezmais
hkef	café
blus	ambulância
blap	carteira
bjak	extático
klim	careta
gyac	cientista
jyit	equanimidade
dzit	realista
bwak	aoarlivre
dyot	rádio
bwon	feijão
fris	informal
klut	especular
tfek	bife
nrok	azoto
zyat	navalha
bram	murmurar
ryis	introdutório
nlip	analisar
nros	contrastando
hcof	despir
tfif	incentivo
kroc	sulco
hdum	judaísmo
pses	beneficiário
plok	complemento
lyet	lente
pwek	pegativecaso
kfas	Câncer
pwen	penhor
nrun	lembrete
clek	vazamento
pcif	vindicação
glas	complexidade
zwit	falador
kces	suficiência
crem	varejo
grap	agarrar
kwip	intervir
dyut	desconto
crus	hierarquia
gyet	jade
gram	rosnar
kyip	lagarto
nyet	almofada
crop	Cachoeira
glon	galão
mrok	mosquito
fluc	fluente
dwic	desvio
slec	explorador
srec	expirando
blut	lutar
myok	mosaico
tlek	plugue
nruk	infeccioso
nwoc	daquiemdiante
bjut	agachamento
hges	gravidez
twoc	mercearia
kyos	comunista
mrek	surpreender
clip	contrição
pwok	prosecutivecaso
dwot	ditador
zyac	preocupação
jlic	satélite
slop	chinelo
ryip	proporcional
psim	aproximado
byet	desempregado
cyop	passatempo
rwun	critério
blop	bulbo
syok	suporte
klos	cloro
lwot	cloreto
byic	bactérias
lyik	pegajoso
blok	biológico
jlac	fingir
bret	byte
krif	secreção
blet	balé
nruc	urina
tsus	alho
dyak	classemédia
tcem	tenaz
cyoc	desafiador
trep	morango
dlun	poluição
hlup	álbum
hbep	beisebol
praf	pirataria
pwis	particípio
grek	garagem
kruk	muleta
hfof	fósforo
rwut	estrutural
myam	ginásio
krec	guindaste
jras	contratante
zrik	notificar
blam	salãodebaile
klip	artesão
hwef	nãoremunerado
zlac	banana
gret	gerador
lwuk	costela
nyek	níquel
blos	autocarro
sles	censurar
tlif	telha
kses	linguiça
mwot	tomate
lyot	auto
tsom	potássio
brut	virtual
djap	álgebra
hjok	genérico
kfen	conceitos
pcok	ótico
bzut	mover
syek	desemprego
mruc	lagarta
bwas	navegador
klif	cálcio
rwet	controloremotopassadotenso
srif	históricotenso
hwem	espectro
syom	sódio
tyos	administrador
jyic	refém
hguk	cabaça
dwun	ruga
swip	espigão
tlec	carrapato
blaf	estupro
tsem	ateísmo
mloc	monitor
gyot	condicional
trop	sonda
rwap	trimestral
hjep	gênero
pyim	platina
dlon	dualnúmero
pcep	pulmão
twuk	vasculhando
tyec	etiqueta
syup	super
trom	carrinho
nyip	localmente
glis	gasolina
gjik	rim
hjos	desacompanhado
hjuc	pilhagem
swek	Excessodetrabalho
psek	arsênico
twok	estatístico
tsep	gafanhoto
slos	socialista
nwim	sensorialcomprobatóriohumor
tlop	toalhademesa
trus	controverso
pwot	trela
djot	sedimento
nloc	arrebitado
mwon	tangerina
hjek	jóquei
crom	colaborar
myon	pneumonia
twec	situar
ryek	foguete
dlic	dividendo
kwet	patim
bwen	obsessão
plon	atribuição
syon	arfar
djis	digital
byut	cadela
hyep	pálpebra
dwon	diagonal
byis	subconsciente
brec	sobrancelha
cyec	espirrar
hwop	watt
clus	divertido
kfun	ocupação
nwum	hinduismo
fyim	refugiado
cwos	transporte
tfoc	pontada
pwon	proteína
sraf	autosatisfeito
hbom	vomitar
gyen	gene
drim	calouro
trem	atavios
tsup	despedaçar
slok	sociologia
kwoc	abóbora
bwam	eleitor
mlok	mobilidade
kyen	regional
hmop	movimentoladeiraacima
rwek	retrospectivo
kfup	cubo
grok	cenoura
drap	apanharemarmadilha
lwis	molecular
ksuc	contador
tsop	fedor
kyok	pepino
nroc	orgia
jlot	solvente
psof	fosfato
hgif	fascinar
kfim	alcalino
psos	ginástica
pfen	verificação
kcom	economista
krom	vírgula
tluk	meneio
hyom	iodo
nwuc	movimentodeclive
gjac	abortoespontâneo
pcom	vagem
dzic	desenhista
grun	segabar
dzot	doador
hzek	manganês
kfot	teclado
jlas	nãoconfiável
lyim	elite
jyen	yen
pcaf	parêntese
rwip	rúgbi
blip	Bíblia
kyoc	causação
lyon	úlcera
flis	flexionada
nrif	mordidela
kfam	quantidade
swes	suéter
lwon	evolutivo
drec	dissecação
gjap	estânciatermal
lyec	linear
tyom	antimônio
pwuk	superessivecaso
flaf	alfa
myim	imune
pcek	rapto
bjac	cervejaria
bzac	abreviar
bzak	meia
twes	televisão
dwut	documentário
ksom	cosmos
lyis	silvicultura
lwim	alumínio
ksok	horóscopo
sruc	acelerar
dlif	golfinho
byik	assassino
tfec	papelaria
hjaf	mamífero
ryok	protocolo
dwis	dióxido
jlon	cólon
brus	burocracia
gjak	galáxia
lyip	clínico
ryem	rádio
href	rarefeito
prok	frigorífico
slep	sátiro
dret	iteração
kluk	arqueológico
dlis	idiossincrasia
kfip	inaceitável
mlec	massagem
pfif	especificação
nrec	sensorial
pfet	folheto
hzoc	subjacentes
dlam	idealmente
nlec	antropologia
kluc	saboroso
dyet	sedan
tyif	transitivo
krus	encolher-se
nluc	girassol
lyun	íon
zrot	extradição
ksif	falsificar
psif	emissão
crup	sobreposição
fret	inventor
grut	invertido
ksec	colegadeclasse
jric	itinerário
mrop	microondas
srus	expulsar
gyas	cabeleireiro
floc	folclore
plek	capilar
nwop	nádegas
nrom	controlador
twos	terrorismo
lwok	slogan
dwet	aolongodotempo
slem	sublimado
grip	grade
gwas	Uau
kwok	cobalto
gwon	aveia
hdop	movimentoupriver
glam	ânus
bwot	bovino
bren	intestino
byot	vídeo
bjik	boicote
kwim	questionário
cwek	hóquei
grif	guerrilha
hgem	magnésio
hyes	consciência
fram	farmacia
nwos	unambitious
ryap	rearranjar
cwim	confiabilidade
klep	kelp
psec	reembolsar
djic	nomundotodo
kfut	toquederecolher
crep	hambúrguer
frim	teorema
gjas	inflamar
hdef	débito
ryum	urânio
pluk	avaliar
krop	coordenada
nraf	contribuinte
tyes	integrado
plip	opinou
hgom	gama
hgus	coeficiente
cwuc	aquecedor
zret	subtrair
nles	analista
trof	intransitivo
hmof	shopping
hzim	bismuto
dzac	ojantar
psok	cartãopostal
blon	convergência
djet	divagar
ksum	acionista
mrup	micróbio
clif	hélice
cloc	morfológica
tfes	fornecedor
gjis	calçajeans
jren	alinhamento
tlep	bancodedados
kcup	cupom
glot	Voltagem
glut	calculadora
srep	ciberespaço
nwes	investidor
ksef	raioX
bzis	Visa
frut	ainfraestrutura
nyuk	vaga-lume
dyik	detetor
plec	emendar
brom	bromo
plop	paládio
zlik	silício
flut	volt
ksop	cosmético
gjun	aliciamento
kfok	soluço
hpof	Pipoca
hzuk	jardimzoológico
nyoc	conotação
jwak	ioga
brim	bário
kles	decapitar
mwam	sim
fwik	fogodeartifício
djas	jazz
dyim	auditivo
tsum	tungstênio
drip	driblar
lyaf	pensãoalimentícia
prom	programador
nrup	entrada
hfes	reflexivo
rwaf	crisântemo
dlen	documentação
byas	vacina
fron	heroína
dluk	desligar
dyun	diagnosticar
flap	pasta
kfet	cátodo
dlim	ideologia
prek	estacionamento
syoc	instantâneo
slus	acessibilidade
nlos	anticlímax
mlen	selênio
pres	córtex
hlof	enxofre
nlek	atualrelevânciamarcador
gwot	aeroporto
mwip	impostor
klop	barata
kwom	crômio
hl6t	litro
nwec	noentanto,
glip	cíclico
nrop	folhadepagamento
crum	hormônio
dlep	desenvolvedor
frot	perfurar
bwoc	sabotar
fwis	feminista
djok	conjugado
draf	modernizar
trum	extremista
graf	algoritmo
lwes	laser
mlem	milímetro
flen	flexionar
zlot	ânodo
swok	aconchegar
klec	cãocansado
pwim	meioperíodo
htuf	atum
fyis	refinaria
lwet	sensibilidade
mrem	estruturaprincipal
jwic	rejuvenescimento
droc	demonstrador
clem	hélio
dzik	bilíngüe
psem	plasma
hjom	cromossoma
rwuc	ordinal
tyus	númerointeiro
klom	quilômetro
hfos	fax
nwek	genética
jrap	chavedefenda
zwas	aperitivo
bwok	brócolis
dwap	adaptador
syem	Spam
blek	vetor
tlus	tática
pyif	indeterminado
cwoc	bem
mrep	ampére
hbem	vitamina
hxan	porteiro
hxut	subsidiar
hk6m	cádmio
hxin	simultaneidade
txin	titânio
kxin	quilo
klum	copular
xlis	ampulheta
hqak	sintático
hxat	criatividade
hxik	elivro
hxas	ambientedetrabalho
bxon	boro
dxin	indutância
hxit	helicóptero
tlum	telúrio
txit	datalimite
kxat	oxidar
hvik	alinhar
nluk	análogo
nyem	centímetro
hm6t	molibdênio
hl6m	lítio
ht6t	multimídia
xlit	caloria
ryop	robô
pxas	farmacêutico
hxak	deverdecasa
lwif	locativo
grim	logaritmo
hqat	mantis
qlit	ecologia
xlik	sofisticar
mlep	modelo
hqit	radioatividade
kxim	quilograma
hxen	inquilino
hxot	comerdemasiado
kyif	copiadora
fwet	gratuito
txet	subconjunto
hs6n	seqüente
hxet	bisbilhotar
xrat	cortedecabelo
hqan	represar
hr6t	irídio
bxat	larguradebanda
dxet	ÁreadeTrabalho
hxis	exponencial
hxok	sede
hxek	misplace
srem	cério
hp6t	partitivo
pxik	partitivocaso
kxet	cassete
pruk	supermercado
hvit	forçadevontade
xlin	off-line
frip	criptografia
hvep	pagarexcessivamente
hxon	sincronizar
kxit	maximizar
hqin	seminário
tr6n	estéreo
ht6n	prendedor
hvat	próximos
sl6s	Celsius
hn6n	néon
ts6t	realTempo
hvin	simplificar
pxat	bancadejornais
myoc	módulo
ps6s	massa
bwek	pasta
dlok	deluxo
fraf	firewall
hr6k	artefato
txat	horadoalmoço
hqon	orégano
pxun	plutônio
ks6n	postodetrabalho
slef	escadarolante
xrit	Salva-vidas
hvut	sobrecarregar
xrim	ítrio
hx6t	aumentativo
hqum	nomedeusuário
hl6n	vendedores
gron	argão
pxan	promocional
hvac	lava-louças
xlan	globalização
txon	Comprimentodeonda
xrik	reciclar
hxap	mochila
hxac	reiniciar
xyat	hepatite
cwep	salário
hxos	toro
txif	tipodeletra
qlat	corretordeimóveis
txot	meiodooutono
hxam	miligrama
pxis	pixels
pwif	visualização
txam	tântalo
myek	termodinâmico
hbop	amansar
hqot	soluto
xlic	cadeiraderodas
gxit	genocídio
hvan	decombateaincêndios
glim	gálio
pfop	estouroacima
hzum	zircônio
xlon	hotline
qlin	não-linear
kxam	escândio
blim	berílio
kxik	configure
nr6n	neurônio
hpef	predicativo
hruf	roteador
kxan	fatorial
hxic	diretriz
xlip	voleibol
dyek	depurar
hxop	relógiodepulso
qrot	nêutron
nwip	nióbio
hs6t	Banheiro
grem	germânio
tles	metalóide
hp6k	prolativecaso
qyin	biodiversidade
txak	antibiótico
mlun	imobilização
txan	actínio
xran	astronauta
dres	descomprimir
tr6t	extraterrestre
hk6t	octeto
hxus	abertofonte
xlat	crackpot
mraf	maratona
ts6n	meadosdaprimavera
ht6s	autismo
nlif	ionizar
txut	notabilidade
hm6n	emitindo
kxis	grampoarte
xrin	passandopor
xren	redirecionando
bxak	marcapáginas
pfos	prófrase
hvis	fezes
hd6n	denominador
brum	saladereuniões
hqis	chauvinista
hk6n	compilar
xyit	mudançachave
xyin	umsegundo
hxun	subsistindo
hvas	papéis
glok	blogue
hvak	Meandros
pxit	ipendereço
hvet	-Aolado
xram	cártamo
hc6n	evidência
qran	Alcorão
zyen	xênon
hqas	Juro-in
bzas	saciado
hj6n	nãohumano
hnof	noncommittal
txas	makers
hbum	budismo
ts6s	brigas
pxin	ingredientes
hr6n	ração
hxim	meadosdoverão
dxit	meadosdeinverno
hxaf	escavar
nlus	plantadacasa
txap	estadoBarra
vrit	Escritorfantasma
kxak	enganá-around
bxin	corpohumano
hqik	capadechuva
hxes	hertz
hxif	hipnotizar
xras	dehoraemhora
pl6k	paralegal
dxat	temeridade
hxip	anticorpo
vrat	Bermudas
hqek	remodelando
qrit	polaridade
pxot	AgênciadosCorreios
hxom	lixoenviar
hqic	crítico
lwun	jeansazul
hp6n	maturação
dxan	anexando
xrak	atorFunção
dxak	acidente
hven	containers
mwap	tirinha
qlan	daltônico
xros	tirandoaroupa
srom	saladeexposição
hc6t	conversando
qrat	decabeçaparabaixo
hn6t	inibição
hqet	site
fres	captarrecursos
froc	forjamento
xlak	hyperlink
vlat	volubilidade
dvan	desembarcando
gxin	conquistando
ryes	recepcionista
kxot	conectores
xyan	delimitação
vlan	anunciante
ryom	tórioátomo
hluf	develhice
hquk	injetar
lyum	túlioátomo
tyem	térbioátomo
hp6m	praseodímio
txic	casapágina
mros	motorista
dyam	ródioátomo
pc6n	tentativasnúmero
nyos	caixadeentrada
pyek	projetor
kxon	criptônio
hxuc	resgatando
qrik	centralcaso
xwin	inexperiência
kxic	extintor
hvot	fluxograma
dxot	iogurte
hqut	registroFora
pxen	departamental
drok	objetivogatilho
flon	celular
txos	meiovoz
hqok	oblíquocaso
xwik	pacientecaso
hx6n	préhodierna
txik	dedoindicador
hqen	remetente
mlap	malwares
hvun	persuasão
hvon	desgastar
vran	correio-carrier
pfes	professor
pwip	poeta
hqam	exercite-se
gxat	legalidade
ks6t	causativo
vrin	recrutador
kxip	grampoborda
sr6n	desaprovação
vlit	avaliativo
tyup	subúrbio
mrom	morfema
xron	fonedeouvido
gxak	dispendioso
hrof	troianocavalo
xlas	paralisado
dzet	redecorar
txac	rendição
xrot	nãousado
txis	pontomatriz
syif	siunidades
xrac	surpreendentemente
brif	-valorbinário
dlos	modalcaso
txun	atributos
dvat	mal-humorado
psom	emprimeiramão
gjek	else-if
nlem	unidadedemassa
qret	varejoloja
txip	triple-ponto
dlek	individualmente
lwut	fluxocirculante
dxis	dramaticamente
hs6m	césio
vlak	vagãoferroviário
hn6m	nerium
kxap	cartão
bxan	partida
myem	mêsdemaio
gxik	direitoscivis
hxoc	forçaAérea
xrok	colegadetrabalho
kr6t	imagemdetela
txok	automaticamente
hxep	skate
srop	Smartphone
pxak	tampastrancar
hk6k	músicafolclórica
hl6k	Euler-number
pyom	polônioátomo
xyam	tálioátomo
hvic	invasora
lyok	locativocaso
xlot	apartamentos
txen	correção
kxac	contraataque
qrak	fura-greve
hbup	piscina
txuk	circuitocurto
tsef	cônico
bxit	redeanfitrião
ksem	lersó
byim	rubídioátomo
hvam	vanádioátomo
lw6n	lantânio
frum	flúorátomo
nyom	neodímio
mlom	multalnúmero
kxas	personalizar
xret	terabyte
hs6k	pesquisamotor
frus	corroendo
gxan	galáxiagênero
vlas	vocalizações
glet	acelerador
hvim	tempodeexecução
bxip	bitmap
qrin	estrelagênero
bvak	abessivecaso
pxon	indisponível
dvik	adessivecaso
dvek	agentivecaso
hlef	agentegatilho
kwek	paracaso
kxen	comumgênero
ht6m	citaçãoFormato
tsuf	transnumeral
hf6n	refinação
tc6t	diretoobjeto
gvik	ergativecaso
gxon	fragmentação
ksep	receptor
vyin	cinema
pyos	passivavoz
hnef	finitoverbo
xwit	primárioobjeto
hqim	sentenciosohumor
jlak	generalização
vrik	finalpartícula
qyan	imaginário-unidade
kxaf	velocidadedaluz
xyic	phishing
qyit	pontocrítico
hvek	evitativecaso
bvik	subessivecaso
hzes	possessocaso
prus	computador-vírus
ples	processador
pxif	políciaoficial
dvak	lativocaso
brun	turismo
tsi_k	antessivecaso
tyum	rutênioátomo
vyak	adverbialcaso
pxim	primeiroministro
syum	estrôncioátomo
sy6n	suspiciousness
hy6n	animargênero
pxac	empáticaalegria
vlin	veículogênero
qwin	mineralgênero
hr6s	referência
tf6n	toner
xris	doutilizadorinterface
hw6n	juramento
xlen	verbalsubstantivo
pyec	planilha
vlim	virtualmemória
bres	palavraprocessador
hqip	nuvemInformática
vlic	virtualmáquina
pfam	spammer
dyap	segundolíngua
txek	nth-raiz
dxen	dadosmineração
byip	onegóciopessoa
hs6c	autoconfiança
txim	referindo
hb6t	alterardoevento
hdem	domínionome
dxon	diferenteevento
lwaf	Flashdirigir
sl6t	crastinaltenso
xyik	frouxodisco
fyif	reflexivovoz
bvin	universogênero
hm6p	motherboard
tfip	transitivoverbo
jlen	localidadegênero
xrap	listrado
tc6n	pesquisagênero
sl6n	artísticogênero
xrek	pacientegatilho
xwan	abstratogênero
dxif	vídeoconferência
dyip	indiretodiscurso
zrek	excêntricacaso
hvuk	evocando
xwat	passadoperfectivo
hr6m	rênio
txaf	desencadeado
hmef	impessoalverbo
tx6t	textoeditor
txes	coletivosubstantivo
bvat	mautratamento
bvuk	absolutivocaso
ry6t	radiano
vlis	virtualrealidade
qren	planetáriogênero
gvak	gramaticalcaso
bxok	calvo
mrum	computadorprograma
ps6t	operativosistema
hfom	fonema
tlem	lersómemória
pwam	spyware
kfif	testemunhobenefactivo
qwit	racionalidade
nlaf	instalação
nwok	associativocaso
dzas	desagradar
swuk	superlativocaso
syos	resumindo
kr6n	elétricoatual
dvin	inanimadogênero
pxom	propositivahumor
vris	recíprocavoz
rwos	aerossol
dr6t	distracção
ht6k	telecomunicação
slaf	socialnetworking
lyuk	sucessivocláusula
qras	superiores
ty6n	terminal
gwet	embrevefuturotenso
hp6s	aplicativavoz
tsof	antipasivavoz
ht6p	continuativoaspecto
hn6f	necessitativehumor
pfip	passivaparticípio
glap	barradeferramentas
sy6k	existencialcláusula
qyat	luminosointensidade
hy6t	gramatical-objeto
vyan	pronúncia
sluf	singulativenúmero
dvit	excessivoduração
qyak	solteiroaçaoverbo
bzik	física
xlet	superlativograu
hqap	presenteparticípio
qwat	quantidadedosubstância
qyik	conectivopartícula
sr6t	fluidosupercrítico-
hfem	epentéticomorfema
tl6t	controloremotofuturotenso
mrif	microfone
pcuk	postpositionalcaso
tfim	aleatóriaAcessomemória
fwim	etídio
ly6t	alocuçãoacordo
hvap	rolagemBarra
hfep	freqüentativoaspecto
bvan	distributivopronome
fyun	pontoflutuantenúmero-
xyas	apagamento
hvif	sufixoverbo-
xyis	passadopassivaparticípio
tl6n	centralemprocessamentounidade
tfok	locativodirecionalcaso
qwan	freqüentementepergunteiquestões
