hnit	tūmahi
nyas	kaikanikani
gric	hekenga
zlak	ofati
tces	tēnehi
hjun	hauhau
twen	mumu
kyet	kaikohi
gwit	tuaiwi
kyot	rauoro
fwin	auau
tfuc	Ehaape&#39;ape&#39;a
dlet	whaiaronga
pfik	whakaaro
bjet	pūtea
trek	rautaki
kros	kiripaka
gjit	kutikuti
gwic	whakakā
frik	ariā
tluc	tauera
pruc	tautiaki
glic	kōpaka
krun	kakató
bjin	matapae
tlaf	whaiwāhi
tfet	kaiwhakanao
bras	lateral
dwik	hē
clec	whakapau
cres	whaikīngi
tcef	here
tcom	tapepa
nyot	translator
tyok	taraka
cyip	ehirarawa
grot	puanani
bris	ahokore
nlam	mākete
slif	tatari
hgos	waikura
swoc	teretere
jyat	kaihau
slum	Ihirama
hjes	tatauranga
dzat	ruarua
slun	whakatārewa
nwot	tonu
gyic	kitā
pfas	rītaha
zyik	konutea
blen	pīataata
hyem	erema
hnep	Tirohia
nyut	whenu
ryam	tautohutūpou
clim	kakara
jret	koinga
tfon	whakatoi
jwac	java
hrep	tunu
dyac	täne
myip	mita
rwis	iwi
hkem	unahiroa
nwon	auaha
zwin	kanga
dyis	wharekarakia
mrec	pihoihoi
fyot	kīwae
mlon	inenga
pfis	whakatūturutanga
rwot	eāmio
hfok	ihupiro
glof	korowha
zron	kore
hzip	kōtui
hwom	manene
bjic	ngangau
pcim	fakahoko
hjip	maramara
bwac	tūwaharoa
mlos	kamiriona
mrip	uku
bron	kukune
ksoc	ruritanga
cyum	rewena
jyan	ehāngai
plim	paramu
mwet	urupa
ryet	paetahi
glik	irrigation
plap	capitalist
tsif	elasticity
gyak	mangō
djon	taunoa
nwun	tehora
cles	talena
dris	piki
hkef	wharekai
blus	wakatūroro
blap	putea
bjak	undefined
klim	tia&#39;ii
gyac	pūtaiao
jyit	manuļa
dzit	kiko
bwak	waho
dyot	irirangi
bwon	pīni
fris	ōpaki
klut	kohuki
tfek	paopaohia
nrok	hauota
zyat	heu
bram	ngunguruana
ryis	talateu
nlip	tātari
nros	rerekē
hcof	kākahu
tfif	manawarü
kroc	awaparautanga
hdum	porohiraiti
pses	kaiwhiwhi
plok	ngä
lyet	arotahi
pwek	takepegative
kfas	matepukupuku
pwen	kurumetometo
nrun	whakamaumahara
clek	turuturu
pcif	tika
glas	matatini
zwit	ngutu
kces	whaitikangaai
crem	tauhokohoko
grap	kōrapurapu
kwip	wawao
dyut	hekenga
crus	nahanaha
gyet	jade
gram	snarl
kyip	mokomoko
nyet	papa
crop	wairere
glon	kārani
mrok	waeroa
fluc	matatau
dwic	ine
slec	kaihōpara
srec	undefined
blut	tôraa
myok	mosaic
tlek	plug
nruk	hopuhopu
nwoc	undefined
bjut	ãpoko
hges	hapūtanga
twoc	farerei
kyos	kominiusi
mrek	teharuraai
clip	contrition
pwok	takeprosecutive
dwot	tonotono
zyac	mana&#39;ona&#39;oraa
jlic	amiorangi
slop	hiripa
ryip	hautanga
psim	āwhiwhiwhi
byet	koremahi
cyop	arearea
rwun	paearu
blop	umanga
syok	kaitautoko
klos	māota
lwot	pūhaumāota
byic	huakita
lyik	tāpiapia
blok	koiora
jlac	teahua
bret	paita
krif	secretion
blet	ori
nruc	mimi
tsus	karika
dyak	akomangawaenganui
tcem	kuku
cyoc	wero
trep	rōpere
dlun	parahanga
hlup	pukaemi
hbep	peisipolo
praf	tāhae
pwis	participle
grek	karāti
kruk	tokowae
hfof	ūkuikui
rwut	hanganga
myam	hākinakina
krec	kareni
jras	kaikirimana
zrik	whakamōhio
blam	ballroom
klip	kaimahi
hwef	utu
zlac	panana
gret	generator
lwuk	rara
nyek	nika
blos	pahi
sles	kaiwhakamātau
tlif	tāpa
kses	hōtiti
mwot	tōmato
lyot	auto
tsom	pāharepāporo
brut	mariko
djap	taurangi
hjok	kano
kfen	ariā
pcok	whatu
bzut	Piripi
syek	koremahi
mruc	anuhe
bwas	pūtirotiro
klif	konupūmā
rwet	mamaokukūmua
srif	hītorikukū
hwem	tūāwhiorangi
syom	konutai
tyos	kaitiaki
jyic	purutia
hguk	hue
dwun	korukoru
swip	titi
tlec	tohutika
blaf	rape
tsem	ta&#39;e
mloc	aroturuki
gyot	here
trop	uiuia
rwap	torumarama
hjep	ira
pyim	konukawata
dlon	taurua
pcep	pūkahukahu
twuk	tahinga
tyec	tūtohu
syup	super
trom	tōneke
nyip	rohe
glis	penehīni
gjik	tākihi
hjos	tautahi
hjuc	taonga
swek	undefined
psek	ateneke
twok	tauanga
tsep	mawhitiwhiti
slos	hapori
nwim	hurutaunakitangarongo
tlop	takapapa
trus	tautohetia
pwot	herea
djot	parataiao
nloc	Äperahama
mwon	Mandarin
hjek	tioke
crom	mahitahi
myon	kakā
twec	takoto
ryek	tākirirangi
dlic	wehe
kwet	retireti
bwen	pokenga
plon	rota
syon	kihakiha
djis	mamati
byut	uwha
hyep	kamo
dwon	hauroki
byis	ta&#39;oto
brec	tukemata
cyec	matihe
hwop	wata
clus	pukukata
kfun	noho
nwum	Hinitu
fyim	rerenga
cwos	rakau
tfoc	undefined
pwon	pūmua
sraf	undefined
hbom	ruaki
gyen	ira
drim	uluaki
trem	utauta
tsup	wawahi
slok	pāpori
kwoc	kamokamo
bwam	kaipōti
mlok	nekeneke
kyen	rohe
hmop	motinita&#39;uma
rwek	kimuri
kfup	kupiki
grok	kāroti
drap	undefined
lwis	rāpoi
ksuc	kaikaute
tsop	piro
kyok	kūkamo
nroc	takaro
jlot	whakarewa
psof	Phosphate
hgif	faahiahia
kfim	kawakore
psos	takaporepore
pfen	whakaū
kcom	ohanga
krom	piko
tluk	ropamana
hyom	iodine
nwuc	motinifaaheeraa
gjac	materoto
pcom	pākākano
dzic	kaihoahoa
grun	whakamanamana
dzot	kaituku
hzek	konupora
kfot	papapātuhi
jlas	hārakiraki
lyim	whiriwhiri
jyen	iene
pcaf	reu
rwip	whutupōro
blip	paipera
kyoc	causation
lyon	whewhe
flis	inflected
nrif	titotitohia&#39;tu
kfam	quantum
swes	poraka
lwon	kunenga
drec	tuakitanga
gjap	spa
lyec	rārangi
tyom	kakano
pwuk	takesuperessive
flaf	Arepa
myim	ārai
pcek	kāhaki
bjac	waipiro
bzac	fakanounou◊iai
bzak	tōkena
twes	pouakawhakaata
dwut	pakipūmeka
ksom	hanganga
lyis	ngahere
lwim	konumohe
ksok	horoscope
sruc	tere
dlif	aihe
byik	kaipatu
tfec	pānga
hjaf	kararehewhāngote
ryok	kawa
dwis	hauhā
jlon	kopirua
brus	taero
gjak	tupuni
lyip	haumanu
ryem	konutuki
href	rarefied
prok	pouaka
slep	undefined
dret	whitiauau
kluk	whaipara
dlis	idiosyncrasy
kfip	Kāore
mlec	mirimiri
pfif	whakatakotoranga
nrec	rongo
pfet	puka
hzoc	à
dlam	tano
nlec	mātaurangatikanga
kluc	reka
dyet	sedan
tyif	Transitive
krus	hipokina
nluc	putirā
lyun	katote
zrot	pananga
ksif	falsify
psif	tukunga
crup	inaki
fret	me&#39;a
grut	kōaro
ksec	hoa
jric	hōtaka
mrop	ngaruiti
srus	tepanai
gyas	kaikutimakawe
floc	pakiwaitara
plek	capillary
nwop	papa
nrom	pūmana
twos	terrorism
lwok	peha
dwet	teroanga
slem	sublimate
grip	tunutunu
gwas	wow
kwok	konukurahina
gwon	oat
hdop	motiniawa
glam	nono
bwot	Bovine
bren	whēkau
byot	ataata
bjik	Tuhinga
kwim	pātaitai
cwek	haupoi
grif	pakanga
hgem	konupora
hyes	mōhiotanga
fram	rongoā
nwos	undefined
ryap	hurinaha
cwim	tika
klep	rimurapa
psec	pau
djic	teao
kfut	pourāhui
crep	hamipākī
frim	tauwehe
gjas	whakakā
hdef	nama
ryum	konukarihi
pluk	aromatawai
krop	ruruku
nraf	kaiutu
tyes	integrated
plip	opine
hgom	kama
hgus	tauwhakarea
cwuc	whakamahana
zret	tango
nles	kaitātari
trof	Intransitive
hmof	mall
hzim	bismuth
dzac	diner
psok	kāri
blon	pūtahitanga
djet	digress
ksum	pānga
mrup	microbe
clif	helix
cloc	morphological
tfes	caterer
gjis	patiti
jren	tīaroaro
tlep	pātengiraraunga
kcup	coupon
glot	ngaohiko
glut	tātaitai
srep	cyberspace
nwes	investor
ksef	xhihi
bzis	uruwhenua
frut	hanganga
nyuk	firefly
dyik	pūoko
plec	miiaa
brom	pūkeha
plop	palladium
zlik	silicon
flut	waengaohiko
ksop	Paku
gjun	eteuteú
kfok	tokomauri
hpof	kihu
hzuk	kararehe
nyoc	connotation
jwak	yoga
brim	pārana
kles	poutoa
mwam	yeah
fwik	firework
djas	jazz
dyim	ororongo
tsum	Tungsten
drip	pātinitini
lyaf	alimony
prom	kaihātepe
nrup	tāuru
hfes	whakaata
rwaf	chrysanthemum
dlen	tuhinga
byas	kano
fron	taimiri
dluk	momotu
dyun	tātari
flap	kōpaki
kfet	pitoiho
dlim	Māoritanga
prek	waka
syoc	hopuāhua
slus	urutanga
nlos	anticlimax
mlen	selenium
pres	uho
hlof	whanariki
nlek	tautohuhāngaitangaonāianei
gwot	rererangi
mwip	haavare
klop	papata
kwom	chromium
hl6t	rita
nwec	kākā
glip	huringa
nrop	pūteamoni
crum	taiaki
dlep	kaiwhakawhanake
frot	perforate
bwoc	auruhuna
fwis	patanga
djok	haumi
draf	whakahou
trum	extremist
graf	hātepe
lwes	taiaho
mlem	mirimita
flen	whakatautau
zlot	pitoake
swok	snuggle
klec	undefined
pwim	harangotengote
htuf	tuna
fyis	whakaterewhakapai
lwet	tūtohutanga
mrem	rorohikomatua
jwic	whakaora
droc	demonstrator
clem	haumāmā
dzik	reorua
psem	wē
hjom	pūira
rwuc	raupapa
tyus	tautōpū
klom	kiromita
hfos	waeawhakaahua
nwek	iranga
jrap	hōrete
zwas	kumamatanga
bwok	broccoli
dwap	whāurutau
syem	pāme
blek	pere
tlus	rauhanga
pyif	kāorei
cwoc	pai
mrep	waeiahiko
hbem	huaora
hxan	doorman
hxut	āwhina
hk6m	cadmium
hxin	simultaneity
txin	Titanium
kxin	undefined
klum	takoto
xlis	punga
hqak	syntactic
hxat	auahatanga
hxik	epukapuka
hxas	wāhimahi
bxon	boron
dxin	undefined
hxit	topatopa
tlum	tellurium
txit	kati
kxat	oxidize
hvik	hāngai
nluk	tairitenga
nyem	henemita
hm6t	molybdenum
hl6m	konukōhatu
ht6t	rongorau
xlit	pūngoi
ryop	karetao
pxas	rongoā
hxak	kāinga
lwif	wāhi
grim	taupūkōaro
hqat	eia
qlit	mātaurangarauropi
xlik	sophisticate
mlep	tātauira
hqit	ira
kxim	kirokaramu
hxen	renter
hxot	overeat
kyif	Copier
fwet	pūmanawa
txet	huinga
hs6n	raupapa
hxet	eavesdrop
xrat	pōro
hqan	taumanu
hr6t	iridium
bxat	hōkaiipurangi
dxet	papamahi
hxis	taupūtanga
hxok	headquarter
hxek	whakatakotokē
srem	cerium
hp6t	partitive
pxik	takepartitive
kxet	rīpene
pruk	hokomaha
hvit	puai
xlin	tuimotu
frip	whakamunatanga
hvep	overpay
hxon	tukutahi
kxit	whakanui
hqin	hui
tr6n	tīwharawhara
ht6n	mingimingi
hvat	kaūmai
sl6s	whakarautanga
hn6n	haukura
ts6t	tewātūturu
hvin	streamline
pxat	newsstand
myoc	kōwae
ps6s	rimurapa
bwek	kopamārō
dlok	deluxe
fraf	pātūahi
hr6k	artifact
txat	tina
hqon	orekano
pxun	konuwhiro
ks6n	taupunimahi
slef	maiangi
xrit	pouora
hvut	overcrowd
xrim	yttrium
hx6t	augmentative
hqum	ingoakaiwhakamahi
hl6n	salespeople
gron	hauhauhā
pxan	whakatairanga
hvac	taoratu
xlan	ao
txon	roangaru
xrik	hangarua
hxap	peketua
hxac	tīmata
xyat	kakā
cwep	vahé
hxos	Torus
txif	matapatopato
qlat	Realtor
txot	waenganuingahuru
hxam	komahaumano
pxis	pika
pwif	arokite
txam	tantalum
myek	thermodynamic
hbop	pakaruirotoite
hqot	rewanga
xlic	wīra
gxit	kohuru
hvan	firefighting
glim	gallium
pfop	pakūake
hzum	zirconium
xlon	hotline
qlin	nonlinear
kxam	konutaketake
blim	teriuma
kxik	whirihora
nr6n	neuron
hpef	predicative
hruf	pouara
kxan	whakarea
hxic	aratohu
xlip	poirewa
dyek	patuiro
hxop	wristwatch
qrot	iramoe
nwip	Niobium
hs6t	haumiti
grem	germanium
tles	metalloid
hp6k	takeprolative
qyin	koiora
txak	rongoāpaturopi
mlun	immobilization
txan	actinium
xran	kaipōkai
dres	decompress
tr6t	extraterrestrial
hk6t	octet
hxus	tuwherapuna
xlat	crackpot
mraf	marathon
ts6n	waenganuipuna
ht6s	tūāwhiotanga
nlif	ionize
txut	notability
hm6n	emitting
kxis	topengatoi
xrin	pangia
xren	anō
bxak	tohuwāhi
pfos	kīangapro
hvis	feces
hd6n	tauraro
brum	rūnanga
hqis	chauvinist
hk6n	whakahiato
xyit	kīneke
xyin	kotahituarua
hxun	koronga
hvas	tūranga
glok	rangitaki
hvak	kōpiko
pxit	wāhitauip
hvet	muriki
xram	safflower
hc6n	obviousness
qran	Koran
zyen	hautūāpōkere
hqas	oatiirotoi
bzas	blase
hj6n	tangatakore
hnof	nonremittal
txas	kaihanga
hbum	Buddhism
ts6s	ngangare
pxin	kai
hr6n	raa
hxim	waenganuiraumati
dxit	waenganuihotoke
hxaf	huke
nlus	houseplant
txap	paetūnga
vrit	ghostwriter
kxak	mamingatiaatawhionoa
bxin	tetinanatangata
hqik	uarua
hxes	tehēte
hxif	hypnothize
xras	haora
pl6k	paralegal
dxat	rashness
hxip	antibody
vrat	tarau
hqek	pänga
qrit	wehenga
pxot	poutāpeta
hxom	mēraparaurehe
hqic	kaiarotake
lwun	Jeanpuru
hp6n	matuatanga
dxan	āpiti
xrak	tūrangakaiwhakaari
dxak	aituā
hven	ipu
mwap	Unuhiakōmeke
qlan	taematapo
xros	undressing
srom	ngaa
hc6t	kōrerorero
qrat	kahuripokitiae
hn6t	inhibition
hqet	paetukutuku
fres	kohi
froc	rikarikaki
xlak	honongaitua
vlat	volubility
dvan	disembarking
gxin	ikuna
ryes	kiripaepae
kxot	tūhono
xyan	whakawhāititanga
vlan	pānuitanga
ryom	ngotathorium
hluf	koroheketanga
hquk	wero
lyum	thuliumngota
tyem	terbiumngota
hp6m	praseodymium
txic	whārangikāinga
mros	kaitaraiwa
dyam	rhodiumngota
pc6n	tautamataraa
nyos	pouakaroto
pyek	pūwhiti
kxon	krypton
hxuc	fakahaofi
qrik	takecentric
xwin	iteorei
kxic	whakapoko
hvot	tūtohiripo
dxot	mirakapē
hqut	takiuruatu
pxen	tari
drok	keuwhāinga
flon	waeapūkoro
txos	reowaenganui
hqok	takematahao
xwik	takemanawanui
hx6n	prehodiernal
txik	taupūmaihao
hqen	kaituku
mlap	pūmanawa
hvun	käwaname
hvon	kakahuirotoi
vran	kawemēra
pfes	ahorangi
pwip	pehe
hqam	mahiirotoi
gxat	Ture
ks6t	fakatupu
vrin	kaiwhakahaere
kxip	poaritopenga
sr6n	disapproving
vlit	arotake
tyup	waho
mrom	tūtahi
xron	Kaweoro
gxak	utunui
hrof	hoihoTorotiana
xlas	pararutiki
dzet	redecorate
txac	tetuuraai
xrot	kāore
txis	irakopu
syif	waesi
xrac	Koinei
brif	uaraā-rua
dlos	takearatau
txun	huanga
dvat	tepukukino
psom	ringatuatahi
gjek	atukite
nlem	waeotepapatipu
qret	taongahokohoko
txip	pūwāhireatoru
dlek	takitahi
lwut	nāianeirere
dxis	tino
hs6m	caesium
vlak	Streak
hn6m	netium
kxap	pepa
bxan	haere
myem	maramaoteKia
gxik	tikaā-iwi
hxoc	kaharangi
xrok	hoamahi
kr6t	screenshot
txok	aunoa
hxep	papareti
srop	atamai
pxak	potaemaukati
hk6k	iwimusic
hl6k	eulerstau
pyom	ngotapolonium
xyam	ngotathallium
hvic	Ngāi
lyok	takewāhi
xlot	ngā
txen	restatement
kxac	aroraa
qrak	strikebreaker
hbup	punakaukau
txuk	araiahikopoto
tsef	topetope
bxit	opetukutuku
ksem	tai&#39;oanake
byim	ngotarubidium
hvam	vanadiumngota
lw6n	lanthanum
frum	ngotaköwhai
nyom	neodymium
mlom	taumultal
kxas	whakawhaiaro
xret	terapaita
hs6k	pūkaharapu
frus	ngaukino
gxan	iratupuni
vlas	vocalizations
glet	takahihau
hvim	wāhaere
bxip	maheremoka
qrin	whetuira
bvak	takeabessive
pxon	wātea
dvik	takeadessive
dvek	takearo
hlef	keumāngai
kwek	kitetake
kxen	iranoa
ht6m	pukatorokī
tsuf	tauingoatrans
hf6n	tahupara
tc6t	ahanoatika
gvik	takeergative
gxon	wehewehenga
ksep	receptor
vyin	wharetaperekiriata
pyos	reohāngū
hnef	kupumahifakataimí
xwit	ahanoatuatahi
hqim	hurugnomic
jlak	whakatau
vrik	matūrikiwhakamutunga
qyan	kōwaepohewa
kxaf	tereotemarama
xyic	hītinihanga
qyit	wāhitino
hvek	takeevitative
bvik	takesubessive
hzes	takenohoia
prus	huaketororohiko
ples	pūtukatuka
pxif	āpihapirihimana
dvak	takelative
brun	hāereere
tsi_k	takeantessive
tyum	ngotaruthenium
vyak	takeadverbial
pxim	pirimia
syum	ngotastrontium
sy6n	suspiciousness
hy6n	whakaohoira
pxac	koakaungāongo&#39;i
vlin	irawaka
qwin	irakohuke
hr6s	tuku
tf6n	rehutuhi
xris	atangakaiwhakamahi
hw6n	whakaoati
xlen	nounwaha
pyec	ripanga
vlim	maharamariko
bres	pūtukatukakupu
hqip	kapuarorohiko
vlic	mīhinimariko
pfam	whākīia
dyap	reotuarua
txek	pakiakanth
dxen	keriraraunga
byip	tangatapakihi
hs6c	māiawhaiaro
txim	faahiti
hb6t	huringaotehui
hdem	ingoarohe
dxon	huirerekē
lwaf	pukukohiko
sl6t	crastinalkukū
xyik	kōpaepīngore
fyif	reowhakaata
bvin	aoira
hm6p	kaupapa
tfip	Transitivekupumahi
jlen	iratakiwa
xrap	whakahekeheke
tc6n	irarangahau
sl6n	iratoi
xrek	keumanawanui
xwan	irawaitara
dxif	ataata
dyip	kupuautaki
zrek	takeexocentric
hvuk	purahorua
xwat	perfectivemua
hr6m	rhenium
txaf	rongo
hmef	kupumahiihotaataore
tx6t	ētitakuputuhi
txes	nounngā
bvat	kitona
bvuk	takeabsolutive
ry6t	tātoro
vlis	moonimariko
qren	iraplanetary
gvak	takewetereo
bxok	pakira
mrum	hōtakarorohiko
ps6t	pūnahawhakahaere
hfom	oro
tlem	tepānuiimaharaanake
pwam	torotoro
kfif	benefactivematua
qwit	rationality
nlaf	tāuta
nwok	takeherekore
dzas	dissatisfy
swuk	takeinetoru
syos	whakarāpopoto
kr6n	nāianeihiko
dvin	irapopohe
pxom	hurupropositive
vris	reotauutuutu
rwos	aerosol
dr6t	distractor
ht6k	aratuku
slaf	Itenati
lyuk	rarangā
qras	rangatira
ty6n	teminal
gwet	hohorohekemaikukū
hp6s	reoapplicative
tsof	reoantipassive
ht6p	āhuatangacontinutive
hn6f	hurunecessitative
pfip	participlehāngū
glap	paeutauta
sy6k	raraexistential
qyat	luminous
hy6t	ahanoawetereo
vyan	ohorere
sluf	tausingulative
dvit	roanganui
qyak	kupumahimahikotahi
bzik	ahupūngao
xlet	tohuinetoru
hqap	participlehakari
qwat	nuiotetaonga
qyik	matūrikitūhonohono
sr6t	inusupercritical
hfem	tūtahiepenthetic
tl6t	hekemaimamaokukū
mrif	hopuoro
pcuk	takepostpositional
tfim	pūmaharaurutupurangi
fwim	ethium
ly6t	whakaaetangaallocutive
hvap	paepanuku
hfep	āhuatangaauau
bvan	tūpoutohatoha
fyun	māngitautata
xyas	kōmuru
hvif	kupumahikatuhia
xyis	participlehāngūmua
tl6n	waetukatukamatua
tfok	takeAngawāhi
qwan	pātaiauau
