hnit	infinitivo
ryam	pronombremarcador
clim	condimentar
jret	nitidez
tfon	molestar
jwac	Java
hrep	receta
dyac	franquicia
myip	metro
rwis	racial
hkem	cometa
nwon	innovación
zwin	prohibición
dyis	medieval
mrec	gorrión
fyot	nota
mlon	medición
pfis	ratificación
rwot	órbita
hfok	frugal
glof	golf
zron	cero
hzip	cremallera
hwom	sinhogar
bjic	masticación
pcim	cumplir
hjip	chip
bwac	bostezo
mlos	Topo
mrip	cerámica
bron	embrión
ksoc	deducción
cyum	levadura
jyan	jerga
plim	ciruela
mwet	cementerio
ryet	graduado
glik	irrigación
plap	capitalista
tsif	elasticidad
gyak	tiburón
djon	defecto
nwun	puntual
cles	realismo
dris	cadavezmás
hkef	cafetería
blus	ambulancia
blap	billetera
bjak	extático
klim	mueca
gyac	científico
jyit	ecuanimidad
dzit	realista
bwak	alairelibre
dyot	radio
bwon	haba
fris	informal
klut	especular
tfek	bistec
nrok	nitrógeno
zyat	maquinilladeafeitar
bram	murmurar
ryis	introductorio
nlip	analizar
nros	encontraste
hcof	desnudo
tfif	incentivo
kroc	surco
hdum	judaísmo
pses	recipiente
plok	complemento
lyet	lente
pwek	pegativecaso
kfas	cáncer
pwen	empeñar
nrun	recordatorio
clek	fuga
pcif	vindicación
glas	complejidad
zwit	hablador
kces	suficiencia
crem	Alpormenor
grap	agarrar
kwip	intervenir
dyut	descuento
crus	jerarquía
gyet	jade
gram	gruñido
kyip	lagartija
nyet	almohadilla
crop	cascada
glon	galón
mrok	mosquito
fluc	fluido
dwic	desviación
slec	explorador
srec	expirando
blut	luchar
myok	mosaico
tlek	enchufe
nruk	infeccioso
nwoc	enlosucesivo
bjut	agacharse
hges	elembarazo
twoc	tiendadecomestibles
kyos	comunista
mrek	asombro
clip	arrepentimiento
pwok	prosecutivecaso
dwot	dictador
zyac	preocupación
jlic	satélite
slop	zapatilla
ryip	proporcional
psim	aproximado
byet	desempleados
cyop	pasatiempo
rwun	criterio
blop	bulbo
syok	seguidor
klos	cloro
lwot	cloruro
byic	bacterias
lyik	pegajoso
blok	biológico
jlac	fingir
bret	byte
krif	secreción
blet	ballet
nruc	orina
tsus	ajo
dyak	clasemedia
tcem	tenazas
cyoc	desafiante
trep	fresa
dlun	contaminación
hlup	álbum
hbep	béisbol
praf	piratería
pwis	participio
grek	garaje
kruk	muleta
hfof	fósforo
rwut	estructural
myam	gimnasio
krec	grúa
jras	contratista
zrik	notificar
blam	salóndebaile
klip	artesano
hwef	nopagado
zlac	plátano
gret	generador
lwuk	costilla
nyek	níquel
blos	autobús
sles	censurar
tlif	azulejo
kses	salchicha
mwot	tomate
lyot	auto
tsom	potasio
brut	virtual
djap	álgebra
hjok	genérico
kfen	conceptos
pcok	óptico
bzut	ceder
syek	desempleo
mruc	oruga
bwas	navegador
klif	calcio
rwet	remotopasadotiempo
srif	históricotiempo
hwem	espectro
syom	sodio
tyos	fideicomisario
jyic	rehén
hguk	calabaza
dwun	arruga
swip	espiga
tlec	garrapata
blaf	violación
tsem	ateísmo
mloc	monitor
gyot	condicional
trop	sonda
rwap	trimestral
hjep	género
pyim	platino
dlon	dualnúmero
pcep	pulmón
twuk	fregado
tyec	etiqueta
syup	súper
trom	carretilla
nyip	enlazona
glis	gasolina
gjik	riñón
hjos	desesperado
hjuc	botín
swek	conexcesodetrabajo
psek	arsénico
twok	estadístico
tsep	saltamontes
slos	socialista
nwim	sensorialprobatorioestadoanimico
tlop	manteldemesa
trus	polémico
pwot	correa
djot	sedimento
nloc	desaire
mwon	mandarín
hjek	jockey
crom	cooperar
myon	neumonía
twec	situar
ryek	cohete
dlic	dividendo
kwet	patinar
bwen	obsesión
plon	asignación
syon	pantalón
djis	digital
byut	perra
hyep	párpado
dwon	diagonal
byis	subconsciente
brec	ceja
cyec	estornudar
hwop	vatio
clus	divertidísimo
kfun	ocupación
nwum	hinduismo
fyim	refugiado
cwos	lanzadera
tfoc	punzada
pwon	proteína
sraf	autosatisfecho
hbom	vomitar
gyen	gene
drim	estudiantedeprimeraño
trem	pertrechos
tsup	romper
slok	sociología
kwoc	squash
bwam	votante
mlok	movilidad
kyen	regional
hmop	movimientocuestaarriba
rwek	retrospectivo
kfup	cubo
grok	Zanahoria
drap	entrampar
lwis	molecular
ksuc	contador
tsop	hedor
kyok	Pepino
nroc	orgía
jlot	solvente
psof	fosfato
hgif	fascinar
kfim	alcalino
psos	gimnasia
pfen	verificación
kcom	economista
krom	coma
tluk	meneo
hyom	yodo
nwuc	movimientocuestaabajo
gjac	abortoespontáneo
pcom	vaina
dzic	diseñador
grun	fanfarronería
dzot	donante
hzek	manganeso
kfot	teclado
jlas	nofidedigno
lyim	élite
jyen	yen
pcaf	paréntesis
rwip	rugby
blip	Biblia
kyoc	causalidad
lyon	úlcera
flis	declinada
nrif	picar
kfam	cuántico
swes	suéter
lwon	evolutivo
drec	disección
gjap	spa
lyec	lineal
tyom	antimonio
pwuk	superessivecaso
flaf	alfa
myim	inmune
pcek	secuestro
bjac	cervecería
bzac	abreviar
bzak	calcetín
twes	televisión
dwut	documental
ksom	cosmos
lyis	silvicultura
lwim	aluminio
ksok	horóscopo
sruc	acelerar
dlif	delfín
byik	asesino
tfec	papelería
hjaf	mamífero
ryok	protocolo
dwis	dióxido
jlon	colon
brus	burocracia
gjak	galaxia
lyip	clínico
ryem	radio
href	enrarecido
prok	refrigerador
slep	sátiro
dret	iteración
kluk	arqueológico
dlis	idiosincrasia
kfip	inaceptable
mlec	masaje
pfif	especificación
nrec	sensorial
pfet	prospecto
hzoc	estardebajode
dlam	idealmente
nlec	antropología
kluc	sabroso
dyet	sedán
tyif	transitivo
krus	acobardarse
nluc	girasol
lyun	ion
zrot	extradición
ksif	falsificar
psif	emisión
crup	superposición
fret	descubridor
grut	invertir
ksec	compañeradeclases
jric	itinerario
mrop	microonda
srus	expulsar
gyas	peluquero
floc	folklore
plek	capilar
nwop	nalgas
nrom	controlador
twos	terrorismo
lwok	eslogan
dwet	atravésdeltiempo
slem	sublimado
grip	parrilla
gwas	Guau
kwok	cobalto
gwon	avena
hdop	movimientoríoarriba
glam	ano
bwot	bovino
bren	intestino
byot	vídeo
bjik	boicotear
kwim	examen
cwek	hockey
grif	guerrilla
hgem	magnesio
hyes	conciencia
fram	farmacia
nwos	sinambición
ryap	arreglardenuevo
cwim	confiabilidad
klep	quelpo
psec	reembolsar
djic	entodoelmundo
kfut	toquedequeda
crep	hamburguesa
frim	teorema
gjas	encender
hdef	débito
ryum	uranio
pluk	evaluar
krop	coordinar
nraf	contribuyente
tyes	integrado
plip	opinado
hgom	gama
hgus	coeficiente
cwuc	calentador
zret	sustraer
nles	analista
trof	intransitivo
hmof	centrocommercial
hzim	bismuto
dzac	cena
psok	tarjetapostal
blon	convergencia
djet	divagar
ksum	accionista
mrup	microbio
clif	hélice
cloc	morfológica
tfes	abastecedor
gjis	jeans
jren	alineación
tlep	basededatos
kcup	cupón
glot	voltaje
glut	calculadora
srep	ciberespacio
nwes	inversor
ksef	radiografía
bzis	visa
frut	infraestructura
nyuk	luciérnaga
dyik	detector
plec	empalme
brom	bromo
plop	paladio
zlik	silicio
flut	voltio
ksop	cosmético
gjun	aseo
kfok	hipo
hpof	palomitasdemaíz
hzuk	Zoo
nyoc	connotación
jwak	yoga
brim	bario
kles	decapitar
mwam	sí
fwik	Fuegosartificiales
djas	jazz
dyim	audio
tsum	tungsteno
drip	regatear
lyaf	pensiónalimenticia
prom	programador
nrup	entrada
hfes	reflexivo
rwaf	crisantemo
dlen	documentación
byas	vacuna
fron	heroína
dluk	desconectar
dyun	diagnosticar
flap	carpeta
kfet	cátodo
dlim	ideología
prek	estacionamiento
syoc	instantánea
slus	accesibilidad
nlos	anticlímax
mlen	selenio
pres	corteza
hlof	azufre
nlek	corrientepertinenciamarcador
gwot	aeropuerto
mwip	impostor
klop	cucaracha
kwom	cromo
hl6t	litro
nwec	sinembargo
glip	cíclico
nrop	nóminadesueldos
crum	hormona
dlep	desarrollador
frot	perforar
bwoc	sabotaje
fwis	feminista
djok	conjugado
draf	modernizar
trum	extremista
graf	algoritmo
lwes	láser
mlem	milímetro
flen	flexionar
zlot	ánodo
swok	acurrucarse
klec	perrocansado
pwim	mediotiempo
htuf	atún
fyis	refinería
lwet	sensibilidad
mrem	ordenadorcentral
jwic	rejuvenecimiento
droc	demostrador
clem	helio
dzik	bilingüe
psem	plasma
hjom	cromosoma
rwuc	ordinal
tyus	entero
klom	kilómetro
hfos	fax
nwek	genética
jrap	destornillador
zwas	aperitivo
bwok	brócoli
dwap	adaptador
syem	correonodeseado
blek	vector
tlus	táctica
pyif	noespecificado
cwoc	bien
mrep	amperio
hbem	vitamina
hxan	portero
hxut	subvencionar
hk6m	cadmio
hxin	simultaneidad
txin	titanio
kxin	kilo
klum	copular
xlis	relojdearena
hqak	sintáctico
hxat	creatividad
hxik	libroelectronico
hxas	lugardetrabajo
bxon	boro
dxin	inductancia
hxit	helicóptero
tlum	telurio
txit	fechatope
kxat	oxidar
hvik	alinear
nluk	cosaanáloga
nyem	centímetro
hm6t	molibdeno
hl6m	litio
ht6t	multimedia
xlit	caloría
ryop	robot
pxas	farmacéutico
hxak	deberes
lwif	locativo
grim	logaritmo
hqat	mantis
qlit	ecología
xlik	sofisticar
mlep	modelo
hqit	radioactividad
kxim	kilogramo
hxen	inquilino
hxot	comerconexceso
kyif	copiador
fwet	softwaregratuito
txet	subconjunto
hs6n	secuencial
hxet	escucharaescondidas
xrat	cortedepelo
hqan	confiscar
hr6t	iridio
bxat	anchodebanda
dxet	escritorio
hxis	exponencial
hxok	sede
hxek	perder
srem	cerio
hp6t	partitivo
pxik	partitivocaso
kxet	casete
pruk	supermercado
hvit	fuerzadevoluntad
xlin	desconectado
frip	cifrado
hvep	pagardemasiado
hxon	sincronizar
kxit	maximizar
hqin	seminario
tr6n	estéreo
ht6n	cierre
hvat	próximo
sl6s	Celsius
hn6n	neón
ts6t	realhora
hvin	líneadecorriente
pxat	puestodeperiódicos
myoc	módulo
ps6s	pastas
bwek	maletín
dlok	delujo
fraf	cortafuegos
hr6k	artefacto
txat	horadecomer
hqon	orégano
pxun	plutonio
ks6n	puestodetrabajo
slef	escaleramecánica
xrit	Salvavidas
hvut	atestar
xrim	itrio
hx6t	aumentativo
hqum	nombredeusuario
hl6n	vendedores
gron	argón
pxan	promocional
hvac	lavavajillas
xlan	laglobalización
txon	longituddeonda
xrik	reciclar
hxap	mochila
hxac	reiniciar
xyat	hepatitis
cwep	chequedepago
hxos	toro
txif	tipodeletra
qlat	corredordebienesraíces
txot	mediadosdeotoño
hxam	miligramo
pxis	píxel
pwif	avance
txam	tantalio
myek	termodinámico
hbop	irrumpir
hqot	sustanciadisoluta
xlic	silladeruedas
gxit	genocidio
hvan	luchacontraelfuego
glim	galio
pfop	populararriba
hzum	circonio
xlon	líneadirecta
qlin	nolineal
kxam	escandio
blim	berilio
kxik	configurar
nr6n	neurona
hpef	predicativo
hruf	enrutador
kxan	factorial
hxic	pauta
xlip	voleibol
dyek	depurar
hxop	relojdepulsera
qrot	neutrón
nwip	niobio
hs6t	Areadeaseo
grem	germanio
tles	metaloide
hp6k	prolativecaso
qyin	biodiversidad
txak	antibiótico
mlun	inmovilización
txan	actinio
xran	astronauta
dres	descomprimir
tr6t	extraterrestre
hk6t	octeto
hxus	abiertofuente
xlat	chiflado
mraf	maratón
ts6n	mediadosdeprimavera
ht6s	autismo
nlif	ionizar
txut	notabilidad
hm6n	emitiendo
kxis	acortararte
xrin	someterse
xren	redireccionamiento
bxak	marcador
pfos	Profrase
hvis	heces
hd6n	denominador
brum	saladelconsejo
hqis	chauvinista
hk6n	compilar
xyit	cambiollave
xyin	unsegundo
hxun	subsistente
hvas	papeles
glok	Blog
hvak	serpenteante
pxit	ipdirección
hvet	cercade
xram	cártamo
hc6n	evidencia
qran	Corán
zyen	xenón
hqas	jurar-en
bzas	hastiado
hj6n	nohumano
hnof	evasivo
txas	fabricantes
hbum	budismo
ts6s	disputas
pxin	ingredientes
hr6n	racionar
hxim	mediadosdeverano
dxit	mediadosdeinvierno
hxaf	excavar
nlus	plantadecasa
txap	estadobar
vrit	escritorfantasma
kxak	perdereltiempo
bxin	cuerpohumano
hqik	impermeable
hxes	hertz
hxif	hipnotizar
xras	cadahora
pl6k	paralegal
dxat	temeridad
hxip	anticuerpo
vrat	pantalonescortos
hqek	reorganización
qrit	polaridad
pxot	Oficinadecorreo
hxom	basuracorreo
hqic	crítico
lwun	Jeanazul
hp6n	maduración
dxan	adjuntando
xrak	actorpapel
dxak	accidente
hven	contenedores
mwap	tiracómica
qlan	daltoniano
xros	desvestirse
srom	saladeexposición
hc6t	enelchat
qrat	alrevés
hn6t	inhibición
hqet	sitioweb
fres	recaudarfondos
froc	forja
xlak	hiperenlace
vlat	volubilidad
dvan	desembarcando
gxin	conquistador
ryes	recepcionista
kxot	conectores
xyan	delimitación
vlan	anunciante
ryom	torioátomo
hluf	devejez
hquk	inyectar
lyum	tulioátomo
tyem	terbioátomo
hp6m	praseodimio
txic	casapágina
mros	automovilista
dyam	rodioátomo
pc6n	pruebanúmero
nyos	Bandejadeentrada
pyek	proyector
kxon	criptón
hxuc	rescatando
qrik	céntricocaso
xwin	inexperiencia
kxic	extintor
hvot	diagramadeflujo
dxot	yogur
hqut	Iniciarsesiónfuera
pxen	departamental
drok	Goldesencadenar
flon	teléfonomóvil
txos	mediovoz
hqok	oblicuocaso
xwik	pacientecaso
hx6n	hodiernopre
txik	dedoíndice
hqen	remitente
mlap	elmalware
hvun	persuasión
hvon	aldesgasteacabo
vran	cartero
pfes	profesor
pwip	poeta
hqam	rutinadeejercicio
gxat	legalidad
ks6t	causante
vrin	reclutador
kxip	acortartablero
sr6n	desaprobación
vlit	evaluativo
tyup	suburbio
mrom	morfema
xron	auricular
gxak	costoso
hrof	troyanocaballo
xlas	paralizado
dzet	renovar
txac	rendición
xrot	nousado
txis	puntomatriz
syif	siunidades
xrac	asombrosamente
brif	binary-valor
dlos	modalcaso
txun	atributos
dvat	demalhumor
psom	deprimeramano
gjek	else-if
nlem	unidaddemasa
qret	Alpormenoralmacenar
txip	puntotriple
dlek	individualmente
lwut	flujodecorriente
dxis	dramáticamente
hs6m	cesio
vlak	automotor
hn6m	nerium
kxap	cartulina
bxan	saliendo
myem	mesdemayo
gxik	derechosciviles
hxoc	fuerzaAerea
xrok	compañerodetrabajo
kr6t	capturadepantalla
txok	automáticamente
hxep	patineta
srop	teléfonointeligente
pxak	tapasbloquear
hk6k	músicafolclórica
hl6k	deEuler-serie
pyom	polonioátomo
xyam	talioátomo
hvic	invasor
lyok	locativocaso
xlot	pisos
txen	reexpresión
kxac	contraataque
qrak	rompehuelgas
hbup	piscina
txuk	cortocircuito
tsef	cónico
bxit	webanfitrión
ksem	leersolamente
byim	rubidioátomo
hvam	vanadioátomo
lw6n	lantano
frum	flúorátomo
nyom	neodimio
mlom	multalnúmero
kxas	personalizar
xret	terabyte
hs6k	buscarmotor
frus	corroyendo
gxan	galaxiagénero
vlas	vocalizaciones
glet	acelerador
hvim	tiempodeejecución
bxip	mapadebits
qrin	estrellagénero
bvak	abessivecaso
pxon	indisponible
dvik	adesivocaso
dvek	agentivacaso
hlef	agentedesencadenar
kwek	acaso
kxen	comúngénero
ht6m	citaciónformar
tsuf	transnúmero
hf6n	fin
tc6t	directoobjeto
gvik	ergativecaso
gxon	fragmentación
ksep	receptor
vyin	cine
pyos	pasivovoz
hnef	finitoverbo
xwit	primarioobjeto
hqim	gnomicestadoanimico
jlak	generalización
vrik	finalpartícula
qyan	imaginaria-unidad
kxaf	velocidaddelaluz
xyic	suplantacióndeidentidad
qyit	puntocrítico
hvek	evitativecaso
bvik	subessivecaso
hzes	poseídocaso
prus	Virusdecomputadora
ples	procesador
pxif	policíaoficial
dvak	lativecaso
brun	turismo
tsi_k	antessivecaso
tyum	rutenioátomo
vyak	adverbialcaso
pxim	primerministro
syum	estroncioátomo
sy6n	recelo
hy6n	animargénero
pxac	empáticoalegría
vlin	vehículogénero
qwin	mineralgénero
hr6s	remisión
tf6n	virador
xris	usuariointerfaz
hw6n	tomadeposesión
xlen	verbalsustantivo
pyec	hojadecálculo
vlim	virtualmemoria
bres	palabraprocesador
hqip	nubeinformática
vlic	virtualmáquina
pfam	spammer
dyap	segundoidioma
txek	nth-root
dxen	datosminería
byip	negociolapersona
hs6c	yoconfianza
txim	referente
hb6t	cambiodeevento
hdem	dominionombre
dxon	diferenteevento
lwaf	destellomanejar
sl6t	crastinaltiempo
xyik	flexibledisco
fyif	reflexivovoz
bvin	universogénero
hm6p	tarjetamadre
tfip	transitivoverbo
jlen	localidadgénero
xrap	arayas
tc6n	investigacióngénero
sl6n	artísticogénero
xrek	pacientedesencadenar
xwan	abstractogénero
dxif	videoconferencia
dyip	indirectohabla
zrek	exocéntricacaso
hvuk	evocando
xwat	pasadoperfectivo
hr6m	renio
txaf	desencadenada
hmef	impersonalverbo
tx6t	textoeditor
txes	colectivosustantivo
bvat	maltratar
bvuk	absolutivecaso
ry6t	radián
vlis	virtualrealidad
qren	planetariogénero
gvak	gramaticaldeloscasos
bxok	calvo
mrum	computadoraprograma
ps6t	operandosistema
hfom	fonema
tlem	leersolamentememoria
pwam	softwareespía
kfif	núcleobenefactivo
qwit	racionalidad
nlaf	instalación
nwok	deasociacióncaso
dzas	descontentar
swuk	superlativocaso
syos	resumiendo
kr6n	eléctricocorriente
dvin	inanimadogénero
pxom	propositivaestadoanimico
vris	recíprocovoz
rwos	aerosol
dr6t	distractor
ht6k	telecomunicación
slaf	socialredes
lyuk	sucesivocláusula
qras	superiores
ty6n	terminal
gwet	prontofuturotiempo
hp6s	aplicativovoz
tsof	antipasivavoz
ht6p	continuativasaspecto
hn6f	necessitativeestadoanimico
pfip	pasivoparticipio
glap	barradeherramientas
sy6k	existencialcláusula
qyat	luminosointensidad
hy6t	gramaticalaobjetos
vyan	pronunciamiento
sluf	singulativonúmero
dvit	excesivoduración
qyak	solteroacciónverbo
bzik	física
xlet	superlativolalicenciatura
hqap	presenteparticipio
qwat	cantidaddesustancia
qyik	conectivopartícula
sr6t	fluidosupercrítico
hfem	epentéticomorfema
tl6t	remotofuturotiempo
mrif	micrófono
pcuk	postposicionalcaso
tfim	aleatorioaccesomemoria
fwim	etidio
ly6t	alocuciónacuerdo
hvap	volutabar
hfep	frecuentativoaspecto
bvan	distributivopronombre
fyun	depuntoflotantedenúmeros
xyas	borrado
hvif	verbo-sufijo
xyis	pasadopasivoparticipio
tl6n	centraltratamientounidad
tfok	locativodireccionalcaso
qwan	frecuentementepreguntópreguntas
