hnit	动词不定式
swip	穗
tlec	蜱
blaf	强奸
tsem	无神论
mloc	监控
gyot	有条件的
trop	探测
rwap	季刊
hjep	性别
pyim	铂
dlon	双重数
pcep	肺
twuk	淘
tyec	标签
syup	超
trom	手推车
nyip	本地
glis	汽油
gjik	肾
hjos	无人值守
hjuc	抢劫
swek	瘁
psek	砷
twok	统计
tsep	蚱蜢
slos	社会主义的
nwim	感觉的证据心情
tlop	桌布
trus	争论的
pwot	皮带
djot	沉淀
nloc	冷落
mwon	普通话
hjek	骑师
crom	合作
myon	肺炎
twec	位于
ryek	火箭
dlic	股利
kwet	滑冰
bwen	困扰
plon	配股
syon	喘气
djis	数字
byut	婊子
hyep	眼皮
dwon	对角线
byis	潜意识
brec	眉
cyec	喷嚏
hwop	瓦
clus	欢闹的
kfun	占用
nwum	印度教
fyim	难民
cwos	穿梭
tfoc	刺痛
pwon	蛋白
sraf	自我满足
hbom	呕吐
gyen	基因
drim	大一
trem	装备
tsup	打碎
slok	社会学
kwoc	壁球
bwam	选民
mlok	流动性
kyen	区域性
hmop	运动上坡
rwek	回顾
kfup	立方体
grok	胡萝卜
drap	坑害
lwis	分子
ksuc	会计
tsop	臭
kyok	黄瓜
nroc	狂欢
jlot	溶剂
psof	磷酸盐
hgif	吸引
kfim	碱性
psos	体操
pfen	验证
kcom	经济学家
krom	逗号
tluk	蠢动
hyom	碘
nwuc	运动下坡
gjac	流产
pcom	荚
dzic	设计师
grun	吹牛
dzot	捐赠者
hzek	锰
kfot	键盘
jlas	靠不住
lyim	精英
jyen	日元
pcaf	插入语
rwip	橄榄球
blip	圣经
kyoc	因果关系
lyon	溃疡
flis	屈折
nrif	蚕食
kfam	量子
swes	毛线衣
lwon	发展的
drec	解剖
gjap	温泉
lyec	线性
tyom	锑
pwuk	superessive外壳
flaf	α
myim	免疫的
pcek	绑架
bjac	酿酒厂
bzac	删节
bzak	袜子
twes	电视
dwut	记录
ksom	宇宙
lyis	林业
lwim	铝
ksok	星座运势
sruc	促进
dlif	海豚
byik	凶手
tfec	文具
hjaf	哺乳动物
ryok	协议
dwis	二氧化碳
jlon	结肠
brus	官僚
gjak	星系
lyip	临床
ryem	镭
href	稀薄
prok	冰箱
slep	色狼
dret	迭代
kluk	考古学的
dlis	特质
kfip	不可接受
mlec	按摩
pfif	规范
nrec	感觉的
pfet	传单
hzoc	背后
dlam	理想
nlec	人类学
kluc	可口
dyet	四门轿车
tyif	及物
krus	退缩
nluc	向日葵
lyun	离子
zrot	引渡
ksif	伪造
psif	排放
crup	交叠
fret	发现者
grut	倒置
ksec	同学
jric	行程
mrop	微波
srus	逐出
gyas	理发师
floc	民俗学
plek	毛细管
nwop	臀部
nrom	调节器
twos	恐怖主义
lwok	口号
dwet	随着时间的推移
slem	升华
grip	烤架
gwas	哇
kwok	钴
gwon	燕麦
hdop	运动上游
glam	肛门
bwot	牛
bren	肠
byot	视频
bjik	抵制
kwim	测验
cwek	曲棍球
grif	游击队
hgem	镁
hyes	意识
fram	药店
nwos	胸无大志
ryap	改编
cwim	可靠性
klep	海带
psec	补偿
djic	全世界
kfut	宵禁
crep	汉堡包
frim	定理
gjas	点燃
hdef	借方
ryum	铀
pluk	评估
krop	坐标
nraf	纳税人
tyes	集成
plip	opined
hgom	伽马
hgus	系数
cwuc	暖气
zret	减去
nles	分析人士
trof	不及物动词
hmof	购物中心
hzim	铋
dzac	餐车
psok	明信片
blon	收敛
djet	离题
ksum	股东
mrup	微生物
clif	螺旋
cloc	形态
tfes	餐饮服务商
gjis	牛仔裤
jren	对准
tlep	数据库
kcup	优惠券
glot	电压
glut	计算器
srep	网络空间
nwes	投资者
ksef	X-射线
bzis	签证
frut	基础设施
nyuk	萤火虫
dyik	探测器
plec	拼接
brom	溴
plop	钯
zlik	硅
flut	伏特
ksop	化妆品
gjun	梳洗
kfok	嗝
hpof	爆米花
hzuk	动物园
nyoc	意义
jwak	瑜伽
brim	钡
kles	斩首
mwam	是啊
fwik	焰火
djas	爵士乐
dyim	音频
tsum	钨
drip	运球
lyaf	赡养费
prom	程序员
nrup	输入
hfes	反思
rwaf	菊花
dlen	文件
byas	疫苗
fron	海洛因
dluk	断开
dyun	诊断
flap	夹
kfet	阴极
dlim	思想
prek	停车
syoc	快照
slus	无障碍
nlos	虎头蛇尾
mlen	硒
pres	皮层
hlof	硫
nlek	当前关联标记
gwot	机场
mwip	冒名顶替
klop	蟑螂
kwom	铬
hl6t	升
nwec	尽管如此，
glip	循环
nrop	工资表
crum	激素
dlep	开发人员
frot	穿孔
bwoc	破坏
fwis	女权主义者
djok	共轭
draf	现代化
trum	极端主义
graf	算法
lwes	激光
mlem	毫米
flen	柔性
zlot	阳极
swok	依偎
klec	狗累了
pwim	兼职
htuf	金枪鱼
fyis	炼油厂
lwet	灵敏度
mrem	大型机
jwic	复兴
droc	示威者
clem	氦
dzik	双语
psem	等离子体
hjom	染色体
rwuc	序数词
tyus	整
klom	公里
hfos	传真
nwek	遗传学
jrap	螺丝刀
zwas	开胃菜
bwok	西兰花
dwap	适配器
syem	垃圾邮件
blek	向量
tlus	战术
pyif	不明
cwoc	好吗
mrep	安培
hbem	维他命
hxan	看门人
hxut	资助
hk6m	镉
hxin	同时性
txin	钛
kxin	公斤
klum	媾
xlis	滴漏
hqak	句法
hxat	创造力
hxik	电子书
hxas	职场
bxon	硼
dxin	电感
hxit	直升机
tlum	碲
txit	截止日期
kxat	氧化
hvik	对齐
nluk	类似物
nyem	厘米
hm6t	钼
hl6m	锂
ht6t	多媒体
xlit	卡路里
ryop	机器人
pxas	药剂师
hxak	功课
lwif	方位
grim	对数
hqat	螂
qlit	生态
xlik	阅历
mlep	模板
hqit	放射性
kxim	公斤
hxen	承租人
hxot	吃得过多
kyif	复印机
fwet	免费软件
txet	集
hs6n	顺序
hxet	窃听
xrat	理发
hqan	关在栏中
hr6t	铱
bxat	带宽
dxet	桌面
hxis	指数
hxok	总部
hxek	错位
srem	铈
hp6t	表分词
pxik	表分词外壳
kxet	暗盒
pruk	超级市场
hvit	意志
xlin	当前离线
frip	加密
hvep	多付
hxon	同步
kxit	最大化
hqin	研讨会
tr6n	立体声
ht6n	紧固件
hvat	即将到来
sl6s	摄氏
hn6n	氖
ts6t	真实时间
hvin	精简
pxat	报摊
myoc	模
ps6s	面食
bwek	公文包
dlok	豪华
fraf	火墙
hr6k	神器
txat	午餐时间
hqon	牛至
pxun	钚
ks6n	工作站
slef	自动楼梯
xrit	救生员
hvut	过度拥挤
xrim	钇
hx6t	强化的
hqum	用户名
hl6n	销售人员
gron	氩
pxan	促销
hvac	洗碗机
xlan	全球化
txon	波长
xrik	回收
hxap	背包
hxac	重新开始
xyat	肝炎
cwep	薪水
hxos	花托
txif	字体
qlat	房地产经纪人
txot	中秋
hxam	毫克
pxis	像素
pwif	预习
txam	钽
myek	热力学
hbop	打破
hqot	溶质
xlic	轮椅
gxit	种族灭绝
hvan	消防
glim	镓
pfop	流行的向上
hzum	锆
xlon	热线
qlin	非线性
kxam	钪
blim	铍
kxik	配置
nr6n	神经元
hpef	表语
hruf	路由器
kxan	阶乘
hxic	指南
xlip	排球
dyek	调试
hxop	手表
qrot	中子
nwip	铌
hs6t	卫生间
grem	锗
tles	非金属
hp6k	prolative外壳
qyin	生物多样性
txak	抗生素
mlun	固定
txan	锕
xran	宇航员
dres	解压缩
tr6t	外星人
hk6t	八位
hxus	打开资源
xlat	疯子
mraf	马拉松
ts6n	春季中期
ht6s	自闭症
nlif	电离
txut	知名度
hm6n	发光
kxis	夹艺术
xrin	经历
xren	重定向
bxak	书签
pfos	亲短语
hvis	屎
hd6n	分母
brum	会议室
hqis	沙文主义
hk6n	编
xyit	转移键
xyin	一秒
hxun	存续
hvas	角色
glok	博客
hvak	弯曲
pxit	IP地址
hvet	旁边的
xram	红花
hc6n	显而易见
qran	可兰经
zyen	氙
hqas	发誓式
bzas	偷着乐
hj6n	非人的
hnof	不置可否
txas	制造商
hbum	佛教
ts6s	争吵
pxin	配料
hr6n	配给
hxim	盛夏
dxit	仲冬
hxaf	挖掘
nlus	室内植物
txap	状态酒吧
vrit	代笔
kxak	傻瓜左右
bxin	人体用
hqik	雨衣
hxes	赫兹
hxif	催眠
xras	每小时
pl6k	律师助理
dxat	盲动
hxip	抗体
vrat	短裤
hqek	重塑
qrit	极性
pxot	邮政局
hxom	破烂邮件
hqic	评论家
lwun	蓝色牛仔
hp6n	成熟
dxan	附上
xrak	演员角色
dxak	事故
hven	集装箱
mwap	漫画条
qlan	色盲
xros	脱衣
srom	展厅
hc6t	聊天的
qrat	上下翻转
hn6t	抑制
hqet	网站
fres	筹款
froc	锻造
xlak	超链接
vlat	健谈
dvan	下船
gxin	征服
ryes	接待员
kxot	连接器
xyan	划界
vlan	广告
ryom	钍原子
hluf	老年
hquk	注入
lyum	铥原子
tyem	铽原子
hp6m	镨
txic	家页
mros	司机
dyam	铑原子
pc6n	审讯数
nyos	收件箱
pyek	放映机
kxon	氪
hxuc	抢救
qrik	中心外壳
xwin	缺乏经验
kxic	灭火器
hvot	流程图
dxot	酸奶
hqut	日志出
pxen	部门
drok	目标触发
flon	移动电话
txos	中间语音
hqok	斜外壳
xwik	患者外壳
hx6n	预hodiernal
txik	指数指
hqen	寄件人
mlap	恶意软件
hvun	劝告
hvon	磨损
vran	邮递员
pfes	教授
pwip	诗人
hqam	锻炼
gxat	合法性
ks6t	致病
vrin	招聘
kxip	夹板
sr6n	不赞成
vlit	评价
tyup	市郊
mrom	词素
xron	耳机
gxak	昂贵
hrof	木马马
xlas	瘫
dzet	续借
txac	投降
xrot	没用过
txis	点矩阵
syif	SI单位
xrac	出奇
brif	二值
dlos	语气外壳
txun	属性
dvat	易怒的
psom	第一手
gjek	否则，如果
nlem	单位质量的
qret	零售商店
txip	三相点
dlek	逐个
lwut	流流
dxis	显着
hs6m	铯
vlak	轨道车
hn6m	夹竹桃
kxap	纸板
bxan	出发
myem	5月
gxik	公民权利
hxoc	空军
xrok	同事
kr6t	截图
txok	自动
hxep	滑板
srop	手机
pxak	帽锁
hk6k	民间音乐
hl6k	euler's号码
pyom	钋原子
xyam	铊原子
hvic	入侵
lyok	方位外壳
xlot	公寓
txen	重述
kxac	反击
qrak	罢工破坏者
hbup	游泳池
txuk	短路
tsef	锥
bxit	卷筒纸主办
ksem	读只要
byim	铷原子
hvam	钒原子
lw6n	镧
frum	氟原子
nyom	钕
mlom	multal数
kxas	个性化
xret	兆兆字节
hs6k	搜索发动机
frus	腐蚀
gxan	星系性别
vlas	发声
glet	油门踏板
hvim	运行
bxip	位图
qrin	星性别
bvak	abessive外壳
pxon	不可用
dvik	adessive外壳
dvek	施事外壳
hlef	代理人触发
kwek	至外壳
kxen	共同性别
ht6m	引用形成
tsuf	反式数字
hf6n	澄清
tc6t	直接目的
gvik	作格外壳
gxon	碎片
ksep	接收器
vyin	电影院
pyos	被动语音
hnef	有限动词
xwit	主目的
hqim	格言心情
jlak	概括
vrik	最终粒子
qyan	虚数单位
kxaf	光速
xyic	网络钓鱼
qyit	临界点
hvek	evitative外壳
bvik	subessive外壳
hzes	附身案件
prus	计算机病毒
ples	处理器
pxif	警察官
dvak	lative外壳
brun	旅游
tsi_k	antessive外壳
tyum	钌原子
vyak	状语外壳
pxim	总理
syum	锶原子
sy6n	多疑
hy6n	赋予生命性别
pxac	移情喜悦
vlin	车辆性别
qwin	矿物性别
hr6s	转诊
tf6n	碳粉
xris	用户接口
hw6n	说脏话
xlen	口头名词
pyec	电子表格
vlim	虚拟记忆
bres	字处理器
hqip	云计算
vlic	虚拟机
pfam	垃圾邮件发送者
dyap	第二语言
txek	第n根
dxen	数据矿业
byip	商业人
hs6c	自置信度
txim	指
hb6t	更改的事件
hdem	域名称
dxon	不同事件
lwaf	闪驾驶
sl6t	crastinal紧张
xyik	软盘磁盘
fyif	反思语音
bvin	宇宙性别
hm6p	母板
tfip	及物动词
jlen	局部性性别
xrap	条纹
tc6n	研究性别
sl6n	艺术的性别
xrek	患者触发
xwan	抽象性别
dxif	视频会议
dyip	间接言语
zrek	exocentric外壳
hvuk	唤起
xwat	过去完成式
hr6m	铼
txaf	触发
hmef	非人的动词
tx6t	文本编辑
txes	集体名词
bvat	虐待
bvuk	absolutive外壳
ry6t	弧度
vlis	虚拟现实
qren	行星性别
gvak	语法情况
bxok	秃
mrum	电脑程序
ps6t	操作系统
hfom	音素
tlem	读只要记忆
pwam	间谍软件
kfif	核心benefactive
qwit	理性
nlaf	安装
nwok	联想外壳
dzas	不满足
swuk	最高级外壳
syos	总结
kr6n	电动当前
dvin	老成性别
pxom	propositive心情
vris	倒数语音
rwos	气雾剂
dr6t	分心
ht6k	电信
slaf	社会联网
lyuk	连续条款
qras	上级
ty6n	终奌站
gwet	不久未来紧张
hp6s	合用的语音
tsof	antipassive语音
ht6p	接续方面
hn6f	necessitative心情
pfip	被动分词
glap	工具栏
sy6k	存在条款
qyat	发光的强度
hy6t	语法对象
vyan	发音
sluf	singulative数
dvit	过多为期
qyak	单行动动词
bzik	物理
xlet	最高级度
hqap	当下分词
qwat	量的物质
qyik	结缔组织粒子
sr6t	超临界流体
hfem	epenthetic词素
tl6t	远程未来紧张
mrif	麦克风
pcuk	后置外壳
tfim	随机访问记忆
fwim	溴化乙锭
ly6t	训示协议
hvap	滚动酒吧
hfep	重复型成对方面
bvan	分配的代词
fyun	浮点数
xyas	擦除
hvif	动词后缀
xyis	过去被动分词
tl6n	中央处理单元
tfok	方位定向外壳
qwan	经常问问题
