hnit	noaniq
flin	unumdorligi
mrun	duradgor
swec	tasodifiy
syuk	qoshiq
blun	shar
tcep	bo&#39;r
fric	quvvatlash
rwik	vertikal
rwen	oldiniolish
flet	Shundayqilibolinadiganishonchli
pfac	nashriyotchi
srek	sirka
tfun	tunnel
pwet	jumboq
gyik	matematika
fwot	tinchimoq
lwin	muvozanatli
jwin	jigar
bwik	sublativeishi
hdup	botirmoq
hnop	yakkahokimlik
bwic	suvostikemasi
ryen	qat&#39;inazar
hcem	zilzila
hbos	laboratoriya
nrek	ishchi
ryim	ritm
nyic	talqin
dwas	Elchixona
rwok	provokatsiyaqilmoq
kram	qodirsizlik
ksim	deklarativkayfiyat
clok	shokolad
pcec	imtiyozli
nyis	zohid
tyoc	moslashish
grak	timdalamoq
zlat	qo&#39;lqop
hjuk	tizcho&#39;kmoq
trif	jug&#39;rofiya
djit	muntazam
pson	undefined
mwis	sarmoya
cwec	og&#39;zaki
hdek	dunyoviy
blik	lochin
sloc	psixologiya
brap	parcha
jlat	pirat
dros	ko&#39;pincha
slam	go&#39;shtiQizilbaliq
pwun	pudding
gwik	magnit
pcop	nasos
myen	Xuddishunday
ksen	kislorod
mrap	mutaxassis
tfot	guvohnoma
ksus	klaster
trok	ritorikasi
tloc	pog&#39;onasi
zyan	eshkak
nlun	Kirish
hlop	teleskop
jlin	imlo
lyut	bulutli
hsof	surf
fyik	viski
klet	nisbatan
hwof	majnuntol
hlum	tuya
myet	havaskor
klis	izolyatsiya
hbaf	tarjimaihol
gwac	eshak
hwum	mish-mishgaplar
pwik	istiqbol
pron	pro
myes	oylik
mwen	undefined
kfic	damolish
klek	bosish
cwon	tuxumsimon
lyak	elastik
kwon	lug&#39;at
hjam	dudlangancho&#39;chqago&#39;shti
rwon	kamalak
crip	shundayqilib
zwan	yuzagakelgan
srok	tahririyat
craf	kapral
tlok	tank
brip	kapalak
tfap	sxema
jwat	egizak
pros	operatsion
psun	omen
clet	undefined
hbus	bambuk
dyas	dilerlik
klun	jamg&#39;arma
jlit	ovozdan
hdom	yomontush
kron	uglerod
hzam	shinni
cyot	tinglovchi
hmem	muzey
lwam	alifbo
fras	sochmoq
psoc	Punch
hgum	gum
brek	tormoz
glit	barqarorlik
frun	irimoq
gris	tajovuzkor
mroc	surkalish
bzit	o&#39;rgimchak
plut	kartoshka
glac	ochko&#39;zlik
gzac	ko&#39;paytirmoq
prun	yigirmoq
jlet	kalendar
nyim	nominatsiyasi
tlos	trillion
slut	salat
fwit	ijobiykayfiyat
pyen	ilovalar
nlon	nominal
dren	namoyish
drun	norozilik
cyok	yelkaqisish
hfop	futbol
ryac	sheriklik
gzin	pioner
hgip	karam
tyet	sport
hdof	ideophone
hwup	bebaho
lwek	richag
syec	senator
jyak	sig&#39;dira
mlim	chumoli
fwic	samarali
gzit	homilador
blas	ishonch
jrin	harkuni
gwak	to&#39;piqsuyagi
drik	g&#39;alati
prif	o&#39;zgaruvchan
jwit	xilma-xilligi
krip	kamsitish
ryot	undefined
nwut	tratuaryolka
kcif	faol
jrak	baqa
twek	exessiveishi
psot	Poklanish
pfon	gubka
sluk	olmaxon
nlim	irrealiskayfiyat
ksaf	tanqisligi
glak	vulkan
plen	muvozanat
kfaf	sharf
kyon	foydalanish
jlik	geologik
psop	pasport
kfis	bo&#39;shlik
fyon	qarindoshlik
nram	ahloqsiz
hbuk	pechenye
gras	trans
hyos	ziyrak
flim	kino
plet	tabletka
rwam	atom
blis	vanilla
zlit	OITS
fyut	nozik
crim	ehrom
hjif	g&#39;ayriqonuniy
crif	noqulaylik
lwap	ud
tyon	astronomiya
mrim	yo&#39;lak
drut	tavsiflovchi
nrim	olimlik
kruc	toshbaqa
kwam	maslahatchiayol
jrik	kriket
dlut	bildirmoq
pyot	kaptar
dyon	moslashish
prap	operator
bzin	ramz
tyek	uchburchak
trec	moliyadirektori
nron	vodorod
pyet	printer
tsok	bo&#39;g&#39;ilmoq
zyin	xronik
slek	velosiped
jyin	muhandislik
ryas	uzatish
zrak	yangilamoq
nyas	raqqosa
gric	migratsiya
zlak	buzilishiga
tces	tennis
hjun	shamolli
twen	to&#39;qimoq
kyet	kollektor
gwit	umurtqa
kyot	akkord
fwin	chastota
tfuc	dastgoh
dlet	katalog
pfik	mutafakkir
bjet	budjet
trek	strategiya
kros	kvars
gjit	qai&#39;chi
gwic	switch
frik	nazariy
tluc	sochiq
pruc	patrul
glic	muzlik
krun	to&#39;liqligi
bjin	bashorat
tlaf	ishtirok
tfet	ishlabchiqaruvchi
bras	lateral
dwik	himoyachi
clec	chiqarish
cres	shaxmat
tcef	gilos
tcom	qoqilmoq
nyot	tarjimon
tyok	yukmashinalari
cyip	oliy
grot	xantal
bris	simsiz
nlam	kimoshdisavdosi
slif	elak
hgos	zang
swoc	beqaror
jyat	bankrot
slum	Islom
hjes	ro&#39;yxatgaolish
dzat	oyoquchi
slun	to&#39;xtatib
nwot	uzluksiz
gyic	gitara
pfas	qiyalik
zyik	rux
blen	nurli
hyem	qayrag&#39;och
hnep	mushtlashish
nyut	trikotaj
ryam	olmoshmarker
clim	dorivor
jret	keskinlik
tfon	jig&#39;igategmoq
jwac	java
hrep	retsept
dyac	imtiyoz
myip	metr
rwis	irqiy
hkem	kometa
nwon	yangilik
zwin	taqiqlash
dyis	o&#39;rtaasr
mrec	chumchuq
fyot	Izoh
mlon	o&#39;lchash
pfis	ratifikatsiya
rwot	orbitalardaharakatqiladi
hfok	o&#39;rtacha
glof	golf
zron	nol
hzip	zip
hwom	uysiz
bjic	chaynash
pcim	bajarish
hjip	tarasha
bwac	esnash
mlos	hol
mrip	qozon-tovoq
bron	homila
ksoc	xulosa
cyum	xamirturush
jyan	jargon
plim	olxo&#39;ri
mwet	qabriston
ryet	bitirmoq
glik	sug&#39;orish
plap	kapitalistik
tsif	elastiklik
gyak	Akula
djon	default
nwun	ishnipuxtavaaniqbajaradigan
cles	realizm
dris	tobora
hkef	cafe
blus	tezyordam
blap	hamyon
bjak	undefined
klim	face
gyac	olim
jyit	sovuqqonlik
dzit	realistik
bwak	outdoor
dyot	radio
bwon	loviya
fris	norasmiy
klut	olibsotmoq
tfek	bifshteks
nrok	azot
zyat	ustara
bram	Mutter
ryis	Kirish
nlip	tahlil
nros	qarama-qarshi
hcof	echinmoq
tfif	rag&#39;bat
kroc	egat
hdum	Yahudiylik
pses	oluvchi
plok	to&#39;ldiruvchi
lyet	linza
pwek	pegativeishi
kfas	rak
pwen	piyon
nrun	eslatma
clek	oqish
pcif	himoya
glas	murakkabligi
zwit	sergap
kces	etarliligi
crem	chakanasavdo
grap	qo&#39;lgatushirmoq
kwip	aralashmoq
dyut	chegirma
crus	ierarxiyasi
gyet	jade
gram	Snarl
kyip	kaltakesak
nyet	pad
crop	sharshara
glon	gallon
mrok	moskit
fluc	ravon
dwic	burilish
slec	tadqiqotchi
srec	undefined
blut	kurash
myok	mozaik
tlek	vilkasi
nruk	yuqumli
nwoc	undefined
bjut	Kaltabaqay
hges	homiladorlik
twoc	oziq-ovqat
kyos	kommunist
mrek	taajjublantirmoq
clip	achinish
pwok	prosecutiveishi
dwot	diktator
zyac	muammo
jlic	yo&#39;ldosh
slop	shippak
ryip	proportsional
psim	taxminiy
byet	ishsiz
cyop	qiziqadigannarsa
rwun	mezon
blop	Lampochka
syok	tarafdori
klos	xlor
lwot	xlorid
byic	bakteriyalar
lyik	yopishqoq
blok	biologik
jlac	to&#39;qimoq
bret	baytda
krif	yuqumli
blet	balet
nruc	siydik
tsus	sarimsoqpiyoz
dyak	o&#39;rtasinf
tcem	tongs
cyoc	mashaqqatli
trep	qulupnay
dlun	ifloslanish
hlup	albom
hbep	beysbol
praf	qaroqchilik
pwis	sifatdosh
grek	garaj
kruk	xassa
hfof	fosfor
rwut	tuzilmaviy
myam	sportzali
krec	ko&#39;tarmakran
jras	pudratchi
zrik	xabardor
blam	Buzal
klip	hunarmand
hwef	to&#39;lanmagan
zlac	banan
gret	generator
lwuk	qovurg&#39;a
nyek	nikel
blos	avtobus
sles	tsenzurachi
tlif	kafel
kses	kolbasa
mwot	pomidor
lyot	auto
tsom	kaliy
brut	virtual
djap	algebra
hjok	umumiy
kfen	tushunchalar
pcok	optik
bzut	payida
syek	ishsizlik
mruc	kapalakqurti
bwas	brauzer
klif	kaltsiy
rwet	tarangmasofadano&#39;tgan
srif	tarangtarixiy
hwem	spektri
syom	natriy
tyos	vasiy
jyic	garovdagiayol
hguk	qovoq
dwun	ajin
swip	boshoq
tlec	kana
blaf	zo&#39;rlash
tsem	ateizm
mloc	monitor
gyot	shartli
trop	probe
rwap	harchorakda
hjep	gender
pyim	platina
dlon	dualsoni
pcep	o&#39;pka
twuk	yog&#39;sizlantirish
tyec	tegi
syup	a&#39;lo
trom	tramvay
nyip	mahalliy
glis	benzin
gjik	buyrak
hjos	qarovsiz
hjuc	talamoq
swek	undefined
psek	margimush
twok	statistik
tsep	chigirtka
slos	socialist
nwim	hissiydaliliykayfiyat
tlop	stolRo&#39;mol
trus	tortishuvlarga
pwot	qilsin
djot	quyqa
nloc	snub
mwon	mandarin
hjek	chavandoz
crom	hamkorlik
myon	zotiljam
twec	mavqeiga
ryek	raketa
dlic	dividend
kwet	skat
bwen	ta&#39;qibqilish
plon	taqsimot
syon	Pant
djis	raqamli
byut	iturgochisi
hyep	ko&#39;zqovog&#39;I
dwon	diagonal
byis	beixtiyor
brec	qosh
cyec	aksirmoq
hwop	vatt
clus	kulgili
kfun	Yashashjoyini
nwum	Induizm
fyim	qochoq
cwos	Shuttle
tfoc	undefined
pwon	protein
sraf	undefined
hbom	qaytarmoq
gyen	gen
drim	Birinchi
trem	-uskunalar
tsup	sindirmoq
slok	Sotsiologiya
kwoc	qovoq
bwam	saylovchi
mlok	harakatchanlik
kyen	mintaqaviy
hmop	harakatyuqoriga
rwek	retrospektiv
kfup	kub
grok	sabzi
drap	undefined
lwis	molekulyar
ksuc	hisobchiayol
tsop	sasiq
kyok	bodring
nroc	orgy
jlot	Halqiluvchi,
psof	fosfat
hgif	sehrlash
kfim	ishqoriy
psos	gimnastika
pfen	tekshiruv
kcom	iqtisodchi
krom	vergul
tluk	burilish
hyom	yod
nwuc	harakatpastga
gjac	bolatushishi
pcom	pod
dzic	dizayner
grun	palavra
dzot	donor
hzek	marganets
kfot	klaviatura
jlas	ishonchsiz
lyim	elita
jyen	Yen
pcaf	qavs
rwip	regbi
blip	MuqaddasKitob
kyoc	sababbo&#39;lish
lyon	yara
flis	qurgan
nrif	nibble
kfam	kvant
swes	sviter
lwon	evolyutsion
drec	diseksiyon
gjap	Spa
lyec	chiziqli
tyom	surma
pwuk	superessiveishi
flaf	alfa
myim	immun
pcek	o&#39;g&#39;irlash
bjac	pivochiqaradiganzavod
bzac	qisqartirmoq
bzak	paypoq
twes	televideniye
dwut	hujjatli
ksom	Cosmos
lyis	o&#39;rmonchilik
lwim	aluminiy
ksok	munajjimlarbashorati
sruc	yaxshi
dlif	delfin
byik	qotil
tfec	ishyuritish
hjaf	sutemizuvchi
ryok	protokol
dwis	angidrid
jlon	ichak
brus	rasmiyatchilik
gjak	galaxy
lyip	klinika
ryem	Radiy
href	seyrekleşmiş
prok	xolodilnik
slep	undefined
dret	takrorlash
kluk	arxeologik
dlis	idiosinkraziya
kfip	nomaqbul
mlec	massaj
pfif	xususiyatlari
nrec	hissiy
pfet	varaqa
hzoc	ostidayotgan
dlam	ideal
nlec	antropologiya
kluc	mazali
dyet	sedan
tyif	o&#39;timli
krus	burishmoq
nluc	kungaboqar
lyun	ion
zrot	ekstraditsiya
ksif	qalbakilashtirmoq
psif	emissiya
crup	ketma-ket
fret	izlovchi
grut	invert
ksec	sinfdoshi
jric	jadval
mrop	mikroto&#39;lqinli
srus	ag&#39;darish
gyas	sartarosh
floc	folklor
plek	kapillyar
nwop	dumba
nrom	controller
twos	terrorizm
lwok	shiori
dwet	vaqto&#39;tgansari
slem	haydash
grip	qiynamoq
gwas	Qoyil
kwok	kobalt
gwon	suli
hdop	harakatoqimgaqarshibo&#39;lib
glam	analteshigi
bwot	sigir
bren	ichak
byot	video
bjik	boykot
kwim	viktorina
cwek	xokkey
grif	partizan
hgem	magniy
hyes	xabardorbo&#39;lish
fram	dorixona
nwos	undefined
ryap	qaytadantartibgasolmoq
cwim	ishonchliligi
klep	Kelp
psec	qoplamoq
djic	dunyobo&#39;ylab
kfut	ko&#39;chagachiqishman
crep	Gamburger
frim	teorema
gjas	yonmoq
hdef	debet
ryum	uran
pluk	baholash
krop	muvofiqlashtirish
nraf	soliqto&#39;lovchi
tyes	integratsiyalashgan
plip	fikrbildirmoq
hgom	gamma
hgus	koeffitsient
cwuc	isib
zret	ayirmoq
nles	tahlilchi
trof	o&#39;timsiz
hmof	mall
hzim	vismut
dzac	susaygani
psok	pochtavaraqasi
blon	yaqinlik
djet	chekinmoq
ksum	aktsiyador
mrup	mikrob
clif	spiral
cloc	morfologik
tfes	caterer
gjis	Shimlar,jinsishimlar
jren	hizalama
tlep	ma&#39;lumotlarbazasi
kcup	Kupon
glot	Kuchlanish
glut	kalkulyator
srep	kiber
nwes	investor
ksef	xray
bzis	viza
frut	infratuzilma
nyuk	Firefly
dyik	Amerikafutboli,
plec	splice
brom	brom
plop	palladiy
zlik	kremniy
flut	volt
ksop	kosmetik
gjun	patlarnihuquq
kfok	hiqichoq
hpof	Popkorn
hzuk	hayvonotbog&#39;l
nyoc	qo&#39;shimchama&#39;no
jwak	yoga
brim	bariy
kles	boshinitanasidanjudo
mwam	ha
fwik	mushakbozlik
djas	jazz
dyim	audio
tsum	volfram
drip	tomchi
lyaf	nafaqa
prom	dasturchi
nrup	kirish
hfes	o&#39;zlik
rwaf	xrizantema
dlen	hujjatlar
byas	vaktsina
fron	geroin
dluk	ajratmoq
dyun	tashxis
flap	papka
kfet	katod
dlim	mafkura
prek	mashinalar
syoc	lahzali
slus	Maxsusimkoniyatlar
nlos	kuchsizlanish
mlen	selen
pres	qobiq
hlof	oltingugurt
nlek	joriydolzarbligimarker
gwot	aeroport
mwip	yolg&#39;onchi
klop	suvarak
kwom	xrom
hl6t	litr
nwec	Shundaybo&#39;lsa-da
glip	tsiklik
nrop	to&#39;lovvedomosti
crum	gormon
dlep	dasturchi
frot	teshmoq
bwoc	qo&#39;poruvchilik
fwis	feministik
djok	konjugat
draf	modernizatsiya
trum	ekstremistik
graf	algoritm
lwes	lazer
mlem	millimetr
flen	Flex
zlot	anod
swok	Snuggle
klec	undefined
pwim	to&#39;liqsizishkuni
htuf	tunetsbaliq
fyis	neftqaytaishlashzavodi
lwet	sezuvchanlik
mrem	mainframe
jwic	yoshartirish
droc	namoyishchi
clem	geliy
dzik	ikkitilli
psem	plazma
hjom	xromosoma
rwuc	tartib
tyus	integer
klom	kilometr
hfos	Faks
nwek	Genetika
jrap	otvertka
zwas	E&#39;lonniqo&#39;shish
bwok	brokkoli
dwap	adapter
syem	spam
blek	vector
tlus	taktika
pyif	noma&#39;lum
cwoc	OK
mrep	amper
hbem	vitamin
hxan	eshikog&#39;asi
hxut	subsidiyabermoq
hk6m	kadmiy
hxin	vaqtga
txin	titan
kxin	undefined
klum	qochmoq
xlis	hourglass
hqak	sintaktik
hxat	ijodi
hxik	ekitob
hxas	ishjoyini
bxon	boron
dxin	undefined
hxit	vertolyot
tlum	tellur
txit	topshirishmuddati;tugatishmuddati
kxat	oksidlanmoq
hvik	tizmoq
nluk	analog
nyem	santimetr
hm6t	molibden
hl6m	litiy
ht6t	multimedia
xlit	kaloriya
ryop	robot
pxas	farmatsevt
hxak	Uyishi
lwif	ismning
grim	logarifm
hqat	Mantis
qlit	ecologiya
xlik	buzmoq
mlep	Andoza
hqit	ushbudan
kxim	kilogramm
hxen	ijarachisi
hxot	Qo&#39;shimchaovqat
kyif	foto
fwet	bepul
txet	kœpligi
hs6n	keyingi
hxet	bildirmay
xrat	sochqirqish
hqan	yopish
hr6t	Iridium
bxat	bandwidth
dxet	ishstoli
hxis	ko&#39;rsatkichli
hxok	markazi
hxek	yo&#39;qotmoq
srem	seriy
hp6t	partitive
pxik	partitiveishi
kxet	kassetali
pruk	Supermarket
hvit	willpower
xlin	Foydalanuvchibilanaloqa
frip	shifrlash
hvep	folbinlikbilanto&#39;lash
hxon	sinxronlashtirish
kxit	engyuqoridarajaga
hqin	seminar
tr6n	stereo
ht6n	zanjir
hvat	bo&#39;lajak
sl6s	Selsiy
hn6n	neon
ts6t	haqiqiyvaqt
hvin	soddalashtirish
pxat	matbuotim
myoc	moduli
ps6s	makaron
bwek	charmchamadoncha
dlok	deluxe
fraf	Xavfsizlikdevori
hr6k	qo&#39;lyozmasi
txat	tushlikvaqti
hqon	oregano
pxun	plutoniy
ks6n	ishstantsiyani
slef	eskalator
xrit	Qutqaruvchi
hvut	to&#39;planmoq
xrim	itriyum
hx6t	kattalashtiradigan
hqum	username
hl6n	sotuvchilar
gron	argon
pxan	reklama
hvac	idishyuvishmashinasi
xlan	globallashuv
txon	to&#39;lqinuzunligi
xrik	qaytaishlash
hxap	ryukzak
hxac	qaytaishgatushirish
xyat	gepatit
cwep	Yiliga
hxos	Torus
txif	typeface
qlat	rieltorlik
txot	o&#39;rtalaridakuz
hxam	miligramlık
pxis	pixel
pwif	ko&#39;ribchiqish
txam	tantal
myek	termodinamik
hbop	Buzibkirmoq
hqot	çozuntu
xlic	g&#39;ildirakliaravacha
gxit	genotsid
hvan	yong&#39;ingaqarshi
glim	galliy
pfop	to&#39;saddanpaydobo&#39;lish
hzum	sirkoniy
xlon	Ishonch
qlin	nochiziqli
kxam	skandiyum
blim	berilyum
kxik	konfiguratsiya
nr6n	neyronlarning
hpef	kesimbo&#39;libkeladigan
hruf	router
kxan	factorial
hxic	dasturilamal
xlip	voleybol
dyek	debug
hxop	Al-soatlar
qrot	neytron
nwip	niobiy
hs6t	hojatxona
grem	germaniy
tles	metalloid
hp6k	prolativeishi
qyin	bioxilma-xillikni
txak	antibiotik
mlun	immobilizasyon
txan	aktiniy
xran	kosmonavtayol
dres	siqish
tr6t	dünyadışı
hk6t	oktet
hxus	ochiqmanba
xlat	jinni
mraf	marafon
ts6n	o&#39;rtalaridabahor
ht6s	autizm
nlif	ionize
txut	e&#39;tirofetilgankishi
hm6n	moslamasi
kxis	klipsan&#39;at
xrin	kechayotganligi
xren	qaytayo&#39;l-yo&#39;riq
bxak	Bookmark
pfos	proibora
hvis	axlat
hd6n	maxraj
brum	Boardroom
hqis	shovinistlarcha
hk6n	to&#39;plamoq
xyit	shifttugmasi
xyin	Birikkinchi
hxun	bo&#39;lmish
hvas	rollar
glok	blog
hvak	gvardiyasi
pxit	IP-manzil
hvet	ningyonida
xram	aspur
hc6n	ayon
qran	Qur&#39;on
zyen	ksenon
hqas	yildaqasam
bzas	Blas
hj6n	bo&#39;lmaganinson
hnof	Nonrecreational
txas	Tasvirga
hbum	Buddizm
ts6s	janjal
pxin	ingredientlar
hr6n	ratsion
hxim	o&#39;rtalaridayoz
dxit	o&#39;rtalaridaqish
hxaf	qazimoq
nlus	houseplant
txap	Holatsatri
vrit	Ghostwriter
kxak	atrofidaahmoq
bxin	insontanasi
hqik	plash
hxes	gers
hxif	hypnothize
xras	harsoat
pl6k	yordamadvokat
dxat	tezlik
hxip	Antikor
vrat	shortilar
hqek	qaytaqurish
qrit	qutblanish
pxot	pochtaidorasi
hxom	arzimasmail
hqic	sharhlovchi
lwun	BlueJan
hp6n	kamolotga
dxan	ilova
xrak	aktyorroli
dxak	tasodif
hven	konteyner
mwap	comicstrip
qlan	rangko&#39;r
xros	choponi
srom	showroom
hc6t	suhbat
qrat	ostin-ustun
hn6t	tiyilish
hqet	veb-sayt
fres	mablag&#39;
froc	bolg&#39;alash
xlak	ko&#39;prik
vlat	ezmalik
dvan	Disembarking
gxin	fath
ryes	kalitberadigankishi
kxot	Ulagichlar
xyan	delimitatsiya
vlan	E&#39;lonmuallifi
ryom	plutonyumatom
hluf	keksalik
hquk	quymoq
lyum	Tulyumatom
tyem	terbiyatom
hp6m	praseodimi
txic	boshsahifa
mros	avtomobilchi
dyam	rodyumatom
pc6n	sinovsoni
nyos	inbox
pyek	projector
kxon	kripton
hxuc	qutqarish
qrik	beri-ishi
xwin	tajribasizligi
kxic	o&#39;chirgichlar
hvot	sxema
dxot	qatiq
hqut	chiqish
pxen	idoraviy
drok	maqsadtrigger
flon	Uyalitelefon
txos	o&#39;rtaovozli
hqok	qiyshiqishi
xwik	sabrishi
hx6n	prehodiernal
txik	ko&#39;rsatkichbarmoqlarini
hqen	jo&#39;natuvchi
mlap	malware
hvun	suasion
hvon	kuchsizlanadi
vran	mailtashuvchisi
pfes	professor
pwip	shoir
hqam	tayyorlamoq
gxat	qonuniylik
ks6t	Qo&#39;zg&#39;atuvchining
vrin	İşbulan
kxip	clipkengashi
sr6n	inkor
vlit	baholash
tyup	shaharatrofi
mrom	morpheme
xron	Naushnik
gxak	qimmat
hrof	troyan
xlas	shol
dzet	shaklinio&#39;zgartirish
txac	Xat
xrot	ishlatilmagan
txis	dotmatrix
syif	sibirliklari
xrac	hayratlanarlidarajada
brif	ikkilikqiymat
dlos	modalishi
txun	sifatlari
dvat	xulqliyomon
psom	birinchiqo&#39;l
gjek	elsebo&#39;lsa
nlem	massasibirligi
qret	chakanado&#39;kon
txip	uchnuqta
dlek	alohida
lwut	oqimijoriy
dxis	keskin
hs6m	seziy
vlak	railcar
hn6m	netium
kxap	karton
bxan	chiqish
myem	mayoyi
gxik	insonhuquqlari
hxoc	havokuchlari
xrok	hamkorim
kr6t	screenshot
txok	avtomatikravishda
hxep	skeytbord
srop	smartfon
pxak	CapsLock
hk6k	xalqmusiqa
hl6k	eulerssoni
pyom	radyumatom
xyam	talliyatom
hvic	etakli
lyok	ismningishi
xlot	Kvartiralar
txen	tuzatish
kxac	kontra
qrak	strikebreaker
hbup	suzishxavzasi
txuk	qisqatutashuv
tsef	panjasiga
bxit	veb-mezbon
ksem	faqato&#39;qish
byim	rubidyumatom
hvam	vanadiyatom
lw6n	lantan
frum	floratom
nyom	neodim
mlom	multalsoni
kxas	shaxsiylashtirish
xret	terabyte
hs6k	qidirishmexanizmini
frus	zanglamaydigan
gxan	galaxygender
vlas	vocalizations
glet	gazo&#39;tdim
hvim	Ishvaqti
bxip	bitmap
qrin	yulduzgender
bvak	abessiveishi
pxon	mavjudemas
dvik	adessiveishi
dvek	agentiveishi
hlef	agenttrigger
kwek	Ishuchun
kxen	umumiygender
ht6m	chaqirishshakli
tsuf	transraqam
hf6n	tozalash
tc6t	to&#39;g&#39;ridan-to&#39;g&#39;riob&#39;ekt
gvik	ergativeishi
gxon	bo&#39;linishi
ksep	qabulqiluvchi
vyin	kinoteatr
pyos	majhulnisbat
hnef	cheklanganfe&#39;l
xwit	asosiyob&#39;ekt
hqim	gnomickayfiyat
jlak	umumlashtirish
vrik	finalzarracha
qyan	xayoliybirligi
kxaf	yorug&#39;liktezligi
xyic	fishing
qyit	muhimnuqta
hvek	evitativeishi
bvik	subessiveishi
hzes	egaishi
prus	kompyutervirus
ples	protsessor
pxif	militsiyahodimi
dvak	masalasidagiuslublarishi
brun	turnega
tsi_k	antessiveishi
tyum	rutenyumatom
vyak	ravishgaoidishi
pxim	BoshVazir
syum	strontsiyatom
sy6n	şüphecilik
hy6n	jinstirik
pxac	hamdardquvonch
vlin	avtomobilgender
qwin	mineralgender
hr6s	Malumot
tf6n	toner
xris	foydalanuvchiinterfeysi
hw6n	qasamyod
xlen	og&#39;zakinoun
pyec	elektronjadval
vlim	virtualxotira
bres	so&#39;zprotsessor
hqip	cloudcomputing
vlic	virtualmashinasi
pfam	spammer
dyap	ikkinchitil
txek	n-darajaliildiz
dxen	Ma&#39;lumotlarnikonida
byip	ishshaxs
hs6c	o&#39;zigaishonch
txim	nazarda
hb6t	Tadbiro&#39;zgarishi
hdem	domennomi
dxon	turlitadbir
lwaf	flashdrive
sl6t	tarangcrastinal
xyik	floppydisk
fyif	o&#39;zlikovoz
bvin	koinotgender
hm6p	diskdan
tfip	Geçişlihuquqbuzarlik
jlen	yergender
xrap	bula
tc6n	tadqiqotgender
sl6n	badiiygender
xrek	sabrtrigger
xwan	mavhumgender
dxif	videokonferensiya
dyip	bilvositanutq
zrek	exocentricishi
hvuk	inobatga
xwat	o&#39;tganperfective
hr6m	reniy
txaf	tetiklenir
hmef	shaxssizfe&#39;l
tx6t	matnmuharriri
txes	kollektivnoun
bvat	mistreating
bvuk	absolutiveishi
ry6t	radian
vlis	virtualhaqiqat
qren	sayyoragender
gvak	grammatikishi
bxok	kal
mrum	kompyuterdasturi
ps6t	operatsiontizim
hfom	tovush
tlem	faqatxotirao&#39;qish
pwam	spyware
kfif	asosiybenefactive
qwit	maqbulligini
nlaf	o&#39;rnatish
nwok	Birlashtiruvchiishi
dzas	qoniqmaslik
swuk	superlativeishi
syos	umumlashtirish
kr6n	elektrjoriy
dvin	jonsizgender
pxom	propositivekayfiyat
vris	o&#39;zaroovoz
rwos	purkaladigan
dr6t	distractor
ht6k	telekommunikatsiya
slaf	ijtimoiytarmoq
lyuk	ketma-ketgap
qras	buyuklarimiz
ty6n	teminal
gwet	tarangyaqindabo&#39;lajak
hp6s	amaliyovoz
tsof	antipassiveovoz
ht6p	continutivejihati
hn6f	necessitativekayfiyat
pfip	passivsifatdosh
glap	asboblarpaneli
sy6k	ekzistensialgap
qyat	nuroniyintensivligi
hy6t	grammatikob&#39;ekt
vyan	so&#39;zlash
sluf	singulativesoni
dvit	haddantashqaridavomiyligi
qyak	Yagonaharakatfe&#39;l
bzik	fizika
xlet	engyuqoridarajasi
hqap	hozirgisifatdosh
qwat	moddamiqdori
qyik	biriktiruvchizarracha
sr6t	kritiküstüsuyuqlik
hfem	epentezagaoidmorpheme
tl6t	masofaviykelajaktarang
mrif	mikrofon
pcuk	postpositionalishi
tfim	tezkorxotiraqurilmasi
fwim	ethium
ly6t	allocutivebitim
hvap	O&#39;tkazishbar
hfep	takroriyjihati
bvan	taqsimotolmosh
fyun	suzuvchinuqtasoni
xyas	o&#39;chirishjarayoni
hvif	fe&#39;laffiks
xyis	O&#39;tganpassivsifatdosh
tl6n	markaziyishlashbirligi
tfok	ismningyo&#39;nalishishi
qwan	tez-tezso&#39;raladigansavollar
