hnit	ક્રિયાપદનુંમૂળરૂપ
srip	સિગારેટ
mrot	મોટર
swon	સ્વયંસેવક
ryak	પ્રતિક્રિયા
pfun	આંશિક
blac	સામાન
mret	મંત્રાલય
hjon	જાતીય
kcok	કુહાડી
dram	ડાયમંડ
kren	વૈકલ્પિક
tcek	પડઘો
hdif	ઓળખ
tfas	રાજદૂત
hfot	સમાવે
lwas	બેકાર
hmep	momentaneપાસા
kfin	એન્કોડિંગ
mwin	કાલ્પનિક
hrem	રે
pram	ચડવું
byac	ભોંયરું
mren	યાદગાર
swen	સેનેટ
kras	શબપેટી
hgun	ગળી
nlok	રીઝવવું
ryic	કૃષિ
gwin	સ્વિંગ
srut	ઘાસવાળીજમીન
hkes	જટિલ
hfis	રાજીનામું
frak	વારંવાર
hnom	કાવતરું
hcop	પબ
hlec	મરી
mlot	મેલોડી
zrat	ઉમેદવાર
proc	આશ્રયદાતા
flik	શિયાળ
cyet	બદલ
hgim	ચીમની
slet	હેજ
tcok	ચોકસાઈ
bjit	ભૂતપૂર્વમૃત
brot	કળી
bwat	ધાબળો
hdus	ડુક્કર
gwat	આઇવરી
kret	અર્ક
nwet	નિરીક્ષક
jwan	એવન્યુ
nwis	નખ
mwic	મધમાખી
bzat	અભિનેતા
gyan	પરસેવો
zyit	એક્ઝિક્યુટિવ
blic	ભ્રમ
pcet	અનિશ્ચિતતા
tsot	ફોલ્ડ
bwit	સીમા
tres	તણાવ
hkof	વપરાશ
nyen	ભરચકહોવું
hles	મળતા
cyek	લૂંટફાટ
hjis	સોય
gjan	ઘટના
prec	વર્તે
drot	નિયંત્રણ
kcek	વળાંક
twic	ચિકન
brak	બેરલ
zwat	રીઢો
clap	રીઢોપાસા
tsec	નિષ્ણાત
bwin	પ્રભાવિત
cwet	સીમિત
hbek	બેકર
zlin	ઓલિવ
mron	વેન
drin	સમર્પિત
psap	છતી
gjin	જન્મદિવસ
clut	હથોડી
cwun	સુગંધિત
twaf	તુચ્છ
pcot	પાલતુ
krok	ખોપરી
dlik	વિધાનસભા
cwic	સદનસીબે
srun	ભવાંચડાવવા
crec	નાશ
jlan	ગાળો
kcip	ચેમ્પિયન
blin	અબજ
ryik	રાસાયણિક
mlas	પલ્સ
flit	પાયલોટ
hzet	ગાંઠ
cwik	જાજરમાન
twet	સ્કર્ટ
mwik	સાપ્તાહિક
tfis	ટેકનિકલ
tlon	વાહન
cram	મનખુશકરનારું
grac	મજબૂત
kraf	કાગડો
trup	લક્ષણ
hduk	હૂક
cruk	વાઘ
nrap	ઘરનીસંભાળરાખનારવ્યક્તિ
crot	હાઇવે
mlip	લશ્કરની
hfoc	ફોટોગ્રાફ
nres	અખંડિતતા
plos	વત્તા
tfam	પારદર્શક
nlic	ઓગણીસ
hwok	લાયક
nlen	નિબંધ
fyic	કાર્યક્ષમતા
hwuk	અનન્ય
hgok	કાર્બનિક
flic	ધર્મશાસ્ત્ર
flot	ફ્લોટ
hboc	ઉપકાર
hwoc	ડાકણ
syot	સ્ટુડિયો
cwip	શેમ્પેઇન
hbes	બેનર
lwic	છૂટાછેડા
blot	બોલ્ટ
cwot	કેદમાંથી
cwam	નસ
prik	નિષ્ક્રિય
hfum	ફીણ
grik	કાંકરી
zrin	આવરણ
gren	ગ્રહ
hfuc	પુનર્જીવન
claf	છાજલી
flas	ચાહક
hjot	ઉષ્ણકટિબંધીય
hbim	મનસ્વી
krek	બુધ
hbec	હિતકારી
tsaf	આત્મહત્યા
pwas	રાખવી
plot	પત્રકાર
kfak	ચૂકવાય
blak	અટારી
hdos	ડાઘ
kwis	ઉત્તમનમૂનાના
kcos	દોષારોપણ
psen	પેન્શન
kres	ક્રિયાપદ
hzon	મંકી
srim	સહી
glin	અનિચ્છા
mlut	કુખ્યાત
myot	આયાત
fwac	સ્થાપક
troc	મશાલ
hgaf	વ્યાકરણ
hyop	યાટ
ksip	લુપ્ત
sres	પર્યટન
hnup	ગુંબજ
hzun	હઠીલા
mric	સ્નાયુ
gjat	તીવ્રતા
hros	ઘસવું
zrac	કાયર
tros	ટોસ્ટ
myus	માઉસ
dwac	સંવાદ
byak	બકરી
htef	દરજી
hfek	ખીલી
dzan	લાદી
nyon	અનામી
zrit	ઔપચારિકરજિસ્ટર
pcos	રમતો
hjec	મેલ્ટ
dlas	કાઢી
mras	છત્ર
mram	ખનિજ
cwut	યુદ્ધવિરામ
hbok	ડક
swun	સાબુ
dwak	ઢીંગલી
plif	વિલા
slon	સીવણ
tfut	અભિનંદન
djac	સમાધાન
hjas	દબાવવા
kric	સસલું
kwot	વાહક
gzan	ગેરંટી
clot	ખેલાડી
ksek	જંતુ
psam	મુદ્રામાં
mwut	ઘુવડ
htem	કાયમ
clon	વાયોલિન
dzin	નિવાસી
rwim	અનુક્રમે
hyof	લાભદાયી
dron	ડ્રેગન
dwit	શ્રાવ્યપુરવાર
sroc	નિકાસ
hzot	સમાપ્તિ
djik	લંબાવું
kfik	ઢાંકણ
ryun	નિયમન
hmes	મેયર
rwac	હાર્ડવેર
sruk	સર્કસ
sros	લઘુમતી
bzan	હુલ્લડ
kset	ઓર્કેસ્ટ્રા
bjon	બેકન
hjut	અનલિમિટેડ
tfen	બચાવ
zwac	ગેરલાભ
dyin	વિમર્શ
myis	સંગીતકાર
mlis	માનસિક
pret	અપૂરતું
tsek	આર્કિટેક્ટ
hlom	લીંબુ
ksos	ઉધરસ
crok	માથાનોદુખાવો
flin	પ્રજનનક્ષમતા
mrun	સુથાર
swec	રેન્ડમ
syuk	ચમચી
blun	બલૂન
tcep	ચાક
fric	નાસ્તો
rwik	ઊભી
rwen	અટકાવી
flet	અનુમાનિતપુરવાર
pfac	પ્રકાશક
srek	સરકો
tfun	ટનલ
pwet	પઝલ
gyik	ગણિત
fwot	ફેડ
lwin	સંતુલિત
jwin	યકૃત
bwik	sublativeકેસ
hdup	ડુબાડવું
hnop	ઈજારો
bwic	સબમરીન
ryen	અનુલક્ષીને
hcem	ભૂકંપ
hbos	પ્રયોગશાળા
nrek	કાર્યકર
ryim	લય
nyic	અર્થઘટન
dwas	એલચીકચેરી
rwok	ઉત્તેજિત
kram	અક્ષમતા
ksim	ઘોષણાત્મકમૂડ
clok	ચોકલેટ
pcec	વિશેષાધિકૃત
nyis	સંન્યાસી
tyoc	સંયોગ
grak	શરૂઆતથી
zlat	હાથમોજું
hjuk	નમવું
trif	ભૂગોળ
djit	વ્યવસ્થિત
pson	અદમ્ય
mwis	રોકાણ
cwec	મૌખિક
hdek	ધર્મનિરપેક્ષ
blik	હોક
sloc	મનોવિજ્ઞાન
brap	સ્ક્રેપ
jlat	પાઇરેટ
dros	માત્રા
slam	સૅલ્મોન
pwun	ખીર
gwik	ચુંબકીય
pcop	પંપ
myen	એજરીતે
ksen	પ્રાણવાયુ
mrap	ફોરમેન
tfot	પ્રમાણપત્ર
ksus	ક્લસ્ટર
trok	રેટરિક
tloc	આડોદાંડો
zyan	હલેસું
nlun	પ્રવેશ
hlop	ટેલિસ્કોપ
jlin	જોડણી
lyut	વાદળછાયું
hsof	સર્ફ
fyik	વ્હિસ્કી
klet	પ્રમાણમાં
hwof	વિલો
hlum	ઊંટ
myet	કલાપ્રેમી
klis	અલગતા
hbaf	જીવનચરિત્ર
gwac	ગધેડો
hwum	અફવા
pwik	પરિપ્રેક્ષ્ય
pron	પ્રો
myes	માસિક
mwen	દિવાસ્વપ્ન
kfic	વેકેશન
klek	ક્લિક
cwon	અંડાકાર
lyak	સ્થિતિસ્થાપક
kwon	શબ્દકોશ
hjam	હેમ
rwon	રેઈન્બો
crip	આથી
zwan	બનતું
srok	સંપાદકીય
craf	શારીરિક
tlok	ટાંકી
brip	બટરફ્લાય
tfap	ચાર્ટ
jwat	ટ્વીન
pros	ઓપરેટિંગ
psun	શકુન
clet	દુ:ખી
hbus	વાંસ
dyas	વેપારી
klun	સંચય
jlit	સર્વસંમત
hdom	નાઇટમેર
kron	કાર્બન
hzam	જામ
cyot	સાંભળનાર
hmem	મ્યુઝિયમ
lwam	મુળાક્ષરો
fras	છૂટાછવાયા
psoc	પંચ
hgum	ગમ
brek	બ્રેક
glit	સ્થિરતા
frun	રોટ
gris	આક્રમક
mroc	ઘર્ષણ
bzit	સ્પાઇડર
plut	બટાકાની
glac	લોભ
gzac	ગુણાકાર
prun	સ્પિન
jlet	કૅલેન્ડર
nyim	નોમિનેશન
tlos	ટ્રિલિયન
slut	કચુંબર
fwit	હકારાત્મકમૂડ
pyen	કાર્યક્રમો
nlon	નજીવી
dren	નિદર્શન
drun	અસંતોષ
cyok	આંચકો
hfop	ફૂટબૉલ
ryac	ભાગીદારી
gzin	અગ્રણી
hgip	કોબી
tyet	એથલેટિક
hdof	ideophone
hwup	અમૂલ્ય
lwek	લીવર
syec	સેનેટર
jyak	સમાવવા
mlim	કીડી
fwic	અસરકારક
gzit	ગર્ભવતી
blas	રિલાયન્સ
jrin	દરરોજ
gwak	પગનીઘૂંટી
drik	વિચિત્રરીતે
prif	ચલ
jwit	વિવિધતા
krip	ભેદભાવ
ryot	awed
nwut	સુતેલા
kcif	સક્રિય
jrak	ફ્રોગ
twek	exessiveકેસ
psot	પ્રાયશ્ચિત
pfon	સ્પોન્જ
sluk	ખિસકોલી
nlim	irrealisમૂડ
ksaf	અછત
glak	જ્વાળામુખી
plen	સંતુલન
kfaf	ખેસ
kyon	શોષણ
jlik	ભૌગોલિક
psop	પાસપોર્ટ
kfis	ખાલીજગ્યા
fyon	આકર્ષણ
nram	અનૈતિક
hbuk	બિસ્કિટ
gras	સગડ
hyos	બુદ્ધિશાળી
flim	ફિલ્મ
plet	ગોળી
rwam	અણુ
blis	વેનીલા
zlit	એડ્સ
fyut	અભિર્રચીમાંચોખલિયું
crim	પિરામિડ
hjif	ગેરકાનૂની
crif	સંકોચ
lwap	તંતુવાદ્ય
tyon	ખગોળશાસ્ત્ર
mrim	મેઝ
drut	વર્ણનાત્મક
nrim	શિષ્યવૃત્તિ
kruc	ટર્ટલ
kwam	સલાહકાર
jrik	ક્રિકેટ
dlut	દર્શાવવા
pyot	કબૂતર
dyon	અનુકૂલન
prap	ઓપરેટર
bzin	બેજ
tyek	ત્રિકોણ
trec	ખજાનચી
nron	હાઇડ્રોજન
pyet	પ્રિન્ટર
tsok	ચોક
zyin	ક્રોનિક
slek	સાયકલ
jyin	એન્જિનિયરિંગ
ryas	ટ્રાન્સમિશન
zrak	તાજું
nyas	નૃત્યાંગના
gric	સ્થળાંતર
zlak	ઉલ્લંઘન
tces	ટેનિસ
hjun	તોફાની
twen	વણાટ
kyet	કલેક્ટર
gwit	કરોડરજ્જુ
kyot	તાર
fwin	આવૃત્તિ
tfuc	લૂમ
dlet	ડિરેક્ટરી
pfik	વિચારક
bjet	બજેટ
trek	વ્યૂહરચના
kros	ક્વાર્ટઝ
gjit	કાતર
gwic	સ્વીચ
frik	સૈદ્ધાંતિક
tluc	ટુવાલ
pruc	પેટ્રોલ
glic	હિમનદી
krun	સંપૂર્ણતા
bjin	આગાહી
tlaf	ભાગ
tfet	ઉત્પાદક
bras	બાજુની
dwik	પ્રતિવાદી
clec	એક્ઝોસ્ટ
cres	ચેસ
tcef	ચેરી
tcom	ઠોકર
nyot	અનુવાદક
tyok	ટ્રક
cyip	વટાવી
grot	મસ્ટર્ડ
bris	વાયરલેસ
nlam	હરાજી
slif	ચાળણી
hgos	રસ્ટ
swoc	unsteady
jyat	નાદાર
slum	ઇસ્લામ
hjes	સેન્સસ
dzat	ચોરપગલેચાલવું
slun	સ્થગિત
nwot	સાતત્ય
gyic	ગિટાર
pfas	પૂર્વગ્રહ
zyik	ઝીંક
blen	મજાની
hyem	એનામનુંએકવૃક્ષ
hnep	ભાંખોડિયાંભરથઈને
nyut	ગૂંથેલા
ryam	સર્વનામમાર્કર
clim	મસાલા
jret	હોશિયારી
tfon	પીંજવું
jwac	જાવા
hrep	રેસીપી
dyac	ફ્રેન્ચાઇઝ
myip	મીટર
rwis	વંશીય
hkem	ધૂમકેતુ
nwon	નવીનતા
zwin	પ્રતિબંધ
dyis	મધ્યયુગીન
mrec	સ્પેરો
fyot	ફૂટનોટ
mlon	માપ
pfis	બહાલી
rwot	આસપાસપરિભ્રમણ
hfok	કરકસરિયું
glof	ગોલ્ફ
zron	શૂન્ય
hzip	ઝિપ
hwom	બેઘર
bjic	ચાવવાની
pcim	પરિપૂર્ણ
hjip	ચિપ
bwac	બગાસુંખાવું
mlos	છછુંદર
mrip	માટીકામ
bron	ગર્ભ
ksoc	કપાત
cyum	આથો
jyan	કલકલ
plim	સરસવસ્તુ
mwet	કબ્રસ્તાન
ryet	સ્નાતક
glik	સિંચાઈ
plap	મૂડીવાદી
tsif	સ્થિતિસ્થાપકતા
gyak	શાર્ક
djon	મૂળભૂત
nwun	નિયમિત
cles	વાસ્તવવાદ
dris	વધુનેવધુ
hkef	કાફે
blus	એમ્બ્યુલન્સ
blap	વૉલેટ
bjak	ઊર્મિલ
klim	ચેનચાળા
gyac	વૈજ્ઞાનિક
jyit	સ્વભાવનીસ્વસ્થતા
dzit	વાસ્ત્વીક
bwak	આઉટડોર
dyot	રેડિયો
bwon	બીન
fris	અનૌપચારિક
klut	અનુમાન
tfek	ટુકડો
nrok	નાઇટ્રોજન
zyat	રેઝર
bram	ગણગણવું
ryis	પ્રારંભિક
nlip	વિશ્લેષણ
nros	વિરોધાભાસી
hcof	કપડાંઉતારવાં
tfif	પ્રોત્સાહન
kroc	ચાસ
hdum	યહુદી
pses	પ્રાપ્તકર્તા
plok	પૂરક
lyet	લેન્સ
pwek	pegativeકેસ
kfas	કેન્સર
pwen	પ્યાદુ
nrun	રીમાઇન્ડર
clek	લીક
pcif	ન્યાયી
glas	જટિલતા
zwit	વાચાળ
kces	પર્યાપ્તતા
crem	રિટેલ
grap	ગ્રેબ
kwip	દરમિયાનગીરી
dyut	ડિસ્કાઉન્ટ
crus	વંશવેલો
gyet	જેડ
gram	Snarl
kyip	ગરોળી
nyet	પેડ
crop	ધોધ
glon	ગેલન
mrok	મચ્છર
fluc	અસ્ખલિત
dwic	વિચલન
slec	એક્સપ્લોરર
srec	નિવૃત્ત
blut	કુસ્તી
myok	મોઝેક
tlek	પ્લગ
nruk	ચેપી
nwoc	હવેથી
bjut	બેસવું
hges	ગર્ભાવસ્થા
twoc	કરિયાણાની
kyos	સામ્યવાદી
mrek	આશ્ચર્યપમાડવું
clip	પરિતાપ
pwok	prosecutiveકેસ
dwot	સરમુખત્યાર
zyac	અગમચેતીએ
jlic	સેટેલાઈટ
slop	સ્લીપર
ryip	પ્રમાણસર
psim	આશરે
byet	બેરોજગાર
cyop	હોબી
rwun	માપદંડ
blop	બલ્બ
syok	સમર્થક
klos	ક્લોરિન
lwot	ક્લોરાઇડ
byic	બેક્ટેરિયા
lyik	ભેજવાળા
blok	જૈવિક
jlac	ભજવવો
bret	બાઇટ
krif	સ્ત્રાવના
blet	બેલેટ
nruc	પેશાબ
tsus	લસણ
dyak	મધ્યમવર્ગ
tcem	સાણસી
cyoc	પડકારરૂપ
trep	સ્ટ્રોબેરી
dlun	પ્રદૂષણ
hlup	આલ્બમ
hbep	બેઝબોલ
praf	ચાંચિયાગીરી
pwis	કૃદંત
grek	ગેરેજ
kruk	ઘોડી
hfof	ફોસ્ફરસ
rwut	માળખાકીય
myam	અખાડો
krec	ક્રેન
jras	ઠેકેદાર
zrik	સૂચિત
blam	બોલરૂમ
klip	કારીગર
hwef	અવેતન
zlac	બનાના
gret	જનરેટર
lwuk	પાંસળી
nyek	નિકલ
blos	બસ
sles	સેન્સર
tlif	ટાઇલ
kses	ફુલમો
mwot	ટમેટા
lyot	ઓટો
tsom	પોટેશિયમ
brut	વર્ચ્યુઅલ
djap	બીજગણિત
hjok	સામાન્ય
kfen	ખ્યાલો
pcok	ઓપ્ટિકલ
bzut	બજ
syek	બેરોજગારી
mruc	ઈયળ
bwas	બ્રાઉઝર
klif	કેલ્શિયમ
rwet	દૂરનાભૂતકાળમાંતંગ
srif	ઐતિહાસિકતંગ
hwem	સ્પેક્ટ્રમ
syom	સોડિયમ
tyos	ટ્રસ્ટી
jyic	બાન
hguk	તુંબડીકેતુંબડું
dwun	સળ
swip	સ્પાઇક
tlec	ટીક
blaf	બળાત્કાર
tsem	નાસ્તિકવાદ
mloc	મોનીટર
gyot	શરતી
trop	તપાસ
rwap	ત્રિમાસિક
hjep	લિંગ
pyim	પ્લેટિનમ
dlon	ડ્યુઅલનંબર
pcep	ફેફસાંના
twuk	સોર્સિંગ
tyec	ટેગ
syup	સુપર
trom	ટ્રોલી
nyip	સ્થાનિક
glis	ગેસોલિન
gjik	કિડની
hjos	અડ્યાવિના
hjuc	લૂંટ
swek	overworked
psek	આર્સેનિક
twok	આંકડાકીય
tsep	ખડમાકડી
slos	સમાજવાદી
nwim	સંવેદનાત્મકપુરવારમૂડ
tlop	tablecloth
trus	વિવાદાસ્પદ
pwot	કાબૂમાંરાખવું
djot	કચરા
nloc	સ્નબ
mwon	Mandarin
hjek	જોકી
crom	સહકાર
myon	ન્યુમોનિયા
twec	આવેલું
ryek	રોકેટ
dlic	ડિવિડન્ડ
kwet	સ્કેટ
bwen	વળગાડ
plon	ફાળવણી
syon	ઝંખના
djis	ડિજિટલ
byut	કૂતરી
hyep	પોપચાંની
dwon	કર્ણ
byis	અર્ધજાગ્રત
brec	ભમર
cyec	છીંક
hwop	વીજળિકશક્તિનામાપનોએકમ
clus	આનંદી
kfun	ભોગવટો
nwum	હિંદુ
fyim	શરણાર્થી
cwos	શટલ
tfoc	શૂળ
pwon	પ્રોટીન
sraf	સ્વસંતોષ
hbom	ઉલટી
gyen	જનીન
drim	નવા
trem	સૈનિકસામગ્રી
tsup	વિમૂઢકરવું
slok	સમાજશાસ્ત્ર
kwoc	સ્ક્વૅશ
bwam	મતદાર
mlok	ગતિશીલતા
kyen	પ્રાદેશિક
hmop	ગતિચઢાવ
rwek	પાછલી
kfup	સમઘન
grok	ગાજર
drap	ફસાવવું
lwis	પરમાણુ
ksuc	એકાઉન્ટન્ટ
tsop	Stink
kyok	કાકડી
nroc	અનિયંત્રિતમદ્યપાન
jlot	દ્રાવક
psof	ફોસ્ફેટ
hgif	મુગ્ધ
kfim	આલ્કલાઇન
psos	જિમ્નેસ્ટિક્સ
pfen	ચકાસણી
kcom	અર્થશાસ્ત્રી
krom	અલ્પવિરામ
tluk	સળવળાટ
hyom	આયોડિન
nwuc	ગતિઉતાર
gjac	કસુવાવડ
pcom	પોડ
dzic	ડીઝાઈનર
grun	અહંકારગ્રસ્ત
dzot	દાતા
hzek	મેંગેનીઝ
kfot	કીબોર્ડ
jlas	અવિશ્વસનીય
lyim	ચુનંદા
jyen	યેન
pcaf	કૌંસ
rwip	રગ્બી
blip	બાઇબલ
kyoc	કૌસેશન
lyon	અલ્સર
flis	રૂપાંતરિત
nrif	વખોડવું
kfam	ક્વોન્ટમ
swes	સ્વેટર
lwon	ઉત્ક્રાંતિ
drec	ડિસેક્શન
gjap	સ્પા
lyec	રેખીય
tyom	એન્ટિમોની
pwuk	superessiveકેસ
flaf	આલ્ફા
myim	રોગપ્રતિકારક
pcek	અપહરણ
bjac	શરાબ
bzac	ઘટાડવું
bzak	કાચળીઉતરે
twes	ટેલિવિઝન
dwut	દસ્તાવેજી
ksom	બ્રહ્માંડ
lyis	ફોરેસ્ટ્રી
lwim	એલ્યુમિનિયમ
ksok	જન્માક્ષર
sruc	ઝડપી
dlif	ડોલ્ફિન
byik	કિલર
tfec	સ્ટેશનરી
hjaf	સસ્તન
ryok	પ્રોટોકોલ
dwis	ડાયોક્સાઇડ
jlon	કોલોન
brus	અમલદારશાહી
gjak	ગેલેક્સી
lyip	તબીબી
ryem	રેડિયમ
href	પાતળુંપડીગયેલું
prok	રેફ્રિજરેટર
slep	હવસખોરમાણસ
dret	પુનરાવૃત્તિ
kluk	પુરાતત્વીય
dlis	શૈલી
kfip	અસ્વીકાર્ય
mlec	મસાજ
pfif	સ્પષ્ટીકરણ
nrec	સંવેદનાત્મક
pfet	પત્રિકા
hzoc	મૂળમાં
dlam	આદર્શ
nlec	એન્થ્રોપોલોજી
kluc	સ્વાદિષ્ટ
dyet	સેડાન
tyif	સંક્રામક
krus	નીચુંનમવું
nluc	સૂર્યમુખી
lyun	આયન
zrot	પ્રત્યાર્પણ
ksif	falsify
psif	ઉત્સર્જન
crup	સામ્યતા
fret	શોધક
grut	ઉલટાવો
ksec	સહાધ્યાયી
jric	ઇટિનરરી
mrop	માઇક્રોવેવ
srus	કાઢીમૂકવું
gyas	હેરડ્રેસર
floc	ફોકલોર
plek	રક્તવાહિનીના
nwop	નિતંબ
nrom	નિયંત્રક
twos	આતંકવાદ
lwok	સૂત્ર
dwet	સમય
slem	વરાળનું
grip	જાળી
gwas	વાહ
kwok	કોબાલ્ટ
gwon	ધાન્યનિપજાવનારુંએકજાતનું
hdop	ગતિupriver
glam	ગુદા
bwot	બોવાઇન
bren	આંતરડા
byot	વિડિઓ
bjik	બહિષ્કાર
kwim	ક્વિઝ
cwek	હોકી
grif	ગેરિલા
hgem	મેગ્નેશિયમ
hyes	જાગૃતિ
fram	ફાર્મસી
nwos	unambitious
ryap	ફરીથીગોઠવવા
cwim	વિશ્વસનીયતા
klep	કેલ્પ
psec	ભરપાઈ
djic	વિશ્વભરમાં
kfut	સંચારબંધી
crep	હેમબર્ગર
frim	પ્રમેય
gjas	સળગાવવું
hdef	ડેબિટ
ryum	યુરેનિયમ
pluk	આકારણી
krop	સંકલન
nraf	કરદાતાના
tyes	સંકલિત
plip	માનવું
hgom	ગામા
hgus	ગુણાંક
cwuc	હીટર
zret	બાદબાકી
nles	વિશ્લેષક
trof	અકર્મક
hmof	મોલ
hzim	દવામાંવપરાતીશ્વેતરંગની
dzac	ડીનર
psok	પોસ્ટકાર્ડ
blon	સંપાત
djet	વિષયાંતરકરવું
ksum	શેરહોલ્ડર
mrup	માઇક્રોબ
clif	હેલિક્સ
cloc	મોર્ફોલોજિકલ
tfes	વ્યવસ્થાપક
gjis	જિન્સ
jren	ગોઠવણી
tlep	ડેટાબેઝ
kcup	કૂપન
glot	વિદ્યુત્સ્થીતિમાન
glut	કેલ્ક્યુલેટર
srep	cyberspace
nwes	રોકાણકાર
ksef	એક્સરે
bzis	વિઝા
frut	ઈન્ફ્રાસ્ટ્રક્ચર
nyuk	Firefly
dyik	શોધનારને
plec	સાંધાવાળા
brom	બ્રોમિન
plop	પેલેડિયમ
zlik	સિલીકોન
flut	વોલ્ટ
ksop	કોસ્મેટિક
gjun	માવજત
kfok	હેડકી
hpof	પોપકોર્ન
hzuk	ઝૂ
nyoc	સૂચિતાર્થ
jwak	યોગા
brim	બેરિયમ
kles	શિરચ્છેદ
mwam	હા
fwik	રોશની
djas	જાઝ
dyim	ઓડિયો
tsum	ટંગસ્ટન
drip	લાળ
lyaf	ખોરાકી
prom	પ્રોગ્રામર
nrup	ઇનપુટ
hfes	કર્તૃત્વવાચક
rwaf	ક્રાયસન્થેમમ
dlen	દસ્તાવેજીકરણ
byas	રસી
fron	હેરોઈન
dluk	ડિસ્કનેક્ટકરો
dyun	નિદાન
flap	ફોલ્ડર
kfet	કેથોડ
dlim	વિચારધારા
prek	પાર્કિંગ
syoc	સ્નેપશોટ
slus	ઉપલ્બધતા
nlos	anticlimax
mlen	સેલેનિયમ
pres	આચ્છાદન
hlof	સલ્ફર
nlek	વર્તમાનઅનુરૂપતામાર્કર
gwot	એરપોર્ટ
mwip	imposter
klop	વંદો
kwom	ક્રોમિયમ
hl6t	લિટર
nwec	તેમછતાં
glip	ચક્રીય
nrop	પેરોલ
crum	હોર્મોન
dlep	વિકાસકર્તા
frot	છિદ્રવાટે
bwoc	ભાંગફોડ
fwis	નારીવાદી
djok	અનુબદ્ધ
draf	આધુનિક
trum	આત્યંતિક
graf	અલ્ગોરિધમનો
lwes	લેસર
mlem	મિલિમીટરની
flen	ફ્લેક્સ
zlot	એનોડ
swok	snuggle
klec	કૂતરોથાકેલા
pwim	ભાગસમય
htuf	ટ્યૂના
fyis	રિફાઇનરી
lwet	સંવેદનશીલતા
mrem	મેઇનફ્રેમ
jwic	કાયાકલ્પ
droc	નિદર્શનકાર
clem	હિલીયમ
dzik	દ્વિભાષી
psem	પ્લાઝમા
hjom	રંગસૂત્ર
rwuc	કમવાચક
tyus	પૂર્ણાંક
klom	કિલોમીટર
hfos	ફેક્સ
nwek	જીનેટિક્સ
jrap	screwdriver
zwas	appetizer
bwok	બ્રોકોલી
dwap	એડેપ્ટર
syem	સ્પામ
blek	વેક્ટર
tlus	યુક્તિ
pyif	અનુલ્લેખિત
cwoc	ઠીકછે
mrep	એમ્પીયર
hbem	વિટામિન
hxan	દરવાન
hxut	સબસિડી
hk6m	કેડમિયમ
hxin	સમકાલીનતા
txin	ટાઇટેનિયમ
kxin	કિલો
klum	જાતીયસંભોગકરવો
xlis	રેતીનીઘડિયાળ
hqak	વાકયરચનામાં
hxat	સર્જનાત્મકતા
hxik	ઈપુસ્તક
hxas	કામ
bxon	ટંકણખારમાંદેખાતુંઅધાતુતત્વ
dxin	ઇન્ડક્ટન્સનું
hxit	હેલિકોપ્ટર
tlum	Tellurium
txit	અન્તિમરેખા
kxat	ઓક્સિડાઇઝ
hvik	સંરેખિત
nluk	એનાલોગ
nyem	સેન્ટીમીટર
hm6t	molybdenum
hl6m	લિથિયમ
ht6t	મલ્ટીમીડિયા
xlit	કેલરી
ryop	રોબોટ
pxas	ફાર્માસિસ્ટ
hxak	ગૃહકાર્ય
lwif	locative
grim	લઘુગણક
hqat	Mantis
qlit	ઇકોલોજી
xlik	sophisticate
mlep	નમૂનો
hqit	કિરણોત્સર્ગ
kxim	કિલોગ્રામ
hxen	ભાડુઆત
hxot	overeat
kyif	કોપિયર
fwet	ફ્રિવેર
txet	ઉપગણ
hs6n	ક્રમાંકિત
hxet	પારકીવાતછુપાઈનેસાંભળવી
xrat	વાળ
hqan	જપ્ત
hr6t	ઈરીડીમ
bxat	બેન્ડવિડ્થ
dxet	ડેસ્કટોપ
hxis	ઘાતાંકીય
hxok	મથક
hxek	ખોટીજગ્યાએરાખવું
srem	Cerium
hp6t	પાડનારું
pxik	પાડનારુંકેસ
kxet	કેસેટ
pruk	સુપરમાર્કેટ
hvit	willpower
xlin	ઓફલાઇન
frip	એન્ક્રિપ્શન
hvep	overpay
hxon	સુમેળ
kxit	મહત્તમ
hqin	પરિસંવાદ
tr6n	સ્ટીરિયો
ht6n	fastener
hvat	આગામી
sl6s	સેલ્સિયસ
hn6n	નિઓન
ts6t	વાસ્તવિકસમય
hvin	સુવ્યવસ્થિત
pxat	ન્યૂઝસ્ટેન્ડ્સ
myoc	મોડ્યુલ
ps6s	પાસ્તા
bwek	બ્રીફકેસ
dlok	ડિલક્સ
fraf	ફાયરવોલ
hr6k	આર્ટિફેક્ટ
txat	બપોરનાભોજનનોસમય
hqon	oregano
pxun	પ્લુટોનિયમનો
ks6n	વર્કસ્ટેશન
slef	એસ્કેલેટર
xrit	Lifeguard
hvut	ઠાંસીઠાંસીનેભરવું
xrim	યટ્રીમ
hx6t	વૃદ્ધિશક્તિદર્શક
hqum	વપરાશકર્તાનામ
hl6n	salespeople
gron	એર્ગોનીયોન
pxan	પ્રમોશનલ
hvac	dishwasher
xlan	વૈશ્વિકીકરણ
txon	તરંગલંબાઇ
xrik	રિસાયકલ
hxap	backpack
hxac	પુનઃપ્રારંભ
xyat	હિપેટાઇટિસ
cwep	paycheck
hxos	ટોરસ
txif	ટાઇપફેસ
qlat	રિયલ્ટર
txot	મધ્યપાનખર
hxam	મિલિગ્રામ
pxis	પિક્સેલ
pwif	પૂર્વાવલોકન
txam	ટેન્ટેલમ
myek	થર્મોડાયનેમિક
