hnit	infinitif
zwin	interdire
dyis	médiéval
mrec	moineau
fyot	notedebasdepage
mlon	lamesure
pfis	ratification
rwot	orbite
hfok	frugal
glof	golf
zron	zéro
hzip	Zip*:français
hwom	sansabri
bjic	mastication
pcim	remplir
hjip	puce
bwac	bâillement
mlos	môle
mrip	poterie
bron	embryon
ksoc	déduction
cyum	levure
jyan	jargon
plim	prune
mwet	cimetière
ryet	diplômé
glik	irrigation
plap	capitaliste
tsif	élasticité
gyak	requin
djon	défaut
nwun	ponctuel
cles	leréalisme
dris	deplusenplus
hkef	café
blus	ambulance
blap	portefeuille
bjak	enextase
klim	grimace
gyac	scientifique
jyit	équanimité
dzit	réaliste
bwak	depleinair
dyot	radio
bwon	haricot
fris	informel
klut	spéculer
tfek	bifteck
nrok	azote
zyat	lerasoir
bram	murmurer
ryis	préliminaire
nlip	analyser
nros	contrastant
hcof	déshabiller
tfif	motivation
kroc	sillon
hdum	judaïsme
pses	bénéficiaire
plok	complément
lyet	lentille
pwek	pegativecas
kfas	cancer
pwen	pion
nrun	rappel
clek	fuite
pcif	justification
glas	complexité
zwit	bavard
kces	suffisance
crem	venteaudétail
grap	saisir
kwip	intervenir
dyut	remise
crus	hiérarchie
gyet	jade
gram	gronder
kyip	lézard
nyet	tampon
crop	cascade
glon	gallon
mrok	moustique
fluc	facile
dwic	déviation
slec	explorateur
srec	expirant
blut	lutter
myok	mosaïque
tlek	prisedecourant
nruk	infectieux
nwoc	désormais
bjut	s'accroupir
hges	grossesse
twoc	épicerie
kyos	communiste
mrek	étonner
clip	contrition
pwok	prosecutivecas
dwot	dictateur
zyac	lapréoccupation
jlic	Satellite
slop	pantoufle
ryip	proportionnel
psim	approximatif
byet	sansemploi
cyop	Loisir
rwun	critère
blop	bulbe
syok	supporter
klos	chlore
lwot	chlorure
byic	bactéries
lyik	gluant
blok	biologique
jlac	feindre
bret	octet
krif	sécrétion
blet	ballet
nruc	urine
tsus	ail
dyak	classemoyenne
tcem	pinces
cyoc	difficile
trep	fraise
dlun	lapollution
hlup	album
hbep	base-ball
praf	lepiratage
pwis	participe
grek	garage
kruk	béquille
hfof	phosphore
rwut	deconstruction
myam	gymnase
krec	grue
jras	entrepreneur
zrik	notifier
blam	salledebal
klip	artisan
hwef	nonpayé
zlac	banane
gret	Générateur
lwuk	nervure
nyek	nickel
blos	autobus
sles	censurer
tlif	tuile
kses	saucisse
mwot	tomate
lyot	auto
tsom	potassium
brut	virtuel
djap	algèbre
hjok	générique
kfen	concepts
pcok	optique
bzut	bouger
syek	chômage
mruc	chenille
bwas	navigateur
klif	calcium
rwet	éloignépassétendu
srif	historiquetendu
hwem	spectre
syom	sodium
tyos	curateur
jyic	otage
hguk	gourde
dwun	ride
swip	pointe
tlec	cocher
blaf	râpé
tsem	athéisme
mloc	moniteur
gyot	conditionnel
trop	sonde
rwap	trimestriel
hjep	legenre
pyim	platine
dlon	doublenombre
pcep	poumon
twuk	récurage
tyec	Étiquette
syup	super
trom	chariot
nyip	localement
glis	del'essence
gjik	lerein
hjos	sanssurveillance
hjuc	butin
swek	surchargésdetravail
psek	arsenic
twok	statistique
tsep	sauterelle
slos	socialiste
nwim	sensorielévidenthumeur
tlop	nappedetable
trus	controversé
pwot	laisse
djot	sédiment
nloc	snober
mwon	mandarin
hjek	jockey
crom	coopérer
myon	pneumonie
twec	situer
ryek	fusée
dlic	dividende
kwet	patin
bwen	obsession
plon	attribution
syon	haleter
djis	numérique
byut	chienne
hyep	paupière
dwon	diagonale
byis	subconscient
brec	sourcil
cyec	éternuement
hwop	watt
clus	hilarant
kfun	occupation
nwum	hindouisme
fyim	réfugié
cwos	lanavette
tfoc	pincement
pwon	protéine
sraf	autosatisfait
hbom	vomir
gyen	gène
drim	étudiantdepremièreannée
trem	accoutrements
tsup	briser
slok	sociologie
kwoc	squash
bwam	électeur
mlok	mobilité
kyen	régional
hmop	mouvementmontée
rwek	rétrospective
kfup	cube
grok	carotte
drap	prendreaupiège
lwis	moléculaire
ksuc	comptable
tsop	puanteur
kyok	concombre
nroc	orgie
jlot	solvant
psof	phosphate
hgif	fasciner
kfim	alcalin
psos	gymnastique
pfen	vérification
kcom	économiste
krom	virgule
tluk	frétiller
hyom	iode
nwuc	mouvementunedescente
gjac	faussecouche
pcom	cosse
dzic	designer
grun	vantardise
dzot	donneur
hzek	manganèse
kfot	clavier
jlas	nonfiable
lyim	élite
jyen	yen
pcaf	parenthèse
rwip	lerugby
blip	Bible
kyoc	causalité
lyon	ulcère
flis	fléchie
nrif	grignoter
kfam	quantum
swes	chandail
lwon	évolutionniste
drec	dissection
gjap	spa
lyec	linéaire
tyom	antimoine
pwuk	superessivecas
flaf	alpha
myim	immunitaire
pcek	enlèvement
bjac	Brasserie
bzac	abréger
bzak	chaussette
twes	télévision
dwut	documentaire
ksom	cosmos
lyis	sylviculture
lwim	aluminium
ksok	horoscope
sruc	accélérer
dlif	dauphin
byik	tueur
tfec	papeterie
hjaf	mammifère
ryok	protocole
dwis	dioxyde
jlon	côlon
brus	bureaucratie
gjak	galaxie
lyip	clinique
ryem	radium
href	raréfié
prok	réfrigérateur
slep	satyre
dret	itération
kluk	archéologique
dlis	particularité
kfip	inacceptable
mlec	massage
pfif	spécification
nrec	sensoriel
pfet	brochure
hzoc	sous-tendre
dlam	idéalement
nlec	anthropologie
kluc	délicieux
dyet	sedan
tyif	transitif
krus	serecroqueviller
nluc	tournesol
lyun	ion
zrot	extradition
ksif	falsifier
psif	émission
crup	chevauchement
fret	chercheur
grut	inverser
ksec	camaradedeclasse
jric	itinéraire
mrop	microonde
srus	évincer
gyas	coiffeur
floc	folklore
plek	capillaire
nwop	fesses
nrom	manette
twos	terrorisme
lwok	slogan
dwet	heuressupplémentaires
slem	sublimé
grip	gril
gwas	sensationnel
kwok	cobalt
gwon	avoine
hdop	mouvementenamont
glam	anus
bwot	bovine
bren	intestin
byot	vidéo
bjik	boycotter
kwim	quiz
cwek	lehockey
grif	guérilla
hgem	magnésium
hyes	conscience
fram	pharmacie
nwos	sansambition
ryap	réarranger
cwim	fiabilité
klep	varech
psec	rembourser
djic	partoutdanslemonde
kfut	couvre-feu
crep	hamburger
frim	théorème
gjas	enflammer
hdef	débit
ryum	uranium
pluk	évaluer
krop	coordonner
nraf	contribuable
tyes	intégré
plip	opiné
hgom	gamma
hgus	coefficient
cwuc	réchauffeur
zret	soustraire
nles	analyste
trof	intransitif
hmof	centrecommercial
hzim	bismuth
dzac	dîneur
psok	cartepostale
blon	convergence
djet	faireunedigression
ksum	actionnaire
mrup	microbe
clif	hélix
cloc	morphologique
tfes	traiteur
gjis	jeans
jren	alignement
tlep	basededonnées
kcup	coupon
glot	Tension
glut	calculatrice
srep	cyberespace
nwes	investisseur
ksef	radiographie
bzis	visa
frut	Infrastructure
nyuk	luciole
dyik	détecteur
plec	épissure
brom	brome
plop	palladium
zlik	silicium
flut	volt
ksop	cosmétique
gjun	pansage
kfok	hoquet
hpof	pop-corn
hzuk	zoo
nyoc	connotation
jwak	yoga
brim	baryum
kles	décapiter
mwam	Oui
fwik	feud&#39;artifice
djas	jazz
dyim	Audio
tsum	tungstène
drip	dribble
lyaf	pension
prom	programmeur
nrup	contribution
hfes	réfléchi
rwaf	chrysanthème
dlen	Documentation
byas	vaccin
fron	héroïne
dluk	couper
dyun	diagnostiquer
flap	dossier
kfet	cathode
dlim	idéologie
prek	parking
syoc	instantané
slus	accessibilité
nlos	déception
mlen	sélénium
pres	cortex
hlof	soufre
nlek	courantpertinencemarqueur
gwot	aéroport
mwip	imposteur
klop	cafard
kwom	chrome
hl6t	litre
nwec	toutefois
glip	cyclique
nrop	paie
crum	hormone
dlep	développeur
frot	perforer
bwoc	sabotage
fwis	féministe
djok	conjuguer
draf	moderniser
trum	extrémiste
graf	algorithme
lwes	laser
mlem	millimètre
flen	fléchir
zlot	anode
swok	sepelotonner
klec	chienfatigué
pwim	àtempspartiel
htuf	thon
fyis	raffinerie
lwet	sensibilité
mrem	unitécentrale
jwic	rajeunissement
droc	démonstrateur
clem	hélium
dzik	bilingue
psem	plasma
hjom	chromosome
rwuc	ordinal
tyus	entier
klom	kilomètre
hfos	fax
nwek	lagénétique
jrap	tournevis
zwas	apéritif
bwok	brocoli
dwap	adaptateur
syem	Spam
blek	vecteur
tlus	tactique
pyif	nonspécifié
cwoc	D'accord
mrep	ampère
hbem	vitamine
hxan	portier
hxut	subventionner
hk6m	cadmium
hxin	simultanéité
txin	titane
kxin	kilo
klum	copuler
xlis	Sablier
hqak	syntaxique
hxat	lacréativité
hxik	elivre
hxas	lieudetravail
bxon	bore
dxin	inductance
hxit	hélicoptère
tlum	tellure
txit	datelimite
kxat	oxyder
hvik	aligner
nluk	analogique
nyem	centimètre
hm6t	molybdène
hl6m	lithium
ht6t	multimédia
xlit	calorie
ryop	robot
pxas	pharmacien
hxak	devoirs
lwif	locatif
grim	logarithme
hqat	mante
qlit	écologie
xlik	distordre
mlep	modèle
hqit	radioactivité
kxim	kilogramme
hxen	loueur
hxot	tropmanger
kyif	photocopieuse
fwet	freeware
txet	sous-ensemble
hs6n	séquentiel
hxet	espionner
xrat	laCoupedecheveux
hqan	mettreenfourrière
hr6t	iridium
bxat	bandepassante
dxet	bureau
hxis	exponentiel
hxok	siègesocial
hxek	égarer
srem	cérium
hp6t	partitif
pxik	partitifcas
kxet	cassette
pruk	supermarché
hvit	volonté
xlin	horsligne
frip	chiffrement
hvep	surpayer
hxon	synchroniser
kxit	maximiser
hqin	séminaire
tr6n	stéréo
ht6n	attache
hvat	prochain
sl6s	celsius
hn6n	néon
ts6t	réaltemps
hvin	rationaliser
pxat	kiosqueàjournaux
myoc	module
ps6s	Pâtes
bwek	mallette
dlok	deluxe
fraf	pare-feu
hr6k	artefact
txat	l&#39;heuredudéjeuner
hqon	origan
pxun	plutonium
ks6n	postedetravail
slef	escaliermécanique
xrit	Maîtrenageur
hvut	surcharger
xrim	yttrium
hx6t	augmentatif
hqum	Nomd'utilisateur
hl6n	vendeurs
gron	argon
pxan	promotionnel
hvac	Lave-vaisselle
xlan	mondialisation
txon	longueurd'ondes
xrik	recycler
hxap	sacàdos
hxac	redémarrer
xyat	hépatite
cwep	chèquedepaie
hxos	torus
txif	typographie
qlat	agentimmobilier
txot	milieudel&#39;automne
hxam	milligramme
pxis	pixel
pwif	Aperçu
txam	tantale
myek	thermodynamique
hbop	roder
hqot	soluté
xlic	fauteuilroulant
gxit	génocide
hvan	luttecontrelesincendies
glim	gallium
pfop	popenhaut
hzum	zirconium
xlon	hotline
qlin	nonlinéaire
kxam	scandium
blim	béryllium
kxik	configurer
nr6n	neurone
hpef	prédicatif
hruf	routeur
kxan	factorielle
hxic	lignedirectrice
xlip	volley-ball
dyek	déboguer
hxop	montreàbracelet
qrot	neutron
nwip	niobium
hs6t	sallederepos
grem	germanium
tles	métalloïde
hp6k	prolativecas
qyin	biodiversité
txak	antibiotique
mlun	immobilisation
txan	actinium
xran	astronaute
dres	décompresser
tr6t	extra-terrestre
hk6t	octuor
hxus	ouvrirlasource
xlat	cinglé
mraf	marathon
ts6n	milieuduprintemps
ht6s	autisme
nlif	ioniser
txut	notabilité
hm6n	émettant
kxis	agrafeart
xrin	subissant
xren	redirection
bxak	signet
pfos	Prophrase
hvis	excréments
hd6n	dénominateur
brum	sallederéunion
hqis	chauvin
hk6n	compiler
xyit	décalageclé
xyin	uneseconde
hxun	subsistant
hvas	lesrôles
glok	Blog
hvak	sinueux
pxit	ipadresse
hvet	àcôtéde
xram	carthame
hc6n	évidence
qran	Coran
zyen	xénon
hqas	jurerde
bzas	blasé
hj6n	nonHumain
hnof	évasif
txas	décideurs
hbum	bouddhisme
ts6s	disputes
pxin	Ingrédients
hr6n	ration
hxim	milieudel&#39;été
dxit	milieudel&#39;hiver
hxaf	creuser
nlus	planted'appartement
txap	statutbar
vrit	Fantômeécrivain
kxak	duperautour
bxin	corpshumain
hqik	imperméable
hxes	hertz
hxif	hypnotiser
xras	horaire
pl6k	parajuriste
dxat	imprudence
hxip	anticorps
vrat	short
hqek	remodelant
qrit	polarité
pxot	bureaudeposte
hxom	Camelotecourrier
hqic	critique
lwun	blue-jean
hp6n	maturation
dxan	fixation
xrak	acteurrôle
dxak	accident
hven	conteneurs
mwap	Bandedessinée
qlan	daltonien
xros	déshabillement
srom	salled&#39;exposition
hc6t	bavardage
qrat	àl'envers
hn6t	inhibition
hqet	siteInternet
fres	collecterdesfonds
froc	forgeage
xlak	lienhypertexte
vlat	volubilité
dvan	débarquement
gxin	conquête
ryes	réceptionniste
kxot	connecteurs
xyan	délimitation
vlan	annonceur
ryom	thoriumatome
hluf	vieillesse
hquk	injecter
lyum	thuliumatome
tyem	terbiumatome
hp6m	praséodyme
txic	domicilepage
mros	automobiliste
dyam	rhodiumatome
pc6n	procèsnombre
nyos	boîtederéception
pyek	projecteur
kxon	krypton
hxuc	sauvetage
qrik	centralcas
xwin	inexpérience
kxic	extincteur
hvot	organigramme
dxot	yaourt
hqut	bûcheendehors
pxen	départemental
drok	objectifgâchette
flon	téléphoneportable
txos	milieuvoix
hqok	obliquecas
xwik	patientcas
hx6n	hodiernalpré
txik	l'index
hqen	expéditeur
mlap	malware
hvun	pressionmorale
hvon	épuisé
vran	postier
pfes	professeur
pwip	poète
hqam	fairedesexercices
gxat	légalité
ks6t	causal
vrin	recruteur
kxip	agrafeplanche
sr6n	désapprobateur
vlit	évaluatif
tyup	banlieue
mrom	morphème
xron	casquedemusique
gxak	cher
hrof	troyencheval
xlas	paralysé
dzet	repeindre
txac	abandon
xrot	inutilisé
txis	pointmatrice
syif	siunités
xrac	étonnamment
brif	binairevaleur
dlos	modalcas
txun	lesattributs
dvat	demauvaisehumeur
psom	premièremain
gjek	else-if
nlem	unitédemasse
qret	venteaudétailboutique
txip	pointtriple
dlek	individuellement
lwut	fluxdecourant
dxis	defaçonspectaculaire
hs6m	césium
vlak	autorail
hn6m	nerium
kxap	carton
bxan	audépart
myem	lemoisdemai
gxik	droitscivils
hxoc	arméedel'air
xrok	collaborateur
kr6t	captured'écran
txok	automatiquement
hxep	plancheàroulette
srop	téléphoneintelligent
pxak	casquettesbloquer
hk6k	musiquefolklorique
hl6k	euler'snuméro
pyom	poloniumatome
xyam	thalliumatome
hvic	envahissant
lyok	locatifcas
xlot	appartements
txen	retraitement
kxac	contre-attaque
qrak	briseurdegrève
hbup	piscine
txuk	court-circuit
tsef	fuselé
bxit	toilehôte
ksem	lireseulement
byim	rubidiumatome
hvam	vanadiumatome
lw6n	lanthane
frum	fluoratome
nyom	néodyme
mlom	multalnombre
kxas	personnaliser
xret	téraoctet
hs6k	cherchermoteur
frus	corroder
gxan	galaxielegenre
vlas	vocalisations
glet	gaz-pédale
hvim	runtime
bxip	bitmap
qrin	étoilelegenre
bvak	abessivecas
pxon	indisponible
dvik	adessivecas
dvek	agentivecas
hlef	agentgâchette
kwek	àcas
kxen	communlegenre
ht6m	citationforme
tsuf	transnuméral
hf6n	collage
tc6t	directobjet
gvik	ergativecas
gxon	fragmentation
ksep	récepteur
vyin	cinéma
pyos	passifvoix
hnef	finiverbe
xwit	primaireobjet
hqim	gnomiquehumeur
jlak	généralisation
vrik	finalparticule
qyan	unitéimaginaire-
kxaf	vitessedelalumière
xyic	phishing
qyit	pointcritique
hvek	evitativecas
bvik	subessivecas
hzes	possédécas
prus	virusinformatique
ples	processeur
pxif	policeofficier
dvak	latifcas
brun	tournée
tsi_k	antessivecas
tyum	ruthéniumatome
vyak	adverbialcas
pxim	premierministre
syum	strontiumatome
sy6n	caractèresoupçonneux
hy6n	animerlegenre
pxac	empathiquejoie
vlin	véhiculelegenre
qwin	minérallegenre
hr6s	renvoi
tf6n	toner
xris	utilisateurinterface
hw6n	assermentation
xlen	verbalnom
pyec	tableur
vlim	virtuelMémoire
bres	motprocesseur
hqip	nuagel'informatique
vlic	virtuelmachine
pfam	spammeur
dyap	secondelalangue
txek	nièmeracine
dxen	donnéesexploitationminière
byip	Entrepriselapersonne
hs6c	soiconfiance
txim	référant
hb6t	changementdeunévénement
hdem	domaineprénom
dxon	différentunévénement
lwaf	flashconduire
sl6t	crastinaltendu
xyik	soupledisque
fyif	réfléchivoix
bvin	universlegenre
hm6p	cartemère
tfip	transitifverbe
jlen	localitélegenre
xrap	rayé
tc6n	recherchelegenre
sl6n	artistiquelegenre
xrek	patientgâchette
xwan	abstraitlegenre
dxif	conférencevidéo
dyip	indirectparole
zrek	exocentriquecas
hvuk	évoquant
xwat	passéperfectif
hr6m	rhénium
txaf	déclenché
hmef	impersonnelverbe
tx6t	texteEditeur
txes	collectifnom
bvat	maltraiter
bvuk	absolutivecas
ry6t	radian
vlis	virtuelréalité
qren	planétairelegenre
gvak	grammaticalecas
bxok	chauve
mrum	ordinateurprogramme
ps6t	enfonctionnementsystème
hfom	phonème
tlem	lireseulementMémoire
pwam	spyware
kfif	noyaubenefactive
qwit	rationalité
nlaf	pose
nwok	associatifcas
dzas	mécontenter
swuk	superlatifcas
syos	résumant
kr6n	électriquecourant
dvin	inanimélegenre
pxom	propositivehumeur
vris	réciproquevoix
rwos	aérosol
dr6t	distracteur
ht6k	télécommunication
slaf	sociallamiseenréseau
lyuk	successifclause
qras	supérieurs
ty6n	Terminal
gwet	bientôtavenirtendu
hp6s	applicativevoix
tsof	antipassifvoix
ht6p	continuativeaspect
hn6f	necessitativehumeur
pfip	passifparticipe
glap	barred'outils
sy6k	existentielclause
qyat	lumineuxintensité
hy6t	grammaticale-objet
vyan	prononçant
sluf	singulativenombre
dvit	excessifdurée
qyak	uniqueactionverbe
bzik	laphysique
xlet	superlatifdegré
hqap	présentparticipe
qwat	montantdesubstance
qyik	conjonctifparticule
sr6t	fluidesupercritique
hfem	épenthétiquemorphème
tl6t	éloignéavenirtendu
mrif	micro
pcuk	postpositionnelcas
tfim	aléatoireaccèsMémoire
fwim	éthidium
ly6t	allocutionuneentente
hvap	rouleaubar
hfep	fréquentatifaspect
bvan	distributifpronom
fyun	virguleflottantenombre
xyas	effacement
hvif	verbe-suffixe
xyis	passépassifparticipe
tl6n	centralEntraitementunité
tfok	locatifdirectionnelcas
qwan	fréquemmentademandélesquestions
