hnit	ﺭﺪﺼﻣ
hnus	ﯽﻨﯿﺑ
hric	ﻪﻧﺎﺘﺳﻭﺩ
srik	ﻦﯿﻣﺎﺗ
hten	ﺯﻭﺮﯾﺩ
tlet	hesternalﺖﻔﺳ
slap	ﺖﺴﮑﺷ
hban	ﻥﺪﯿﺷﻮﭘ
hdat	ﺎﻨﯿﺑﺎﻧ
fran	ﺯﺍﻭﺮﭘ
hdan	ﻥﺎﻄﯿﺷ
htec	ﻪﺘﻓﺭﻪﺘﻓﺭ
hmon	ﺖﯾﺭﻮﻣﺎﻣ
cran	ﯽﻧﺎﺑﺮﻗ
hran	ﻥﺍﺪﺟﻭ
hmos	ﺮﯾﺯﻭ
nrit	ﯼﮊﺮﻧﺍ
hcet	ﺕﺮﻔﻧ
hset	ﺰﮐﺮﻣ
hrin	ﯽﻘﻄﻨﻣﺲﻨﺟ
hcot	ﺪﯾﺮﺒﺑﺕﺬﻟ
hrip	ﺮﺼﺘﺨﻣ
htep	ﺕﺩﺎﺒﻋ
hcif	ﺖﺳﻮﭘ
hrat	ﻒﻘﺳ
kran	ﯽﻫﺎﺷﺩﺎﭘﺝﺎﺗ
hkon	ﻪﻌﻠﻗ
tran	ﺱﺎﯾ
hmif	ﻞﯾﺎﻣ
trin	ﻩﺮﯾﺍﺩ
hgin	ﻥﺍﺪﻧﺯ
hkop	ﻥﺎﺠﻨﻓ
hcen	ﻮﻀﻋ
swin	ﯽﻧﺪﻣ
hrac	ﺎﺟﻪﻤﻫﺭﺩ
hris	ﯽﺷﺭﺎﻔﺳ
hbin	به
hmot	ﺖﺷﻮﮔ
hdut	ﺮﯿﺷ
hwen	ﯽﻫﺎﯿﮔﺲﻨﺟ
nran	ﺭﺩﺎﻧ
hbac	ﻩﺩﺍﺯﻪﻟﺎﺧ
crut	ﻞﭘ
hsoc	ﺱﺭﻮﺑﻥﺎﻣﺯﺎﺳ
hsom	ﮏﻤﻧ
nris	ﻩﺎﻨﮔﯽﺑ
hbit	ﻥﺩﺮﮐﺏﺎﻨﺘﺟﺍ
crin	ﻦﯿﺴﺤﺗ
rwin	ﻪﮑﻠﻣ
hgut	ﻥﺩﺮﻤﺷ
hdas	ﺺﻗﺭ
hnot	ﻞﺘﻫ
hdin	ﻥﺩﺮﮐﺮﭘ
hton	ﯽﻧﺍﺪﻧﺯ
hdak	ﻩﺎﮕﺷﻭﺮﻓ
hlet	ﺎﻫﻪﻠﭘ
hson	ﺶﺸﺨﺑ
hgek	ﺍﺮﮕﺴﻨﺠﻤﻫ
hras	ﻦﺷ
hsep	ﺮﺒﻣﺎﺘﭙﺳ
hbic	ﯽﻫﺎﺒﺗ
hlen	ﺯﻮﺠﻣ
hcon	ﯽﻓﺎﮐﻩﺯﺍﺪﻧﺍﻪﺑ
hgit	ﺪﻫﺎﺷ
kfon	ﻪﻧﺎﺧﺰﭙﺷﺁ
hbak	ﺵﻭﺮﻓ
tlim	ﻥﺎﻣﺭﺩ
hsot	ﺖﻋﺮﺳ
kyut	ﺮﺗﻮﯿﭙﻣﺎﮐ
hnen	ﯼﺪﺑﺍ
htek	ﻪﻧﺎﺨﺑﺎﺘﮐ
hzan	حاوی
hbis	ﯼﺎﻨﺑﺮﯾﺯ
hbun	ﯽﺠﯿﮔ
kcus	ﻦﺘﺨﭘ
hgat	ﺮﯾﻮﮐ
hwus	ﻪﺳﻮﺑ
hbif	ﺦﯾ
hbot	ﭖﻮﺗ
hrut	ﻝﺪﺟﻭﺚﺤﺑ
hdit	ﺶﯾﺎﯿﻧﺖﻟﺎﺣ
hdis	ﺭﺎﮑﻫﺎﻨﮔ
hjan	ﺕﺍﺯﺎﺠﻣ
plis	ﺲﯿﻠﭘ
hgan	ﻥﺩﺮﮐﯽﻔﺨﻣ
hsen	ﺮﻔﺳ
nrin	ﻥﺍﺩﺎﻧ
hyen	ﺮﺑﺍ
frif	ﻪﯾﺭﻮﻓ
hdik	ﯼﺭﺎﻤﯿﺑ
hnek	ﺭﺎﮑﺘﺑﺍﺩﺭﻮﻣ
hbam	ﻪﻤﻋ
hmen	ﻦﺗﻭﺮﻓ
hdip	ﺮﯿﺧﺎﺗﺎﺑﯼﺭﻭﺮﺿﯼﺮﻣﺍ
prat	ﺵﺭﺍﺰﮔﯽﮐﺭﺪﻣ
hdet	ﺐﺷﻪﻤﯿﻧ
hjit	ﺖﺸﮕﻧﺍ
hmoc	ﯽﯾﺎﺟﮏﯾ
pran	ﺕﺎﻋﻮﺒﻄﻣ
kcec	ﻪﻘﻄﻨﻣ
hken	اخیرا
hloc	سودا
hrak	ﻥﺎﻨﮐﺭﺎﮐ
htes	ﻥﺩﺮﮐﻩﺎﮕﻧﻝﺯﻝﺯ
rwan	ﻩﺰﯾﺎﺟ
hdon	ﻥﺩﺮﮐﺍﺪﻫﺍ
htot	ﯽﻧﺎﺸﯿﭘ
hnet	ﻪﺘﺷﺮﻓ
hdun	ﺩﺮﻔﻣ
croc	ﺎﻄﺧ
hlon	ﻡﺩﻩﺪﯿﭙﺳ
hyec	ﺪﻨﻔﺳﻮﮔ
hjin	ﺮﺒﺻ
hrec	ﯽﻋﺎﺟﺭﺍ
mran	ﺕﺭﺫ
htos	ﺖﯾﺮﺜﮐﺍ
hcos	معیارهای
hkoc	ﻩﺎﮕﯿﺑﻭﻩﺎﮔ
hlif	ﺩﻮﺳ
clak	ﺪﻨﻗ
hjat	ﺖﯾﺮﺸﺑ
tram	ﺏﺎﻗ
hdic	ﮏﺴﯾﺩ
hkok	ﺎﻬﻨﺗ
srat	ﺪﻨﻣﺮﻨﻫ
crak	ﻥﻮﺴﻓﺍ
hmet	ﮏﯿﻧﻭﺮﺘﮑﻟﺍﺖﺴﭘ
hden	ﻢﯿﻤﺼﺗ
gran	ﺭﺍﺪﻧﺎﻣﺮﻓ
crac	ﻪﺧﺎﺷ
hjac	ﻕﺎﯿﺘﺷﺍ
hdim	ﯽﺋﺎﻘﻟﺍﺖﻟﺎﺣ
hcok	ﻪﻠﺠﻋ
hyet	ﺖﻔﻧ
pwap	ﻪﻟﻮﻟ
trat	ﭖﺎﭼ
tcot	مادهجامد
hdoc	ﻩﻭﺍ
hren	ﻦﺨﺳﻪﻨﯿﻣﺯ
tcon	ﺮﻬﻇ
krin	ﻦﯿﺑﺎﮐ
plam	ﺮﻄﺧﮓﻧﺯ
hnes	ﯽﺒﺼﻋ
tcen	ﻩﺪﻫﺎﺸﻣ
hsek	ﻪﺒﻨﺟ
plik	مناسب
slik	ﻢﺸﯾﺮﺑﺍ
hfen	ﺪﺻﺭﺩ
hgen	ﻞﻣﺎﻋ
hnon	ﻪﯾﺩﺎﺤﺗﺍ
crik	ﻢﻨﻬﺟ
tcet	معیوب
mrat	ﻁﻮﻠﺨﻣ
hdam	ﺮﮐﺬﺗﺖﻟﺎﺣ
hgac	ﯽﺒﻠﻃﻩﺎﺟ
htoc	ﯼﻮﺤﻧﻪﺑ
hdac	ﺕﺭﻮﺸﻣ
nwin	ﻲﺳﺎﺳﺍﻥﻮﻧﺎﻗ
srit	ﺭﺍﺰﺑﺍ
hret	ﻢﮑﺤﻣ
nlin	ﻦﯾﻼﻧﺁ
hzat	ﺪﻣﻭﺭﺰﺟ
klic	ﺞﻟﺎﮐ
hkek	ﻡﺩ
nric	ﻞﺴﻧ
hgic	ﻍﻮﻠﺷ
hgak	ﻪﺑﺮﮔ
trit	ﻢﯿﻘﺘﺴﻣﯽﮐﺭﺪﻣ
tyot	ﻩﺪﻫﺎﻌﻣ
hnok	ﺖﺳﺮﻬﻓ
crit	ﻪﮐﻭﺮﺘﻣ
slen	ﻩﺩﺯﺎﯾ
srin	ﻩﺰﯾﺮﻏ
hpok	ﻪﻠﯿﺒﻗ
hyot	ﻥﺍﺮﮕﻧﺖﻟﺎﺣ
cric	ﻩﺎﻨﭘﻥﺎﺟ
hruc	ﺏﺩﺍﯽﺑ
cwin	ﯼﺭﺍﻮﺳ
hzak	ﺵﺯﺮﻟ
dyit	ﺖﻌﻨﺻ
hpec	ﻪﻓﺮﺣ
nras	ﺭﺎﺘﺳﺮﭘ
hcec	ﻢﯿﻠﻌﺗ
hbut	ﺶﻔﮐ
hmec	ﻢﻬﺒﻣ
twot	ﺖﯿﻟﺎﻌﻓ
crat	ﻪﺒﻨﺷﺯﻭﺭ
hkot	ﺖﯿﻓﺮﻇ
hnec	ﺏﺎﺘﻓﺍﺭﻮﻧ
hwuf	ﻩﻮﯿﺑ
cren	ﻦﺘﺨﯾﺭ
nrat	ﻩﺭﺎﺘﺳ
hget	ﻥﺎﻤﻬﻣ
hbik	ﺖﮐﺮﺑ
brin	ﯽﻠﺧﺍﺩ
hpot	ﺱﺮﺘﺳﺩﺭﺩ
trac	ﺖﻣﻭﺎﻘﻣ
prac	ﻖﺘﺸﻣ
hcoc	ﯽﻟﺎﺧﻮﺗ
hpon	ﻥﺎﺘﺳﺍ
hwim	ﻥﺪﻤﺗ
dwan	ﻥﺪﺷﻥﺍﺰﯾﻭﺁ
cwok	ﻥﺪﺷﻪﮐﻮﺷ
hdok	ﯽﮔﺪﻨﻧﺍﺭ
crun	ﺞﻨﮔ
hzik	ﻪﻧﺍﺩ
hrot	ﺮﯿﺧﺍﻪﺘﺷﺬﮔﺖﻔﺳ
hket	ﺭﺍﺪﯿﺑ
hcek	ﻪﻧﺎﺧﺏﺎﺒﺳﺍ
hrop	ﺏﺎﻨﻃ
mrac	ﺍﺮﺟﺎﻣ
byit	ﻦﺸﺟ
trak	ﻪﻧﺎﯿﻟﺎﺳ
hzin	ﯽﺑﻮﻨﺟ
sric	ﻢﺳﺍﺮﻣ
clik	ﺪﯿﺻ
trap	ﻝﺍﺮﺒﯿﻟ
hrim	ﺖﯿﺤﯿﺴﻣ
hrus	ﻢﻧﺎﺧﻩﺩﺍﺰﻫﺎﺷ
blat	ﺏﺍﺮﺤﻣ
cyon	ﮏﭼﻮﮐ
hwep	ﺏﻭ
krat	کاردینال
tris	ﺶﻔﻨﺑﮓﻧﺭ
kcot	ﻥﺩﺮﮐﻊﻤﺟ
hben	ﺏﺎﺨﺘﻧﺍ
trik	ﺖﺴﻣ
kfit	ﻥﺩﺮﮐﺪﻨﻠﺑ
tcec	ﻝﺩﺎﺒﺗ
nrik	ﯽﻌﻄﻗﻪﻟﺎﻘﻣ
grat	ﺭﻮﺗﺍﺮﭙﻣﺍ
dran	ﺖﻣﻮﮑﺣ
hpen	ﻼﺒﻗ
cluk	ﺖﺷﺯ
nrac	ﺭﺍﺯﺁﯽﺑ
ryin	ﺵﺯﻮﻣﺁ
hrun	ﻝﻭﺭ
nwic	ﭻﻨﯾﺍ
slit	ﻦﺘﺨﯾﺭﻥﻭﺮﯿﺑ
gzat	ﻪﻣﺎﻧﺯﻭﺭ
krot	ﻥﺩﺍﺩﺵﺮﺑ
drit	ﺶﯾﺭ
hzis	ﻥﺩﺍﺩﺮﺟ
hdap	ﻩﺪﺠﻫ
sris	ﯽﺨﯾﺭﺎﺗ
mrut	ﺖﺷﺭﺩ
nyik	ﻞﮔ
bran	ﺱﻭﺮﻋﻩﺯﺎﺗ
drat	ﺩﺭﺍﺩﯽﮕﺘﺴﺑ
djan	ﻝﻮﻏ
glat	ﯽﮔﺩﺎﺳ
hpoc	ﺰﻴﻳﺎﭘﻞﺼﻓ
pras	ﻪﻧﺎﻧﺯﺭﺩﺎﭼ
hgot	جمعآوری
tret	ﺮﺗﺎﺌﺗ
tras	ﻪﺴﯾﺎﻘﻣ
rwit	ﺐﯿﻗﺭ
hfon	تشکیل
klot	ﯽﺑﺮﻣ
hmum	ﯽﻌﺒﻃﺥﻮﺷ
drac	ﻦﺨﺳ
rwas	ﻥﺎﻣﺭ
tset	ﻡﺎﻘﺘﻧﺍ
hdot	ﻝﺎﺘﺴﯾﺩﯽﺸﯾﺎﻤﻧ
ryut	ﺩﻮﺴﺣ
hwon	ﻪﻣﺎﻧﺕﻮﻋﺩ
byat	ﻪﺘﺧﻮﺳ
flac	ﻥﺩﺯﻕﺮﺑ
prot	ﺮﯾﻮﺼﺗ
crek	ﺪﻫﺩﯽﻣﺩﺎﻬﻨﺸﯿﭘ
htok	ﺩﺎﻀﺗ
htop	ﺖﻨﻌﻟ
prit	ﺰﯿﻣﺍﺖﻨﻌﻟﺖﻟﺎﺣ
hces	ﻩﺪﻧﺎﻣﺭﺩ
klup	ﻩﺎﮕﺷﺎﺑ
hnos	ﻞﯿﺳ
dwin	ﯽﮕﻗﻼﻋﯽﺑ
prin	ﻖﻓﺍ
mrit	ﯽﺿﺮﻓﺖﻟﺎﺣ
tcoc	ﺪﻨﺗﺐﯿﺷ
hcom	ﯽﻧﻮﻣﺭﺎﻫ
grit	ﺪﻋﺭ
tlot	ﯽﮐﺩﻮﮐﻥﺍﺭﻭﺩ
hgik	ﻮﻧﺍﺯ
hwes	ﻩﺎﮔﺁﺩﻮﺧﺎﻧ
hzac	ﻞﺑﺎﻘﺘﻣ
hsec	ﺭﺍﺰﻓﺍﻡﺮﻧ
tson	موسسات
ryit	ﻝﻮﺻﻭﻡﻼﻋﺍ
dlin	ﻁﺎﺒﻀﻧﺍ
slip	ﺵﺰﻐﻟ
klon	ﺏﻼﻘﻧﺍ
hfim	ﺭﺍﺩﻪﻋﺭﺰﻣ
hpom	ﻮﮑﺳ
cyen	ﻮﺠﺸﻧﺍﺩ
hgec	ﺭﺎﻏ
hroc	ﺖﻨﺳ
srac	ﻝﺎﺳﺭﺍ
ryat	ﯼﺩﮊﺍﺮﺗ
kcen	ﻩﺮﮐﺎﺑ
hbap	ﯽﻈﻓﺎﺣﺍﺪﺧ
krik	ﺩﺎﻘﺘﻧﺍ
krap	ﻪﺒﻨﭘ
fwat	ﻥﺎﺘﺳﺭﺎﻤﯿﺑ
kcet	ﻥﺩﺮﮐﻩﺭﺎﺟﺍ
hgas	ﺭﺎﺨﺑ،ﺯﺎﮔ،ﺩﻭﺩ
pfin	ﺮﯾﺬﭘﺎﻧﺏﺎﻨﺘﺟﺍ
dlit	ﮒﺮﺑ
ryan	ﻪﻤﺟﺮﺗ
sran	ﯼﺭﺎﭙﺴﮐﺎﺧ
mrin	ﺭﺩﻮﭘ
hram	ﮏﯿﺘﻧﺎﻣﻭﺭ
dlan	ﺭﻻﺩ
hzas	ﯽﺧﻮﺷ
hsos	ﻩﺩﺰﻧﺎﺷ
klen	ﻩﺮﻤﻌﺘﺴﻣ
gyin	ﻝﺎﺑ
hsif	ﺮﯿﺷﻥﺍﻮﯿﺣ
cluc	ﯼﺮﮔﻪﻠﯿﺣ
prip	ﯼﺯﺎﺳﻩﺩﺎﻣﺁ
hzut	ﺭﺎﺒﻏ
dwat	ﻭﺭﺍﺩ
krit	ویرایش
sras	ﻪﻧﻻ
hses	ﻩﺩﺭﺎﻬﭼ
brat	ﺽﺍﺮﺘﻋﺍ
flat	ﺪﯿﺳﺍ
hjic	ﯽﻨﻌﯾ
slic	ﺡﻼﺳ
hbuc	ﻩﺪﻨﻨﮐﻩﺩﺎﻔﺘﺳﺍ
tron	ﯽﺠﻧﺭﺎﻧ
byan	ﻥﺍﻭ
hrif	ﻪﯿﻟﻭﺍ
tlip	ﺩﺎﺠﯾﺍ
blan	ﺪﺒﺳ
kris	ﺮﯿﺑﺩ
hyon	ضمنا
tren	ﺯﻭﺮﻣﺍ
dlat	hodiernalﺖﻔﺳ
hzic	ﻢﺳ
tfic	ﮓﻨﻔﺗ
tlen	ﺩﺍﺪﻌﺘﺳﺍ
hlim	ﻢﯿﻠﻗﺍ
dyat	ﺮﺴﻤﻫ
kcon	ﯽﺣﻭ
dlac	ﻮﺸﺘﺴﺷ
krak	ﺭﺍﺮﻗﺍ
hbas	ﻑﺮﺧﺰﻣ
hkec	ﮓﻨﺳﻝﺎﻏﺯ
hrek	ﻥﺪﻧﺍﺩﺮﮔﺯﺎﺑ
hkos	ﯽﻧﺍﺭﻖﯾﺎﻗ
hwif	ﻥﻭﺎﻌﻣ
tric	ﺖﻗﻮﻣ
hdep	delimitativeﻪﺒﻨﺟ
mwak	ﻩﺩﻮﺗ
ksot	ﻥﺍﻮﺨﺘﺳﺍ
hnoc	ﻪﺒﻨﺷﻭﺩ
nlas	ﻪﺒﻨﺸﻬﺳ
brac	ﻪﺒﻨﺷﺭﺎﻬﭼ
frap	ﻝﺍﺭﺪﻓ
pfit	ﻩﺪﻨﯾﺎﻤﻧ
pcoc	ﺐﻄﻗ
lyen	ﯽﻧﺎﺘﮐﻪﭼﺭﺎﭘ
swak	ﯽﯾﻮﺸﻓﺮﻇﮏﻨﯿﺳ
pcen	ﺭﻮﻬﻤﺟﺲﯿﺋﺭ
brit	ﻦﯿﻧﻮﺧ
hwec	ﻩﺮﺻﺎﺤﻣ
hwet	ﻩﺪﻌﻣ
hlos	ﺎﻫﻪﻠﭘﺯﺍ
hbon	ﻉﻮﻨﺘﻣ
pcon	ﺞﻧﺮﺑﺰﻠﻓ
hsem	ﻪﻠﻗ
lwac	ﻥﺍﺯﺭﺍ
tsos	ﻪﻘﺑﺎﺴﻣ
kwen	ﯼﺭﺎﺼﺤﻧﺍﺺﺨﺷ
trun	ﻥﺪﻣﺁﺩﻭﺮﻓ
trut	ﻪﻤﺴﺠﻣ
hrap	ﻪﻧﺎﺨﭘﻮﺗ
hgap	ﺖﺷﺍﺩﺯﺎﺑ
trot	ﺕﺭﺍﺮﺣﻪﺟﺭﺩ
grin	ﯽﮕﯾﺎﺴﻤﻫ
hjak	ﻦﺘﻓﺮﯾﺬﭘ
hpek	ﻪﺘﺴﺑ
hlus	ﻥﺯﻮﮔ
hwos	ﺏﺍﻮﺧﻕﺎﺗﺍ
tsuc	ﻪﺗﻮﺑ
pcuc	ﻪﯿﻠﺨﺗ
cris	ﺙﺭﺍﻭ
clun	ﻁﻮﻠﺑ
hpes	ﺪﻨﯾﺎﺷﻮﺧﺎﻧ
nlet	ناقص
hrom	ﻪﻣﺎﻧﺮﺑ
pyon	ﻮﻧﺎﯿﭘ
swet	ﻥﺩﺮﮐﺪﻋﺎﻘﺘﻣ
dric	ﯽﻔﺨﻣ
tyen	ﻡﺎﻨﮑﯿﻧ
hruk	ﻢﻠﻇ
frat	اختصاصداده
hyoc	ﻪﺳﻮﺳﻭ
hlep	ﯽﯾﺎﻬﻧﻑﺪﻫﯼﺍﺭﺍﺩﻪﺒﻨﺟ
nrot	ﻲﻠﻠﻤﻟﺍﻦﻴﺑ
nret	ﺖﻧﻮﺸﺧ
hfif	ﻑﻮﺴﻠﯿﻓ
pfic	ﯽﮔﺪﻨﯾﺎﻤﻧ
hmek	ﺱﺎﺴﺣ
hfec	ﻩﺎﻓﺭ
myik	ﯽﻫﺎﻣﺪﯿﺻ
truc	ﺖﻗﺮﺳ
tcop	ﺐﻟ
rwic	ﻪﺘﺴﺸﻧﺯﺎﺑ
htom	ﺩﺎﺼﺘﻗﺍ
glan	ﺲﮑﻋﻡﻮﺒﻟﺁ
pren	ﺕﺍﺯﺍﻮﻣﻪﺑ
hlek	atelicﻪﺒﻨﺟ
nrak	ﻩﺭﺎﻗ
truk	ﻥﺩﺯﺭﺩ
hjim	ﻥﺍﺮﮔﺖﻟﺎﺣ
rwat	ﺕﺍﻭﺍﺮﮐ
hcep	ﻝﻮﻠﺳ
dyan	ﻍﺮﻣﻢﺨﺗ
jrat	ﯽﻋﻮﻨﺼﻣ
nren	ﻡﺎﻬﻟﺍ
ksic	ﻥﺍﺮﺤﺑ
tsoc	جستجوکردن
lwan	ﺭﺎﻫﺎﻧ
hpos	ﺝﺎﮐ
hcuf	ﺭﺎﺸﻓ
tcus	تعقیبکردن
pset	ﻥﺩﺮﻛﺪﻳﺪﻤﺗ
hkep	ﺲﻣﺰﻠﻓ
swis	ﻥﺍﻮﻠﻣ
prim	ﯼﺭﻮﺗﺍﺮﭙﻣﺍ
trip	ﻕﻼﺷ
cras	ﻦﻫﺍﺮﯿﭘ
swap	ﺖﺸﮔﺮﺑﻭﺖﻓﺭ
syet	ﺡﺮﻃ
htof	ﺩﺯﺩ
clen	ﻝﺎﻧﺎﮐ
kwit	ﺖﯿﺼﺨﺷ
klok	ﺩﺍﺯﺎﻣ
hrok	ﺕﺎﺣﻼﺻﺍ
hguc	ﯽﮕﻨﺸﺗ
kcim	ﺰﯿﻣﺁﺪﯾﺪﻬﺗ
hpem	ﺖﺳﺩﻒﻛ
psik	ﻮﮔﺪﻨﻠﺑ
frit	ﻪﻧﺎﺘﺳﺁ
cret	آثار
mrak	ﻩﺰﯿﻧ
syen	ﻪﺴﻠﺟ
tcup	ﺖﺑﻮﻃﺭ
hyek	ﺮﻓﺎﺴﻣ
trim	ﻊﻠﻗ
plak	ﺖﯾﺎﮑﺷ
hyok	ﻪﯾﻭﺍﺯ
hgam	ﻭﺎﮔ
hmok	ﻪﻧﺎﺧﺭﺎﮐ
jrac	ﻪﺸﻘﻧ
kloc	ﻪﻘﯾ
gyit	ﺍﺪﻤﻋ
hbip	ﻮﺠﺑﺁ
mlet	ﯽﻠﻤﺨﻣ
lyap	ﻩﺩﺎﻔﺘﺳﺍﻮﺳ
cwen	ﻪﻠﮔ
bwan	ﻩﺩﺍﺯﺮﻫﺍﻮﺧ
tses	ﻩﺩﺰﯿﺳ
jrit	ﻪﯿﺟﻮﺗ
nlak	ﯽﻄﺧﻪﺨﺴﻧ
sron	ﻮﺠﮕﻨﺟ
cruc	ﻪﻌﻤﺟ
broc	ﻮﻣﻢﻠﻗ
dlot	ﺩﻮﻠﻧﺍﺩ
krim	ﻡﺮﮐﮓﻧﺭ
pric	ﺮﯿﻗ
prut	ﻥﺍﺭﻭﺍﺩﺖﺌﯿﻫ
hgon	ﻩﺩﺯﺦﯾ
sram	ﺎﻨﯿﻋ
pfot	ﻥﺍﺪﻠﮔ
hlot	برنامهریزیشده
djin	ﻪﮑﺳ
hlok	ﺵﺮﭘ
hpep	ﺐﯿﺳ
hwot	ﻩﺩﺭﻮﺧﭻﯿﭘ
dlak	ﻮﮕﺘﻔﮔﻭﺚﺤﺑ
brik	مشترک
nlis	ﻥﺩﺮﮐﯽﺴﯾﻮﻧﻭﺭ
hbet	ﻁﺮﺷ
pris	ﺱﻭﺮﯾﻭ
hjik	ﻱﺯﺍﻮﻧﻥﺎﻤﻬﻣ
blit	ﻪﻧﺎﮔﻪﭽﺑ
hjap	ﺩﺎﺸﮔﻭﺪﻨﻠﺑﺱﺎﺒﻟ
tfik	ﻥﺩﺮﮐﺲﮑﻌﻨﻣ
hdaf	رسیدن
hpop	ﺍﺮﭘﺍ
kcaf	قایمشدن
kcoc	ﺞﻧﺭﺁ
hrum	ﯼﺯﺎﺳﺯﺎﺑ
cyim	ﮎﻮﮑﺸﻣ
dyic	ﯽﺷﺯﻮﻣﺁ
hgoc	ﻝﺍﺩﻮﮔ
drak	ﻝﻼﺘﺧﺍ
plas	ﺪﯿﺠﻤﺗﻭﻖﯾﻮﺸﺗ
byin	ﯽﯾﺎﺗﻭﺩ
hzap	ﻪﻌﻣﻮﺻ
nlot	ﯼﺭﺍﺩﺎﻓﻭ
mrik	ﯽﮑﯿﻧﺎﮑﻣ
hsop	ﺖﯿﻘﻓﻮﻣﺎﺑ
crap	ﻡﺍﺩ
kyek	ﮏﯿﮐ
nrut	ﻥﺩﺮﮐﻡﺮﮔﺮﺳ
syes	ﺎﻗﺁ
hjet	ﻩﺪﻔﻫ
hjen	ﻪﻧﺎﻧﺯ
hmom	ﻞﺴﻋ
hdec	ﻪﻧﺎﻔﺳﺎﺘﻣ
lwen	ﻪﻧﺎﺴﻓﺍ
slot	ﻕﺎﺟﺍ
frac	ﯽﺷﺭﻮﺷ
gwan	ﻡﺭﻮﺗ
mruk	ﻥﺩﺮﮐﺮﺘﻬﺑ
swot	ﻕﻼﺗﺎﺑ
zlan	ﻥﺩﺭﻭﺁﺖﺳﺪﺑ
hnem	متحرک
hdes	ﺲﺳ
prak	ﻥﺩﺮﮐﺖﺤﯿﺼﻧ
frin	منظره
hfet	ﺖﻔﻟﺎﺨﻣ
cros	ﺮﮐﻩﻭﺮﮔ
ryon	ﯽﻘﻄﻨﻣ
tcos	ﻝﻮﺼﺤﻣ
tsen	ﺵﺯﺍﺩﺮﭘﻝﺎﺣﺭﺩ
hwek	ﮒﺮﮔ
nlik	ﻉﺎﻨﺘﻣﺍ
klap	ﺵﺮﻓ
dras	ﻥﺩﺮﻤﺷﺭﺍﻮﺧ
prop	ﺭﻭﺭﺎﺑ
slim	ﺕﻮﺳ
hgis	ﺮﯿﻨﭘ
krut	ﺶﯿﻧ
srot	اسکورت
bjan	ﻥﺩﻮﺑﻥﺍﺩﺮﮔﺮﺳ
nwen	ﯽﯾﺎﯾﺭﺩﯼﻭﺮﯿﻧ
myas	ﮏﺳﺎﻣ
kwaf	ﻪﻌﺳﻮﺗ
twis	ﯽﺴﮐﺎﺗ
pcip	ﺩﺍﺪﻣ
srap	ﯼﺰﺒﺳ
sren	ﻩﺎﮕﺸﯾﺎﻤﻧ
tlun	ﺭﺍﻮﻠﺷ
hrup	ﺩﺎﺴﻓ
nrip	ﻪﻨﯿﺑﺎﮐ
srup	ﭖﻮﺳ
jran	ﺡﺍﺮﺟ
bjat	ﯼﺮﻤﺘﺴﻣ
gyat	ﺱﻮﺳﺎﺟ
hlem	ﺍﻭﺮﭘﯽﺑ
srak	ﻩﺪﯿﮑﭼ
kson	ﻪﺠﻬﻟ
cwis	ﻪﺒﻨﺷﺞﻨﭘ
sret	ﻪﻧﺎﺼﻟﺎﺧ
hraf	ﮏﯿﻓﺍﺮﺗ
hres	ﯼﺭﺎﻤﻌﻣ
hsuf	دسترس
rwak	ﮎﺮﺗ
twon	ﺖﻨﯾﺯ
hfus	ﺩﻮﺒﻬﺑ
hkom	ﺪﮐ
djat	ﯽﭼﺭﺎﮑﺷ
nlut	خبرنامه
hsef	ﺭﺎﻣ
mris	ﯽﺳﺍﺮﮐﻮﻣﺩ
bric	ﯼﺮﺗﺎﺑ
mlam	ﻡﻮﻣ
zran	اشتراک
cron	هیجان
hzen	ﺎﻨﺷ
traf	ﺭﺍﻮﻧ
cwaf	ﻪﻣﺎﻧﺖﻛﺎﭘ
srip	ﺭﺎﮕﯿﺳ
mrot	ﺭﻮﺗﻮﻣ
swon	ﺐﻠﻃﻭﺍﺩ
ryak	ﻞﻤﻌﻟﺍﺲﻜﻋ
pfun	ﯼﺍﻩﺯﺍﺪﻧﺍﺎﺗ
blac	ﻥﺍﺪﻤﭼ
mret	ﺕﺭﺍﺯﻭ
hjon	ﯽﺴﻨﺟ
kcok	ﺮﺒﺗ
dram	ﺱﺎﻤﻟﺍ
kren	ﺏﻭﺎﻨﺘﻣ
tcek	ﮎﺍﻭﮋﭘ
hdif	ﺖﯾﻮﻫ
tfas	ﺮﯿﻔﺳ
hfot	ﻞﻣﺎﺷ
lwas	ﻞﺒﻨﺗ
hmep	momentaneﻪﺒﻨﺟ
kfin	رمزگذاری
mwin	ﯽﻟﺎﯿﺧ
hrem	ﻪﻌﺷﺍ
pram	ﯼﺩﺭﻮﻧﮓﻨﺳ
byac	ﺭﺎﺒﻧﺍ
mren	ﻲﻧﺪﻧﺎﻣﺩﺎﻳﻪﺑ
swen	ﺎﻨﺳﺲﻠﺠﻣ
kras	ﺕﻮﺑﺎﺗ
hgun	ﻊﻠﺑ
nlok	ﻦﺘﺧﺎﺳﺎﻫﺭ
ryic	ﯼﺯﺭﻭﺎﺸﮐ
gwin	ﻥﺩﺭﻮﺧﺏﺎﺗ
srut	ﺭﺍﺰﻔﻠﻋ
hkes	ﻩﺪﯿﭽﯿﭘ
hfis	ﺎﻔﻌﺘﺳﺍ
frak	مکررا
hnom	ﻪﺌﻃﻮﺗ
hcop	ﻪﻧﺎﺨﯿﻣ
