hnit	ಕರ್ತೃ
hnet	ದೇವತೆ
hdun	ಏಕವಚನ
croc	ದೋಷ
hlon	ಡಾನ್
hyec	ಕುರಿ
hjin	ತಾಳ್ಮೆ
hrec	ಸೂಚಕ
mran	ಕಾರ್ನ್
htos	ಬಹುತೇಕ
hcos	ಕ್ರಮಗಳನ್ನು
hkoc	ಕೆಲವೊಮ್ಮೆ
hlif	ಲಾಭ
clak	ಸಕ್ಕರೆ
hjat	ಮಾನವೀಯತೆ
tram	ಫ್ರೇಮ್
hdic	ಡಿಸ್ಕ್
hkok	ಲೋನ್ಲಿ
srat	ಕಲಾವಿದ
crak	ಮೋಡಿ
hmet	ಇಮೇಲ್
hden	ನಿರ್ಧಾರ
gran	ಗವರ್ನರ್
crac	ಶಾಖೆ
hjac	ಉತ್ಸಾಹ
hdim	ಅನುಗಮನದಚಿತ್ತ
hcok	ಯದ್ವಾತದ್ವಾ
hyet	ತೈಲ
pwap	ಪೈಪ್
trat	ಮುದ್ರಣ
tcot	ಘನವಸ್ತುಗಳು
hdoc	ಓಹ್
hren	ಪ್ರವಚನಸಂದರ್ಭದಲ್ಲಿ
tcon	ಮಧ್ಯಾಹ್ನ
krin	ಕ್ಯಾಬಿನ್
plam	ಎಚ್ಚರಿಕೆ
hnes	ನರ
tcen	ವೀಕ್ಷಣೆ
hsek	ಅಂಶವು
plik	ಅನ್ವಯಿಸುವ
slik	ರೇಷ್ಮೆ
hfen	ಶೇ
hgen	ಏಜೆಂಟ್
hnon	ಒಕ್ಕೂಟ
crik	ನರಕದ
tcet	ದೋಷಯುಕ್ತ
mrat	ಮಿಶ್ರ
hdam	admonitiveಚಿತ್ತ
hgac	ಮಹತ್ವಾಕಾಂಕ್ಷೆ
htoc	ಹೇಗೋ
hdac	ವಕೀಲ
nwin	ಸಂವಿಧಾನ
srit	ಉಪಕರಣ
hret	ದೃಢವಾಗಿ
nlin	ಆನ್ಲೈನ್
hzat	ಉಬ್ಬರವಿಳಿತದ
klic	ಕಾಲೇಜು
hkek	ಬಾಲ
nric	ಪೀಳಿಗೆಯ
hgic	ಕಿಕ್ಕಿರಿದ
hgak	ಬೆಕ್ಕು
trit	ನೇರಸಾಕ್ಷ್ಯಾದ
tyot	ಒಪ್ಪಂದದ
hnok	ವಿಷಯಗಳನ್ನು
crit	ಪರಿತ್ಯಕ್ತ
slen	ಹನ್ನೊಂದು
srin	ಪ್ರವೃತ್ತಿ
hpok	ಬುಡಕಟ್ಟು
hyot	ಆತಂಕಕ್ಕೆಚಿತ್ತ
cric	ಆಶ್ರಯ
hruc	ಒರಟು
cwin	ಸವಾರಿ
hzak	ಅಲ್ಲಾಡಿಸಿ
dyit	ಉದ್ಯಮ
hpec	ವೃತ್ತಿ
nras	ನರ್ಸ್
hcec	ಬೋಧನೆ
hbut	ಶೂಗಳು
hmec	ಅಸ್ಪಷ್ಟ
twot	ಚಟುವಟಿಕೆ
crat	ಶನಿವಾರ
hkot	ಸಾಮರ್ಥ್ಯ
hnec	ಸನ್ಶೈನ್
hwuf	ವಿಧವೆ
cren	ಚೆಲ್ಲುವ
nrat	ಸ್ಟಾರ್
hget	ಅತಿಥಿ
hbik	ಆಶೀರ್ವಾದ
brin	ಒಳ
hpot	ಲಭ್ಯವಿರುವ
trac	ಪ್ರತಿರೋಧ
prac	ಪಡೆಯಲು
hcoc	ಟೊಳ್ಳಾದ
hpon	ಪ್ರಾಂತ್ಯದ
hwim	ನಾಗರಿಕತೆಯ
dwan	ಹ್ಯಾಂಗ್
cwok	ಆಘಾತ
hdok	ಚಾಲನೆ
crun	ನಿಧಿ
hzik	ಬೀಜ
hrot	ಇತ್ತೀಚಿನಭೂತಕಾಲದ
hket	ಅವೇಕ್
hcek	ಪೀಠೋಪಕರಣ
hrop	ಹಗ್ಗ
mrac	ಸಾಹಸ
byit	ಹಬ್ಬದ
trak	ವಾರ್ಷಿಕ
hzin	ದಕ್ಷಿಣ
sric	ಕಾರ್ಯಕ್ರಮ
clik	ಬೇಟೆ
trap	ಉದಾರ
hrim	ಕ್ರಿಶ್ಚಿಯನ್ಧರ್ಮ
hrus	ರಾಜಕುಮಾರಿ
blat	ಬಲಿಪೀಠದ
cyon	ಸಣ್ಣ
hwep	ವೆಬ್
krat	ಪ್ರಧಾನ
tris	ನೇರಳೆ
kcot	ಸಂಗ್ರಹಿಸಲು
hben	ಚುನಾವಣೆ
trik	ಕುಡಿದು
kfit	ಲಿಫ್ಟ್
tcec	ವಿನಿಮಯ
nrik	ನಿರ್ದಿಷ್ಟಲೇಖನ
grat	ಚಕ್ರವರ್ತಿ
dran	ಆಡಳಿತ
hpen	ಇದಕ್ಕೂಮುಂಚೆ
cluk	ಕೊಳಕು
nrac	ನಿರುಪದ್ರವ
ryin	ತರಬೇತಿ
hrun	ರೋಲ್
nwic	ಇಂಚಿನ
slit	ಶೂಟ್
gzat	ಪತ್ರಿಕೆ
krot	ಕತ್ತರಿಸುವುದು
drit	ಗಡ್ಡ
hzis	ಹಾಕಬೇಕೆಂದು
hdap	ಹದಿನೆಂಟು
sris	ಐತಿಹಾಸಿಕ
mrut	ಒಟ್ಟು
nyik	ಮಣ್ಣು
bran	ವಧು
drat	ಅವಲಂಬಿಸಿರುತ್ತದೆ
djan	ದೈತ್ಯ
glat	ಸರಳತೆ
hpoc	ಶರತ್ಕಾಲದಲ್ಲಿ
pras	ಮುಸುಕು
hgot	ಸಭೆ
tret	ನಾಟಕ
tras	ಹೋಲಿಕೆ
rwit	ಪ್ರತಿಸ್ಪರ್ಧಿ
hfon	ರೂಪಿಸುವ
klot	ತರಬೇತುದಾರ
hmum	ಹಾಸ್ಯ
drac	ಪ್ರವಚನ
rwas	ಕಾದಂಬರಿ
tset	ಸೇಡು
hdot	ಕೊನೆಯಲ್ಲಿರುವಪ್ರದರ್ಶನಕ್ಕೆ
ryut	ಅಸೂಯೆ
hwon	ಆಮಂತ್ರಣವನ್ನು
byat	ಸುಟ್ಟು
flac	ಫ್ಲಾಶ್
prot	ಭಾವಚಿತ್ರ
crek	ಸೂಚಿಸುತ್ತದೆ
htok	ಸಂಘರ್ಷ
htop	ಶಾಪ
prit	imprecativeಚಿತ್ತ
hces	ಅಸಹಾಯಕ
klup	ಕ್ಲಬ್
hnos	ಪ್ರವಾಹ
dwin	ಅನಾಸಕ್ತಿ
prin	ದಿಗಂತದಲ್ಲಿ
mrit	ವಶಪಡಿಸಿಕೊಂಡಚಿತ್ತ
tcoc	ಕಡಿದಾದ
hcom	ಸಾಮರಸ್ಯ
grit	ಗುಡುಗು
tlot	ಬಾಲ್ಯದ
hgik	ಮೊಣಕಾಲು
hwes	ಪ್ರಜ್ಞೆ
hzac	ಪರಸ್ಪರ
hsec	ಸಾಫ್ಟ್ವೇರ್
tson	ಸಂಸ್ಥೆಗಳು
ryit	ರಸೀದಿಯನ್ನು
dlin	ಶಿಸ್ತು
slip	ಸ್ಲಿಪ್
klon	ಕ್ರಾಂತಿ
hfim	ರೈತ
hpom	ವೇದಿಕೆ
cyen	ವಿದ್ಯಾರ್ಥಿ
hgec	ಗುಹೆ
hroc	ಸಂಪ್ರದಾಯ
srac	ಸಲ್ಲಿಸಲು
ryat	ದುರಂತ
kcen	ಕಚ್ಚಾ
hbap	ವಿದಾಯ
krik	ವಿಮರ್ಶೆ
krap	ಹತ್ತಿ
fwat	ಆಸ್ಪತ್ರೆಯಲ್ಲಿ
kcet	ಬಾಡಿಗೆ
hgas	ಅನಿಲ
pfin	ಅನಿವಾರ್ಯ
dlit	ಎಲೆ
ryan	ಅನುವಾದ
sran	ಅಂತ್ಯಕ್ರಿಯೆ
mrin	ಹಿಟ್ಟು
hram	ಪ್ರಣಯ
dlan	ಡಾಲರ್
hzas	ಪರಿಹಾಸ್ಯ
hsos	ಹದಿನಾರು
klen	ವಸಾಹತು
gyin	ರೆಕ್ಕೆ
hsif	ಸಿಂಹ
cluc	ಕುತಂತ್ರ
prip	ತಯಾರಿ
hzut	ಮಂಜು
dwat	ಔಷಧ
krit	proofread
sras	ಗೂಡು
hses	ಹದಿನಾಲ್ಕು
brat	ಆಕ್ಷೇಪಣೆ
flat	ಆಮ್ಲ
hjic	ಅವುಗಳೆಂದರೆ
slic	ಶಸ್ತ್ರ
hbuc	ಬಳಕೆದಾರ
tron	ಕಿತ್ತಳೆ
byan	ಸ್ನಾನ
hrif	ಪ್ರಾಚೀನ
tlip	ಸ್ಥಾಪಿಸಲು
blan	ಬ್ಯಾಸ್ಕೆಟ್
kris	ಕಾರ್ಯದರ್ಶಿ
hyon	ಅದೇಸಮಯದಲ್ಲಿ
tren	ಇಂದು
dlat	ಇವತ್ತಿನಉದ್ವಿಗ್ನ
hzic	ವಿಷ
tfic	ರೈಫಲ್
tlen	ಪ್ರತಿಭೆ
hlim	ಹವಾಮಾನ
dyat	ಸಂಗಾತಿಯ
kcon	ಬಹಿರಂಗ
dlac	ಮುಖ
krak	ನಿವೇದನೆ
hbas	ಅಸಂಬದ್ಧ
hkec	ಕಲ್ಲಿದ್ದಲು
hrek	ಪುನಃಸ್ಥಾಪಿಸಲು
hkos	ಓಡ
hwif	ಉಪ
tric	ತಾತ್ಕಾಲಿಕ
hdep	ಗಡಿಗುರುತಿಸುವಅಂಶವು
mwak	ರಾಶಿಯನ್ನು
ksot	ಮೂಳೆ
hnoc	ಸೋಮವಾರ
nlas	ಮಂಗಳವಾರ
brac	ಬುಧವಾರ
frap	ಫೆಡರಲ್
pfit	ಪ್ರತಿನಿಧಿ
pcoc	ಧ್ರುವ
lyen	ಲಿನಿನ್
swak	ಸಿಂಕ್
pcen	ಅಧ್ಯಕ್ಷ
brit	ರಕ್ತಸಿಕ್ತ
hwec	ಮುತ್ತಿಗೆ
hwet	ಹೊಟ್ಟೆ
hlos	ಉಪ್ಪರಿಗೆ
hbon	ವಿವಿಧ
pcon	ಹಿತ್ತಾಳೆ
hsem	ಶೃಂಗಸಭೆಯಲ್ಲಿ
lwac	ಅಗ್ಗ
tsos	ಸ್ಪರ್ಧೆಯಲ್ಲಿ
kwen	ವಿಶೇಷವ್ಯಕ್ತಿ
trun	ಲ್ಯಾಂಡಿಂಗ್
trut	ಪ್ರತಿಮೆ
hrap	ಫಿರಂಗಿ
hgap	ಬಂಧಿಸಲು
trot	ತಾಪಮಾನ
grin	ನೆರೆಹೊರೆಯ
hjak	ಅಳವಡಿಸಿಕೊಳ್ಳಬೇಕಾಗುತ್ತದೆ
hpek	ಪ್ಯಾಕ್
hlus	ಜಿಂಕೆ
hwos	ಮಲಗುವಕೋಣೆ
tsuc	ಪೊದೆ
pcuc	ವಿಸರ್ಜನೆ
cris	ಉತ್ತರಾಧಿಕಾರಿ
clun	ಓಕ್
hpes	ಅಹಿತಕರ
nlet	ಅಪೂರ್ಣ
hrom	ಪ್ರೋಗ್ರಾಂ
pyon	ಪಿಯಾನೋ
swet	ಮನವೊಲಿಸಲು
dric	ಅಗೋಚರ
tyen	ಪ್ರಸಿದ್ಧ
hruk	ಕ್ರೌರ್ಯ
frat	ನಿಗದಿಪಡಿಸಲಾಗಿದೆ
hyoc	ಪ್ರಲೋಭನೆ
hlep	ಟೆಲಿಕ್ಅಂಶವು
nrot	ಅಂತಾರಾಷ್ಟ್ರೀಯ
nret	ಹಿಂಸಾತ್ಮಕವಾಗಿ
hfif	ತತ್ವಜ್ಞಾನಿ
pfic	ಪ್ರಾತಿನಿಧ್ಯ
hmek	ಸೂಕ್ಷ್ಮ
hfec	ಕಲ್ಯಾಣ
myik	ಮೀನುಗಾರಿಕೆ
truc	ಕದಿಯಲು
tcop	ತುಟಿ
rwic	ನಿವೃತ್ತಿ
htom	ಆರ್ಥಿಕ
glan	ಗ್ಯಾಲರಿ
pren	ಸಮಾನಾಂತರ
hlek	atelicಅಂಶವು
nrak	ಖಂಡದ
truk	ನಾಕ್
hjim	ನಿಷೇಧಕಚಿತ್ತ
rwat	ಕಟ್ಟು
hcep	ಸೆಲ್
dyan	ಮೊಟ್ಟೆ
jrat	ಕೃತಕ
nren	ಸ್ಫೂರ್ತಿ
ksic	ಬಿಕ್ಕಟ್ಟು
tsoc	ಹುಡುಕುವ
lwan	ಊಟದ
hpos	ಪೈನ್
hcuf	ಪುಶ್
tcus	ಸ್ಯೂ
pset	ವಿಸ್ತರಿಸಲು
hkep	ತಾಮ್ರ
swis	ನಾವಿಕ
prim	ಚಕ್ರಾಧಿಪತ್ಯದ
trip	ಚಾವಟಿ
cras	ಶರ್ಟ್
swap	ಉಜ್ಜುವಿಕೆಯ
syet	ಸ್ಕೆಚ್
htof	ಕಳ್ಳ
clen	ಚಾನೆಲ್
kwit	ವ್ಯಕ್ತಿತ್ವ
klok	ಹೆಚ್ಚುವರಿ
hrok	ಸುಧಾರಣೆ
hguc	ಬಾಯಾರಿಕೆ
kcim	ಬೆದರಿಕೆ
hpem	ಪಾಮ್
psik	ಸ್ಪೀಕರ್
frit	ಮಿತಿ
cret	ಕುರುಹುಗಳು
mrak	ಈಟಿ
syen	ಅಧಿವೇಶನ
tcup	ತೇವ
hyek	ಪ್ರವಾಸಿಗ
trim	ತವರ
plak	ದೂರು
hyok	ಕೋನ
hgam	ಹಸು
hmok	ಗಿರಣಿ
jrac	ನಕ್ಷೆ
kloc	ಕತ್ತುಪಟ್ಟಿ
gyit	ಉದ್ದೇಶಪೂರ್ವಕವಾಗಿ
hbip	ಬಿಯರ್
mlet	ವೆಲ್ವೆಟ್
lyap	ನಿಂದನೆ
cwen	ಹಿಂಡು
bwan	ಸೋದರ
tses	ಹದಿಮೂರು
jrit	ಸಮರ್ಥಿಸಿಕೊಳ್ಳಲು
nlak	ಹಸ್ತಪ್ರತಿ
sron	ಯೋಧ
cruc	ಶುಕ್ರವಾರ
broc	ಕುಂಚ
dlot	ಡೌನ್ಲೋಡ್
krim	ಕ್ರೀಮ್
pric	ಪಿಚ್
prut	ತೀರ್ಪುಗಾರರ
hgon	ಹೆಪ್ಪುಗಟ್ಟಿದ
sram	ಅಕ್ಷರಶಃ
pfot	ಮಡಕೆ
hlot	ಯೋಜನೆ
djin	ನಾಣ್ಯ
hlok	ಅಧಿಕ
hpep	ಸೇಬು
hwot	ತಿರುಚಿದ
dlak	ಚರ್ಚಿಸಲು
brik	ಚಂದಾದಾರರಾಗಬಹುದು
nlis	ಲಿಪ್ಯಂತರ
hbet	ಬೆಟ್
pris	ವೈರಸ್
hjik	ಆತಿಥ್ಯ
blit	ಬಾಲಿಶ
hjap	ನಿಲುವಂಗಿಯನ್ನು
tfik	ಪ್ರತಿಬಿಂಬಿಸಲು
hdaf	ಸಾಧಿಸುವುದು
hpop	ಒಪೆರಾ
kcaf	ಅಡಗಿಕೊಂಡು
kcoc	ಮೊಣಕೈ
hrum	ದುರಸ್ತಿ
cyim	ಅನುಮಾನಾಸ್ಪದ
dyic	ಶೈಕ್ಷಣಿಕ
hgoc	ಪಿಟ್
drak	ಅಸ್ವಸ್ಥತೆ
plas	ಚಪ್ಪಾಳೆ
byin	ಬೈನರಿ
hzap	ಅಬ್ಬೆ
nlot	ನಿಷ್ಠೆ
mrik	ಯಾಂತ್ರಿಕ
hsop	ಯಶಸ್ವಿಯಾಗಿ
crap	ಬಲೆಗೆ
kyek	ಕೇಕ್
nrut	ಮನರಂಜನೆ
syes	ಸರ್
hjet	ಹದಿನೇಳು
hjen	ಸ್ತ್ರೀಲಿಂಗ
hmom	ಜೇನು
hdec	ದುರದೃಷ್ಟವಶಾತ್
lwen	ದಂತಕಥೆ
slot	ಒಲೆ
frac	ಬಂಡಾಯ
gwan	ಕಲ್ಲೋಲ
mruk	ಸುಧಾರಿಸಲು
swot	ಜೌಗು
zlan	ಗಳಿಸುವ
hnem	ಅನಿಮೇಟೆಡ್
hdes	ಡ್ರೆಸಿಂಗ್
prak	ಬೋಧಿಸುವರು
frin	ದೃಶ್ಯಾವಳಿ
hfet	ವಿರೋಧಿಸಲು
cros	ಕೋರಸ್
ryon	ಭಾಗಲಬ್ಧ
tcos	ಬೆಳೆ
tsen	ಸಂಸ್ಕರಣೆ
hwek	ತೋಳ
nlik	ನಿರಾಕರಣೆ
klap	ಕಾರ್ಪೆಟ್
dras	ತಿರಸ್ಕರಿಸಿದರೂ
prop	ಫಲವತ್ತಾದ
slim	ಶಬ್ಧ
hgis	ಗಿಣ್ಣು
krut	ಕಚ್ಚುವುದು
srot	ಬೆಂಗಾವಲು
bjan	ಸುತ್ತಾಟ
nwen	ನೌಕಾ
myas	ಮಸುಕು
kwaf	ಅಭಿವೃದ್ಧಿ
twis	ಕ್ಯಾಬ್
pcip	ಪೆನ್ಸಿಲ್
srap	ತರಕಾರಿ
sren	ಪ್ರದರ್ಶನವನ್ನು
tlun	ಪ್ಯಾಂಟ್
hrup	ಭ್ರಷ್ಟಾಚಾರ
nrip	ಕ್ಯಾಬಿನೆಟ್
srup	ಸೂಪ್
jran	ಶಸ್ತ್ರಚಿಕಿತ್ಸಕ
bjat	ಭತ್ಯೆ
gyat	ಪತ್ತೇದಾರಿ
hlem	ಅಜಾಗರೂಕ
srak	ಅಮೂರ್ತ
kson	ಉಚ್ಚಾರಣೆ
cwis	ಗುರುವಾರ
sret	ಪ್ರಾಮಣಿಕತೆ
hraf	ಸಂಚಾರ
hres	ವಾಸ್ತುಶಿಲ್ಪ
hsuf	ವಿಲೇವಾರಿ
rwak	ಬಿರುಕು
twon	ಆಭರಣ
hfus	ಚೇತರಿಕೆ
hkom	ಕೋಡ್
djat	ಬೇಟೆಗಾರ
nlut	ಸುದ್ದಿಪತ್ರವನ್ನು
hsef	ಹಾವು
mris	ಪ್ರಜಾಪ್ರಭುತ್ವ
bric	ಬ್ಯಾಟರಿ
mlam	ಮೇಣದ
zran	ಹಂಚಿಕೆ
cron	ಥ್ರಿಲ್
hzen	ಈಜು
traf	ಸ್ಟ್ರಿಪ್
cwaf	ಹೊದಿಕೆ
srip	ಸಿಗರೇಟ್
mrot	ಮೋಟಾರ್
swon	ಸ್ವಯಂಸೇವಕ
ryak	ಪ್ರತಿಕ್ರಿಯೆ
pfun	ಭಾಗಶಃ
blac	ಸರಕು
mret	ಸಚಿವಾಲಯ
hjon	ಲೈಂಗಿಕ
kcok	ಕೊಡಲಿ
dram	ವಜ್ರ
kren	ಪರ್ಯಾಯ
tcek	ಪ್ರತಿಧ್ವನಿ
hdif	ಗುರುತನ್ನು
tfas	ರಾಯಭಾರಿ
hfot	ಒಳಗೊಂಡಿರುತ್ತವೆ
lwas	ತಿರುಗು
hmep	momentaneಅಂಶವು
kfin	ಎನ್ಕೋಡಿಂಗ್
mwin	ಕಾಲ್ಪನಿಕ
hrem	ರೇ
pram	ಹತ್ತುವುದು
byac	ನೆಲಮಾಳಿಗೆ
mren	ಸ್ಮರಣೀಯ
swen	ಸೆನೆಟ್
kras	ಶವಪೆಟ್ಟಿಗೆಯಲ್ಲಿ
hgun	ನುಂಗಲು
nlok	ಪಾಲ್ಗೊಳ್ಳುತ್ತಾರೆ
ryic	ಕೃಷಿ
gwin	ಸ್ವಿಂಗ್
srut	ಹುಲ್ಲುಗಾವಲು
hkes	ಸಂಕೀರ್ಣ
hfis	ರಾಜೀನಾಮೆ
frak	ಪದೇಪದೇ
hnom	ಪಿತೂರಿ
hcop	ಪಬ್
hlec	ಮೆಣಸು
mlot	ಮಧುರ
zrat	ಅಭ್ಯರ್ಥಿ
proc	ಪೋಷಕ
flik	ನರಿ
cyet	ವಿಷಾದಿಸುತ್ತೇನೆ
hgim	ಚಿಮಣಿ
slet	ಹೆಡ್ಜ್
tcok	ನಿಖರತೆ
bjit	ಮಾಜಿಸತ್ತ
brot	ಮೊಗ್ಗು
bwat	ಕಂಬಳಿ
hdus	ಹಂದಿ
gwat	ದಂತ
kret	ಸಾರ
nwet	ವೀಕ್ಷಕ
jwan	ಅವೆನ್ಯೂ
nwis	ಉಗುರುಗಳು
mwic	ಬೀ
bzat	ನಟ
gyan	ಬೆವರು
zyit	ಕಾರ್ಯನಿರ್ವಾಹಕ
blic	ಭ್ರಮೆ
pcet	ಅನಿಶ್ಚಿತತೆ
tsot	ಪದರ
bwit	ಗಡಿ
tres	ಒತ್ತಡ
hkof	ಬಳಕೆ
nyen	ನರಳುತ್ತ
hles	ಹೋಲುವ
cyek	ಸ್ಯಾಕ್
hjis	ಸೂಜಿ
gjan	ವಿದ್ಯಮಾನ
prec	ವರ್ತಿಸುತ್ತಾರೆ
drot	ನಿಯಂತ್ರಿತ
kcek	ತಿರುವು
twic	ಕೋಳಿ
brak	ಬ್ಯಾರೆಲ್
zwat	ದಿನಂಪ್ರತಿ
clap	ದಿನಂಪ್ರತಿಅಂಶವು
tsec	ತಜ್ಞ
bwin	ಈಕೆಯನ್ನು
cwet	ಸುತ್ತುವರಿದಿದೆ
hbek	ಬೇಕರ್
zlin	ಆಲಿವ್
mron	ವ್ಯಾನ್
drin	ವಿನಿಯೋಗಿಸಲು
psap	ಒಡ್ಡಲು
gjin	ಹುಟ್ಟುಹಬ್ಬದ
clut	ಸುತ್ತಿಗೆ
cwun	ಪರಿಮಳಯುಕ್ತ
twaf	ಕ್ಷುಲ್ಲಕ
pcot	ಪಿಇಟಿ
krok	ತಲೆಬುರುಡೆ
dlik	ಶಾಸಕಾಂಗ
cwic	ಅದೃಷ್ಟವಶಾತ್
srun	ಗಂಟಿಕ್ಕಿ
crec	ನಾಶ
jlan	ಅಂಚು
kcip	ಚಾಂಪಿಯನ್
blin	ಶತಕೋಟಿ
ryik	ರಾಸಾಯನಿಕ
mlas	ನಾಡಿ
flit	ಪೈಲಟ್
hzet	ಗಂಟು
cwik	ಭವ್ಯ
twet	ಸ್ಕರ್ಟ್
mwik	ಸಾಪ್ತಾಹಿಕ
tfis	ತಾಂತ್ರಿಕ
tlon	ವಾಹನ
cram	ಹೊಗಳುವ
grac	ಬಲಪಡಿಸಲು
kraf	ಕಾಗೆ
trup	ಗುಣಲಕ್ಷಣ
hduk	ಕೊಕ್ಕೆ
cruk	ಹುಲಿ
nrap	ಮನೆಕೆಲಸದಾಕೆ
crot	ಹೆದ್ದಾರಿ
mlip	ಸೇನೆಯ
hfoc	ಛಾಯಾಚಿತ್ರ
nres	ಸಮಗ್ರತೆ
plos	ಜೊತೆಗೆ
tfam	ಪಾರದರ್ಶಕ
nlic	ಹತ್ತೊಂಬತ್ತು
hwok	ಅರ್ಹ
nlen	ಪ್ರಬಂಧ
fyic	ದಕ್ಷತೆ
hwuk	ಅನನ್ಯ
hgok	ಸಾವಯವ
flic	ದೇವತಾಶಾಸ್ತ್ರ
flot	ಫ್ಲೋಟ್
hboc	ಸೀಳುತುಂಡನ್ನು
hwoc	ಮಾಟಗಾತಿ
syot	ಸ್ಟುಡಿಯೋ
cwip	ಷಾಂಪೇನ್
hbes	ಬ್ಯಾನರ್
lwic	ವಿಚ್ಛೇದನ
blot	ಬೋಲ್ಟ್
cwot	ಸೆರೆಯಲ್ಲಿ
cwam	ಧಾಟಿಯಲ್ಲಿ
prik	ನಿಷ್ಕ್ರಿಯ
hfum	ಫೋಮ್
grik	ಜಲ್ಲಿ
zrin	ನೆಲಗಟ್ಟಿನ
gren	ಗ್ರಹದ
hfuc	ಪುನರುತ್ಥಾನದ
claf	ಶೆಲ್ಫ್
flas	ಅಭಿಮಾನಿ
hjot	ಉಷ್ಣವಲಯದ
hbim	ಅನಿಯಂತ್ರಿತ
krek	ಪಾದರಸ
hbec	ಪರೋಪಕಾರಿ
tsaf	ಆತ್ಮಹತ್ಯೆ
pwas	ತರಿದುಹಾಕು
plot	ವರದಿಗಾರ
kfak	ವ್ಯಯಿಸುವುದಕ್ಕೆ
blak	ಬಾಲ್ಕನಿಯಲ್ಲಿ
hdos	ಸ್ಟೇನ್
kwis	ಶಾಸ್ತ್ರೀಯ
kcos	ಆರೋಪಿಸಿದರು
psen	ಪಿಂಚಣಿ
kres	ಕ್ರಿಯಾಪದ
hzon	ಮಂಕಿ
srim	ಸಹಿ
glin	ಇಷ್ಟವಿಲ್ಲದಿದ್ದರೂ
mlut	ಕುಖ್ಯಾತ
myot	ಆಮದು
fwac	ಸಂಸ್ಥಾಪಕ
troc	ಟಾರ್ಚ್
hgaf	ವ್ಯಾಕರಣ
hyop	ದೋಣಿ
ksip	ಗತಿಸಿದ
sres	ವಿಹಾರ
hnup	ಗುಮ್ಮಟ
hzun	ಮೊಂಡು
mric	ಮಾಂಸಖಂಡ
gjat	ಪ್ರಮಾಣ
hros	ರಬ್
zrac	ಹೇಡಿತನ
tros	ಟೋಸ್ಟ್
myus	ಮೌಸ್
dwac	ಸಂಭಾಷಣೆ
byak	ಮೇಕೆ
htef	ಹೇಳಿ
hfek	ಏಳಿಗೆ
dzan	ವಿಧಿಸಲು
nyon	ಅನಾಮಧೇಯ
zrit	ಔಪಚಾರಿಕರಿಜಿಸ್ಟರ್
pcos	ಕ್ರೀಡೆ
hjec	ಕರಗುತ್ತವೆ
dlas	ಅಳಿಸಲು
mras	ಛತ್ರಿ
mram	ಖನಿಜ
cwut	ಒಪ್ಪಂದ
hbok	ಬಾತುಕೋಳಿ
swun	ಸೋಪ್
dwak	ಗೊಂಬೆ
plif	ವಿಲ್ಲಾ
slon	ಹೊಲಿಗೆ
tfut	ಅಭಿನಂದಿಸುತ್ತೇನೆ
djac	ಸಮನ್ವಯಗೊಳಿಸಲು
hjas	ನಿಗ್ರಹಿಸಲು
kric	ಮೊಲದ
kwot	ಕಂಡಕ್ಟರ್
gzan	ಖಾತರಿ
clot	ಆಟಗಾರ
ksek	ಕೀಟ
psam	ನಿಲುವು
mwut	ಗೂಬೆ
htem	ಶಾಶ್ವತವಾಗಿ
clon	ಪಿಟೀಲು
dzin	ನಿವಾಸಿ
rwim	ಕ್ರಮವಾಗಿ
hyof	ಪ್ರಯೋಜನಕಾರಿ
dron	ಡ್ರ್ಯಾಗನ್
dwit	ಶ್ರವಣೇಂದ್ರಿಯದಸಾಕ್ಷ್ಯಾದ
sroc	ರಫ್ತು
hzot	ಮುಕ್ತಾಯ
djik	ಕಾಲಹರಣ
kfik	ಮುಚ್ಚಳವನ್ನು
ryun	ನಿಯಂತ್ರಣ
hmes	ಮೇಯರ್
rwac	ಹಾರ್ಡ್ವೇರ್
sruk	ಸರ್ಕಸ್
sros	ಅಲ್ಪಸಂಖ್ಯಾತ
bzan	ಗಲಭೆ
kset	ಆರ್ಕೆಸ್ಟ್ರಾ
bjon	ಬೇಕನ್
hjut	ಅನಿಯಮಿತ
tfen	ಹಾಲಿ
zwac	ಅನನುಕೂಲವೆಂದರೆ
dyin	ವಿವೇಚನೆ
myis	ಸಂಗೀತಗಾರ
mlis	ಮಾನಸಿಕವಾಗಿ
pret	ಅಸಮರ್ಪಕ
tsek	ವಾಸ್ತುಶಿಲ್ಪಿ
hlom	ನಿಂಬೆ
ksos	ಕೆಮ್ಮು
crok	ತಲೆನೋವು
flin	ಫಲವತ್ತತೆ
mrun	ಬಡಗಿ
swec	ಯಾದೃಚ್ಛಿಕ
syuk	ಚಮಚ
blun	ಬಲೂನ್
tcep	ಸೀಮೆಸುಣ್ಣದ
fric	ದಣಿವಾರಿಕೆ
rwik	ಲಂಬ
rwen	ತಡೆಯುವ
flet	ತಾರ್ಕಿಕಸಾಕ್ಷ್ಯಾದ
pfac	ಪ್ರಕಾಶಕ
srek	ವಿನೆಗರ್
tfun	ಸುರಂಗ
pwet	ಒಗಟು
gyik	ಗಣಿತ
fwot	ಫೇಡ್
lwin	ಸಮತೋಲಿತ
jwin	ಯಕೃತ್ತು
bwik	sublativeಸಂದರ್ಭದಲ್ಲಿ
hdup	ಅದ್ದು
hnop	ಏಕಸ್ವಾಮ್ಯ
bwic	ಜಲಾಂತರ್ಗಾಮಿ
