hnit	ඉන්ෆිනිටිව්
hrup	දූෂණ
nrip	මණ්ඩල
srup	සුප්
jran	ශල්යවෛද්යවරයා
bjat	දීමනාව
gyat	ඔත්තු
hlem	අදූරදර්ශී
srak	වියුක්ත
kson	පැහැ
cwis	බ්රහස්පතින්දාපුවත්
sret	අවංකවම
hraf	රථවාහන
hres	නිර්මාණශිල්පය
hsuf	බැහැර
rwak	කඩාපනින
twon	සැරසිල්ලක්
hfus	යථා
hkom	කේතය
djat	දඩයම්
nlut	පුවත්ලිපියක්
hsef	සර්ප
mris	ප්රජාතන්ත්රවාදය
bric	බැටරිය
mlam	ඉටි
zran	බෙදාහදා
cron	සංත්රාසයට
hzen	පිහිනුම්
traf	බිම්තීරුවක්
cwaf	ලියුම්කවරයක්
srip	සිගරට්
mrot	මෝටර්
swon	ස්වේච්ඡා
ryak	ප්රතික්රියාව
pfun	අර්ධවශයෙන්
blac	බඩුබාහිර
mret	අමාත්යාංශ
hjon	ලිංගික
kcok	පොරොව
dram	දියමන්ති
kren	විකල්ප
tcek	සුප්රසිද්ධechoවිධානය
hdif	අනන්යතාව
tfas	තානාපති
hfot	සමන්විත
lwas	කම්මැලි
hmep	momentaneඅංශයක්
kfin	කේතන
mwin	අතාත්වික
hrem	කිරණ
pram	කඳුතරණය
byac	වගබලාගන්න
mren	අමතකනොවන
swen	සෙනෙට්
kras	මිනීපෙට්ටිය
hgun	ගිල
nlok	ජීවනෝපාය
ryic	කෘෂි
gwin	පැද්දීම
srut	භූමියේජීවන්
hkes	සංකීර්ණ
hfis	ඉල්ලාඅස්වීමේලිපිය
frak	නැවතනැවතත්
hnom	කුමන්ත්රණයක්
hcop	පබ්
hlec	ගම්මිරිස්
mlot	තනුනිර්මාණය
zrat	අපේක්ෂක
proc	අනුශාසක
flik	නරියා
cyet	කනගාටු
hgim	දුම්කවුළුවෙන්
slet	හෙජ්
tcok	නිරවද්යතාව
bjit	හිටපුමියගිය
brot	බද්ධ
bwat	පොරවනය
hdus	ඌරු
gwat	ඇත්දළ
kret	සාරය
nwet	නිරීක්ෂකයා
jwan	මාවතක්
nwis	ඇණ
mwic	මී
bzat	නළු
gyan	දහඩිය
zyit	විධායක
blic	මිත්යාවක්
pcet	අවිනිශ්චිත
tsot	නමන්න
bwit	සීමාව
tres	මානසිකආතතිය
hkof	පරිභෝජනය
nyen	නගන්නාහ
hles	සමානකම්දක්වයි
cyek	ගෝනියක
hjis	ඉදිකටු
gjan	සංසිද්ධිය
prec	හැසිරෙනවා
drot	පාලනය
kcek	වක්රය
twic	කුකුල්මස්
brak	බැරලයකමිල
zwat	පුරුද්දක්ලෙස
clap	පුරුද්දක්අංශයක්
tsec	විශේෂඥ
bwin	විශ්මයට
cwet	මායිම්
hbek	බේකර්
zlin	ඔලිව්
mron	වෑන්රථයක්
drin	කැප
psap	හෙලිදරව්
gjin	උපන්දිනය
clut	මිටිය
cwun	සුවඳ
twaf	නොවැදගත්
pcot	සුරතල්
krok	හිස්කබල
dlik	ව්යවස්ථාදායකය
cwic	වාසනාවකට
srun	frown
crec	විනාශ
jlan	ආන්තිකය
kcip	ශූර
blin	බිලියන
ryik	රසායනික
mlas	නාඩි
flit	ගුවන්නියමුවා
hzet	ගැටයක්
cwik	මහේශාක්ය
twet	සායක්
mwik	සතිපතා
tfis	කාර්මික
tlon	වාහන
cram	අලංකරණයෙන්
grac	ශක්තිමත්
kraf	කාක
trup	විශේෂණය
hduk	කොක්කෙන්
cruk	කොටි
nrap	ගෘහපාලන
crot	අධිවේගීමාර්ගයේ
mlip	සන්නද්ධකන්ඩායම්
hfoc	ඡායාරූපය
nres	අඛණ්ඩතාව
plos	ප්ලස්
tfam	විනිවිදපෙනෙන
nlic	දහනව
hwok	සුදුසුකම්ලත්
nlen	රචනා
fyic	කාර්යක්ෂමතාව
hwuk	අද්විතීය
hgok	කාබනික
flic	දේවධර්මය
flot	පාවෙන
hboc	ඉටුකිරීමට
hwoc	දඩයමක්
syot	ශබ්දාගාර
cwip	ෂැම්පේන්
hbes	බැනරය
lwic	දික්කසාද
blot	බෝල්ට්
cwot	වහල්භාවයට
cwam	ඇඩ්මින්
prik	උදාසීන
hfum	පෙන
grik	බොරළු
zrin	උඩඇඳුම
gren	ග්රහ
hfuc	නැවතනැඟිටීම
claf	තබාගැනීෙම්
flas	රසිකයෙක්
hjot	නිවර්තනකලාපීය
hbim	අත්තනෝමතික
krek	රසදිය
hbec	ත්යාගශීලී
tsaf	මරාගෙනමැරෙන
pwas	නෙලීමෙන්
plot	වාර්තාකරු
kfak	ඇමෙරිකානු
blak	බැල්කනියේ
hdos	පැල්ලම්
kwis	සම්භාව්ය
kcos	චෝදනා
psen	විශ්රාමවැටුප්
kres	ක්රියාපදයේ
hzon	වඳුරා
srim	අත්සන
glin	මැලිකමක්
mlut	කුප්රකට
myot	ආනයන
fwac	නිර්මාතෘ
troc	විදුලිපන්දම
hgaf	ව්යාකරණ
hyop	වුයේය
ksip	වඳවී
sres	වර්ල්ඞ්
hnup	ගෝලාකාර
hzun	මුරණ්ඩු
mric	මාංශපේශි
gjat	විශාලත්වය
hros	රබර්
zrac	නිවට
tros	ටෝස්ට්
myus	මූසිකය
dwac	සංවාදයක්
byak	එළු
htef	ගැලපෙන
hfek	සමෘධියට
dzan	පැටවීමට
nyon	නිර්නාමික
zrit	විධිමත්ලේඛනය
pcos	ක්රීඩා
hjec	විලීන
dlas	මකා
mras	කුඩ
mram	ඛනිජ
cwut	සටන්විරාමය
hbok	තාරාවා
swun	සබන්
dwak	බෝනික්කා
plif	විලා
slon	මහන
tfut	සුබපැතුම්
djac	සංහිඳියාවකට
hjas	මර්දනය
kric	හාවා
kwot	කොන්දොස්තර
gzan	සහතික
clot	ක්රීඩකයා
ksek	කෘමි
psam	ඉරියව්ව
mwut	බස්සා
htem	ස්ථිර
clon	වයලීනය
dzin	පදිංචි
rwim	පිළිවෙලින්
hyof	ප්රයෝජනවත්
dron	මකරා
dwit	auditoryසාක්ෂිමය
sroc	අපනයනය
hzot	සේවයඅවසන්
djik	රැදි
kfik	පියන
ryun	නියාමනය
hmes	නගරාධිපති
rwac	දෘඩාංග
sruk	සර්කස්
sros	සුළුතර
bzan	කැරලිමර්දන
kset	වාද්යවෘන්දය
bjon	බේකන්
hjut	අසීමිත
tfen	ආරක්ෂා
zwac	අවාසිය
dyin	විවාද
myis	සංගීතඥ
mlis	මානසික
pret	ප්රමාණවත්
tsek	ගෘහනිර්මාණශිල්පියා
hlom	දෙහි
ksos	කැස්ස
crok	හිසරදය
flin	දරුඵල
mrun	වඩුවෙක්
swec	අහඹු
syuk	හැන්දක්
blun	බැලූන්
tcep	හුණු
fric	කෙටිවිවේකයකින්
rwik	සිරස්
rwen	වැළැක්වීම
flet	inferentialසාක්ෂිමය
pfac	ප්රකාශකයා
srek	විනාකිරි
tfun	උමග
pwet	ප්රහේලිකාව
gyik	ගණිතය
fwot	සුවදායීනින්දක්
lwin	සමබර
jwin	අක්මාව
bwik	sublativeනඩුව
hdup	පැමිනෙන
hnop	ඒකාධිකාරී
bwic	සබ්මැරීනය
ryen	නොතකා
hcem	භුමිකම්පාව
hbos	රසායනාගාර
nrek	කම්කරුවා
ryim	රිද්මය
nyic	අර්ථනිරූපණය
dwas	තානාපතිකාර්යාලය
rwok	නවන්තුරෙයි
kram	නොහැකියාව
ksim	declarativeමනෝභාවය
clok	චොකලට්
pcec	වරප්රසාදිත
nyis	තාපසයෙක්
tyoc	අහම්බයක්
grak	සීරීම්
zlat	අත්වැස්ම
hjuk	දණගසනවා
trif	භූගෝලවිද්යාව
djit	ක්රමානුකූල
pson	අනභිභවනීය
mwis	ආයෝජනය
cwec	වාචික
hdek	ලෞකික
blik	උකුස්සා
sloc	මනෝවිද්යාව
brap	පරණ
jlat	මුහුදුකොල්ලකරුවන්ගේ
dros	මාත්රාව
slam	සැමන්
pwun	පුඩිං
gwik	චුම්බක
pcop	පොම්ප
myen	ඒහාසමානව
ksen	ඔක්සිජන්
mrap	යකැදුරු
tfot	සහතිකය
ksus	පොකුරු
trok	වාචාලකතා
tloc	ස්ථර
zyan	oar
nlun	ඇතුල්වන්න
hlop	දුරේක්ෂය
jlin	අක්ෂරවින්යාසය
lyut	වළාකුළුපිරි
hsof	සර්ෆ්
fyik	විස්කි
klet	සාපේක්ෂ
hwof	විලෝ
hlum	ඔටුවා
myet	ආධුනික
klis	හුදකලාව
hbaf	චරිතාපදානය
gwac	බූරුවා
hwum	කටකතා
pwik	ඉදිරිදර්ශනය
pron	ගැති
myes	මාසිකව
mwen	reverie
kfic	පාසල්නිවාඩු
klek	ක්ලික්කරන්න
cwon	ඕවලාකාර
lyak	ප්රත්යාස්ථතා
kwon	ශබ්දකෝෂය
hjam	හැම්
rwon	දේදුන්නක්
crip	ෙමයින්
zwan	ඇතිවීම
srok	කතුවැකිය
craf	කෝප්රල්
tlok	වැව
brip	සමනලයා
tfap	සටහන
jwat	නිවුන්
pros	මෙහෙයුම්
psun	නිමිත්තක්
clet	කාලකන්නිබවේ
hbus	උණ
dyas	අලෙවිනියෝජිත
klun	සමුච්චය
jlit	ඒකමතික
hdom	නපුරුසිහිනයක්
kron	කාබන්
hzam	ජෑම්
cyot	ශ්රවණය
hmem	කෞතුකාගාරය
lwam	අක්ෂරමාලාව
fras	විසිරණය
psoc	පන්ච්
hgum	ගම්
brek	තිරිංග
glit	ස්ථාවරත්වය
frun	කුණු
gris	ආක්රමණශීලී
mroc	ඝර්ෂණ
bzit	මකුළු
plut	අල
glac	කෑදරකම
gzac	බොහෝසෙයින්වැඩි
prun	දඟපන්දු
jlet	දිනදසුන
nyim	නාමයෝජනා
tlos	ට්රිලියන
slut	සලාද
fwit	සොළීරජුමනෝභාවය
pyen	අයදුම්පත්
nlon	නාමික
dren	පෙන්නුම්
drun	නොසතුට
cyok	උරහිස්සෙලවීම
hfop	පාපන්දු
ryac	හවුල්
gzin	පුරෝගාමී
hgip	ගෝවා
tyet	මලලක්රීඩා
hdof	ideophone
hwup	අමිල
lwek	ලීවර
syec	සෙනෙට්සභික
jyak	ඉඩපහසුකම්
mlim	කූඹියා
fwic	ඵලදායී
gzit	ගැබිනි
blas	රඳාපැවැත්ම
jrin	සෑමදිනම
gwak	වළලුකර
drik	නියමාකාර
prif	විචල්ය
jwit	විවිධත්වය
krip	වෙනස්කම්
ryot	awed
nwut	මගීවේදිකාව
kcif	ක්රියාකාරීව
jrak	ගෙම්බා
twek	exessiveනඩුව
psot	පව්කමාව
pfon	ස්පොන්ජියක්
sluk	ලේනා
nlim	irrealisමනෝභාවය
ksaf	හිඟයක්
glak	ගිනිකන්දක්
plen	සමතුලිත
kfaf	ස්භාවය
kyon	ගසාකෑමට
jlik	භූවිද්යාත්මක
psop	ගමන්බලපත්ර
kfis	පුරප්පාඩුව
fyon	ආකර්ෂණබලය
nram	දුරාචාර
hbuk	බිස්කට්
gras	අහසෙන්බස්වන
hyos	භීතියටපත්වෙයි
flim	චිත්රපටය
plet	ටැබ්ලට්
rwam	පරමාණුව
blis	වැනිලා
zlit	ආධාර
fyut	fastidious
crim	පිරමිඩ
hjif	නීතිවිරෝධී
crif	shyness
lwap	lute
tyon	තාරකාවිද්යාව
mrim	දේශීයව
drut	විස්තරාත්මක
nrim	ශිෂ්යත්ව
kruc	කැස්බෑ
kwam	උපදේශක
jrik	ක්රිකට්
dlut	අංකනයමඟින්
pyot	පරවියා
dyon	අනුවර්තනය
prap	ක්රියාකරු
bzin	බැජ්එක
tyek	ත්රිකෝණයක්
trec	භාණ්ඩාගාරික
nron	හයිඩ්රජන්
pyet	මුද්රණ
tsok	ඇවුරුම්
zyin	නිදන්ගත
slek	බයිසිකල්
jyin	ඉංජීනේරු
ryas	සම්ෙපේෂණය
zrak	නැවුම්කරන්න
nyas	නර්තනශිල්පිනියක්
gric	සංක්රමණය
zlak	උල්ලංඝනය
tces	ටෙනිස්
hjun	සුළංසහිත
twen	විවීම
kyet	එකතු
gwit	කොඳුඇටපෙළ
kyot	හැඟීම්ඇවිස්සුවේ
fwin	සංඛ්යාත
tfuc	ෙයොදාෙගන
dlet	නාමාවලිය
pfik	චින්තකයා
bjet	අයවැය
trek	උපාය
kros	තිරුවානා
gjit	කතුරු
gwic	ස්විච්
frik	න්යායික
tluc	තුවායක්
pruc	මුරසංචාරයේයෙදී
glic	හිමකඳු
krun	සම්පූර්ණත්වය
bjin	අනාවැකිය
tlaf	සඳහාසහභාගි
tfet	නිෂ්පාදක
bras	පාර්ශ්වික
dwik	විත්තිකාර
clec	පිටාර
cres	චෙස්
tcef	චෙරි
tcom	හානියක්
nyot	පරිවර්තක
tyok	ට්රක්රථ
cyip	ඉක්මවායමින්
grot	අබ
bris	රැහැන්රහිත
nlam	වෙන්දේසිය
slif	පෙරනයක්
hgos	මලකඩ
swoc	නොකලහැකි
jyat	බංකොලොත්
slum	ඉස්ලාමය
hjes	ජනසංගණනය
dzat	tiptoe
slun	අත්හිටුවීමට
nwot	අඛන්ඩතාවය
gyic	ගිටාරය
pfas	නැඹුරුව
zyik	සින්ක්
blen	දිලිසෙන
hyem	එල්ම්
hnep	පොරවැදීම
nyut	ගොතනලද
ryam	සර්වනාමයකිමාකර්
clim	කුළුබඩු
jret	තියුණු
tfon	වෛද්යවරයෙක්
jwac	ජාවා
hrep	වට්ටෝරුව
dyac	ඡන්දබලය
myip	මීටර්
rwis	වාර්ගික
hkem	වල්ගාතරුව
nwon	නවනිපැයුම්
zwin	තහනම
dyis	මධ්යතනයුගයේ
mrec	ගේකුරුල්ලෙකු
fyot	පාද
mlon	මිනුම්
pfis	අපරානුමතකිරීමෙන්
rwot	කක්ෂය
hfok	අරපිරිමැස්මෙන්
glof	ගොල්ෆ්
zron	ශුන්ය
hzip	තැපැල්
hwom	නිවාසනොමැති
bjic	චුවින්ගම්
pcim	ඉටු
hjip	චිප
bwac	yawn
mlos	මවුලය
mrip	මැටි
bron	කළල
ksoc	අඩුකිරීම්
cyum	යීස්ට්
jyan	වැල්වටාරම්
plim	වියලිමිදි
mwet	සොහොන්බිම
ryet	උපාධිධාරියා
glik	වාරිමාර්ග
plap	ධනපති
tsif	ඉල්ලුම්නම්යතාවය
gyak	මෝරා
djon	පෙරනිමි
nwun	නිසිකලටවේලාවට
cles	යථාර්ථවාදය
dris	වැඩිවැඩියෙන්
hkef	කැෆේ
blus	ගිලන්රථ
blap	මුදල්පසුම්බිය
bjak	ජාතිවාදයවපුරා
klim	grimace
gyac	විද්යාඥ
jyit	පැවරුවේ
dzit	යථාර්ථවාදී
bwak	එළිමහන්
dyot	ගුවන්විදුලි
bwon	බෝංචි
fris	අනියම්
klut	සමපේක්ෂණය
tfek	පෙති
nrok	නයිට්රජන්
zyat	දැළිපිහියක්
bram	mutter
ryis	හඳුන්වාදීමේ
nlip	විශ්ලේෂණය
nros	සැසඳිය
hcof	මගේඇඳුම්
tfif	දිරිදීමනා
kroc	furrow
hdum	යුදෙව්ආගම
pses	ලබන්නා
plok	අනුපූරකය
lyet	කාච
pwek	pegativeනඩුව
kfas	පිළිකා
pwen	උකස්
nrun	මතක්
clek	කාන්දුව
pcif	තමනිර්දෝෂීභාවය
glas	සංකීර්ණත්වය
zwit	කටකාර
kces	ස්වයංපෝෂිත
crem	සිල්ලර
grap	මංකොල්ලයක්
kwip	මැදිහත්
dyut	වට්ටමක්
crus	ධුරාවලියේ
gyet	ජේඩ්
gram	snarl
kyip	කටුස්සා
nyet	pad
crop	දියඇල්ල
glon	ගැලුම්
mrok	මදුරුවන්
fluc	චතුර
dwic	අපගමනය
slec	ගවේෂකයා
srec	යුදවැදුණු
blut	මැතිතුමා
myok	විචිත්ර
tlek	ප්ලග්
nruk	බෝවන
nwoc	henceforward
bjut	කීපදෙයි
hges	ගර්භනී
twoc	සිල්ලරබඩු
kyos	කොමියුනිස්ට්
mrek	මවිතයටපත්
clip	පසුතැවිලි
pwok	prosecutiveනඩුව
dwot	ඒකාධිපතියා
zyac	සිතයොමුකිරීමෙන්
jlic	චන්ද්රිකා
slop	slipper
ryip	සමානුපාතික
psim	දළවශයෙන්
byet	රැකියාවිරහිත
cyop	විනෝදාංශ
rwun	මිනුම්දණ්ඩ
blop	බල්බ
syok	ආධාරකරුවකු
klos	ක්ලෝරීන්
lwot	ක්ලෝරයිඩ්
byic	බැක්ටීරියා
lyik	ඇලෙනසුළු
blok	ජීවවිද්යාත්මක
jlac	නැත්තමම
bret	බයිට
krif	ස්රාවය
blet	මුද්රානාට්ය
nruc	මුත්රා
tsus	සුදුළුනු
dyak	මධ්යමපන්තිය
tcem	අඬු
cyoc	අභයෝගාත්මක
trep	ස්ට්රෝබෙරි
dlun	දූෂණය
hlup	ඇල්බමය
hbep	බේස්බෝල්
praf	මුහුදුකොල්ලකෑම්
pwis	කෘදන්ත
grek	ගරාජ්
kruk	සලකන්න
hfof	පොස්පරස්
rwut	ව්යුහාත්මක
myam	ක්රීඩාගාරය
krec	දොඹකර
jras	කොන්ත්රාත්කරු
zrik	වෙතදැනුම්
blam	උත්සවශාලාවේ
klip	මොනරටක්
hwef	නොගෙවූ
zlac	කෙසෙල්
gret	උත්පාදක
lwuk	ඉල
nyek	නිකල්
blos	බස්
sles	සෙව්ම්
tlif	උළු
kses	සොසේජ්
mwot	තක්කාලි
lyot	මෝටර්රථ
tsom	පොටෑසියම්
brut	අථත්ය
djap	වීජගණිතය
hjok	වර්ගීය
kfen	සංකල්ප
pcok	දෘශ්ය
bzut	මතකයටසීමාවකුත්
syek	විරැකියාව
mruc	දළඹු
bwas	බ්රවුසරය
klif	කැල්සියම්
rwet	දුරස්ථඅතීතකාලය
srif	ඓතිහාසිකනොසන්සුන්කාරී
hwem	වර්ණාවලිය
syom	සෝඩියම්
tyos	භාරකරු
jyic	ප්රාණඇපකරුවන්
hguk	කරවිල
dwun	කපටිකම
swip	වුවත්
tlec	ටික්
blaf	ස්ත්රීදූෂණ
tsem	අදේවවාදය
mloc	මොනිටරය
gyot	කොන්දේසිගත
trop	පරීක්ෂණයක්
rwap	කාර්තුමය
hjep	ස්ත්රීපුරුෂභාවය
pyim	ප්ලැටිනම්
dlon	ද්විත්වඅංකය
pcep	පෙනහළු
twuk	දැමීෙම්,ෙශෝධක
tyec	ටැගය
syup	සුපිරි
trom	ට්රොලියේ
nyip	එක්කෝකොබැඳිනැත්නම්ස්ථානීකවනොපවතියි
glis	ගැසොලින්
gjik	වකුගඩු
hjos	කුටියේ
hjuc	කොල්ලය
swek	අධිතේරුමක්
psek	ආසනික්
twok	සංඛ්යාලේඛන
tsep	අපලදායකයි
slos	සමාජවාදී
nwim	සංවේදකසාක්ෂිමයමනෝභාවය
tlop	tablecloth
trus	මතභේදාත්මක
pwot	නොබිඳුණු
djot	රොන්මඩ
nloc	අවමානයකට
mwon	මැන්ඩරින්
hjek	ෙජොකී
crom	සහයෝගයෙන්කටයුතු
myon	නියුමෝනියාව
twec	situate
ryek	රොකට්
dlic	ලාභාංශ
kwet	ස්කේට්
bwen	ග්රස්තියක්
plon	සියයෙහි
syon	pant
djis	ඩිජිටල්
byut	බැල්ලිගෙ
hyep	ඇහිබැමබලවත්
dwon	විකර්ණ
byis	හෘදසාක්ෂිය
brec	ඇහිබැම
cyec	කිවිසුම
hwop	වොට්
clus	සිනාඋපදවනසුළු
kfun	උපයෝජන
nwum	හින්දුවාදය
fyim	සරණාගත
cwos	ෂටලය
tfoc	twinge
pwon	ප්රෝටීන්
sraf	ස්වයංසෑහීමකටපත්
hbom	වමනය
gyen	ජාන
drim	නවකයෙකු
trem	accoutrements
tsup	සුණුවිසුණු
slok	සමාජවිද්යාව
kwoc	ස්කොශ්
bwam	ඡන්ද
mlok	එහාෙමහායාෙනොහැකි
kyen	කලාපීය
hmop	යෝජනාවනැඟීමකදී
rwek	නෙත්යොමාබලන
kfup	කැට
grok	කැරට්
drap	කොටු
lwis	අණුක
ksuc	ගණකාධිකාරීවරයා
tsop	කාණුකටවල්වලකතාවල
kyok	පිපිඤ්ඤා
nroc	දියත්වූ
jlot	දාවක
psof	පොස්පේට්
hgif	ආකර්ෂණය
kfim	ක්ෂාරීය
psos	ජිම්නාස්ටික්
pfen	සත්යාපන
kcom	ආර්ථිකවිද්යාඥ
krom	කොමා
tluk	පටවල
hyom	අයඩීන්
nwuc	පහළතරඟයෝජනාව
gjac	ගබ්සා
pcom	හැලීම
dzic	නිර්මාණ
grun	,උඩඟු
dzot	ආධාරදෙන
hzek	මැංගනීස්
kfot	යතුරුපුවරුව
jlas	විශ්වාසයතැබියනොහැකි
lyim	ප්රභූ
jyen	යෙන්
pcaf	වරහන
rwip	රග්බි
blip	බයිබලය
kyoc	පදනම්වහේතුවාදී
lyon	කොන්ඩමය
flis	මැ
nrif	nibble
kfam	ක්වොන්ටම්
swes	ප්රතාපන
lwon	පරිණාමීය
drec	රාවණාඇල්ල
gjap	ස්පා
lyec	රේඛීය
tyom	ඇන්ටිමනි
pwuk	superessiveනඩුව
flaf	ඇල්ෆා
myim	ප්රතිශක්ති
pcek	පැහැරගෙනගොස්
bjac	මත්පැන්තිප්පොළ
bzac	abridge
bzak	ෙම්ස්එල්ලනද
twes	රූපවාහිනී
dwut	වාර්තා
ksom	විශ්වය
lyis	වනවගා
lwim	ඇලුමිනියම්
ksok	හඳහන
sruc	කඩිනම්
dlif	ඩොල්ෆින්
byik	ඝාතකයා
tfec	ලිපිද්රව්ය
hjaf	ක්ෂීරපායි
ryok	ප්රොටෝකෝලය
dwis	ඩයොක්සයිඩ්
jlon	මහබඩවැලේ
brus	නිලධරය
gjak	galaxy
lyip	සායනික
ryem	රේඩියම්
href	විරලිකෘත
prok	ශීතකරණය
slep	satyr
dret	ප්රතිඵලය
kluk	පුරාවිද්යාත්මක
dlis	idiosyncrasy
kfip	පිළිගතනොහැකි
mlec	සම්බාහන
pfif	පිරිවිතර
nrec	සංවේදක
pfet	පත්රිකාවක්
hzoc	යටින්
dlam	ඉතාමැනවින්
nlec	මානවවිද්යාව
kluc	රසවත්
dyet	සෙඩාන්
tyif	අධිෂ්ඨානපූර්වකව
krus	ඇසුරෙහිසිටියවුන්
nluc	සූරියකාන්ත
lyun	අයන
zrot	රටපැටවීමේ
ksif	පසුවූ
psif	වායුවිමෝචන
crup	ලැප්
fret	Finder
grut	talkතෝරාගැනුමප්රතිලෝම
ksec	පන්තියේළමයෙක්
jric	සකසනලද
mrop	ක්ෂුද්රතරංග
srus	බලයෙන්පහ
gyas	කොණ්ඩාමෝස්තරශිල්පිනී
floc	ජනප්රවාද
plek	කේශනාලිකා
nwop	තට්ටම්
nrom	පාලක
twos	ත්රස්තවාදය
lwok	සටන්පාඨය
dwet	කාලයත්එක්ක
slem	sublimate
grip	ග්රිල්
gwas	වොව්
kwok	කොබෝල්ට්
gwon	OAT
hdop	පීනන්නයෝජනාව
glam	ගුදය
bwot	bovine
bren	පිටකිරීමේ
byot	වීඩියෝ
bjik	වර්ජනය
kwim	ප්රශ්නවිචාරාත්මක
cwek	හොකී
grif	ගරිල්ලා
hgem	මැග්නීසියම්
hyes	දැනුවත්
fram	ඖෂධ
nwos	unambitious
ryap	නැවතසකසනවා
cwim	විශ්වසනීයත්වය
klep	kelp
psec	පියවා
djic	ලොවපුරා
kfut	ඇඳිරිනීතිය
crep	hamburger
frim	ප්රමේයය
gjas	ජලනය
hdef	හර
ryum	යුරේනියම්
pluk	තක්සේරු
krop	සම්බන්ධීකරණය
nraf	බදුගෙවන්නන්ගේ
tyes	ඒකාබද්ධ
plip	පද්ධතියඛණ්ඩනයවීම
hgom	ගැමා
hgus	සංගුණකය
cwuc	තාපකය
zret	අඩු
nles	රසපරීක්ෂක
trof	intransitive
hmof	වෙළඳසංකීර්ණයක්
hzim	bismuth
dzac	භෝජන
psok	තැපැල්පත
blon	අභිසරණය
djet	digress
ksum	කොටස්හිමියන්ගේ
mrup	ක්ෂුද්රජීවී
clif	සර්පිලයේ
cloc	එවායේබාහිර
tfes	ඒවාසපයන්නා
gjis	ඩෙනිම්
jren	ජවිපෙත්
tlep	දත්තසමුදාය
kcup	කූපන්
glot	වෝල්ටියතාවය
glut	කැල්ක්යුලේටරය
srep	සයිබර්අවකාශයේ
nwes	ආයෝජකයා
ksef	xකිරණ
bzis	වීසා
frut	යටිතල
nyuk	ෆයර්ෆ්ලයි
dyik	අනාවරණයක්
plec	පිරිද්දුමෙන්
brom	බ්රෝමීන්
plop	පැලේඩියම්
zlik	සිලිකන්
flut	වෝල්ට්
ksop	විලවුන්
gjun	බාහිරපෙනුම
kfok	hiccup
hpof	පොරි
hzuk	සත්වෝද්යානය
nyoc	ලිපියේඅරමුණ
jwak	යෝග
brim	barium
kles	හිසගසාදානවා
mwam	ඔව්
fwik	තදබව
djas	ජෑස්
dyim	ශ්රව්ය
tsum	ටංස්ටන්
drip	dribble
lyaf	විචාරාත්මකදැනීමකින්
prom	ගැලීම්සටහන්
nrup	ආදාන
hfes	නොකැමැත්තෙන්
rwaf	chrysanthemum
dlen	ලේඛගතකිරීම
byas	එන්නත
fron	හෙරොයින්
dluk	විසන්ධි
dyun	නිර්ණය
flap	ෆෝල්ඩරය
kfet	කැතෝඩ
dlim	දෘෂ්ටිවාදය
prek	වාහනනැවැත්වීමේ
syoc	සැණරුව
slus	ප්රවේශ
nlos	anticlimax
mlen	සෙලේනියම්
pres	බාහිකයේ
hlof	සල්ෆර්
nlek	වත්මන්අදාළමාකර්
gwot	ගුවන්තොටුපල
mwip	පිල්ලයාන්
klop	කැරපොත්තා
kwom	ක්රෝමියම්
hl6t	ලීටර්
nwec	කොහොමවුනත්
glip	චක්රීය
nrop	පඩිනඩි
crum	හෝමෝන
dlep	සංවර්ධක
frot	සිදුරු
bwoc	කඩාකප්පල්කාරී
fwis	ස්ත්රීවාදී
djok	ප්රතිබද්ධ
draf	නවීකරණය
trum	අන්තවාදී
graf	ඇල්ගොරිතම
lwes	ලේසර්
mlem	මිලිමීටර
flen	අයින්
zlot	ඇනෝඩය
swok	ක්ෂණිකව
klec	බල්ලාහෙම්බත්
pwim	අර්ධකාලීන
htuf	ටූනා
fyis	තෙල්පිරිපහදුව
lwet	සංවේදීතාව
mrem	රාමුව
jwic	තිරිහන්
droc	පෙලපාලිකරුවෙක්
clem	හීලියම්
dzik	ද්වීභාෂා
psem	ප්ලාස්මා
hjom	වැනිවර්ණදේහයේ
rwuc	ordinal
tyus	පූර්ණසංඛ්යාවක්
klom	කිලෝමීටරයක්
hfos	ෆැක්ස්
nwek	ජානවිද්යාව
jrap	ඉස්කුරුප්පුනියනක්
zwas	appetizer
bwok	බ්රොකොලී
dwap	ඇඩප්ටරය
syem	ආයාචිතතැපැල්
blek	දෛශික
tlus	උපක්රමයක්
pyif	නම්නොකල
cwoc	කමක්නෑ
mrep	ඇම්පියර්
hbem	විටමින්
hxan	doorman
hxut	සහනාධාර
hk6m	කැඩ්මියම්
hxin	simultaneity
txin	ටයිටේනියම්
kxin	කිලෝ
klum	copulate
xlis	hourglass
hqak	සින්ටැක්ටික්
hxat	නිර්මාණශීලීත්වය
hxik	ඊපොත
hxas	සේවාස්ථාන
bxon	බෝරෝන්
dxin	ෙපේරණය
hxit	හෙලිකොප්ටර්
tlum	ටෙලුරියම්
txit	නියමිතකාලය
kxat	ඔක්සිකරණය
hvik	සන්ධානගත
nluk	ඇනලොග්
nyem	සෙන්ටි
hm6t	ෙමොලිබ්ඩිනම්
hl6m	ලිතියම්
ht6t	බහුමාධ්ය
xlit	කැලරි
ryop	රොබෝ
pxas	ඖෂධවේදී
hxak	ගෙදරවැඩ
lwif	locative
grim	ලඝුගණක
hqat	mantis
qlit	පරිසරවිද්යාව
xlik	sophisticate
mlep	සැකිල්ල
