hnit	bezokolicznik
plut	ziemniak
glac	chciwość
gzac	zwielokrotniać
prun	spin
jlet	kalendarz
nyim	nominacja
tlos	trylion
slut	sałatka
fwit	twierdzącyhumor
pyen	Aplikacje
nlon	nominalny
dren	wykazać
drun	niezadowolenie
cyok	wzruszaćramionami
hfop	piłkanożna
ryac	Współpraca
gzin	pionier
hgip	kapusta
tyet	atletyczny
hdof	idiofony
hwup	nieoceniony
lwek	dźwignia
syec	senator
jyak	pomieścić
mlim	mrówka
fwic	faktycznie
gzit	wciąży
blas	poleganie
jrin	codziennie
gwak	kostka
drik	dziwnie
prif	zmienna
jwit	różnorodność
krip	dyskryminacja
ryot	onieśmielony
nwut	chodnik
kcif	aktywnie
jrak	żaba
twek	nadmiernysprawa
psot	pokuta
pfon	gąbka
sluk	wiewiórka
nlim	irrealishumor
ksaf	niedostatek
glak	wulkan
plen	równowaga
kfaf	szalik
kyon	wykorzystać
jlik	geologiczny
psop	paszport
kfis	luka
fyon	powinowactwo
nram	niemoralny
hbuk	Herbatnik
gras	trans
hyos	lękliwy
flim	film
plet	tablet
rwam	atom
blis	wanilia
zlit	AIDS
fyut	wybredny
crim	piramida
hjif	bezprawny
crif	nieśmiałość
lwap	lutnia
tyon	astronomia
mrim	labirynt
drut	opisowy
nrim	stypendium
kruc	żółw
kwam	doradca
jrik	krykiet
dlut	oznaczać
pyot	gołąb
dyon	dostosowanie
prap	operator
bzin	odznaka
tyek	trójkąt
trec	skarbnik
nron	wodór
pyet	drukarka
tsok	dławićsię
zyin	chroniczny
slek	rower
jyin	inżynieria
ryas	transmisja
zrak	odświeżać
nyas	tancerz
gric	emigracja
zlak	naruszać
tces	tenis
hjun	wietrzny
twen	splot
kyet	kolektor
gwit	kręgosłup
kyot	akord
fwin	częstotliwość
tfuc	warsztattkacki
dlet	informator
pfik	myśliciel
bjet	budżet
trek	strategia
kros	kwarc
gjit	nożyczki
gwic	przełącznik
frik	teoretyczny
tluc	ręcznik
pruc	patrol
glic	lodowiec
krun	kompletność
bjin	przewidywanie
tlaf	braćudział
tfet	producent
bras	boczny
dwik	pozwany
clec	wydechowy
cres	szachy
tcef	wiśnia
tcom	potknąćsię
nyot	tłumacz
tyok	ciężarówka
cyip	nieprześcigniony
grot	musztarda
bris	bezprzewodowy
nlam	Aukcja
slif	sito
hgos	rdza
swoc	niepewny
jyat	upadły
slum	islam
hjes	spisludności
dzat	chodzićnapalcach
slun	zawieszać
nwot	ciągłość
gyic	gitara
pfas	stronniczość
zyik	cynk
blen	błyszczący
hyem	wiąz
hnep	rozchwytać
nyut	trykotowy
ryam	zaimekznacznik
clim	przyprawa
jret	ostrość
tfon	droczyćsię
jwac	Jawa
hrep	przepis
dyac	koncesja
myip	metr
rwis	rasowy
hkem	kometa
nwon	innowacja
zwin	zakaz
dyis	średniowieczny
mrec	wróbel
fyot	notatka
mlon	pomiary
pfis	ratyfikacja
rwot	orbita
hfok	oszczędny
glof	golf
zron	zero
hzip	zamekbłyskawiczny
hwom	bezdomny
bjic	żucie
pcim	spełnić
hjip	żeton
bwac	ziewać
mlos	kret
mrip	garncarstwo
bron	zarodek
ksoc	odliczenie
cyum	drożdże
jyan	żargon
plim	śliwka
mwet	cmentarz
ryet	ukończyć
glik	nawadnianie
plap	kapitalista
tsif	elastyczność
gyak	rekin
djon	zaniedbanie
nwun	punktualny
cles	realizm
dris	corazbardziej
hkef	kawiarnia
blus	ambulans
blap	portfel
bjak	ekstatyczny
klim	grymas
gyac	naukowiec
jyit	spokójumysłu
dzit	realistyczny
bwak	napodwórko
dyot	radio
bwon	fasola
fris	nieformalny
klut	spekulować
tfek	stek
nrok	azot
zyat	brzytwa
bram	mruczeć
ryis	wprowadzający
nlip	analizować
nros	kontrastujące
hcof	rozbieraćsię
tfif	zachęta
kroc	bruzda
hdum	judaizm
pses	odbiorca
plok	uzupełnienie
lyet	obiektyw
pwek	pegativesprawa
kfas	nowotwór
pwen	pionek
nrun	przypomnienie
clek	nieszczelność
pcif	windykacja
glas	złożoność
zwit	gadatliwy
kces	dostateczność
crem	sprzedaż
grap	chwycić
kwip	interweniować
dyut	obniżkacen
crus	hierarchia
gyet	jadeit
gram	warczenie
kyip	jaszczurka
nyet	Podkładka
crop	wodospad
glon	galon
mrok	komar
fluc	biegły
dwic	odchylenie
slec	poszukiwacz
srec	wygasające
blut	zmagaćsię
myok	mozaika
tlek	wtyczka
nruk	zakaźny
nwoc	odtąd
bjut	kucać
hges	ciąża
twoc	sklepspożywczy
kyos	komunistyczny
mrek	zadziwiać
clip	skrucha
pwok	prosecutivesprawa
dwot	dyktator
zyac	zaabsorbowanie
jlic	satelita
slop	pantofel
ryip	proporcjonalny
psim	przybliżony
byet	bezrobotny
cyop	hobby
rwun	kryterium
blop	żarówka
syok	kibic
klos	chlor
lwot	chlorek
byic	bakteria
lyik	lepki
blok	biologiczny
jlac	udać
bret	bajt
krif	wydzielanie
blet	balet
nruc	mocz
tsus	czosnek
dyak	klasaśrednia
tcem	szczypce
cyoc	wyzwanie
trep	truskawka
dlun	zanieczyszczenie
hlup	album
hbep	baseball
praf	piractwo
pwis	imiesłów
grek	garaż
kruk	krocze
hfof	fosfor
rwut	strukturalny
myam	Gimnazjum
krec	dźwig
jras	kontrahent
zrik	notyfikować
blam	salabalowa
klip	rzemieślnik
hwef	niezapłacony
zlac	banan
gret	Generator
lwuk	żebro
nyek	nikiel
blos	autobus
sles	cenzor
tlif	dachówka
kses	kiełbasa
mwot	pomidor
lyot	automatyczny
tsom	potas
brut	wirtualny
djap	algebra
hjok	rodzajowy
kfen	koncepcje
pcok	optyczny
bzut	drgnąć
syek	bezrobocie
mruc	gąsienica
bwas	przeglądarka
klif	wapń
rwet	zdalnyprzeszłośćczas
srif	historycznyczas
hwem	widmo
syom	sód
tyos	powiernik
jyic	zakładnik
hguk	gurda
dwun	marszczyć
swip	kolec
tlec	kleszcz
blaf	rzepak
tsem	ateizm
mloc	monitor
gyot	warunkowy
trop	sonda
rwap	kwartalny
hjep	płeć
pyim	platyna
dlon	podwójnynumer
pcep	płuco
twuk	czyszczenie
tyec	etykietka
syup	Wspaniały
trom	wózeksklepowy
nyip	lokalnie
glis	benzyna
gjik	nerka
hjos	beznadzoru
hjuc	łup
swek	przepracowany
psek	arsen
twok	statystyczny
tsep	konikpolny
slos	socjalista
nwim	sensorycznydowodowyhumor
tlop	obrus
trus	kontrowersyjny
pwot	smycz
djot	osad
nloc	odkosz
mwon	mandarynka
hjek	jockey
crom	współpracować
myon	zapaleniepłuc
twec	zlokalizować
ryek	rakieta
dlic	dywidenda
kwet	łyżwa
bwen	obsesja
plon	przydział
syon	dyszeć
djis	cyfrowy
byut	suka
hyep	powieka
dwon	przekątna
byis	podświadomy
brec	brew
cyec	kichać
hwop	wat
clus	wesoły
kfun	okupacja
nwum	hinduizm
fyim	uchodźca
cwos	czółenko
tfoc	ukłucie
pwon	białko
sraf	siebiezadowolony
hbom	wymiotować
gyen	gen
drim	studentpierwszegoroku
trem	accoutrements
tsup	roztrzaskać
slok	socjologia
kwoc	zdusić
bwam	wyborca
mlok	ruchliwość
kyen	regionalny
hmop	ruchpodgórkę
rwek	zmocąwsteczną
kfup	sześcian
grok	marchew
drap	usidlić
lwis	molekularny
ksuc	księgowa
tsop	smród
kyok	ogórek
nroc	orgia
jlot	rozpuszczalnik
psof	fosforan
hgif	fascynować
kfim	alkaliczny
psos	gimnastyka
pfen	weryfikacja
kcom	ekonomista
krom	przecinek
tluk	wiciesię
hyom	jod
nwuc	ruchspadek
gjac	poronienie
pcom	strąk
dzic	projektant
grun	chwaleniesię
dzot	dawca
hzek	mangan
kfot	klawiatura
jlas	niewiarygodne
lyim	elita
jyen	jen
pcaf	nawias
rwip	rugby
blip	Biblia
kyoc	związekprzyczynowy
lyon	wrzód
flis	fleksyjny
nrif	skubać
kfam	kwant
swes	sweter
lwon	ewolucyjny
drec	sekcja
gjap	spa
lyec	liniowy
tyom	antymon
pwuk	superessivesprawa
flaf	alfa
myim	odporny
pcek	porwanie
bjac	browar
bzac	ograniczać
bzak	skarpetka
twes	telewizja
dwut	filmdokumentalny
ksom	kosmos
lyis	leśnictwo
lwim	aluminium
ksok	horoskop
sruc	przyśpieszyćcoś
dlif	delfin
byik	zabójca
tfec	materiałybiurowe
hjaf	ssak
ryok	protokół
dwis	dwutlenek
jlon	dwukropek
brus	biurokracja
gjak	galaktyka
lyip	kliniczny
ryem	rad
href	rozrzedzone
prok	lodówka
slep	satyr
dret	iteracja
kluk	archeologiczny
dlis	idiosyncrasy
kfip	gorszący
mlec	masaż
pfif	specyfikacja
nrec	sensoryczny
pfet	ulotka
hzoc	byćpodstawą
dlam	idealnie
nlec	antropologia
kluc	pyszne
dyet	sedan
tyif	przechodni
krus	czołgaćsię
nluc	słonecznik
lyun	jon
zrot	ekstradycja
ksif	fałszować
psif	emisja
crup	zakładka
fret	znalazca
grut	odwracać
ksec	kolegazklasy
jric	planpodróży
mrop	kuchenkamikrofalowa
srus	wyrugować
gyas	fryzjer
floc	folklor
plek	kapilarny
nwop	zad
nrom	kontroler
twos	terroryzm
lwok	hasło
dwet	zbiegiemczasu
slem	sublimować
grip	grill
gwas	łał
kwok	kobalt
gwon	owies
hdop	ruchupriver
glam	odbyt
bwot	wołowy
bren	jelito
byot	wideo
bjik	bojkot
kwim	kartkówka
cwek	hokej
grif	partyzant
hgem	magnez
hyes	świadomość
fram	Apteka
nwos	ambicji
ryap	przemieniać
cwim	niezawodność
klep	wodorostymorskie
psec	zwracaćkoszty
djic	nacalymswiecie
kfut	ciszanocna
crep	hamburger
frim	twierdzenie
gjas	zapalać
hdef	obciążyć
ryum	uran
pluk	oszacować
krop	koordynować
nraf	podatnik
tyes	zintegrowany
plip	zawyrokował
hgom	gamma
hgus	współczynnik
cwuc	podgrzewacz
zret	odejmować
nles	analityk
trof	nieprzechodni
hmof	centrumhandlowe
hzim	bizmut
dzac	taniarestauracja
psok	Pocztówka
blon	konwergencja
djet	błądzić
ksum	akcjonariusz
mrup	mikrob
clif	spirala
cloc	morfologiczne
tfes	żywieniowiec
gjis	dżinsy
jren	wyrównanie
tlep	Bazadanych
kcup	kupon
glot	Napięcie
glut	kalkulator
srep	cyberprzestrzeni
nwes	inwestor
ksef	rentgenowski
bzis	wiza
frut	infrastruktura
nyuk	robaczekświętojański
dyik	detektor
plec	splatać
brom	brom
plop	paladium
zlik	krzem
flut	wolt
ksop	kosmetyk
gjun	uwodzenie
kfok	czkawka
hpof	prażonakukurydza
hzuk	ogródzoologiczny
nyoc	konotacja
jwak	joga
brim	bar
kles	ściąćgłowę
mwam	tak
fwik	sztuczneognie
djas	jazz
dyim	audio
tsum	wolfram
drip	dryblować
lyaf	alimenty
prom	programista
nrup	wkład
hfes	zwrotny
rwaf	chryzantema
dlen	dokumentacja
byas	szczepionka
fron	heroina
dluk	rozłączyćsię
dyun	rozpoznaćchorobę
flap	teczka
kfet	katoda
dlim	ideologia
prek	parking
syoc	migawka
slus	dostępność
nlos	rozczarowanie
mlen	selen
pres	kora
hlof	siarka
nlek	obecnyZnaczenie,związekztematemznacznik
gwot	Lotnisko
mwip	oszust
klop	karaluch
kwom	chrom
hl6t	litr
nwec	niemniejjednak
glip	cykliczny
nrop	listapłac
crum	hormon
dlep	deweloper
frot	przedziurawić
bwoc	sabotaż
fwis	feminista
djok	sprzężony
draf	zmodernizować
trum	ekstremista
graf	algorytm
lwes	laser
mlem	milimetr
flen	zgiąć
zlot	anoda
swok	tulićsię
klec	pieszmęczony
pwim	wniepełnymwymiarzegodzin
htuf	tuńczyk
fyis	rafineria
lwet	wrażliwość
mrem	mainframe
jwic	odmłodzenie
droc	demonstrator
clem	hel
dzik	dwujęzyczny
psem	osocze
hjom	chromosom
rwuc	porządkowy
tyus	liczbacałkowita
klom	kilometr
hfos	faks
nwek	genetyka
jrap	śrubokręt
zwas	przystawka
bwok	brokuł
dwap	adapter
syem	spam
blek	wektor
tlus	taktyka
pyif	nieokreślone
cwoc	wporządku
mrep	amper
hbem	witamina
hxan	portier
hxut	subsydiować
hk6m	kadm
hxin	równoczesność
txin	tytan
kxin	kilogram
klum	spółkować
xlis	klepsydra
hqak	syntaktyczny
hxat	kreatywność
hxik	ebook
hxas	Miejscepracy
bxon	bor
dxin	indukcyjność
hxit	śmigłowiec
tlum	tellur
txit	ostatecznytermin
kxat	utleniać
hvik	wyrównać
nluk	analog
nyem	centymetr
hm6t	molibdenu
hl6m	lit
ht6t	multimedialny
xlit	kaloria
ryop	robot
pxas	farmaceuta
hxak	Pracadomowa
lwif	miejscownik
grim	logarytm
hqat	modliszka
qlit	ekologia
xlik	sophisticate
mlep	szablon
hqit	radioaktywność
kxim	kilogram
hxen	lokator
hxot	przejadaćsię
kyif	fotokopiarka
fwet	darmowy
txet	podzbiór
hs6n	ciągły
hxet	podsłuchiwać
xrat	ostrzyżenie
hqan	zająćwłasność
hr6t	iryd
bxat	pasmo
dxet	pulpit
hxis	wykładniczy
hxok	centrala
hxek	zapodziać
srem	cer
hp6t	cząstkowy
pxik	cząstkowysprawa
kxet	kaseta
pruk	supermarket
hvit	siławoli
xlin	nieaktywny
frip	szyfrowanie
hvep	przepłacać
hxon	synchronizować
kxit	wyolbrzymiać
hqin	seminarium
tr6n	stereofoniczny
ht6n	łącznik
hvat	nadchodzący
sl6s	Celsjusz
hn6n	neon
ts6t	realczas
hvin	opływowy
pxat	kiosk
myoc	moduł
ps6s	makaron
bwek	aktówka
dlok	Deluxe
fraf	zapora
hr6k	artefakt
txat	czaslunchu
hqon	oregano
pxun	pluton
ks6n	stacjarobocza
slef	ruchomeschody
xrit	ratownik
hvut	przepełnić
xrim	itr
hx6t	augmentatywny
hqum	nazwaużytkownika
hl6n	sprzedawcy
gron	argon
pxan	promocyjny
hvac	zmywarka
xlan	globalizacja
txon	długośćfali
xrik	recykling
hxap	plecak
hxac	restart
xyat	zapaleniewątroby
cwep	wypłata
hxos	torus
txif	krój
qlat	agentnieruchomości
txot	połowyjesieni
hxam	miligram
pxis	piksel
pwif	zapowiedź
txam	tantal
myek	termodynamiczny
hbop	włamaćsię
hqot	substancjirozpuszczonej
xlic	wózekinwalidzki
gxit	ludobójstwo
hvan	walkazogniem
glim	gal
pfop	muzykapopwgórę
hzum	cyrkon
xlon	hotline
qlin	nieliniowy
kxam	skand
blim	beryl
kxik	skonfigurować
nr6n	neuron
hpef	predykatywny
hruf	Router
kxan	silnia
hxic	wytyczne
xlip	Siatkówka
dyek	odpluskwić
hxop	zegareknarękę
qrot	neutron
nwip	niob
hs6t	ubikacja
grem	german
tles	metaloid
hp6k	prolativesprawa
qyin	bioróżnorodność
txak	antybiotyk
mlun	unieruchomienie
txan	aktyn
xran	astronauta
dres	rozprężać
tr6t	pozaziemski
hk6t	oktet
hxus	otwartyźródło
xlat	głupek
mraf	maraton
ts6n	wpołowiewiosny
ht6s	autyzm
nlif	zjonizować
txut	rozgłos
hm6n	emitujące
kxis	spinaczsztuka
xrin	poddawanych
xren	przekierowanie
bxak	zakładka
pfos	zawodowiecwyrażenie
hvis	kał
hd6n	mianownik
brum	salakonferencyjna
hqis	szowinista
hk6n	skompilować
xyit	przesunięcieklawisz
xyin	sekundę
hxun	subsisting
hvas	role
glok	blog
hvak	meandrujące
pxit	Ipadres
hvet	obok
xram	szafranowy
hc6n	oczywistość
qran	Koran
zyen	ksenon
hqas	przysięgamw
bzas	zblazowany
hj6n	nieczłowiek
hnof	wymijający
txas	twórcy
hbum	buddyzm
ts6s	kłócić
pxin	Składniki
hr6n	racjonować
hxim	midlato
dxit	wpołowiezimy
hxaf	wykopać
nlus	roślinadomowa
txap	statusbar
vrit	Autorwidmo
kxak	wygłupiaćsię
bxin	Ludzkieciało
hqik	płaszczprzeciwdeszczowy
hxes	herc
hxif	zahipnotyzować
xras	cogodzinny
pl6k	Asystent
dxat	pochopność
hxip	przeciwciało
vrat	spodenki
hqek	przekształcanie
qrit	biegunowość
pxot	Poczta
hxom	dżonkaPoczta
hqic	recenzent
lwun	niebiesko-Jean
hp6n	dojrzewanie
dxan	dołączając
xrak	aktorrola
dxak	wypadek
hven	pojemniki
mwap	komiks
qlan	ślepynakolory
xros	rozbieraniesię
srom	showroom
hc6t	czacie
qrat	dogórynogami
hn6t	zahamowanie
hqet	Stronawww
fres	fundraise
froc	kucie
xlak	hiperłącze
vlat	potoczystośćmowy
dvan	wysiadania
gxin	zdobywanie
ryes	recepcjonista
kxot	złącza
xyan	wyznaczenie
vlan	człowiekogłaszający
ryom	toratom
hluf	podeszływiek
hquk	wstrzykiwać
lyum	tulatom
tyem	terbatom
hp6m	prazeodym
txic	Domstrona
mros	kierowca
dyam	rodatom
pc6n	próbanumer
nyos	wpudełku
pyek	projektor
kxon	krypton
hxuc	ratowanie
qrik	centrycznysprawa
xwin	brakdoświadczenia
kxic	gaśnica
hvot	Schematblokowy
dxot	jogurt
hqut	kronikinazewnątrz
pxen	oddziałowy
drok	celcyngiel
flon	telefonkomórkowy
txos	środkowygłos
hqok	ukośnysprawa
xwik	cierpliwysprawa
hx6n	prehodiernal
txik	palecwskazujący
hqen	nadawca
mlap	szkodliweoprogramowanie
hvun	perswazja
hvon	ścieraniesię
vran	pocztyprzewoźnika
pfes	profesor
pwip	poeta
hqam	trening
gxat	legalność
ks6t	przyczynowy
vrin	rekruter
kxip	spinacztablica
sr6n	krzywy
vlit	oceniający
tyup	przedmieście
mrom	morfem
xron	słuchawkowe
gxak	kosztowny
hrof	trojańskikoń
xlas	sparaliżowany
dzet	odmalować
txac	Poddanie
xrot	nieużywany
txis	kropkamatryca
syif	sijednostki
xrac	zaskakująco
brif	Wartośćbinarna
dlos	modalnysprawa
txun	atrybuty
dvat	gderliwy
psom	zpierwszejręki
gjek	else-if
nlem	Jednostka-of-mas
qret	sprzedażsklep
txip	triple-punkt
dlek	indywidualnie
lwut	Przepływprądu
dxis	dramatycznie
hs6m	cez
vlak	torpeda
hn6m	Nerium
kxap	karton
bxan	odchodząc
myem	MiesiącMaj
gxik	prawaobywatelskie
hxoc	siłyPowietrzne
xrok	współpracownik
kr6t	zrzutekranu
txok	automatycznie
hxep	deskorolka
srop	smartphone
pxak	Czapkizamek
hk6k	muzykaludowa
hl6k	euler'snumer
pyom	polonatom
xyam	talatom
hvic	inwazji
lyok	miejscowniksprawa
xlot	mieszkania
txen	przekształcenie
kxac	kontratak
qrak	łamistrajk
hbup	basen
txuk	zwarcie
tsef	stożkowy
bxit	Siećgospodarz
ksem	czytaćtylko
byim	rubidatom
hvam	wanadatom
lw6n	lantan
frum	fluoratom
nyom	neodym
mlom	multalnumer
kxas	nadaćcechyosobiste
xret	terabajt
hs6k	Poszukiwaniesilnik
frus	korozji
gxan	galaktykapłeć
vlas	wokalizacje
glet	pedałgazu
hvim	czaspracy
bxip	bitmapy
qrin	gwiazdapłeć
bvak	abessivesprawa
pxon	niedostępne
dvik	adessivesprawa
dvek	agentivesprawa
hlef	agentcyngiel
kwek	dosprawa
kxen	wspólnypłeć
ht6m	cytatformularz
tsuf	transliczbowy
hf6n	dystynkcja
tc6t	bezpośredniobiekt
gvik	ergativesprawa
gxon	podział
ksep	chwytnik
vyin	film-teatr
pyos	pasywnygłos
hnef	skończoneczasownik
xwit	Podstawowaobiekt
hqim	gnomicznyhumor
jlak	uogólnienie
vrik	finałcząstka
qyan	urojone-unit
kxaf	prędkośćświatła
xyic	wyłudzanieinformacji
qyit	punktkrytyczny
hvek	evitativesprawa
bvik	subessivesprawa
hzes	opętanysprawa
prus	wiruskomputerowy
ples	edytor
pxif	policjaoficer
dvak	lativesprawa
brun	turystyka
tsi_k	antessivesprawa
tyum	rutenatom
vyak	przysłówkowysprawa
pxim	Premier
syum	strontatom
sy6n	podejrzliwość
hy6n	animowaćpłeć
pxac	empatycznyradość
vlin	pojazdpłeć
qwin	minerałpłeć
hr6s	skierowanie
tf6n	toner
xris	użytkownikberło
hw6n	przysięga
xlen	werbalnyrzeczownik
pyec	arkusz
vlim	wirtualnypamięć
bres	słowoedytor
hqip	Chmuraprzetwarzaniedanych
vlic	wirtualnymaszyna
pfam	spamer
dyap	Sekundajęzyk
txek	nth-korzeniowy
dxen	danegórnictwo
byip	biznesosoba
hs6c	samegosiebiepewnośćsiebie
txim	odnosząc
hb6t	zmianazzdarzenie
hdem	domenaNazwa
dxon	różnezdarzenie
lwaf	migaćnapęd
sl6t	crastinalczas
xyik	miękkidysk
fyif	zwrotnygłos
bvin	wszechświatpłeć
hm6p	płytagłówna
tfip	przechodniczasownik
jlen	miejscowośćpłeć
xrap	pasiasty
tc6n	Badaniapłeć
sl6n	artystycznypłeć
xrek	cierpliwycyngiel
xwan	abstrakcyjnypłeć
dxif	Konferencjawideo
dyip	pośredniprzemówienie
zrek	exocentricsprawa
hvuk	wywołując
xwat	przeszłośćperfektywny
hr6m	ren
txaf	wywołany
hmef	bezosobowyczasownik
tx6t	tekstredaktor
txes	kolektywrzeczownik
bvat	znęca
bvuk	absolutivesprawa
ry6t	radian
vlis	wirtualnyrzeczywistość
qren	planetarnypłeć
gvak	gramatyczno-case
bxok	łysy
mrum	komputerprogram
ps6t	operacyjnysystem
hfom	fonem
tlem	czytaćtylkopamięć
pwam	programyszpiegujące
kfif	rdzeńbenefactive
qwit	racjonalność
nlaf	Instalowanie
nwok	asocjacyjnysprawa
dzas	wywołaćniezadowolenie
swuk	superlatywsprawa
syos	zreasumowanie
kr6n	elektrycznyaktualny
dvin	nieożywionypłeć
pxom	propositivehumor
vris	odwrotnośćgłos
rwos	aerosol
dr6t	prowokatora
ht6k	telekomunikacja
slaf	społecznysieci
lyuk	kolejnyklauzula
qras	przełożeni
ty6n	terminal
gwet	wkrótceprzyszłośćczas
hp6s	aplikacyjnychgłos
tsof	antipassivegłos
ht6p	continuativeaspekt
hn6f	necessitativehumor
pfip	pasywnyimiesłów
glap	paseknarzędzi
sy6k	egzystencjalnyklauzula
qyat	świetlnyintensywność
hy6t	gramatyczno-obiektu
vyan	wypowiedzenie
sluf	singulativenumer
dvit	nadmiernytrwanie
qyak	pojedynczyczynnośćczasownik
bzik	fizyka
xlet	superlatywstopień
hqap	obecnyimiesłów
qwat	ilośćzsubstancja
qyik	łączącycząstka
sr6t	płynuwstanienadkrytycznym
hfem	epentetycznymorfem
tl6t	zdalnyprzyszłośćczas
mrif	mikrofon
pcuk	postpositionalsprawa
tfim	losowydostęppamięć
fwim	etydyny
ly6t	przemówienieumowa
hvap	zwójbar
hfep	częstotliwyaspekt
bvan	dystrybucyjnyzaimek
fyun	zmiennoprzecinkowąnumer
xyas	kasowanie
hvif	czasownik-przyrostek
xyis	przeszłośćpasywnyimiesłów
tl6n	centralnyprzetwarzaniejednostka
tfok	miejscownikkierunkowysprawa
qwan	częstospytałpytania
