hnit	infinito
grot	senape
bris	senzafili
nlam	venditaall'asta
slif	setaccio
hgos	ruggine
swoc	instabile
jyat	fallito
slum	Islam
hjes	censimento
dzat	puntadipiedi
slun	sospendere
nwot	continuità
gyic	chitarra
pfas	pregiudizio
zyik	zinco
blen	lucente
hyem	olmo
hnep	corsa
nyut	amaglia
ryam	pronomemarcatore
clim	Spezia
jret	nitidezza
tfon	stuzzicare
jwac	Giava
hrep	ricetta
dyac	franchigia
myip	metro
rwis	razziale
hkem	cometa
nwon	innovazione
zwin	bandire
dyis	medievale
mrec	passero
fyot	nota
mlon	misurazione
pfis	ratifica
rwot	orbita
hfok	frugale
glof	golf
zron	zero
hzip	cernieralampo
hwom	senzacasa
bjic	masticazione
pcim	soddisfare
hjip	patatafritta
bwac	sbadiglio
mlos	talpa
mrip	ceramica
bron	embrione
ksoc	deduzione
cyum	lievito
jyan	gergo
plim	prugna
mwet	cimitero
ryet	diplomato
glik	irrigazione
plap	capitalista
tsif	elasticità
gyak	squalo
djon	predefinito
nwun	puntuale
cles	realismo
dris	semprepiù
hkef	bar
blus	ambulanza
blap	portafoglio
bjak	estatico
klim	smorfia
gyac	scienziato
jyit	equanimità
dzit	realistico
bwak	all'aperto
dyot	Radio
bwon	fagiolo
fris	informale
klut	speculare
tfek	bistecca
nrok	azoto
zyat	rasoio
bram	borbottio
ryis	introduttivo
nlip	analizzare
nros	contrasto
hcof	spogliarsi
tfif	incentivo
kroc	solco
hdum	giudaismo
pses	destinatario
plok	complemento
lyet	lente
pwek	pegativecaso
kfas	cancro
pwen	pegno
nrun	promemoria
clek	perdita
pcif	rivendicazione
glas	complessità
zwit	loquace
kces	sufficienza
crem	Aldettaglio
grap	afferrare
kwip	intervenire
dyut	sconto
crus	gerarchia
gyet	giada
gram	ringhio
kyip	lucertola
nyet	tampone
crop	cascata
glon	gallone
mrok	zanzara
fluc	fluente
dwic	deviazione
slec	esploratore
srec	chescade
blut	lottare
myok	mosaico
tlek	spina
nruk	infettivo
nwoc	d&#39;orainavanti
bjut	tozzo
hges	gravidanza
twoc	drogheria
kyos	comunista
mrek	stupire
clip	contrizione
pwok	prosecutivecaso
dwot	dittatore
zyac	preoccupazione
jlic	satellitare
slop	pantofola
ryip	proporzionale
psim	approssimativo
byet	disoccupato
cyop	hobby
rwun	criterio
blop	lampadina
syok	sostenitore
klos	cloro
lwot	cloruro
byic	batteri
lyik	appiccicoso
blok	biologico
jlac	fingere
bret	byte
krif	secrezione
blet	balletto
nruc	urina
tsus	aglio
dyak	classemedia
tcem	tenaglie
cyoc	stimolante
trep	fragola
dlun	inquinamento
hlup	album
hbep	baseball
praf	pirateria
pwis	participio
grek	boxauto
kruk	stampella
hfof	fosforo
rwut	strutturale
myam	palestra
krec	gru
jras	contraente
zrik	notificare
blam	saladaballo
klip	artigiano
hwef	nonpagato
zlac	banana
gret	generatore
lwuk	costola
nyek	nichel
blos	autobus
sles	censurare
tlif	piastrella
kses	salsiccia
mwot	pomodoro
lyot	auto
tsom	potassio
brut	virtuale
djap	algebra
hjok	generico
kfen	concetti
pcok	ottico
bzut	muoversi
syek	disoccupazione
mruc	bruco
bwas	delbrowser
klif	calcio
rwet	adistanzapassatoteso
srif	storicoteso
hwem	spettro
syom	sodio
tyos	fiduciario
jyic	ostaggio
hguk	zucca
dwun	grinza
swip	spuntone
tlec	zecca
blaf	stupro
tsem	ateismo
mloc	teneresottocontrollo
gyot	condizionale
trop	sonda
rwap	trimestrale
hjep	Genere
pyim	platino
dlon	doppionumero
pcep	polmone
twuk	purga
tyec	etichetta
syup	super
trom	carrello
nyip	localmente
glis	benzina
gjik	rene
hjos	incustodito
hjuc	bottino
swek	oberatidilavoro
psek	arsenico
twok	statistico
tsep	cavalletta
slos	socialista
nwim	sensorialeprobatorioumore
tlop	tovaglia
trus	controverso
pwot	guinzaglio
djot	sedimento
nloc	affronto
mwon	mandarino
hjek	fantino
crom	cooperare
myon	polmonite
twec	situare
ryek	razzo
dlic	dividendo
kwet	pattinare
bwen	ossessione
plon	assegnazione
syon	ansimare
djis	digitale
byut	cagna
hyep	palpebra
dwon	diagonale
byis	subconscio
brec	sopracciglio
cyec	starnuto
hwop	watt
clus	ilare
kfun	occupazione
nwum	induismo
fyim	profugo
cwos	navetta
tfoc	fitta
pwon	proteina
sraf	autosoddisfatto
hbom	vomito
gyen	gene
drim	matricola
trem	corredi
tsup	frantumare
slok	sociologia
kwoc	schiacciare
bwam	elettore
mlok	mobilità
kyen	regionale
hmop	movimentosalita
rwek	retrospettiva
kfup	cubo
grok	carota
drap	intrappolare
lwis	molecolare
ksuc	contabile
tsop	puzza
kyok	cetriolo
nroc	orgia
jlot	solvente
psof	fosfato
hgif	affascinare
kfim	alcalino
psos	ginnastica
pfen	verifica
kcom	economista
krom	virgola
tluk	guizzo
hyom	iodio
nwuc	movimentodiscesa
gjac	abortospontaneo
pcom	baccello
dzic	designer
grun	vanteria
dzot	donatore
hzek	manganese
kfot	tastiera
jlas	inaffidabile
lyim	elite
jyen	yen
pcaf	parentesi
rwip	rugby
blip	Bibbia
kyoc	causa
lyon	ulcera
flis	flesse
nrif	sgranocchiare
kfam	quantistico
swes	maglione
lwon	evolutiva
drec	dissezione
gjap	terme
lyec	lineare
tyom	antimonio
pwuk	superessivecaso
flaf	alfa
myim	immune
pcek	rapimento
bjac	fabbricadibirra
bzac	abbreviare
bzak	calzino
twes	televisione
dwut	documentario
ksom	cosmo
lyis	silvicoltura
lwim	alluminio
ksok	oroscopo
sruc	affrettare
dlif	delfino
byik	killer
tfec	cartoleria
hjaf	mammifero
ryok	protocollo
dwis	biossido
jlon	colon
brus	burocrazia
gjak	galassia
lyip	clinico
ryem	radio
href	rarefatto
prok	frigorifero
slep	satiro
dret	iterazione
kluk	archeologico
dlis	idiosincrasia
kfip	inaccettabile
mlec	massaggio
pfif	specificazione
nrec	sensoriale
pfet	opuscolo
hzoc	essereallabase
dlam	idealmente
nlec	antropologia
kluc	gustoso
dyet	berlina
tyif	transitivo
krus	accasciarsi
nluc	girasole
lyun	ione
zrot	estradizione
ksif	falsificare
psif	emissione
crup	sovrapposizione
fret	mirino
grut	invertire
ksec	compagnadiclasse
jric	itinerario
mrop	microonde
srus	cacciare
gyas	parrucchiere
floc	folclore
plek	capillare
nwop	natiche
nrom	controllore
twos	terrorismo
lwok	slogan
dwet	coltempo
slem	sublimare
grip	griglia
gwas	Wow
kwok	cobalto
gwon	avena
hdop	movimentoamonte
glam	ano
bwot	bovino
bren	intestino
byot	video
bjik	boicottare
kwim	quiz
cwek	hockey
grif	guerriglia
hgem	magnesio
hyes	consapevolezza
fram	farmacia
nwos	nonambizioso
ryap	riordinare
cwim	affidabilità
klep	fuco
psec	rimborsare
djic	Intuttoilmondo
kfut	coprifuoco
crep	hamburger
frim	teorema
gjas	infiammare
hdef	addebito
ryum	uranio
pluk	valutare
krop	coordinata
nraf	contribuente
tyes	integrato
plip	opinato
hgom	gamma
hgus	coefficiente
cwuc	riscaldatore
zret	sottrarre
nles	analista
trof	intransitivo
hmof	centrocommerciale
hzim	bismuto
dzac	commensale
psok	cartolina
blon	convergenza
djet	divagare
ksum	azionista
mrup	microbo
clif	elica
cloc	morfologico
tfes	approvvigionatore
gjis	jeans
jren	allineamento
tlep	Bancadati
kcup	buono
glot	voltaggio
glut	calcolatrice
srep	cyberspazio
nwes	investitore
ksef	raggiX
bzis	Visa
frut	infrastruttura
nyuk	lucciola
dyik	rivelatore
plec	giuntura
brom	bromo
plop	palladio
zlik	silicio
flut	volt
ksop	cosmetico
gjun	governare
kfok	singhiozzo
hpof	Popcorn
hzuk	zoo
nyoc	connotazione
jwak	yoga
brim	bario
kles	decapitare
mwam	sì
fwik	fuocod&#39;artificio
djas	jazz
dyim	Audio
tsum	tungsteno
drip	dribblare
lyaf	alimenti
prom	programmatore
nrup	ingresso
hfes	riflessivo
rwaf	crisantemo
dlen	documentazione
byas	vaccino
fron	eroina
dluk	disconnect
dyun	diagnosticare
flap	cartella
kfet	catodico
dlim	ideologia
prek	parcheggio
syoc	istantanea
slus	accessibilità
nlos	anticlimax
mlen	selenio
pres	corteccia
hlof	zolfo
nlek	correnterilevanzamarcatore
gwot	aeroporto
mwip	impostore
klop	scarafaggio
kwom	cromo
hl6t	litro
nwec	ciònonostante
glip	ciclico
nrop	libropaga
crum	ormone
dlep	sviluppatore
frot	perforare
bwoc	sabotaggio
fwis	femminista
djok	coniugare
draf	modernizzare
trum	estremista
graf	algoritmo
lwes	laser
mlem	millimetro
flen	flettere
zlot	anodo
swok	rannicchiarsi
klec	canestanco
pwim	mezzagiornata
htuf	tonno
fyis	raffineria
lwet	sensibilità
mrem	mainframe
jwic	ringiovanimento
droc	dimostratore
clem	elio
dzik	bilingue
psem	plasma
hjom	cromosoma
rwuc	ordinale
tyus	numerointero
klom	chilometro
hfos	fax
nwek	genetica
jrap	cacciavite
zwas	aperitivo
bwok	broccoli
dwap	adattatore
syem	spam
blek	vettore
tlus	tattica
pyif	imprecisato
cwoc	tuttoapposto
mrep	ampere
hbem	vitamina
hxan	portiere
hxut	sovvenzionare
hk6m	cadmio
hxin	simultaneità
txin	titanio
kxin	chilo
klum	accoppiarsi
xlis	clessidra
hqak	sintattica
hxat	creatività
hxik	ebook
hxas	postodilavoro
bxon	boro
dxin	induttanza
hxit	elicottero
tlum	tellurio
txit	scadenza
kxat	ossidare
hvik	allineare
nluk	analogico
nyem	centimetro
hm6t	molibdeno
hl6m	litio
ht6t	multimedia
xlit	caloria
ryop	robot
pxas	farmacista
hxak	compitiacasa
lwif	locative
grim	logaritmo
hqat	mantide
qlit	ecologia
xlik	sofisticare
mlep	modello
hqit	radioattività
kxim	chilogrammo
hxen	locatario
hxot	mangiaretroppo
kyif	copista
fwet	Gratuito
txet	sottoinsieme
hs6n	sequenziale
hxet	origliare
xrat	tagliodicapelli
hqan	sequestrare
hr6t	iridio
bxat	larghezzadibanda
dxet	tavolo
hxis	esponenziale
hxok	sedecentrale
hxek	misplace
srem	cerio
hp6t	partitivo
pxik	partitivocaso
kxet	cassetta
pruk	supermercato
hvit	forzadivolontà
xlin	disconnesso
frip	crittografia
hvep	pagarepiùdeldovuto
hxon	sincronizzare
kxit	massimizzare
hqin	seminario
tr6n	stereo
ht6n	fermaglio
hvat	imminente
sl6s	centigrado
hn6n	neon
ts6t	verotempo
hvin	snellire
pxat	edicola
myoc	modulo
ps6s	Pasta
bwek	ventiquattrore
dlok	deluxe
fraf	firewall
hr6k	artefatto
txat	oradipranzo
hqon	origano
pxun	plutonio
ks6n	stazionedilavoro
slef	scalamobile
xrit	Bagnino
hvut	affollare
xrim	ittrio
hx6t	accrescitivo
hqum	nomeutente
hl6n	venditori
gron	argo
pxan	promozionale
hvac	lavastoviglie
xlan	globalizzazione
txon	lunghezzad'onda
xrik	riciclare
hxap	zaino
hxac	ricomincia
xyat	epatite
cwep	stipendio
hxos	toro
txif	caratteretipografico
qlat	agenteimmobiliare
txot	metàautunno
hxam	milligrammo
pxis	pixel
pwif	anteprima
txam	tantalio
myek	Termodinamico
hbop	irrompere
hqot	soluto
xlic	sediaarotelle
gxit	genocidio
hvan	antincendio
glim	gallio
pfop	popsu
hzum	zirconio
xlon	hotline
qlin	nonlineare
kxam	scandio
blim	berillio
kxik	configurare
nr6n	neurone
hpef	predicativo
hruf	router
kxan	fattoriale
hxic	lineaguida
xlip	pallavolo
dyek	mettereapunto
hxop	orologiodapolso
qrot	neutrone
nwip	niobio
hs6t	toilette
grem	germanio
tles	simileametallo
hp6k	prolativecaso
qyin	biodiversità
txak	antibiotico
mlun	immobilizzazione
txan	attinio
xran	astronauta
dres	decomprimere
tr6t	extraterrestre
hk6t	ottetto
hxus	apertofonte
xlat	picchiatello
mraf	maratona
ts6n	metàprimavera
ht6s	autismo
nlif	ionizzare
txut	notabilità
hm6n	emitting
kxis	cliparte
xrin	infasedi
xren	ridirezionare
bxak	segnalibro
pfos	professionistafrase
hvis	feci
hd6n	denominatore
brum	salariunioni
hqis	sciovinista
hk6n	compilare
xyit	spostamentochiave
xyin	unsecondo
hxun	sussistente
hvas	ruoli
glok	blog
hvak	meandri
pxit	ipIndirizzo
hvet	accantoa
xram	cartamo
hc6n	evidenza
qran	Corano
zyen	xeno
hqas	giuro-in
bzas	indifferente
hj6n	nonumano
hnof	senzaimpegno
txas	maker
hbum	buddismo
ts6s	litigare
pxin	ingredienti
hr6n	razione
hxim	estateametà
dxit	invernometà
hxaf	scavare
nlus	piantadellacasa
txap	statobar
vrit	ghostwriter
kxak	ingannare-around
bxin	corpoumano
hqik	impermeabile
hxes	Hertz
hxif	ipnotizzare
xras	ogniora
pl6k	paralegale
dxat	temerarietà
hxip	anticorpo
vrat	corti
hqek	rimodellando
qrit	polarità
pxot	ufficiopostale
hxom	giuncaposta
hqic	recensore
lwun	blujeans
hp6n	maturazione
dxan	allegando
xrak	attoreruolo
dxak	incidente
hven	contenitori
mwap	fumetto
qlan	daltonico
xros	sispogliano
srom	showroom
hc6t	chiacchierando
qrat	sottosopra
hn6t	inibizione
hqet	sitoweb
fres	raccoltafondi
froc	forgiatura
xlak	collegamentoipertestuale
vlat	loquacità
dvan	losbarco
gxin	conquista
ryes	addettoallareception
kxot	connettori
xyan	delimitazione
vlan	inserzionista
ryom	torioatomo
hluf	vecchiaia
hquk	iniettare
lyum	tulioatomo
tyem	terbioatomo
hp6m	praseodimio
txic	casapagina
mros	automobilista
dyam	rodioatomo
pc6n	provanumero
nyos	Postainarrivo
pyek	proiettore
kxon	krypton
hxuc	salvataggio
qrik	centricocaso
xwin	inesperienza
kxic	estintore
hvot	diagrammadiflusso
dxot	yogurt
hqut	cepposu
pxen	dipartimentale
drok	goalgrilletto
flon	cellulare
txos	inmezzovoce
hqok	obliquocaso
xwik	pazientecaso
hx6n	prehodiernal
txik	indice
hqen	mittente
mlap	ilmalware
hvun	suasion
hvon	usura-out
vran	postino
pfes	Professore
pwip	poeta
hqam	allenarsi
gxat	legalità
ks6t	causativo
vrin	reclutatore
kxip	cliptavola
sr6n	disapprovazione
vlit	valutativo
tyup	sobborgo
mrom	morfema
xron	cuffia
gxak	costoso
hrof	trojancavallo
xlas	paralizzato
dzet	ridipingere
txac	Arrendersi
xrot	nonusato
txis	puntomatrice
syif	SIunità
xrac	sorprendentemente
brif	binary-valore
dlos	modalecaso
txun	attributi
dvat	dicattivoumore
psom	diprimamano
gjek	else-if
nlem	diunitàdimassa
qret	Aldettaglionegozio
txip	triple-point
dlek	individualmente
lwut	flussodicorrente
dxis	drammaticamente
hs6m	cesio
vlak	automotrice
hn6m	Nerium
kxap	cartone
bxan	partenza
myem	mesedimaggio
gxik	diritticivili
hxoc	air-force
xrok	collaboratore
kr6t	immaginedelloschermo
txok	automaticamente
hxep	skateboard
srop	smartphone
pxak	capsserratura
hk6k	musicapopolare
hl6k	euler's-number
pyom	polonioatomo
xyam	tallioatomo
hvic	invasore
lyok	locativecaso
xlot	appartamenti
txen	restatement
kxac	contrattacco
qrak	crumiro
hbup	piscina
txuk	cortocircuito
tsef	conico
bxit	webospite
ksem	leggisolo
byim	rubidioatomo
hvam	vanadioatomo
lw6n	lantanio
frum	fluoroatomo
nyom	neodimio
mlom	multalnumero
kxas	personalizzare
xret	terabyte
hs6k	ricercamotore
frus	corrodere
gxan	galassiaGenere
vlas	vocalizzazioni
glet	pedaledell'acceleratore
hvim	runtime
bxip	bitmap
qrin	stellaGenere
bvak	abessivecaso
pxon	nondisponibile
dvik	adessivecaso
dvek	agentivecaso
hlef	agentegrilletto
kwek	acaso
kxen	ComuneGenere
ht6m	citazionemodulo
tsuf	transnumerale
hf6n	affinamento
tc6t	direttooggetto
gvik	ergativecaso
gxon	frammentazione
ksep	recettore
vyin	cinema
pyos	passivovoce
hnef	finitoverbo
xwit	primariooggetto
hqim	gnomicumore
jlak	generalizzazione
vrik	finaleparticella
qyan	immaginariounità
kxaf	velocitàdellaluce
xyic	phishing
qyit	puntocritico
hvek	evitativecaso
bvik	subessivecaso
hzes	possedutocaso
prus	virusinformatico
ples	processore
pxif	poliziaufficiale
dvak	lativecaso
brun	turismo
tsi_k	antessivecaso
tyum	rutenioatomo
vyak	avverbialecaso
pxim	primoministro
syum	stronzioatomo
sy6n	sospettosità
hy6n	animareGenere
pxac	empaticogioia
vlin	veicoloGenere
qwin	mineraleGenere
hr6s	rinvio
tf6n	tonico
xris	utenteinterfaccia
hw6n	giuramento
xlen	verbalesostantivo
pyec	foglioelettronico
vlim	virtualememoria
bres	parolaprocessore
hqip	nubeinformatica
vlic	virtualemacchina
pfam	spammer
dyap	secondolinguaggio
txek	nth-root
dxen	datiestrazione
byip	attivitàcommercialepersona
hs6c	sestessofiducia
txim	riferimento
hb6t	cambiamentodievento
hdem	dominioNome
dxon	diversoevento
lwaf	veloceguidare
sl6t	crastinalteso
xyik	flosciodisco
fyif	riflessivovoce
bvin	universoGenere
hm6p	schedamadre
tfip	transitivoverbo
jlen	localitàGenere
xrap	strisce
tc6n	ricercaGenere
sl6n	artisticoGenere
xrek	pazientegrilletto
xwan	astrattoGenere
dxif	videoconferenza
dyip	indirettodiscorso
zrek	esocentricacaso
hvuk	evocando
xwat	passatoperfective
hr6m	renio
txaf	innescato
hmef	impersonaleverbo
tx6t	testoeditore
txes	collettivosostantivo
bvat	maltrattare
bvuk	absolutivecaso
ry6t	radiante
vlis	virtualelarealtà
qren	planetarioGenere
gvak	grammaticale-case
bxok	calvo
mrum	Computerprogramma
ps6t	operativosistema
hfom	fonema
tlem	leggisolomemoria
pwam	spyware
kfif	nucleobenefactive
qwit	razionalità
nlaf	installazione
nwok	associativocaso
dzas	scontentare
swuk	superlativocaso
syos	riassumendo
kr6n	elettricocorrente
dvin	inanimatoGenere
pxom	propositivoumore
vris	reciprocovoce
rwos	aerosol
dr6t	distrattore
ht6k	telecomunicazione
slaf	socialenetworking
lyuk	successivoclausola
qras	superiori
ty6n	terminale
gwet	prestofuturoteso
hp6s	applicativavoce
tsof	antipassivevoce
ht6p	continuativoaspetto
hn6f	necessitativeumore
pfip	passivoparticipio
glap	barradeglistrumenti
sy6k	esistenzialeclausola
qyat	luminosointensità
hy6t	grammaticale-oggetto
vyan	pronouncing
sluf	singulativenumero
dvit	eccessivodurata
qyak	singoloazioneverbo
bzik	fisica
xlet	superlativogrado
hqap	presenteparticipio
qwat	quantitàdisostanza
qyik	connettivoparticella
sr6t	supercriticofluido
hfem	epentheticmorfema
tl6t	adistanzafuturoteso
mrif	microfono
pcuk	postpositionalcaso
tfim	casualeaccessomemoria
fwim	etidio
ly6t	allogamentoaccordo
hvap	scorrerebar
hfep	frequentativeaspetto
bvan	distributivopronome
fyun	virgolamobile-numero
xyas	cancellazione
hvif	verbo-suffisso
xyis	passatopassivoparticipio
tl6n	centralelavorazioneunità
tfok	locativedirezionalecaso
qwan	frequentementechiestodomande
