hnit	รูปกริยาในภาษาอังกฤษ
nrip	คณะรัฐมนตรี
srup	ซุป
jran	ศัลยแพทย์
bjat	เบี้ยเลี้ยง
gyat	สอดแนม
hlem	บ้าบิ่น
srak	นามธรรม
kson	สำเนียง
cwis	วันพฤหัสบดี
sret	อย่างจริงใจ
hraf	การจราจร
hres	สถาปัตยกรรม
hsuf	การกำจัด
rwak	ร้าว
twon	เครื่องประดับ
hfus	การฟื้นตัว
hkom	รหัส
djat	ผู้ล่า
nlut	จดหมายข่าว
hsef	งู
mris	ประชาธิปไตย
bric	แบตเตอรี่
mlam	ขี้ผึ้ง
zran	ใช้งานร่วมกัน
cron	หวาม
hzen	การว่ายน้ำ
traf	เพิก
cwaf	ซองจดหมาย
srip	บุหรี่
mrot	เครื่องยนต์
swon	อาสาสมัคร
ryak	ปฏิกิริยา
pfun	เพียงบางส่วน
blac	กระเป๋าเดินทาง
mret	กระทรวง
hjon	ทางเพศ
kcok	ขวาน
dram	เพชร
kren	สลับกัน
tcek	เสียงสะท้อน
hdif	เอกลักษณ์
tfas	ทูต
hfot	ประกอบด้วย
lwas	สันหลังยาว
hmep	momentaneแง่มุม
kfin	การเข้ารหัส
mwin	สมมุติขึ้น
hrem	รังสี
pram	ปีนเขา
byac	ห้องใต้ดิน
mren	ที่น่าจดจำ
swen	วุฒิสภา
kras	โลง
hgun	กลืน
nlok	ดื่มด่ำ
ryic	การเกษตร
gwin	แกว่ง
srut	ทุ่งหญ้า
hkes	ซับซ้อน
hfis	การลาออก
frak	ซ้ำแล้วซ้ำเล่า
hnom	การกบฏ
hcop	ผับ
hlec	พริกไทย
mlot	ความไพเราะ
zrat	ผู้สมัคร
proc	ผู้อุปถัมภ์
flik	จิ้งจอก
cyet	เสียใจ
hgim	ปล่องไฟ
slet	กั้น
tcok	ความถูกต้อง
bjit	อดีตตาย
brot	ตา
bwat	ผ้าห่ม
hdus	หมู
gwat	งาช้าง
kret	สารสกัด
nwet	ผู้สังเกตการณ์
jwan	ถนน
nwis	เล็บ
mwic	ผึ้ง
bzat	นักแสดงชาย
gyan	เหงื่อ
zyit	ฝ่ายบริหาร
blic	ภาพมายา
pcet	ความไม่แน่นอน
tsot	พับ
bwit	เขตแดน
tres	ความตึงเครียด
hkof	การบริโภค
nyen	คร่ำครวญ
hles	คล้ายคลึงกับ
cyek	ถุง
hjis	เข็ม
gjan	ปรากฏการณ์
prec	ประพฤติ
drot	ถูกควบคุม
kcek	เส้นโค้ง
twic	ไก่
brak	บาร์เรล
zwat	เป็นนิสัย
clap	เป็นนิสัยแง่มุม
tsec	ผู้เชี่ยวชาญ
bwin	ประทับใจ
cwet	ล้อมรอบ
hbek	คนทำขนมปัง
zlin	มะกอก
mron	รถตู้
drin	อุทิศ
psap	เปิดเผย
gjin	วันเกิด
clut	ค้อน
cwun	หอม
twaf	จิ๊บจ๊อย
pcot	สัตว์เลี้ยง
krok	กะโหลกศีรษะ
dlik	สภานิติบัญญัติ
cwic	โชคดี
srun	ขมวดคิ้ว
crec	ทำลาย
jlan	ขอบ
kcip	แชมป์
blin	พันล้าน
ryik	สารเคมี
mlas	ชีพจร
flit	นักบิน
hzet	ปม
cwik	คู่บารมี
twet	กระโปรง
mwik	รายสัปดาห์
tfis	วิชาการ
tlon	ยานพาหนะ
cram	ที่ประจบ
grac	เสริมสร้าง
kraf	อีกา
trup	คุณลักษณะ
hduk	ตะขอ
cruk	เสือ
nrap	แม่บ้าน
crot	ทางหลวง
mlip	กองทหารอาสาสมัคร
hfoc	ถ่ายภาพ
nres	ความสมบูรณ์
plos	บวก
tfam	โปร่งใส
nlic	สิบเก้า
hwok	มีคุณสมบัติ
nlen	เรียงความ
fyic	อย่างมีประสิทธิภาพ
hwuk	เป็นเอกลักษณ์
hgok	อินทรีย์
flic	เทววิทยา
flot	ลอย
hboc	บังคับ
hwoc	แม่มด
syot	สตูดิโอ
cwip	แชมเปญ
hbes	ธง
lwic	หย่า
blot	สายฟ้า
cwot	การถูกจับกุม
cwam	หลอดเลือดดำ
prik	อยู่เฉยๆ
hfum	โฟม
grik	กรวด
zrin	ผ้ากันเปื้อน
gren	ดาวเคราะห์
hfuc	การคืนชีพ
claf	หิ้ง
flas	แฟน
hjot	เขตร้อน
hbim	โดยพลการ
krek	ปรอท
hbec	มีเมตตา
tsaf	การฆ่าตัวตาย
pwas	ความกล้าหาญ
plot	ผู้สื่อข่าว
kfak	ใช้จ่าย
blak	ระเบียง
hdos	คราบ
kwis	คลาสสิก
kcos	กล่าวโทษ
psen	เงินบำนาญ
kres	คำกริยา
hzon	ลิง
srim	ลายเซ็น
glin	ความไม่เต็มใจ
mlut	ฉาวโฉ่
myot	นำเข้า
fwac	ผู้สร้าง
troc	ไฟฉาย
hgaf	ไวยากรณ์
hyop	เรือยอชท์
ksip	สูญพันธุ์
sres	การเที่ยว
hnup	โดม
hzun	ปากแข็ง
mric	กล้ามเนื้อ
gjat	ขนาด
hros	ถู
zrac	ขี้ขลาด
tros	ขนมปังปิ้ง
myus	เม้าส์
dwac	บทสนทนา
byak	แพะ
htef	ช่างตัดเสื้อ
hfek	อวด
dzan	กำหนด
nyon	ไม่ระบุชื่อ
zrit	เป็นทางการการลงทะเบียน
pcos	กีฬา
hjec	ละลาย
dlas	ลบ
mras	ร่ม
mram	แร่
cwut	การพักรบ
hbok	เป็ด
swun	สบู่
dwak	ตุ๊กตา
plif	วิลล่า
slon	เย็บปักถักร้อย
tfut	ขอแสดงความยินดี
djac	คืนดี
hjas	ปราบปราม
kric	กระต่าย
kwot	ตัวนำ
gzan	รับประกัน
clot	ผู้เล่น
ksek	แมลง
psam	ท่า
mwut	นกฮูก
htem	อย่างถาวร
clon	ไวโอลิน
dzin	ผู้อยู่อาศัย
rwim	ตามลำดับ
hyof	เป็นประโยชน์
dron	มังกร
dwit	ห้องประชุมซึ่งเป็นพยานหลักฐาน
sroc	การส่งออก
hzot	การสิ้นสุด
djik	อู้
kfik	ฝา
ryun	การควบคุม
hmes	นายกเทศมนตรี
rwac	ฮาร์ดแวร์
sruk	ละครสัตว์
sros	ชนกลุ่มน้อย
bzan	จลาจล
kset	วงออเคสตรา
bjon	เบคอน
hjut	ไม่จำกัด
tfen	ปกป้อง
zwac	ข้อเสียเปรียบ
dyin	การตรึกตรอง
myis	นักดนตรี
mlis	ทางจิตใจ
pret	ไม่เพียงพอ
tsek	สถาปนิก
hlom	มะนาว
ksos	ไอ
crok	ปวดหัว
flin	ภาวะเจริญพันธุ์
mrun	ช่างไม้
swec	สุ่ม
syuk	ช้อน
blun	ลูกโป่ง
tcep	ชอล์ก
fric	เครื่องดื่ม
rwik	แนวตั้ง
rwen	การป้องกัน
flet	อนุมานซึ่งเป็นพยานหลักฐาน
pfac	สำนักพิมพ์
srek	น้ำส้มสายชู
tfun	อุโมงค์
pwet	ปริศนา
gyik	คณิตศาสตร์
fwot	จาง
lwin	สมดุลย์
jwin	ตับ
bwik	Sublativeกรณี
hdup	จุ่ม
hnop	ผู้ผูกขาด
bwic	เรือดำน้ำ
ryen	ไม่คำนึงถึง
hcem	แผ่นดินไหว
hbos	ห้องปฏิบัติการ
nrek	ผู้ปฏิบัติงาน
ryim	จังหวะ
nyic	ตีความ
dwas	สถานเอกอัครราชทูต
rwok	กระตุ้น
kram	การไร้ความสามารถ
ksim	ที่เปิดเผยอารมณ์
clok	ช็อคโกแลต
pcec	ได้รับการยกเว้น
nyis	ฤาษี
tyoc	ความซ้ำซ้อน
grak	เกา
zlat	ถุงมือ
hjuk	คุกเข่า
trif	ภูมิศาสตร์
djit	เป็นระบบ
pson	อยู่ยงคงกระพัน
mwis	การลงทุน
cwec	วาจา
hdek	ฆราวาส
blik	เหยี่ยว
sloc	จิตวิทยา
brap	เศษ
jlat	โจรสลัด
dros	ปริมาณ
slam	ปลาแซลมอน
pwun	พุดดิ้ง
gwik	แม่เหล็ก
pcop	ปั๊ม
myen	เหมือนกับ
ksen	ออกซิเจน
mrap	หัวหน้าคนงาน
tfot	ใบรับรอง
ksus	กลุ่ม
trok	วาทศาสตร์
tloc	ขั้นบันได้
zyan	พายเรือ
nlun	เข้าสู่ระบบ
hlop	กล้องโทรทรรศน์
jlin	การสะกดคำ
lyut	มีเมฆมาก
hsof	ท่อง
fyik	วิสกี้
klet	สัมพัทธ์
hwof	วิลโลว์
hlum	อูฐ
myet	มือสมัครเล่น
klis	ความเหงา
hbaf	ชีวประวัติ
gwac	ลา
hwum	เล่าลือ
pwik	มุมมอง
pron	มือโปร
myes	รายเดือน
mwen	ภวังค์
kfic	วันหยุด
klek	คลิก
cwon	รูปไข่
lyak	ยืดหยุ่นได้
kwon	พจนานุกรม
hjam	แฮม
rwon	รุ้ง
crip	ด้วยประการฉะนี้
zwan	ที่เกิดขึ้น
srok	บทบรรณาธิการ
craf	สิบโท
tlok	ถัง
brip	ผีเสื้อ
tfap	แผนภูมิ
jwat	คู่
pros	การดำเนินงาน
psun	ลาง
clet	ความทุเรศ
hbus	ไม้ไผ่
dyas	เจ้ามือ
klun	ขุม
jlit	เป็นเอกฉันท์
hdom	ฝันร้าย
kron	คาร์บอน
hzam	แยม
cyot	ผู้ฟัง
hmem	พิพิธภัณฑ์
lwam	ตัวอักษร
fras	กระจัดกระจาย
psoc	หมัด
hgum	เหงือก
brek	เบรค
glit	ความมั่นคง
frun	เน่า
gris	ก้าวร้าว
mroc	แรงเสียดทาน
bzit	แมงมุม
plut	มันฝรั่ง
glac	โลภ
gzac	คูณ
prun	การปั่น
jlet	ปฏิทิน
nyim	การเสนอชื่อ
tlos	ล้านล้าน
slut	สลัด
fwit	ซึ่งยืนยันอารมณ์
pyen	การใช้งาน
nlon	น้อย
dren	สาธิต
drun	ความไม่พอใจ
cyok	ยัก
hfop	ฟุตบอล
ryac	หุ้นส่วน
gzin	ผู้ริเริ่ม
hgip	กะหล่ำปลี
tyet	แข็งแรง
hdof	idiophone
hwup	ล้ำค่า
lwek	คันโยก
syec	วุฒิสมาชิก
jyak	อำนวยความสะดวก
mlim	มด
fwic	มีประสิทธิภาพ
gzit	ตั้งครรภ์
blas	ความเชื่อมั่น
jrin	ทุกวัน
gwak	ข้อเท้า
drik	อย่างผิดปกติ
prif	ตัวแปร
jwit	ความหลากหลาย
krip	การแยกแยะ
ryot	กลัว
nwut	ทางเท้า
kcif	อย่างกระตือรือร้น
jrak	กบ
twek	มากเกินไปกรณี
psot	การชดเชย
pfon	ฟองน้ำ
sluk	กระรอก
nlim	irrealisอารมณ์
ksaf	ความขาดแคลน
glak	ภูเขาไฟ
plen	สมดุล
kfaf	ผ้าพันคอ
kyon	เอาเปรียบ
jlik	ทางธรณีวิทยา
psop	หนังสือเดินทาง
kfis	ตำแหน่งว่าง
fyon	ความเป็นพี่น้องกัน
nram	ผิดศีลธรรม
hbuk	สีน้ำตาลอ่อน
gras	ความมึนงง
hyos	เกรงกลัว
flim	ฟิล์ม
plet	ยาเม็ด
rwam	อะตอม
blis	วานิลลา
zlit	เอดส์
fyut	จุกจิก
crim	ปิรามิด
hjif	ผิดกฎหมาย
crif	ความประหม่า
lwap	เครื่องดนตรีประเภทพิณ
tyon	ดาราศาสตร์
mrim	เขาวงกต
drut	พรรณนา
nrim	ทุนการศึกษา
kruc	เต่า
kwam	ผู้ให้คำปรึกษา
jrik	จิ้งหรีด
dlut	แสดงว่า
pyot	นกพิราบ
dyon	การปรับตัว
prap	ผู้ประกอบการ
bzin	สัญลักษณ์
tyek	สามเหลี่ยม
trec	เหรัญญิก
nron	ไฮโดรเจน
pyet	เครื่องพิมพ์
tsok	ตัน
zyin	เรื้อรัง
slek	รถจักรยาน
jyin	วิศวกรรม
ryas	การส่งผ่าน
zrak	รีเฟรช
nyas	นาฏ
gric	การโยกย้าย
zlak	ละเมิด
tces	เทนนิส
hjun	ลมแรง
twen	สาน
kyet	นักสะสม
gwit	กระดูกสันหลัง
kyot	คอร์ด
fwin	ความถี่
tfuc	กี่ทอผ้า
dlet	ไดเรกทอรี
pfik	นักคิด
bjet	งบ
trek	กลยุทธ์
kros	ผลึก
gjit	กรรไกร
gwic	สวิตซ์
frik	ตามทฤษฎี
tluc	ผ้าขนหนู
pruc	ลาดตระเวน
glic	ธารน้ำแข็ง
krun	ความสมบูรณ์
bjin	คาดการณ์
tlaf	มีส่วนร่วม
tfet	ผู้ผลิต
bras	ด้านข้าง
dwik	จำเลย
clec	ไอเสีย
cres	หมากรุก
tcef	เชอร์รี่
tcom	สะดุด
nyot	นักแปล
tyok	รถบรรทุก
cyip	ที่เหนือกว่า
grot	มัสตาร์ด
bris	ไร้สาย
nlam	ประมูล
slif	กระชอน
hgos	สนิม
swoc	ไม่มั่นคง
jyat	ล้มละลาย
slum	ศาสนาอิสลาม
hjes	การสำรวจสำมะโนประชากร
dzat	เขย่ง
slun	แขวน
nwot	ความต่อเนื่อง
gyic	กีตาร์
pfas	อคติ
zyik	สังกะสี
blen	มันเงา
hyem	ไม้ต้นจำพวกulmus
hnep	การแย่งชิง
nyut	ที่ถัก
ryam	สรรพนามเครื่องหมาย
clim	เครื่องเทศ
jret	ความคม
tfon	แซว
jwac	ชวา
hrep	ตำรับ
dyac	สิทธิพิเศษ
myip	เมตร
rwis	เกี่ยวกับเชื้อชาติ
hkem	ดาวหาง
nwon	นวัตกรรม
zwin	ห้าม
dyis	สมัยกลาง
mrec	กระจอก
fyot	เชิงอรรถ
mlon	การวัด
pfis	สัตยาบัน
rwot	โคจร
hfok	ประหยัด
glof	กอล์ฟ
zron	ศูนย์
hzip	ไปรษณีย์
hwom	ไม่มีที่อยู่อาศัย
bjic	เคี้ยว
pcim	เติมเต็ม
hjip	ชิป
bwac	อ้าปากค้าง
mlos	ตุ่น
mrip	เครื่องดินเผา
bron	เอ็มบริโอ
ksoc	การหัก
cyum	ยีสต์
jyan	ศัพท์แสง
plim	พลัม
mwet	สุสาน
ryet	จบการศึกษา
glik	ชลประทาน
plap	นายทุน
tsif	ความยืดหยุ่น
gyak	ปลาฉลาม
djon	ค่าเริ่มต้น
nwun	ตรงเวลา
cles	สัจนิยม
dris	ขึ้น
hkef	คาเฟ่
blus	รถพยาบาล
blap	กระเป๋าสตางค์
bjak	ซึ่งปีติยินดี
klim	หน้าตาบูดบึ้ง
gyac	นักวิทยาศาสตร์
jyit	ความใจเย็น
dzit	เหมือนจริง
bwak	กลางแจ้ง
dyot	วิทยุ
bwon	ถั่ว
fris	ไม่เป็นทางการ
klut	คาดเดา
tfek	เสต็ก
nrok	ก๊าซไนโตรเจน
zyat	มีดโกน
bram	พูดพึมพำ
ryis	เบื้องต้น
nlip	วิเคราะห์
nros	ตัดกัน
hcof	เปลื้องผ้า
tfif	แรงจูงใจ
kroc	ร่อง
hdum	ศาสนายิว
pses	ผู้รับ
plok	ส่วนประกอบ
lyet	เลนส์
pwek	pegativeกรณี
kfas	โรคมะเร็ง
pwen	จำนำ
nrun	การแจ้งเตือน
clek	รั่ว
pcif	การปลดปล่อย
glas	ความซับซ้อน
zwit	ช่างพูด
kces	ความพอเพียง
crem	ขายปลีก
grap	คว้า
kwip	แทรกแซง
dyut	ส่วนลด
crus	ลำดับชั้น
gyet	หยก
gram	คำราม
kyip	จิ้งจก
nyet	เบาะ
crop	น้ำตก
glon	แกลลอน
mrok	ยุง
fluc	คล่องแคล่ว
dwic	การเบี่ยงเบน
slec	สำรวจ
srec	หมดอายุ
blut	ต่อสู้
myok	โมเสก
tlek	ปลั๊ก
nruk	ติดเชื้อ
nwoc	ตั้งแต่บัดนี้เป็นต้นไป
bjut	หมอบ
hges	การตั้งครรภ์
twoc	ร้านขายของชำ
kyos	คอมมิวนิสต์
mrek	ตะลึงพรึงเพริด
clip	ความโศกเศร้า
pwok	prosecutiveกรณี
dwot	เผด็จการ
zyac	การทำให้เป็นกังวล
jlic	ดาวเทียม
slop	รองเท้าแตะ
ryip	สัดส่วน
psim	ประมาณ
byet	ว่างงาน
cyop	งานอดิเรก
rwun	เกณฑ์
blop	กระเปาะ
syok	ผู้สนับสนุน
klos	คลอรีน
lwot	คลอไรด์
byic	แบคทีเรีย
lyik	เหนียว
blok	ชีวภาพ
jlac	ประดิษฐ์
bret	ไบต์
krif	การหลั่ง
blet	ระบำปลายเท้า
nruc	ปัสสาวะ
tsus	กระเทียม
dyak	กลางชั้น
tcem	แหนบ
cyoc	ท้าทาย
trep	สตรอเบอร์รี่
dlun	มลพิษ
hlup	อัลบั้ม
hbep	กีฬาเบสบอล
praf	การละเมิดลิขสิทธิ์
pwis	คำกริยา
grek	โรงรถ
kruk	ไม้ยันรักแร้
hfof	ฟอสฟอรัส
rwut	โครงสร้าง
myam	โรงยิม
krec	ปั้นจั่น
jras	ผู้รับเหมา
zrik	แจ้ง
blam	ห้องบอลรูม
klip	ช่าง
hwef	ยังไม่ได้ชำระ
zlac	กล้วย
gret	เครื่องกำเนิดไฟฟ้า
lwuk	ซี่โครง
nyek	นิกเกิล
blos	รถบัส
sles	ตรวจข่าว
tlif	กระเบื้อง
kses	ไส้กรอก
mwot	มะเขือเทศ
lyot	รถยนต์
tsom	โพแทสเซียม
brut	เสมือน
djap	พีชคณิต
hjok	ทั่วไป
kfen	แนวคิด
pcok	ออปติคอล
bzut	ขยับเขยื่อน
syek	การว่างงาน
mruc	หนอนผีเสื้อ
bwas	เบราว์เซอร์
klif	แคลเซียม
rwet	รีโมทอดีตเครียด
srif	ประวัติศาสตร์เครียด
hwem	คลื่นความถี่
syom	โซเดียม
tyos	ผู้จัดการมรดกหรือทรัพย์สิน
jyic	ตัวประกัน
hguk	มะระ
dwun	ริ้วรอย
swip	ขัดขวาง
tlec	เห็บ
blaf	ข่มขืน
tsem	ต่ำช้า
mloc	หน้าจอ
gyot	เงื่อนไข
trop	การสอบสวน
rwap	รายไตรมาส
hjep	เพศ
pyim	แพลทินัม
dlon	คู่จำนวน
pcep	ปอด
twuk	กำจัดสิ่งสกปรกบน
tyec	แท็ก
syup	ซุปเปอร์
trom	รถเข็น
nyip	ในท้องถิ่น
glis	น้ำมันเบนซิน
gjik	ไต
hjos	ไม่มีใครช่วยเหลือ
hjuc	ยกเค้า
swek	ทำงานหนักเกินไป
psek	สารหนู
twok	สถิติ
tsep	ตั๊กแตน
slos	นักสังคมนิยม
nwim	ประสาทสัมผัสซึ่งเป็นพยานหลักฐานอารมณ์
tlop	ผ้าปูโต๊ะ
trus	ที่เถียงกัน
pwot	การข่ม
djot	ตะกอน
nloc	ดูแคลน
mwon	ภาษาจีนกลาง
hjek	จ็อคกี้
crom	ร่วมมือกัน
myon	โรคปอดบวม
twec	ตั้งอยู่
ryek	จรวด
dlic	เงินปันผล
kwet	เล่นสเก็ต
bwen	ความคิดครอบงำ
plon	ส่วนแบ่ง
syon	หอบ
djis	ดิจิตอล
byut	ผู้หญิงเลว
hyep	เปลือกตา
dwon	เส้นทแยงมุม
byis	จิตใต้สำนึก
brec	คิ้ว
cyec	จาม
hwop	วัตต์
clus	เฮฮา
kfun	การพักอาศัย
nwum	ศาสนาฮินดู
fyim	ผู้ลี้ภัย
cwos	รถรับส่ง
tfoc	ความเจ็บใจ
pwon	โปรตีน
sraf	ความพึงพอใจในตัวเอง
hbom	อาเจียน
gyen	ยีน
drim	น้องใหม่
trem	สัมภาระ
tsup	ป่นปี้
slok	สังคมวิทยา
kwoc	สควอช
bwam	ผู้เลือกตั้ง
mlok	การเคลื่อนไหว
kyen	ของแคว้น
hmop	การเคลื่อนไหวขึ้นเนิน
rwek	มีผลย้อนหลัง
kfup	ลูกบาศก์
grok	แครอท
drap	ดักจับ
lwis	โมเลกุล
ksuc	นักบัญชี
tsop	กลิ่นเหม็น
kyok	แตงกวา
nroc	สนุกสนานกันอย่างเป็นบ้าเป็นหลัง
jlot	ตัวทำละลาย
psof	ฟอสเฟต
hgif	ตรึงใจ
kfim	เป็นด่าง
psos	พลศึกษา
pfen	การตรวจสอบ
kcom	นักเศรษฐศาสตร์
krom	จุลภาค
tluk	บิดตัวไปมา
hyom	ไอโอดีน
nwuc	การเคลื่อนไหวตกต่ำ
gjac	การคลอดก่อนกำหนด
pcom	รุน
dzic	นักออกแบบ
grun	เป้อเย้อ
dzot	ผู้บริจาค
hzek	แมงกานีส
kfot	แป้นพิมพ์
jlas	ไม่น่าเชื่อถือ
lyim	ผู้ลากมากดี
jyen	เยน
pcaf	วงเล็บ
rwip	รักบี้
blip	คัมภีร์ไบเบิล
kyoc	สาเหตุ
lyon	ฝี
flis	ที่ทำให้โค้ง
nrif	ตอด
kfam	ควอนตัม
swes	เสื้อกันหนาว
lwon	วิวัฒนาการ
drec	การผ่า
gjap	สปา
lyec	เชิงเส้น
tyom	พลวง
pwuk	superessiveกรณี
flaf	แอลฟา
myim	ภูมิคุ้มกัน
pcek	การลักพาตัว
bjac	โรงเบียร์
bzac	ทำให้น้อยลง
bzak	ถุงเท้า
twes	โทรทัศน์
dwut	สารคดี
ksom	จักรวาล
lyis	การป่าไม้
lwim	อลูมิเนียม
ksok	ดวงชะตา
sruc	เร่ง
dlif	ปลาโลมา
byik	นักฆ่า
tfec	เครื่องเขียน
hjaf	เลี้ยงลูกด้วยนม
ryok	โปรโตคอล
dwis	ดีออกไซด์
jlon	ปลายลำไส้ใหญ่
brus	การปกครองระบบเจ้าขุนมูลนาย
gjak	กาแล็คซี่
lyip	ทางคลินิก
ryem	แร่เรเดียม
href	ซึ่งได้ทำให้บริสุทธิ์
prok	ตู้เย็น
slep	เทพารักษ์
dret	การย้ำ
kluk	เกี่ยวกับโบราณคดี
dlis	นิสัยแปลก
kfip	รับไม่ได้
mlec	นวด
pfif	สเปค
nrec	ประสาทสัมผัส
pfet	ใบปลิว
hzoc	รองรับ
dlam	ความนึกคิด
nlec	มานุษยวิทยา
kluc	รสอร่อย
dyet	เสลี่ยง
tyif	เกี่ยวกับสกรรมกริยา
krus	ยืนก้มตัวด้วยความอ่อนน้อมหรือกลัว
nluc	ดอกทานตะวัน
lyun	ไอออน
zrot	ส่งผู้ร้ายข้ามแดน
ksif	ปลอมแปลง
psif	การส่งออก
crup	คาบเกี่ยวกัน
fret	Finder
grut	กลับหัวกลับหาง
ksec	เพื่อนร่วมชั้น
jric	การเดินทาง
mrop	ไมโครเวฟ
srus	ขับไล่
gyas	ช่างทำผม
floc	คติชน
plek	เส้นเลือดฝอย
nwop	ก้น
nrom	ตัวควบคุม
twos	ลัทธิก่อการร้าย
lwok	คำขวัญ
dwet	ล่วงเวลา
slem	ระเหิด
grip	ย่าง
gwas	ว้าว
kwok	โคบอลต์
gwon	ข้าวโอ๊ต
hdop	การเคลื่อนไหวต้นน้ำ
glam	ทวารหนัก
bwot	ดื้อ
bren	ลำไส้
byot	วีดีโอ
bjik	การคว่ำบาตร
kwim	ทดสอบ
cwek	ฮอกกี้
grif	กองโจร
hgem	แมกนีเซียม
hyes	ความตระหนัก
fram	ร้านขายยา
nwos	มักน้อย
ryap	จัดใหม่
cwim	ความเชื่อถือได้
klep	สาหร่ายทะเล
psec	ชำระเงินคืน
djic	ทั่วโลก
kfut	เคอร์ฟิว
crep	แฮมเบอร์เกอร์
frim	ทฤษฎีบท
gjas	จุดชนวน
hdef	หักบัญชี
ryum	ยูเรเนียม
pluk	ประเมินผล
krop	ประสานงาน
nraf	ผู้เสียภาษีอากร
tyes	แบบบูรณาการ
plip	ความเห็น
hgom	แกมมา
hgus	ค่าสัมประสิทธิ์
cwuc	เครื่องทำความร้อน
zret	หัก
nles	นักวิเคราะห์
trof	อกรรมกริยา
hmof	ห้างสรรพสินค้า
hzim	บิสมัท
dzac	เหลา
psok	โปสการ์ด
blon	การลู่เข้า
djet	เชือนแช
ksum	ผู้ถือหุ้น
mrup	เชื้อจุลินทรีย์
clif	ส่วนที่เป็นเกลียว
cloc	ลักษณะทางสัณฐานวิทยา
tfes	คนขายอาหาร
gjis	กางเกงยีนส์
jren	การวางแนว
tlep	ฐานข้อมูล
kcup	คูปอง
glot	แรงดันไฟฟ้า
glut	เครื่องคิดเลข
srep	โลกเทคโนโลยีสารสนเทศ
nwes	นักลงทุน
ksef	xรังสี
bzis	วีซ่า
frut	โครงสร้างพื้นฐาน
nyuk	หิ่งห้อย
dyik	เครื่องตรวจจับ
plec	ประกบกัน
brom	โบรมีน
plop	แพลเลเดียม
zlik	ซิลิคอน
flut	โวลต์
ksop	ประทิ่น
gjun	กรูมมิ่ง
kfok	อาการสะอึก
hpof	ข้าวโพดคั่ว
hzuk	สวนสัตว์
nyoc	ความหมายแฝง
jwak	โยคะ
brim	แบเรียม
kles	ตัดหัว
mwam	ใช่
fwik	ดอกไม้เพลิง
djas	แจ๊ส
dyim	เสียง
tsum	ทังสเตน
drip	เลี้ยงลูก
lyaf	ค่าเลี้ยงดู
prom	โปรแกรมเมอร์
nrup	อินพุต
hfes	สะท้อนกลับ
rwaf	ดอกเบญจมาศ
dlen	เอกสาร
byas	วัคซีน
fron	ผงขาว
dluk	ปลด
dyun	วินิจฉัย
flap	โฟลเดอร์
kfet	แคโทด
dlim	คตินิยม
prek	ที่จอดรถ
syoc	ภาพรวม
slus	การเข้าถึง
nlos	อาการเสื่อม
mlen	ซีลีเนียม
pres	เยื่อหุ้มสมอง
hlof	กำมะถัน
nlek	ปัจจุบันความสัมพันธ์กันเครื่องหมาย
gwot	สนามบิน
mwip	แอบอ้าง
klop	แมลงสาบ
kwom	โครเมียม
hl6t	ลิตร
nwec	กระนั้น
glip	เป็นวงกลม
nrop	บัญชีเงินเดือน
crum	ฮอร์โมน
dlep	ผู้พัฒนา
frot	ปรุ
bwoc	การก่อวินาศกรรม
fwis	เรียกร้องสิทธิสตรี
djok	ผัน
draf	ทันสมัย
trum	หัวรุนแรง
graf	ขั้นตอนวิธี
lwes	เลเซอร์
mlem	มิลลิเมตร
flen	ดิ้น
zlot	ขั้วบวก
swok	คลอเคลีย
klec	สุนัขเหนื่อย
pwim	ส่วนหนึ่งเวลา
htuf	ปลาทูน่า
fyis	โรงกลั่น
lwet	ความไว
mrem	เมนเฟรม
jwic	คืนความอ่อนเยาว์
droc	ผู้สาธิต
clem	ฮีเลียม
dzik	พูดได้สองภาษา
psem	พลาสมา
hjom	โครโมโซม
rwuc	ลำดับ
tyus	จำนวนเต็ม
klom	กิโลเมตร
hfos	แฟกซ์
nwek	พันธุศาสตร์
jrap	ไขควง
zwas	อาหารจานหลัก
bwok	ผักชนิดหนึ่ง
dwap	อะแดปเตอร์
syem	สแปม
blek	เวกเตอร์
tlus	ชั้นเชิง
pyif	ยังไม่ระบุ
cwoc	ไม่เป็นไร
mrep	กระแสไฟ
hbem	วิตามิน
hxan	คนเรียกรถ
hxut	สงเคราะห์เงิน
hk6m	แคดเมียม
hxin	ความพร้อมกัน
txin	ไทเทเนียม
kxin	กิโล
klum	มีเพศสัมพันธ์
xlis	นาฬิกาทราย
hqak	ประโยค
hxat	ความคิดสร้างสรรค์
hxik	หนังสือE
hxas	ที่ทำงาน
bxon	โบรอน
dxin	การเหนี่ยวนำ
hxit	เฮลิคอปเตอร์
tlum	เทลลูเรียม
txit	วันกำหนดส่ง
kxat	รวมตัวกับอ๊อคซิเจน
hvik	เป็นเส้นตรง
nluk	อนาล็อก
nyem	เซนติเมตร
hm6t	โมลิบดีนัม
hl6m	ลิเธียม
ht6t	มัลติมีเดีย
xlit	แคลอรี่
ryop	หุ่นยนต์
pxas	เภสัชกร
hxak	การบ้าน
lwif	เกี่ยวกับตำแหน่ง
grim	ลอการิทึม
hqat	ตั๊กแตนตำข้าว
qlit	นิเวศวิทยา
xlik	ตบตา
mlep	แบบ
hqit	กัมมันตภาพรังสี
kxim	กิโลกรัม
hxen	ผู้เช่า
hxot	กินมากเกินไป
kyif	คนคัดสำเนา
fwet	ฟรีแวร์
