hnit	инфинитив
glik	наводњавање
plap	капиталистички
tsif	еластичност
gyak	ајкула
djon	Уобичајено
nwun	тачан
cles	реализам
dris	све
hkef	кафе
blus	ambulantnakola
blap	новчаник
bjak	усхићен
klim	гримаса
gyac	научник
jyit	сталоженост
dzit	реалистичан
bwak	наотвореном
dyot	радио
bwon	пасуљ
fris	неформалан
klut	шпекулисати
tfek	бифтек
nrok	азот
zyat	бријач
bram	мрмљање
ryis	уводни
nlip	анализирати
nros	упоредан
hcof	свућисе
tfif	подстицај
kroc	бразда
hdum	јудаизам
pses	прималац
plok	допуна
lyet	објектив
pwek	пегативеслучај
kfas	рак
pwen	пешак
nrun	подсетник
clek	цурење
pcif	оправдање
glas	сложеност
zwit	говорљив
kces	довољност
crem	малопродаја
grap	грабити
kwip	интервенисати
dyut	попуст
crus	хијерархија
gyet	жад
gram	режање
kyip	гуштер
nyet	подлога
crop	водопад
glon	галон
mrok	комарац
fluc	течан
dwic	одступање
slec	истраживач
srec	истиче
blut	рватисе
myok	мозаик
tlek	утикач
nruk	заразан
nwoc	убудуће
bjut	чучањ
hges	трудноћа
twoc	бакалница
kyos	комуниста
mrek	задивити
clip	кајање
pwok	просецутивеслучај
dwot	диктатор
zyac	преокупација
jlic	сателит
slop	папучица
ryip	пропорционалан
psim	приближан
byet	незапослен
cyop	хоби
rwun	критеријум
blop	сијалица
syok	присталица
klos	хлор
lwot	хлорид
byic	бактерије
lyik	лепљив
blok	биолошки
jlac	симулирати
bret	бајт
krif	лучење
blet	балет
nruc	урин
tsus	белилук
dyak	Средњакласа
tcem	клешта
cyoc	изазован
trep	јагода
dlun	загађење
hlup	албум
hbep	бејзбол
praf	пиратство
pwis	партицип
grek	гаража
kruk	штака
hfof	фосфор
rwut	структурни
myam	гимназија
krec	кран
jras	извођачрадова
zrik	обавестити
blam	балскасала
klip	занатлија
hwef	неплаћен
zlac	банана
gret	генератор
lwuk	ребро
nyek	никл
blos	аутобус
sles	цензор
tlif	плочица
kses	kobasica
mwot	парадајз
lyot	ауто
tsom	калијум
brut	виртуелна
djap	алгебра
hjok	општи
kfen	концепти
pcok	оптички
bzut	померити
syek	незапосленост
mruc	гусеница
bwas	прегледач
klif	калцијум
rwet	даљинскипрошлостнапет
srif	историјскинапет
hwem	спектар
syom	натријум
tyos	повереник
jyic	талац
hguk	тиква
dwun	бора
swip	шиљак
tlec	крпељ
blaf	силовање
tsem	атеизам
mloc	монитор
gyot	условни
trop	сонда
rwap	тромесечни
hjep	пол
pyim	платина
dlon	Дуалброј
pcep	плућнокрило
twuk	бичевање
tyec	надимак
syup	супер
trom	тролејбус
nyip	локално
glis	бензин
gjik	бубрег
hjos	безпратње
hjuc	пљачкати
swek	презапослени
psek	арсен
twok	статистички
tsep	скакавац
slos	социјалистички
nwim	чулнидоказнирасположење
tlop	столњак
trus	контроверзан
pwot	поводац
djot	талог
nloc	одбијати
mwon	мандарински
hjek	џокеј
crom	сарађивати
myon	упалаплућа
twec	сместити
ryek	ракета
dlic	дивиденда
kwet	клизати
bwen	опсесија
plon	расподела
syon	бректати
djis	дигитални
byut	кучка
hyep	očnikapak
dwon	дијагонала
byis	подсвестан
brec	обрва
cyec	кијање
hwop	ват
clus	смешан
kfun	заузимање
nwum	хиндуизам
fyim	избеглица
cwos	шатл
tfoc	пробадање
pwon	беланчевина
sraf	самозадовољни
hbom	повраћати
gyen	ген
drim	бруцош
trem	аццоутрементс
tsup	разбити
slok	социологија
kwoc	бундева
bwam	гласач
mlok	мобилност
kyen	регионална
hmop	кретањеузбрдо
rwek	ретроспективан
kfup	коцка
grok	шаргарепа
drap	довестиунеприлику
lwis	молекуларна
ksuc	рачуновођа
tsop	смрад
kyok	краставац
nroc	оргија
jlot	растварач
psof	фосфат
hgif	фасцинирати
kfim	алкалне
psos	гимнастика
pfen	верификација
kcom	економиста
krom	зарез
tluk	вртетисе
hyom	јод
nwuc	кретањенизбрдо
gjac	побачај
pcom	махуна
dzic	дизајнер
grun	хвалисање
dzot	давалац
hzek	манган
kfot	тастатура
jlas	непоуздан
lyim	елита
jyen	јен
pcaf	уметак
rwip	рагби
blip	Библија
kyoc	проузрокованост
lyon	чир
flis	инфлецтед
nrif	залогај
kfam	квантни
swes	џемпер
lwon	еволуциони
drec	дисекција
gjap	бања
lyec	линеаран
tyom	антимон
pwuk	суперессивеслучај
flaf	алфа
myim	имун
pcek	отмица
bjac	пивара
bzac	скратити
bzak	чарапа
twes	телевизија
dwut	документарни
ksom	космос
lyis	шумарство
lwim	алуминијум
ksok	хороскоп
sruc	убрзати
dlif	делфин
byik	убица
tfec	приборзаписање
hjaf	сисар
ryok	протокол
dwis	диоксид
jlon	дебелоцрево
brus	бирократија
gjak	галаксија
lyip	клинички
ryem	радијум
href	разређен
prok	фрижидер
slep	похотљивац
dret	понављање
kluk	археолошки
dlis	идиосинкразија
kfip	неприхватљив
mlec	масажа
pfif	спецификација
nrec	чулни
pfet	летак
hzoc	лежатииспод
dlam	идеално
nlec	антропологија
kluc	укусан
dyet	лимузина
tyif	прелазан
krus	најежитисе
nluc	сунцокрет
lyun	јон
zrot	изручење
ksif	фалсификовати
psif	емисија
crup	преклапање
fret	налазач
grut	обрнути
ksec	другизразреда
jric	маршрута
mrop	микроталасни
srus	свргнути
gyas	фризер
floc	фолклор
plek	капиларни
nwop	задњица
nrom	контролор
twos	тероризам
lwok	парола
dwet	токомвремена
slem	сублимат
grip	роштиљ
gwas	вау
kwok	кобалт
gwon	овас
hdop	кретањеузводно
glam	чмар
bwot	говеђи
bren	црево
byot	видео
bjik	бојкот
kwim	квиз
cwek	хокеј
grif	герила
hgem	магнезијум
hyes	свесност
fram	апотека
nwos	неславољубив
ryap	преуредити
cwim	поузданост
klep	морскеалге
psec	надокнадити
djic	светски
kfut	полицијскичас
crep	пљескавица
frim	теорема
gjas	запалити
hdef	задужење
ryum	уранијум
pluk	проценити
krop	координата
nraf	порескиобвезник
tyes	интегрисан
plip	изнеомишљење
hgom	гама
hgus	коефицијент
cwuc	грејач
zret	одузети
nles	аналитичар
trof	непрелазан
hmof	тржницентар
hzim	бизмут
dzac	ресторан
psok	разгледница
blon	конвергенција
djet	одступити
ksum	акционар
mrup	микроб
clif	спирала
cloc	морфолошке
tfes	онајкојииспоручујехрану
gjis	фармерке
jren	равнање
tlep	базаподатака
kcup	купон
glot	Волтажа
glut	калкулатор
srep	сајберпростор
nwes	инвеститор
ksef	рендген
bzis	виза
frut	инфраструктура
nyuk	свитац
dyik	детектор
plec	сплет
brom	бром
plop	паладијум
zlik	силицијум
flut	волт
ksop	козметички
gjun	четкање
kfok	штуцање
hpof	кокице
hzuk	зоолошкиврт
nyoc	конотација
jwak	јога
brim	баријум
kles	одсећиглаву
mwam	да
fwik	Фиреворк
djas	џез
dyim	звучни
tsum	волфрам
drip	дриблинг
lyaf	алиментација
prom	програмер
nrup	улазни
hfes	рефлексиван
rwaf	хризантема
dlen	документација
byas	вакцина
fron	хероин
dluk	искључити
dyun	поставитидијагнозу
flap	фасцикла
kfet	катода
dlim	идеологија
prek	паркирање
syoc	снимак
slus	приступачност
nlos	антиклимакс
mlen	селен
pres	кора
hlof	сумпор
nlek	струјарелевантностмаркер
gwot	аеродром
mwip	уљез
klop	бубашваба
kwom	хром
hl6t	литар
nwec	поредтога
glip	цикличан
nrop	платнисписак
crum	хормон
dlep	развијач
frot	пробушити
bwoc	саботажа
fwis	феминиста
djok	коњугатом
draf	модернизовати
trum	екстремиста
graf	алгоритам
lwes	ласер
mlem	милиметар
flen	flex
zlot	анода
swok	пригрлити
klec	пасуморан
pwim	скраћеновреме
htuf	туњевина
fyis	рафинерија
lwet	осетљивост
mrem	главниоквир
jwic	подмлађивање
droc	демонстрант
clem	хелијум
dzik	билингвални
psem	плазма
hjom	хромозом
rwuc	редни
tyus	цеоброј
klom	километар
hfos	факс
nwek	генетика
jrap	шрафцигер
zwas	предјело
bwok	броколи
dwap	адаптер
syem	Спам
blek	вектор
tlus	тактика
pyif	неодређено
cwoc	Уреду
mrep	ампер
hbem	витамин
hxan	портир
hxut	субвенционисати
hk6m	кадмиум
hxin	истовременост
txin	титанијум
kxin	килограм
klum	иматисношај
xlis	пешчанисат
hqak	синтаксни
hxat	креативност
hxik	eкњига
hxas	радноместо
bxon	бор
dxin	индуктанца
hxit	хеликоптер
tlum	телур
txit	rok
kxat	оксидисати
hvik	поравнајте
nluk	аналог
nyem	сантиметар
hm6t	молибден
hl6m	литијум
ht6t	мултимедијални
xlit	калорија
ryop	робот
pxas	фармацеут
hxak	домаћизадатак
lwif	локатив
grim	логаритам
hqat	mantis
qlit	екологија
xlik	покварити
mlep	шаблон
hqit	радиоактивност
kxim	килограм
hxen	закупац
hxot	прејестисе
kyif	машиназакопирање
fwet	бесплатан
txet	подскуп
hs6n	Секуентиал
hxet	прислушкивати
xrat	фризура
hqan	затворити
hr6t	иридијум
bxat	проток
dxet	desktop
hxis	експоненцијалан
hxok	седиште
hxek	изгубити
srem	церијум
hp6t	партитивни
pxik	партитивнислучај
kxet	касета
pruk	супермаркет
hvit	снагавоље
xlin	онлине
frip	шифровање
hvep	преплатити
hxon	синхронизовати
kxit	максимално
hqin	семинар
tr6n	Стерео
ht6n	затварач
hvat	предстојећи
sl6s	Целзијус
hn6n	неон
ts6t	правивреме
hvin	поједностави
pxat	трафика
myoc	модул
ps6s	тестенина
bwek	актенташна
dlok	deluxe
fraf	заштитнизид
hr6k	предметзаупотребу
txat	времеручка
hqon	оригано
pxun	плутонијум
ks6n	раднастаница
slef	покретнестепенице
xrit	спасилац
hvut	претрпати
xrim	итријум
hx6t	аугментативан
hqum	корисничкоиме
hl6n	продавци
gron	аргон
pxan	рекламни
hvac	машиназапрањесудова
xlan	глобализација
txon	таласнадужина
xrik	рециклирати
hxap	ранац
hxac	поновопокренути
xyat	хепатитис
cwep	ковератсаплатом
hxos	плодиште
txif	слог
qlat	реалтор
txot	jesenji
hxam	милиграм
pxis	пиксела
pwif	приказ
txam	тантал
myek	термодинамичан
hbop	Провалити
hqot	супстанцакојасераствара
xlic	Инвалидскаколица
gxit	геноцид
hvan	гашењеватре
glim	галијум
pfop	Попгоре
hzum	цирконијум
xlon	телефон
qlin	нелинеарни
kxam	скандијум
blim	берилијум
kxik	конфигурисати
nr6n	Неурон
hpef	предикативни
hruf	рутер
kxan	факторијел
hxic	директива
xlip	одбојка
dyek	дебуг
hxop	ручнисат
qrot	неутрон
nwip	ниобијум
hs6t	тоалет
grem	германијум
tles	металоид
hp6k	пролативеслучај
qyin	биодиверзитет
txak	антибиотик
mlun	имобилизација
txan	радиоактивниелемент
xran	астронаут
dres	смањиватипритисак
tr6t	ванземаљци
hk6t	октет
hxus	отворенизвор
xlat	лудак
mraf	маратон
ts6n	sredinomпролећа
ht6s	аутизам
nlif	јонизовати
txut	знаменитост
hm6n	емитују
kxis	клипуметност
xrin	пролази
xren	preusmeravanje
bxak	маркер
pfos	професионалацфраза
hvis	измет
hd6n	именилац
brum	боардроом
hqis	шовиниста
hk6n	саставити
xyit	сменакључ
xyin	jednusekundu
hxun	којепостоји
hvas	uloge
glok	блог
hvak	Меандеринг
pxit	iPадреса
hvet	поред
xram	шафранике
hc6n	очигледност
qran	Коран
zyen	ксенон
hqas	Кунемсе-у
bzas	блазиран
hj6n	нељудски
hnof	месања
txas	одлука
hbum	будизам
ts6s	свађање
pxin	састојци
hr6n	следовање
hxim	sredinomлета
dxit	усредзиме
hxaf	ископати
nlus	собнабиљка
txap	статусБар
vrit	писацкојипишезадруге
kxak	шалитисе
bxin	Људскотело
hqik	кишнимантил
hxes	херц
hxif	очарати
xras	насат
pl6k	правник
dxat	пренагљеност
hxip	антитело
vrat	шорц
hqek	преобликовање
qrit	поларитет
pxot	пошта
hxom	ђубрепошта
hqic	приказивач
lwun	плаво-Јеан
hp6n	сазревање
dxan	причвршћивање
xrak	глумацулога
dxak	несрећа
hven	контејнери
mwap	стрип
qlan	далтонисти
xros	ундрессинг
srom	излозбенипростор
hc6t	цхаттинг
qrat	наопако
hn6t	инхибиција
hqet	вебсајт
fres	прикупесредства
froc	фалсификовање
xlak	hiperlink
vlat	окретност
dvan	искрцавања
gxin	освајачки
ryes	рецепционер
kxot	конектори
xyan	ограничење
vlan	оглашивач
ryom	торијуматом
hluf	стародоба
hquk	убризгати
lyum	тулијуматом
tyem	тербијуматом
hp6m	Празеодијум
txic	домстрана
mros	возач
dyam	родијуматом
pc6n	суђењеброј
nyos	Инбок
pyek	пројектор
kxon	криптон
hxuc	спашавање
qrik	центричнислучај
xwin	неискуство
kxic	апаратзагашењепожара
hvot	дијаграм
dxot	јогурт
hqut	Пријаванапоље
pxen	одсек
drok	циљокидач
flon	мобилнителефон
txos	средњиглас
hqok	посреданслучај
xwik	пацијентслучај
hx6n	предданашњи
txik	кажипрст
hqen	пошиљалац
mlap	malware
hvun	убеђивање
hvon	похабатисе
vran	поштар
pfes	profesor
pwip	песник
hqam	разрадити
gxat	законитост
ks6t	узрочни
vrin	врбовао
kxip	клиптабла
sr6n	одобрава
vlit	којисепроцењује
tyup	Предграђе
mrom	морфема
xron	слушалица
gxak	скуп
hrof	Тројанацкоњ
xlas	парализован
dzet	удесити
txac	сепредаје
xrot	неискоришћен
txis	тачкаматрица
syif	сиjedinice
xrac	зачудо
brif	бинарнавредност
dlos	модалнислучај
txun	атрибути
dvat	злоћудан
psom	изпрверуке
gjek	друго-ако
nlem	јединица-за-масе
qret	малопродајапродавница
txip	Трипле-тачка
dlek	појединачно
lwut	протокструје
dxis	драматично
hs6m	цезијум
vlak	раилцар
hn6m	Нериум
kxap	картон
bxan	одласку
myem	месецмај
gxik	грађанскоправо
hxoc	ратноваздухопловство
xrok	сарадник
kr6t	с
txok	аутоматско
hxep	скејтборд
srop	смартфон
pxak	капезакључати
hk6k	Народнамузика
hl6k	еулер'с-број
pyom	полонијуматом
xyam	талијуматом
hvic	Инвадинг
lyok	локативслучај
xlot	станови
txen	преправљање
kxac	контранапад
qrak	штрајкбрехер
hbup	базен
txuk	кратакспој
tsef	сужава
bxit	webдомаћин
ksem	читатисамо
byim	рубидијуматом
hvam	ванадијуматом
lw6n	лантан
frum	флуоратом
nyom	неодимијум
mlom	мулталброј
kxas	персонализовати
xret	терабајт
hs6k	претраживањемотор
frus	корозију
gxan	галаксијапол
vlas	воцализатионс
glet	папучицагаса
hvim	извршавања
bxip	битнамапа
qrin	Звездапол
bvak	абессивеслучај
pxon	недоступан
dvik	адессивеслучај
dvek	агентивеслучај
hlef	заступникокидач
kwek	дослучај
kxen	заједничкипол
ht6m	цитатобразац
tsuf	transцифра
hf6n	кажњавања
tc6t	директанобјекат
gvik	ергативеслучај
gxon	фрагментација
ksep	рецептора
vyin	биоскоп
pyos	пасиванглас
hnef	ограниченглагол
xwit	Примарнаобјекат
hqim	гномскирасположење
jlak	генерализација
vrik	коначничестица
qyan	имагинарно-јединица
kxaf	брзина-на-светлости
xyic	phishing
qyit	kritičnatačka
hvek	евитативеслучај
bvik	субессивеслучај
hzes	запоседнутслучај
prus	компјутерскивирус
ples	процесор
pxif	полицијаофицир
dvak	лативнислучај
brun	обилазак
tsi_k	антессивеслучај
tyum	рутенијуматом
vyak	прилошкислучај
pxim	премијер
syum	стронцијуматом
sy6n	подозривост
hy6n	анимиратипол
pxac	говернанцерадост
vlin	возилопол
qwin	минералпол
hr6s	упућивање
tf6n	тонера
xris	корисникприступ
hw6n	псовање
xlen	усменименица
pyec	Табела
vlim	виртуелнамеморија
bres	речпроцесор
hqip	облакрачунање
vlic	виртуелнамашина
pfam	спамера
dyap	другијезик
txek	сис-корен
dxen	подациРударство
byip	посаолице
hs6c	самповерење
txim	мисли
hb6t	променаоддогађај
hdem	домениме
dxon	различитдогађај
lwaf	блицпогон
sl6t	црастиналнапет
xyik	Флоппидиск
fyif	рефлексиванглас
bvin	свемирпол
hm6p	матицнаплоца
tfip	прелазанглагол
jlen	локалитетпол
xrap	стрипед
tc6n	истраживањепол
sl6n	уметничкипол
xrek	пацијентокидач
xwan	апстрактанпол
dxif	видеоконференција
dyip	индиректанговор
zrek	ексцентричнихслучај
hvuk	подсећајући
xwat	прошлостсвршен
hr6m	ренијум
txaf	активира
hmef	безличанглагол
tx6t	текстуредник
txes	колективанименица
bvat	Злостављање
bvuk	абсолутивеслучај
ry6t	радијан
vlis	виртуелнареалност
qren	планетарнипол
gvak	граматичка-Цасе
bxok	ћелав
mrum	рачунарпрограмски
ps6t	раднисистем
hfom	фонема
tlem	читатисамомеморија
pwam	шпијунскисофтвер
kfif	језгробенефацтиве
qwit	рационалност
nlaf	уградња
nwok	асоцијационислучај
dzas	незадовољити
swuk	суперлативслучај
syos	сумирање
kr6n	електричниструја
dvin	неживпол
pxom	пропоситиверасположење
vris	реципрочанглас
rwos	аеросол
dr6t	дистрактор
ht6k	телекомуникације
slaf	друштвениумрежавање
lyuk	узастопниклаузула
qras	претпостављени
ty6n	терминал
gwet	ускоробудућностнапет
hp6s	апликативниглас
tsof	антипассивеглас
ht6p	цонтинуативеаспект
hn6f	нецесситативерасположење
pfip	пасиванпартицип
glap	тоолбар
sy6k	егзистенцијалниклаузула
qyat	светлосниинтензитет
hy6t	граматичка-објекат
vyan	изговарање
sluf	сингулативеброј
dvit	прекомерантрајање
qyak	синглакцијаглагол
bzik	физика
xlet	суперлативстепен
hqap	поклонпартицип
qwat	износодсупстанца
qyik	везникчестица
sr6t	суперкритичнафлуида
hfem	епентетскиморфема
tl6t	даљинскибудућностнапет
mrif	микрофон
pcuk	постпоситионалслучај
tfim	случајанприступмеморија
fwim	етидиум
ly6t	беседадоговор
hvap	свитакБар
hfep	учесталиаспект
bvan	дистрибутиванзаменица
fyun	флоатинг-поинт-број
xyas	брисање
hvif	глагол-суфикс
xyis	прошлостпасиванпартицип
tl6n	централниобрадајединица
tfok	локативусмеренслучај
qwan	честопитаоpitanja
