hnit	የሌለው
swon	የበጎ
ryak	ምላሽ
pfun	በከፊል
blac	የጉዞዕቃ
mret	ሚኒስቴር
hjon	የጾታ
kcok	መጥረቢያ
dram	አልማዝ
kren	አለዋወጠ
tcek	የገደልማሚቶ
hdif	መታወቂያ
tfas	አምባሳደር
hfot	ሊኖሩት
lwas	ሰነፍ
hmep	momentaneገጽታ
kfin	በኮድ
mwin	ሐሳባዊ
hrem	ጮራ
pram	መውጣት
byac	የዕቃቤት
mren	የማይረሱ
swen	የሕግመወሰኛምክር
kras	የሬሳሣጥን
hgun	መዋጥ
nlok	የተጠናወታቸው
ryic	የእርሻ
gwin	ተወዛወዘ
srut	መስክ
hkes	ውስብስብ
hfis	ሥራመልቀቅ
frak	በተደጋጋሚ
hnom	መሸመቅ
hcop	ፓብ
hlec	በርበሬ
mlot	ዜማ
zrat	እጩ
proc	ጠባቂ
flik	ቀይቀበሮ
cyet	ተጸጸተ
hgim	የጢስመዉጫ
slet	ለምለምአጥር
tcok	ትክክለኝነት
bjit	ሟቹየቀድሞው
brot	እምቡት
bwat	ብርድልብስ
hdus	አሳማ
gwat	የዝሆንጥርስ
kret	የማውጣት
nwet	ታዛቢ
jwan	ጐዳና
nwis	ምስማር
mwic	ንብ
bzat	የቴአትርተጫዋች
gyan	ላብ
zyit	አስፈጻሚ
blic	ለዓይንየሚመሰልነገር
pcet	ጥርጣሬ
tsot	አጠፈ
bwit	ወሰን
tres	ውጥረት
hkof	መፍጀት
nyen	ማቃሰት
hles	፳ንመሰለ
cyek	ጆንያ
hjis	መርፌ
gjan	ክስተት
prec	ራስንመራ
drot	ቁጥጥርየሚደረግበት
kcek	ቆልማማ
twic	ጫጪት
brak	በርሜል
zwat	ልንሆንና
clap	ልንሆንናገጽታ
tsec	አዋቂ
bwin	አስደነቀ
cwet	ብተናው
hbek	ዳቦጋጋሪ
zlin	ወይራ
mron	የተሸፈነፉርጎ
drin	ሠዋ
psap	አደጋላይጣለ
gjin	የልደትቀን
clut	መዶሻ
cwun	ጥሩሽታያለዉ
twaf	ተራ
pcot	ለማዳእንስሳ
krok	የራስቅል
dlik	ሕግየመደንገግሥልጣን
cwic	እንዳጋጣሚ
srun	ኰሰተረ
crec	ማጥፋት
jlan	ህዳግ
kcip	አሽናፊ
blin	ቢሊዮን
ryik	የኬሚካል
mlas	የልብትርታ
flit	አዉሮፕላንነጂ
hzet	ቋጠሮ
cwik	ግርማ
twet	ጉርድቀሚስ
mwik	በየሳምንቱ
tfis	የቴክኒክ
tlon	ተሽከርካሪ
cram	ለሽንገላ
grac	ማጠናከር
kraf	ቁራ
trup	አይነታ
hduk	ሜንጦ
cruk	ነብር
nrap	የቤትጽዳት
crot	አዉራጎዳና
mlip	ሚሊሻ
hfoc	ፎቶግራፍ
nres	አቋም
plos	እና
tfam	በዉስጡየሚያሳይ
nlic	አስራዘጠኝ
hwok	ብቃት
nlen	ድርሰት
fyic	ዉጤትየሚሰጥችሎታ
hwuk	የተለየ
hgok	ኦርጋኒክ
flic	ሥነ-መለኮት
flot	ተንሳፈፈ
hboc	ያስገድዳቸዋል
hwoc	ጠንቋይ
syot	ስቱዲዮ
cwip	ሸምፐይን
hbes	ሰንደቅ
lwic	ፍቺ
blot	መቀርቀሪያ
cwot	ምርኮ
cwam	የደምሥር
prik	የማይሠራ
hfum	አረፋ
grik	ጠጠር
zrin	ሽርጥ
gren	ፕላኔት
hfuc	ትንሣኤ
claf	ዕቃመደርደሪያ
flas	ፈን
hjot	የትሮፒካል
hbim	በጣምያልታሰበበት
krek	የሜርኩሪ
hbec	ደግ
tsaf	ራስንመግደል
pwas	ለቀመ
plot	ጋዜጠኛ
kfak	የሚለግሱ
blak	ሰገነት
hdos	እድፍ
kwis	የሚታወቀው
kcos	ይከሰው
psen	ጡረታ
kres	ግሥ
hzon	ዝንጀሮ
srim	ፊርማ
glin	አለመፈለግ
mlut	በመጥፎተግባርየታወቀ
myot	አስገባ
fwac	መሥራች
troc	ችቦ
hgaf	ሰዋስዉ
hyop	አነስተኛመርከብ
ksip	ከምድርገጽ
sres	አጭርየሽርሽርጉዞ
hnup	ጉልላት
hzun	ችኮ
mric	ጡንቻ
gjat	በሬክተር
hros	ፈተገ
zrac	ፈሪ
tros	ቶስት
myus	አይጥ
dwac	መገናኛ
byak	ፍየል
htef	ልብስሰፊ
hfek	ሊስፋፋ
dzan	እናስፈጽማለን
nyon	ስም-አልባ
zrit	መደበኛመዝገብ
pcos	ስፖርት
hjec	ቀለጠ
dlas	ሰርዝ
mras	ጃንጥላ
mram	ማዕድን
cwut	ለጊዜዉጦርነትማቆም
hbok	ዳክየ
swun	ሳሙና
dwak	አሻንጉሊት
plif	ቪላ
slon	ስፌት
tfut	እንኳንደስአለዎትአለ
djac	ያስታርቅ
hjas	ጪቆነ
kric	ጥንቸል
kwot	ወረቀትቈራጭ
gzan	ዋስትና
clot	ተጫዋች
ksek	ተባይ
psam	የሰዉነትአቋቋም
mwut	ጉጉት
htem	በቋሚነት
clon	ቫየሊን
dzin	ነዋሪ
rwim	በቅደምተከተል
hyof	ጠቃሚ
dron	ዘንዶውን
dwit	auditoryየማስረጃ
sroc	መላክ
hzot	መጪረሻ
djik	ደንግጡም
kfik	ሸፉን
ryun	ደንብ
hmes	ከንቲባ
rwac	ሃርድዌር
sruk	ሲርኩስ
sros	ጥቂቶች
bzan	ታላቅብጥብጥ
kset	የሙዚቃጓድ
bjon	በእንፉሎትየደረቀያሣማሥጋ
hjut	ገደብየለሽ
tfen	ጥብቅና
zwac	መሰናክል
dyin	ከተወያዩበት
myis	ሙዙቀኛ
mlis	በአእምሮ
pret	እግባብየሌለዉ
tsek	አርኪቴክት
hlom	ሎሚ
ksos	ሳል
crok	ራስምታት
flin	የወሊድ
mrun	አናጢ
swec	ያለብለኀት
syuk	ማንካ
blun	ላስቲክ
tcep	ጠመኔ
fric	እረፍት
rwik	ቀጥያለ
rwen	ለመከላከል
flet	inferentialየማስረጃ
pfac	አታሚ
srek	ኾምጣጤ
tfun	የመሬትዉስጥመተላለፊያ
pwet	እንቆቅልሽ
gyik	የሒሳብትምህርት
fwot	ደበዘዘ
lwin	ሚዛናዊ
jwin	ጉበት
bwik	sublativeመያዣ
hdup	አጠቀሰ
hnop	ሞኖፖል
bwic	በባሕርዉስጥየሚሄድመርከብ
ryen	ምንምይሁንምን
hcem	የመሬትመንቀጥቀጥ
hbos	ላቦራተሪ
nrek	ሠራተኛ
ryim	የዜማአጣጣል
nyic	ተረጐመ
dwas	ኤምባሲ
rwok	አስከተለ
kram	አለመቻል
ksim	የአዋጅስሜት
clok	ቾኮላታ
pcec	መብት
nyis	ባሕታዊ
tyoc	በአንድጊዜመሆን
grak	ጭረት
zlat	ጓንቲ
hjuk	ተንበረከከ
trif	ጄኦግራፊ
djit	ደምበኛ
pson	የማይሸነፍ
mwis	የኢንቨስትመንት
cwec	ግሣዊ
hdek	ዓለማዊ
blik	ጭልፊት
sloc	የሥነልቦና
brap	ቁራጭ
jlat	የባሕርወንበዴዎች
dros	ወዴቀን
slam	ሳልሞን
pwun	ፑዲንግ
gwik	መግነጢሳዊ
pcop	መንፊያ
myen	በተመሳሳይ
ksen	ኦክስጅን
mrap	የሚወተውታቸው
tfot	የምስክርወረቀት
ksus	ከጥቅሉ
trok	ርቱዕነት
tloc	ተደውሎለት
zyan	መቅዘፊያ
nlun	ግባ
hlop	ተሌስኮፕ
jlin	አጻጻፍ
lyut	ደመናማ
hsof	ሰርፍ
fyik	ውስኪ
klet	በአንጻራዊሁኔታሲታይ
hwof	ዊሎው
hlum	ግመል
myet	የማይከፈለውሙዚቀኛስፓርተኛወዘተ
klis	ተለይቶመኖር
hbaf	የህይወትታሪክ
gwac	አህያ
hwum	ወሬ
pwik	አመለካከት
pron	ፕሮ
myes	ወርሃዊ
mwen	reverie
kfic	የእረፍትጊዜ
klek	ጠቅታ
cwon	የእንቁላልቅርጽያለዉ
lyak	ስለሚሳሳቡ
kwon	መዝገበቃላት
hjam	በጢስየደረቀያሣማሥጋ
rwon	ቀስተደመና
crip	በዚህአዋጅ
zwan	እየተከሰተ
srok	ኤዲቶሪያል
craf	ያሥርአለቃ
tlok	ታንክ
brip	ቢራቢሮ
tfap	ሠንጠረዥ
jwat	መንትያ
pros	የክወና
psun	ገድ
clet	wretchedness
hbus	ሸምበቆ
dyas	አከፋፋይ
klun	ማጠራቀም
jlit	በአንድድምፅ
hdom	ቅዠት
kron	ካርቦን
hzam	ዝግመሆን
cyot	አድማጭ
hmem	ቤተመዘክር
lwam	ፊደል
fras	በተነ
psoc	ኃይለኛነው
hgum	ማስቲካ
brek	መግቻ
glit	መረጋጋት
frun	በሰበሰ
gris	ጥልኛ
mroc	መፉተግ
bzit	ሸረሪት
plut	ድንች
glac	ስግብግብነት
gzac	አበዛ
prun	ፈተለ
jlet	ቀንመቁጠሪያ
nyim	አቅራቢነት
tlos	ትሪሊዮን
slut	ሰላጣ
fwit	አዎንታዊስሜት
pyen	መተግበሪያዎች
nlon	በስመ
dren	ማሳየት
drun	ቅሬታ
cyok	ሊያኖር
hfop	እግርኳስ
ryac	ሽርክና
gzin	አቅኚ
hgip	ጎመን
tyet	የአትሌቲክስ
hdof	ideophone
hwup	ሊተመን
lwek	ሰቅስቆማንሻ
syec	ሴነተር
jyak	አስቀመጠ
mlim	ጉንዳን
fwic	ውጤታማ
gzit	እርጉዝ
blas	መመካት
jrin	በየቀኑ
gwak	ቁርጭምጭሚት
drik	የቁርአንን
prif	ተለዋጭ
jwit	ልዩነት
krip	መድልዎ
ryot	እንዲዋጥ
nwut	እግረኛመንገድ
kcif	በንቃት
jrak	አንቁራሪት
twek	exessiveመያዣ
psot	ያስተሰርይለታል
pfon	ሰፍነግ
sluk	ቀይትንሽአዉሬ
nlim	irrealisስሜት
ksaf	እጥረት
glak	እሳትገሞራ
plen	የተፈጠሩበት
kfaf	የአንገትልብስ
kyon	መበዝበዝ
jlik	ስነምድራዊ
psop	ፓስፖርት
kfis	ክፍትቦታ
fyon	ለጨለማ
nram	ሥነምግባር
hbuk	ብስኩት
gras	ሰመመን
hyos	አስተዋይ
flim	ፊልም
plet	ጡባዊ
rwam	አቶም
blis	ቫኒላ
zlit	መርጃዎች
fyut	እፀበል
crim	ሀረም
hjif	ሕገወጥ
crif	ዓይናፋር
lwap	የበገና
tyon	የፈለክጥናት
mrim	የሚጋጭና
drut	ገላጭ
nrim	የመማሪያገንዘብ
kruc	ኤሊ
kwam	መካሪ
jrik	ክሪኬት
dlut	ያመለክታል
pyot	እርግብ
dyon	መላመድ
prap	ስልከኛ
bzin	የመለያምልክት
tyek	ሦስትማዕዘን
trec	ገንዘብያዥ
nron	ሃይድሮጂን
pyet	ፕሪንተር
tsok	አነቀ
zyin	ብዙጊዜየሚቆይ
slek	ቢስክሌት
jyin	ምህንድስና
ryas	የኤሌክትሪክኃይልማስተላለፍ
zrak	አዝናና
nyas	ደናሽ
gric	ፍልሰት
zlak	የሚጥስ
tces	ቴኒስ
hjun	ነፉሳም
twen	ሸማሠራ
kyet	ሰብሳቢው
gwit	የጀርባአጥንት
kyot	አኮርድ
fwin	መደጋገም
tfuc	እንዲያንዣብብ
dlet	ማውጫ
pfik	የበሰለ
bjet	ባጀት
trek	ስትራቴጂ
kros	ኳርትዝ
gjit	መቁረጪት
gwic	ማብሪያ
frik	በንድፈ
tluc	ፎጣ
pruc	ተዘዋዋሪዘብ
glic	የበረዶወንዝ
krun	ምሉዕነት
bjin	መገመቻ
tlaf	ለመሳተፍ
tfet	ባለፉብሪካ
bras	ላተራል
dwik	ተከሳሽ
clec	አደከመ
cres	ቼዝ
tcef	ደማቅቀይየሆነትንሽፍሬ
tcom	ተደናቀፈ
nyot	አስተርጓሚ
tyok	ትራክ
cyip	ከሁሉየላቀውን
grot	ሰናፍጭ
bris	ገመድአልባ
nlam	ሀራጅ
slif	በወንፊት
hgos	ዝገት
swoc	የመወላወል
jyat	መክሰሩንሕግያረጋገጠዉሰዉ
slum	እስልምና
hjes	የሕዝብቆጠራ
dzat	tiptoe
slun	ታገደ
nwot	ቀጣይነት
gyic	ጊታር
pfas	መጣመም
zyik	ዚንክ
blen	ብልጭልጭ
hyem	በኤልም
hnep	መንጠቁ
nyut	እንደመሠረቱ
ryam	ተውላጠምልክትማድረጊያ
clim	ቅመም
jret	በቁርጥ
tfon	አናደደ
jwac	Java
hrep	የምግብአሠራርዘዴ
dyac	አሉን
myip	መቁጠሪያ
rwis	የዘር
hkem	ጂራታምኮከብ
nwon	አዲስነገርመፍጠር
zwin	አገደ
dyis	በመካከለኛውዘመን
mrec	ድንቢጥ
fyot	የግርጌማስታወሻ
mlon	መመጠን
pfis	ከመጽደቃቸው
rwot	ምኅዋሯን
hfok	ቆጣቢ
glof	ጐልፍ
zron	ዜሮ
hzip	ዚፕ
hwom	ቤትየሌለዉ
bjic	ጫትመቃምና
pcim	ለመፈጸም
hjip	ሰባሪ
bwac	ማዛጋት
mlos	ፍልፈል
mrip	የሽክላዕቃ
bron	ጽንስ
ksoc	ቅናሽ
cyum	እርሻ
jyan	አደናጋሪ
plim	እንኰይ
mwet	የመቃብርቦታ
ryet	ምረቃ
glik	የመስኖ
plap	ካፒታሊስት
tsif	የመለጠጥ
gyak	ድንገተኛየባሕርዓሣዓይነት
djon	ነባሪ
nwun	ጊዜጠባቂ
cles	እዉነተኛዉንሕይወትየሚያሳይጥበብ
dris	እየጨመረ
hkef	ካፌ
blus	የሕመምተኞችማመላለሻመኪና
blap	የገንዘብቦርሳ
bjak	የተዋጡት
klim	ማጨናበስ
gyac	አጥኝ
jyit	ባለሞያነትን
dzit	ምክንያታዊ
bwak	ከቤትውጪ
dyot	ራዲዮን
bwon	ባቄላ
fris	መደበኛ
klut	አመዛዘነ
tfek	ስቴክ
nrok	ናይትሮጂን
zyat	መላጫ
bram	mutter
ryis	የመግቢያ
nlip	መተንተን
nros	ተቃራኒ
hcof	አወለቀ
tfif	አነሣሽ
kroc	ትልም
hdum	የአይሁድእምነት
pses	ተቀባይ
plok	ማሟያ
lyet	የካሜራመስተዋት
pwek	pegativeመያዣ
kfas	ነቀርሳ
pwen	ያሽከረክሩሃል
nrun	አስታዋሽ
clek	ፈሰሰ
pcif	መረጋገጥ
glas	ውስብስብነት
zwit	ወሬኛ
kces	ብቃትን
crem	ችርቻሮ
grap	አፈፍአድርጐያዘ
kwip	መካከልገባ
dyut	የዋጋቅናሽ
crus	ተዋረድ
gyet	ጄድ
gram	snarl
kyip	እንሽላሊት
nyet	የስልክሰሌዳ
crop	ፚፚቴ
glon	ጋሎን
mrok	ትንኝ
fluc	የተንበለበለ
dwic	ከተለመደሥርዓትመዉጣት
slec	ተመራማሪ
srec	ጊዜውእያለፈበት
blut	ለመታገል
myok	የህብር
tlek	ተሰኪ
nruk	ተላላፊ
nwoc	አይገኝብሽ
bjut	የቁጭ
hges	እርግዝና
twoc	የሸቀጣሸቀጥ
kyos	ኮሙኒስት
mrek	ተገረመ
clip	ጸጸትና
pwok	prosecutiveመያዣ
dwot	አምባገነን
zyac	አደር
jlic	ሰዉሰራሽጪረቃ
slop	የቤትጫማ
ryip	ተመጣጣኝ
psim	ግምታዊ
byet	ሥራየሌለዉ
cyop	የትርፍጊዜሥራ
rwun	መስፈርት
blop	አምፖል
syok	ረዳት
klos	ክሎሪን
lwot	ክሎራይድ
byic	ባክቴሪያዎች
lyik	የሚያጣብቅ
blok	ባዮሎጂያዊ
jlac	ከሕልውና
bret	ባይት
krif	secretion
blet	የባሌ
nruc	ሽንት
tsus	ነጭሽንኩርት
dyak	መካከለኛየኑሮደረጃ
tcem	በጉጠት
cyoc	ተፎካካሪ
trep	እንጆሪ
dlun	እድፍነት
hlup	አልበም
hbep	ቤዝቦል
praf	ውንብድና
pwis	ቦዝ
grek	ጋራዥ
kruk	መደገፊያእንጪት
hfof	ፎስፈረስ
rwut	መዋቅራዊ
myam	የስፖርትአዳራሽ
krec	ዝይ
jras	ተቋራጭ
zrik	አሳውቅ
blam	በዳንስ
klip	የእጅባለሙያ
hwef	ያለክፍያ
zlac	ሙዝ
gret	ጄኔሬተር
lwuk	የጎድንአጥንት
nyek	ኒኬል
blos	አውቶቡስ
sles	ሰንሱር
tlif	ሰቅ
kses	ቋሊማ
mwot	ቲማቲም
lyot	ራስ
tsom	የፖታስየም
brut	ምናባዊ
djap	አልጀብራ
hjok	ሁሉንአቀፍ
kfen	ጽንሰ
pcok	የማያ
bzut	ሊነኩት
syek	አጥነት
mruc	አባጪጓሬ
bwas	አሳሽ
klif	ካልሲየም
rwet	የተካረረየርቀትባለፉት
srif	የተካረረታሪካዊ
hwem	የመጡና
syom	ሶዲየም
tyos	ባላደራ
jyic	መያዣየሚሆንየጦርእሥረኛ
hguk	የቅል
dwun	ሽፍሽፉት
swip	የአሕጉር
tlec	ደምመጣጭተባይ
blaf	ክብርመድፈር
tsem	ክሂዶተእግዚአብሄር
mloc	ተቆጣጠር
gyot	ተስማምቶየተደረገ
trop	መጠይቅን
rwap	የሩብ
hjep	ፆታ
pyim	ፕላቲነም
dlon	ባለሁለትቁጥር
pcep	ሳምባ
twuk	እያሰሰ
tyec	መለያ
syup	ትልቅ
trom	የኤሌክትሪክመጓጓዣ
nyip	በአካባቢ
glis	ቤንዚን
gjik	ኩላሊት
hjos	ከመተው
hjuc	ሀብትሽን
swek	የረሷቸው
psek	የአርሴኒክ
twok	እስታቲስቲካዊ
tsep	ፌንጣ
slos	ሶሺያሊስት
nwim	የስሜትየማስረጃስሜት
tlop	የጠረጴዛ
trus	አወዛጋቢ
pwot	በውሻ
djot	አተላ
nloc	ደፍጠጥ
mwon	ማንዳሪን
hjek	jockey
crom	የመተባበር
myon	የሳምባነቀርሳ
twec	situate
ryek	ሮኬት
dlic	ተካፋይ
kwet	የብረትየበረዶመንሸራተቻ
bwen	ሐሳብንመማረክ
plon	መቁነን
syon	አሳዝኜ
djis	ዲጂታል
byut	ሴትዉሻ
hyep	የዓይንቆብ
dwon	አግድም
byis	ነቅተንም
brec	ቅንድብ
cyec	አስነጠሰ
hwop	ዋት
clus	በጣምየምትገርሙ
kfun	በውስጡም
nwum	የህንዱእምነት
fyim	ስደተኛ
cwos	የማመላለሻ
tfoc	ትርድ
pwon	ፕሮቲን
sraf	ራስንትጠግባለች
hbom	አስታወከ
gyen	ጂን
drim	የአንደኛ
trem	accoutrements
tsup	ሰባበረ
slok	ሶሺዮሎጂ
kwoc	ስኳሽ
bwam	የመራጮች
mlok	ተንቀሳቃሽነት
kyen	በክልል
hmop	እንቅስቃሴሽቅብ
rwek	ኋላተመልሶ
kfup	ኩብ
grok	ካሮት
drap	ለማጥመድ
lwis	የሞለኪውላዊ
ksuc	ሒሳብሠራተኛ
tsop	ሸተተ
kyok	ክያር
nroc	የብሔርተኝነት
jlot	የማሟሟት
psof	ፎስፎረስ
hgif	ቀልብ
kfim	አልካላይን
psos	ጂምናስቲክ
pfen	ማረጋገጫ
kcom	የምጣኔ
krom	ነጠላሠረዝ
tluk	wriggle
hyom	አዩዲን
nwuc	እንቅስቃሴቁልቁል
gjac	ማስወረድ
pcom	ከአበባ
dzic	ዕቅድሠሪ
grun	የጉራ
dzot	ለጋሽ
hzek	ማንጋኒዝ
kfot	ኪቦርድ
jlas	የማያስተማምን
lyim	ጥቁሮች
jyen	የየን
pcaf	ቅንፍ
rwip	ራግቢ
blip	መጽሏፍ
kyoc	የተለየነት
lyon	የሚመግልቁስል
flis	የአረባብ
nrif	ከሚያፈርሱ
kfam	ኳንተም
swes	ባለአንገትጌቩራብ
lwon	የዝግመተለውጥ
drec	በመሰነጣጠቅ
gjap	ስፖ
lyec	መስመራዊ
tyom	antimony
pwuk	superessiveመያዣ
flaf	አልፋ
myim	በሽታየመከላከል
pcek	ማፈን
bjac	መጥመቂያ
bzac	ያሳጥሩት
bzak	ካልሲ
twes	ቴሌቪዥን
dwut	ዘጋቢፊልም
ksom	ኮስሞስ
lyis	የደን​​ጥበቃ
lwim	አሉሚንየም
ksok	በኮከብቆጠራ
sruc	ለማፋጠን
dlif	የዓሳዓይነት
byik	ነፍስገዳይ
tfec	የጽህፈት
hjaf	በወተትታዳጊእንስሳ
ryok	ፕሮቶኮል
dwis	ዳይኦክሳይድ
jlon	ኮሎን
brus	ቡሮክራሲ
gjak	ጋላክሲ
lyip	የክሊኒክ
ryem	ሬድየም
href	rarefied
prok	የምግብማቀዝቀዣ
slep	satyr
dret	ስላሳዩት
kluk	የጥንታዊቅርስ
dlis	idiosyncrasy
kfip	ተቀባይነትየለውም
mlec	ማሸት
pfif	ዝርዝርመግለጫ
nrec	የስሜት
pfet	በራሪወረቀት
hzoc	መንስኤ
dlam	በሐሳብደረጃ
nlec	አንትሮፖሎጂ
kluc	የሚጣፍጥ
dyet	sedan
tyif	ተሻጋሪ
krus	ይጥለኛል
nluc	አደይአበባ
lyun	አዮን
zrot	ወንጀለኛን
ksif	አናዘጋጅም
psif	መፍሰስ
crup	መደራረብ
fret	አግኚው
grut	ገልብጥ
ksec	የክፍል
jric	በጉዞየጉብኝትዝግጅት
mrop	በማይክሮዌቭ
srus	oust
gyas	ጠጉርአስተካካይ
floc	ያባቶችተረት
plek	ሲቀጣጠል
nwop	መቀመጫ
nrom	መቆጣጠሪያ
twos	ሽብርተኝነት
lwok	መፈክር
dwet	ተጨማሪሰአት
slem	sublimate
grip	አቃጠለ
gwas	ዋዉ
kwok	በራ
gwon	oat
hdop	እንቅስቃሴበወንዙ
glam	የሰገራመዉጫቀዳዳ
bwot	ከከብቶች
bren	የአንጀት
byot	ቪዲዮ
bjik	አድማ
kwim	ጥያቄጠየቀ
cwek	ሆኪ
grif	የደፈጣ
hgem	ማግኒዥየም
hyes	ግንዛቤ
fram	የመድሃኒትቤት
nwos	unambitious
ryap	እንደገናአደረገ
cwim	አስተማማኝነት
klep	kelp
psec	ካሣከፈለ
djic	በዓለምዙሪያ
kfut	እላፊ
crep	ሀምበርገር
frim	እርጉጥ
gjas	ለኰሰ
hdef	ዴቢት
ryum	የዩራኒየም
pluk	መረመረ
krop	አስተባበረ
nraf	ግብርከፋይ
tyes	የተቀናጀ
plip	opine
hgom	Gamma
hgus	Coefficient
cwuc	ሙቀትማስጫ
zret	ቀነሰ
nles	ተንታኝ
trof	ኢተሻጋሪ
hmof	የገበያአዳራሽ
hzim	bismuth
dzac	ባልኮኒውን
psok	የፖስታካርድ
blon	convergence
djet	digress
ksum	የአክሲዮንባለቤት
mrup	ረቂቅተሕዋስያን
clif	Helix
cloc	morphological
tfes	ምግብአዘጋጅ
gjis	ጂንስ
jren	አሰላለፍ
tlep	የውሂብጎታ
kcup	ኩፖን
glot	የኤሌክትሪክኃይልመጠን
glut	ካልኩለይተር
srep	በኢንተርኔት
nwes	ባለሃብቱ
ksef	xየራጅ
bzis	ቪዛ
frut	መሠረተልማት
nyuk	ጥንዚዛ
dyik	የማወቂያ
plec	Splice
brom	ክሎሪንና
plop	ትኮማቲስ
zlik	ሲሊኮን
flut	ቮልት
ksop	ኮስሞቲክስ
gjun	አጋጌጥ
kfok	ስርቅታ
hpof	ፋንዲሻ
hzuk	ዙ
nyoc	ፍች
jwak	ዮጋ
brim	የባሪየም
kles	አስቈረጥሁት;
mwam	አዎ
fwik	ሪችት
djas	ጃዝ
dyim	ኦዲዮ
tsum	ታንግስተን
drip	dribble
lyaf	የልጅማሳደጊያ
prom	በፕሮግራም
nrup	ግቤት
hfes	አገናዛቢ
rwaf	chrysanthemum
dlen	ስነዳ
byas	ክትባት
fron	ሄሮኢን
dluk	ለያየ
dyun	የበሽታዉዓይነትተረዳ
flap	አቃፊ
kfet	ካቶድ
dlim	ርዕዮተ
prek	መኪናማቆሚያ
syoc	ቅጽበተ
slus	ተደራሽነት
nlos	ላይየደረሰና
mlen	የሲሊኒየም
pres	ኮርቴክስ
hlof	ሰልፈር
nlek	የአሁኑተገቢነትምልክትማድረጊያ
gwot	የአውሮፕላንማረፊያ
mwip	imposter
klop	በረሮ
kwom	Chromium
hl6t	ሊትር
nwec	ቢያገኙም
glip	ተደጋጋሚ
nrop	የመክፈልዝርዝር
crum	ሆርሞን
dlep	ገንቢ
frot	perforate
bwoc	ሥራማሰናከል
fwis	ለሴቶች
djok	በሰዋስው
draf	ዘመናዊአደረገ
trum	አክራሪ
graf	ስልተ
lwes	በጨረር
mlem	ሚሊሜትር
flen	ተጣጣፊውን
zlot	anode
swok	ተቃቅፈው
klec	ድካምውሻ
pwim	ትርፍጊዜ
htuf	የዓሣዓይነት
fyis	ማጣሪያፉብሪካ
lwet	የስሜትችሎታ
mrem	mainframe
jwic	ማሻሻያም
droc	demonstrator
clem	ሂሊየም
dzik	ሁለትቋንቋአስተካክሎየሚናገረዉ
psem	ፕላዝማ
hjom	ክሮሞዞም
rwuc	የደረጃ
tyus	ኢንቲጀር
klom	ኪሎሜትር
hfos	ፋክስ
nwek	ጄኔቲክስ
jrap	የጠመንጃመፍቻ
zwas	እንድንጓጓ
bwok	ብሮኮሊ
dwap	ለአዲስሁናቴእንዲመችሁኔታየሚለውትሰው
syem	አይፈለጌመልዕክት
blek	የቬክተር
tlus	ስልት
pyif	ያልተገለፀ
cwoc	እሺ
mrep	ampere
hbem	ቪታሚን
hxan	ዘበኛ
hxut	ብድርሰጠ
hk6m	ካድሚየም
hxin	simultaneity
txin	የታይታኒየም
kxin	ኪሎ
klum	copulate
xlis	የሚፈጨውን
hqak	syntactic
hxat	ፈጠራ
hxik	ሠመጽሐፍ
hxas	የስራቦታ
bxon	boron
dxin	እልክኝነቱ
hxit	ሄሊኮፕተር
tlum	tellurium
txit	ማለቂያሰአት
kxat	oxidize
hvik	አስተካከለ
nluk	አናሎግ
nyem	ሳንቲሜትር
hm6t	በተፈተሸ
hl6m	ሊቲየም
ht6t	መልቲሚዲያ
xlit	ካሎሪ
ryop	ሮቦት
pxas	የመድሃኒትቀማሚ
hxak	የቤትስራ
lwif	locative
grim	ሎጋሪዝም
hqat	ማንቲስ
qlit	ኤኮሎጂ
xlik	sophisticate
mlep	አብነት
hqit	ራዲዮአክቲቭ
kxim	ግራም
hxen	የአከራይ
hxot	ያለልክ
kyif	የኮፒማሽን
fwet	ፍሪዌር
txet	ታህታይስብስብ
hs6n	ቅደምተከተል
hxet	ሊከታተል
xrat	ቁርጥ
hqan	ይጨምሩም
hr6t	የኢሪዲየም
bxat	የመተላለፊያ
dxet	ዴስክቶፕ
hxis	አርቢ
hxok	headquarter
hxek	ያለቦታአስቀመጠ
srem	cerium
hp6t	partitive
pxik	partitiveመያዣ
kxet	በቴፕ
pruk	ሱፔርማርኬት
hvit	በራሳችንጥረት
xlin	ከመስመርውጭ
frip	ምስጠራ
hvep	overpay
hxon	መጥን
kxit	ማስፋት
hqin	ሴሚናሩ
tr6n	ስቴሬኦ
ht6n	fastener
hvat	መጪ
sl6s	ሴልሲየስ
hn6n	ኒዮን
ts6t	በተመሳሳይሰዐት
hvin	ማስተላለፍ
pxat	የጋዜጣመሸጫ
myoc	ሞዱል
ps6s	ፓስታ
bwek	የእጅቦርሳ
dlok	ዴሉክስ
fraf	ፋየርዎል
hr6k	ቅርስ
txat	ምሳሠዓት
hqon	oregano
pxun	plutonium
ks6n	ከገቢር
slef	ሊፍት
xrit	ሕይወትአዳኝ
hvut	overcrowd
xrim	yttrium
hx6t	augmentative
hqum	የተጠቃሚስም
hl6n	ነጋዴዎችና
gron	argon
pxan	የማስተዋወቂያ
hvac	እቃማጠቢያ
xlan	ግሎባላይዜሽን
txon	የሞገድ
xrik	ሠራ
hxap	የመንገደኛቦርሳ
hxac	እንደገናጀምር
xyat	ሄፓታይተስ
cwep	ከደሞዝ
hxos	torus
txif	የአጻጻፍስልት
