hnit	ﺭﺪﺼﻤﻟﺍﺔﻐﻴﺻ
hrip	ﺓﺬﺒﻧ
htep	ﺓﺩﺎﺒﻋ
hcif	ﺓﺮﺸﺑ
hrat	ﺖﻴﺒﻟﺍﺢﻄﺳ
kran	ﺝﺎﺗ
hkon	ﺔﻌﻠﻗ
tran	ﺱﺄﻳ
hmif	ﻞﻴﻣ
trin	ﺓﺮﺋﺍﺩ
hgin	ﻦﺠﺴﻟﺍ
hkop	ﺏﻮﻛ
hcen	ﻮﻀﻋ
swin	ﻲﻧﺪﻣ
hrac	ﻥﺎﻜﻣﻞﻛﻰﻓ
hris	ﻑﺮﻋ
hbin	تصبح
hmot	ﻢﺤﻟ
hdut	ﺐﻴﻠﺣ
hwen	ﻲﺗﺎﺒﻧﺚﻴﻧﺄﺗﻭﺃﺮﻴﻛﺬﺗﺲﻨﺟ
nran	ﺭﺩﺎﻧ
hbac	ﻪﻟﺎﺨﻟﺍﻪﻨﺑﺍ
crut	ﺮﺴﺟ
hsoc	ﻥﻭﺰﺨﻣ
hsom	ﺢﻠﻣ
nris	ﺉﺮﺑ
hbit	ﺐﻨﺠﺗ
crin	ﺏﺎﺠﻋﺇ
rwin	ﺔﻜﻠﻣ
hgut	ﺪﻋ
hdas	ﺺﻗﺭ
hnot	ﻕﺪﻨﻔﻟﺍ
hdin	ﺔﺌﺒﻌﺗ
hton	ﻦﻴﺠﺳ
hdak	ﺮﺠﺘﻣ
hlet	ﺝﺭﺩ
hson	ﺍﺭﺬﻋﻚﺤﻴﻤﺘﺳﺍ
hgek	ﺲﻨﺠﻟﺍﻲﻠﺜﻣ
hras	ﻞﻣﺭ
hsep	ﺮﺒﻤﺘﺒﺳ
hbic	ﺏﺍﺮﺧ
hlen	ﺔﺼﺧﺭ
hcon	ﻲﻓﺎﻛﻞﻜﺸﺑ
hgit	ﺪﻫﺎﺸﻟﺍ
kfon	ﺦﺒﻄﻣ
hbak	ﻊﻴﺒﻳ
tlim	ﺝﻼﻋ
hsot	ﺔﻋﺮﺳ
kyut	ﺏﻮﺳﺎﺤﻟﺍ
hnen	ﻱﺪﺑﺃ
htek	ﺔﺒﺘﻜﻣ
hzan	تحتوي
hbis	ﺓﺪﻋﺎﻗ
hbun	ﻙﺎﺒﺗﺭﺍ
kcus	ﺦﺒﻃ
hgat	ءﺍﺮﺤﺻ
hwus	ﺔﻠﺒﻗ
hbif	ﺞﻠﺜﻟﺍ
hbot	ﺓﺮﻛ
hrut	ﻝﺍﺪﺟ
hdit	ﺔﻛﺮﺒﻟﺍﺢﻨﻣﺝﺍﺰﻣ
hdis	ﺐﻧﺬﻣ
hjan	ﺏﺎﻘﻋ
plis	ﺔﻃﺮﺷ
hgan	ءﺎﻔﺧﺇ
hsen	ﺔﻠﻤﺣ
nrin	ﻞﻫﺎﺟ
hyen	ﺔﺑﺎﺤﺳ
frif	ﺮﻳﺍﺮﺒﻓ
hdik	ﺽﺮﻣ
hnek	ﺓﺭﺩﺎﺒﻣﺔﻟﺎﺣ
hbam	ﺔﻤﻋ
hmen	ﻊﺿﺍﻮﺘﻣ
hdip	ﺮﻴﺧﺄﺗﺐﺟﺍﻭ
prat	ﺕﺮﻛﺫﺮﻫﺎﻇ
hdet	ﻞﻴﻠﻟﺍﻒﺼﺘﻨﻣ
hjit	ﺪﻴﻟﺍﻊﺒﺻﺍ
hmoc	ﺎﻣﻥﺎﻜﻣ
pran	ﺔﻓﺎﺤﺻ
kcec	ﺔﻘﻄﻨﻣ
hken	مؤخرا
hloc	حزن
hrak	ﻦﻴﻠﻣﺎﻌﻟﺍ
htes	ﺓﺮﻈﻧ
rwan	ﺓﺎﻓﺎﻜﻣﻭﺍﺓﺰﺋﺎﺟ
hdon	ﻉﺮﺒﺗ
htot	ﺱﺃﺮﻟﺍﺔﻬﺒﺟ
hnet	ﻙﻼﻣ
hdun	ﺩﺮﻔﻤﻟﺍﺔﻐﻴﺻ
croc	ﺄﻄﺧ
hlon	ﺮﺠﻓ
hyec	ﻑﻭﺮﺧ
hjin	ﺮﺒﺻ
hrec	ﻲﻌﺟﺮﻣ
mran	ﺓﺭﺫﺏﻮﺒﺣ
htos	ﺔﻴﺒﻠﻏﺃ
hcos	الإجراءات
hkoc	ﺎﻧﺎﻴﺣﺃ
hlif	ﺢﺑﺭ
clak	ﺮﻜﺴﻟﺍ
hjat	ﻱﺮﺸﺒﻟﺍﺲﻨﺠﻟﺍ
tram	ﻞﻜﻴﻫ
hdic	ﺔﻧﺍﻮﻄﺳﺃ
hkok	ﺍﺪﻴﺣﻭ
srat	ﻥﺎﻨﻓ
crak	ﺮﺤﺳ
hmet	ﻲﻧﻭﺮﺘﻜﻟﻻﺍﺪﻳﺮﺑ
hden	ﺭﺍﺮﻗ
gran	ﻆﻓﺎﺤﻣ
crac	ﻉﺮﻓ
hjac	ﺱﺎﻤﺣ
hdim	ﻲﺜﺣﺝﺍﺰﻣ
hcok	ﻞﺠﻋ
hyet	ﻂﻔﻧ
pwap	ﺏﻮﺒﻧﺃ
trat	ﺔﻋﺎﺒﻃ
tcot	الموادالصلبة
hdoc	ﺎﻳ
hren	ﺭﺍﻮﺤﻟﺍﻡﻼﻜﻟﺍﻕﺎﻴﺳ
tcon	ﺓﺮﻴﻬﻈﻟﺍﺖﻗﻭ
krin	ﺓﺮﻤﻗ
plam	ﺭﺍﺬﻧﺇ
hnes	ﻲﺒﺼﻋ
tcen	ﺔﻈﺣﻼﻤﻟﺍ
hsek	ﺐﻧﺎﺟ
plik	قابلللتطبيق
slik	ﺮﻳﺮﺣ
hfen	ﺖﻨﺳ
hgen	ﻞﻴﻛﻭ
hnon	ﺩﺎﺤﺗﻻﺍ
crik	ﻢﻴﺤﺠﻟﺍ
tcet	معيب
mrat	ﻂﻠﺘﺨﻣ
hdam	ﺏﺎﺘﻋﺝﺍﺰﻣ
hgac	ﺡﻮﻤﻃ
htoc	ﺎﻣﺔﻘﻳﺮﻄﺑ
hdac	ﻲﻧﻮﻧﺎﻗﺭﺎﺸﺘﺴﻣ
nwin	ﺭﻮﺘﺳﺩ
srit	ﻚﺻ
hret	ﻡﺰﺤﺑ
nlin	ﺖﻧﺮﺘﻧﻻﺍﻰﻠﻋ
hzat	ﺭﺰﺟﻭﺪﻣ
klic	ﺔﻴﻠﻛ
hkek	ﻞﻳﺫ
nric	ﻞﻴﺟ
hgic	ﻢﺣﺩﺰﻣ
hgak	ﻂﻗ
trit	ﺓﺮﺷﺎﺒﻣﺮﻫﺎﻇ
tyot	ﺓﺪﻫﺎﻌﻣ
hnok	ﺕﺎﻳﻮﺘﺤﻣ
crit	ﺔﻟﻮﻫﺄﻣﺮﻴﻏ
slen	ﺓﺮﺸﻋﻯﺪﺣﺍ
srin	ﺱﺪﺣ
hpok	ﺔﻠﻴﺒﻗ
hyot	ﻖﻠﻗﺝﺍﺰﻣ
cric	ﻯﻭﺄﻣ
hruc	ﺏﺬﻬﻣﺮﻴﻏ
cwin	ﺐﻛﺮﻳ
hzak	ﺓﺰﻫ
dyit	ﺔﻋﺎﻨﺻ
hpec	ﺔﻨﻬﻣ
nras	ﺽﺮﻤﻣ
hcec	ﺲﻳﺭﺪﺗ
hbut	ﺔﻳﺬﺣﺃ
hmec	ﺾﻣﺎﻏ
twot	ﻁﺎﺸﻧ
crat	ﺖﺒﺴﻟﺍﻡﻮﻳ
hkot	ﺔﻌﺳ
hnec	ﻕﺍﺮﺷﺇ
hwuf	ﺔﻠﻣﺭﺃ
cren	ﻚﻔﺳ
nrat	ﺔﻤﺠﻧ
hget	ﻒﻴﺿ
hbik	ﻙﺭﺎﺑ
brin	ﻲﻠﺧﺍﺩ
hpot	ﺡﺎﺘﻣ
trac	ﺔﻣﻭﺎﻘﻣ
prac	ﺹﻼﺨﺘﺳﺍ
hcoc	ﻑﻮﺟﺃ
hpon	ﺔﻳﻻﻭ
hwim	ﺓﺭﺎﻀﺣ
dwan	ﻖﻠﻋ
cwok	ﺔﻣﺪﺻ
hdok	ﺓﺩﺎﻴﻘﻟﺍ
crun	ﺰﻨﻛ
hzik	ﺓﺭﺬﺑ
hrot	ﺓﺮﻴﺧﻷﺍﻲﺿﺎﻤﻟﺍﺮﺗﻮﺗ
hket	ﻆﻘﻴﺘﺴﻣ
hcek	ﺙﺎﺛﺃ
hrop	ﻞﺒﺣ
mrac	ﺓﺮﻣﺎﻐﻣ
byit	ﺪﻴﻋ
trak	ﻱﻮﻨﺳ
hzin	ﻲﺑﻮﻨﺟ
sric	ﻢﻳﺮﻜﺗﻞﻔﺣ
clik	ﺪﻴﺼﻟﺍ
trap	ﺔﻳﺭﺮﺤﺗ
hrim	ﺔﻴﺤﻴﺴﻤﻟﺍﺔﻧﺎﻳﺪﻟﺍ
hrus	ﺓﺮﻴﻣﺃ
blat	ﺢﺑﺬﻣ
cyon	ﺮﻴﻐﺻ
hwep	ﺔﻜﺒﺷ
krat	الكاردينال
tris	ﻲﺠﺴﻔﻨﺑ
kcot	ﻊﻤﺟ
hben	ﺏﺎﺨﺘﻧﺍ
trik	ﻥﺍﺮﻜﺳ
kfit	ﻊﻓﺭ
tcec	ﻝﺩﺎﺒﺗ
nrik	ﺓﺪﻴﻛﺃﺔﻟﺎﻘﻣ
grat	ﺭﻮﻃﺍﺮﺒﻣﺇ
dran	ﺓﺭﺍﺩﺇ
hpen	ﺎﻘﺑﺎﺳ
cluk	ﺢﻴﺒﻗ
nrac	ﺓﺭﺎﺿﺮﻴﻏ
ryin	ﺐﻳﺭﺪﺗ
hrun	ﺔﻔﻟ
nwic	ﺔﺻﻮﺑ
slit	ﺭﺎﻨﻟﺍﻖﻠﻃﺃ
gzat	ﺓﺪﻳﺮﺟ
krot	ﻊﻄﻗ
drit	ﺔﻴﺤﻟ
hzis	ﻕﺰﻤﺗ
hdap	ﺓﺮﺸﻋﺔﻴﻧﺎﻤﺛ
sris	ﻲﺨﻳﺭﺎﺗ
mrut	ﻲﻟﺎﻤﺟﺇ
nyik	ﻦﻴﻃ
bran	ﺱﻭﺮﻋ
drat	ﺪﻤﺘﻌﺗ
djan	ﻕﻼﻤﻋ
glat	ﺔﻃﺎﺴﺑ
hpoc	ﻒﻳﺮﺨﻟﺍ
pras	ﺏﺎﺠﺣ
hgot	جمع
tret	ﺡﺮﺴﻣ
tras	ﺔﻧﺭﺎﻘﻣ
rwit	ﺲﻓﺎﻨﻣ
hfon	تشكيل
klot	ﺏﺭﺪﻣ
hmum	ﺔﻫﺎﻜﻓ
drac	ﺚﻳﺪﺣ
rwas	ﺔﻳﺍﻭﺭ
tset	ﻡﺎﻘﺘﻧﺍ
hdot	ﻲﺻﺎﻘﻟﺍﻲﻧﺎﻫﺮﺑ
ryut	ﺭﻮﻴﻏ
hwon	ﺓﻮﻋﺩﺔﻟﺎﺳﺭ
byat	ﻕﺮﺣﺃ
flac	ﺵﻼﻓ
prot	ﺓﺭﻮﺻ
crek	ﺡﺮﺘﻗﺍ
htok	ﻉﺍﺮﺻ
htop	ﺔﻨﻌﻟ
prit	ﻦﻋﺍﺝﺍﺰﻣ
hces	ﺰﺟﺎﻋ
klup	ﻱﺩﺎﻨﻟﺍ
hnos	ﻥﺎﻀﻴﻓ
dwin	ﺓﻻﺎﺒﻣﻻ
prin	ﻲﻠﻘﻌﻟﺍءﺮﻤﻟﺍﻖﻓﺃ
mrit	ﻪﺑﻢﻠﺴﻣﺝﺍﺰﻣ
tcoc	ﺭﺪﺤﻟﺍ
hcom	ﻡﺎﺠﺴﻧﻻﺍ
grit	ﺪﻋﺮﻟﺍﺕﻮﺻ
tlot	ﺔﻟﻮﻔﻄﻟﺍﺔﻠﺣﺮﻣ
hgik	ﺔﺒﻛﺭ
hwes	ﻲﻋﻮﻟﺍﺪﻗﺎﻓ
hzac	ﻝﺩﺎﺒﺘﻣ
hsec	ﺕﺎﻴﺠﻣﺮﺒﻟﺍ
tson	المؤسسات
ryit	ﻝﺎﺼﻳﺇ
dlin	ﺐﻳﺩﺄﺗ
slip	ﻕﻻﺰﻧﺍ
klon	ﺓﺭﻮﺛ
hfim	ﻉﺭﺍﺰﻣ
hpom	ﺔﺼﻨﻣ
cyen	ﻢﻠﻋﺐﻟﺎﻃ
hgec	ﻒﻬﻛ
hroc	ﺪﻴﻠﻘﺘﻟﺍ
srac	ﺽﺮﻋ
ryat	ﺓﺎﺳﺄﻣ
kcen	ءﺍﺭﺬﻋ
hbap	ﻊﻳﺩﻮﺗ
krik	ﺪﻘﻧ
krap	ﻦﻄﻗ
fwat	ﻰﻔﺸﺘﺴﻣ
kcet	ﺭﺎﺠﻳﺇ
hgas	ﺯﺎﻏ
pfin	ﻪﻨﻣﺮﻔﻣﻻ
dlit	ﺮﺠﺸﻟﺍﺔﻗﺭﻭ
ryan	ﺔﻤﺟﺮﺗ
sran	ﺓﺯﺎﻨﺟ
mrin	ﻖﻴﻗﺩ
hram	ﻲﺴﻧﺎﻣﻭﺭ
dlan	ﺭﻻﻭﺩ
hzas	ﺡﺍﺰﻣ
hsos	ﺮﺸﻋﺱﺩﺎﺴﻟﺍ
klen	ﺓﺮﻤﻌﺘﺴﻣ
gyin	ﺡﺎﻨﺟ
hsif	ﺪﺳﺃ
cluc	ﺮﻜﻣ
prip	ﺩﺍﺪﻋﺇ
hzut	ﺏﺎﺒﺿ
dwat	ءﺍﻭﺪﻟﺍ
krit	صححبروفاتالطباعة
sras	ﺶﻋ
hses	ﺓﺮﺸﻋﺔﻌﺑﺭﺃ
brat	ﺽﺍﺮﺘﻋﺍ
flat	ﺾﻣﺎﺣ
hjic	ﻱﺃ
slic	ﺡﻼﺳ
hbuc	ﻞﻤﻌﺘﺴﻤﻟﺍ
tron	ﻲﻟﺎﻘﺗﺮﺒﻟﺍ
byan	ﻡﺎﻤﺣ
hrif	ﻲﺋﺍﺪﺑ
tlip	ءﺎﺸﻧﺇ
blan	ﺔﻠﺳ
kris	ﻦﻴﻣﺃ
hyon	غضونذلك
tren	ﻡﻮﻴﻟﺍ
dlat	hodiernalﺮﺗﻮﺗ
hzic	ﻢﺳ
tfic	ﺔﻴﻗﺪﻨﺑ
tlen	ﺔﺒﻫﻮﻣ
hlim	ﺥﺎﻨﻣ
dyat	ﻞﻴﻣﺯ
kcon	ﻲﺣﻭ
dlac	ﻞﺴﻏ
krak	ﻑﺍﺮﺘﻋﺍ
hbas	ﻍﺭﺎﻓﻡﻼﻛ
hkec	ﻢﺤﻓ
hrek	ﺓﺩﺎﻌﺘﺳﺍ
hkos	ﻒﻴﻔﺧﻞﻳﻮﻃﻕﺭﻭﺯﻮﻨﻜﻟﺍ
hwif	ﺐﺋﺎﻧ
tric	ﺖﻗﺆﻣ
hdep	delimitativeﺐﻧﺎﺟ
mwak	ﺔﻣﻮﻛ
ksot	ﻢﻈﻋ
hnoc	ﻦﻴﻨﺛﻹﺍ
nlas	ءﺎﺛﻼﺜﻟﺍ
brac	ءﺎﻌﺑﺭﻷﺍ
frap	ﻲﻟﺍﺭﺪﻔﻟﺍ
pfit	ﻞﺜﻤﻣ
pcoc	ﺩﻮﻤﻋ
lyen	ﻥﺎﺘﻛ
swak	ﺔﻋﻮﻟﺎﺑ
pcen	ﺲﻴﺋﺭ
brit	ﻡﺍﺩ
hwec	ﺭﺎﺼﺣ
hwet	ﺓﺪﻌﻣ
hlos	ﻱﻮﻠﻌﻟﺍﻖﺑﺎﻄﻟﺍ
hbon	ﻉﻮﻨﺘﻣ
pcon	ﺱﺎﺤﻧ
hsem	ﺔﻤﻗ
lwac	ﺺﻴﺧﺭ
tsos	ﺔﻘﺑﺎﺴﻣ
kwen	ﺔﻳﺮﺼﺣﺺﺨﺷ
trun	ﻁﻮﺒﻫ
trut	ﻝﺎﺜﻤﺗ
hrap	ﺔﻴﻌﻓﺪﻤﻟﺍﺡﻼﺳ
hgap	ﻝﺎﻘﺘﻋﺍ
trot	ﺓﺭﺍﺮﺤﻟﺍﻪﺟﺭﺩ
grin	ﻲﺣ
hjak	ﻖﻧﺎﻌﺗ
hpek	ﺔﻣﺰﺣ
hlus	ﻝﺍﺰﻐﻟﺍ
hwos	ﻡﻮﻧﺔﻓﺮﻏ
tsuc	ﺓﺮﻴﺠﺷ
pcuc	ﻎﻳﺮﻔﺗ
cris	ﺚﻳﺭﻭ
clun	ﻁﻮﻠﺑ
hpes	ﺾﻴﻐﺑ
nlet	غيرمكتمل
hrom	ﺞﻣﺎﻧﺮﺑ
pyon	ﻮﻧﺎﻴﺑ
swet	ﻉﺎﻨﻗﺍ
dric	ﻰﺋﺮﻣﺮﻴﻏ
tyen	ﺭﻮﻬﺸﻣ
hruk	ﺓﻮﺴﻗ
frat	تعيين
hyoc	ءﺍﺮﻏﺇ
hlep	ﻚﻴﻠﻴﺗﺐﻧﺎﺟ
nrot	ﻲﻟﻭﺩ
nret	ﻒﻨﻌﺑ
hfif	ﻑﻮﺴﻠﻴﻓ
pfic	ﻞﻴﺜﻤﺘﻟﺍ
hmek	ﺱﺎﺴﺣ
hfec	ﺮﻴﺧ
myik	ﻚﻤﺴﻟﺍﺪﻴﺻ
truc	ﺔﻗﺮﺳ
tcop	ﺔﻔﺷ
rwic	ﺪﻋﺎﻘﺗ
htom	ﺩﺎﺼﺘﻗﺍ
glan	ﺽﺮﻋﺔﻟﺎﺻ
pren	ﻯﺯﺍﻮﻣ
hlek	atelicﺐﻧﺎﺟ
nrak	ﺓﺭﺎﻗ
truk	ﻕﺮﻃ
hjim	ﻲﻤﻳﺮﺤﺗﺝﺍﺰﻣ
rwat	ﻝﺩﺎﻌﺘﻟﺍ
hcep	ﺔﻧﺍﺰﻧﺯ
dyan	ﺔﻀﻴﺑ
jrat	ﻊﻨﻄﺼﻣ
nren	ﻡﺎﻬﻟﺇ
ksic	ﺔﻣﺯﺃ
tsoc	البحث
lwan	ءﺍﺪﻏ
hpos	ﺮﺑﻮﻨﺻ
hcuf	ﻊﻓﺩﺇ
tcus	قاضى
pset	ﺪﻳﺪﻤﺗ
hkep	ﺱﺎﺤﻧ
swis	ﺭﺎﺤﺑ
prim	ﻱﺭﻮﻃﺍﺮﺒﻣﺇ
trip	ﻁﻮﺳ
cras	ﺺﻴﻤﻗ
swap	ﺢﺴﻣ
syet	ﻢﺳﺭ
htof	ﻕﺭﺎﺴﻟﺍ
clen	ﺓﺎﻨﻗ
kwit	ﺔﻴﺼﺨﺷ
klok	ﺾﺋﺎﻓ
hrok	ﺡﻼﺻﺇ
hguc	ﺶﻄﻋ
kcim	ﺩﺪﻬﻣ
hpem	ﻒﻛ
psik	ﺙﺪﺤﺘﻤﻟﺍ
frit	ﺔﺒﺘﻋ
cret	آثار
mrak	ﺔﺑﺮﺣ
syen	ﺔﺴﻠﺟ
tcup	ﺐﻃﺭ
hyek	ﺮﻓﺎﺴﻣ
trim	ﺮﻳﺪﺼﻗ
plak	ﻯﻮﻜﺷ
hyok	ﺔﻳﻭﺍﺯ
hgam	ﺓﺮﻘﺑ
hmok	ﺔﻨﺤﻄﻣ
jrac	ﺔﻄﻳﺮﺧﻢﺳﺭ
kloc	ﻕﻮﻃ
gyit	ﺪﻤﻌﺘﺑ
hbip	ﺓﺮﻴﺑ
mlet	ﻞﻤﺨﻣ
lyap	ﺓءﺎﺳﺇ
cwen	ﻊﻴﻄﻗ
bwan	ﺖﺧﻷﺍﻭﺃﺥﻷﺍﺔﻨﺑﺃ
tses	ﺮﺸﻋﺔﺛﻼﺛ
jrit	ﺮﻳﺮﺒﺗ
nlak	ﺔﻃﻮﻄﺨﻣ
sron	ﺏﺭﺎﺤﻣ
cruc	ﺔﻌﻤﺠﻟﺍ
broc	ﺓﺎﺷﺮﻓ
dlot	ﻞﻴﻤﺤﺗ
krim	ﻢﻳﺮﻛ
pric	ﺐﻌﻠﻤﻟﺍ
prut	ﻦﻴﻔﻠﺤﻤﻟﺍﺔﺌﻴﻫ
hgon	ﺪﻤﺠﻣ
sram	ﺎﻴﻓﺮﺣ
pfot	ﺺﻴﺻﺃ
hlot	مخطط
djin	ﺔﻴﻧﺪﻌﻣﺔﻠﻤﻋ
hlok	ﺓﺮﻔﻃ
hpep	ﺔﺣﺎﻔﺗ
hwot	ﻑﻮﻔﻠﻣ
dlak	ﺶﻗﺎﻨﺗ
brik	الاشتراك
nlis	ﺦﺴﻨﻳ
hbet	ﻥﺎﻫﺭ
pris	ﺱﻭﺮﻴﻓ
hjik	ﻡﺮﻛ
blit	ﻲﻟﻮﻔﻃ
hjap	ءﺍﺩﺭ
tfik	ﺲﻜﻌﺗ
hdaf	تحقيق
hpop	ﺍﺮﺑﻭﻷﺍﺭﺍﺩ
kcaf	إخفاء
kcoc	ﻉﻮﻛ
hrum	ﺢﻠﺼﻳ
cyim	ﻩﻮﺒﺸﻣ
dyic	ﻱﻮﺑﺮﺗ
hgoc	ﺓﺮﻔﺣ
drak	ﺏﺍﺮﻄﺿﺍ
plas	ﻖﻴﻔﺼﺗ
byin	ﻲﺋﺎﻨﺛ
hzap	ﺮﻳﺩ
nlot	ءﺎﻓﻭ
mrik	ﻰﻜﻴﻧﺎﻜﻴﻣ
hsop	ﺡﺎﺠﻨﺑ
crap	ﺦﻓ
kyek	ﺔﻜﻌﻛ
nrut	ﻪﻴﻓﺮﺗ
syes	ﻱﺪﻴﺳ
hjet	ﺮﺸﻋﻪﻌﺒﺳ
hjen	ﺚﻧﺆﻤﻟﺍ
hmom	ﻞﺴﻋ
hdec	ﻆﺤﻟﺍءﻮﺴﻟ
lwen	ﺓﺭﻮﻄﺳﺃ
slot	ﺪﻗﻮﻣ
frac	ﺩﺮﻤﺘﻣ
gwan	ﻢﺨﻀﺗ
mruk	ﻦﺴﺤﺗ
swot	ﻊﻘﻨﺘﺴﻣ
zlan	ﺐﺴﻛ
hnem	متحرك
hdes	ﺔﺼﻠﺻ
prak	ﻆﻋﻭ
frin	مشهد
hfet	ﺽﺭﺎﻋ
cros	ﺔﻗﻮﺟ
ryon	ﻲﻧﻼﻘﻋ
tcos	ﻝﻮﺼﺤﻣ
tsen	ﺔﺠﻟﺎﻌﻣ
hwek	ﺐﺋﺬﻟﺍ
nlik	ﺾﻓﺭ
klap	ﺓﺩﺎﺠﺳ
dras	ﺮﻘﺘﺣﺍ
prop	ﺐﺼﺧ
slim	ﺓﺭﺎﻔﺻ
hgis	ﻦﺒﺟ
krut	ﺔﻀﻋ
srot	مرافقة
bjan	ﻝﻮﺠﺗ
nwen	ﺔﻳﺮﺤﺒﻟﺍﺕﺍﻮﻘﻟﺍ
myas	ﻉﺎﻨﻗ
kwaf	ﺭﻮﻃ
twis	ﺓﺮﺟﺃﺓﺭﺎﻴﺳ
pcip	ﻢﻠﻗ
srap	ﺕﺍﻭﺮﻀﺨﻟﺍ
sren	ﺽﺮﻋ
tlun	ﻝﺎﻄﻨﺑ
hrup	ﺩﺎﺴﻓ
nrip	ﺔﻧﺍﺰﺧ
srup	ءﺎﺴﺣ
jran	ﺡﺍﺮﺟﺐﻴﺒﻃ
bjat	ﻝﺪﺑ
gyat	ﻪﺳﻮﺳﺎﺠﻟﺍ
hlem	ﺭﻮﻬﺘﻣ
srak	ﺺﺨﻠﻣ
kson	ﺔﺠﻬﻟ
cwis	ﺲﻴﻤﺨﻟﺍ
sret	ﺹﻼﺧﺈﺑ
hraf	ﺭﻭﺮﻤﻟﺍﺔﻛﺮﺣ
hres	ﺔﻳﺭﺎﻤﻌﻣﺔﺳﺪﻨﻫ
hsuf	تصرف
rwak	ﻉﺪﺻ
twon	ﺔﻓﺮﺧﺯ
hfus	ﻉﺎﺟﺮﺘﺳﺍ
hkom	ﺰﻣﺭ
djat	ﺩﺎﻴﺻ
nlut	النشرةالإخبارية
hsef	ﻥﺎﺒﻌﺛ
mris	ﺔﻴﻃﺍﺮﻘﻤﻳﺩ
bric	ﺔﻳﺭﺎﻄﺑ
mlam	ﻊﻤﺷ
zran	مشاركة
cron	التشويق
hzen	ﻥﻮﺤﺒﺴﻳ
traf	ﻉﺎﻄﻗ
cwaf	ﻑﺮﻇ
srip	ﺓﺭﺎﺠﻴﺳ
mrot	ﻙﺮﺤﻣ
swon	ﻉﻮﻄﺗ
ryak	ﻞﻌﻓﺩﺭ
pfun	ﺎﻴﺋﺰﺟ
blac	ﺔﻌﺘﻣﺃ
mret	ﺓﺭﺍﺯﻭ
hjon	ﻲﺴﻨﺟ
kcok	ﺱﺄﻔﻟﺍ
dram	ﺱﺎﻤﻟﺍ
kren	ﻞﻳﺪﺒﻟﺍ
tcek	ﺕﻮﺻﻯﺪﺻ
hdif	ﺔﻳﻮﻫ
tfas	ﺮﻴﻔﺳ
hfot	ﻒﻟﺄﺘﺗ
lwas	ﻝﻮﺴﻛ
hmep	momentaneﺐﻧﺎﺟ
kfin	ترميز
mwin	ﻲﻠﻴﺨﺗ
hrem	ﻉﺎﻌﺷ
pram	ﻖﻠﺴﺘﻟﺍ
byac	ﻮﺒﻗ
mren	ﺯﺭﺎﺑ
swen	ﺥﻮﻴﺸﻟﺍﺲﻠﺠﻣ
kras	ﺶﻌﻧ
hgun	ﻉﻼﺘﺑﺍ
nlok	ﻞﻟﺩ
ryic	ﻲﻋﺍﺭﺯ
gwin	ﺢﺟﺭﺄﺘﻟﺍ
srut	ﺝﺮﻣ
hkes	ﻊﻤﺠﻣ
hfis	ﺔﻟﺎﻘﺘﺳﺍ
frak	مراراوتكرارا
hnom	ﺓﺮﻣﺍﺆﻣ
hcop	ﺔﻧﺎﺣ
hlec	ﻞﻔﻠﻓ
mlot	ﻦﺤﻟ
zrat	ﺢﺷﺮﻣ
proc	الراعي
flik	ﺐﻠﻌﺛ
cyet	يأسف
hgim	ﺔﻨﺧﺪﻣ
slet	ﻁﻮﺤﺘﻟﺍ
tcok	ﺔﻗﺩ
bjit	ﻖﺑﺎﺳﻰﻓﻮﺘﻣ
brot	ﻢﻋﺮﺑ
bwat	ﺔﻴﻧﺎﻄﺑ
hdus	ﺮﻳﺰﻨﺧ
gwat	ﺝﺎﻋ
kret	ﺝﺍﺮﺨﺘﺳﺍ
nwet	ﺐﻗﺍﺮﻣ
jwan	ﻞﻴﺒﺳ
nwis	ﺮﻓﺎﻇﻷﺍ
mwic	ﺔﻠﺤﻧ
bzat	ﻞﺜﻤﻤﻟﺍ
gyan	ﻕﺮﻋ
zyit	ﻱﺬﻴﻔﻨﺗ
blic	ﻢﻫﻭ
pcet	ﻚﺸﻟﺍ
tsot	ﺔﻴﻃ
bwit	ﺩﻭﺪﺣ
tres	ﺩﺎﻬﺟﺇ
hkof	ﻙﻼﻬﺘﺳﺍ
nyen	ﻩﻭﺄﺗ
hles	ﻪﺑﺎﺸﺗ
cyek	ﺲﻴﻛ
hjis	ﺓﺮﺑﺇ
gjan	ﺓﺮﻫﺎﻇ
prec	ﻑﺮﺼﺗ
drot	ﺪﻫﺎﺷﻭﺫ
kcek	ﻰﻨﺤﻨﻣ
twic	ﺝﺎﺟﺩ
brak	ﻞﻴﻣﺮﺑ
zwat	ﻱﺩﺎﻴﺘﻋﺍ
clap	ﻱﺩﺎﻴﺘﻋﺍﺐﻧﺎﺟ
tsec	ﺮﻴﺒﺧ
bwin	ﺏﺎﺠﻋﺍ
cwet	محدود
hbek	خباز
zlin	ﻥﻮﺘﻳﺯ
mron	ﻞﻘﻧﺓﺭﺎﻴﺳ
drin	ﺱﺮﻛ
psap	ﻒﺸﻜﺗ
gjin	ﺩﻼﻴﻤﻟﺍﺦﻳﺭﺎﺗ
clut	ﺵﻮﻛﺎﺷ
cwun	ﻖﺒﻋ
twaf	ﻪﻓﺎﺗ
pcot	ﺔﻔﻴﻟﻷﺍﺕﺎﻧﺍﻮﻴﺤﻟﺍ
krok	ﺔﻤﺠﻤﺟ
