hnit	απαρέμφατο
hdus	χοίρος
gwat	ελεφαντόδοντο
kret	εκχύλισμα
nwet	παρατηρητής
jwan	λεωφόρος
nwis	καρφιά
mwic	μέλισσα
bzat	ηθοποιός
gyan	ιδρώτας
zyit	εκτελεστικός
blic	ψευδαίσθηση
pcet	αβεβαιότητα
tsot	πτυχή
bwit	σύνορο
tres	στρες
hkof	κατανάλωση
nyen	βογγητό
hles	μοιάζω
cyek	σάκος
hjis	βελόνα
gjan	φαινόμενο
prec	συμπεριφέρομαι
drot	ελεγχόμενη
kcek	καμπύλη
twic	κοτόπουλο
brak	βαρέλι
zwat	συνήθης
clap	συνήθηςάποψη
tsec	ειδικός
bwin	εντυπωσιάζω
cwet	οριοθετούνται
hbek	αρτοποιός
zlin	ελιά
mron	βαν
drin	αφιερώνω
psap	εκθέσει
gjin	γενέθλια
clut	σφυρί
cwun	ευώδης
twaf	ασήμαντος
pcot	κατοικίδιοζώο
krok	κρανίο
dlik	νομοθετικόσώμα
cwic	ευτυχώς
srun	συνοφρυώνομαι
crec	καταστρέφοντας
jlan	περιθώριο
kcip	πρωταθλητής
blin	δισεκατομμύριο
ryik	χημικήουσία
mlas	σφυγμός
flit	πιλότος
hzet	κόμπος
cwik	μεγαλοπρεπής
twet	φούστα
mwik	εβδομαδιαίος
tfis	τεχνικός
tlon	όχημα
cram	κολακευτικός
grac	ενισχύω
kraf	κοράκι
trup	ιδιότης
hduk	άγκιστρο
cruk	τίγρη
nrap	οικονόμος
crot	αυτοκινητόδρομος
mlip	πολιτοφυλακή
hfoc	φωτογραφία
nres	ακεραιότητα
plos	συν
tfam	διαφανής
nlic	δεκαεννέα
hwok	αρμόδιος
nlen	έκθεση
fyic	αποδοτικότητα
hwuk	μοναδικός
hgok	οργανικός
flic	θεολογία
flot	φλοτέρ
hboc	υποχρεώνω
hwoc	μάγισσα
syot	στούντιο
cwip	σαμπάνια
hbes	σημαία
lwic	διαζύγιο
blot	μπουλόνι
cwot	αιχμαλωσία
cwam	φλέβα
prik	παθητικός
hfum	αφρός
grik	χαλίκι
zrin	ποδιά
gren	πλανήτης
hfuc	ανάσταση
claf	ράφι
flas	ανεμιστήρας
hjot	τροπικός
hbim	αυθαίρετος
krek	υδράργυρος
hbec	καλοκάγαθος
tsaf	αυτοκτονία
pwas	κόβω
plot	δημοσιογράφος
kfak	αναλώνω
blak	μπαλκόνι
hdos	λεκές
kwis	κλασσικός
kcos	κατηγορώ
psen	σύνταξη
kres	ρήμα
hzon	μαϊμού
srim	υπογραφή
glin	απροθυμία
mlut	διαβόητος
myot	εισαγωγή
fwac	ιδρυτής
troc	δάδα
hgaf	γραμματική
hyop	θαλαμηγός
ksip	εξαφανισμένος
sres	εκδρομή
hnup	θόλος
hzun	πεισματάρης
mric	μυς
gjat	μέγεθος
hros	τρίψιμο
zrac	άνανδρος
tros	τοστ
myus	ποντίκι
dwac	διάλογος
byak	κατσίκα
htef	ράφτης
hfek	κόσμημα
dzan	επιβάλλω
nyon	ανώνυμη
zrit	επίσημοςμητρώο
pcos	αθλητισμός
hjec	τήκω
dlas	διαγράφω
mras	ομπρέλα
mram	ορυκτό
cwut	εκεχειρία
hbok	πάπια
swun	σαπούνι
dwak	κούκλα
plif	βίλα
slon	ράψιμο
tfut	συγχαιρώ
djac	συμφιλίωση
hjas	καταστέλλω
kric	κουνέλι
kwot	αγωγός
gzan	εγγύηση
clot	παίχτης
ksek	έντομο
psam	στάση
mwut	κουκουβάγια
htem	μόνιμα
clon	βιολί
dzin	κάτοικος
rwim	αντίστοιχα
hyof	ευεργετικός
dron	δράκων
dwit	ακουστικόςαποδεικτικός
sroc	εξαγωγείς
hzot	λήξη
djik	αργοπορώ
kfik	καπάκι
ryun	κανονισμός
hmes	δήμαρχος
rwac	σκεύη
sruk	τσίρκο
sros	μειονότητα
bzan	ταραχή
kset	ορχήστρα
bjon	μπέικον
hjut	απεριόριστος
tfen	υπεράσπιση
zwac	μειονέκτημα
dyin	σύσκεψη
myis	μουσικός
mlis	διανοητικά
pret	ανεπαρκής
tsek	αρχιτέκτων
hlom	λεμόνι
ksos	βήχας
crok	πονοκέφαλο
flin	γονιμότητα
mrun	ξυλουργός
swec	τυχαίος
syuk	κουτάλι
blun	μπαλόνι
tcep	κιμωλία
fric	αναψυκτικό
rwik	κατακόρυφος
rwen	πρόληψη
flet	επαγωγικήαποδεικτικός
pfac	εκδότης
srek	ξύδι
tfun	σήραγγα
pwet	παζλ
gyik	μαθηματικά
fwot	ξεθωριάζει
lwin	ισορροπημένη
jwin	συκώτι
bwik	sublativeπερίπτωση
hdup	βουτιά
hnop	μονοπώλιο
bwic	υποβρύχιο
ryen	απρόσεκτος
hcem	σεισμός
hbos	εργαστήριο
nrek	εργάτης
ryim	ρυθμός
nyic	ερμηνεύω
dwas	πρεσβεία
rwok	προκαλώ
kram	αδυναμία
ksim	δηλωτικόςδιάθεση
clok	σοκολάτα
pcec	προνομιούχος
nyis	ερημίτης
tyoc	σύμπτωση
grak	γρατσουνιά
zlat	γάντι
hjuk	γονατίζω
trif	γεωγραφία
djit	συστηματικός
pson	αήττητος
mwis	επένδυση
cwec	προφορικός
hdek	κοσμικός
blik	γεράκι
sloc	ψυχολογία
brap	ξύσμα
jlat	πειρατής
dros	δόση
slam	σολομός
pwun	πουτίγκα
gwik	μαγνητικός
pcop	αντλία
myen	ομοίως
ksen	οξυγόνο
mrap	επιστάτης
tfot	πιστοποιητικό
ksus	σύμπλεγμα
trok	ρητορική
tloc	σκαλί
zyan	κουπί
nlun	Σύνδεση
hlop	τηλεσκόπιο
jlin	ορθογραφία
lyut	συννεφιασμένος
hsof	σπάζοντακύματαπαραλίας
fyik	ουίσκι
klet	σχετικά
hwof	ιτιά
hlum	καμήλα
myet	ερασιτέχνης
klis	απομόνωση
hbaf	βιογραφία
gwac	γάιδαρος
hwum	φήμη
pwik	προοπτική
pron	pro
myes	μηνιαίος
mwen	ονειροπόληση
kfic	διακοπές
klek	κλικ
cwon	ωοειδής
lyak	ελαστικό
kwon	λεξικό
hjam	ζαμπόν
rwon	ουράνιοτόξο
crip	τουπαρόντος
zwan	πουσυμβαίνουν
srok	σύνταξης
craf	δεκανέας
tlok	δεξαμενή
brip	πεταλούδα
tfap	διάγραμμα
jwat	δίδυμο
pros	λειτουργικός
psun	οιωνός
clet	αθλιότητα
hbus	μπαμπού
dyas	έμπορος
klun	συσσώρευση
jlit	ομόφωνος
hdom	εφιάλτης
kron	άνθρακας
hzam	μαρμελάδα
cyot	ακροατής
hmem	μουσείο
lwam	αλφάβητο
fras	σκορπίζω
psoc	γροθιά
hgum	κόμμι
brek	φρένο
glit	σταθερότητα
frun	σαπίλα
gris	επιθετικός
mroc	τριβή
bzit	αράχνη
plut	πατάτα
glac	απληστία
gzac	πολλαπλασιάζω
prun	γνέθω
jlet	ημερολόγιο
nyim	υποψηφιότητα
tlos	τρισεκατομμύριο
slut	σαλάτα
fwit	καταφατικόςδιάθεση
pyen	εφαρμογές
nlon	ονομαστικός
dren	επιδεικνύω
drun	δυσαρέσκεια
cyok	σήκωματωνώμων
hfop	ποδόσφαιρο
ryac	συνεταιρισμός
gzin	πρωτοπόρος
hgip	λάχανο
tyet	αθλητικός
hdof	ιδιόφωνο
hwup	ανεκτίμητος
lwek	μοχλός
syec	γερουσιαστής
jyak	διευκολύνω
mlim	μυρμήγκι
fwic	αποτελεσματικά
gzit	έγκυος
blas	εξάρτηση
jrin	κάθεμέρα
gwak	αστράγαλος
drik	παράδοξα
prif	μεταβλητός
jwit	ποικιλία
krip	διάκριση
ryot	Θαύμασα
nwut	πεζοδρόμιο
kcif	δραστήρια
jrak	βάτραχος
twek	υπερβολικόπερίπτωση
psot	εξιλέωση
pfon	σφουγγάρι
sluk	σκίουρος
nlim	irrealisδιάθεση
ksaf	έλλειψη
glak	ηφαίστειο
plen	ισορροπία
kfaf	κασκόλ
kyon	εκμεταλλεύομαι
jlik	γεωλογικός
psop	διαβατήριο
kfis	κενήθέση
fyon	συγγένεια
nram	ανήθικος
hbuk	μπισκότο
gras	έκσταση
hyos	φοβισμένος
flim	ταινία
plet	δισκίο
rwam	άτομο
blis	βανίλια
zlit	βοηθήματα
fyut	σχολαστικός
crim	πυραμίδα
hjif	παράνομος
crif	συστολή
lwap	λαούτο
tyon	αστρονομία
mrim	λαβύρινθος
drut	περιγραφικός
nrim	υποτροφία
kruc	χελώνα
kwam	σύμβουλος
jrik	κρίκετ
dlut	σημαίνω
pyot	περιστέρι
dyon	προσαρμογή
prap	χειριστής
bzin	σήμα
tyek	τρίγωνο
trec	ταμίας
nron	υδρογόνο
pyet	εκτυπωτής
tsok	εμφράκτης
zyin	χρόνιος
slek	ποδήλατο
jyin	μηχανική
ryas	μετάδοση
zrak	φρεσκάρω
nyas	χορεύτρια
gric	μετανάστευση
zlak	παραβιάζω
tces	τένις
hjun	ανεμώδης
twen	ύφανση
kyet	συλλέκτης
gwit	σπονδυλικήστήλη
kyot	χορδή
fwin	συχνότητα
tfuc	αργαλειός
dlet	τηλεφωνικόςκατάλογος
pfik	στοχαστής
bjet	προϋπολογισμός
trek	στρατηγική
kros	χαλαζίας
gjit	ψαλίδι
gwic	διακόπτης
frik	θεωρητικός
tluc	πετσέτα
pruc	περιπολία
glic	παγετώνας
krun	πληρότητα
bjin	προφητεία
tlaf	συμμετέχω
tfet	κατασκευαστής
bras	πλευρικός
dwik	εναγόμενος
clec	εξάτμιση
cres	σκάκι
tcef	κεράσι
tcom	παραπάτημα
nyot	μεταφράστης
tyok	φορτηγό
cyip	υπέροχος
grot	μουστάρδα
bris	ασύρματος
nlam	δημοπρασία
slif	κόσκινο
hgos	σκωρία
swoc	ασταθής
jyat	χρεωκοπημένος
slum	Ισλάμ
hjes	απογραφή
dzat	ακροποδητί
slun	αναστέλλω
nwot	συνέχεια
gyic	κιθάρα
pfas	προκατάληψη
zyik	ψευδάργυρος
blen	λαμπερός
hyem	φτελιά
hnep	σκαρφάλωμα
nyut	πλεκτά
ryam	αντωνυμίασημάδι
clim	μπαχαρικό
jret	οξύτητα
tfon	πειράζω
jwac	Ιάβα
hrep	συνταγή
dyac	προνόμιο
myip	μέτρο
rwis	φυλετικός
hkem	κομήτης
nwon	καινοτομία
zwin	απαγόρευση
dyis	μεσαιονικός
mrec	σπουργίτης
fyot	υποσημείωση
mlon	μέτρηση
pfis	επικύρωση
rwot	τροχιά
hfok	ολιγαρκής
glof	γκολφ
zron	μηδέν
hzip	φερμουάρ
hwom	άστεγος
bjic	μάσημα
pcim	εκπληρώ
hjip	τσιπ
bwac	χασμουρητό
mlos	τυφλοπόντικας
mrip	κεραμικά
bron	έμβρυο
ksoc	αφαίρεση
cyum	ζύμη
jyan	ακατάληπτηγλώσσα
plim	δαμάσκηνο
mwet	νεκροταφείο
ryet	αποφοιτώ
glik	άρδευση
plap	καπιταλιστής
tsif	ελαστικότητα
gyak	καρχαρίας
djon	αθέτηση
nwun	ακριβής
cles	ρεαλισμός
dris	όλοκαιπερισσότερο
hkef	καφενείο
blus	ασθενοφόρο
blap	πορτοφόλι
bjak	εκστατικός
klim	γκριμάτσα
gyac	επιστήμονας
jyit	γαλήνη
dzit	ρεαλιστικός
bwak	υπαίθριος
dyot	ραδιόφωνο
bwon	φασόλι
fris	άτυπος
klut	σκέπτομαι
tfek	μπριζόλα
nrok	άζωτο
zyat	ξυράφι
bram	μουρμούρισμα
ryis	εισαγωγικός
nlip	αναλύει
nros	αντίθετος
hcof	γδύνομαι
tfif	κίνητρο
kroc	αυλάκι
hdum	ιουδαϊσμός
pses	παραλήπτης
plok	συμπλήρωμα
lyet	φακός
pwek	pegativeπερίπτωση
kfas	Καρκίνος
pwen	πιόνι
nrun	υπενθύμιση
clek	διαρροή
pcif	δικαίωση
glas	περίπλοκο
zwit	ομιλητικός
kces	επάρκεια
crem	λιανεμποριο
grap	αρπάζω
kwip	παρεμβαίνω
dyut	έκπτωση
crus	ιεραρχία
gyet	νεφρίτης
gram	γρύλισμα
kyip	σαύρα
nyet	μπλοκ
crop	υδατόπτωση
glon	γαλόνι
mrok	κουνούπι
fluc	ευφραδής
dwic	παρέκκλιση
slec	εξερευνητής
srec	λήγει
blut	παλαίω
myok	μωσαϊκό
tlek	βύσμα
nruk	μολυσματικός
nwoc	στοεξής
bjut	κοντόχονδρος
hges	εγκυμοσύνη
twoc	παντοπωλείο
kyos	κομμουνιστικός
mrek	καταπλήσσω
clip	συντριβή
pwok	διωκτικώνπερίπτωση
dwot	δικτάτορας
zyac	έγνοια
jlic	δορυφόρος
slop	παντόφλα
ryip	αναλογικά
psim	κατάπροσέγγιση
byet	άνεργος
cyop	χόμπι
rwun	κριτήριο
blop	βολβός
syok	υποστηρικτής
klos	χλώριο
lwot	χλωριούχο
byic	βακτήρια
lyik	κολλώδης
blok	βιολογικός
jlac	προσποιούμαι
bret	ψηφιόλεξη
krif	έκκριση
blet	μπαλέτο
nruc	ούρο
tsus	σκόρδο
dyak	μεσαίατάξη
tcem	λαβίδα
cyoc	προκλητική
trep	φράουλα
dlun	ρύπανση
hlup	άλμπουμ
hbep	μπέιζμπολ
praf	πειρατεία
pwis	μετοχή
grek	γκαράζ
kruk	δεκανίκι
hfof	φώσφορος
rwut	κατασκευαστικός
myam	γυμναστήριο
krec	γερανός
jras	εργολάβος
zrik	κοινοποιώ
blam	αίθουσαχορού
klip	τεχνίτης
hwef	απλήρωτος
zlac	μπανάνα
gret	γεννήτρια
lwuk	σχηματίζωπλευρές
nyek	νικέλιο
blos	λεωφορείο
sles	λογοκριτής
tlif	πλακάκι
kses	λουκάνικο
mwot	ντομάτα
lyot	αυτο
tsom	κάλιο
brut	πραγματικός
djap	άλγεβρα
hjok	γενικός
kfen	έννοιες
pcok	οπτικός
bzut	κινούμαι
syek	ανεργία
mruc	κάμπια
bwas	πρόγραμμαπεριήγησης
klif	ασβέστιο
rwet	μακρινόςτοπαρελθόνσευπερένταση
srif	ιστορικόςσευπερένταση
hwem	φάσμα
syom	νάτριο
tyos	θεματοφύλακας
jyic	όμηρος
hguk	νεροκολόκυθο
dwun	ρυτίδα
swip	ακίδα
tlec	τσιμπούρι
blaf	βιασμός
tsem	αθεϊσμός
mloc	μηνυτής
gyot	υποθετικός
trop	καθετήρας
rwap	τριμηνιαίος
hjep	γένος
pyim	πλατίνα
dlon	διπλόςαριθμός
pcep	πνεύμονας
twuk	πλύσιμο
tyec	ετικέτα
syup	σούπερ
trom	καροτσάκι
nyip	σετοπικόεπίπεδο
glis	βενζίνη
gjik	νεφρό
hjos	ασυνόδευτος
hjuc	λάφυρο
swek	καταπονημένος
psek	αρσενικό
twok	στατιστικός
tsep	ακρίδα
slos	σοσιαλιστής
nwim	αισθητήριοςαποδεικτικόςδιάθεση
tlop	τραπεζομάντιλο
trus	αμφιλεγόμενος
pwot	λουρί
djot	ίζημα
nloc	αποπαίρνω
mwon	μανταρίνι
hjek	αναβάτης
crom	συνεργάζεται
myon	πνευμονία
twec	θέτω
ryek	ρόκα
dlic	μέρισμα
kwet	πατινάζ
bwen	έμμονηιδέα
plon	κατανομή
syon	λαχανιάζω
djis	ψηφιακό
byut	σκύλα
hyep	βλέφαρο
dwon	διαγώνιος
byis	υποσυνείδητο
brec	φρύδι
cyec	φτάρνισμα
hwop	βάτ
clus	εύθυμος
kfun	πληρότητας
nwum	ινδουϊσμός
fyim	πρόσφυγας
cwos	σαΐτα
tfoc	σούβλισμα
pwon	πρωτεΐνη
sraf	αυτοικανοποιημένοι
hbom	κάνωεμετό
gyen	γονίδιο
drim	πρωτοετής
trem	Εξοπλισμού
tsup	θρυμματίζω
slok	κοινωνιολογία
kwoc	σκουός
bwam	ψηφοφόρος
mlok	κινητικότητα
kyen	περιφερειακός
hmop	κίνησηανηφορικός
rwek	αναδρομικός
kfup	κύβος
grok	καρότο
drap	παγιδεύω
lwis	μοριακός
ksuc	λογιστής
tsop	βρώμα
kyok	αγγούρι
nroc	όργιο
jlot	διαλυτικόμέσο
psof	φωσφορικόάλας
hgif	θέλγω
kfim	αλκαλική
psos	γυμναστική
pfen	επαλήθευση
kcom	οικονομολόγος
krom	κόμμα
tluk	στριφογυρίζω
hyom	ιώδιο
nwuc	κίνησηκατηφορικός
gjac	αποτυχία
pcom	φλούδα
dzic	σχεδιαστής
grun	κομπορρημοσύνη
dzot	δότης
hzek	μαγγάνιο
kfot	πληκτρολόγιο
jlas	αναξιόπιστος
lyim	αφρόκρεμα
jyen	γιέν
pcaf	παρένθεση
rwip	ράγκμπι
blip	βίβλος
kyoc	αιτία
lyon	έλκος
flis	κλιτές
nrif	ροκανίζω
kfam	ποσοστό
swes	ζακέτα
lwon	εξελικτική
drec	ανατομή
gjap	ιαματικήπηγή
lyec	γραμμικός
tyom	αντιμόνιο
pwuk	superessiveπερίπτωση
flaf	άλφα
myim	απρόσβλητος
pcek	απαγωγή
bjac	ζυθοποιείο
bzac	μειώνω
bzak	κάλτσα
twes	τηλεόραση
dwut	ντοκυμαντέρ
ksom	σύμπαν
lyis	δασοκομία
lwim	αλουμίνιο
ksok	ωροσκόπιο
sruc	επισπεύδω
dlif	δελφίνι
byik	φονιάς
tfec	χαρτικά
hjaf	θηλαστικόζώο
ryok	πρωτόκολλο
dwis	διοξίδιο
jlon	άνωκάτωτελεία
brus	γραφειοκρατία
gjak	γαλαξίας
lyip	κλινικός
ryem	ράδιο
href	rarefied
prok	ψυγείο
slep	σάτυρος
dret	επανάληψη
kluk	αρχαιολογικός
dlis	ιδυοσυγκρασία
kfip	απαράδεκτος
mlec	μασάζ
pfif	προσδιορισμός
nrec	αισθητήριος
pfet	φυλλάδιο
hzoc	υπόκειμαι
dlam	ιδανική
nlec	ανθρωπολογία
kluc	γευστικός
dyet	φορείο
tyif	μεταβατικός
krus	μαζεύομαι
nluc	ηλιοτρόπιο
lyun	ιόν
zrot	έκδοσηεγκληματία
ksif	νοθεύω
psif	εκπομπή
crup	επικάλυψη
fret	ευρίσκων
grut	αντιστρέφω
ksec	συμμαθητής
jric	δρομολόγιο
mrop	φούρνοςμικροκυμάτων
srus	εκβάλλω
gyas	κομμωτής
floc	λαογραφία
plek	τριχοειδής
nwop	οπίσθια
nrom	ελεγκτής
twos	τρομοκρατία
lwok	σύνθημα
dwet	υπερωρία
slem	εξάχνωση
grip	εσχάρα
gwas	Ουάου
kwok	κοβάλτιο
gwon	βρόμη
hdop	κίνησηποτάμι
glam	πρωκτός
bwot	βοδινός
bren	έντερο
byot	βίντεο
bjik	μποϋκοτάζ
kwim	κουίζ
cwek	χακί
grif	ανταρτοπόλεμος
hgem	μαγνήσιο
hyes	επίγνωση
fram	φαρμακείο
nwos	χωρίςφιλοδοξίες
ryap	τακτοποιώ
cwim	αξιοπιστία
klep	φαιοφύκη
psec	αποζημιώ
djic	παγκόσμιος
kfut	απαγόρευσητηςκυκλοφορίας
crep	χάμπουργκερ
frim	θεώρημα
gjas	ανάβω
hdef	χρέωση
ryum	ουράνιο
pluk	εκτιμώ
krop	συντεταγμένη
nraf	φορολογούμενος
tyes	ολοκληρωμένος
plip	αποφάνθηκε
hgom	γάμμα
hgus	συντελεστής
cwuc	θερμάστρα
zret	αφαιρώ
nles	αναλυτής
trof	αμετάβατος
hmof	εμπορικόκέντρο
hzim	βισμούθιο
dzac	μικροεστιατόριο
psok	καρτποστάλ
blon	σύγκλιση
djet	εκτρέπομαι
ksum	μέτοχος
mrup	μικρόβιο
clif	έλιξ
cloc	μορφολογικός
tfes	τροφοδότης
gjis	τζην
jren	ευθυγραμμία
tlep	βάσηδεδομένων
kcup	κουπόνι
glot	Τάση
glut	αριθμομηχανή
srep	κυβερνοχώρο
nwes	επενδυτής
ksef	ακτινογραφία
bzis	Visa
frut	υποδομή
nyuk	πυγολαμπίδα
dyik	ανιχνευτής
plec	συνδέω
brom	βρώμιο
plop	παλλάδιο
zlik	πυρίτιο
flut	βόλτ
ksop	καλλυντικό
gjun	περιποίηση
kfok	λόξυγγας
hpof	ποπκορν
hzuk	ζωολογικόςκήπος
nyoc	έννοια
jwak	γιόγκα
brim	βάριο
kles	καρατομώ
mwam	ναι
fwik	πυροτέχνημα
djas	τζαζ
dyim	ήχου
tsum	βολφράμιο
drip	τρίπλα
lyaf	επίδομαδιατροφής
prom	προγραμματιστής
nrup	εισαγωγή
hfes	αυτοπαθής
rwaf	χρυσάνθεμο
dlen	απόδειξημεέγγραφα
byas	εμβόλιο
fron	ηρωίνη
dluk	αποσυνδέω
dyun	διαγιγνώσκω
flap	ντοσιέ
kfet	κάθοδος
dlim	ιδεολογία
prek	στάθμευση
syoc	στιγμιότυπο
slus	προσιτότητα
nlos	απότομηπτώση
mlen	σελήνιο
pres	φλοιός
hlof	θείο
nlek	ρεύμασυνάφειασημάδι
gwot	αεροδρόμιο
mwip	απατεώνα
klop	κατσαρίδα
kwom	χρώμιο
hl6t	λίτρο
nwec	παρ'όλααυτά
glip	κυκλικός
nrop	μισθολόγιο
crum	ορμόνη
dlep	προγραμματιστής
frot	διάτρητος
bwoc	σαμποτάζ
fwis	φεμινιστής
djok	κλίνω
draf	εκμοντερνίζω
trum	εξτρεμιστής
graf	αλγόριθμος
lwes	λέιζερ
mlem	χιλιοστόμετρο
flen	καλώδιο
zlot	άνοδος
swok	χώνομαι
klec	σκύλοςκουρασμένος
pwim	μερικήςαπασχόλησης
htuf	τόνος
fyis	διυλιστήριο
lwet	ευαισθησία
mrem	μεγάλοσύστημαυπολογιστή
jwic	ξανάνιωμα
droc	διαδηλωτής
clem	ήλιο
dzik	δίγλωσσος
psem	πλάσμααίματος
hjom	χρωμόσωμα
rwuc	τακτικός
tyus	ακέραιοςαριθμός
klom	χιλιόμετρο
hfos	φαξ
nwek	γενεσιολογία
jrap	κατσαβίδι
zwas	ορεκτικό
bwok	μπρόκολο
dwap	προσαρμογέας
syem	τοspam
blek	διάνυσμα
tlus	τακτική
pyif	απροσδιόριστος
cwoc	καλώς
mrep	αμπέρ
hbem	βιταμίνη
hxan	θυρωρός
hxut	παρέχωεπιχορήγηση
hk6m	κάδμιο
hxin	ταυτόχρονη
txin	τιτάνιο
kxin	κιλό
klum	συνουσιάζομαι
xlis	κλεψύδρα
hqak	συντακτικός
hxat	δημιουργικότητα
hxik	ebook
hxas	στοχώροεργασίας
bxon	βόριο
dxin	επαγωγή
hxit	ελικόπτερο
tlum	τελλούριο
txit	διορία
kxat	οξειδώνω
hvik	ευθυγραμμίζω
nluk	αναλογικό
nyem	εκατοστόμετρο
hm6t	μολυβδαίνιο
hl6m	λίθιο
ht6t	πολυμέσων
xlit	θερμίδα
ryop	ρομπότ
pxas	φαρμακοποιός
hxak	δουλειαγιατοΣΠΙΤΙ
lwif	τοπικήπτώση
grim	λογάριθμος
hqat	αλογάκιτηςπαναγίας
qlit	οικολογία
xlik	πονηρεύω
mlep	πρότυπο
hqit	ραδιοενέργεια
kxim	χιλιόγραμμο
hxen	μισθωτής
hxot	παρατρώω
kyif	αντιγραφέας
fwet	freeware
txet	υποσύνολο
hs6n	ακολουθητικός
hxet	αφουγκράζομαι
xrat	κούρεμα
hqan	εγκλείω
hr6t	ιρίδιο
bxat	εύροςζώνης
dxet	επιφάνειαεργασίας
hxis	εκθετικός
hxok	έδρα
hxek	βάζωκατάλάθος
srem	δημήτριο
hp6t	μεριστικός
pxik	μεριστικόςπερίπτωση
kxet	κασέτα
pruk	σουπερμάρκετ
hvit	δύναμητηςθέλησης
xlin	offline
frip	κρυπτογράφηση
hvep	πληρώνωπάραπολύ
hxon	συγχρονίζω
kxit	αυξάνωστονανώτατοβαθμό
hqin	σεμινάριο
tr6n	στέρεο
ht6n	συνδετήρας
hvat	ανερχόμενος
sl6s	Κελσίου
hn6n	νέο
ts6t	πραγματικόςχρόνος
hvin	εξορθολογισμό
pxat	περίπτεροεφημερίδων
myoc	μονάδαμέτρησης
ps6s	ζυμαρικά
bwek	χαρτοφύλακας
dlok	λουξ
fraf	firewall
hr6k	τεχνούργημα
txat	ωραΦΑΓΗΤΟΥ
hqon	ρίγανη
pxun	πλουτώνιο
ks6n	εργασίας
slef	κινούμενηκλίμακα
xrit	ναυαγοσώστης
hvut	υπερπληρώ
xrim	ύττριο
hx6t	αυξητικός
hqum	όνομαχρήστη
hl6n	πωλητές
gron	αργόν
pxan	προώθησης
hvac	πλυντήριοπιάτων
xlan	παγκοσμιοποίηση
txon	μήκοςκύματος
xrik	ανακυκλώνω
hxap	σάκοςπλάτης
hxac	επανεκκίνηση
xyat	ηπατίτιδα
cwep	εκκαθαριστικόσημείωμα
hxos	βάσηστήλης
txif	γραμματοσειρά
qlat	μεσίτηςακινήτων
txot	μέσαφθινοπώρου
hxam	χιλιοστόγραμμο
pxis	εικονοκύτταρο
pwif	προεπισκόπηση
txam	ταντάλιο
myek	θερμοδυναμικός
hbop	διάρρηξη
hqot	διαλυτό
xlic	αναπηρικήκαρέκλα
gxit	γενοκτονία
hvan	πυρόσβεση
glim	γάλλιο
pfop	κρότοςπάνω
hzum	ζιρκόνιο
xlon	hotline
qlin	μηγραμμική
kxam	σκάνδιο
blim	βηρύλλιο
kxik	ρυθμίσετε
nr6n	νευρώνας
hpef	κατηγορηματικός
hruf	router
kxan	παραγοντικό
hxic	κατευθυντήριαγραμμή
xlip	βόλεϊ
dyek	debug
hxop	ρολόιχεριού
qrot	νετρόνιο
nwip	νιόβιο
hs6t	τουαλέτα
grem	γερμάνιο
tles	μεταλοειδές
hp6k	prolativeπερίπτωση
qyin	βιοποικιλότητα
txak	αντιβιοτικό
mlun	ακινητοποίηση
txan	ακτίνιο
xran	αστροναύτης
dres	μειώνωτηνπίεση
tr6t	εξωγήινο
hk6t	οκταφωνία
hxus	ανοιχτόπηγή
xlat	εκκεντρικός
mraf	μαραθώνας
ts6n	ταμέσατηςάνοιξης
ht6s	αυτισμό
nlif	ιονίζω
txut	διασημότητα
hm6n	αναδοτικός
kxis	συνδετήραςτέχνη
xrin	υποβάλλονται
xren	ανακατεύθυνση
bxak	σελιδοδείκτη
pfos	proφράση
hvis	περιττώματα
hd6n	παρονομαστής
brum	αίθουσασυνεδριάσεων
hqis	σωβινιστής
hk6n	συντάσσω
xyit	βάρδιακλειδί
xyin	έναδευτερόλεπτο
hxun	εξακολουθούσεναυφίσταταιένα
hvas	ρόλους
glok	blog
hvak	οφιοειδή
pxit	ipδιεύθυνση
hvet	δίπλαστο
xram	κνήκου
hc6n	φανερότης
qran	Κοράνι
zyen	ξένο
hqas	Ορκίζομαιστο
bzas	αδιάφορος
hj6n	μηανθρώπινος
hnof	επιφυλακτικός
txas	κατασκευαστές
hbum	βουδισμός
ts6s	φιλονικία
pxin	συστατικά
hr6n	σιτηρέσιο
hxim	μέσατουκαλοκαιριού
dxit	μέσατουχειμώνα
hxaf	εκσκάπτω
nlus	φυτόσπιτιού
txap	κατάστασημπαρ
vrit	συγγραφέαςφάντασμα
kxak	παίζω
bxin	ανθρώπινοσώμα
hqik	αδιάβροχο
hxes	χέρτζ
hxif	υπνωτίζω
xras	ωριαίος
pl6k	paralegal
dxat	απερισκεψία
hxip	αντίσωμα
vrat	σορτς
hqek	αναμόρφωση
qrit	πόλωση
pxot	ταχυδρομείο
hxom	σκουπίδιταχυδρομείο
hqic	κριτικός
lwun	blue-jean
hp6n	ωρίμανση
dxan	επισυνάπτοντας
xrak	ηθοποιόςρόλος
dxak	ατύχημα
hven	δοχεία
mwap	κόμικς
qlan	αχρωματοψία
xros	γδύσιμο
srom	showroom
hc6t	κουβέντα
qrat	άνωκάτω
hn6t	αναχαίτηση
hqet	δικτυακόςτόπος
fres	fundraise
froc	σφυρηλάτηση
xlak	υπερσυνδέσμου
vlat	ευφράδεια
dvan	αποβίβαση
gxin	κατακτώντας
