hnit	mastar
crim	piramit
hjif	yasadışı
crif	utangaçlık
lwap	ut
tyon	astronomi
mrim	labirent
drut	tanımlayıcı
nrim	burs
kruc	kaplumbağa
kwam	danışman
jrik	kriket
dlut	belirtmek
pyot	güvercin
dyon	adaptasyon
prap	operatör
bzin	rozet
tyek	üçgen
trec	veznedar
nron	hidrojen
pyet	yazıcı
tsok	boğma
zyin	kronik
slek	bisiklet
jyin	mühendislik
ryas	transmisyon
zrak	yenileme
nyas	dansçı
gric	göç
zlak	ihlaletmek
tces	tenis
hjun	rüzgarlı
twen	dokuma
kyet	kolektör
gwit	omurga
kyot	akort
fwin	frekans
tfuc	dokumatezgâhı
dlet	rehber
pfik	düşünür
bjet	bütçe
trek	strateji
kros	kuvars
gjit	makas
gwic	anahtar
frik	teorik
tluc	havlu
pruc	devriye
glic	buzul
krun	tamlık
bjin	tahmin
tlaf	katılmak
tfet	üretici
bras	yanal
dwik	sanık
clec	egzoz
cres	satranç
tcef	Kiraz
tcom	yanılmak
nyot	çevirmen
tyok	kamyon
cyip	aşarak
grot	hardal
bris	kablosuz
nlam	açıkartırma
slif	elek
hgos	pas
swoc	kararsız
jyat	iflasetti
slum	İslâm
hjes	nüfussayımı
dzat	heyecanla
slun	askıyaalmak
nwot	süreklilik
gyic	gitar
pfas	önyargı
zyik	çinko
blen	parlak
hyem	karaağaç
hnep	mücâdele
nyut	örgü
ryam	zamirişaretleyici
clim	baharat
jret	netlik
tfon	kızdırmak
jwac	java
hrep	yemektarifi
dyac	imtiyaz
myip	metre
rwis	ırksal
hkem	kuyrukluyıldız
nwon	yenilik
zwin	yasak
dyis	ortaçağ
mrec	serçe
fyot	dipnot
mlon	ölçüm
pfis	onay
rwot	yörünge
hfok	tutumlu
glof	golf
zron	sıfır
hzip	zip
hwom	evsiz
bjic	çiğneme
pcim	yerinegetirmek
hjip	yonga
bwac	esnemek
mlos	mol
mrip	çanakçömlek
bron	embriyo
ksoc	kesinti
cyum	maya
jyan	jargon
plim	Erik
mwet	mezarlık
ryet	mezunolmak
glik	sulama
plap	kapitalist
tsif	elastikiyet
gyak	Köpekbalığı
djon	varsayılan
nwun	dakik
cles	gerçekçilik
dris	giderek
hkef	kafe
blus	ambulans
blap	cüzdan
bjak	kendindengeçmiş
klim	yüzburuşturma
gyac	bilimadamı
jyit	ağırbaşlılık
dzit	gerçekçi
bwak	açık
dyot	radyo
bwon	fasulye
fris	resmiolmayan
klut	spekülasyonyapmak
tfek	biftek
nrok	azot
zyat	jilet
bram	fısıltı
ryis	tanıtıcı
nlip	analizetmek
nros	zıt
hcof	soyunmak
tfif	özendirici
kroc	kırışık
hdum	Yahudilik
pses	alıcı
plok	tamamlayıcı
lyet	mercek
pwek	pegativedava
kfas	kanser
pwen	piyon
nrun	hatırlatma
clek	sızıntı
pcif	hınç
glas	karmaşa
zwit	konuşkan
kces	yeterlik
crem	perakende
grap	kapmak
kwip	müdahale
dyut	indirim
crus	hiyerarşi
gyet	yeşimtaşı
gram	söylenmek
kyip	kertenkele
nyet	ped
crop	çağlayan
glon	galon
mrok	sivrisinek
fluc	akıcı
dwic	sapma
slec	kâşif
srec	süresidolan
blut	güreşmek
myok	mozaik
tlek	fiş
nruk	bulaşıcı
nwoc	bundanböyle
bjut	bodur
hges	gebelik
twoc	bakkal
kyos	komünist
mrek	şaşırtmak
clip	pişmanlık
pwok	prosecutivedava
dwot	diktatör
zyac	kaygı
jlic	uydu
slop	terlik
ryip	orantılı
psim	yaklaşık
byet	işsiz
cyop	hobi
rwun	kriter
blop	ampul
syok	destekçi
klos	klor
lwot	klorid
byic	bakteriler
lyik	yapışkan
blok	biyolojik
jlac	uydurmak
bret	bayt
krif	salgı
blet	bale
nruc	idrar
tsus	sarımsak
dyak	ortasınıf
tcem	maşa
cyoc	meydanokuma
trep	çilek
dlun	kirlenme
hlup	albüm
hbep	beyzbol
praf	korsanlık
pwis	ortaç
grek	garaj
kruk	koltukdeğneği
hfof	fosfor
rwut	yapısal
myam	sporsalonu
krec	vinç
jras	müteahhit
zrik	bildirmek
blam	balosalonu
klip	esnaf
hwef	ödenmemiş
zlac	muz
gret	jeneratör
lwuk	kaburga
nyek	nikel
blos	otobüs
sles	sansürcü
tlif	karo
kses	sosis
mwot	domates
lyot	Oto
tsom	potasyum
brut	sanal
djap	cebir
hjok	genel
kfen	kavramlar
pcok	optik
bzut	hareketettirmek
syek	işsizlik
mruc	tırtıl
bwas	tarayıcı
klif	kalsiyum
rwet	uzakgeçmişgergin
srif	tarihigergin
hwem	spektrum
syom	sodyum
tyos	yediemin
jyic	rehin
hguk	sukabağı
dwun	kırışıklık
swip	başak
tlec	kene
blaf	kolza
tsem	ateizm
mloc	izlemek
gyot	şartlı
trop	sonda
rwap	üçaydabir
hjep	cinsiyet
pyim	platin
dlon	çiftsayı
pcep	akciğer
twuk	ovma
tyec	etiket
syup	Süper
trom	tramvay
nyip	lokalolarak
glis	benzin
gjik	böbrek
hjos	sahipsiz
hjuc	yağma
swek	çalıştırılıyordu
psek	arsenik
twok	istatistiksel
tsep	çekirge
slos	sosyalist
nwim	duyusalortadaruhhali
tlop	masaörtüsü
trus	tartışmalı
pwot	tasmakayışı
djot	tortu
nloc	haddinibildirmek
mwon	mandalina
hjek	jokey
crom	işbirliğiyapmak
myon	zatürree
twec	yerleştirmek
ryek	roket
dlic	kârpayı
kwet	paten
bwen	takıntı
plon	tahsis
syon	solumak
djis	dijital
byut	orospu
hyep	gözkapağı
dwon	diyagonal
byis	bilinçaltı
brec	kaş
cyec	hapşırma
hwop	vat
clus	neşeli
kfun	işgal
nwum	Hinduizm
fyim	mülteci
cwos	mekik
tfoc	sancı
pwon	protein
sraf	kendinitatmin
hbom	kusmuk
gyen	gen
drim	birincisınıföğrencisi
trem	teçhizat
tsup	kırmak
slok	sosyoloji
kwoc	kabak
bwam	seçmen
mlok	hareketlilik
kyen	bölgesel
hmop	hareketyokuşyukarı
rwek	geçmişeyönelik
kfup	küp
grok	havuç
drap	tuzağadüşürmek
lwis	moleküler
ksuc	muhasebeci
tsop	piskoku
kyok	salatalık
nroc	alem
jlot	çözücü
psof	fosfat
hgif	cezbetmek
kfim	alkalik
psos	Jimnastik
pfen	doğrulama
kcom	iktisatçı
krom	virgül
tluk	sıyrılmak
hyom	iyot
nwuc	hareketyokuşaşağı
gjac	düşük
pcom	koza
dzic	tasarımcı
grun	palavra
dzot	verici
hzek	manganez
kfot	klavye
jlas	güvenilmez
lyim	seçkinler
jyen	yen
pcaf	parantez
rwip	Ragbi
blip	İncil
kyoc	sebep
lyon	ülser
flis	çekimli
nrif	kemirmek
kfam	kuantum
swes	kazak
lwon	evrimsel
drec	teşrih
gjap	spa
lyec	doğrusal
tyom	antimon
pwuk	superessivedava
flaf	alfa
myim	bağışık
pcek	kaçırma
bjac	birafabrikası
bzac	kısaltmak
bzak	çorap
twes	televizyon
dwut	belgesel
ksom	kozmos
lyis	ormancılık
lwim	alüminyum
ksok	burç
sruc	hızlandırmak
dlif	yunus
byik	katil
tfec	kırtasiye
hjaf	memeli
ryok	protokol
dwis	dioksit
jlon	kolon
brus	bürokrasi
gjak	gökada
lyip	klinik
ryem	radyum
href	rarefied
prok	buzdolabı
slep	satir
dret	tekrarlama
kluk	arkeolojik
dlis	idiyosenkrazi
kfip	kabuledilemez
mlec	masaj
pfif	şartname
nrec	duyusal
pfet	broşür
hzoc	altındayatan
dlam	idealolarak
nlec	antropoloji
kluc	lezzetli
dyet	sedan
tyif	geçişli
krus	çömelmek
nluc	ayçiçeği
lyun	iyon
zrot	iade
ksif	tahrifetmek
psif	emisyon
crup	üstüstegelme
fret	bulucu
grut	evirmek
ksec	sınıfarkadaşı
jric	yol
mrop	mikrodalga
srus	yerindenetmek
gyas	kuaför
floc	folklor
plek	kılcal
nwop	kalça
nrom	kontrolör
twos	terörizm
lwok	slogan
dwet	mesai
slem	yüceltmek
grip	ızgara
gwas	vay
kwok	kobalt
gwon	yulaf
hdop	hareketakıntıyakarşı
glam	anüs
bwot	sığır
bren	bağırsak
byot	video
bjik	boykot
kwim	bilgiyarışması
cwek	hokey
grif	gerilla
hgem	magnezyum
hyes	farkındaolma
fram	eczane
nwos	unambitious
ryap	yenidendüzenlemek
cwim	güvenilirlik
klep	varek
psec	geriödemek
djic	Dünyaçapında
kfut	sokağaçıkmayasağı
crep	hamburger
frim	teorem
gjas	tutuşturmak
hdef	borç
ryum	uranyum
pluk	belirlemek
krop	koordinat
nraf	vergimükellefi
tyes	entegre
plip	opined
hgom	gama
hgus	katsayı
cwuc	ısıtıcı
zret	çıkarmak
nles	analist
trof	geçişsiz
hmof	alışverişMerkezi
hzim	bizmut
dzac	lokanta
psok	kartpostal
blon	yakınsama
djet	sapmak
ksum	hissedar
mrup	mikrop
clif	helezon
cloc	morfolojik
tfes	yiyecekiçeceksağlayankimse
gjis	kot
jren	hiza
tlep	veritabanı
kcup	kupon
glot	Voltaj
glut	hesapmakinesi
srep	siber
nwes	yatırımcı
ksef	X-ışını
bzis	Visa
frut	altyapı
nyuk	ateşböceği
dyik	detektör
plec	ekyeri
brom	brom
plop	palladyum
zlik	silikon
flut	volt
ksop	kozmetik
gjun	tımar
kfok	hıçkırık
hpof	Patlamışmısır
hzuk	hayvanatbahçesi
nyoc	çağrışım
jwak	yoga
brim	baryum
kles	kafasınıkesmek
mwam	Evet
fwik	havaifişek
djas	caz
dyim	ses
tsum	tungsten
drip	salya
lyaf	nafaka
prom	programcı
nrup	giriş
hfes	dönüşlü
rwaf	krizantem
dlen	belgeleme
byas	aşı
fron	eroin
dluk	kesmek
dyun	teşhisetmek
flap	Klasör
kfet	katot
dlim	ideoloji
prek	otopark
syoc	enstantanefotoğraf
slus	ulaşılabilirlik
nlos	düşkırıklığı
mlen	selenyum
pres	korteks
hlof	sülfür
nlek	akımilgiişaretleyici
gwot	havalimanı
mwip	taklitçi
klop	hamamböceği
kwom	krom
hl6t	litre
nwec	yinede
glip	halkalı
nrop	maaşbordrosu
crum	hormon
dlep	geliştirici
frot	delmek
bwoc	sabotaj
fwis	feminist
djok	eşlenik
draf	modernleştirmek
trum	aşırı
graf	algoritma
lwes	lazer
mlem	milimetre
flen	esnek
zlot	anot
swok	sokulmak
klec	yorgunköpek
pwim	yarızamanlı
htuf	tonbalığı
fyis	rafineri
lwet	duyarlılık
mrem	anabilgisayar
jwic	gençleştirme
droc	gösterici
clem	helyum
dzik	ikidilbilen
psem	plazma
hjom	kromozom
rwuc	sıra
tyus	tamsayı
klom	kilometre
hfos	faks
nwek	genetik
jrap	tornavida
zwas	meze
bwok	brokoli
dwap	adaptör
syem	istenmeyene
blek	vektör
tlus	taktik
pyif	belirtilmemiş
cwoc	tamam
mrep	amper
hbem	vitamin
hxan	kapıcı
hxut	sübvanse
hk6m	kadmiyum
hxin	eşzamanlılık
txin	titanyum
kxin	kilo
klum	çiftleşmek
xlis	kumsaati
hqak	sözdizimsel
hxat	yaratıcılık
hxik	ekitap
hxas	işyeri
bxon	bor
dxin	indüktans
hxit	helikopter
tlum	tellür
txit	sontarih
kxat	paslanmak
hvik	hizalamak
nluk	analog
nyem	santimetre
hm6t	molibden
hl6m	lityum
ht6t	multimedya
xlit	kalori
ryop	robot
pxas	eczacı
hxak	evödevi
lwif	lokatif
grim	logaritma
hqat	peygamberdevesi
qlit	ekoloji
xlik	kaşarlanmak
mlep	şablon
hqit	radyoaktivite
kxim	kilogram
hxen	kiracı
hxot	çokyemek
kyif	fotokopimakinesi
fwet	ücretsiz
txet	altkümesi
hs6n	ardışık
hxet	kulakmisafiriolmak
xrat	saçkesimi
hqan	haczetmek
hr6t	iridyum
bxat	Bantgenişliği
dxet	masaüstü
hxis	üstel
hxok	Merkezi
hxek	misplace
srem	seryum
hp6t	birparçayıbelirten
pxik	birparçayıbelirtendava
kxet	kaset
pruk	süpermarket
hvit	irade
xlin	çevrimdışı
frip	şifreleme
hvep	falaödemek
hxon	senkronizeetmek
kxit	maksimumaçıkarmak
hqin	seminer
tr6n	müzikseti
ht6n	raptiye
hvat	yaklaşan
sl6s	Selsius
hn6n	neon
ts6t	gerçekzaman
hvin	kolaylaştırmak
pxat	gazetebayii
myoc	modül
ps6s	makarna
bwek	evrakçantası
dlok	deluxe
fraf	güvenlikduvarı
hr6k	eser
txat	öğleyemeğivakti
hqon	keklikotu
pxun	plutonyum
ks6n	işistasyonu
slef	yürüyenmerdiven
xrit	Cankurtaran
hvut	fazlakalabalıketmek
xrim	itriyum
hx6t	büyüten
hqum	kullanıcıadı
hl6n	satıştemsilcileri
gron	argon
pxan	promosyon
hvac	bulaşıkmakinesi
xlan	küreselleşme
txon	dalgaboyu
xrik	geridönüşüm
hxap	sırtçantası
hxac	tekrarbaşlat
xyat	hepatit
cwep	maaş
hxos	yumru
txif	harfkarakteri
qlat	emlâkçı
txot	sonbaharOrtası
hxam	miligram
pxis	piksel
pwif	önizleme
txam	tantal
myek	termodinamik
hbop	sözünükesmek
hqot	çözünen
xlic	tekerleklisandalye
gxit	soykırım
hvan	yangınsöndürme
glim	galyum
pfop	popyukarı
hzum	zirkonyum
xlon	hattı
qlin	doğrusalolmayan
kxam	skandiyum
blim	berilyum
kxik	yapılandırmak
nr6n	nöron
hpef	doğrulayıcı
hruf	yönlendirici
kxan	faktöryel
hxic	ilke
xlip	voleybol
dyek	hataayıklama
hxop	kolsaati
qrot	nötron
nwip	niyobyum
hs6t	tuvalet
grem	germanyum
tles	metaloid
hp6k	uzatandava
qyin	biyoçeşitlilik
txak	antibiyotik
mlun	sabitleme
txan	aktinyum
xran	astronot
dres	basıncıazaltmak
tr6t	dünyadışı
hk6t	sekizkişilikkoro
hxus	açıkkaynak
xlat	çılgın
mraf	maraton
ts6n	ortabahar
ht6s	otizm
nlif	iyonlaştırmak
txut	şöhret
hm6n	yayan
kxis	klipsSanat
xrin	geçiren
xren	yönlendirme
bxak	imi
pfos	profesyonelifade
hvis	dışkı
hd6n	payda
brum	toplantıodası
hqis	şovenist
hk6n	derlemek
xyit	vardiyaanahtar
xyin	birsaniye
hxun	subsisting
hvas	roller
glok	Blog
hvak	kıvrımlı
pxit	ipadres
hvet	yanında
xram	aspir
hc6n	açıklık
qran	Kuran
zyen	ksenon
hqas	yemin-in
bzas	bıkkın
hj6n	olmayaninsan
hnof	çekimser
txas	vericiler
hbum	Budizm
ts6s	çekişme
pxin	malzemeler
hr6n	tayın
hxim	yazortalarında
dxit	kışortasında
hxaf	kazmak
nlus	evbitkisi
txap	durumbar
vrit	HayaletYazar
kxak	Takılmak
bxin	insanvücudu
hqik	yağmurluk
hxes	hertz
hxif	uyutmak
xras	saatlik
pl6k	paralegal
dxat	acelecilik
hxip	antikor
vrat	şort
hqek	yenidenşekillendirilmesi
qrit	polarite
pxot	Postane
hxom	hurdaposta
hqic	eleştirmen
lwun	Mavi-jean
hp6n	olgunlaşma
dxan	bağlama
xrak	aktörrol
dxak	kaza
hven	konteynerler
mwap	çizgi-roman
qlan	renkkörü
xros	soyunma
srom	sergisalonu
hc6t	sohbet
qrat	başaşağı
hn6t	engelleme
hqet	websitesi
fres	fundraise
froc	dövme
xlak	köprü
vlat	konuşkanlık
dvan	disembarking
gxin	galip
ryes	resepsiyonist
kxot	konnektörleri
xyan	sınırlandırma
vlan	reklamveren
ryom	toryumatom
hluf	ihtiyarlık
hquk	enjekteetmek
lyum	tülyumatom
tyem	terbiyumatom
hp6m	praseodim
txic	evsayfa
mros	arabakullanankimse
dyam	rodyumatom
pc6n	Denemesayı
nyos	gelenkutusu
pyek	projektör
kxon	kripton
hxuc	tahlisiye
qrik	merkezidava
xwin	deneyimsizlik
kxic	yangınsöndürücü
hvot	akışşeması
dxot	yoğurt
hqut	logdışarı
pxen	bölüm
drok	hedeftetik
flon	ceptelefonu
txos	ortases
hqok	eğikdava
xwik	sabırlıdava
hx6n	önhodiernal
txik	işaretparmağı
hqen	gönderici
mlap	kötüamaçlıyazılım
hvun	razıetme
hvon	aşınma-out
vran	mailtaşıyıcı
pfes	profesör
pwip	şair
hqam	egzersizyapmak
gxat	yasallık
ks6t	ettirgen
vrin	İşveren
kxip	klipstahta
sr6n	onaylamayan
vlit	değerbiçen
tyup	banliyö
mrom	morfem
xron	kulaklık
gxak	pahalı
hrof	Truvaat
xlas	felçli
dzet	şeklinideğiştirmek
txac	Teslim
xrot	kullanılmamış
txis	noktamatris
syif	sibirimler
xrac	şaşırtıcıbiçimde
brif	ikilideğer
dlos	tipikdava
txun	özellikler
dvat	kötühuylu
psom	ilkelden
gjek	else-if
nlem	Birimkütle
qret	perakendemağaza
txip	Üçnokta
dlek	bireysel
lwut	Akış-akım
dxis	dramatik
hs6m	sezyum
vlak	vagon
hn6m	nerium
kxap	karton
bxan	çıkış
myem	Mayısayı
gxik	insanhakları
hxoc	havaKuvveti
xrok	işarkadaşınız
kr6t	ekrangörüntüsü
txok	otomatikolarak
hxep	kaykay
srop	akıllıtelefon
pxak	kapaklarkilitlemek
hk6k	HalkMüziği
hl6k	euler'snumarası
pyom	polonyumatom
xyam	talyumatom
hvic	işgalci
lyok	lokatifdava
xlot	yassı
txen	yenidenşekillendirme
kxac	karşıatak
qrak	strikebreaker
hbup	yüzmehavuzu
txuk	kısadevre
tsef	konik
bxit	ağevsahibi
ksem	okumaksadece
byim	rubidyumatom
hvam	vanadyumatom
lw6n	lantan
frum	florinatom
nyom	neodimyum
mlom	multalsayı
kxas	kişiselleştirmek
xret	terabayt
hs6k	aramamotor
frus	paslanmaz
gxan	gökadacinsiyet
vlas	seslerin
glet	gazpedalı
hvim	Çalışmazamanı
bxip	bitmap
qrin	starcinsiyet
bvak	abessivedava
pxon	kullanımdışı
dvik	adessivedava
dvek	agentivedava
hlef	ajantetik
kwek	içindava
kxen	ortakcinsiyet
ht6m	alıntıform
tsuf	transrakam
hf6n	incelme
tc6t	direktnesne
gvik	kılıcısızdava
gxon	parçalanma
ksep	reseptör
vyin	sinema
pyos	pasifses
hnef	sınırlıfiil
xwit	birincilnesne
hqim	Gnomicruhhali
jlak	genelleme
vrik	sonparçacık
qyan	hayalibirim
kxaf	ışıkhızı
xyic	Kimlikavı
qyit	kritiknokta
hvek	evitativedava
bvik	subessivedava
hzes	delidava
prus	bilgisayarvirüsü
ples	işlemci
pxif	polissubay
dvak	yasamadava
brun	tur
tsi_k	antessivedava
tyum	rutenyumatom
vyak	zarfdava
pxim	Başbakan
syum	stronsiyumatom
sy6n	şüphecilik
hy6n	hareketlendirmekcinsiyet
pxac	empatiksevinç
vlin	araçcinsiyet
qwin	mineralcinsiyet
hr6s	Referans
tf6n	tonik
xris	kullanıcıarayüzey
hw6n	küfür
xlen	sözlüisim
pyec	tablo
vlim	sanalbellek
bres	sözcükişlemci
hqip	bulutbilişim
vlic	sanalmakine
pfam	spam
dyap	ikincidil
txek	nthkök
dxen	verimadencilik
byip	işkişi
hs6c	özgüven
txim	atıfta
hb6t	değişimarasındaolay
hdem	domainisim
dxon	farklıolay
lwaf	flaşsürücü
sl6t	crastinalgergin
xyik	sarkıkdisk
fyif	dönüşlüses
bvin	Evrencinsiyet
hm6p	anakart
tfip	geçişlifiil
jlen	yercinsiyet
xrap	çizgili
tc6n	araştırmacinsiyet
sl6n	artistikcinsiyet
xrek	sabırlıtetik
xwan	soyutcinsiyet
dxif	videokonferans
dyip	dolaylıkonuşma
zrek	exocentricdava
hvuk	çağrıştıran
xwat	geçmiştamamlanmabelirten
hr6m	renyum
txaf	tetiklenir
hmef	kişiliksizfiil
tx6t	Metineditör
txes	topluisim
bvat	mistreating
bvuk	absolutivedava
ry6t	radyan
vlis	sanalgerçeklik
qren	gezegencinsiyet
gvak	dilbilgisidurum
bxok	kel
mrum	bilgisayarprogram
ps6t	işletmesistem
hfom	fonem
tlem	okumaksadecebellek
pwam	casus
kfif	çekirdekbenefactive
qwit	rasyonellik
nlaf	yükleme
nwok	ilişkiseldava
dzas	küstürmek
swuk	üstündava
syos	özetleme
kr6n	elektrikakım
dvin	cansızcinsiyet
pxom	propositiveruhhali
vris	karşılıklıses
rwos	aerosol
dr6t	dikkatdağıtıcı
ht6k	telekomünikasyon
slaf	sosyalağ
lyuk	ardışıkfıkra
qras	üstleri
ty6n	terminal
gwet	yakındagelecekgergin
hp6s	uygulamalıses
tsof	antipassiveses
ht6p	continuativegörünüş
hn6f	necessitativeruhhali
pfip	pasifortaç
glap	araççubuğu
sy6k	varoluşsalfıkra
qyat	aydınlıkyoğunluk
hy6t	dilbilgisinesne
vyan	olabilirtelaffuz
sluf	singulativesayı
dvit	aşırısüre
qyak	tekeylemfiil
bzik	fizik
xlet	üstünderece
hqap	mevcutortaç
qwat	miktararasındamadde
qyik	bağlayıcıparçacık
sr6t	süperkritikakışkan
hfem	epentheticmorfem
tl6t	uzakgelecekgergin
mrif	mikrofon
pcuk	İlgeçdava
tfim	rasgeleerişimbellek
fwim	ethidium
ly6t	hitabeanlaşma
hvap	kaydırmabar
hfep	tekrarlamabildirengörünüş
bvan	dağıtımzamir
fyun	kayannoktalısayı
xyas	silme
hvif	fiil-eki
xyis	geçmişpasifortaç
tl6n	merkeziişlemebirim
tfok	lokatifyönlüdava
qwan	sıksıkdiyesordusorular
