hnit	məsdər
mroc	sürtünmə
bzit	hörümçək
plut	kartof
glac	doymamazlıq
gzac	çoxaltmaq
prun	fırlatmaq
jlet	təqvim
nyim	namizədlik
tlos	trilyon
slut	salat
fwit	müsbətəhval
pyen	applications
nlon	nominal
dren	nümayişetdirmək
drun	qeyri-məmnunluq
cyok	silkme
hfop	futbol
ryac	tərəfdaşlıq
gzin	pioner
hgip	kələm
tyet	atletik
hdof	Ideophone
hwup	qiymətsiz
lwek	ling
syec	senator
jyak	yerləşdirmək
mlim	qarışqa
fwic	səmərəli
gzit	hamilə
blas	Reliance
jrin	hərgün
gwak	topuq
drik	işin
prif	dəyişən
jwit	müxtəliflik
krip	ayrıseçkilik
ryot	awed
nwut	səki
kcif	fəal
jrak	qurbağa
twek	exessiveişi
psot	kəffarə
pfon	süngər
sluk	dələ
nlim	irrealisəhval
ksaf	qıtlıg
glak	vulkan
plen	tarazlıq
kfaf	kaşne
kyon	istismaretmək
jlik	geoloji
psop	pasport
kfis	Vakansiya
fyon	qohumluq
nram	əxlaqsız
hbuk	biskvit
gras	trance
hyos	fərasətli
flim	film
plet	tablet
rwam	atom
blis	vanil
zlit	Kosmetikavasitələri
fyut	vasvası
crim	piramida
hjif	qanunsuz
crif	həya
lwap	rübab
tyon	astronomiya
mrim	labirent
drut	təsviri
nrim	təqaüd
kruc	tısbağa
kwam	məsləhətçi
jrik	cricket
dlut	işarəetmək
pyot	göyərçin
dyon	uyğunlaşma
prap	operator
bzin	nişan
tyek	üçbucaq
trec	xəzinədar
nron	hidrogen
pyet	printer
tsok	boğulmaq
zyin	xroniki
slek	velosiped
jyin	mühəndislik
ryas	ötürülməsi
zrak	təzələmək
nyas	rəqqasə
gric	mühacirət
zlak	pozublar
tces	tennis
hjun	küləkli
twen	hörmək
kyet	kollektor
gwit	bel
kyot	akkord
fwin	tezlik
tfuc	toxucudəzgahı
dlet	directory
pfik	mütəfəkkir
bjet	büdcə
trek	strategiya
kros	kvars
gjit	qayçı
gwic	switch
frik	nəzəri
tluc	dəsmal
pruc	patrul
glic	buzlaq
krun	mükəmməllik
bjin	proqnozlaşdırılması
tlaf	iştiraketmək
tfet	istehsalçı
bras	lateral
dwik	cavabdeh
clec	tükətmək
cres	şahmat
tcef	albalı
tcom	büdrəmək
nyot	tərcüməçi
tyok	avtomobil
cyip	aşaraq
grot	xardal
bris	simsiz
nlam	hərrac
slif	ələk
hgos	pas
swoc	lax
jyat	müflis
slum	islam
hjes	siyahıyaalma
dzat	sessizce
slun	dayandırmaq
nwot	fasiləsizlik
gyic	gitara
pfas	qeyri-obyektivlik
zyik	sink
blen	shiny
hyem	qarağac
hnep	dırmaşma
nyut	trikotaj
ryam	əvəzlikmarker
clim	ədviyyə
jret	itilik
tfon	sataşmaq
jwac	java
hrep	resept
dyac	səshüququ
myip	metr
rwis	irqi
hkem	kometa
nwon	yenilik
zwin	qadağan
dyis	ortaəsrlər
mrec	sərçə
fyot	qeyd
mlon	ölçü
pfis	təsdiq
rwot	orbit
hfok	sadə
glof	golf
zron	sıfır
hzip	poçt
hwom	evsiz
bjic	çeynənən
pcim	yerinəyetirmək
hjip	chip
bwac	əsnəmək
mlos	köstəbək
mrip	saxsı
bron	rüşeym
ksoc	deduksiya
cyum	maya
jyan	jarqon
plim	gavalı
mwet	məzarlıq
ryet	məzun
glik	suvarma
plap	kapitalist
tsif	elastiklik
gyak	köpəkbalığı
djon	default
nwun	dəqiq
cles	realizm
dris	getdikcə
hkef	kafe
blus	təciliyardım
blap	bumajnik
bjak	ecstatic
klim	ağız-burnunuəymə
gyac	alim
jyit	soyuqqanlılıq
dzit	real
bwak	bayır
dyot	radio
bwon	lobya
fris	qeyri-rəsmi
klut	alıb-satmaq
tfek	tikə
nrok	azot
zyat	ülgüc
bram	mırıltı
ryis	başlanğıc
nlip	təhliletmək
nros	təzadlı
hcof	soyunmaq
tfif	stimul
kroc	şırım
hdum	yəhudilik
pses	alan
plok	dəst
lyet	obyektiv
pwek	pegativeişi
kfas	xərçəng
pwen	piyada
nrun	xatırlatma
clek	sızmaq
pcif	vindication
glas	mürəkkəblik
zwit	dilli-dilavər
kces	kifayət
crem	pərakəndə
grap	qamarlamaq
kwip	qarışmaq
dyut	güzəşt
crus	iyerarxiya
gyet	yabı
gram	çımxırmaq
kyip	kərtənkələ
nyet	pəncə
crop	şəlalə
glon	gallon
mrok	ağcaqanad
fluc	axıcı
dwic	sapma
slec	tədqiqatçı
srec	qurtardıqdan
blut	güləşmək
myok	mozaika
tlek	ştepsel
nruk	yoluxucu
nwoc	bundanbelə
bjut	çömbəlmək
hges	hamiləlik
twoc	baqqal
kyos	kommunist
mrek	heyrətləndirmək
clip	contortion
pwok	prosecutiveişi
dwot	diktator
zyac	qayğı
jlic	peyk
slop	otaqayaqqabısı
ryip	proporsional
psim	təxmini
byet	işsiz
cyop	tərlan
rwun	meyar
blop	lampoçka
syok	tərəfdar
klos	xlor
lwot	xlorid
byic	bakteriya
lyik	yapışqanlı
blok	bioloji
jlac	özünütülkülüyəqoymaq
bret	byte
krif	ifraz
blet	balet
nruc	sidik
tsus	sarımsaq
dyak	ortasinif
tcem	maşa
cyoc	çətin
trep	çiyələk
dlun	çirklənməsi
hlup	albom
hbep	beysbol
praf	piratlıq
pwis	fe&#39;lisifət
grek	qaraj
kruk	qoltuqağacı
hfof	fosfor
rwut	struktur
myam	gimnaziya
krec	kran
jras	podratçı
zrik	bildirmək
blam	Balo
klip	sənətkar
hwef	ödənilməmiş
zlac	banan
gret	generator
lwuk	qabırğa
nyek	nikel
blos	avtobus
sles	senzor
tlif	kirəmit
kses	kolbasa
mwot	pomidor
lyot	auto
tsom	kalium
brut	virtual
djap	cəbr
hjok	generic
kfen	anlayışlar
pcok	optik
bzut	dəbərmək
syek	işsizlik
mruc	tırtıl
bwas	brauzer
klif	kalsium
rwet	gərginuzaqkeçmiş
srif	gərgintarixi
hwem	spektri
syom	natrium
tyos	qəyyum
jyic	girov
hguk	sukabağı
dwun	qırış
swip	sünbül
tlec	gənə
blaf	zorlamaq
tsem	ateizm
mloc	monitor
gyot	şərti
trop	zond
rwap	rüblük
hjep	cins
pyim	platin
dlon	ikilisayı
pcep	ağciyər
twuk	scouring
tyec	tag
syup	super
trom	vaqonetka
nyip	yerli
glis	benzin
gjik	böyrək
hjos	unattended
hjuc	qənimət
swek	overworked
psek	mərgümüş
twok	statistik
tsep	çəyirtkə
slos	sosialist
nwim	sensorsübutəhval
tlop	Süfrə
trus	mübahisəli
pwot	kəmsik
djot	çöküntü
nloc	şeşə
mwon	mandarin
hjek	jokey
crom	əməkdaşlıq
myon	sətəlcəm
twec	müəyyənmühitəsalmaq
ryek	raket
dlic	bölünən
kwet	konkisürmək
bwen	vəsvəsə
plon	hissə
syon	təngnəfəs
djis	rəqəmsal
byut	qancıq
hyep	gözqapağı
dwon	diaqonal
byis	bilinçaltı
brec	qaş
cyec	asqırmaq
hwop	watt
clus	şən
kfun	doluluq
nwum	induizm
fyim	qaçqın
cwos	məkik
tfoc	əzab
pwon	zülal
sraf	özünüməmnun
hbom	Qusma
gyen	gen
drim	birinci
trem	accoutrements
tsup	pozmaq
slok	sosiologiya
kwoc	xınclamaq
bwam	seçici
mlok	Mobility
kyen	regional
hmop	motiondağa
rwek	keçmişəaid
kfup	kub
grok	kök
drap	kəməndəsalmaq
lwis	molekulyar
ksuc	mühasib
tsop	üfunət
kyok	xiyar
nroc	eyş-işrət
jlot	solvent
psof	fosfat
hgif	valehetmək
kfim	qələvili
psos	gimnastika
pfen	yoxlama
kcom	iqtisadiyyatçı
krom	vergül
tluk	əzilib-büzülmək
hyom	yod
nwuc	motionaşağı
gjac	abort
pcom	pod
dzic	layihəçi
grun	gop
dzot	donor
hzek	manqan
kfot	klaviatura
jlas	etibarsız
lyim	elita
jyen	yen
pcaf	arasözü
rwip	reqbi
blip	Müqəddəs
kyoc	səbəbiyyət
lyon	yara
flis	flektiv
nrif	çırtlamaq
kfam	kvant
swes	sviter
lwon	təkamül
drec	yarma
gjap	kurort
lyec	xətti
tyom	sürmə
pwuk	superessiveişi
flaf	alpha
myim	immun
pcek	oğurluq
bjac	pivəzavodu
bzac	qısaltmaq
bzak	ayaqqabıiçliyi
twes	televiziya
dwut	sənədli
ksom	kosmos
lyis	meşətəsərrüfatı
lwim	alüminium
ksok	Bürclər
sruc	sürətləndirmək
dlif	delfin
byik	qatil
tfec	Dəftərxanaləvazimatı
hjaf	məməli
ryok	protokol
dwis	dioksid
jlon	colon
brus	bürokratiya
gjak	galaxy
lyip	klinik
ryem	radium
href	rarefied
prok	soyuducu
slep	şəhvətpərəst
dret	təkrar
kluk	arxeoloji
dlis	özellik
kfip	qəbuledilməz
mlec	masaj
pfif	spesifikasiya
nrec	sensor
pfet	vərəqə
hzoc	əsasını
dlam	ideal
nlec	antropologiya
kluc	dadlı
dyet	sedan
tyif	təsirli
krus	çömelmek
nluc	günəbaxan
lyun	ion
zrot	ekstradisiya
ksif	saxtalaşdırmaq
psif	emissiya
crup	üstünüörtmə
fret	finder
grut	invert
ksec	Classmate
jric	yol
mrop	mikrodalğalı
srus	devirdi
gyas	bərbər
floc	folklor
plek	kapilyar
nwop	dal
nrom	nəzarətçi
twos	terrorizm
lwok	şüar
dwet	əlavəvaxt
slem	süblime
grip	qril
gwas	Heyrət!Vay
kwok	kobalt
gwon	yulaf
hdop	motionUPRIVER
glam	göt
bwot	buğa
bren	bağırsaq
byot	video
bjik	boykot
kwim	viktorina
cwek	xokkey
grif	partizan
hgem	maqnezium
hyes	maarifləndirmə
fram	farmasiya
nwos	unambitious
ryap	düzəltmək
cwim	etibarlılıq
klep	Kelp
psec	ödəmək
djic	dünyada
kfut	komendantsaatı
crep	hamburger
frim	teorem
gjas	alovlandırmaq
hdef	debet
ryum	uran
pluk	qiymətləndirmək
krop	əlaqələndirmək
nraf	vergiödəyicisinin
tyes	inteqrasiya
plip	farzetmek
hgom	qamma
hgus	əmsal
cwuc	qızdırıcı
zret	çıxmaq
nles	analitik
trof	təsirsiz
hmof	mall
hzim	bismut
dzac	yeməkxana
psok	açıqməktub
blon	yaxınlaşma
djet	sapmaq
ksum	səhmdar
mrup	mikrob
clif	ilbiz
cloc	morfoloji
tfes	iaşəçi
gjis	jeans
jren	qruplaşma
tlep	Verilənlərbazası
kcup	kupon
glot	voltaj
glut	kalkulyator
srep	Kiberməkanda
nwes	investor
ksef	xray
bzis	viza
frut	infrastruktur
nyuk	atəşböcəyi
dyik	detector
plec	toy
brom	brom
plop	palladium
zlik	silikon
flut	volt
ksop	kosmetik
gjun	Heyvan
kfok	hıçqırtı
hpof	popcorn
hzuk	zooloji
nyoc	connotation
jwak	yoga
brim	barium
kles	kafasınıkesmek
mwam	Bəli
fwik	fişəng
djas	caz
dyim	audio
tsum	volfram
drip	damcılatmaq
lyaf	aliment
prom	proqramçı
nrup	input
hfes	qayıdış
rwaf	chrysanthemum
dlen	sənədlər
byas	vaksin
fron	heroin
dluk	ayırmaq
dyun	diaqnozqoymaq
flap	qovluq
kfet	katod
dlim	ideologiya
prek	park
syoc	snapshot
slus	accessibility
nlos	anticlimax
mlen	selenium
pres	qabıq
hlof	kükürd
nlek	CariAidiyyətmarker
gwot	aeroport
mwip	imposter
klop	tarakan
kwom	xrom
hl6t	litr
nwec	yenə
glip	Dövri
nrop	əməkhaqqı
crum	hormon
dlep	developer
frot	deşmək
bwoc	təxribat
fwis	feminist
djok	dəyişmək
draf	müasirləşdirmək
trum	ekstremist
graf	alqoritm
lwes	lazer
mlem	millimetr
flen	əymək
zlot	anod
swok	Snuggle
klec	yorğunit
pwim	yarımştat
htuf	tuna
fyis	emalı
lwet	həssaslıq
mrem	mainframe
jwic	cavanlaşma
droc	nümayişçi
clem	helium
dzik	ikidilli
psem	plazma
hjom	xromosom
rwuc	sıra
tyus	tam
klom	kilometr
hfos	faks
nwek	genetika
jrap	tornavida
zwas	məzə
bwok	brokoli
dwap	adapter
syem	spam
blek	vektor
tlus	taktikası
pyif	dəqiqləşdirilməmiş,naməlum
cwoc	alright
mrep	amper
hbem	vitamin
hxan	qapıçı
hxut	para
hk6m	kadmium
hxin	eynizamanlıq
txin	titan
kxin	kilo
klum	copulate
xlis	hourglass
hqak	sintaktik
hxat	yaradıcılıq
hxik	ekitab
hxas	iş
bxon	bor
dxin	induktivlik
hxit	vertolyot
tlum	tellur
txit	sontarix
kxat	turşutmaq
hvik	align
nluk	analog
nyem	santimetr
hm6t	molibden
hl6m	litium
ht6t	multimedia
xlit	kaloriya
ryop	robot
pxas	əczaçı
hxak	evtapşırığı
lwif	locative
grim	logarithm
hqat	mantis
qlit	ekologiya
xlik	sophisticate
mlep	şablon
hqit	radioaktivlik
kxim	kiloqram
hxen	rentaçı
hxot	tıxmaq
kyif	surətçıxarma
fwet	pulsuz
txet	alt
hs6n	ardıcıl
hxet	gizlincəqulaqasmaq
xrat	saçını
hqan	qovmaq
hr6t	iridium
bxat	bant
dxet	desktop
hxis	eksponent
hxok	qərargahı
hxek	yerinisəhvsalmaq
srem	cerium
hp6t	parçayıbelirten
pxik	parçayıbelirtenişi
kxet	kasset
pruk	supermarket
hvit	iradə
xlin	offline
frip	şifrələmə
hvep	overpay
hxon	sinxronizasiya
kxit	maksimize
hqin	seminar
tr6n	stereo
ht6n	fastener
hvat	qarşıdakı
sl6s	Selsi
hn6n	neon
ts6t	realvaxt
hvin	səmərələşdirmək
pxat	köşk
myoc	modul
ps6s	makaron
bwek	portfel
dlok	deluxe
fraf	firewall
hr6k	artifact
txat	Naharvaxtı
hqon	keklikotu
pxun	plutonium
ks6n	workstation
slef	eskalator
xrit	cankurtaran
hvut	tutmuşdularmı
xrim	yttrium
hx6t	augmentative
hqum	istifadəçiadı
hl6n	salespeople
gron	arqon
pxan	təqdimat
hvac	Qabyuyanmaşın
xlan	qloballaşma
txon	dalğa
xrik	təkraremal
hxap	Sırt
hxac	yenidənbaşlamaq
xyat	hepatit
cwep	paycheck
hxos	yumru
txif	typeface
qlat	realtor
txot	Midpayız
hxam	milliqram
pxis	pixel
pwif	preview
txam	tantal
myek	termodinamik
hbop	fasilə
hqot	solute
xlic	təkərlikürsü
gxit	soyqırım
hvan	yanğınsöndürmə
glim	qallium
pfop	açılır
hzum	sirkonium
xlon	qaynarxətt
qlin	qeyri-xətti
kxam	skandium
blim	berillium
kxik	konfiqurasiya
nr6n	neyron
hpef	predikativ
hruf	router
kxan	faktöryel
hxic	kitabçası
xlip	voleybol
dyek	debug
hxop	qolsaatı
qrot	neytron
nwip	niobium
hs6t	tuvalet
grem	germanium
tles	metalloid
hp6k	prolativeişi
qyin	biomüxtəlifliyin
txak	antibiotik
mlun	immobilizəedilmə
txan	aktinyum
xran	astronavt
dres	decompress
tr6t	extraterrestrial
hk6t	octet
hxus	açıqmənbə
xlat	çılgın
mraf	marafon
ts6n	ortalarındayaz
ht6s	autism
nlif	ionlaşdırmaq
txut	Notability
hm6n	emitting
kxis	clipart
xrin	keçirən
xren	yönlendirme
bxak	bookmark
pfos	prosöz
hvis	nəcis
hd6n	məxrəc
brum	Room
hqis	şovinist
hk6n	tərtibetmək
xyit	shiftəsas
xyin	birikinci
hxun	Qəyyumudur
hvas	rolu
glok	blog
hvak	əyri-üyrü
pxit	IPünvan
hvet	yanında
xram	aspir
hc6n	aşkarlıq
qran	quran
zyen	ksenon
hqas	and
bzas	Blase
hj6n	qeyriinsan
hnof	nonremittal
txas	edənlər
hbum	buddizm
ts6s	deyişmə
pxin	maddələr
hr6n	ehtiyat
hxim	ortalarındayay
dxit	ortalarındaqış
hxaf	oymaq
nlus	houseplant
txap	statusbar
vrit	Ghostwriter
kxak	şitliketmək
bxin	insanorqan
hqik	plaş
hxes	hertz
hxif	hypnothize
xras	hourly
pl6k	Paralegal
dxat	səfehlik
hxip	antikor
vrat	şort
hqek	reshaping
qrit	polarite
pxot	poçtşöbəsi
hxom	junkmail
hqic	rəyçi
lwun	bluejean
hp6n	püxtəlik
dxan	bərkitmə
xrak	aktyorrolu
dxak	qəza
hven	qablar
mwap	comicstrip
qlan	rəngkor
xros	elbi̇se
srom	sərgizalı
hc6t	söhbət
qrat	altüst
hn6t	inhibe
hqet	website
fres	fundraise
froc	döymə
xlak	hiperlink
vlat	dillilik
dvan	disembarking
gxin	fəth
ryes	xidmətçi
kxot	bağlayıcı
xyan	aralama
vlan	reklamçı
ryom	toriumatom
hluf	qocalıq
hquk	yeritmək
lyum	thuliumatom
tyem	terbiumatom
hp6m	praseodymium
txic	anasəhifə
mros	avtomobilçi
dyam	rodiumatom
pc6n	sınaqnömrəsi
nyos	inbox
pyek	projektor
kxon	kripton
hxuc	nicat
qrik	merkezliişi
xwin	təcrübəsizlik
kxic	söndürücü
hvot	flowchart
dxot	qatıq
hqut	çıxış
pxen	departament
drok	məqsəditrigger
flon	mobiltelefon
txos	ortasəs
hqok	obliqueişi
xwik	xəstəhal
hx6n	prehodiernal
txik	şəhadətbarmağı
hqen	göndərən
mlap	malware
hvun	iknaetme
hvon	köhnəlir
vran	Poçtalyon
pfes	professor
pwip	şair
hqam	çalışmaq
gxat	qanunçuluq
ks6t	icbar
vrin	ACENTA
kxip	clipboard
sr6n	disapproving
vlit	qiymətləndirici
tyup	suburb
mrom	morfem
xron	headphone
gxak	bahalı
hrof	Truvaatı
xlas	iflic
dzet	redecorate
txac	təslim
xrot	istifadəsiz
txis	dotmatrix
syif	sikontur
xrac	təəccüblə
brif	ikilidəyər
dlos	modalişi
txun	atributları
dvat	səbirlipis
psom	ilkəl
gjek	başqa,əgər
nlem	kütləvivahid
qret	RetailStore
txip	üçnöqtə
dlek	fərdi
lwut	flowcari
dxis	dramatik
hs6m	sezyum
vlak	Railcar
hn6m	Netium
kxap	karton
bxan	qalxan
myem	Mayayı
gxik	vətəndaşhüquqları
hxoc	aviasiya
xrok	coworker
kr6t	screenshot
txok	avtomatik
hxep	skateboard
srop	smartphone
pxak	CapsLock
hk6k	xalqmusiqisi
hl6k	eulerssayı
pyom	polonyumatom
xyam	talyumatom
hvic	invading
lyok	locativeişi
xlot	mənzillər
txen	yenidəntəqdim
kxac	əkshücum
qrak	strikebreaker
hbup	üzgüçülükhovuzu
txuk	qısaqapanma
tsef	quşburun
bxit	webhost
ksem	Yalnızoxumaqüçün
byim	rubidiumatom
hvam	vanadiumatom
lw6n	lanthanum
frum	flüoratom
nyom	Neodimyum
mlom	multalsayı
kxas	kişiselleştirmek
xret	terabayt
hs6k	AxtarışMotoru
frus	aşındırıcı
gxan	galaxygender
vlas	vocalizations
glet	Qazpedalı
hvim	uzunluğu
bxip	bitmap
qrin	stargender
bvak	abessiveişi
pxon	əlçatmaz
dvik	adessiveişi
dvek	agentiveişi
hlef	agenttrigger
kwek	halda
kxen	ümumigender
ht6m	sitatforması
tsuf	transsay
hf6n	cərimə
tc6t	vasitəsiztamamlıq
gvik	ergativeişi
gxon	parçalanma
ksep	reseptor
vyin	kinoteatr
pyos	məçhulnöv
hnef	məhdudverb
xwit	əsasobyekt
hqim	gnomicəhval
jlak	ümumiləşdirmə
vrik	finalhissəcik
qyan	xəyalivahid
kxaf	işıqsürəti
xyic	phishing
qyit	kritiknöqtə
hvek	evitativeişi
bvik	subessiveişi
hzes	sahibişi
prus	kompütervirus
ples	prosessor
pxif	poliszabiti
dvak	lativeişi
brun	turizm
tsi_k	antessiveişi
tyum	rutheniumatom
vyak	adverbialişi
pxim	Başnazir
syum	stronsiumatom
sy6n	şübhəlilik
hy6n	genderdiri
pxac	empatheticsevinc
vlin	vasitəgender
qwin	mineralgender
hr6s	tavsiye
tf6n	toner
xris	istifadəçiinterfeysi
hw6n	söyüş
xlen	fe&#39;liisim
pyec	tablo
vlim	virtualyaddaş
bres	sözişlemci
hqip	cloudcomputing
vlic	virtualmaşın
pfam	spammer
dyap	ikincidil
txek	nthkök
dxen	datamining
byip	biznesşəxs
hs6c	özünəinam
txim	istinadən
hb6t	Tədbirindəyişiklik
hdem	domenadı
dxon	müxtəlifhadisə
lwaf	Fleşkart
sl6t	gərgincrastinal
xyik	floppydisk
fyif	qayıdışsəs
bvin	kainatgender
hm6p	anakart
tfip	verb
jlen	mövqeyindəgender
xrap	zolaqlı
tc6n	tədqiqatgender
sl6n	bədiigender
xrek	xəstətrigger
xwan	mücərrədgender
dxif	videokonfrans
dyip	vasitəlinitq
zrek	exocentricişi
hvuk	evoking
xwat	keçmişmükəmməl
hr6m	renium
txaf	səbəb
hmef	şəxssizverb
tx6t	mətnredaktoru
txes	kollektivisim
bvat	mistreating
bvuk	absolutiveişi
ry6t	radian
vlis	virtualreallıq
qren	planetargender
gvak	qrammatikhal
bxok	keçəl
mrum	kompüterproqramı
ps6t	əməliyyatsistemi
hfom	fonem
tlem	readonlymemory
pwam	spyware
kfif	corebenefactive
qwit	rasionallıq
nlaf	quraşdırma
nwok	assosiativişi
dzas	narazı
swuk	üstünlükhalda
syos	ümumiləşdirilməsi
kr6n	elektrikcərəyanına
dvin	cansızgender
pxom	propositiveəhval
vris	qarşılıqlısəs
rwos	aerozol
dr6t	Distractor
ht6k	telekommunikasiya
slaf	sosialşəbəkə
lyuk	ardıcılbənddə
qras	üstlərinə
ty6n	teminal
gwet	gərgintezlikləgələcək
hp6s	Tətbiqisəs
tsof	antipassivesəs
ht6p	continutiveaspekt
hn6f	necessitativeəhval
pfip	passivfeli
glap	toolbar
sy6k	existentialbənddə
qyat	parlaqintensivliyi
hy6t	qrammatikobyekt
vyan	tələffüz
sluf	singulativesayı
dvit	həddindənartıqmüddəti
qyak	vahidfəaliyyətverb
bzik	fizika
xlet	üstünlükdərəcəsi
hqap	indikifeli
qwat	maddəmiqdarı
qyik	birləşdiricihissəcik
sr6t	superkritikmaye
hfem	epentheticmorfem
tl6t	uzaqgələcəkgərgin
mrif	mikrafon
pcuk	postpositionalişi
tfim	əməliyaddaş
fwim	ethium
ly6t	allocutivemüqavilə
hvap	gedinbar
hfep	tekrarlamaaspekt
bvan	paylayıcıəvəzlik
fyun	üzənpointsayı
xyas	pozulma,qaralama
hvif	verbşəkilçi
xyis	keçmişpassivfeli
tl6n	Mərkəziprosessor
tfok	locativeyönişi
qwan	Tez-tezsoruşulansuallar
