hnit	infinitif
fyon	afinitas
nram	asusila
hbuk	biskuit
gras	kesurupan
hyos	gelisah
flim	film
plet	tablet
rwam	atom
blis	vanila
zlit	bantu
fyut	rewel
crim	piramida
hjif	melanggarhukum
crif	perasaanmalu
lwap	kecapi
tyon	astronomi
mrim	labirin
drut	deskriptif
nrim	beasiswa
kruc	penyu
kwam	penasihat
jrik	jangkrik
dlut	menunjukkan
pyot	merpati
dyon	adaptasi
prap	operator
bzin	lencana
tyek	segitiga
trec	bendahara
nron	hidrogen
pyet	pencetak
tsok	tersedak
zyin	kronis
slek	sepeda
jyin	teknik
ryas	transmisi
zrak	menyegarkan
nyas	penari
gric	migrasi
zlak	melanggar
tces	tenis
hjun	berangin
twen	menenun
kyet	pengumpul
gwit	tulangbelakang
kyot	senar
fwin	frekuensi
tfuc	mesintenun
dlet	direktori
pfik	pemikir
bjet	anggaranbelanja
trek	strategi
kros	kuarsa
gjit	gunting
gwic	beralih
frik	teoretis
tluc	handuk
pruc	patroli
glic	gletser
krun	kelengkapan
bjin	ramalan
tlaf	ikut
tfet	pabrikan
bras	rusuk
dwik	terdakwa
clec	knalpot
cres	catur
tcef	ceri
tcom	tersandung
nyot	penterjemah
tyok	truk
cyip	melebihi
grot	moster
bris	nirkabel
nlam	lelang
slif	saringan
hgos	karat
swoc	goyah
jyat	bangkrut
slum	Islam
hjes	sensus
dzat	berjinjit
slun	menangguhkan
nwot	kontinuitas
gyic	gitar
pfas	prasangka
zyik	seng
blen	berkilau
hyem	elm
hnep	berebut
nyut	rajutan
ryam	katagantipenanda
clim	membumbui
jret	ketajaman
tfon	menggoda
jwac	Jawa
hrep	resep
dyac	hak
myip	meter
rwis	rasial
hkem	komet
nwon	inovasi
zwin	melarang
dyis	pertengahan
mrec	burunggereja
fyot	catatankaki
mlon	pengukuran
pfis	ratifikasi
rwot	orbit
hfok	hemat
glof	golf
zron	nol
hzip	zip
hwom	tunawisma
bjic	mengunyah
pcim	memenuhi
hjip	keping
bwac	menguap
mlos	tahilalat
mrip	barangtembikar
bron	embrio
ksoc	deduksi
cyum	ragi
jyan	jargon
plim	prem
mwet	makam
ryet	lulus
glik	irigasi
plap	kapitalis
tsif	elastisitas
gyak	hiu
djon	kegagalan
nwun	tepatpdwaktunya
cles	realisme
dris	makin
hkef	kafe
blus	ambulans
blap	dompet
bjak	gembiraluarbiasa
klim	meringis
gyac	ilmuwan
jyit	ketenangan
dzit	realistis
bwak	luarruangan
dyot	radio
bwon	kacang
fris	informalyang
klut	berspekulasi
tfek	steak
nrok	nitrogen
zyat	pisaucukur
bram	bergumam
ryis	pengantar
nlip	menganalisa
nros	kontras
hcof	menanggalkanpakaian
tfif	insentif
kroc	alur
hdum	agamaYahudi
pses	penerima
plok	melengkapi
lyet	lensa
pwek	pegativekasus
kfas	kanker
pwen	menggadaikan
nrun	peringatan
clek	kebocoran
pcif	pemulihannamabaik
glas	kompleksitas
zwit	latah
kces	kecukupan
crem	eceran
grap	mengambil
kwip	campurtangan
dyut	diskon
crus	hirarki
gyet	giok
gram	menggeram
kyip	kadal
nyet	bantalan
crop	airterjun
glon	galon
mrok	nyamuk
fluc	fasih
dwic	deviasi
slec	penjelajah
srec	berakhir
blut	bergulat
myok	mosaik
tlek	steker
nruk	berjangkit
nwoc	untukselanjutnya
bjut	berjongkok
hges	kehamilan
twoc	tokobahanmakanan
kyos	Komunis
mrek	menakjubkan
clip	penyesalan
pwok	prosecutivekasus
dwot	diktator
zyac	keasyikan
jlic	satelit
slop	sandal
ryip	sebanding
psim	kira-kira
byet	penganggur
cyop	hobi
rwun	kriterium
blop	bohlam
syok	pendukung
klos	klorin
lwot	khlorida
byic	bakteri
lyik	lengket
blok	biologis
jlac	berpura-pura
bret	byte
krif	keluarnya
blet	balet
nruc	airseni
tsus	bawangputih
dyak	kelasmenengah
tcem	penjepit
cyoc	menantang
trep	stroberi
dlun	polusi
hlup	album
hbep	baseball
praf	pembajakan
pwis	partisip
grek	garasi
kruk	kruk
hfof	fosfor
rwut	struktural
myam	ruangolahraga
krec	derek
jras	kontraktor
zrik	memberitahu
blam	ballroom
klip	tukang
hwef	belumdibayar
zlac	pisang
gret	generator
lwuk	tulangrusuk
nyek	nikel
blos	bis
sles	sensor
tlif	ubin
kses	sosis
mwot	tomat
lyot	mobil
tsom	kalium
brut	maya
djap	aljabar
hjok	umum
kfen	konsep
pcok	optik
bzut	bergerak
syek	pengangguran
mruc	ulat
bwas	Browser
klif	kalsium
rwet	terpencillalutegang
srif	bersejarahtegang
hwem	spektrum
syom	sodium
tyos	wali
jyic	sandera
hguk	kundur
dwun	kerut
swip	paku
tlec	kutu
blaf	memperkosa
tsem	ateisme
mloc	Monitor
gyot	bersyarat
trop	menyelidiki
rwap	triwulanan
hjep	jeniskelamin
pyim	platinum
dlon	rangkapjumlah
pcep	paru-paru
twuk	penggosokan
tyec	menandai
syup	super
trom	troli
nyip	lokal
glis	bensin
gjik	ginjal
hjos	tanpaperawatan
hjuc	menjarah
swek	terlalubanyakbekerja
psek	arsenikum
twok	statistik
tsep	belalang
slos	sosialis
nwim	indrawiygberdasarataskenyataansuasanahati
tlop	taplakmeja
trus	kontroversial
pwot	rantaianjing
djot	endapan
nloc	penghinaan
mwon	jerukkeprok
hjek	joki
crom	bekerjasama
myon	pneumonia
twec	menempatkan
ryek	roket
dlic	dividen
kwet	sepatuluncur
bwen	obsesi
plon	peruntukan
syon	terengah-engah
djis	digital
byut	menggerutu
hyep	kelopakmata
dwon	diagonal
byis	bawahsadar
brec	alis
cyec	bersin
hwop	watt
clus	riang
kfun	pemilikan
nwum	Hinduisme
fyim	pengungsi
cwos	shuttle
tfoc	tusukan
pwon	protein
sraf	puasdiri
hbom	muntahan
gyen	gen
drim	mahasiswatingkatpertama
trem	perlengkapan
tsup	pecah
slok	sosiologi
kwoc	labu
bwam	pemilih
mlok	mobilitas
kyen	daerah
hmop	gerakanmenanjak
rwek	retrospektif
kfup	kubus
grok	wortel
drap	memikat
lwis	molekuler
ksuc	akuntan
tsop	bau
kyok	ketimun
nroc	sukaria
jlot	pelarut
psof	fosfat
hgif	mengasyikkan
kfim	bersifatalkali
psos	olahragasenam
pfen	verifikasi
kcom	ekonom
krom	koma
tluk	bergeliang
hyom	yodium
nwuc	gerakanlereng
gjac	keguguran
pcom	polong
dzic	perancang
grun	membual
dzot	donor
hzek	manggan
kfot	Keyboard
jlas	tidakbisadiandalkan
lyim	elite
jyen	yen
pcaf	kurung
rwip	ragbi
blip	Alkitab
kyoc	halmenyebabkan
lyon	maag
flis	infleksi
nrif	menggigit
kfam	kuantum
swes	switer
lwon	evolusioner
drec	pembedahan
gjap	spa
lyec	linear
tyom	antimon
pwuk	superessivekasus
flaf	alfa
myim	imun
pcek	penculikan
bjac	tempatpembuatanbir
bzac	membatasi
bzak	kauskaki
twes	televisi
dwut	dokumenter
ksom	kosmos
lyis	kehutanan
lwim	aluminium
ksok	horoskop
sruc	mempercepat
dlif	ikanlumba-lumba
byik	pembunuh
tfec	kertassurat
hjaf	binatangmenyusui
ryok	protokol
dwis	dioksida
jlon	ususbesar
brus	birokrasi
gjak	galaksi
lyip	klinis
ryem	radium
href	jernih
prok	kulkas
slep	satir
dret	perulangan
kluk	kepurbakalaan
dlis	keistimewaan
kfip	tidakdapatditerima
mlec	pijat
pfif	spesifikasi
nrec	indrawi
pfet	leaflet
hzoc	mendasari
dlam	idealnya
nlec	antropologi
kluc	lezat
dyet	sedan
tyif	transitif
krus	gemetarketakutan
nluc	bungamatahari
lyun	ion
zrot	ekstradisi
ksif	memalsukan
psif	emisi
crup	tumpangtindih
fret	penemu
grut	membalikkan
ksec	temansekelas
jric	rencanaperjalanan
mrop	microwave
srus	mengusir
gyas	penatarambut
floc	ceritarakyat
plek	kapiler
nwop	pantat
nrom	pengawas
twos	terorisme
lwok	slogan
dwet	lembur
slem	menghaluskan
grip	panggangan
gwas	Wow
kwok	kobalt
gwon	haver
hdop	gerakanhulu
glam	dubur
bwot	termasukkeluargasapi
bren	usus
byot	video
bjik	memboikot
kwim	ulangan
cwek	hoki
grif	gerilya
hgem	magnesium
hyes	kesadaran
fram	farmasi
nwos	tidakberambisi
ryap	mengaturkembali
cwim	keandalan
klep	kelp
psec	membayarkembali
djic	diseluruhdunia
kfut	jammalam
crep	hamburger
frim	dalil
gjas	menyalakan
hdef	debet
ryum	uranium
pluk	menilai
krop	koordinat
nraf	pembayarpajak
tyes	terpadu
plip	berpendapat
hgom	gamma
hgus	koefisien
cwuc	pemanas
zret	mengurangi
nles	analis
trof	intransitif
hmof	mall
hzim	bismut
dzac	kantin
psok	kartupos
blon	konvergensi
djet	ngelantur
ksum	pemegangsaham
mrup	mikroba
clif	spiral
cloc	morfologi
tfes	pemborong
gjis	jeans
jren	penjajaran
tlep	Database
kcup	kupon
glot	tegangan
glut	Kalkulator
srep	duniamaya
nwes	investor
ksef	sinarX
bzis	Visa
frut	infrastruktur
nyuk	kunang-kunang
dyik	detektor
plec	sambatan
brom	brom
plop	proteksi
zlik	silikon
flut	volt
ksop	kosmetik
gjun	dandan
kfok	cegukan
hpof	jagungmeletus
hzuk	kebunbinatang
nyoc	konotasi
jwak	yoga
brim	barium
kles	memenggalkepala
mwam	ya
fwik	kembangapi
djas	jazz
dyim	audio
tsum	tungsten
drip	menggiringbola
lyaf	alimentasi
prom	programmer
nrup	memasukkan
hfes	refleksif
rwaf	krisan
dlen	dokumentasi
byas	vaksin
fron	heroin
dluk	memutuskan
dyun	mendiagnosa
flap	map
kfet	katoda
dlim	ideologi
prek	parkir
syoc	foto
slus	aksesibilitas
nlos	antiklimaks
mlen	selenium
pres	lapisanluar
hlof	sulfur
nlek	arushubunganpenanda
gwot	bandara
mwip	penipu
klop	kecoak
kwom	khrom
hl6t	liter
nwec	namun
glip	berhubungdgnputaran
nrop	daftargaji
crum	hormon
dlep	pembangun
frot	melubangi
bwoc	sabotase
fwis	feminis
djok	mengkonjugasikan
draf	memodernisasi
trum	ekstremis
graf	algoritma
lwes	laser
mlem	milimeter
flen	melenturkan
zlot	anoda
swok	merapat
klec	anjinglelah
pwim	paruhwaktu
htuf	ikantongkol
fyis	kilangminyak
lwet	kepekaan
mrem	mainframe
jwic	peremajaan
droc	demonstran
clem	helium
dzik	dwibahasa
psem	plasma
hjom	kromosom
rwuc	urut
tyus	bilanganbulat
klom	kilometer
hfos	fax
nwek	genetika
jrap	obeng
zwas	hidanganpembuka
bwok	brokoli
dwap	adaptor
syem	Spam
blek	vektor
tlus	berhubungdgnsusunan
pyif	ygtakditentukan
cwoc	baik
mrep	amper
hbem	vitamin
hxan	penjagapintu
hxut	menyubsidi
hk6m	kadmium
hxin	keserentakan
txin	titanium
kxin	kilo
klum	bersanggama
xlis	jampasir
hqak	berhubungdgnsintaksis
hxat	kreativitas
hxik	ebook
hxas	tempatkerja
bxon	boraks
dxin	induktansi
hxit	helikopter
tlum	telurium
txit	batasakhir
kxat	mengoksidasi
hvik	meluruskan
nluk	analog
nyem	sentimeter
hm6t	molibdenum
hl6m	lithium
ht6t	multimedia
xlit	kalori
ryop	robot
pxas	apoteker
hxak	pekerjaanrumah
lwif	lokatif
grim	logaritma
hqat	mantis
qlit	ekologi
xlik	orangygberpengalamandlmhal-halduniawi
mlep	Template
hqit	radioaktivitas
kxim	kilogram
hxen	penyewa
hxot	makanterlalubanyak
kyif	copier
fwet	freeware
txet	bagian
hs6n	sekuensial
hxet	mendengarkanrahasiaorang
xrat	potongrambut
hqan	menyita
hr6t	iridium
bxat	Bandwidth
dxet	Desktop
hxis	eksponensial
hxok	kantorpusat
hxek	salahmenaruhkan
srem	cerium
hp6t	ygdipisahkan
pxik	ygdipisahkankasus
kxet	kaset
pruk	supermarket
hvit	tekad
xlin	Pengunjung
frip	enkripsi
hvep	membayarlebih
hxon	menyamakan
kxit	memaksimalkan
hqin	seminar
tr6n	stereo
ht6n	pengikat
hvat	mendatang
sl6s	Celsius
hn6n	neon
ts6t	nyatawaktu
hvin	mempersingkat
pxat	kioskoran
myoc	modul
ps6s	pasta
bwek	taskantor
dlok	mewah
fraf	firewall
hr6k	artefak
txat	waktumakansiang
hqon	oregano
pxun	plutonium
ks6n	workstation
slef	eskalator
xrit	perenangpenyelamat
hvut	membuatsesak
xrim	yttrium
hx6t	ygbertambah
hqum	namapengguna
hl6n	penjual
gron	argon
pxan	promosional
hvac	pencucipiring
xlan	globalisasi
txon	panjanggelombang
xrik	mendaurulang
hxap	ransel
hxac	mengulangkembali
xyat	hepatitis
cwep	cekgaji
hxos	torus
txif	jenishuruf
qlat	makelarbarangtakbergerak
txot	pertengahanmusimGugur
hxam	miligram
pxis	pixel
pwif	pratinjau
txam	tantalum
myek	termodinamika
hbop	membobol
hqot	zatterlarut
xlic	kursiroda
gxit	genosida
hvan	pemadamkebakaran
glim	gallium
pfop	popnaik
hzum	zirkonium
xlon	hotline
qlin	nonlinear
kxam	skandium
blim	berili
kxik	mengkonfigurasi
nr6n	neuron
hpef	predikatif
hruf	router
kxan	faktorial
hxic	garispedoman
xlip	bolavoli
dyek	men-debug
hxop	jamtangan
qrot	neutron
nwip	niobium
hs6t	kamarkecil
grem	germanium
tles	metalloid
hp6k	prolativekasus
qyin	keanekaragamanhayati
txak	antibiotika
mlun	imobilisasi
txan	aktinium
xran	astronaut
dres	mengurangitekananudara
tr6t	extraterrestrial
hk6t	oktet
hxus	Bukasumber
xlat	gila
mraf	maraton
ts6n	pertengahanmusimsemi
ht6s	autisme
nlif	mengalamiionisasi
txut	orangterkemuka
hm6n	emitting
kxis	klipseni
xrin	menjalani
xren	mengarahkan
bxak	bookmark
pfos	profrasa
hvis	kotoran
hd6n	penyebut
brum	ruangrapat
hqis	penganutaliransovinisme
hk6n	menyusun
xyit	bergeserkunci
xyin	satudetik
hxun	hidupdari
hvas	peran
glok	blog
hvak	liat-liut
pxit	akupalamat
hvet	disamping
xram	safflower
hc6n	kenyataan
qran	Qur'an
zyen	xenon
hqas	bersumpah-in
bzas	bosan
hj6n	nonmanusia
hnof	datar
txas	pembuat
hbum	agamaBudha
ts6s	pertengkaran
pxin	bahan
hr6n	jatah
hxim	pertengahanmusimpanas
dxit	pertengahanmusimdingin
hxaf	menggali
nlus	tanamanrumah
txap	statusbar
vrit	penulishantu
kxak	bermain-main
bxin	tubuhmanusia
hqik	jashujan
hxes	hertz
hxif	menghipnotis
xras	perjam
pl6k	paralegal
dxat	keadaanterburu
hxip	antibodi
vrat	celanapendek
hqek	membentukkembali
qrit	polaritas
pxot	kantorPos
hxom	rongsokansurat
hqic	resensi
lwun	jinsbiru
hp6n	pematangan
dxan	melampirkan
xrak	aktorperan
dxak	kecelakaan
hven	kontainer
mwap	komik
qlan	butawarna
xros	membukabaju
srom	ruangpamer
hc6t	mengobrol
qrat	terbalik
hn6t	inhibisi
hqet	situsweb
fres	menggalangdana
froc	penempaan
xlak	hyperlink
vlat	keramahanmulut
dvan	mendarat
gxin	menaklukkan
ryes	resepsionis
kxot	konektor
xyan	pembatasan
vlan	pemasangiklan
ryom	thoriumatom
hluf	usiatua
hquk	menyuntikkan
lyum	thuliumatom
tyem	TBatom
hp6m	praseodymium
txic	rumahhalaman
mros	pengendaramobil
dyam	rhodiumatom
pc6n	percobaanjumlah
nyos	inbox
pyek	proyektor
kxon	kripton
hxuc	menyelamatkan
qrik	centrickasus
xwin	kurangpengalaman
kxic	pemadam
hvot	flowchart
dxot	yogurt
hqut	mencatatdiluar
pxen	departemen
drok	tujuanpelatuk
flon	telepongenggam
txos	tengahsuara
hqok	miringkasus
xwik	sabarkasus
hx6n	prahariini
txik	jaritelunjuk
hqen	pengirim
mlap	malware
hvun	pembujukan
hvon	aus-out
vran	surat-carrier
pfes	profesor
pwip	penyair
hqam	bekerja
gxat	legalitas
ks6t	kausatif
vrin	perekrut
kxip	klipnaik
sr6n	ygtdkmenyetujui
vlit	evaluatif
tyup	kotasatelit
mrom	morfem
xron	headphone
gxak	mahal
hrof	trojankuda
xlas	lumpuh
dzet	menghiasilagi
txac	menyerahkandiri
xrot	terpakai
txis	dotmatriks
syif	siunit
xrac	heran
brif	biner-nilai
dlos	modalkasus
txun	atribut
dvat	pemberang
psom	tanganpertama
gjek	lain-jika
nlem	Unit-of-massa
qret	eceranmenyimpan
txip	triple-titik
dlek	sendiri-sendiri
lwut	aliran-saat
dxis	dramatis
hs6m	cesium
vlak	railcar
hn6m	Nerium
kxap	kardus
bxan	berangkat
myem	bulanMei
gxik	hak-haksipil
hxoc	AngkatanUdara
xrok	temansekerja
kr6t	screenshot
txok	secaraotomatis
hxep	skateboard
srop	smartphone
pxak	topimengunci
hk6k	musikDaerah
hl6k	euler's-nomor
pyom	poloniumatom
xyam	taliumatom
hvic	invasi
lyok	lokatifkasus
xlot	flat
txen	uraianbaru
kxac	seranganbalik
qrak	orangygmencobamemecahkanpemogokan
hbup	kolamrenang
txuk	aruspendek
tsef	meruncing
bxit	jaringantuanrumah
ksem	Bacabacahanya
byim	rubidiumatom
hvam	vanadiumatom
lw6n	lanthanum
frum	ftoratom
nyom	neodymium
mlom	multaljumlah
kxas	personalisasi
xret	terabyte
hs6k	pencarianmesin
frus	korosi
gxan	galaksijeniskelamin
vlas	vokalisasi
glet	pedalgas
hvim	runtime
bxip	bitmap
qrin	bintangjeniskelamin
bvak	abessivekasus
pxon	tidaktersedia
dvik	adessivekasus
dvek	agentifkasus
hlef	agenpelatuk
kwek	untukkasus
kxen	umumjeniskelamin
ht6m	kutipanuntukm
tsuf	transangka
hf6n	denda
tc6t	langsungobyek
gvik	ergatifkasus
gxon	fragmentasi
ksep	reseptor
vyin	bioskop
pyos	pasifsuara
hnef	terbataskatakerja
xwit	utamaobyek
hqim	ygbersifatperibahasasuasanahati
jlak	generalisasi
vrik	terakhirpartikel
qyan	imajinerunit
kxaf	kecepatancahaya
xyic	phishing
qyit	titikkritis
hvek	evitativekasus
bvik	subessivekasus
hzes	kerasukankasus
prus	viruskomputer
ples	prosesor
pxif	polisipetugas
dvak	mendapatkankursikasus
brun	touring
tsi_k	antessivekasus
tyum	rutheniumatom
vyak	bersifatkataketerangankasus
pxim	PerdanaMenteri
syum	strontiumatom
sy6n	kecurigaan
hy6n	menghidupkanjeniskelamin
pxac	empatikegembiraan
vlin	kendaraanjeniskelamin
qwin	mineraljeniskelamin
hr6s	penyerahan
tf6n	toner
xris	pemakaiantarmuka
hw6n	umpatan
xlen	lisankatabenda
pyec	lembarkerja
vlim	mayaingatan
bres	kataprosesor
hqip	awankomputasi
vlic	mayamesin
pfam	spammer
dyap	keduabahasa
txek	n-root
dxen	datapertambangan
byip	bisnisorang
hs6c	dirikepercayaan
txim	mengacu
hb6t	perubahandariperistiwa
hdem	domainnama
dxon	berbedaperistiwa
lwaf	flashmendorong
sl6t	crastinaltegang
xyik	floppycakram
fyif	refleksifsuara
bvin	alamsemestajeniskelamin
hm6p	motherboard
tfip	transitifkatakerja
jlen	lokalitasjeniskelamin
xrap	bergaris
tc6n	penelitianjeniskelamin
sl6n	artistikjeniskelamin
xrek	sabarpelatuk
xwan	abstrakjeniskelamin
dxif	konferensivideo
dyip	tidaklangsungpidato
zrek	exocentrickasus
hvuk	membangkitkan
xwat	laluperfektif
hr6m	renium
txaf	dipicu
hmef	adilkatakerja
tx6t	tekseditor
txes	kolektifkatabenda
bvat	menganiaya
bvuk	absolutifkasus
ry6t	radian
vlis	mayarealitas
qren	planetjeniskelamin
gvak	gramatikal-kasus
bxok	botak
mrum	komputerprogram
ps6t	operasisistem
hfom	fonem
tlem	Bacabacahanyaingatan
pwam	spyware
kfif	intibenefaktif
qwit	rasionalitas
nlaf	menginstal
nwok	asosiatifkasus
dzas	tdkmemuaskan
swuk	superlatifkasus
syos	meringkas
kr6n	listrikarus
dvin	matijeniskelamin
pxom	propositivesuasanahati
vris	timbal-baliksuara
rwos	erosol
dr6t	distraktor
ht6k	telekomunikasi
slaf	sosialjaringan
lyuk	berturut-turutayat
qras	atasan
ty6n	terminal
gwet	segeramasadepantegang
hp6s	aplikatifsuara
tsof	antipasifsuara
ht6p	continuativeaspek
hn6f	necessitativesuasanahati
pfip	pasifpartisip
glap	toolbar
sy6k	eksistensialayat
qyat	bercahayaintensitas
hy6t	gramatikal-objek
vyan	pengucapan
sluf	singulativejumlah
dvit	terlalubanyaklamanya
qyak	tunggaltindakankatakerja
bzik	fisika
xlet	superlatifgelar
hqap	menyajikanpartisip
qwat	jumlahdarizat
qyik	ikatpartikel
sr6t	superkritis-cairan
hfem	epentheticmorfem
tl6t	terpencilmasadepantegang
mrif	mikropon
pcuk	postpositionalkasus
tfim	acakmengaksesingatan
fwim	ethidium
ly6t	allocutionperjanjian
hvap	gulirbar
hfep	ygberulang-ulangaspek
bvan	distributifkataganti
fyun	floating-point-nomor
xyas	penghapusan
hvif	verba-akhiran
xyis	lalupasifpartisip
tl6n	pusatpengolahansatuan
tfok	lokatifdirectionalkasus
qwan	seringtanyapertanyaan
