hnit	berfenw
pros	gweithredu
psun	omen
clet	trueni
hbus	bambŵ
dyas	ddeliwr
klun	cronni
jlit	unfrydol
hdom	hunllef
kron	carbon
hzam	jam
cyot	gwrandäwr
hmem	amgueddfa
lwam	wyddor
fras	gwasgariad
psoc	pwnsh
hgum	gwm
brek	brêc
glit	sefydlogrwydd
frun	pydredd
gris	ymosodol
mroc	ffrithiant
bzit	prycop
plut	tatws
glac	trachwant
gzac	lluoswch
prun	sbin
jlet	calendr
nyim	enwebiad
tlos	triliwn
slut	salad
fwit	gadarnhaolhwyliau
pyen	ceisiadau
nlon	nominal
dren	dangos
drun	anfodlonrwydd
cyok	shrug
hfop	pêl-droed
ryac	partneriaeth
gzin	arloeswr
hgip	bresych
tyet	athletaidd
hdof	idiophone
hwup	amhrisiadwy
lwek	lifer
syec	seneddwr
jyak	ddarparuar
mlim	ant
fwic	effeithiol
gzit	feichiog
blas	ddibyniaeth
jrin	pobdydd
gwak	ffêr
drik	rhyfedd
prif	newidyn
jwit	amrywiaeth
krip	gwahaniaethu
ryot	rhyfeddu
nwut	sidewalk
kcif	ynweithredol
jrak	llyffant
twek	gormodolachos
psot	cymod
pfon	sbwng
sluk	wiwer
nlim	irrealishwyliau
ksaf	prinder
glak	llosgfynydd
plen	cydbwysedd
kfaf	sgarff
kyon	manteisio
jlik	daearegol
psop	pasbort
kfis	swyddwag
fyon	affinedd
nram	anfoesol
hbuk	bisged
gras	trance
hyos	bryderus
flim	ffilm
plet	tabled
rwam	atom
blis	fanila
zlit	cymhorthion
fyut	fastidious
crim	pyramid
hjif	anghyfreithlon
crif	swildod
lwap	liwt
tyon	seryddiaeth
mrim	ddrysfa
drut	disgrifiadol
nrim	ysgoloriaeth
kruc	crwban
kwam	ymgynghorydd
jrik	criced
dlut	ddynodi
pyot	colomen
dyon	addasu
prap	gweithredydd
bzin	bathodyn
tyek	triongl
trec	trysorydd
nron	hydrogen
pyet	argraffydd
tsok	tagu
zyin	cronig
slek	beic
jyin	peirianneg
ryas	trosglwyddo
zrak	refresh
nyas	dawnsiwr
gric	mudo
zlak	torri
tces	tennis
hjun	gwyntog
twen	gwehyddu
kyet	casglwr
gwit	asgwrncefn
kyot	chord
fwin	amledd
tfuc	gwŷdd
dlet	cyfeiriadur
pfik	meddyliwr
bjet	cyllideb
trek	strategaeth
kros	cwarts
gjit	siswrn
gwic	switsh
frik	damcaniaethol
tluc	tywel
pruc	patrôl
glic	rhewlif
krun	cyflawnrwydd
bjin	rhagfynegiad
tlaf	cymrydrhan
tfet	manufacturer
bras	ochrol
dwik	diffynnydd
clec	gwacáu
cres	gwyddbwyll
tcef	ceirios
tcom	baglu
nyot	cyfieithydd
tyok	lori
cyip	ganragori
grot	mwstard
bris	di-wifr
nlam	arwerthiant
slif	ridyll
hgos	rhwd
swoc	anwastad
jyat	fethdalwr
slum	islam
hjes	cyfrifiad
dzat	flaenaueichtraed
slun	atal
nwot	parhad
gyic	gitâr
pfas	rhagfarn
zyik	sinc
blen	sgleiniog
hyem	llwyfen
hnep	scramble
nyut	gwau
ryam	rhagenwmarciwr
clim	sbeis
jret	eglurder
tfon	hudo
jwac	java
hrep	rysáit
dyac	fasnachfraint
myip	metr
rwis	hiliol
hkem	comed
nwon	arloesedd
zwin	gwaharddiad
dyis	ganoloesol
mrec	aderynyto
fyot	troednodyn
mlon	mesur
pfis	cadarnhau
rwot	orbit
hfok	gynnil
glof	golff
zron	sero
hzip	zip
hwom	ddigartref
bjic	cnoi
pcim	cyflawni
hjip	sglodion
bwac	yawn
mlos	mangeni
mrip	crochenwaith
bron	embryo
ksoc	didyniad
cyum	burum
jyan	jargon
plim	eirin
mwet	fynwent
ryet	raddedig
glik	dyfrhau
plap	gyfalafol
tsif	elastigedd
gyak	siarc
djon	ddiofyn
nwun	brydlon
cles	realaeth
dris	yngynyddol
hkef	caffi
blus	ambiwlans
blap	waled
bjak	ecstatig
klim	grimace
gyac	gwyddonydd
jyit	equanimity
dzit	realistig
bwak	awyragored
dyot	radio
bwon	ffa
fris	anffurfiol
klut	dyfalu
tfek	stêc
nrok	nitrogen
zyat	rasel
bram	sibrwd
ryis	rhagarweiniol
nlip	dadansoddi
nros	cyferbyniol
hcof	dadwisgo
tfif	cymhelliant
kroc	rhych
hdum	Iddewiaeth
pses	derbynnydd
plok	ategu
lyet	lens
pwek	pegativeachos
kfas	canser
pwen	gwystlo
nrun	atgoffa
clek	gollwng
pcif	cyfiawnhad
glas	cymhlethdod
zwit	siaradus
kces	digonolrwydd
crem	manwerthu
grap	chrafangia
kwip	ymyrryd
dyut	disgownt
crus	hierarchaeth
gyet	jâd
gram	ychwyrn
kyip	madfall
nyet	pad
crop	rhaeadr
glon	galwyn
mrok	mosgito
fluc	rhugl
dwic	gwyriad
slec	fforiwr
srec	yndodiben
blut	wrestle
myok	mosaic
tlek	plwg
nruk	heintus
nwoc	hynymlaen
bjut	squat
hges	beichiogrwydd
twoc	groser
kyos	gomiwnyddol
mrek	amaze
clip	edifeirwch
pwok	prosecutiveachos
dwot	unben
zyac	pwyslaismawr
jlic	lloeren
slop	sliper
ryip	gyfrannol
psim	bras
byet	ynddi-waith
cyop	hobi
rwun	maenprawf
blop	bwlb
syok	cefnogwr
klos	clorin
lwot	clorid
byic	bacteria
lyik	gludiog
blok	biolegol
jlac	feign
bret	beit
krif	secretiad
blet	bale
nruc	wrin
tsus	garlleg
dyak	dosbarthcanol
tcem	gefeiliau
cyoc	heriol
trep	mefus
dlun	llygredd
hlup	albwm
hbep	pêlfas
praf	fôr-ladrad
pwis	rhangymeriad
grek	garej
kruk	crutch
hfof	ffosfforws
rwut	strwythurol
myam	campfa
krec	craen
jras	gontractwr
zrik	hysbysu
blam	neuaddddawns
klip	grefftwr
hwef	di-dâl
zlac	Banana
gret	generadur
lwuk	asen
nyek	nicel
blos	bws
sles	sensro
tlif	teils
kses	selsig
mwot	tomato
lyot	auto
tsom	potasiwm
brut	rhithwir
djap	algebra
hjok	generig
kfen	cysyniadau
pcok	optegol
bzut	Budge
syek	diweithdra
mruc	lindysyn
bwas	porwr
klif	calsiwm
rwet	bellgorffennolamser
srif	hanesyddolamser
hwem	sbectrwm
syom	sodiwm
tyos	ymddiriedolwr
jyic	gwystl
hguk	cicaion
dwun	wrinkle
swip	spike
tlec	tic
blaf	treisio
tsem	anffyddiaeth
mloc	monitor
gyot	amodol
trop	probe
rwap	chwarterol
hjep	rhyw
pyim	platinwm
dlon	deuolrhif
pcep	ysgyfaint
twuk	sgwrio
tyec	tag
syup	super
trom	troli
nyip	ynlleol
glis	gasoline
gjik	yrarennau
hjos	heboruchwyliaeth
hjuc	loot
swek	gorweithio
psek	arsenig
twok	ystadegol
tsep	ceiliogrhedyn
slos	sosialaidd
nwim	synhwyraiddtystiolaetholhwyliau
tlop	lliainbwrdd
trus	ddadleuol
pwot	dennyn
djot	gwaddod
nloc	snub
mwon	mandarin
hjek	joci
crom	cydweithredu
myon	niwmonia
twec	leoli'r
ryek	roced
dlic	difidend
kwet	sglefrio
bwen	obsesiwn
plon	rhandir
syon	pant
djis	digidol
byut	ast
hyep	amrant
dwon	lletraws
byis	subconscious
brec	ael
cyec	tisian
hwop	wat
clus	doniol
kfun	deiliadaeth
nwum	Hindŵaeth
fyim	ffoaduriaid
cwos	gwennol
tfoc	twinge
pwon	protein
sraf	hunanfodlon
hbom	cyfog
gyen	genyn
drim	freshman
trem	accoutrements
tsup	chwalu
slok	cymdeithaseg
kwoc	sboncen
bwam	pleidleisiwr
mlok	symudedd
kyen	rhanbarthol
hmop	cynnigifyny'rallt
rwek	ôl-weithredol
kfup	ciwb
grok	moron
drap	entrap
lwis	moleciwlaidd
ksuc	cyfrifydd
tsop	drewdod
kyok	ciwcymbr
nroc	orgy
jlot	toddydd
psof	ffosffad
hgif	hudo
kfim	alcalïaidd
psos	gymnasteg
pfen	dilysu
kcom	economegydd
krom	coma
tluk	sleifio
hyom	ïodin
nwuc	cynnigilawryrhiw
gjac	camesgoriad
pcom	pod
dzic	dylunydd
grun	frolio
dzot	rhoddwr
hzek	manganîs
kfot	bysellfwrdd
jlas	annibynadwy
lyim	elitaidd
jyen	Yen
pcaf	parenthesis
rwip	rygbi
blip	Beibl
kyoc	achosiaeth
lyon	wlser
flis	ffurfdroëdig
nrif	cnoi
kfam	cwantwm
swes	siwmper
lwon	esblygiadol
drec	dyrannu
gjap	sba
lyec	llinol
tyom	antimoni
pwuk	superessiveachos
flaf	alffa
myim	imiwnedd
pcek	herwgipio
bjac	bragdy
bzac	talfyrru
bzak	hosan
twes	teledu
dwut	ddogfennol
ksom	cosmos
lyis	coedwigaeth
lwim	alwminiwm
ksok	horoscope
sruc	hwyluso
dlif	dolffin
byik	llofrudd
tfec	deunyddysgrifennu
hjaf	mamaliaid
ryok	protocol
dwis	deuocsid
jlon	colon
brus	biwrocratiaeth
gjak	galaeth
lyip	clinigol
ryem	radiwm
href	rarefied
prok	oergell
slep	satyr
dret	iteriad
kluk	archeolegol
dlis	idiosyncrasy
kfip	annerbyniol
mlec	tylino
pfif	fanyleb
nrec	synhwyraidd
pfet	taflen
hzoc	wrthwraidd
dlam	ynddelfrydol
nlec	anthropoleg
kluc	blasus
dyet	sedan
tyif	transitive
krus	cower
nluc	blodynyrhaul
lyun	ion
zrot	estraddodi
ksif	ffugio
psif	allyriadau
crup	gorgyffwrdd
fret	darganfyddwr
grut	gwrthdro
ksec	classmate
jric	itinerary
mrop	meicrodon
srus	oust
gyas	tringwallt
floc	llêngwerin
plek	capilari
nwop	pen-ôl
nrom	rheolwr
twos	terfysgaeth
lwok	slogan
dwet	drosamser
slem	sublimate
grip	gril
gwas	Waw
kwok	cobalt
gwon	ceirch
hdop	cynnigfyny'rafon
glam	anws
bwot	buchol
bren	coluddyn
byot	'nfideo
bjik	boicot
kwim	cwis
cwek	hoci
grif	gerila
hgem	magnesiwm
hyes	ymwybyddiaeth
fram	fferyllfa
nwos	anuchelgeisiol
ryap	aildrefnu
cwim	dibynadwyedd
klep	môr-wiail
psec	ynad-dalu
djic	ledledybyd
kfut	cyrffyw
crep	hamburger
frim	theorem
gjas	tanio
hdef	debyd
ryum	wraniwm
pluk	asesu
krop	cydlynu
nraf	trethdalwr
tyes	integredig
plip	Mynegwydbarngan
hgom	gama
hgus	cyfernod
cwuc	gwresogydd
zret	tynnu
nles	dadansoddwr
trof	intransitive
hmof	mall
hzim	bismwth
dzac	ystafellfwyta
psok	cerdynpost
blon	cydgyfeirio
djet	digress
ksum	cyfranddaliwr
mrup	microb
clif	helics
cloc	morffolegol
tfes	arlwywr
gjis	jîns
jren	aliniad
tlep	Cronfaddata
kcup	cwpon
glot	foltedd
glut	cyfrifiannell
srep	seiberofod
nwes	buddsoddwr
ksef	pelydr-x
bzis	fisa
frut	seilwaith
nyuk	Firefly
dyik	synhwyrydd
plec	sbleis
brom	bromin
plop	Palladium
zlik	silicon
flut	folt
ksop	cosmetig
gjun	meithrinperthynasamhriodol
kfok	faglu
hpof	popcorn
hzuk	sw
nyoc	connotation
jwak	ioga
brim	bariwm
kles	behead
mwam	yeah
fwik	tângwyllt
djas	jazz
dyim	sain
tsum	twngsten
drip	driblo
lyaf	alimoni
prom	rhaglennydd
nrup	mewnbwn
hfes	atblygol
rwaf	chrysanthemum
dlen	dogfennaeth
byas	brechlyn
fron	heroin
dluk	datgysylltu
dyun	diagnosis
flap	ffolder
kfet	catod
dlim	ideoleg
prek	parcio
syoc	ciplun
slus	hygyrchedd
nlos	disgynneb
mlen	seleniwm
pres	cortecs
hlof	sylffwr
nlek	arhynobrydperthnaseddmarciwr
gwot	maesawyr
mwip	imposter
klop	chwilodduon
kwom	cromiwm
hl6t	litr
nwec	serchhynny
glip	cylchol
nrop	cyflogres
crum	hormon
dlep	datblygwr
frot	dyllu'r
bwoc	sabotage
fwis	ffeministaidd
djok	cyfun
draf	moderneiddio
trum	eithafol
graf	algorithm
lwes	laser
mlem	milimedr
flen	flex
zlot	anod
swok	snuggle
klec	ciwediblino
pwim	rhanamser
htuf	tiwna
fyis	burfa
lwet	sensitifrwydd
mrem	prifgyfrifiadur
jwic	rejuvenation
droc	arddangoswr
clem	heliwm
dzik	dwyieithog
psem	plasma
hjom	cromosom
rwuc	trefnol
tyus	cyfanrif
klom	cilometr
hfos	ffacs
nwek	geneteg
jrap	sgriwdreifer
zwas	Blasyn
bwok	brocoli
dwap	adapter
syem	sbam
blek	fector
tlus	dacteg
pyif	amhenodol
cwoc	iawn
mrep	amper
hbem	fitamin
hxan	porthor
hxut	sybsideiddio
hk6m	cadmiwm
hxin	simultaneity
txin	titaniwm
kxin	kilo
klum	copulate
xlis	hourglass
hqak	cystrawennol
hxat	creadigrwydd
hxik	elyfr
hxas	gweithle
bxon	boron
dxin	inductance
hxit	hofrennydd
tlum	tellurium
txit	dyddiadcau
kxat	oxidize
hvik	alinio
nluk	analog
nyem	centimetr
hm6t	molybdenwm
hl6m	lithiwm
ht6t	amlgyfrwng
xlit	calorïau
ryop	robot
pxas	fferyllydd
hxak	gwaithCartref
lwif	locative
grim	logarithm
hqat	mantis
qlit	ecoleg
xlik	sophisticate
mlep	templed
hqit	ymbelydredd
kxim	cilogram
hxen	rhentiwr
hxot	gorfwyta
kyif	copier
fwet	radwedd
txet	is-set
hs6n	dilyniannol
hxet	eavesdrop
xrat	haircut
hqan	gronni
hr6t	iridium
bxat	lledband
dxet	nben-desg
hxis	esbonyddol
hxok	pencadlys
hxek	colli'ch
srem	Ceriwm
hp6t	partitive
pxik	partitiveachos
kxet	casét
pruk	archfarchnad
hvit	grymewyllys
xlin	offline
frip	amgryptio
hvep	talugormod
hxon	Cydamseru
kxit	gwneudymwyaf
hqin	seminar
tr6n	stereo
ht6n	clymwr
hvat	syddarygweill
sl6s	celsius
hn6n	neon
ts6t	goiawnamser
hvin	symleiddio
pxat	newsstand
myoc	modiwl
ps6s	pasta
bwek	briefcase
dlok	moethus
fraf	firewall
hr6k	artifact
txat	amserCinio
hqon	oregano
pxun	plwtoniwm
ks6n	gweithfan
slef	grisiausymudol
xrit	achubwrbywyd
hvut	gorlenwi
xrim	Ytriwm
hx6t	cynyddol
hqum	enwdefnyddiwr
hl6n	gwerthwyr
gron	argon
pxan	hyrwyddol
hvac	Peiriantgolchillestri
xlan	globaleiddio
txon	tonfedd
xrik	ailgylchu
hxap	backpack
hxac	Ail-ddechrau
xyat	hepatitis
cwep	PayCheck
hxos	Torus
txif	ffurfdeip
qlat	Realtor
txot	canolyrhydref
hxam	milligram
pxis	picsel
pwif	rhagolwg
txam	tantalum
myek	thermodynamic
hbop	Torrimewn
hqot	hydoddyn
xlic	cadairolwyn
gxit	hil-laddiad
hvan	ymladdtân
glim	gallium
pfop	popifyny
hzum	sirconiwm
xlon	llinellgymorth
qlin	aflinol
kxam	scandiwm
blim	beryliwm
kxik	ffurfweddu
nr6n	neuron
hpef	predicative
hruf	llwybrydd
kxan	ffactoraidd
hxic	canllaw
xlip	pêl-foli
dyek	dadfygio
hxop	wristwatch
qrot	niwtronau
nwip	niobium
hs6t	ystafellorffwys
grem	germaniwm
tles	metalloid
hp6k	prolativeachos
qyin	bioamrywiaeth
txak	gwrthfiotig
mlun	immobilization
txan	actiniwm
xran	gofodwr
dres	decompress
tr6t	allfydol
hk6t	wythawd
hxus	agoredffynhonnell
xlat	crackpot
mraf	marathon
ts6n	canolygwanwyn
ht6s	awtistiaeth
nlif	ionize
txut	notability
hm6n	allyrru
kxis	clipcelf
xrin	cael
xren	ailgyfeirio
bxak	nodtudalen
pfos	proymadrodd
hvis	feces
hd6n	enwadur
brum	ystafellfwrdd
hqis	chauvinist
hk6n	llunio
xyit	sifftallweddol
xyin	un-eiliad
hxun	bodoli
hvas	rolau
glok	blog
hvak	dolennog
pxit	ipcyfeiriad
hvet	nesaf-i
xram	safflower
hc6n	obviousness
qran	Koran
zyen	xenon
hqas	rhegi-mewn
bzas	ddidaro
hj6n	nadydyntyndynol
hnof	noncommittal
txas	gwneuthurwyr
hbum	bwdhaeth
ts6s	ffraeo
pxin	cynhwysion
hr6n	dogn
hxim	canolyrhaf
dxit	canolgaeaf
hxaf	cloddio
nlus	planhigiontŷ
txap	statwsbar
vrit	ghostwriter
kxak	ffwl-ogwmpas
bxin	dynol-gorff
hqik	cotlaw
hxes	hertz
hxif	hypnotize
xras	bobawr
pl6k	paragyfreithiol
dxat	myrbwylltra
hxip	gwrthgyrff
vrat	siorts
hqek	ail-lunio
qrit	polaredd
pxot	ôl-swyddfa
hxom	sothachbost
hqic	adolygydd
lwun	glas-jean
hp6n	aeddfedu
dxan	atodi
xrak	actorrôl
dxak	damwain
hven	cynwysyddion
mwap	comic-stribed
qlan	lliw-ddall
xros	dadwisgo
srom	ystafellarddangos
hc6t	sgwrsio
qrat	wynebiwaered
hn6t	ataliad
hqet	gwefan
fres	codiarian
froc	gofannu
xlak	hyperlink
vlat	volubility
dvan	glanio
gxin	concro
ryes	derbynnydd
kxot	cysylltwyr
xyan	delimitation
vlan	hysbysebwr
ryom	thoriwmatom
hluf	hen-oed
hquk	chwistrellu
lyum	Thwliwm:atom
tyem	terbiwmatom
hp6m	praseodymiwm
txic	cartrefdudalen
mros	modurwr
dyam	Rhodiwmatom
pc6n	treialrhif
nyos	mewnflwch
pyek	taflunydd
kxon	crypton
hxuc	achub
qrik	ganologachos
xwin	diffygprofiad
kxic	diffoddwr
hvot	siartllif
dxot	iogwrt
hqut	logallan
pxen	adrannol
drok	nodsbardun
flon	FfônSymudol
txos	canolllais
hqok	obliqueachos
xwik	clafachos
hx6n	cynhodiernal
txik	mynegai-bys
hqen	anfonwr
mlap	malware
hvun	perswâd
hvon	gwisgo-allan
vran	bost-cludwr
pfes	athro
pwip	bardd
hqam	gwaith-allan
gxat	cyfreithlondeb
ks6t	causative
vrin	recriwtiwr
kxip	clipbwrdd
sr6n	disapproving
vlit	gwerthusol
tyup	maestref
mrom	morpheme
xron	headphone
gxak	gostus
hrof	trojanceffyl
xlas	barlysu
dzet	ailaddurno
txac	ildio
xrot	hebeudefnyddio
txis	dotmatrics
syif	siunedau
xrac	syndod
brif	gwerthdeuaidd
dlos	foddolachos
txun	priodoleddau
dvat	drwg-tymer
psom	uniongyrchol
gjek	arall-os
nlem	uned-of-màs
qret	manwerthusiop
txip	triphlyg-bwynt
dlek	ynunigol
lwut	llif-gyfredol
dxis	ynddramatig
hs6m	caesiwm
vlak	railcar
hn6m	nerium
kxap	cardfwrdd
bxan	gadael
myem	misMai
gxik	sifilarhawliau
hxoc	lluAwyr
xrok	coworker
kr6t	screenshot
txok	ynawtomatig
hxep	sgrialu
srop	smartphone
pxak	capiaucloi
hk6k	werin-cerddoriaeth
hl6k	euler's-rif
pyom	poloniwmatom
xyam	thaliwmatom
hvic	goresgynnol
lyok	locativeachos
xlot	fflatiau
txen	ailddatganiad
kxac	counterattack
qrak	strikebreaker
hbup	pwllNofio
txuk	-Cylchedbyr
tsef	lleihau'nraddol
bxit	wellu
ksem	darllenynunig
byim	rwbidiwmatom
hvam	fanadiwmatom
lw6n	Lanthanwm:
frum	fflworinatom
nyom	neodymiwm
mlom	multalrhif
kxas	personoli
xret	terabeit
hs6k	chwiliopeiriant
frus	cyrydu
gxan	galaethrhyw
vlas	vocalizations
glet	nwy-bedal
hvim	Rhedeg
bxip	bitmap
qrin	serenrhyw
bvak	abessiveachos
pxon	ddimargael
dvik	adessiveachos
dvek	agentiveachos
hlef	asiantsbardun
kwek	iachos
kxen	cyffredinrhyw
ht6m	dyfyniadffurflen
tsuf	transrhifolyn
hf6n	dirwyo
tc6t	uniongyrcholgwrthrych
gvik	ergativeachos
gxon	darnio
ksep	derbynnydd
vyin	ffilm-theatr
pyos	goddefolllais
hnef	cyfyngedigferf
xwit	cynraddgwrthrych
hqim	gnomichwyliau
jlak	cyffredinoli
vrik	terfynolgronynnau
qyan	dychmygol-uned
kxaf	cyflymder-of-golau
xyic	gwe-rwydo
qyit	ynfeirniadol-bwynt
hvek	evitativeachos
bvik	subessiveachos
hzes	medduachos
prus	cyfrifiadur-firws
ples	prosesydd
pxif	heddluswyddog
dvak	lativeachos
brun	teithiol
tsi_k	antessiveachos
tyum	rutheniumatom
vyak	adferfolachos
pxim	PrifWeinidog
syum	strontiwmatom
sy6n	suspiciousness
hy6n	animeiddiorhyw
pxac	empathetigllawenydd
vlin	cerbydrhyw
qwin	mwynaurhyw
hr6s	atgyfeirio
tf6n	arlliw
xris	defnyddiwrrhyngwyneb
hw6n	rhegi
xlen	llafarnoun
pyec	taenlen
vlim	rhithwircof
bres	gairprosesydd
hqip	cloudcyfrifiadura
vlic	rhithwirpeiriant
pfam	spammer
dyap	ailiaith
txek	nfed-gwraidd
dxen	datamwyngloddio
byip	busnesperson
hs6c	hunanhyder
txim	cyfeirio
hb6t	newidodigwyddiad
hdem	parthenw
dxon	gwahanoldigwyddiad
lwaf	fflachgyriant
sl6t	crastinalamser
xyik	disghyblygdisg
fyif	atblygolllais
bvin	bydysawdrhyw
hm6p	motherboard
tfip	transitiveferf
jlen	ardalrhyw
xrap	streipiog
tc6n	ymchwilrhyw
sl6n	artistigrhyw
xrek	clafsbardun
xwan	haniaetholrhyw
dxif	fideogynhadledd
dyip	anuniongyrchollleferydd
zrek	exocentricachos
hvuk	gangreu
xwat	gorffennolperfective
hr6m	rheniwm
txaf	sbarduno
hmef	amhersonolferf
tx6t	testungolygydd
txes	arycydnoun
bvat	cam-drin
bvuk	absolutiveachos
ry6t	radian
vlis	rhithwirrealiti
qren	planedolrhyw
gvak	gramadegol-achos
bxok	moel
mrum	cyfrifiadurrhaglen
ps6t	gweithredusystem
hfom	ffonem
tlem	darllenynunigcof
pwam	spyware
kfif	craiddbenefactive
qwit	rhesymoledd
nlaf	Gosod
nwok	cysylltiadolachos
dzas	dissatisfy
swuk	raddeithafachos
syos	crynhoi
kr6n	trydanarhynobryd
dvin	difywydrhyw
pxom	propositivehwyliau
vris	cilyddolllais
rwos	aerosol
dr6t	gwrthdynnwr
ht6k	telathrebu
slaf	cymdeithasolrhwydweithio
lyuk	olynolcymal
qras	superiors
ty6n	terfynell
gwet	cynbohirdyfodolamser
hp6s	applicativellais
tsof	antipassivellais
ht6p	continuativeagwedd
hn6f	necessitativehwyliau
pfip	goddefolrhangymeriad
glap	baroffer
sy6k	dirfodolcymal
qyat	luminousdwysedd
hy6t	gramadegol-gwrthrych
vyan	ynganu
sluf	singulativerhif
dvit	gormodolhyd
qyak	senglgweithreduferf
bzik	ffiseg
xlet	raddeithafradd
hqap	ynbresennolrhangymeriad
qwat	swmosylweddau
qyik	cysylltiolgronynnau
sr6t	supercritical-hylif
hfem	epentheticmorpheme
tl6t	belldyfodolamser
mrif	meicroffon
pcuk	postpositionalachos
tfim	arhapmynediadcof
fwim	ethidium
ly6t	allocutioncytundeb
hvap	sgroliobar
hfep	frequentativeagwedd
bvan	dosbartholrhagenw
fyun	felybo'rangen-pwynt-rif
xyas	ganddileu&#39;r
hvif	berf-ddodiad
xyis	gorffennolgoddefolrhangymeriad
tl6n	canologprosesuuned
tfok	locativecyfeiriadolachos
qwan	ynamlgofynnwydicwestiynau
