hnit	kwekusebentisa
hcem	ukuzamazamakomhlaba
hbos	laboratory
nrek	isisebenzi
ryim	isigqi
nyic	humusha
dwas	embassy
rwok	okuchukuluza
kram	ukungakwazi
ksim	kwemizwadeclarative
clok	chocolate
pcec	nelungelolokuzibonela
nyis	unkom&#39;idlayodwa
tyoc	Kwaziqondanelanjeukuba
grak	bhala
zlat	igilavu
hjuk	siguqe
trif	geography
djit	ehlelekile
pson	undefined
mwis	ukutshalwakwezimali
cwec	lwamazwi
hdek	wokuziphilisa
blik	hawk
sloc	Psychology
brap	scrap
jlat	pirate
dros	ulapha
slam	uhlobolwenhlanzi
pwun	Pudding
gwik	magnetic
pcop	pump
myen	ngokufanayo
ksen	oxygen
mrap	induna
tfot	isitifiketi
ksus	cluster
trok	mpendulo
tloc	rừng
zyan	oar
nlun	Ngenangemvume
hlop	isibonakude
jlin	isipelingi
lyut	ezinamafu
hsof	Surf
fyik	whiskey
klet	kuqhathaniswa
hwof	willow
hlum	ikamela
myet	amateur
klis	atihambitodvwa
hbaf	biography
gwac	imbongolo
hwum	amahemuhemu
pwik	ngombono
pron	pro
myes	nyangazonke
mwen	undefined
kfic	eholidini
klek	ukuchofoza
cwon	eyisiyingi
lyak	nokunwebeka
kwon	isichazamazwi
hjam	itshweba
rwon	rainbow
crip	ngalokhu
zwan	sokwenzeka
srok	womhleli
craf	ukhoporali
tlok	tank
brip	butterfly
tfap	ishadi
jwat	twin
pros	yokusebenza
psun	bika
clet	undefined
hbus	bamboo
dyas	nomthengisi
klun	yokuzuza
jlit	sithathwengokuhlanganyelwa
hdom	nightmare
kron	carbon
hzam	jam
cyot	umlaleli
hmem	Museum
lwam	alphabet
fras	chitha
psoc	Punch
hgum	gum
brek	ukubopha
glit	ukuzinza
frun	bola
gris	nolaka
mroc	friction
bzit	spider
plut	izambane
glac	ukuhaha
gzac	nande
prun	spin
jlet	ikhalenda
nyim	lokuphakamisa
tlos	trillion
slut	isaladi
fwit	kwemizwangoyebo
pyen	izicelo
nlon	okuzisholo
dren	khombisa
drun	ukungeneliseki
cyok	Ingaseiphendulengokungabinasithakazelo
hfop	football
ryac	ubambiswano
gzin	iphayona
hgip	iklabishi
tyet	wezemidlalo
hdof	ideophone
hwup	olungenakuqhathaniswa
lwek	isigwedlo
syec	Senator
jyak	angazamukela
mlim	ant
fwic	ngempumelelo
gzit	abakhulelwe
blas	ukuncikakokuthile
jrin	nsukuzonke
gwak	iqakala
drik	Okumangazayo
prif	variable
jwit	ukwehluka
krip	ukucwaswa
ryot	undefined
nwut	khonaemgwaqweni
kcif	ngenkuthalo
jrak	frog
twek	icalaexessive
psot	isihlawulelo
pfon	sponge
sluk	squirrel
nlim	kwemizwairrealis
ksaf	ukusweleka
glak	Volcano
plen	zilingana
kfaf	isikhafu
kyon	ukuxhaphaza
jlik	geological
psop	passport
kfis	lesosikhala
fyon	ziyezwana
nram	abaziphethekabi
hbuk	bhisikidi
gras	ngehlelwayisiyezi,
hyos	nexhala
flim	ifilimu
plet	tablet
rwam	atom
blis	vanilla
zlit	aids
fyut	fastidious
crim	pyramid
hjif	ngalokungekhoemtsetfweni
crif	amahloni
lwap	lute
tyon	isayensiyezinkanyezi
mrim	Maze
drut	okuchazayo
nrim	scholarship
kruc	ufudu
kwam	umeluleki
jrik	cricket
dlut	lumelela
pyot	ijuba
dyon	lithathelwe
prap	opharetha
bzin	ibheji
tyek	triangle
trec	umphathisikhwama
nron	hydrogen
pyet	iphrinta
tsok	binda
zyin	chronic
slek	ibhayisikili
jyin	engineering
ryas	yokudlulisela
zrak	Ukuvuselela
nyas	dancer
gric	ukufuduka
zlak	dluzula
tces	tennis
hjun	ezinomoya
twen	aluka
kyet	ngalendoda
gwit	emgogodleni
kyot	kuzithinta
fwin	imvamisa
tfuc	kuwusongo
dlet	isiqondisi
pfik	sazi
bjet	isabelomali
trek	isu
kros	asebenzangebhethri
gjit	sikelo
gwic	switch
frik	theory
tluc	ithawula
pruc	patrol
glic	yeqhwa
krun	ukuphelela
bjin	sibikezelo
tlaf	iqhaza
tfet	nomakhi
bras	lateral
dwik	ummangalelwa
clec	qeda
cres	chess
tcef	okusamathunduluka
tcom	siyakhubeka
nyot	umhumushi
tyok	iloli
cyip	odlulele
grot	lwesinaphi
bris	wireless
nlam	endalini
slif	ngesisefo
hgos	ukugqwala
swoc	umtapowezihlanganisi
jyat	ayinamali
slum	islam
hjes	Ukubalwakwezilwaneokwenziwa
dzat	tiptoe
slun	limise
nwot	inqubekelaphambili
gyic	ukulele
pfas	nomaukuchemakuzo
zyik	zinc
blen	shiny
hyem	Elm
hnep	kuncibilika
nyut	wathungela
ryam	isabizwanamarker
clim	spice
jret	nokucija
tfon	bakugcone
jwac	java
hrep	iresiphi
dyac	franchise
myip	imitha
rwis	kwemingceleyobuhlanga
hkem	inkanyezienomsila
nwon	innovation
zwin	ban
dyis	medieval
mrec	undlunkulu
fyot	umbhalowaphansi
mlon	nesilinganiso
pfis	kokuqiniswa
rwot	orbit
hfok	ukonga
glof	igalofu
zron	zero
hzip	zip
hwom	engenakhaya
bjic	ukuhlafuna
pcim	ukugcwalisa
hjip	chip
bwac	ukuzamula
mlos	imvukuzane
mrip	ukhamba
bron	embryo
ksoc	imaliebanjwayo
cyum	nemvubelo
jyan	ijagoni
plim	ipulamu
mwet	emathuneni
ryet	graduate
glik	uchelela
plap	Capitalist
tsif	kuyaqina
gyak	ushaka
djon	ezenzakalelayo
nwun	ogcina
cles	Namaqiniso
dris	ngokuya
hkef	cafe
blus	ambulance
blap	wallet
bjak	undefined
klim	umhlibitho
gyac	usosayensi
jyit	equanimity
dzit	namaqiniso
bwak	ongaphandle
dyot	radio
bwon	emabhontjisi
fris	informal
klut	zicabangela
tfek	Steak
nrok	nitrogen
zyat	nsingo
bram	banyenyeze
ryis	ezethula
nlip	hlaziya
nros	eqhathanisa
hcof	khumulaizingubo
tfif	incentive
kroc	furrow
hdum	baphumaebuJudeni
pses	umamukeli
plok	umphelelisi
lyet	lens
pwek	icalapegative
kfas	umdlavuza
pwen	pawn
nrun	isikhumbuzi
clek	ukuvuza
pcif	ukulwelwa
glas	yinkimbinkimbi
zwit	ikhuluma
kces	nokwaneliswa
crem	tekutsengisa
grap	grab
kwip	angenele
dyut	Isaphulelo
crus	isigabasabaphathi
gyet	jade
gram	snarl
kyip	isibankwa
nyet	pad
crop	waterfall
glon	engamalitha
mrok	umiyane
fluc	eziqephuzayo
dwic	ukuphambuka
slec	wamazwe
srec	undefined
blut	zibanga
myok	KaMose
tlek	ipulaki
nruk	ezithathelwanayo
nwoc	undefined
bjut	ezimfushane
hges	ukukhulelwa
twoc	zokudla
kyos	lamaKhomanisi
mrek	mangaza
clip	yokuzisola
pwok	icalaprosecutive
dwot	umashiqela
zyac	eqine
jlic	satellite
slop	slipper
ryip	ezilinganiselweze
psim	cisheukephi
byet	abangasebenzi
cyop	umdlalo
rwun	umbandela
blop	isibani
syok	umsekeli
klos	chlorine
lwot	chloride
byic	amabhaktheriya
lyik	okunamathelayo
blok	begazi
jlac	azenze
bret	ibhayithi
krif	uketshezi
blet	ballet
nruc	umchamo
tsus	ugaliki
dyak	abasesigabeniesiphakathi
tcem	nezizenze
cyoc	eziyinselele
trep	ijikijolo
dlun	ukungcoliswa
hlup	i-albhamu
hbep	baseball
praf	ukudunwa
pwis	esithi
grek	egalaji
kruk	ukuzikhohlisa
hfof	phosphorus
rwut	ezihlelekile
myam	sokuzivocavoca
krec	crane
jras	usonkontileka
zrik	azise
blam	ballroom
klip	ingcweti
hwef	ezingakhokhiwe
zlac	ibhanana
gret	generator
lwuk	ubambo
nyek	nickel
blos	ibhasi
sles	ngomshinikumhloliwezincwadika-
tlif	Tile
kses	isoseji
mwot	utamatisi
lyot	auto
tsom	potassium
brut	virtual
djap	algebra
hjok	abajwayelekile
kfen	imiqondo
pcok	optical
bzut	ukuwushintsha
syek	ukutlhogekakwemisebenzi
mruc	isibungu
bwas	isiphequluli
klif	calcium
rwet	akudesikhatsilesengcile
srif	mlandoesishubile
hwem	spectrum
syom	sodium
tyos	trustee
jyic	kalowo
hguk	uhawukele
dwun	umbimbi
swip	spike
tlec	umkhaza
blaf	ukudlwengula
tsem	ukungakholelwakuNkulunkulu
mloc	qapha
gyot	okunemibandela
trop	probe
rwap	njalongekota
hjep	ubulili
pyim	platinum
dlon	inomboloombaxambili
pcep	iphaphu
twuk	scouring
tyec	ithegi
syup	super
trom	Sibona
nyip	bangakini
glis	uphethiloli
gjik	sezinso
hjos	zingagadiwe
hjuc	ngempango
swek	undefined
psek	arsenic
twok	kwezibalo
tsep	intethe
slos	sezenhlalo
nwim	sezinzwakwemizwaebufakazini
tlop	kwendwangu
trus	impikiswano
pwot	leash
djot	lwenzika
nloc	elimile
mwon	Mandarin
hjek	jockey
crom	abambisane
myon	inyumoniya
twec	likhona
ryek	rocket
dlic	idividendi
kwet	isikeyiti
bwen	kukhathazeka
plon	nesiqephusezweesisodwa
syon	ngikhefuzele
djis	digital
byut	unondindwa
hyep	leso
dwon	idayagonali
byis	esesimwenisokungaphili
brec	ubudlelwanephakathikokukodwanokuningi
cyec	thimula
hwop	watt
clus	hilarious
kfun	kuhlale
nwum	Idndizamshini
fyim	umbaleki
cwos	Shuttle
tfoc	undefined
pwon	amaprotheni
sraf	undefined
hbom	ebuhlanzweni
gyen	isakhisofuzo
drim	freshman
trem	accoutrements
tsup	chitha
slok	kwabantu
kwoc	Ugalonci
bwam	Umvoti
mlok	ukuhamba
kyen	zesifunda
hmop	motionekukhuphukeni
rwek	zokuhlola
kfup	cube
grok	isaqathe
drap	undefined
lwis	yamangqamuzana
ksuc	iMenejaexhumanisayo
tsop	ziyanuka
kyok	ikhukhamba
nroc	orgy
jlot	kuphela
psof	phosphate
hgif	umxhwele
kfim	ane-alikhali
psos	yokuzijwayeza
pfen	yokuqinisekisa
kcom	sezomnotho
krom	ukhefana
tluk	wriggle
hyom	iodine
nwuc	motionekwehleni
gjac	yisisu
pcom	pod
dzic	umklami
grun	ukuqhosha
dzot	donor
hzek	manganese
kfot	ikhibhodi
jlas	alithembekile
lyim	elite
jyen	yen
pcaf	abakaki
rwip	lombhoxo
blip	bible
kyoc	causation
lyon	isilonda
flis	inflected
nrif	zidla
kfam	quantum
swes	ijezi
lwon	ezikholelwaekuziphendukelenikwemvelo
drec	asikeizidumbuzabantu
gjap	spa
lyec	lwento
tyom	antimony
pwuk	icalasuperessive
flaf	alpha
myim	mzimba
pcek	ukuthumba
bjac	laphokudayiswakhonautshwala
bzac	unciphise
bzak	Sock
twes	ithelevishini
dwut	documentary
ksom	yonke
lyis	namahlathi
lwim	aluminium
ksok	nezinkanyeziezihambelananosukulomuntu
sruc	zihambisane
dlif	dolphin
byik	killer
tfec	zokubhala
hjaf	silwaneesincelisayo
ryok	protocol
dwis	dioxide
jlon	ikholoni
brus	ubushiqela
gjak	galaxy
lyip	emitholampilo
ryem	Radium
href	rarefied
prok	esiqandisini
slep	undefined
dret	kuphindelelwa
kluk	bemivubukulo
dlis	idiosyncrasy
kfip	engamukeleki
mlec	massage
pfif	sebhithi
nrec	sezinzwa
pfet	Ipheshana
hzoc	umsuka
dlam	kuhle
nlec	Ukufundwa
kluc	esihlwabusayo
dyet	sedan
tyif	umenziwa
krus	ngathothobala
nluc	UhleloOluvumelanaNesixazululinkinga
lyun	ion
zrot	ayiswe
ksif	amanga
psif	ekushayweni
crup	ukugqagqana
fret	othole
grut	phendukezela
ksec	afundanaboesikolweni
jric	uhambo
mrop	microwave
srus	wokukhipha
gyas	wezinwele
floc	temdzabu
plek	capillary
nwop	izibunu
nrom	isilawuli
twos	ubuphekula
lwok	isiqubulo
dwet	ngokuhambakwesikhathi
slem	sublimate
grip	hlupha
gwas	Hewu
kwok	ayibe
gwon	oat
hdop	motionumfula
glam	ingquza
bwot	sezinkomo
bren	wamathumbu
byot	video
bjik	yokuduba
kwim	Imibuzo
cwek	hockey
grif	abashokobezi
hgem	magnesium
hyes	ukuqwashisa
fram	ekhemisi
nwos	undefined
ryap	uhlelekabusha
cwim	nokwethenjelwa
klep	kelp
psec	buyisela
djic	emhlabeniwonke
kfut	ingabuyangangesikhathiesibekiwe
crep	hamburger
frim	ifayelaechazaifomu
gjas	okhela
hdef	debit
ryum	uranium
pluk	ukuhlola
krop	Ukudidiyela
nraf	abakhokhibentela
tyes	edidiyele
plip	opine
hgom	gamma
hgus	Coefficient
cwuc	heater
zret	susa
nles	umhlaziyi
trof	ngadingiumenziwa
hmof	mall
hzim	bismuth
dzac	Diner
psok	iposikhadi
blon	convergence
djet	digress
ksum	shareholder
mrup	bacterium
clif	Helix
cloc	morphological
tfes	Umpheki
gjis	jeans
jren	ukulumbana
tlep	database
kcup	isigqebhezana
glot	voltage
glut	wokubala
srep	zingosi
nwes	Abatshalibemali
ksef	xray
bzis	visa
frut	ingqalasizinda
nyuk	Firefly
dyik	detector
plec	Splice
brom	uxhumanolokudlulisa
plop	palladium
zlik	silicon
flut	volt
ksop	yezimonyo
gjun	Ukucijaingane
kfok	ingwici
hpof	I-Popcorn
hzuk	zoo
nyoc	linikezaumqondo
jwak	yoga
brim	bariumyombala
kles	ikhanda
mwam	yeah
fwik	firework
djas	jazz
dyim	audio
tsum	tungsten
drip	dribble
lyaf	ukondlaobushadenayeemuvakwesehlukaniso
prom	uMklami
nrup	okokufaka
hfes	kunengi
rwaf	Chrysanthemum
dlen	imibhalo
byas	wokugoma
fron	i-heroin
dluk	unqamulekwi
dyun	ukuxilonga
flap	ifolda
kfet	cathode
dlim	imibonoyabantu
prek	yokupaka
syoc	isifinyezo
slus	lungeneke
nlos	lupholavutfondzaba
mlen	selenium
pres	cortex
hlof	isibabule
nlek	zamanjeukuqondanamarker
gwot	sezindiza
mwip	imposter
klop	iphela
kwom	chromium
hl6t	ilitha
nwec	Nomakunjalo
glip	eyindilinga
nrop	kwabasebenzi
crum	i-hormone
dlep	Umthuthukisi
frot	perforate
bwoc	ukuketula
fwis	besifazane
djok	conjugate
draf	ngeyesimanjemanje
trum	ziyingozi
graf	algorithm
lwes	laser
mlem	milimitha
flen	flex
zlot	anode
swok	Snuggle
klec	undefined
pwim	okwesikhashana
htuf	tuna
fyis	refinery
lwet	uzwela
mrem	mainframe
jwic	rejuvenation
droc	yokubonisa
clem	helium
dzik	ngezilimiezimbili
psem	plasma
hjom	chromosome
rwuc	kuhlelekakwetinombolo
tyus	lwenombolo
klom	ikhilomitha
hfos	ifeksi
nwek	ngezakhizofuzo
jrap	ukufakwakokumqokakuphela
zwas	appetizer
bwok	i-broccoli
dwap	-adaptha
syem	ugaxekile
blek	vector
tlus	iqhinga
pyif	okungacacisiwe
cwoc	alright
mrep	ampere
hbem	vitamin
hxan	mnyango
hxut	xhasa
hk6m	cadmium
hxin	simultaneity
txin	titanium
kxin	undefined
klum	copulate
xlis	hourglass
hqak	syntactic
hxat	lokusungula
hxik	ibhukue
hxas	emsebenzini
bxon	boron
dxin	undefined
hxit	helicopter
tlum	tellurium
txit	Umnqamulajuquwama
kxat	oxidize
hvik	ngivumelanise
nluk	analog
nyem	isentimitha
hm6t	molybdenum
hl6m	lithium
ht6t	multimedia
xlit	calorie
ryop	robot
pxas	wemithi
hxak	umsebenziwesikole
lwif	locative
grim	logarithm
hqat	Mantis
qlit	bonhlobo
xlik	sophisticate
mlep	ithempulethi
hqit	radioactivity
kxim	kilogram
hxen	renter
hxot	udla
kyif	imishiniyokukopisha
fwet	freeware
txet	subset
hs6n	ezilandelanayo
hxet	eavesdrop
xrat	ukugundaizinwele
hqan	impound
hr6t	Iridium
bxat	bandwidth
dxet	ideskithophu
hxis	lomchazi
hxok	headquarter
hxek	dukisa
srem	cerium
hp6t	partitive
pxik	icalapartitive
kxet	cassette
pruk	Isuphamakethe
hvit	amandla
xlin	okungaxhunyiweku-intanethi
frip	ukubethela
hvep	overpay
hxon	ukuvumelanisa
kxit	wandise
hqin	seminar
tr6n	stereo
ht6n	fastener
hvat	oluzayo
sl6s	Celsius
hn6n	neon
ts6t	isikhathisangempela
hvin	lula
pxat	newsstand
myoc	module
ps6s	pasta
bwek	lalesosikhwama
dlok	Deluxe
fraf	firewall
hr6k	mshini
txat	sekhefu
hqon	oregano
pxun	plutonium
ks6n	workstation
slef	izitebhisiezihambayo
xrit	Umtakuliwokubhukuda
hvut	overcrowd
xrim	yttrium
hx6t	augmentative
hqum	igamalomsebenzisi
hl6n	abadayisi
gron	argon
pxan	asetshenzisiwe
hvac	Umshiniwokuwashaizitsha
xlan	ngokuhwebelanakwembulungayonke
txon	nombono
xrik	recycle
hxap	ubhaka
hxac	ukuqalisaphansi
xyat	ukushakwesibindikohlobo
cwep	Iholo
hxos	Torus
txif	typeface
qlat	Realtor
txot	Maphakathinawoekwindla
hxam	milligram
pxis	pixelelingu
pwif	preview
txam	tantalum
myek	thermodynamic
hbop	Ngena
hqot	solute
xlic	ohambangesihlaloesinamasondo
gxit	Ukuqothulwakohlanga
hvan	nemililo
glim	gallium
pfop	vela
hzum	zirconium
xlon	hotline
qlin	nonlinear
kxam	scandium
blim	beryllium
kxik	ulungiselele
nr6n	namangqamuzanaezinzwa
hpef	yekwenta
hruf	router
kxan	ngokwesimo
hxic	siqondiso
xlip	volleyball
dyek	debug
hxop	Iwashi
qrot	neutron
nwip	niobium
hs6t	lwegumbi
grem	germanium
tles	metalloid
hp6k	icalaprolative
qyin	izinhlobonhlobozezintoeziphilayo
txak	antibiotic
mlun	immobilization
txan	actinium
xran	astronaut
dres	decompress
tr6t	ezisemkhathini
hk6t	OCTET
hxus	umthomboovulekile
xlat	crackpot
mraf	marathon
ts6n	springmaphakathino
ht6s	autism
nlif	ionize
txut	notability
hm6n	likhipha
kxis	ukwakhiwakwesizawulwa
xrin	othola
xren	kabusha
bxak	ibhukhumaka
pfos	ibinzanapro
hvis	endleni
hd6n	Iningi
brum	eboardroom
hqis	chauvinist
hk6n	atakheleluhlu
xyit	ukhiyeshift
xyin	yesibilieyodwa
hxun	imbuyangothi
hvas	izindima
glok	ibhulogi
hvak	uhambahamba
pxit	ikheliip
hvet	eduzene
xram	safflower
hc6n	obviousness
qran	iKoran
zyen	Xenon
hqas	nifunge
bzas	blase
hj6n	nonwomuntu
hnof	nonremittal
txas	abenzi
hbum	Buddhism
ts6s	nokuxabana
pxin	izithako
hr6n	isabelo
hxim	kwaphakathiehlobo
dxit	Maphakathinawoebusika
hxaf	gubha
nlus	unesitshalo
txap	umudwaochazangesimo
vrit	ghostwriter
kxak	foolaround
bxin	umzimbawomuntu
hqik	raincoat
hxes	hertz
hxif	hypnothize
xras	ngehora
pl6k	yezomthetho
dxat	rashness
hxip	lwamasoshaomzimbaoluvame
vrat	izikhindi
hqek	reshaping
qrit	polarity
pxot	ehhovisileposi
hxom	iposielingahlonziwe
hqic	umbuyekezi
lwun	bluejean
hp6n	nokuvuthwa
dxan	axube
xrak	indimaumlingisi
dxak	engozini
hven	iziqukathi
mwap	stripyamahlaya
qlan	umbalablind
xros	undressing
srom	showroom
hc6t	chatting
qrat	kubhekephansi
hn6t	okusithiyayo
hqet	website
fres	imali
froc	UKWAKHA
xlak	oxhumano
vlat	volubility
dvan	ngehleesitimeleni
gxin	enqoba
ryes	receptionist
kxot	izixhumi
xyan	ukurhunyezwa
vlan	umkhangisi
ryom	cindezelanjaloatom
hluf	ukuguga
hquk	ukujova
lyum	thuliumatom
tyem	terbiumatom
hp6m	praseodymium
txic	ikhasilesikhwamasasekhaya
mros	umshayeli
dyam	steelatom
pc6n	inombolokwecala
nyos	ibhokisilokungenayo
pyek	wokudlala
kxon	Krypton
hxuc	Ngokukhulula
qrik	icalacentric
xwin	nalwazi
kxic	isicisha-mlilo
hvot	ukusebenzangempambano
dxot	yogurt
hqut	Phuma
pxen	yomnyango
drok	umgomoinhlamvu
flon	umakhalaekhukhwini
txos	izwimiddle
hqok	icalaetshekile
xwik	icalaisiguli
hx6n	prehodiernal
txik	umunwewokukhomba
hqen	umthumi
mlap	malware
hvun	suasion
hvon	uzokhathala
vran	okuthwalaimeyili
pfes	uprofesa
pwip	imbongi
hqam	Zivocavoce
gxat	semthethweni
ks6t	causative
vrin	recruiter
kxip	isiqeshanaibhodi
sr6n	disapproving
vlit	kuhlola
tyup	suburb
mrom	morpheme
xron	embobeni
gxak	ebizayo
hrof	iThrojanihorse
xlas	ikhubazeke
dzet	redecorate
txac	ukuzinikela
xrot	engasetshenziswanga
txis	dotmatrix
syif	siamayunithi
xrac	Akumangazi
brif	Inanikanambambili
dlos	simokwentaicala
txun	izichasiso
dvat	nesififane
psom	isandlakuqala
gjek	futhiuma
nlem	iyunithiofmass
qret	isitolo
txip	iphuzukathathu
dlek	ngabanye
lwut	flowzamanje
dxis	ephawulekayo
hs6m	cesium
vlak	railcar
hn6m	netium
kxap	amakhadibhodi
bxan	Esemuka
myem	ngenyangakaMeyi
gxik	amalungeloezakhamuzi
hxoc	airforce
xrok	engangisebenzanaye
kr6t	skrini
txok	ngokuzenzakalelayo
hxep	skateboard
srop	smartphone
pxak	i-CAPSLock
hk6k	Folkumculo
hl6k	eulersinombolo
pyom	poloniumatom
xyam	thalliumatom
hvic	elihlasele
lyok	icalalocative
xlot	amafulethi
txen	umkhuba
kxac	balwe
qrak	strikebreaker
hbup	Indawoyokubhukuda
txuk	shortcircuit
tsef	tapered
bxit	hostweb
ksem	Fundakuphela
byim	rubidiumatom
hvam	vanadiumatom
lw6n	lanthanum
frum	sasekhaya-athomu
nyom	neodymium
mlom	inombolomultal
kxas	ngezifisoi-
xret	itherabhayithi
hs6k	searchengine
frus	nemibieyonakalisa
gxan	galaxyubulili
vlas	ngokukhala
glet	gasisinyathelo
hvim	isikhathisokusebenza
bxip	bitmap
qrin	inkanyeziubulili
bvak	icalaabessive
pxon	akutholakali
dvik	icalaadessive
dvek	icalaagentive
hlef	ejentiinhlamvu
kwek	icala
kxen	ubuliliezivamile
ht6m	ifomuukulandisa
tsuf	inanitrans
hf6n	fining
tc6t	intfongqo
gvik	icalaergative
gxon	kwehlukana
ksep	yokwamukela
vyin	I-movietheater
pyos	izwiyekwentiwa
hnef	Isenzoesihlobenesenhloko
xwit	Inhloso
hqim	kwemizwagnomic
jlak	njeokungaqondile
vrik	kuyizinhlayiyanafinal
qyan	iyunithiimaginary
kxaf	ijubanelokukhanya
xyic	ubugebengubokwebaimininingwaneebucayi
qyit	sikhathiesibucayi
hvek	icalaevitative
bvik	icalasubessive
hzes	icalawayenazo
prus	computervirus
ples	processor
pxif	iphoyisa
dvak	icalalative
brun	babuka
tsi_k	icalaantessive
tyum	rutheniumatom
vyak	icalatandziso
pxim	Ungqongqoshe
syum	Sesithombeatom
sy6n	suspiciousness
hy6n	vusaubulili
pxac	injabulonozwela
vlin	imotoubulili
qwin	amamineraliubulili
hr6s	yokudluliselwa
tf6n	toner
xris	interfaceyomsebenzisi
hw6n	ukuthukana
xlen	ibizolwamazwi
pyec	spreadsheet
vlim	inkumbulovirtual
bres	ukusebenzaamagama
hqip	ngamafu
vlic	ewumshini
pfam	spammer
dyap	ulimilwesibili
txek	izimpandeNth
dxen	yezimayiniidatha
byip	ibhizinisiumuntu
hs6c	ukusiqhenya
txim	ebhekisela
hb6t	ushintshoizinkundla
hdem	igamalesizinda
dxon	isenzakaloesihluke
lwaf	flashdrive
sl6t	crastinalesishubile
xyik	iflophidiski
fyif	izwikunengi
bvin	umkhathiubulili
hm6p	umbadlana
tfip	umenziwanesenzoesithi
jlen	yakithiubulili
xrap	ezimthende
tc6n	ucwaningoubulili
sl6n	ubuliliwobuciko
xrek	inhlamvuisiguli
xwan	ubuliliabstract
dxif	videoconference
dyip	inkhulumongconenkhulumombiko
zrek	icalaexocentric
hvuk	okususa
xwat	perfectiveesidlule
hr6m	rhenium
txaf	libangelwa
hmef	Isenzoesihlobeneengenabuntu
tx6t	umhleliwombhalo
txes	ibizocollective
bvat	Ukuphathakabi
bvuk	icalaabsolutive
ry6t	radian
vlis	esingokoqobovirtual
qren	ubuliliamaplanethi
gvak	icalaphakathikwezakhizolimi
bxok	Bald
mrum	uhlelolwekhompyutha
ps6t	isistimuesebenzayo
hfom	phoneme
tlem	fundainkumbulokuphela
pwam	spyware
kfif	benefactivecore
qwit	rationality
nlaf	ukufaka
nwok	icalaassociative
dzas	dissatisfy
swuk	icalaokungekhomuntuongalifinyelela
syos	kufinyeta
kr6n	Amandlakagesi
dvin	ubuliliezingaphili
pxom	kwemizwapropositive
vris	izwiokuhambisanayo
rwos	sezilonda
dr6t	distractor
ht6k	ezokuxhumana
slaf	socialnetworking
lyuk	umshwanangokulandelanakwazo
qras	abaziphethe
ty6n	teminal
gwet	Ngokusheshalesitako
hp6s	izwiapplicative
tsof	izwiantipassive
ht6p	isicicontinutive
hn6f	kwemizwanecessitative
pfip	esithiyekwentiwa
glap	indawoyamathuluzi
sy6k	umshwanaekuphileni
qyat	ngegaleloelikhanyayo
hy6t	intfolwetakhitelulwimi
vyan	ukuphinyiselwa
sluf	inombolosingulative
dvit	ubudebesikhathingokweqile
qyak	singleisenzoeliyisenzo
bzik	physics
xlet	ngezingaokungekhomuntuongalifinyelela
hqap	samanjeesithi
qwat	liphansi
qyik	kuyizinhlayiyanazezinzwa
sr6t	uketshezisupercritical
hfem	morphemeepenthetic
tl6t	Ngokuzayoakudeesishubile
mrif	microphone
pcuk	icalapostpositional
tfim	uHleloLwesiqondisiKungenaEsilula
fwim	ethium
ly6t	isivumelwanoallocutive
hvap	ibhaumqulu
hfep	isicifrequentative
bvan	isabizwanawokusakaza
fyun	ezintantayoInombolophuzu
xyas	lokusula
hvif	Isenzoesihlobenebethela
xyis	esithiyekwentiwaesidlule
tl6n	centralprocessingunit
tfok	locativeicalaohlangothini
qwan	imibuzoejwayelekileukubuzwa
