hnit	инфинитив
tcom	спотыкаться
nyot	переводчик
tyok	грузоваямашина
cyip	превосходящие
grot	горчица
bris	беспроводной
nlam	аукцион
slif	сито
hgos	ржавчина
swoc	неустойчивый
jyat	банкрот
slum	ислам
hjes	перепись
dzat	нацыпочках
slun	приостановить
nwot	непрерывность
gyic	гитара
pfas	смещение
zyik	цинк
blen	блестящий
hyem	вяз
hnep	борьба
nyut	вязаный
ryam	местоимениемаркер
clim	специи
jret	Острота
tfon	дразнить
jwac	Ява
hrep	рецепт
dyac	франшиза
myip	метр
rwis	расовой
hkem	комета
nwon	инновация
zwin	запрет
dyis	средневековый
mrec	воробей
fyot	сноска
mlon	измерение
pfis	ратификация
rwot	орбита
hfok	скромный
glof	гольф
zron	нуль
hzip	застежка-молния
hwom	бездомный
bjic	жевание
pcim	выполнять
hjip	чип
bwac	зевать
mlos	моль
mrip	керамика
bron	эмбрион
ksoc	вычет
cyum	дрожжи
jyan	жаргон
plim	слива
mwet	кладбище
ryet	выпускник
glik	орошение
plap	капиталист
tsif	эластичность
gyak	акула
djon	поумолчанию
nwun	пунктуальный
cles	реализм
dris	всебольшеибольше
hkef	кафе
blus	скорая
blap	бумажник
bjak	экстатический
klim	гримаса
gyac	ученый
jyit	невозмутимость
dzit	реалистичный
bwak	наоткрытомвоздухе
dyot	радио
bwon	фасоль
fris	неофициальный
klut	спекулировать
tfek	стейк
nrok	азот
zyat	бритва
bram	бормотание
ryis	вводный
nlip	анализировать
nros	контрастные
hcof	раздевать
tfif	стимул
kroc	борозда
hdum	иудаизм
pses	получатель
plok	дополнение
lyet	объектив
pwek	pegativeдело
kfas	рак
pwen	пешка
nrun	напоминание
clek	утечка
pcif	истребование
glas	сложность
zwit	разговорчивый
kces	достаточность
crem	розничнаяторговля
grap	захват
kwip	вмешиваться
dyut	скидка
crus	иерархия
gyet	нефрит
gram	рычание
kyip	ящерица
nyet	подушка
crop	водопад
glon	галлон
mrok	комар
fluc	беглый
dwic	отклонение
slec	исследователь
srec	истекающий
blut	бороться
myok	мозаика
tlek	штекер
nruk	инфекционный
nwoc	сэтоговремени
bjut	приземистый
hges	беременность
twoc	продуктовый
kyos	коммунист
mrek	поражать
clip	раскаяние
pwok	обвинительныйдело
dwot	диктатор
zyac	озабоченность
jlic	спутник
slop	тапочка
ryip	пропорциональный
psim	приблизительный
byet	безработные
cyop	хобби
rwun	критерий
blop	колба
syok	сторонник
klos	хлор
lwot	хлористый
byic	бактерии
lyik	липкий
blok	биологическая
jlac	симулировать
bret	байт
krif	секреция
blet	балет
nruc	моча
tsus	чеснок
dyak	среднийкласс
tcem	щипцы
cyoc	испытывающий
trep	клубника
dlun	загрязнение
hlup	альбом
hbep	бейсбол
praf	пиратство
pwis	причастие
grek	гараж
kruk	костыль
hfof	фосфор
rwut	структурный
myam	гимназия
krec	кран
jras	подрядчик
zrik	поставитьвизвестность
blam	бальный
klip	ремесленник
hwef	неоплаченный
zlac	банан
gret	генератор
lwuk	ребро
nyek	никель
blos	автобус
sles	цензор
tlif	кафельнаяплитка
kses	колбаса
mwot	помидор
lyot	авто
tsom	калий
brut	виртуальный
djap	алгебра
hjok	родовой
kfen	понятия
pcok	оптический
bzut	сдвинутьсместа
syek	безработица
mruc	гусеница
bwas	браузер
klif	кальций
rwet	дистанционныйпультмимонапряженный
srif	историческийнапряженный
hwem	спектр
syom	натрий
tyos	доверенноелицо
jyic	заложник
hguk	тыква
dwun	морщина
swip	шип
tlec	поставитьгалочку
blaf	изнасилование
tsem	атеизм
mloc	монитор
gyot	условный
trop	зонд
rwap	ежеквартальный
hjep	Пол
pyim	платина
dlon	двойнойномер
pcep	легкое
twuk	очистка
tyec	тег
syup	супер
trom	тележка
nyip	вместноммасштабе
glis	бензин
gjik	почка
hjos	безприсмотра
hjuc	добыча
swek	перегруженыработой
psek	мышьяк
twok	статистическая
tsep	кузнечик
slos	социалист
nwim	сенсорныйдоказательныйнастроение
tlop	скатерть
trus	спорный
pwot	привязь
djot	осадок
nloc	курносый
mwon	мандарин
hjek	жокей
crom	сотрудничать
myon	пневмония
twec	располагать
ryek	ракета
dlic	дивиденд
kwet	кататьсянаконьках
bwen	навязчиваяидея
plon	выделение
syon	тяжелоедыхание
djis	цифровой
byut	сука
hyep	веко
dwon	диагональ
byis	подсознательный
brec	бровь
cyec	чихать
hwop	ватт
clus	веселый
kfun	размещение
nwum	индуизм
fyim	беженец
cwos	челнок
tfoc	приступболи
pwon	белок
sraf	самостоятельноудовлетворяет
hbom	рвота
gyen	ген
drim	первокурсник
trem	личноеснаряжение
tsup	раздробить
slok	социология
kwoc	сквош
bwam	избиратель
mlok	мобильность
kyen	региональный
hmop	движениевгору
rwek	ретроспективный
kfup	куб
grok	морковь
drap	завлечь
lwis	молекулярная
ksuc	бухгалтер
tsop	вонь
kyok	огурец
nroc	оргия
jlot	растворитель
psof	фосфат
hgif	очаровывать
kfim	щелочной
psos	гимнастика
pfen	проверка
kcom	экономист
krom	запятая
tluk	извиваться
hyom	йод
nwuc	движениеспуск
gjac	выкидыш
pcom	стручок
dzic	дизайнер
grun	хвастовство
dzot	донор
hzek	марганец
kfot	клавиатура
jlas	ненадежный
lyim	элита
jyen	иена
pcaf	круглаяскобка
rwip	регби
blip	библия
kyoc	причиннаясвязь
lyon	язва
flis	изменяемую
nrif	клев
kfam	квантовая
swes	свитер
lwon	эволюционный
drec	рассечение
gjap	спа
lyec	линейный
tyom	сурьма
pwuk	superessiveдело
flaf	альфа
myim	иммунный
pcek	похищениелюдей
bjac	пивоваренныйзавод
bzac	сокращать
bzak	носок
twes	телевидение
dwut	документальный
ksom	космос
lyis	лесоводство
lwim	алюминий
ksok	Гороскоп
sruc	ускорять
dlif	дельфин
byik	убийца
tfec	канцелярскиетовары
hjaf	млекопитающее
ryok	протокол
dwis	диоксид
jlon	двоеточие
brus	бюрократия
gjak	галактика
lyip	клиническая
ryem	радий
href	разреженный
prok	холодильник
slep	сатир
dret	итерация
kluk	археологический
dlis	идиосинкразия
kfip	неприемлемо
mlec	массаж
pfif	Спецификация
nrec	сенсорный
pfet	листовка
hzoc	лежатьвоснове
dlam	Идеально
nlec	антропология
kluc	вкусно
dyet	седан
tyif	переходный
krus	приседать
nluc	подсолнечник
lyun	ион
zrot	выдача
ksif	фальсифицировать
psif	эмиссия
crup	перекрытие
fret	искатель
grut	инвертировать
ksec	одноклассник
jric	маршрут
mrop	СВЧ
srus	вытеснять
gyas	парикмахер
floc	фольклор
plek	капиллярный
nwop	ягодицы
nrom	контроллер
twos	терроризм
lwok	лозунг
dwet	современем
slem	сублимировать
grip	гриль
gwas	Вау
kwok	кобальт
gwon	овес
hdop	движениевверхпотечению
glam	анус
bwot	бычий
bren	кишечник
byot	видео
bjik	бойкотировать
kwim	викторина
cwek	хоккей
grif	партизанский
hgem	магний
hyes	осведомленность
fram	аптека
nwos	неамбициозны
ryap	перестраивать
cwim	надежность
klep	ламинария
psec	возмещать
djic	Мировой
kfut	комендантскийчас
crep	гамбургер
frim	теорема
gjas	воспламеняться
hdef	дебет
ryum	уран
pluk	оценить
krop	координировать
nraf	налогоплательщик
tyes	интегрированный
plip	высказалмнение,
hgom	гамма
hgus	коэффициент
cwuc	нагреватель
zret	вычитать
nles	аналитик
trof	непереходный
hmof	торговыйцентр
hzim	висмут
dzac	обедающий
psok	открытка
blon	сходимость
djet	отвлекаться
ksum	акционер
mrup	микроб
clif	спираль
cloc	морфологический
tfes	поставщикпровизии
gjis	джинсы
jren	выравнивание
tlep	базаданных
kcup	купон
glot	напряжение
glut	калькулятор
srep	киберпространство
nwes	инвестор
ksef	Рентгеновский
bzis	виза
frut	инфраструктура
nyuk	Светляк
dyik	детектор
plec	сращивание
brom	бром
plop	палладий
zlik	кремний
flut	вольт
ksop	косметический
gjun	груминг
kfok	икота
hpof	Попкорн
hzuk	зоопарк
nyoc	коннотация
jwak	йога
brim	барий
kles	обезглавить
mwam	Да
fwik	салют
djas	джаз
dyim	аудио
tsum	вольфрам
drip	капать
lyaf	алименты
prom	программист
nrup	вход
hfes	возвратный
rwaf	хризантема
dlen	документация
byas	вакцина
fron	героин
dluk	Отключить
dyun	диагностировать
flap	папка
kfet	катод
dlim	идеология
prek	стоянка
syoc	снимок
slus	доступность
nlos	антиклимакс
mlen	селен
pres	кора
hlof	сера
nlek	текущийактуальностьмаркер
gwot	аэропорт
mwip	самозванец
klop	таракан
kwom	хром
hl6t	литр
nwec	темнеменее
glip	циклический
nrop	начислениезаработнойплаты
crum	гормон
dlep	разработчик
frot	перфорировать
bwoc	саботаж
fwis	феминистка
djok	сопряженный
draf	модернизировать
trum	экстремист
graf	алгоритм
lwes	лазер
mlem	миллиметр
flen	сгибать
zlot	анод
swok	прильнуть
klec	собакаустала
pwim	неполнаязанятость
htuf	тунец
fyis	Очистительныйзавод
lwet	чувствительность
mrem	мэйнфреймов
jwic	омоложение
droc	демонстратор
clem	гелий
dzik	двуязычный
psem	плазма
hjom	хромосома
rwuc	порядковый
tyus	целоечисло
klom	километр
hfos	факс
nwek	генетика
jrap	отвертка
zwas	закуска
bwok	брокколи
dwap	адаптер
syem	спам
blek	вектор
tlus	тактика
pyif	неопределенные
cwoc	хорошо
mrep	ампер
hbem	витамин
hxan	швейцар
hxut	субсидировать
hk6m	кадмий
hxin	одновременность
txin	титан
kxin	кило
klum	совокупляться
xlis	песочныечасы
hqak	синтаксический
hxat	креативность
hxik	электроннаякнига
hxas	рабочееместо
bxon	бор
dxin	индуктивность
hxit	вертолет
tlum	теллур
txit	крайнийсрок
kxat	окислять
hvik	выравнивать
nluk	аналоговый
nyem	сантиметр
hm6t	молибден
hl6m	литий
ht6t	мультимедиа
xlit	калория
ryop	робот
pxas	фармацевт
hxak	домашнеезадание
lwif	местныйпадеж
grim	логарифм
hqat	богомол
qlit	экология
xlik	подделывать
mlep	шаблон
hqit	радиоактивность
kxim	килограмм
hxen	наймодатель
hxot	переедать
kyif	копировальноеустройство
fwet	бесплатноепрограммноеобеспечение
txet	подмножество
hs6n	последовательный
hxet	подслушивать
xrat	стрижка
hqan	изымать
hr6t	иридий
bxat	пропускнаяспособность
dxet	рабочийстол
hxis	экспоненциальный
hxok	штаб-квартира
hxek	кластьненаместо
srem	церий
hp6t	партитивный
pxik	партитивныйдело
kxet	кассета
pruk	супермаркет
hvit	силаволи
xlin	невсети
frip	шифрование
hvep	переплачивать
hxon	синхронизировать
kxit	максимизировать
hqin	семинар
tr6n	стерео
ht6n	застежка
hvat	предстоящий
sl6s	цельсию
hn6n	неон
ts6t	реальныйвремя
hvin	рационализировать
pxat	киоск
myoc	модуль
ps6s	макаронныеизделия
bwek	портфель
dlok	роскошный
fraf	брандмауэр
hr6k	артефакт
txat	времяобеда
hqon	орегано
pxun	плутоний
ks6n	рабочаястанция
slef	эскалатор
xrit	Спасатель
hvut	переполнять
xrim	иттрий
hx6t	увеличительный
hqum	имяпользователя
hl6n	продавцы
gron	аргон
pxan	рекламный
hvac	посудомоечнаямашина
xlan	глобализация
txon	длинаволны
xrik	перерабатывать
hxap	рюкзак
hxac	перезапуск
xyat	гепатит
cwep	зарплаты
hxos	торус
txif	шрифт
qlat	агентпопродаженедвижимости
txot	всерединеосени
hxam	миллиграмм
pxis	пиксель
pwif	предварительныйпросмотр
txam	тантал
myek	термодинамический
hbop	взломать
hqot	растворенноевещество
xlic	инвалиднаяколяска
gxit	геноцид
hvan	пожаротушение
glim	галлия
pfop	попвверх
hzum	цирконий
xlon	горячаялиния
qlin	нелинейный
kxam	скандий
blim	бериллий
kxik	конфигурировать
nr6n	нейрон
hpef	предикативный
hruf	маршрутизатор
kxan	факториал
hxic	директива
xlip	волейбол
dyek	отлаживать
hxop	наручныечасы
qrot	нейтрон
nwip	ниобий
hs6t	комнатаотдыха
grem	германий
tles	металлоид
hp6k	prolativeдело
qyin	биоразнообразия
txak	антибиотик
mlun	иммобилизация
txan	актиний
xran	астронавт
dres	распаковывать
tr6t	внеземной
hk6t	октет
hxus	открытыйисточник
xlat	ненормальный
mraf	марафон
ts6n	серединавесны
ht6s	аутизм
nlif	ионизировать
txut	значительность
hm6n	излучающий
kxis	клипИзобразительноеискусство
xrin	претерпевает
xren	Перенаправление
bxak	закладка
pfos	зафраза
hvis	фекалии
hd6n	знаменатель
brum	залзаседанийсоветадиректоров
hqis	шовинист
hk6n	компилировать
xyit	сдвигключ
xyin	однасекунда
hxun	питаясь
hvas	роли
glok	блог
hvak	извилистый
pxit	IPадрес
hvet	рядомс
xram	сафлоровое
hc6n	очевидность
qran	Коран
zyen	ксенон
hqas	клянусьв
bzas	пресыщенный
hj6n	нечеловек
hnof	уклончивый
txas	производители
hbum	буддизм
ts6s	придирчивый
pxin	ингредиенты
hr6n	рацион
hxim	всерединелета
dxit	серединезимы
hxaf	выкапывать
nlus	домашнеерастение
txap	положениеделбар
vrit	литературныйраб
kxak	валятьдурака
bxin	телочеловека
hqik	плащ
hxes	герц
hxif	гипнотизировать
xras	почасовой
pl6k	параюридический
dxat	опрометчивость
hxip	антитело
vrat	шорты
hqek	изменениеформы
qrit	полярность
pxot	Почта
hxom	утильпочта
hqic	рецензент
lwun	синиеджинсы
hp6n	созревание
dxan	прикрепление
xrak	актерроль
dxak	авария
hven	контейнеры
mwap	комикс
qlan	дальтонизм
xros	раздеваясь
srom	выставочныйзал
hc6t	вчате
qrat	вверхногами
hn6t	ингибирование
hqet	Веб-сайт
fres	мобилизовыватьсредства
froc	ковочный
xlak	гиперссылка
vlat	говорливость
dvan	выгрузка
gxin	завоевывая
ryes	регистратор
kxot	соединители
xyan	размежевание
vlan	рекламодатель
ryom	торийатом
hluf	старость
hquk	вводить
lyum	тулийатом
tyem	тербийатом
hp6m	празеодимий
txic	Главнаястраница
mros	автомобилист
dyam	родийатом
pc6n	испытаниеномер
nyos	входящие
pyek	проектор
kxon	криптон
hxuc	спасающий
qrik	центральныйдело
xwin	неопытность
kxic	огнетушитель
hvot	блок-схема
dxot	йогурт
hqut	журналвне
pxen	ведомственный
drok	Цельвызывать
flon	мобильныйтелефон
txos	среднийголос
hqok	косойдело
xwik	пациентдело
hx6n	предварительносегодняшний
txik	указательныйпалец
hqen	отправитель
mlap	вредоносныхпрограмм
hvun	уговаривание
hvon	изнашивания
vran	почтальон
pfes	профессор
pwip	поэт
hqam	разрабатывать
gxat	легальность
ks6t	причинный
vrin	вербовщик
kxip	клипдоска
sr6n	неодобрительно
vlit	оценочный
tyup	пригород
mrom	морфема
xron	наушники
gxak	дорогостоящий
hrof	троянецлошадь
xlas	парализованный
dzet	косметическийремонт
txac	капитуляция
xrot	неиспользованный
txis	точкаматрица
syif	сиединицы
xrac	какнистранно
brif	двоичныйзначение
dlos	модальныйдело
txun	атрибуты
dvat	раздражительный
psom	изпервыхрук
gjek	еще-если
nlem	Блок-масс
qret	розничнаяторговлямагазин
txip	тройнойточкой
dlek	вотдельности
lwut	потоктока
dxis	драматично
hs6m	цезий
vlak	автомотриса
hn6m	Нериум
kxap	картон
bxan	вылетающих
myem	маймесяц
gxik	гражданскиеправа
hxoc	воздушныесилы
xrok	коллегапоработе
kr6t	Скриншот
txok	автоматически
hxep	скейтборд
srop	смартфон
pxak	колпачкизамок
hk6k	Народнаямузыка
hl6k	euler'sномер
pyom	полонийатом
xyam	таллийатом
hvic	вторгшийся
lyok	местныйдело
xlot	квартиры
txen	переложение
kxac	контр-атака
qrak	штрейкбрехер
hbup	бассейн
txuk	короткоезамыкание
tsef	коническая
bxit	Webхозяин
ksem	читатьтолько
byim	рубидийатом
hvam	ванадийатом
lw6n	лантан
frum	фторатом
nyom	неодим
mlom	multalномер
kxas	олицетворять
xret	терабайт
hs6k	поискдвигатель
frus	разъедающий
gxan	галактикаПол
vlas	вокализации
glet	педальгаза
hvim	времявыполнения
bxip	битоваякарта
qrin	звездаПол
bvak	abessiveдело
pxon	недоступен
dvik	адессивдело
dvek	агентивногодело
hlef	агентвызывать
kwek	кдело
kxen	общийПол
ht6m	цитатаформа
tsuf	трансцифра
hf6n	рафинирование
tc6t	непосредственныйобъект
gvik	эргативдело
gxon	фрагментация
ksep	рецептор
vyin	кинотеатр
pyos	пассивныйголос
hnef	конечныйглагол
xwit	первичнаяобъект
hqim	гномическийнастроение
jlak	обобщение
vrik	окончательныйчастица
qyan	мнимаяединица-
kxaf	скоростьсвета
xyic	фишинг
qyit	критическаяточка
hvek	evitativeдело
bvik	subessiveдело
hzes	одержимыйдело
prus	Компьютерныйвирус
ples	процессор
pxif	полициясотрудник
dvak	нигиляционнымидело
brun	туризм
tsi_k	antessiveдело
tyum	рутенийатом
vyak	адвербиальныйдело
pxim	премьер-министр
syum	стронцийатом
sy6n	подозрительность
hy6n	оживитьПол
pxac	чуткимирадость
vlin	средствопередвиженияПол
qwin	минеральнаяПол
hr6s	направления
tf6n	тонер
xris	пользовательинтерфейс
hw6n	ругань
xlen	словесныйимясуществительное
pyec	таблица
vlim	виртуальныйПамять
bres	словопроцессор
hqip	облаковычисления
vlic	виртуальныймашина
pfam	спамер
dyap	второйязык
txek	п-корень
dxen	данныедобыча
byip	бизнесчеловек
hs6c	самоуверенность
txim	ссылаясь
hb6t	изменениеизмероприятие
hdem	доменимя
dxon	другоймероприятие
lwaf	вспышкаводитьмашину
sl6t	crastinalнапряженный
xyik	дискетадиск
fyif	возвратныйголос
bvin	вселеннаяПол
hm6p	материнскаяплата
tfip	переходныйглагол
jlen	местонахождениеПол
xrap	вполоску
tc6n	исследованиеПол
sl6n	художественныйПол
xrek	пациентвызывать
xwan	АбстрактныеПол
dxif	Видео-конференция
dyip	непрямойречь
zrek	экзоцентричныйдело
hvuk	пробуждая
xwat	мимосовершенный
hr6m	рений
txaf	срабатывает
hmef	безличныйглагол
tx6t	текстредактор
txes	коллективимясуществительное
bvat	жестокомобращении
bvuk	абсолютивадело
ry6t	радиан
vlis	виртуальныйреальность
qren	планетарныйПол
gvak	грамматическаяслучая
bxok	лысый
mrum	компьютерпрограмма
ps6t	операционнаясистема
hfom	фонема
tlem	читатьтолькоПамять
pwam	шпионскихпрограмм
kfif	ядроблагословляющий
qwit	рациональность
nlaf	установка
nwok	ассоциативныйдело
dzas	вызыватьнедовольство
swuk	превосходныйдело
syos	подведение
kr6n	электрическийтекущий
dvin	неодушевленныйПол
pxom	propositiveнастроение
vris	взаимнаяголос
rwos	аэрозоль
dr6t	дистрактор
ht6k	телекоммуникация
slaf	Социальноесетей
lyuk	последующийпункт
qras	начальство
ty6n	Терминал
gwet	скоробудущеенапряженный
hp6s	аппликативныголос
tsof	antipassiveголос
ht6p	continuativeаспект
hn6f	necessitativeнастроение
pfip	пассивныйпричастие
glap	панельинструментов
sy6k	экзистенциальныйпункт
qyat	светящийсяинтенсивность
hy6t	грамматическая-объект
vyan	произнесение
sluf	singulativeномер
dvit	чрезмерноепродолжительность
qyak	Одиндействиеглагол
bzik	физика
xlet	превосходныйстепень
hqap	настоящеевремяпричастие
qwat	количествоизвещество
qyik	соединительныйчастица
sr6t	сверхкритическойжидкости
hfem	вставнойморфема
tl6t	дистанционныйпультбудущеенапряженный
mrif	микрофон
pcuk	послелогидело
tfim	случайныйдоступПамять
fwim	этидия
ly6t	назидательнаяречьсоглашение
hvap	свитокбар
hfep	многократныйаспект
bvan	дистрибутивныйместоимение
fyun	сплавающейточкойномер
xyas	стирание
hvif	глагол-суффиксов
xyis	мимопассивныйпричастие
tl6n	центральныйобработкаЕд.изм
tfok	местныйнаправленныйдело
qwan	частоспросилвопросов
